ko:K18929	ahp:V429_14100
ko:K03786	ahp:V429_18575
ko:K02160	ahp:V429_18580
ko:K01961	ahp:V429_18585
ko:K14392	ahp:V429_18595
ko:K02687	ahp:V429_18615
ko:K00058	ahp:V429_18620
ko:K00661	ahp:V429_18625
ko:K00219	ahp:V429_18635
ko:K04773	ahp:V429_18640
ko:K00134	ahp:V429_18655
ko:K09916	ahp:V429_18660
ko:K01424	ahp:V429_18665
ko:K03312	ahp:V429_18670
ko:K03406	ahp:V429_18675
ko:K02836	ahp:V429_18680
ko:K04567	ahp:V429_18685
ko:K00380	ahp:V429_18695
ko:K00381	ahp:V429_18700
ko:K00390	ahp:V429_18705
ko:K02002	ahp:V429_18710
ko:K02001	ahp:V429_18715
ko:K01978	ahp:V429_23345
ko:K02000	ahp:V429_18720
ko:K02031	ahp:V429_18460
ko:K02032	ahp:V429_18460
ko:K03559	ahp:V429_23150
ko:K03561	ahp:V429_23155
ko:K00820	ahp:V429_23175
ko:K07663	ahp:V429_23185
ko:K07641	ahp:V429_23190
ko:K06143	ahp:V429_23200
ko:K04042	ahp:V429_23205
ko:K02114	ahp:V429_23210
ko:K02112	ahp:V429_23215
ko:K02115	ahp:V429_23220
ko:K02111	ahp:V429_23225
ko:K02113	ahp:V429_23230
ko:K02109	ahp:V429_23235
ko:K02110	ahp:V429_23240
ko:K02108	ahp:V429_23245
ko:K02116	ahp:V429_23250
ko:K03501	ahp:V429_23265
ko:K03495	ahp:V429_23270
ko:K06205	ahp:V429_23275
ko:K02014	ahp:V429_23280
ko:K06159	ahp:V429_23285
ko:K02013	ahp:V429_23290
ko:K02016	ahp:V429_23295
ko:K02015	ahp:V429_23300
ko:K03650	ahp:V429_23305
ko:K03217	ahp:V429_23310
ko:K03536	ahp:V429_23315
ko:K02914	ahp:V429_23320
ko:K16963	ahp:V429_23325
ko:K16962	ahp:V429_23330
ko:K16961	ahp:V429_23335
ko:K03831	ahp:V429_18745
ko:K09458	ahp:V429_18755
ko:K00059	ahp:V429_18760
ko:K00647	ahp:V429_18770
ko:K07107	ahp:V429_18790
ko:K01745	ahp:V429_18795
ko:K02078	ahp:V429_18820
ko:K02078	ahp:V429_18825
ko:K01173	ahp:V429_18855
ko:K00428	ahp:V429_18860
ko:K01674	ahp:V429_18865
ko:K16329	ahp:V429_18870
ko:K16328	ahp:V429_18875
ko:K00362	ahp:V429_18885
ko:K15578	ahp:V429_18890
ko:K15577	ahp:V429_18895
ko:K15576	ahp:V429_18900
ko:K02303	ahp:V429_18910
ko:K00372	ahp:V429_18915
ko:K06149	ahp:V429_18930
ko:K00147	ahp:V429_18940
ko:K00931	ahp:V429_18945
ko:K11926	ahp:V429_18950
ko:K11750	ahp:V429_18955
ko:K00769	ahp:V429_18960
ko:K01270	ahp:V429_18965
ko:K13893	ahp:V429_18985
ko:K13895	ahp:V429_18990
ko:K13894	ahp:V429_18995
ko:K02014	ahp:V429_19000
ko:K03561	ahp:V429_19010
ko:K03561	ahp:V429_19015
ko:K03559	ahp:V429_19020
ko:K03832	ahp:V429_19025
ko:K01885	ahp:V429_19075
ko:K03406	ahp:V429_19080
ko:K07269	ahp:V429_19085
ko:K03704	ahp:V429_19090
ko:K13288	ahp:V429_19120
ko:K06949	ahp:V429_19125
ko:K01613	ahp:V429_19130
ko:K09893	ahp:V429_19160
ko:K09607	ahp:V429_19165
ko:K01425	ahp:V429_19210
ko:K09923	ahp:V429_19215
ko:K03439	ahp:V429_19220
ko:K05825	ahp:V429_19230
ko:K07071	ahp:V429_19240
ko:K02004	ahp:V429_19245
ko:K02003	ahp:V429_19250
ko:K10804	ahp:V429_19255
ko:K03415	ahp:V429_19260
ko:K07085	ahp:V429_19270
ko:K11068	ahp:V429_19275
ko:K01580	ahp:V429_19280
ko:K06190	ahp:V429_19285
ko:K09780	ahp:V429_19290
ko:K01082	ahp:V429_19295
ko:K02237	ahp:V429_19300
ko:K00963	ahp:V429_19305
ko:K03305	ahp:V429_19310
ko:K01992	ahp:V429_19340
ko:K01993	ahp:V429_19345
ko:K05540	ahp:V429_19360
ko:K03557	ahp:V429_19365
ko:K15724	ahp:V429_19395
ko:K03281	ahp:V429_19405
ko:K01845	ahp:V429_19410
ko:K11743	ahp:V429_19445
ko:K11742	ahp:V429_19450
ko:K08234	ahp:V429_19455
ko:K05365	ahp:V429_19460
ko:K03579	ahp:V429_19465
ko:K01975	ahp:V429_19470
ko:K06206	ahp:V429_19475
ko:K06204	ahp:V429_19480
ko:K01894	ahp:V429_19485
ko:K00970	ahp:V429_19490
ko:K00950	ahp:V429_19495
ko:K00606	ahp:V429_19500
ko:K01918	ahp:V429_19505
ko:K01992	ahp:V429_19535
ko:K01990	ahp:V429_19540
ko:K00760	ahp:V429_19545
ko:K03186	ahp:V429_19555
ko:K02558	ahp:V429_19560
ko:K01507	ahp:V429_19565
ko:K07109	ahp:V429_19580
ko:K02003	ahp:V429_19595
ko:K02004	ahp:V429_19600
ko:K09950	ahp:V429_19605
ko:K03406	ahp:V429_19615
ko:K00860	ahp:V429_19635
ko:K00956	ahp:V429_19645
ko:K00957	ahp:V429_19650
ko:K02302	ahp:V429_19655
ko:K07340	ahp:V429_19665
ko:K01945	ahp:V429_04470
ko:K00602	ahp:V429_04475
ko:K09890	ahp:V429_04490
ko:K02428	ahp:V429_04500
ko:K07552	ahp:V429_04505
ko:K03790	ahp:V429_04520
ko:K03817	ahp:V429_04525
ko:K08162	ahp:V429_04545
ko:K07791	ahp:V429_04555
ko:K01744	ahp:V429_04560
ko:K07113	ahp:V429_04565
ko:K04078	ahp:V429_04575
ko:K04077	ahp:V429_04580
ko:K06177	ahp:V429_04600
ko:K03580	ahp:V429_04605
ko:K07175	ahp:V429_04645
ko:K02062	ahp:V429_04650
ko:K02063	ahp:V429_04655
ko:K02064	ahp:V429_04660
ko:K01704	ahp:V429_04675
ko:K01703	ahp:V429_04680
ko:K00052	ahp:V429_04685
ko:K01649	ahp:V429_04690
ko:K01652	ahp:V429_04715
ko:K01653	ahp:V429_04720
ko:K13788	ahp:V429_04725
ko:K00925	ahp:V429_04730
ko:K09899	ahp:V429_04735
ko:K09161	ahp:V429_04740
ko:K03564	ahp:V429_04745
ko:K03567	ahp:V429_04750
ko:K01714	ahp:V429_04755
ko:K07287	ahp:V429_04760
ko:K00425	ahp:V429_09275
ko:K00426	ahp:V429_09280
ko:K06222	ahp:V429_09295
ko:K06996	ahp:V429_09305
ko:K00864	ahp:V429_09320
ko:K02440	ahp:V429_09325
ko:K04767	ahp:V429_19670
ko:K06158	ahp:V429_19675
ko:K07115	ahp:V429_19685
ko:K01118	ahp:V429_19695
ko:K11928	ahp:V429_19735
ko:K16053	ahp:V429_19745
ko:K00925	ahp:V429_19750
ko:K14588	ahp:V429_19765
ko:K01779	ahp:V429_19770
ko:K03308	ahp:V429_19810
ko:K03308	ahp:V429_19820
ko:K03719	ahp:V429_19850
ko:K07240	ahp:V429_19885
ko:K07305	ahp:V429_19890
ko:K00700	ahp:V429_19900
ko:K00705	ahp:V429_19905
ko:K00134	ahp:V429_19910
ko:K01792	ahp:V429_19915
ko:K03406	ahp:V429_19925
ko:K03640	ahp:V429_19975
ko:K03641	ahp:V429_19980
ko:K03560	ahp:V429_19990
ko:K03562	ahp:V429_19995
ko:K07107	ahp:V429_20000
ko:K00426	ahp:V429_20015
ko:K00425	ahp:V429_20020
ko:K03551	ahp:V429_20025
ko:K03550	ahp:V429_20030
ko:K01881	ahp:V429_20040
ko:K15580	ahp:V429_20085
ko:K09131	ahp:V429_20100
ko:K02221	ahp:V429_20105
ko:K00286	ahp:V429_20110
ko:K06997	ahp:V429_20115
ko:K02669	ahp:V429_20120
ko:K02670	ahp:V429_20125
ko:K09861	ahp:V429_20130
ko:K05590	ahp:V429_20135
ko:K15460	ahp:V429_20140
ko:K03311	ahp:V429_20145
ko:K03311	ahp:V429_20150
ko:K03409	ahp:V429_20160
ko:K09823	ahp:V429_20165
ko:K05539	ahp:V429_20170
ko:K05787	ahp:V429_20185
ko:K07740	ahp:V429_20190
ko:K04485	ahp:V429_20200
ko:K01079	ahp:V429_20215
ko:K03517	ahp:V429_19920
ko:K02445	ahp:V429_09330
ko:K02444	ahp:V429_09335
ko:K00111	ahp:V429_09345
ko:K01126	ahp:V429_09350
ko:K01626	ahp:V429_09355
ko:K14187	ahp:V429_09360
ko:K09897	ahp:V429_09370
ko:K08276	ahp:V429_09375
ko:K01354	ahp:V429_09395
ko:K02014	ahp:V429_09400
ko:K07014	ahp:V429_09405
ko:K09904	ahp:V429_09410
ko:K06899	ahp:V429_09415
ko:K10108	ahp:V429_09420
ko:K10109	ahp:V429_09425
ko:K10110	ahp:V429_09430
ko:K10111	ahp:V429_09435
ko:K03548	ahp:V429_09455
ko:K00537	ahp:V429_09475
ko:K01442	ahp:V429_09490
ko:K01305	ahp:V429_09500
ko:K10025	ahp:V429_09510
ko:K10022	ahp:V429_09515
ko:K10023	ahp:V429_09525
ko:K02004	ahp:V429_14080
ko:K00782	ahp:V429_14095
ko:K03303	ahp:V429_14110
ko:K01759	ahp:V429_14125
ko:K03830	ahp:V429_14140
ko:K07304	ahp:V429_14155
ko:K14682	ahp:V429_14160
ko:K00928	ahp:V429_14165
ko:K16950	ahp:V429_14190
ko:K16951	ahp:V429_14195
ko:K00385	ahp:V429_14200
ko:K02302	ahp:V429_14205
ko:K03885	ahp:V429_14235
ko:K07000	ahp:V429_14240
ko:K08602	ahp:V429_14250
ko:K08602	ahp:V429_14255
ko:K09781	ahp:V429_14260
ko:K03074	ahp:V429_14270
ko:K03072	ahp:V429_14275
ko:K07337	ahp:V429_14295
ko:K09859	ahp:V429_14305
ko:K02503	ahp:V429_14310
ko:K03406	ahp:V429_14315
ko:K01465	ahp:V429_14325
ko:K01775	ahp:V429_14350
ko:K10823	ahp:V429_14360
ko:K01923	ahp:V429_04765
ko:K09909	ahp:V429_04780
ko:K07648	ahp:V429_04800
ko:K01129	ahp:V429_04805
ko:K03406	ahp:V429_04825
ko:K02073	ahp:V429_04835
ko:K02072	ahp:V429_04840
ko:K02071	ahp:V429_04845
ko:K00886	ahp:V429_04855
ko:K17758	ahp:V429_04865
ko:K17759	ahp:V429_04865
ko:K06925	ahp:V429_04870
ko:K01448	ahp:V429_04875
ko:K03572	ahp:V429_04885
ko:K00791	ahp:V429_04890
ko:K03666	ahp:V429_04895
ko:K03665	ahp:V429_04900
ko:K04088	ahp:V429_04905
ko:K04087	ahp:V429_04910
ko:K09937	ahp:V429_04915
ko:K02523	ahp:V429_04920
ko:K02888	ahp:V429_04925
ko:K02899	ahp:V429_04930
ko:K03979	ahp:V429_04935
ko:K00666	ahp:V429_04945
ko:K01525	ahp:V429_04975
ko:K06195	ahp:V429_04980
ko:K02528	ahp:V429_04985
ko:K00097	ahp:V429_04990
ko:K03771	ahp:V429_04995
ko:K04744	ahp:V429_05000
ko:K07102	ahp:V429_05005
ko:K05801	ahp:V429_05015
ko:K06901	ahp:V429_05020
ko:K04069	ahp:V429_09535
ko:K06894	ahp:V429_09580
ko:K05367	ahp:V429_09585
ko:K03151	ahp:V429_09595
ko:K02406	ahp:V429_09610
ko:K02406	ahp:V429_09615
ko:K02406	ahp:V429_09630
ko:K06603	ahp:V429_09635
ko:K02407	ahp:V429_09640
ko:K02422	ahp:V429_09645
ko:K01845	ahp:V429_09685
ko:K07257	ahp:V429_09690
ko:K15894	ahp:V429_09705
ko:K06858	ahp:V429_09710
ko:K02227	ahp:V429_09715
ko:K01243	ahp:V429_09720
ko:K07238	ahp:V429_09730
ko:K03406	ahp:V429_09735
ko:K01092	ahp:V429_09740
ko:K08154	ahp:V429_09755
ko:K09888	ahp:V429_09760
ko:K09895	ahp:V429_09765
ko:K03185	ahp:V429_09770
ko:K00605	ahp:V429_09780
ko:K02437	ahp:V429_09785
ko:K00281	ahp:V429_09790
ko:K03325	ahp:V429_09800
ko:K00537	ahp:V429_09805
ko:K03387	ahp:V429_09825
ko:K03386	ahp:V429_09830
ko:K15583	ahp:V429_14370
ko:K03337	ahp:V429_15260
ko:K03335	ahp:V429_15265
ko:K03338	ahp:V429_15270
ko:K17209	ahp:V429_15280
ko:K17210	ahp:V429_15285
ko:K17208	ahp:V429_15290
ko:K00010	ahp:V429_15295
ko:K03336	ahp:V429_15305
ko:K00140	ahp:V429_15315
ko:K03703	ahp:V429_15380
ko:K07689	ahp:V429_15385
ko:K00979	ahp:V429_15390
ko:K09791	ahp:V429_15395
ko:K00912	ahp:V429_15400
ko:K11085	ahp:V429_15405
ko:K02238	ahp:V429_15545
ko:K09928	ahp:V429_15550
ko:K06915	ahp:V429_15560
ko:K00813	ahp:V429_15565
ko:K09909	ahp:V429_15585
ko:K01243	ahp:V429_05330
ko:K03815	ahp:V429_05355
ko:K03317	ahp:V429_05360
ko:K01619	ahp:V429_05365
ko:K08679	ahp:V429_05375
ko:K07568	ahp:V429_09840
ko:K00773	ahp:V429_09845
ko:K03210	ahp:V429_09850
ko:K03072	ahp:V429_09855
ko:K03074	ahp:V429_09860
ko:K05803	ahp:V429_09870
ko:K08303	ahp:V429_09880
ko:K15396	ahp:V429_09895
ko:K13643	ahp:V429_09900
ko:K04487	ahp:V429_09905
ko:K04488	ahp:V429_09910
ko:K13628	ahp:V429_09915
ko:K04082	ahp:V429_09920
ko:K04044	ahp:V429_09925
ko:K04755	ahp:V429_09930
ko:K07751	ahp:V429_09935
ko:K07751	ahp:V429_09940
ko:K00940	ahp:V429_09945
ko:K06941	ahp:V429_09950
ko:K02656	ahp:V429_09955
ko:K15539	ahp:V429_09960
ko:K01892	ahp:V429_09970
ko:K17713	ahp:V429_09980
ko:K03977	ahp:V429_09985
ko:K01952	ahp:V429_10000
ko:K00343	ahp:V429_10010
ko:K00342	ahp:V429_10015
ko:K00341	ahp:V429_10020
ko:K00340	ahp:V429_10025
ko:K00339	ahp:V429_10030
ko:K00338	ahp:V429_10035
ko:K00337	ahp:V429_10040
ko:K00334	ahp:V429_10055
ko:K13378	ahp:V429_10060
ko:K00331	ahp:V429_10065
ko:K00330	ahp:V429_10070
ko:K02557	ahp:V429_10075
ko:K02556	ahp:V429_10080
ko:K08988	ahp:V429_10090
ko:K06872	ahp:V429_10095
ko:K03744	ahp:V429_10100
ko:K07261	ahp:V429_10105
ko:K08219	ahp:V429_15595
ko:K03734	ahp:V429_16525
ko:K01142	ahp:V429_16545
ko:K03585	ahp:V429_16550
ko:K18138	ahp:V429_16555
ko:K07798	ahp:V429_16565
ko:K07787	ahp:V429_16570
ko:K03800	ahp:V429_16590
ko:K07112	ahp:V429_16610
ko:K07112	ahp:V429_16615
ko:K07507	ahp:V429_16635
ko:K03484	ahp:V429_16640
ko:K01193	ahp:V429_16645
ko:K02809	ahp:V429_16650
ko:K02810	ahp:V429_16650
ko:K00847	ahp:V429_16655
ko:K16077	ahp:V429_16660
ko:K03686	ahp:V429_16665
ko:K04043	ahp:V429_16670
ko:K03687	ahp:V429_16675
ko:K00858	ahp:V429_16680
ko:K03631	ahp:V429_16685
ko:K15986	ahp:V429_16695
ko:K13888	ahp:V429_16705
ko:K05685	ahp:V429_16710
ko:K01626	ahp:V429_16725
ko:K09471	ahp:V429_16745
ko:K14056	ahp:V429_16750
ko:K00135	ahp:V429_16755
ko:K07250	ahp:V429_16760
ko:K14683	ahp:V429_16790
ko:K07679	ahp:V429_16810
ko:K06141	ahp:V429_16820
ko:K02013	ahp:V429_05385
ko:K02015	ahp:V429_05390
ko:K02016	ahp:V429_05395
ko:K07227	ahp:V429_05400
ko:K07226	ahp:V429_05405
ko:K16087	ahp:V429_05425
ko:K05820	ahp:V429_05430
ko:K07727	ahp:V429_05435
ko:K01183	ahp:V429_05450
ko:K00563	ahp:V429_05465
ko:K10914	ahp:V429_05470
ko:K07397	ahp:V429_05475
ko:K00855	ahp:V429_05490
ko:K12963	ahp:V429_05495
ko:K07186	ahp:V429_20220
ko:K03784	ahp:V429_20230
ko:K01839	ahp:V429_20235
ko:K00758	ahp:V429_20240
ko:K01619	ahp:V429_20245
ko:K03317	ahp:V429_20255
ko:K03424	ahp:V429_20260
ko:K03215	ahp:V429_20270
ko:K03320	ahp:V429_20275
ko:K11720	ahp:V429_20530
ko:K07091	ahp:V429_20540
ko:K01255	ahp:V429_20545
ko:K02339	ahp:V429_20550
ko:K01873	ahp:V429_20555
ko:K03699	ahp:V429_20560
ko:K07262	ahp:V429_20570
ko:K03563	ahp:V429_20605
ko:K00928	ahp:V429_20610
ko:K01872	ahp:V429_20615
ko:K03565	ahp:V429_20620
ko:K03743	ahp:V429_20630
ko:K12962	ahp:V429_05500
ko:K07264	ahp:V429_05505
ko:K13014	ahp:V429_05510
ko:K10011	ahp:V429_05515
ko:K10012	ahp:V429_05520
ko:K07806	ahp:V429_05525
ko:K00012	ahp:V429_05530
ko:K09898	ahp:V429_05535
ko:K07019	ahp:V429_05545
ko:K03415	ahp:V429_05550
ko:K07070	ahp:V429_05560
ko:K03775	ahp:V429_05565
ko:K03745	ahp:V429_05570
ko:K03772	ahp:V429_05580
ko:K01775	ahp:V429_05630
ko:K08303	ahp:V429_05645
ko:K09907	ahp:V429_10180
ko:K13634	ahp:V429_10195
ko:K01497	ahp:V429_10200
ko:K00945	ahp:V429_10205
ko:K02945	ahp:V429_10210
ko:K05788	ahp:V429_10215
ko:K08992	ahp:V429_10220
ko:K01591	ahp:V429_10230
ko:K06920	ahp:V429_10245
ko:K10026	ahp:V429_10250
ko:K09954	ahp:V429_10255
ko:K00798	ahp:V429_10260
ko:K11904	ahp:V429_10305
ko:K01491	ahp:V429_10340
ko:K03704	ahp:V429_10345
ko:K06891	ahp:V429_10350
ko:K03694	ahp:V429_10355
ko:K02518	ahp:V429_10360
ko:K00684	ahp:V429_10370
ko:K06077	ahp:V429_10375
ko:K00384	ahp:V429_10385
ko:K03719	ahp:V429_10390
ko:K03466	ahp:V429_10395
ko:K03634	ahp:V429_10400
ko:K07478	ahp:V429_10405
ko:K01733	ahp:V429_16865
ko:K00872	ahp:V429_16870
ko:K12524	ahp:V429_16875
ko:K02533	ahp:V429_16880
ko:K00906	ahp:V429_16885
ko:K02553	ahp:V429_16900
ko:K07773	ahp:V429_16915
ko:K16013	ahp:V429_16930
ko:K16012	ahp:V429_16935
ko:K06080	ahp:V429_16940
ko:K05281	ahp:V429_16950
ko:K16872	ahp:V429_16960
ko:K09989	ahp:V429_16965
ko:K01738	ahp:V429_16975
ko:K02784	ahp:V429_16980
ko:K08483	ahp:V429_16985
ko:K12262	ahp:V429_17005
ko:K03547	ahp:V429_17025
ko:K03826	ahp:V429_17030
ko:K03554	ahp:V429_17035
ko:K03455	ahp:V429_17050
ko:K05994	ahp:V429_17055
ko:K00873	ahp:V429_17065
ko:K05802	ahp:V429_17070
ko:K07404	ahp:V429_17080
ko:K02824	ahp:V429_17085
ko:K00027	ahp:V429_17100
ko:K00127	ahp:V429_17110
ko:K00124	ahp:V429_17115
ko:K00123	ahp:V429_17120
ko:K03784	ahp:V429_16825
ko:K03412	ahp:V429_05680
ko:K03411	ahp:V429_05685
ko:K00575	ahp:V429_05690
ko:K03408	ahp:V429_05700
ko:K03406	ahp:V429_05705
ko:K03407	ahp:V429_05710
ko:K03413	ahp:V429_05720
ko:K03406	ahp:V429_05725
ko:K00648	ahp:V429_05730
ko:K08303	ahp:V429_05745
ko:K00567	ahp:V429_05750
ko:K13529	ahp:V429_05755
ko:K01299	ahp:V429_05765
ko:K09973	ahp:V429_05780
ko:K02013	ahp:V429_05850
ko:K02015	ahp:V429_05855
ko:K02016	ahp:V429_05860
ko:K02014	ahp:V429_05870
ko:K12266	ahp:V429_05875
ko:K02049	ahp:V429_05880
ko:K02050	ahp:V429_05885
ko:K02051	ahp:V429_05890
ko:K02014	ahp:V429_05900
ko:K03580	ahp:V429_05925
ko:K06920	ahp:V429_05970
ko:K10026	ahp:V429_05975
ko:K01875	ahp:V429_10415
ko:K03558	ahp:V429_10420
ko:K00764	ahp:V429_10425
ko:K06169	ahp:V429_10430
ko:K03974	ahp:V429_10465
ko:K03969	ahp:V429_10470
ko:K03970	ahp:V429_10475
ko:K06918	ahp:V429_10485
ko:K08990	ahp:V429_10490
ko:K00500	ahp:V429_10495
ko:K01724	ahp:V429_10500
ko:K01724	ahp:V429_10505
ko:K03721	ahp:V429_10510
ko:K01489	ahp:V429_10550
ko:K06518	ahp:V429_10560
ko:K07407	ahp:V429_10565
ko:K01141	ahp:V429_10575
ko:K01804	ahp:V429_10580
ko:K03077	ahp:V429_10585
ko:K00853	ahp:V429_10590
ko:K10537	ahp:V429_10595
ko:K10539	ahp:V429_10600
ko:K10538	ahp:V429_10605
ko:K02099	ahp:V429_10610
ko:K06911	ahp:V429_10620
ko:K02919	ahp:V429_10625
ko:K02909	ahp:V429_10630
ko:K12149	ahp:V429_10635
ko:K07043	ahp:V429_10645
ko:K01081	ahp:V429_10655
ko:K03326	ahp:V429_10660
ko:K15461	ahp:V429_10670
ko:K00647	ahp:V429_10675
ko:K01647	ahp:V429_10690
ko:K00241	ahp:V429_10695
ko:K00242	ahp:V429_10700
ko:K02379	ahp:V429_17160
ko:K05772	ahp:V429_17180
ko:K05773	ahp:V429_17185
ko:K06857	ahp:V429_17190
ko:K03752	ahp:V429_17195
ko:K03750	ahp:V429_17200
ko:K03406	ahp:V429_17220
ko:K15977	ahp:V429_17230
ko:K09930	ahp:V429_17240
ko:K02035	ahp:V429_17275
ko:K02033	ahp:V429_17280
ko:K02034	ahp:V429_17285
ko:K12373	ahp:V429_17310
ko:K07443	ahp:V429_17325
ko:K03168	ahp:V429_17335
ko:K01484	ahp:V429_17340
ko:K04774	ahp:V429_17345
ko:K03291	ahp:V429_17360
ko:K14155	ahp:V429_17365
ko:K01939	ahp:V429_17380
ko:K06910	ahp:V429_17385
ko:K03931	ahp:V429_17395
ko:K01866	ahp:V429_17400
ko:K09001	ahp:V429_17420
ko:K05523	ahp:V429_17430
ko:K02057	ahp:V429_01180
ko:K02057	ahp:V429_01185
ko:K02056	ahp:V429_01195
ko:K07335	ahp:V429_01200
ko:K03657	ahp:V429_01205
ko:K07491	ahp:V429_01215
ko:K09983	ahp:V429_01235
ko:K05834	ahp:V429_01265
ko:K07112	ahp:V429_01270
ko:K01531	ahp:V429_01275
ko:K05786	ahp:V429_01290
ko:K12254	ahp:V429_01300
ko:K00822	ahp:V429_01310
ko:K00259	ahp:V429_01325
ko:K13771	ahp:V429_01335
ko:K03498	ahp:V429_01355
ko:K03499	ahp:V429_01360
ko:K03500	ahp:V429_01365
ko:K00604	ahp:V429_01370
ko:K01462	ahp:V429_01375
ko:K04096	ahp:V429_01385
ko:K03747	ahp:V429_01390
ko:K07479	ahp:V429_01395
ko:K01588	ahp:V429_01400
ko:K07566	ahp:V429_01405
ko:K00228	ahp:V429_01410
ko:K00014	ahp:V429_01415
ko:K03978	ahp:V429_01425
ko:K09894	ahp:V429_01440
ko:K01488	ahp:V429_01455
ko:K07712	ahp:V429_01460
ko:K03630	ahp:V429_05985
ko:K09860	ahp:V429_06055
ko:K14170	ahp:V429_06060
ko:K07025	ahp:V429_06065
ko:K01669	ahp:V429_06100
ko:K09701	ahp:V429_06120
ko:K00574	ahp:V429_06125
ko:K04047	ahp:V429_06150
ko:K05601	ahp:V429_06160
ko:K11933	ahp:V429_06165
ko:K01784	ahp:V429_06170
ko:K11904	ahp:V429_06195
ko:K01575	ahp:V429_06220
ko:K01652	ahp:V429_06225
ko:K03152	ahp:V429_06230
ko:K00077	ahp:V429_06235
ko:K09767	ahp:V429_06240
