ko:K19272	kpg:KPNIH32_28420
ko:K09996	kpg:KPNIH32_09230
ko:K09998	kpg:KPNIH32_09235
ko:K09999	kpg:KPNIH32_09240
ko:K09997	kpg:KPNIH32_09245
ko:K10000	kpg:KPNIH32_09250
ko:K11066	kpg:KPNIH32_09265
ko:K01620	kpg:KPNIH32_09280
ko:K00156	kpg:KPNIH32_09285
ko:K15977	kpg:KPNIH32_09290
ko:K11933	kpg:KPNIH32_09295
ko:K05601	kpg:KPNIH32_09300
ko:K06188	kpg:KPNIH32_09310
ko:K07459	kpg:KPNIH32_09315
ko:K13888	kpg:KPNIH32_09320
ko:K05685	kpg:KPNIH32_09325
ko:K03704	kpg:KPNIH32_09330
ko:K06891	kpg:KPNIH32_09335
ko:K00626	kpg:KPNIH32_13430
ko:K00059	kpg:KPNIH32_13435
ko:K01026	kpg:KPNIH32_13440
ko:K01759	kpg:KPNIH32_13450
ko:K02429	kpg:KPNIH32_13455
ko:K17195	kpg:KPNIH32_13465
ko:K02430	kpg:KPNIH32_13470
ko:K01619	kpg:KPNIH32_13475
ko:K03436	kpg:KPNIH32_13485
ko:K06889	kpg:KPNIH32_13500
ko:K00134	kpg:KPNIH32_13515
ko:K02352	kpg:KPNIH32_13540
ko:K08476	kpg:KPNIH32_13565
ko:K08475	kpg:KPNIH32_13570
ko:K08478	kpg:KPNIH32_13575
ko:K11382	kpg:KPNIH32_13580
ko:K03707	kpg:KPNIH32_13595
ko:K06971	kpg:KPNIH32_13600
ko:K00852	kpg:KPNIH32_13605
ko:K10439	kpg:KPNIH32_13610
ko:K02529	kpg:KPNIH32_13620
ko:K02056	kpg:KPNIH32_13625
ko:K02057	kpg:KPNIH32_13630
ko:K07048	kpg:KPNIH32_13635
ko:K01439	kpg:KPNIH32_13645
ko:K02770	kpg:KPNIH32_13680
ko:K02769	kpg:KPNIH32_13685
ko:K02768	kpg:KPNIH32_13695
ko:K17195	kpg:KPNIH32_13700
ko:K01426	kpg:KPNIH32_17780
ko:K00645	kpg:KPNIH32_17800
ko:K00074	kpg:KPNIH32_17815
ko:K03316	kpg:KPNIH32_17860
ko:K16137	kpg:KPNIH32_17865
ko:K01241	kpg:KPNIH32_17890
ko:K07316	kpg:KPNIH32_17925
ko:K01156	kpg:KPNIH32_17930
ko:K07733	kpg:KPNIH32_18030
ko:K03837	kpg:KPNIH32_22050
ko:K01752	kpg:KPNIH32_22055
ko:K15553	kpg:KPNIH32_22060
ko:K04091	kpg:KPNIH32_22100
ko:K01146	kpg:KPNIH32_22115
ko:K00048	kpg:KPNIH32_22120
ko:K01628	kpg:KPNIH32_22125
ko:K02429	kpg:KPNIH32_22135
ko:K01818	kpg:KPNIH32_22140
ko:K00879	kpg:KPNIH32_22145
ko:K02431	kpg:KPNIH32_22150
ko:K02430	kpg:KPNIH32_22155
ko:K06968	kpg:KPNIH32_22160
ko:K03566	kpg:KPNIH32_22170
ko:K01766	kpg:KPNIH32_22180
ko:K02426	kpg:KPNIH32_22185
ko:K08304	kpg:KPNIH32_22195
ko:K00768	kpg:KPNIH32_22215
ko:K02231	kpg:KPNIH32_22220
ko:K02232	kpg:KPNIH32_22225
ko:K02006	kpg:KPNIH32_22230
ko:K02008	kpg:KPNIH32_22235
ko:K02009	kpg:KPNIH32_22240
ko:K02007	kpg:KPNIH32_22245
ko:K03394	kpg:KPNIH32_22250
ko:K02190	kpg:KPNIH32_22255
ko:K05895	kpg:KPNIH32_22260
ko:K02189	kpg:KPNIH32_22270
ko:K05936	kpg:KPNIH32_22275
ko:K02191	kpg:KPNIH32_22280
ko:K03399	kpg:KPNIH32_22285
ko:K02188	kpg:KPNIH32_22290
ko:K06042	kpg:KPNIH32_22295
ko:K02227	kpg:KPNIH32_22300
ko:K02224	kpg:KPNIH32_22305
ko:K12372	kpg:KPNIH32_26350
ko:K12371	kpg:KPNIH32_26355
ko:K12370	kpg:KPNIH32_26360
ko:K12369	kpg:KPNIH32_26365
ko:K12368	kpg:KPNIH32_26370
ko:K12975	kpg:KPNIH32_26400
ko:K08177	kpg:KPNIH32_26405
ko:K01246	kpg:KPNIH32_26415
ko:K03826	kpg:KPNIH32_26420
ko:K08351	kpg:KPNIH32_26425
ko:K02525	kpg:KPNIH32_26440
ko:K00874	kpg:KPNIH32_26450
ko:K00090	kpg:KPNIH32_26460
ko:K08195	kpg:KPNIH32_26470
ko:K07726	kpg:KPNIH32_26475
ko:K03704	kpg:KPNIH32_26480
ko:K01879	kpg:KPNIH32_26495
ko:K01878	kpg:KPNIH32_26500
ko:K00854	kpg:KPNIH32_26525
ko:K01805	kpg:KPNIH32_26530
ko:K10543	kpg:KPNIH32_26535
ko:K10545	kpg:KPNIH32_26540
ko:K10544	kpg:KPNIH32_26545
ko:K02529	kpg:KPNIH32_26550
ko:K03796	kpg:KPNIH32_26555
ko:K01176	kpg:KPNIH32_26560
ko:K00835	kpg:KPNIH32_26565
ko:K05796	kpg:KPNIH32_26570
ko:K03833	kpg:KPNIH32_26575
ko:K01042	kpg:KPNIH32_26580
ko:K03148	kpg:KPNIH32_01185
ko:K00788	kpg:KPNIH32_01190
ko:K03147	kpg:KPNIH32_01195
ko:K07740	kpg:KPNIH32_01200
ko:K03426	kpg:KPNIH32_01205
ko:K01599	kpg:KPNIH32_01210
ko:K05982	kpg:KPNIH32_01215
ko:K09891	kpg:KPNIH32_01220
ko:K05787	kpg:KPNIH32_01225
ko:K07803	kpg:KPNIH32_01235
ko:K07709	kpg:KPNIH32_01245
ko:K01945	kpg:KPNIH32_01255
ko:K00602	kpg:KPNIH32_01260
ko:K03827	kpg:KPNIH32_01285
ko:K00651	kpg:KPNIH32_01290
ko:K01638	kpg:KPNIH32_01295
ko:K01637	kpg:KPNIH32_01300
ko:K00906	kpg:KPNIH32_01305
ko:K13641	kpg:KPNIH32_01310
ko:K00548	kpg:KPNIH32_01315
ko:K03324	kpg:KPNIH32_01320
ko:K00014	kpg:KPNIH32_01325
ko:K02815	kpg:KPNIH32_01335
ko:K02814	kpg:KPNIH32_01340
ko:K02813	kpg:KPNIH32_01345
ko:K02812	kpg:KPNIH32_01350
ko:K00068	kpg:KPNIH32_01355
ko:K06182	kpg:KPNIH32_01365
ko:K03453	kpg:KPNIH32_01375
ko:K00928	kpg:KPNIH32_01380
ko:K01810	kpg:KPNIH32_01385
ko:K09022	kpg:KPNIH32_01400
ko:K13256	kpg:KPNIH32_01425
ko:K10110	kpg:KPNIH32_01430
ko:K10109	kpg:KPNIH32_01435
ko:K10108	kpg:KPNIH32_01440
ko:K16235	kpg:KPNIH32_05520
ko:K00547	kpg:KPNIH32_05525
ko:K15551	kpg:KPNIH32_05530
ko:K10831	kpg:KPNIH32_05535
ko:K15552	kpg:KPNIH32_05540
ko:K03119	kpg:KPNIH32_05545
ko:K01698	kpg:KPNIH32_05555
ko:K17938	kpg:KPNIH32_05570
ko:K01921	kpg:KPNIH32_05590
ko:K08161	kpg:KPNIH32_05600
ko:K01077	kpg:KPNIH32_05610
ko:K00286	kpg:KPNIH32_05620
ko:K09768	kpg:KPNIH32_05625
ko:K09945	kpg:KPNIH32_05630
ko:K00891	kpg:KPNIH32_05635
ko:K14591	kpg:KPNIH32_05645
ko:K09913	kpg:KPNIH32_05650
ko:K03554	kpg:KPNIH32_05655
ko:K00847	kpg:KPNIH32_05660
ko:K03547	kpg:KPNIH32_05670
ko:K07657	kpg:KPNIH32_05675
ko:K07636	kpg:KPNIH32_05680
ko:K03311	kpg:KPNIH32_05685
ko:K11736	kpg:KPNIH32_05690
ko:K01187	kpg:KPNIH32_05695
ko:K09932	kpg:KPNIH32_05710
ko:K01624	kpg:KPNIH32_05720
ko:K03475	kpg:KPNIH32_05730
ko:K02822	kpg:KPNIH32_05735
ko:K02821	kpg:KPNIH32_05740
ko:K03386	kpg:KPNIH32_05750
ko:K08682	kpg:KPNIH32_05755
ko:K07568	kpg:KPNIH32_05765
ko:K00773	kpg:KPNIH32_05770
ko:K03210	kpg:KPNIH32_05775
ko:K03072	kpg:KPNIH32_05780
ko:K03809	kpg:KPNIH32_09880
ko:K09016	kpg:KPNIH32_09900
ko:K09024	kpg:KPNIH32_09905
ko:K09019	kpg:KPNIH32_09910
ko:K09023	kpg:KPNIH32_09915
ko:K09021	kpg:KPNIH32_09920
ko:K09020	kpg:KPNIH32_09925
ko:K09018	kpg:KPNIH32_09930
ko:K13821	kpg:KPNIH32_09945
ko:K11928	kpg:KPNIH32_09950
ko:K03317	kpg:KPNIH32_09960
ko:K07243	kpg:KPNIH32_09965
ko:K07224	kpg:KPNIH32_09970
ko:K16301	kpg:KPNIH32_09975
ko:K03673	kpg:KPNIH32_09985
ko:K06911	kpg:KPNIH32_10000
ko:K12972	kpg:KPNIH32_10015
ko:K04477	kpg:KPNIH32_10020
ko:K11941	kpg:KPNIH32_10045
ko:K03670	kpg:KPNIH32_10050
ko:K03669	kpg:KPNIH32_10055
ko:K12147	kpg:KPNIH32_10065
ko:K08161	kpg:KPNIH32_10070
ko:K02517	kpg:KPNIH32_10075
ko:K07146	kpg:KPNIH32_10085
ko:K02846	kpg:KPNIH32_10095
ko:K12148	kpg:KPNIH32_10100
ko:K12149	kpg:KPNIH32_10105
ko:K01465	kpg:KPNIH32_10110
ko:K08162	kpg:KPNIH32_10120
ko:K03790	kpg:KPNIH32_10125
ko:K09915	kpg:KPNIH32_10130
ko:K03810	kpg:KPNIH32_10135
ko:K03980	kpg:KPNIH32_10140
ko:K02972	kpg:KPNIH32_14280
ko:K00027	kpg:KPNIH32_14290
ko:K01507	kpg:KPNIH32_14310
ko:K13953	kpg:KPNIH32_14320
ko:K02035	kpg:KPNIH32_14325
ko:K02033	kpg:KPNIH32_14330
ko:K02034	kpg:KPNIH32_14335
ko:K02031	kpg:KPNIH32_14340
ko:K02032	kpg:KPNIH32_14340
ko:K08350	kpg:KPNIH32_14375
ko:K08349	kpg:KPNIH32_14380
ko:K05783	kpg:KPNIH32_14400
ko:K05784	kpg:KPNIH32_14405
ko:K05550	kpg:KPNIH32_14410
ko:K05549	kpg:KPNIH32_14415
ko:K03381	kpg:KPNIH32_14420
ko:K03464	kpg:KPNIH32_14425
ko:K02624	kpg:KPNIH32_14435
ko:K08167	kpg:KPNIH32_14440
ko:K02575	kpg:KPNIH32_14450
ko:K00370	kpg:KPNIH32_14455
ko:K00371	kpg:KPNIH32_14460
ko:K00373	kpg:KPNIH32_14465
ko:K00374	kpg:KPNIH32_14470
ko:K00675	kpg:KPNIH32_14475
ko:K02011	kpg:KPNIH32_14480
ko:K02012	kpg:KPNIH32_14485
ko:K02010	kpg:KPNIH32_14490
ko:K02855	kpg:KPNIH32_14500
ko:K16077	kpg:KPNIH32_14515
ko:K00878	kpg:KPNIH32_18585
ko:K01486	kpg:KPNIH32_18605
ko:K06901	kpg:KPNIH32_18610
ko:K03593	kpg:KPNIH32_18630
ko:K01874	kpg:KPNIH32_18635
ko:K02477	kpg:KPNIH32_18645
ko:K02478	kpg:KPNIH32_18650
ko:K05846	kpg:KPNIH32_18660
ko:K05847	kpg:KPNIH32_18665
ko:K05846	kpg:KPNIH32_18670
ko:K05845	kpg:KPNIH32_18675
ko:K05349	kpg:KPNIH32_18680
ko:K03777	kpg:KPNIH32_18685
ko:K03823	kpg:KPNIH32_18690
ko:K07262	kpg:KPNIH32_18695
ko:K01223	kpg:KPNIH32_18720
ko:K02755	kpg:KPNIH32_18725
ko:K02756	kpg:KPNIH32_18725
ko:K02757	kpg:KPNIH32_18725
ko:K03488	kpg:KPNIH32_18730
ko:K07267	kpg:KPNIH32_18735
ko:K05541	kpg:KPNIH32_18740
ko:K06518	kpg:KPNIH32_18745
ko:K01489	kpg:KPNIH32_18755
ko:K03748	kpg:KPNIH32_18760
ko:K10541	kpg:KPNIH32_18765
ko:K10542	kpg:KPNIH32_18770
ko:K10540	kpg:KPNIH32_18775
ko:K02529	kpg:KPNIH32_18780
ko:K07148	kpg:KPNIH32_18785
ko:K01495	kpg:KPNIH32_18790
ko:K01070	kpg:KPNIH32_18795
ko:K16089	kpg:KPNIH32_18800
ko:K11733	kpg:KPNIH32_18805
ko:K01151	kpg:KPNIH32_18825
ko:K02769	kpg:KPNIH32_18830
ko:K02770	kpg:KPNIH32_18830
ko:K00882	kpg:KPNIH32_18835
ko:K02768	kpg:KPNIH32_18840
ko:K11183	kpg:KPNIH32_18840
ko:K03893	kpg:KPNIH32_22865
ko:K09702	kpg:KPNIH32_22880
ko:K01607	kpg:KPNIH32_22905
ko:K08169	kpg:KPNIH32_22915
ko:K12943	kpg:KPNIH32_22925
ko:K01823	kpg:KPNIH32_22935
ko:K04567	kpg:KPNIH32_22940
ko:K02836	kpg:KPNIH32_22945
ko:K07462	kpg:KPNIH32_22950
ko:K03981	kpg:KPNIH32_22955
ko:K04763	kpg:KPNIH32_22960
ko:K03840	kpg:KPNIH32_22965
ko:K09159	kpg:KPNIH32_22975
ko:K06980	kpg:KPNIH32_22980
ko:K11068	kpg:KPNIH32_22985
ko:K09900	kpg:KPNIH32_22990
ko:K01223	kpg:KPNIH32_23000
ko:K08344	kpg:KPNIH32_23010
ko:K00281	kpg:KPNIH32_23030
ko:K02437	kpg:KPNIH32_23035
ko:K00605	kpg:KPNIH32_23040
ko:K18800	kpg:KPNIH32_23045
ko:K03185	kpg:KPNIH32_23050
ko:K01262	kpg:KPNIH32_23055
ko:K09895	kpg:KPNIH32_23060
ko:K09888	kpg:KPNIH32_23065
ko:K01934	kpg:KPNIH32_23070
ko:K00058	kpg:KPNIH32_23075
ko:K01807	kpg:KPNIH32_23085
ko:K05596	kpg:KPNIH32_23090
ko:K09807	kpg:KPNIH32_23095
ko:K06895	kpg:KPNIH32_23100
ko:K03442	kpg:KPNIH32_23110
ko:K01624	kpg:KPNIH32_23115
ko:K00927	kpg:KPNIH32_23120
ko:K03472	kpg:KPNIH32_23125
ko:K16514	kpg:KPNIH32_27160
ko:K10218	kpg:KPNIH32_27165
ko:K16515	kpg:KPNIH32_27170
ko:K16516	kpg:KPNIH32_27175
ko:K02760	kpg:KPNIH32_27195
ko:K02761	kpg:KPNIH32_27200
ko:K02759	kpg:KPNIH32_27205
ko:K02024	kpg:KPNIH32_27210
ko:K11083	kpg:KPNIH32_27220
ko:K11084	kpg:KPNIH32_27225
ko:K11081	kpg:KPNIH32_27230
ko:K03430	kpg:KPNIH32_27240
ko:K05306	kpg:KPNIH32_27245
ko:K07726	kpg:KPNIH32_27260
ko:K07784	kpg:KPNIH32_27270
ko:K07783	kpg:KPNIH32_27275
ko:K07675	kpg:KPNIH32_27280
ko:K01653	kpg:KPNIH32_27290
ko:K01652	kpg:KPNIH32_27295
ko:K08154	kpg:KPNIH32_27315
ko:K13636	kpg:KPNIH32_27320
ko:K13629	kpg:KPNIH32_27330
ko:K01753	kpg:KPNIH32_27335
ko:K06871	kpg:KPNIH32_27340
ko:K00389	kpg:KPNIH32_27350
ko:K01232	kpg:KPNIH32_27355
ko:K02749	kpg:KPNIH32_27360
ko:K02750	kpg:KPNIH32_27360
ko:K03482	kpg:KPNIH32_27365
ko:K07085	kpg:KPNIH32_27370
ko:K04081	kpg:KPNIH32_27380
ko:K04080	kpg:KPNIH32_27385
ko:K08194	kpg:KPNIH32_27400
ko:K01684	kpg:KPNIH32_27405
ko:K04084	kpg:KPNIH32_02030
ko:K03926	kpg:KPNIH32_02035
ko:K07791	kpg:KPNIH32_02040
ko:K01744	kpg:KPNIH32_02045
ko:K07113	kpg:KPNIH32_02055
ko:K16263	kpg:KPNIH32_02060
ko:K04078	kpg:KPNIH32_02070
ko:K04077	kpg:KPNIH32_02075
ko:K13409	kpg:KPNIH32_02090
ko:K13408	kpg:KPNIH32_02095
ko:K07347	kpg:KPNIH32_02115
ko:K02356	kpg:KPNIH32_02155
ko:K16347	kpg:KPNIH32_02160
ko:K16348	kpg:KPNIH32_02165
ko:K03098	kpg:KPNIH32_02175
ko:K00247	kpg:KPNIH32_02180
ko:K00246	kpg:KPNIH32_02185
ko:K00245	kpg:KPNIH32_02190
ko:K00244	kpg:KPNIH32_02195
ko:K04568	kpg:KPNIH32_02200
ko:K01613	kpg:KPNIH32_02215
ko:K06949	kpg:KPNIH32_02220
ko:K13288	kpg:KPNIH32_02225
ko:K09996	kpg:KPNIH32_02230
ko:K17758	kpg:KPNIH32_02260
ko:K17759	kpg:KPNIH32_02260
ko:K06925	kpg:KPNIH32_02265
ko:K01448	kpg:KPNIH32_02270
ko:K03572	kpg:KPNIH32_02275
ko:K00791	kpg:KPNIH32_02280
ko:K09973	kpg:KPNIH32_06320
ko:K17686	kpg:KPNIH32_06325
ko:K07340	kpg:KPNIH32_06335
ko:K02068	kpg:KPNIH32_06345
ko:K02069	kpg:KPNIH32_06350
ko:K05838	kpg:KPNIH32_06355
ko:K10804	kpg:KPNIH32_06365
ko:K02003	kpg:KPNIH32_06370
ko:K02004	kpg:KPNIH32_06375
ko:K06917	kpg:KPNIH32_06390
ko:K01589	kpg:KPNIH32_06395
ko:K01588	kpg:KPNIH32_06400
ko:K03269	kpg:KPNIH32_06410
ko:K03768	kpg:KPNIH32_06415
ko:K01883	kpg:KPNIH32_06420
ko:K14761	kpg:KPNIH32_06425
ko:K01491	kpg:KPNIH32_06430
ko:K09786	kpg:KPNIH32_10700
ko:K07180	kpg:KPNIH32_10705
ko:K01792	kpg:KPNIH32_10720
ko:K00134	kpg:KPNIH32_10725
ko:K07305	kpg:KPNIH32_10730
ko:K09916	kpg:KPNIH32_10735
ko:K01183	kpg:KPNIH32_10745
ko:K08369	kpg:KPNIH32_10755
ko:K18471	kpg:KPNIH32_10775
ko:K08369	kpg:KPNIH32_10785
ko:K08281	kpg:KPNIH32_10790
ko:K01424	kpg:KPNIH32_10795
ko:K04773	kpg:KPNIH32_10800
ko:K09474	kpg:KPNIH32_10820
ko:K01008	kpg:KPNIH32_10825
ko:K00262	kpg:KPNIH32_10840
ko:K08320	kpg:KPNIH32_10850
ko:K05779	kpg:KPNIH32_10865
ko:K05778	kpg:KPNIH32_10870
ko:K05777	kpg:KPNIH32_10875
ko:K01142	kpg:KPNIH32_10895
ko:K00840	kpg:KPNIH32_10900
ko:K00673	kpg:KPNIH32_10905
ko:K06447	kpg:KPNIH32_10910
ko:K01484	kpg:KPNIH32_10915
ko:K05526	kpg:KPNIH32_10920
ko:K05984	kpg:KPNIH32_10935
ko:K01916	kpg:KPNIH32_10940
ko:K04064	kpg:KPNIH32_10945
ko:K02760	kpg:KPNIH32_10950
ko:K02761	kpg:KPNIH32_10960
ko:K03604	kpg:KPNIH32_15065
ko:K00574	kpg:KPNIH32_15080
ko:K00793	kpg:KPNIH32_15085
ko:K03327	kpg:KPNIH32_15090
ko:K06966	kpg:KPNIH32_15100
ko:K01673	kpg:KPNIH32_15170
ko:K01759	kpg:KPNIH32_15185
ko:K02035	kpg:KPNIH32_15195
ko:K02033	kpg:KPNIH32_15200
ko:K02034	kpg:KPNIH32_15205
ko:K02051	kpg:KPNIH32_15255
ko:K01485	kpg:KPNIH32_15275
ko:K01470	kpg:KPNIH32_15285
ko:K02051	kpg:KPNIH32_15290
ko:K02049	kpg:KPNIH32_15295
ko:K02050	kpg:KPNIH32_15300
ko:K17737	kpg:KPNIH32_15330
ko:K01028	kpg:KPNIH32_15335
ko:K01029	kpg:KPNIH32_15340
ko:K03186	kpg:KPNIH32_19370
ko:K00764	kpg:KPNIH32_19375
ko:K03558	kpg:KPNIH32_19380
ko:K03749	kpg:KPNIH32_19385
ko:K11754	kpg:KPNIH32_19390
ko:K01963	kpg:KPNIH32_19395
ko:K03975	kpg:KPNIH32_19400
ko:K06173	kpg:KPNIH32_19405
ko:K03473	kpg:KPNIH32_19415
ko:K00647	kpg:KPNIH32_19430
ko:K15461	kpg:KPNIH32_19435
ko:K09906	kpg:KPNIH32_19445
ko:K07090	kpg:KPNIH32_19450
ko:K07261	kpg:KPNIH32_19455
ko:K01736	kpg:KPNIH32_19460
ko:K07320	kpg:KPNIH32_19465
ko:K08296	kpg:KPNIH32_19475
ko:K01782	kpg:KPNIH32_19480
ko:K06076	kpg:KPNIH32_19495
ko:K04754	kpg:KPNIH32_19500
ko:K11921	kpg:KPNIH32_19525
ko:K03449	kpg:KPNIH32_19535
ko:K06606	kpg:KPNIH32_02825
ko:K00140	kpg:KPNIH32_02830
ko:K03337	kpg:KPNIH32_02835
ko:K03338	kpg:KPNIH32_02860
ko:K03336	kpg:KPNIH32_02870
ko:K00010	kpg:KPNIH32_02875
ko:K14261	kpg:KPNIH32_19540
ko:K02478	kpg:KPNIH32_19555
ko:K02477	kpg:KPNIH32_19560
ko:K00845	kpg:KPNIH32_19565
ko:K03322	kpg:KPNIH32_19590
ko:K11535	kpg:KPNIH32_19595
ko:K01885	kpg:KPNIH32_19625
ko:K01697	kpg:KPNIH32_23700
ko:K01758	kpg:KPNIH32_23705
ko:K01460	kpg:KPNIH32_23735
ko:K11209	kpg:KPNIH32_23750
ko:K01061	kpg:KPNIH32_23760
ko:K03559	kpg:KPNIH32_23780
ko:K03561	kpg:KPNIH32_23785
ko:K01760	kpg:KPNIH32_23795
ko:K08325	kpg:KPNIH32_23810
ko:K06221	kpg:KPNIH32_23815
ko:K00655	kpg:KPNIH32_23835
ko:K02621	kpg:KPNIH32_23840
ko:K13652	kpg:KPNIH32_23845
ko:K07666	kpg:KPNIH32_23855
ko:K07645	kpg:KPNIH32_23860
ko:K03923	kpg:KPNIH32_23865
ko:K02622	kpg:KPNIH32_23875
ko:K07000	kpg:KPNIH32_23880
ko:K03651	kpg:KPNIH32_23885
ko:K09920	kpg:KPNIH32_23890
ko:K01515	kpg:KPNIH32_23895
ko:K12340	kpg:KPNIH32_23900
ko:K07238	kpg:KPNIH32_23920
ko:K02858	kpg:KPNIH32_23925
ko:K09806	kpg:KPNIH32_23930
ko:K03272	kpg:KPNIH32_23945
ko:K06605	kpg:KPNIH32_02880
