ko:K10353	lhr:R0052_11810
ko:K00059	lhr:R0052_08430
ko:K00016	lhr:R0052_03510
ko:K01934	lhr:R0052_03635
ko:K01784	lhr:R0052_03720
ko:K01081	lhr:R0052_03845
ko:K02074	lhr:R0052_10465
ko:K00939	lhr:R0052_01720
ko:K01372	lhr:R0052_01850
ko:K09698	lhr:R0052_01880
ko:K03294	lhr:R0052_08715
ko:K07404	lhr:R0052_08475
ko:K10254	lhr:R0052_08490
ko:K07816	lhr:R0052_08505
ko:K06198	lhr:R0052_08520
ko:K08483	lhr:R0052_08535
ko:K11189	lhr:R0052_08540
ko:K03697	lhr:R0052_08550
ko:K03699	lhr:R0052_08570
ko:K01641	lhr:R0052_08650
ko:K00054	lhr:R0052_08655
ko:K00626	lhr:R0052_08660
ko:K02077	lhr:R0052_10470
ko:K00882	lhr:R0052_10505
ko:K03436	lhr:R0052_10510
ko:K01785	lhr:R0052_03880
ko:K02035	lhr:R0052_04135
ko:K06889	lhr:R0052_10735
ko:K08161	lhr:R0052_10790
ko:K06147	lhr:R0052_10610
ko:K01104	lhr:R0052_10670
ko:K02004	lhr:R0052_10720
ko:K01537	lhr:R0052_04235
ko:K07305	lhr:R0052_04315
ko:K01281	lhr:R0052_04320
ko:K03647	lhr:R0052_10885
ko:K00059	lhr:R0052_11015
ko:K03498	lhr:R0052_06545
ko:K00691	lhr:R0052_11280
ko:K07009	lhr:R0052_11345
ko:K09963	lhr:R0052_11435
ko:K00949	lhr:R0052_04495
ko:K07030	lhr:R0052_04515
ko:K02033	lhr:R0052_04545
ko:K02035	lhr:R0052_04555
ko:K02035	lhr:R0052_04570
ko:K03294	lhr:R0052_04630
ko:K09787	lhr:R0052_04635
ko:K09976	lhr:R0052_04685
ko:K07386	lhr:R0052_04700
ko:K00564	lhr:R0052_02010
ko:K01409	lhr:R0052_02090
ko:K01619	lhr:R0052_02095
ko:K02808	lhr:R0052_02225
ko:K02809	lhr:R0052_02225
ko:K02810	lhr:R0052_02225
ko:K00851	lhr:R0052_01910
ko:K04488	lhr:R0052_08805
ko:K00852	lhr:R0052_08860
ko:K10041	lhr:R0052_08915
ko:K08161	lhr:R0052_08985
ko:K02824	lhr:R0052_09000
ko:K10254	lhr:R0052_09045
ko:K03177	lhr:R0052_04815
ko:K01478	lhr:R0052_04915
ko:K03574	lhr:R0052_05085
ko:K01258	lhr:R0052_05100
ko:K00974	lhr:R0052_06705
ko:K04763	lhr:R0052_06770
ko:K01119	lhr:R0052_06800
ko:K00784	lhr:R0052_06820
ko:K03294	lhr:R0052_06850
ko:K00841	lhr:R0052_06890
ko:K03976	lhr:R0052_06925
ko:K07052	lhr:R0052_11745
ko:K02744	lhr:R0052_02435
ko:K02795	lhr:R0052_02445
ko:K02428	lhr:R0052_02560
ko:K02433	lhr:R0052_09115
ko:K03095	lhr:R0052_09150
ko:K01916	lhr:R0052_09175
ko:K07729	lhr:R0052_00230
ko:K05833	lhr:R0052_00350
ko:K05832	lhr:R0052_00355
ko:K01989	lhr:R0052_00360
ko:K01823	lhr:R0052_05160
ko:K00938	lhr:R0052_05165
ko:K01597	lhr:R0052_05170
ko:K00869	lhr:R0052_05175
ko:K02086	lhr:R0052_05205
ko:K03700	lhr:R0052_05220
ko:K03768	lhr:R0052_05400
ko:K15986	lhr:R0052_05405
ko:K09705	lhr:R0052_05495
ko:K06910	lhr:R0052_06950
ko:K00016	lhr:R0052_07105
ko:K00244	lhr:R0052_07130
ko:K01679	lhr:R0052_07135
ko:K03492	lhr:R0052_07230
ko:K02564	lhr:R0052_11770
ko:K09963	lhr:R0052_11780
ko:K00033	lhr:R0052_11930
ko:K00158	lhr:R0052_11935
ko:K06204	lhr:R0052_11410
ko:K10040	lhr:R0052_08900
ko:K01271	lhr:R0052_02580
ko:K00980	lhr:R0052_09205
ko:K12574	lhr:R0052_07520
ko:K17836	lhr:R0052_09545
ko:K16786	lhr:R0052_00575
ko:K16787	lhr:R0052_00575
ko:K01304	lhr:R0052_01060
ko:K01866	lhr:R0052_01105
ko:K06950	lhr:R0052_01125
ko:K15580	lhr:R0052_01130
ko:K15580	lhr:R0052_01135
ko:K15581	lhr:R0052_01145
ko:K13993	lhr:R0052_01170
ko:K03624	lhr:R0052_01175
ko:K01867	lhr:R0052_01190
ko:K01531	lhr:R0052_01205
ko:K01874	lhr:R0052_01210
ko:K03424	lhr:R0052_01215
ko:K05985	lhr:R0052_01220
ko:K02528	lhr:R0052_01225
ko:K04042	lhr:R0052_01260
ko:K00948	lhr:R0052_01290
ko:K03701	lhr:R0052_06250
ko:K08987	lhr:R0052_06435
ko:K04095	lhr:R0052_06460
ko:K00868	lhr:R0052_06500
ko:K03654	lhr:R0052_06530
ko:K02111	lhr:R0052_07895
ko:K02113	lhr:R0052_07900
ko:K02109	lhr:R0052_07905
ko:K02110	lhr:R0052_07910
ko:K02108	lhr:R0052_07915
ko:K00761	lhr:R0052_07920
ko:K07566	lhr:R0052_07925
ko:K02493	lhr:R0052_07930
ko:K02835	lhr:R0052_07935
ko:K01928	lhr:R0052_07945
ko:K01810	lhr:R0052_07970
ko:K01809	lhr:R0052_08000
ko:K14155	lhr:R0052_08005
ko:K00925	lhr:R0052_08020
ko:K01223	lhr:R0052_08080
ko:K00865	lhr:R0052_08095
ko:K03431	lhr:R0052_08120
ko:K00075	lhr:R0052_08155
ko:K06925	lhr:R0052_08165
ko:K16509	lhr:R0052_08530
ko:K16511	lhr:R0052_08525
ko:K01154	lhr:R0052_04035
ko:K01937	lhr:R0052_01320
ko:K00790	lhr:R0052_01325
ko:K08659	lhr:R0052_01340
ko:K16169	lhr:R0052_01350
ko:K03816	lhr:R0052_01355
ko:K01951	lhr:R0052_01385
ko:K00600	lhr:R0052_01415
ko:K02909	lhr:R0052_01445
ko:K01929	lhr:R0052_01450
ko:K05592	lhr:R0052_01455
ko:K00997	lhr:R0052_01460
ko:K01775	lhr:R0052_01465
ko:K01056	lhr:R0052_01485
ko:K03723	lhr:R0052_01490
ko:K04075	lhr:R0052_01510
ko:K03798	lhr:R0052_01515
ko:K04083	lhr:R0052_01520
ko:K04567	lhr:R0052_01530
ko:K03696	lhr:R0052_01545
ko:K03043	lhr:R0052_01550
ko:K03046	lhr:R0052_01555
ko:K02950	lhr:R0052_01595
ko:K02992	lhr:R0052_01600
ko:K02355	lhr:R0052_01605
ko:K02946	lhr:R0052_01610
ko:K02906	lhr:R0052_01615
ko:K02926	lhr:R0052_01620
ko:K02892	lhr:R0052_01625
ko:K06885	lhr:R0052_01305
ko:K03648	lhr:R0052_08175
ko:K01803	lhr:R0052_08190
ko:K00927	lhr:R0052_08195
ko:K00134	lhr:R0052_08200
ko:K05311	lhr:R0052_08205
ko:K01358	lhr:R0052_08240
ko:K06958	lhr:R0052_08255
ko:K03701	lhr:R0052_08265
ko:K03702	lhr:R0052_08270
ko:K00688	lhr:R0052_08285
ko:K00703	lhr:R0052_08290
ko:K00975	lhr:R0052_08295
ko:K00975	lhr:R0052_08300
ko:K00057	lhr:R0052_08340
ko:K13292	lhr:R0052_08345
ko:K02836	lhr:R0052_08360
ko:K03070	lhr:R0052_08365
ko:K00995	lhr:R0052_08420
ko:K03466	lhr:R0052_08445
ko:K03216	lhr:R0052_08455
ko:K02965	lhr:R0052_01635
ko:K02890	lhr:R0052_01640
ko:K02982	lhr:R0052_01645
ko:K02878	lhr:R0052_01650
ko:K02904	lhr:R0052_01655
ko:K02961	lhr:R0052_01660
ko:K02874	lhr:R0052_01665
ko:K02895	lhr:R0052_01670
ko:K02931	lhr:R0052_01675
ko:K02954	lhr:R0052_01680
ko:K02994	lhr:R0052_01685
ko:K02933	lhr:R0052_01690
ko:K02881	lhr:R0052_01695
ko:K02988	lhr:R0052_01700
ko:K02907	lhr:R0052_01705
ko:K02876	lhr:R0052_01710
ko:K03076	lhr:R0052_01715
ko:K02518	lhr:R0052_01725
ko:K02919	lhr:R0052_01730
ko:K02952	lhr:R0052_01735
ko:K02948	lhr:R0052_01740
ko:K03040	lhr:R0052_01745
ko:K02879	lhr:R0052_01750
ko:K06173	lhr:R0052_01770
ko:K02871	lhr:R0052_01775
ko:K02996	lhr:R0052_01780
ko:K03152	lhr:R0052_01790
ko:K07090	lhr:R0052_01800
ko:K16264	lhr:R0052_01810
ko:K01531	lhr:R0052_01835
ko:K04485	lhr:R0052_01875
ko:K01883	lhr:R0052_01885
ko:K11145	lhr:R0052_01890
ko:K03218	lhr:R0052_01895
ko:K03091	lhr:R0052_01900
ko:K02886	lhr:R0052_01630
ko:K06180	lhr:R0052_08495
ko:K00858	lhr:R0052_08500
ko:K02837	lhr:R0052_08565
ko:K03565	lhr:R0052_08585
ko:K00963	lhr:R0052_08665
ko:K07058	lhr:R0052_08670
ko:K01265	lhr:R0052_08675
ko:K02761	lhr:R0052_08700
ko:K00760	lhr:R0052_08720
ko:K03481	lhr:R0052_08760
ko:K02749	lhr:R0052_08765
ko:K02750	lhr:R0052_08765
ko:K02781	lhr:R0052_08465
ko:K01662	lhr:R0052_01915
ko:K02913	lhr:R0052_01920
ko:K03073	lhr:R0052_01925
ko:K02601	lhr:R0052_01930
ko:K02867	lhr:R0052_01935
ko:K02863	lhr:R0052_01940
ko:K02040	lhr:R0052_01945
ko:K02037	lhr:R0052_01950
ko:K02038	lhr:R0052_01955
ko:K02036	lhr:R0052_01960
ko:K02036	lhr:R0052_01965
ko:K02039	lhr:R0052_01970
ko:K02864	lhr:R0052_01990
ko:K02935	lhr:R0052_01995
ko:K02343	lhr:R0052_02020
ko:K09747	lhr:R0052_02025
ko:K06187	lhr:R0052_02030
ko:K02341	lhr:R0052_02055
ko:K07056	lhr:R0052_02065
ko:K03789	lhr:R0052_02085
ko:K03710	lhr:R0052_02105
ko:K06158	lhr:R0052_02195
ko:K01926	lhr:R0052_02200
ko:K03484	lhr:R0052_02215
ko:K01193	lhr:R0052_02220
ko:K09014	lhr:R0052_08800
ko:K11717	lhr:R0052_08810
ko:K09015	lhr:R0052_08815
ko:K09013	lhr:R0052_08820
ko:K12700	lhr:R0052_08845
ko:K03549	lhr:R0052_08850
ko:K01807	lhr:R0052_08855
ko:K10040	lhr:R0052_08905
ko:K10039	lhr:R0052_08910
ko:K00876	lhr:R0052_08925
ko:K10039	lhr:R0052_08955
ko:K02825	lhr:R0052_08995
ko:K01207	lhr:R0052_02330
ko:K04078	lhr:R0052_02370
ko:K04077	lhr:R0052_02375
ko:K03555	lhr:R0052_02460
ko:K03572	lhr:R0052_02465
ko:K03550	lhr:R0052_02470
ko:K03551	lhr:R0052_02475
ko:K03210	lhr:R0052_02480
ko:K00036	lhr:R0052_02485
ko:K02346	lhr:R0052_02490
ko:K01872	lhr:R0052_02515
ko:K07447	lhr:R0052_02525
ko:K07456	lhr:R0052_02535
ko:K03671	lhr:R0052_02540
ko:K03282	lhr:R0052_02545
ko:K01776	lhr:R0052_02555
ko:K02529	lhr:R0052_02585
ko:K03704	lhr:R0052_09070
ko:K03215	lhr:R0052_09080
ko:K03315	lhr:R0052_09085
ko:K06890	lhr:R0052_09095
ko:K02434	lhr:R0052_09110
ko:K02435	lhr:R0052_09120
ko:K03657	lhr:R0052_09140
ko:K00763	lhr:R0052_09180
ko:K05946	lhr:R0052_09190
ko:K03710	lhr:R0052_09210
ko:K01126	lhr:R0052_09260
ko:K13678	lhr:R0052_02650
ko:K03075	lhr:R0052_02665
ko:K12573	lhr:R0052_02670
ko:K03664	lhr:R0052_02675
ko:K00789	lhr:R0052_02695
ko:K01869	lhr:R0052_02715
ko:K05878	lhr:R0052_02725
ko:K05879	lhr:R0052_02730
ko:K03975	lhr:R0052_02620
ko:K01443	lhr:R0052_09345
ko:K03710	lhr:R0052_09350
ko:K03724	lhr:R0052_09375
ko:K01610	lhr:R0052_09390
ko:K00925	lhr:R0052_09410
ko:K00820	lhr:R0052_09440
ko:K04072	lhr:R0052_09445
ko:K01875	lhr:R0052_09495
ko:K08659	lhr:R0052_09580
ko:K13727	lhr:R0052_02865
ko:K01887	lhr:R0052_02880
ko:K01624	lhr:R0052_02885
ko:K01223	lhr:R0052_03050
ko:K02761	lhr:R0052_03060
ko:K02440	lhr:R0052_03065
ko:K06180	lhr:R0052_03090
ko:K00384	lhr:R0052_02765
ko:K03811	lhr:R0052_09610
ko:K02356	lhr:R0052_09655
ko:K02029	lhr:R0052_09685
ko:K03657	lhr:R0052_09690
ko:K03481	lhr:R0052_09735
ko:K01232	lhr:R0052_09740
ko:K00963	lhr:R0052_09780
ko:K02503	lhr:R0052_03135
ko:K03439	lhr:R0052_03160
ko:K06878	lhr:R0052_03170
ko:K01924	lhr:R0052_03185
ko:K01938	lhr:R0052_03235
ko:K01588	lhr:R0052_03240
ko:K01589	lhr:R0052_03245
ko:K01923	lhr:R0052_03250
ko:K01952	lhr:R0052_03255
ko:K01952	lhr:R0052_03260
ko:K01952	lhr:R0052_03265
ko:K00764	lhr:R0052_03270
ko:K01933	lhr:R0052_03275
ko:K11175	lhr:R0052_03280
ko:K00602	lhr:R0052_03285
ko:K01945	lhr:R0052_03290
ko:K15342	lhr:R0052_03320
ko:K00859	lhr:R0052_03355
ko:K07738	lhr:R0052_03360
ko:K01868	lhr:R0052_03375
ko:K09707	lhr:R0052_03380
ko:K02520	lhr:R0052_03410
ko:K02916	lhr:R0052_03415
ko:K02887	lhr:R0052_03420
ko:K07015	lhr:R0052_03425
ko:K00067	lhr:R0052_10000
ko:K01790	lhr:R0052_10005
ko:K00973	lhr:R0052_10010
ko:K12990	lhr:R0052_10060
ko:K03665	lhr:R0052_10160
ko:K09710	lhr:R0052_03445
ko:K07040	lhr:R0052_03455
ko:K03217	lhr:R0052_03475
ko:K01512	lhr:R0052_03480
ko:K03437	lhr:R0052_03485
ko:K01889	lhr:R0052_03495
ko:K01890	lhr:R0052_03500
ko:K03624	lhr:R0052_03505
ko:K02598	lhr:R0052_03560
ko:K00763	lhr:R0052_03575
ko:K02913	lhr:R0052_03630
ko:K00791	lhr:R0052_03655
ko:K01915	lhr:R0052_03675
ko:K02529	lhr:R0052_03735
ko:K16209	lhr:R0052_03765
ko:K00969	lhr:R0052_03435
ko:K09157	lhr:R0052_10260
ko:K07166	lhr:R0052_10265
ko:K00942	lhr:R0052_10320
ko:K03817	lhr:R0052_10395
ko:K08602	lhr:R0052_10415
ko:K06956	lhr:R0052_10455
ko:K02768	lhr:R0052_10500
ko:K02769	lhr:R0052_10500
ko:K02770	lhr:R0052_10500
ko:K00849	lhr:R0052_03870
ko:K00965	lhr:R0052_03875
ko:K01153	lhr:R0052_04015
ko:K01154	lhr:R0052_04030
ko:K02029	lhr:R0052_04150
ko:K02029	lhr:R0052_04155
ko:K01752	lhr:R0052_04175
ko:K01752	lhr:R0052_04180
ko:K13256	lhr:R0052_03860
ko:K01779	lhr:R0052_10590
ko:K01928	lhr:R0052_10595
ko:K06942	lhr:R0052_10630
ko:K03501	lhr:R0052_10655
ko:K03734	lhr:R0052_10665
ko:K08659	lhr:R0052_10710
ko:K02003	lhr:R0052_10715
ko:K09861	lhr:R0052_10740
ko:K03305	lhr:R0052_10770
ko:K01256	lhr:R0052_10775
ko:K07727	lhr:R0052_10565
ko:K00762	lhr:R0052_04245
ko:K01591	lhr:R0052_04250
ko:K02825	lhr:R0052_04260
ko:K00609	lhr:R0052_04265
ko:K01465	lhr:R0052_04270
ko:K01956	lhr:R0052_04275
ko:K01955	lhr:R0052_04280
ko:K01821	lhr:R0052_04355
ko:K00826	lhr:R0052_04375
ko:K02888	lhr:R0052_04385
ko:K02899	lhr:R0052_04390
ko:K02356	lhr:R0052_04400
ko:K03625	lhr:R0052_04410
ko:K01491	lhr:R0052_04415
ko:K03601	lhr:R0052_04420
ko:K03602	lhr:R0052_04425
ko:K13789	lhr:R0052_04430
ko:K06442	lhr:R0052_04435
ko:K03631	lhr:R0052_04440
ko:K00942	lhr:R0052_04450
ko:K03060	lhr:R0052_04455
ko:K04066	lhr:R0052_04460
ko:K00604	lhr:R0052_04465
ko:K03500	lhr:R0052_04470
ko:K06949	lhr:R0052_04485
ko:K01783	lhr:R0052_04490
ko:K07173	lhr:R0052_10925
ko:K00549	lhr:R0052_10930
ko:K00297	lhr:R0052_10935
ko:K06901	lhr:R0052_10955
ko:K00759	lhr:R0052_10960
ko:K03523	lhr:R0052_10970
ko:K03524	lhr:R0052_10975
ko:K00208	lhr:R0052_10980
ko:K01962	lhr:R0052_10985
ko:K01963	lhr:R0052_10990
ko:K01961	lhr:R0052_10995
ko:K02372	lhr:R0052_11000
ko:K02160	lhr:R0052_11005
ko:K09458	lhr:R0052_11010
ko:K00645	lhr:R0052_11020
ko:K02078	lhr:R0052_11025
ko:K00648	lhr:R0052_11030
ko:K02372	lhr:R0052_11040
ko:K00767	lhr:R0052_11065
ko:K00767	lhr:R0052_11115
ko:K08369	lhr:R0052_11120
ko:K08177	lhr:R0052_11145
ko:K05340	lhr:R0052_01845
ko:K02902	lhr:R0052_04505
ko:K03655	lhr:R0052_04520
ko:K03621	lhr:R0052_04525
ko:K02078	lhr:R0052_04530
ko:K02034	lhr:R0052_04550
ko:K03685	lhr:R0052_04575
ko:K03529	lhr:R0052_04580
ko:K03110	lhr:R0052_04585
ko:K08659	lhr:R0052_04590
ko:K03106	lhr:R0052_04640
ko:K02959	lhr:R0052_04645
ko:K02860	lhr:R0052_04650
ko:K00554	lhr:R0052_04655
ko:K02884	lhr:R0052_04660
ko:K01356	lhr:R0052_04675
ko:K00574	lhr:R0052_04705
ko:K00655	lhr:R0052_04710
ko:K07461	lhr:R0052_04715
ko:K02967	lhr:R0052_04720
ko:K02357	lhr:R0052_04725
ko:K09903	lhr:R0052_04730
ko:K02838	lhr:R0052_04735
ko:K00806	lhr:R0052_04740
ko:K00981	lhr:R0052_04745
ko:K11749	lhr:R0052_04750
ko:K01881	lhr:R0052_04755
ko:K03763	lhr:R0052_04760
ko:K09748	lhr:R0052_04785
ko:K02600	lhr:R0052_04790
ko:K07742	lhr:R0052_04795
ko:K02519	lhr:R0052_04805
ko:K02834	lhr:R0052_04810
ko:K01581	lhr:R0052_06565
ko:K06199	lhr:R0052_06585
ko:K06199	lhr:R0052_06590
ko:K03667	lhr:R0052_06640
ko:K01419	lhr:R0052_06645
ko:K03733	lhr:R0052_06650
ko:K00766	lhr:R0052_11160
ko:K01609	lhr:R0052_11165
ko:K01817	lhr:R0052_11170
ko:K01696	lhr:R0052_11175
ko:K01695	lhr:R0052_11180
ko:K00640	lhr:R0052_11210
ko:K00864	lhr:R0052_11325
ko:K00941	lhr:R0052_11330
ko:K01756	lhr:R0052_11420
ko:K01939	lhr:R0052_11425
ko:K00364	lhr:R0052_11430
ko:K02313	lhr:R0052_00005
ko:K02338	lhr:R0052_00010
ko:K03629	lhr:R0052_00020
ko:K02470	lhr:R0052_00025
ko:K02469	lhr:R0052_00030
ko:K02990	lhr:R0052_00035
ko:K02963	lhr:R0052_00045
ko:K02939	lhr:R0052_00060
ko:K11753	lhr:R0052_04820
ko:K03705	lhr:R0052_04825
ko:K03687	lhr:R0052_04830
ko:K04043	lhr:R0052_04835
ko:K03686	lhr:R0052_04840
ko:K03596	lhr:R0052_04850
ko:K07462	lhr:R0052_04860
ko:K00759	lhr:R0052_04865
ko:K00651	lhr:R0052_04880
ko:K00611	lhr:R0052_04920
ko:K00926	lhr:R0052_04925
ko:K05964	lhr:R0052_04930
ko:K01733	lhr:R0052_04980
ko:K00003	lhr:R0052_04985
ko:K09773	lhr:R0052_05025
ko:K02970	lhr:R0052_05030
ko:K09117	lhr:R0052_05035
ko:K07042	lhr:R0052_05045
ko:K03584	lhr:R0052_05055
ko:K01878	lhr:R0052_05060
ko:K01879	lhr:R0052_05065
ko:K03086	lhr:R0052_05075
ko:K06967	lhr:R0052_05090
ko:K07478	lhr:R0052_05130
ko:K03100	lhr:R0052_05140
ko:K03168	lhr:R0052_06660
ko:K04096	lhr:R0052_06665
ko:K03470	lhr:R0052_06670
ko:K14540	lhr:R0052_06675
ko:K11068	lhr:R0052_06700
ko:K03530	lhr:R0052_06720
ko:K03977	lhr:R0052_06725
ko:K02945	lhr:R0052_06730
ko:K00945	lhr:R0052_06735
ko:K06178	lhr:R0052_06750
ko:K06024	lhr:R0052_06755
ko:K05896	lhr:R0052_06760
ko:K02859	lhr:R0052_06765
ko:K00243	lhr:R0052_06775
ko:K00873	lhr:R0052_06780
ko:K00850	lhr:R0052_06785
ko:K02337	lhr:R0052_06790
ko:K02911	lhr:R0052_06805
ko:K07124	lhr:R0052_06815
ko:K03979	lhr:R0052_06830
ko:K03703	lhr:R0052_06835
ko:K13038	lhr:R0052_06880
ko:K01876	lhr:R0052_06895
ko:K01892	lhr:R0052_06900
ko:K07560	lhr:R0052_06905
ko:K02687	lhr:R0052_06920
ko:K04094	lhr:R0052_06655
ko:K07010	lhr:R0052_11530
ko:K03100	lhr:R0052_11550
ko:K02761	lhr:R0052_11565
ko:K02003	lhr:R0052_11570
ko:K03740	lhr:R0052_11640
ko:K14188	lhr:R0052_11645
ko:K03739	lhr:R0052_11650
ko:K03367	lhr:R0052_11655
ko:K01914	lhr:R0052_11440
ko:K02044	lhr:R0052_00070
ko:K00847	lhr:R0052_00080
ko:K07507	lhr:R0052_00125
ko:K01689	lhr:R0052_00220
ko:K02068	lhr:R0052_00235
ko:K02069	lhr:R0052_00240
ko:K08659	lhr:R0052_00275
ko:K03778	lhr:R0052_00390
ko:K01142	lhr:R0052_00400
ko:K01893	lhr:R0052_05200
ko:K10773	lhr:R0052_05210
ko:K05366	lhr:R0052_05215
ko:K07444	lhr:R0052_05235
ko:K01938	lhr:R0052_05260
ko:K03101	lhr:R0052_05265
ko:K06180	lhr:R0052_05270
ko:K01956	lhr:R0052_05275
ko:K02621	lhr:R0052_05415
ko:K02622	lhr:R0052_05420
ko:K08591	lhr:R0052_05425
ko:K04047	lhr:R0052_05440
ko:K07166	lhr:R0052_05500
ko:K01643	lhr:R0052_07040
ko:K01644	lhr:R0052_07045
ko:K01646	lhr:R0052_07050
ko:K01910	lhr:R0052_07055
ko:K03319	lhr:R0052_07065
ko:K02072	lhr:R0052_07145
ko:K02071	lhr:R0052_07150
ko:K02073	lhr:R0052_07155
ko:K01689	lhr:R0052_07215
ko:K02761	lhr:R0052_07255
ko:K07106	lhr:R0052_11790
ko:K06901	lhr:R0052_11835
ko:K07133	lhr:R0052_11840
ko:K06901	lhr:R0052_11850
ko:K03320	lhr:R0052_11865
ko:K06901	lhr:R0052_11875
ko:K03495	lhr:R0052_11940
ko:K03650	lhr:R0052_11945
ko:K03217	lhr:R0052_11950
ko:K03536	lhr:R0052_11955
ko:K02914	lhr:R0052_11960
ko:K01462	lhr:R0052_00425
ko:K00783	lhr:R0052_00530
ko:K03799	lhr:R0052_00585
ko:K03744	lhr:R0052_00590
ko:K01126	lhr:R0052_00605
ko:K07023	lhr:R0052_00655
ko:K03652	lhr:R0052_00675
ko:K02029	lhr:R0052_05590
ko:K02029	lhr:R0052_05595
ko:K01595	lhr:R0052_05745
ko:K03186	lhr:R0052_05820
ko:K03311	lhr:R0052_05845
ko:K14155	lhr:R0052_05865
ko:K07038	lhr:R0052_05875
ko:K02759	lhr:R0052_07300
ko:K02760	lhr:R0052_07305
ko:K01223	lhr:R0052_07315
ko:K00133	lhr:R0052_07370
ko:K00215	lhr:R0052_07380
ko:K01714	lhr:R0052_07385
ko:K05823	lhr:R0052_07390
ko:K01586	lhr:R0052_07400
ko:K00928	lhr:R0052_07405
ko:K01778	lhr:R0052_07410
ko:K03978	lhr:R0052_07420
ko:K03544	lhr:R0052_07425
ko:K03545	lhr:R0052_07430
ko:K02358	lhr:R0052_07435
ko:K02956	lhr:R0052_07450
ko:K02968	lhr:R0052_07460
ko:K02340	lhr:R0052_07465
ko:K02237	lhr:R0052_07475
ko:K00954	lhr:R0052_07485
ko:K03588	lhr:R0052_07500
ko:K06207	lhr:R0052_07505
ko:K01462	lhr:R0052_07510
ko:K00566	lhr:R0052_07570
ko:K04487	lhr:R0052_07580
ko:K12410	lhr:R0052_00710
ko:K06131	lhr:R0052_00720
ko:K00948	lhr:R0052_00760
ko:K01921	lhr:R0052_00795
ko:K02044	lhr:R0052_00850
