ko:K02428	cul:CULC22_01829
ko:K07654	cul:CULC22_00574
ko:K00508	cul:CULC22_00583
ko:K01835	cul:CULC22_01862
ko:K14228	cul:CULC22_t00004
ko:K14228	cul:CULC22_t00025
ko:K14233	cul:CULC22_t00005
ko:K14233	cul:CULC22_t00009
ko:K14233	cul:CULC22_t00010
ko:K14219	cul:CULC22_t00018
ko:K14230	cul:CULC22_t00015
ko:K14230	cul:CULC22_t00017
ko:K15342	cul:CULC22_00107
ko:K03326	cul:CULC22_00345
ko:K02549	cul:CULC22_00346
ko:K12583	cul:CULC22_00349
ko:K00016	cul:CULC22_00351
ko:K00805	cul:CULC22_00353
ko:K02035	cul:CULC22_00409
ko:K02033	cul:CULC22_00412
ko:K14743	cul:CULC22_00449
ko:K01409	cul:CULC22_00468
ko:K00088	cul:CULC22_00476
ko:K00088	cul:CULC22_00477
ko:K07258	cul:CULC22_00518
ko:K01488	cul:CULC22_00519
ko:K01958	cul:CULC22_00529
ko:K11263	cul:CULC22_00532
ko:K01011	cul:CULC22_00533
ko:K00852	cul:CULC22_00538
ko:K01966	cul:CULC22_00542
ko:K07120	cul:CULC22_00123
ko:K02821	cul:CULC22_00126
ko:K03475	cul:CULC22_00127
ko:K01885	cul:CULC22_00185
ko:K03299	cul:CULC22_00186
ko:K00851	cul:CULC22_00187
ko:K00046	cul:CULC22_00189
ko:K03299	cul:CULC22_00195
ko:K07009	cul:CULC22_00202
ko:K02342	cul:CULC22_00204
ko:K05570	cul:CULC22_00238
ko:K05568	cul:CULC22_00240
ko:K05565	cul:CULC22_00242
ko:K06877	cul:CULC22_00268
ko:K07768	cul:CULC22_00306
ko:K07776	cul:CULC22_00307
ko:K06196	cul:CULC22_00331
ko:K01372	cul:CULC22_00359
ko:K00939	cul:CULC22_00435
ko:K09167	cul:CULC22_00491
ko:K08981	cul:CULC22_00492
ko:K02077	cul:CULC22_00493
ko:K03709	cul:CULC22_00497
ko:K01992	cul:CULC22_00545
ko:K01938	cul:CULC22_01116
ko:K01744	cul:CULC22_01117
ko:K07791	cul:CULC22_01118
ko:K00765	cul:CULC22_01119
ko:K06153	cul:CULC22_01125
ko:K05881	cul:CULC22_01132
ko:K05879	cul:CULC22_01133
ko:K05878	cul:CULC22_01134
ko:K01772	cul:CULC22_01147
ko:K01681	cul:CULC22_01150
ko:K11717	cul:CULC22_01203
ko:K09013	cul:CULC22_01204
ko:K09015	cul:CULC22_01205
ko:K09014	cul:CULC22_01206
ko:K01834	cul:CULC22_00305
ko:K15733	cul:CULC22_01299
ko:K05602	cul:CULC22_00624
ko:K00600	cul:CULC22_00787
ko:K03823	cul:CULC22_00792
ko:K02232	cul:CULC22_01407
ko:K01265	cul:CULC22_01408
ko:K00099	cul:CULC22_01412
ko:K06941	cul:CULC22_01414
ko:K00981	cul:CULC22_01416
ko:K02838	cul:CULC22_01417
ko:K09903	cul:CULC22_01418
ko:K02357	cul:CULC22_01419
ko:K03685	cul:CULC22_01454
ko:K07040	cul:CULC22_01455
ko:K00259	cul:CULC22_01458
ko:K00262	cul:CULC22_01459
ko:K00865	cul:CULC22_01460
ko:K00688	cul:CULC22_01465
ko:K00873	cul:CULC22_01467
ko:K01609	cul:CULC22_01469
ko:K02500	cul:CULC22_01472
ko:K02501	cul:CULC22_01475
ko:K01693	cul:CULC22_01478
ko:K00817	cul:CULC22_01479
ko:K00013	cul:CULC22_01480
ko:K00796	cul:CULC22_00842
ko:K00563	cul:CULC22_00846
ko:K01193	cul:CULC22_00847
ko:K01575	cul:CULC22_00848
ko:K00975	cul:CULC22_00850
ko:K03088	cul:CULC22_00852
ko:K03117	cul:CULC22_00854
ko:K00014	cul:CULC22_00862
ko:K00965	cul:CULC22_00870
ko:K00849	cul:CULC22_00871
ko:K05592	cul:CULC22_00872
ko:K00782	cul:CULC22_00888
ko:K02108	cul:CULC22_00904
ko:K02110	cul:CULC22_00905
ko:K02109	cul:CULC22_00906
ko:K02113	cul:CULC22_00907
ko:K02111	cul:CULC22_00908
ko:K02115	cul:CULC22_00909
ko:K02112	cul:CULC22_00910
ko:K02114	cul:CULC22_00911
ko:K05606	cul:CULC22_00915
ko:K05838	cul:CULC22_00917
ko:K02013	cul:CULC22_00920
ko:K03521	cul:CULC22_00923
ko:K03522	cul:CULC22_00924
ko:K04487	cul:CULC22_00925
ko:K00566	cul:CULC22_00927
ko:K01972	cul:CULC22_00930
ko:K02435	cul:CULC22_00932
ko:K02015	cul:CULC22_00937
ko:K02013	cul:CULC22_00938
ko:K02016	cul:CULC22_00939
ko:K02434	cul:CULC22_00942
ko:K06895	cul:CULC22_00944
ko:K05596	cul:CULC22_00945
ko:K01687	cul:CULC22_00949
ko:K02034	cul:CULC22_00973
ko:K01012	cul:CULC22_00977
ko:K01703	cul:CULC22_00980
ko:K01704	cul:CULC22_00981
ko:K00057	cul:CULC22_00983
ko:K01921	cul:CULC22_00984
ko:K00946	cul:CULC22_00986
ko:K03648	cul:CULC22_00987
ko:K03655	cul:CULC22_00989
ko:K00954	cul:CULC22_00992
ko:K07090	cul:CULC22_00993
ko:K02029	cul:CULC22_00996
ko:K06442	cul:CULC22_01034
ko:K00858	cul:CULC22_01035
ko:K03631	cul:CULC22_01036
ko:K05896	cul:CULC22_01042
ko:K01935	cul:CULC22_01043
ko:K03305	cul:CULC22_01044
ko:K00833	cul:CULC22_01045
ko:K01935	cul:CULC22_01046
ko:K06024	cul:CULC22_01047
ko:K06178	cul:CULC22_01048
ko:K00945	cul:CULC22_01049
ko:K03977	cul:CULC22_01050
ko:K06042	cul:CULC22_01095
ko:K05895	cul:CULC22_01098
ko:K05936	cul:CULC22_01099
ko:K03118	cul:CULC22_01104
ko:K03116	cul:CULC22_01105
ko:K01951	cul:CULC22_01152
ko:K07166	cul:CULC22_01153
ko:K09157	cul:CULC22_01154
ko:K15521	cul:CULC22_00304
ko:K03602	cul:CULC22_00798
ko:K03601	cul:CULC22_00799
ko:K03527	cul:CULC22_00800
ko:K06942	cul:CULC22_00803
ko:K06193	cul:CULC22_00805
ko:K09781	cul:CULC22_00809
ko:K00077	cul:CULC22_00810
ko:K02003	cul:CULC22_00822
ko:K06207	cul:CULC22_00828
ko:K02967	cul:CULC22_01420
ko:K03733	cul:CULC22_01422
ko:K04096	cul:CULC22_01424
ko:K07391	cul:CULC22_01425
ko:K07460	cul:CULC22_01426
ko:K03147	cul:CULC22_01427
ko:K00788	cul:CULC22_01428
ko:K03154	cul:CULC22_01430
ko:K03149	cul:CULC22_01431
ko:K00941	cul:CULC22_01433
ko:K03470	cul:CULC22_01435
ko:K03100	cul:CULC22_01436
ko:K02884	cul:CULC22_01437
ko:K06959	cul:CULC22_01438
ko:K00554	cul:CULC22_01441
ko:K02860	cul:CULC22_01442
ko:K02959	cul:CULC22_01444
ko:K03106	cul:CULC22_01445
ko:K00990	cul:CULC22_01446
ko:K04751	cul:CULC22_01447
ko:K03110	cul:CULC22_01448
ko:K03529	cul:CULC22_01450
ko:K01512	cul:CULC22_01451
ko:K03310	cul:CULC22_01452
ko:K04762	cul:CULC22_01489
ko:K01754	cul:CULC22_01492
ko:K02337	cul:CULC22_01493
ko:K05786	cul:CULC22_01494
ko:K06180	cul:CULC22_01496
ko:K03101	cul:CULC22_01497
ko:K02346	cul:CULC22_01501
ko:K01870	cul:CULC22_01502
ko:K03303	cul:CULC22_00891
ko:K06966	cul:CULC22_00841
ko:K01887	cul:CULC22_00892
ko:K01586	cul:CULC22_00893
ko:K00003	cul:CULC22_00894
ko:K00872	cul:CULC22_00895
ko:K15526	cul:CULC22_01124
ko:K03929	cul:CULC22_00863
ko:K07056	cul:CULC22_00732
ko:K01874	cul:CULC22_00733
ko:K03424	cul:CULC22_00734
ko:K02528	cul:CULC22_00736
ko:K00919	cul:CULC22_00737
ko:K03088	cul:CULC22_00741
ko:K02259	cul:CULC22_01211
ko:K00615	cul:CULC22_01213
ko:K00036	cul:CULC22_01215
ko:K01057	cul:CULC22_01217
ko:K03075	cul:CULC22_01218
ko:K01803	cul:CULC22_01220
ko:K00927	cul:CULC22_01221
ko:K00134	cul:CULC22_01222
ko:K03724	cul:CULC22_00690
ko:K01810	cul:CULC22_00694
ko:K03657	cul:CULC22_00697
ko:K11175	cul:CULC22_00700
ko:K00602	cul:CULC22_00701
ko:K10008	cul:CULC22_00702
ko:K10005	cul:CULC22_00703
ko:K10006	cul:CULC22_00704
ko:K10007	cul:CULC22_00705
ko:K01644	cul:CULC22_00706
ko:K02963	cul:CULC22_00709
ko:K02954	cul:CULC22_00710
ko:K02913	cul:CULC22_00711
ko:K01595	cul:CULC22_01219
ko:K02902	cul:CULC22_00712
ko:K02909	cul:CULC22_00713
ko:K02911	cul:CULC22_00714
ko:K03282	cul:CULC22_00720
ko:K00963	cul:CULC22_00723
ko:K03750	cul:CULC22_00724
ko:K03790	cul:CULC22_00725
ko:K15977	cul:CULC22_00727
ko:K03811	cul:CULC22_00744
ko:K00134	cul:CULC22_00749
ko:K02837	cul:CULC22_00753
ko:K01056	cul:CULC22_00755
ko:K00459	cul:CULC22_00756
ko:K01056	cul:CULC22_00758
ko:K02897	cul:CULC22_00760
ko:K00948	cul:CULC22_00762
ko:K04042	cul:CULC22_00763
ko:K03723	cul:CULC22_00767
ko:K03758	cul:CULC22_00768
ko:K01689	cul:CULC22_00771
ko:K01524	cul:CULC22_00774
ko:K03624	cul:CULC22_00780
ko:K06958	cul:CULC22_01225
ko:K03703	cul:CULC22_01226
ko:K00794	cul:CULC22_01228
ko:K14652	cul:CULC22_01229
ko:K00793	cul:CULC22_01230
ko:K11752	cul:CULC22_01231
ko:K01783	cul:CULC22_01232
ko:K03500	cul:CULC22_01233
ko:K00604	cul:CULC22_01234
ko:K01462	cul:CULC22_01235
ko:K04066	cul:CULC22_01237
ko:K00789	cul:CULC22_01238
ko:K13038	cul:CULC22_01239
ko:K03060	cul:CULC22_01240
ko:K00942	cul:CULC22_01241
ko:K01591	cul:CULC22_01243
ko:K01955	cul:CULC22_01244
ko:K01956	cul:CULC22_01245
ko:K01465	cul:CULC22_01246
ko:K00609	cul:CULC22_01247
ko:K02825	cul:CULC22_01248
ko:K07071	cul:CULC22_01249
ko:K03625	cul:CULC22_01252
ko:K02356	cul:CULC22_01253
ko:K03786	cul:CULC22_01255
ko:K01735	cul:CULC22_01256
ko:K00891	cul:CULC22_01257
ko:K01736	cul:CULC22_01258
ko:K00014	cul:CULC22_01260
ko:K07082	cul:CULC22_01261
ko:K07447	cul:CULC22_01262
ko:K01872	cul:CULC22_01263
ko:K07478	cul:CULC22_01264
ko:K01876	cul:CULC22_01266
ko:K01421	cul:CULC22_01269
ko:K01752	cul:CULC22_01273
ko:K01892	cul:CULC22_01274
ko:K11065	cul:CULC22_01276
ko:K03684	cul:CULC22_01308
ko:K01662	cul:CULC22_01309
ko:K00886	cul:CULC22_01317
ko:K03086	cul:CULC22_01318
ko:K07560	cul:CULC22_01324
ko:K04756	cul:CULC22_01331
ko:K06168	cul:CULC22_01358
ko:K03565	cul:CULC22_01359
ko:K03523	cul:CULC22_01362
ko:K00995	cul:CULC22_01368
ko:K09780	cul:CULC22_01369
ko:K03466	cul:CULC22_01371
ko:K01714	cul:CULC22_01374
ko:K00215	cul:CULC22_01376
ko:K00962	cul:CULC22_01377
ko:K02956	cul:CULC22_01378
ko:K11753	cul:CULC22_01380
ko:K02834	cul:CULC22_01386
ko:K02519	cul:CULC22_01387
ko:K07742	cul:CULC22_01388
ko:K02600	cul:CULC22_01389
ko:K09748	cul:CULC22_01390
ko:K01881	cul:CULC22_01392
ko:K09861	cul:CULC22_01393
ko:K00759	cul:CULC22_01280
ko:K03074	cul:CULC22_01282
ko:K03072	cul:CULC22_01283
ko:K03210	cul:CULC22_01284
ko:K03551	cul:CULC22_01285
ko:K03550	cul:CULC22_01286
ko:K01159	cul:CULC22_01287
ko:K10805	cul:CULC22_01289
ko:K00995	cul:CULC22_01296
ko:K01868	cul:CULC22_01298
ko:K07156	cul:CULC22_01301
ko:K04761	cul:CULC22_01333
ko:K03578	cul:CULC22_01335
ko:K07738	cul:CULC22_01336
ko:K01356	cul:CULC22_01338
ko:K02768	cul:CULC22_01343
ko:K02769	cul:CULC22_01343
ko:K02770	cul:CULC22_01343
ko:K00299	cul:CULC22_01346
ko:K03665	cul:CULC22_01349
ko:K01778	cul:CULC22_01352
ko:K00791	cul:CULC22_01353
ko:K02224	cul:CULC22_01398
ko:K00116	cul:CULC22_01402
ko:K03628	cul:CULC22_00898
ko:K02835	cul:CULC22_00899
ko:K02493	cul:CULC22_00900
ko:K01652	cul:CULC22_00952
ko:K01653	cul:CULC22_00953
ko:K00053	cul:CULC22_00954
ko:K00052	cul:CULC22_00960
ko:K02361	cul:CULC22_00966
ko:K01082	cul:CULC22_00689
ko:K02945	cul:CULC22_01001
ko:K00859	cul:CULC22_01003
ko:K03702	cul:CULC22_01005
ko:K03701	cul:CULC22_01010
ko:K02520	cul:CULC22_01011
ko:K02916	cul:CULC22_01012
ko:K02887	cul:CULC22_01013
ko:K03437	cul:CULC22_01016
ko:K01889	cul:CULC22_01017
ko:K01890	cul:CULC22_01018
ko:K00145	cul:CULC22_01019
ko:K00620	cul:CULC22_01020
ko:K00930	cul:CULC22_01021
ko:K00611	cul:CULC22_01023
ko:K03402	cul:CULC22_01024
ko:K01940	cul:CULC22_01025
ko:K01755	cul:CULC22_01026
ko:K09791	cul:CULC22_01027
ko:K01866	cul:CULC22_01028
ko:K02016	cul:CULC22_01055
ko:K02015	cul:CULC22_01057
ko:K02013	cul:CULC22_01058
ko:K09858	cul:CULC22_01062
ko:K03070	cul:CULC22_01064
ko:K08999	cul:CULC22_01067
ko:K03284	cul:CULC22_01076
ko:K03885	cul:CULC22_01081
ko:K00574	cul:CULC22_01082
ko:K03453	cul:CULC22_01085
ko:K03820	cul:CULC22_01091
ko:K07113	cul:CULC22_01092
ko:K02230	cul:CULC22_01093
ko:K02229	cul:CULC22_01094
ko:K14227	cul:CULC22_t00001
ko:K14236	cul:CULC22_t00013
ko:K14232	cul:CULC22_t00039
ko:K14225	cul:CULC22_t00030
ko:K14225	cul:CULC22_t00032
ko:K14225	cul:CULC22_t00035
ko:K14225	cul:CULC22_t00040
ko:K14221	cul:CULC22_t00047
ko:K14221	cul:CULC22_t00048
ko:K14229	cul:CULC22_t00050
ko:K14234	cul:CULC22_t00051
ko:K14234	cul:CULC22_t00012
ko:K14232	cul:CULC22_t00011
ko:K03177	cul:CULC22_01381
ko:K04488	cul:CULC22_01202
ko:K14339	cul:CULC22_01208
ko:K00616	cul:CULC22_01214
ko:K09762	cul:CULC22_01223
ko:K07054	cul:CULC22_01267
ko:K03768	cul:CULC22_01277
ko:K02035	cul:CULC22_01281
ko:K08256	cul:CULC22_01294
ko:K06910	cul:CULC22_01131
ko:K07588	cul:CULC22_01138
ko:K01847	cul:CULC22_01139
ko:K01847	cul:CULC22_01140
ko:K07305	cul:CULC22_01305
ko:K01092	cul:CULC22_01316
ko:K03087	cul:CULC22_01325
ko:K03709	cul:CULC22_01326
ko:K01784	cul:CULC22_01327
ko:K03386	cul:CULC22_01332
ko:K03436	cul:CULC22_01339
ko:K08483	cul:CULC22_01340
ko:K03436	cul:CULC22_01341
ko:K00882	cul:CULC22_01342
ko:K11189	cul:CULC22_01344
ko:K03743	cul:CULC22_01367
ko:K05794	cul:CULC22_01370
ko:K00567	cul:CULC22_01397
ko:K03404	cul:CULC22_01401
ko:K12510	cul:CULC22_00263
ko:K02755	cul:CULC22_01002
ko:K02756	cul:CULC22_01002
ko:K02757	cul:CULC22_01002
ko:K00033	cul:CULC22_01074
ko:K00721	cul:CULC22_01090
ko:K10843	cul:CULC22_00643
ko:K01962	cul:CULC22_00658
ko:K01963	cul:CULC22_00658
ko:K01692	cul:CULC22_00661
ko:K02035	cul:CULC22_00673
ko:K02033	cul:CULC22_00674
ko:K02428	cul:CULC22_00769
ko:K09009	cul:CULC22_00773
ko:K12503	cul:CULC22_00784
ko:K00867	cul:CULC22_00786
ko:K01679	cul:CULC22_00795
ko:K02446	cul:CULC22_00796
ko:K00666	cul:CULC22_00897
ko:K07503	cul:CULC22_00913
ko:K00700	cul:CULC22_00918
ko:K02342	cul:CULC22_00929
ko:K02433	cul:CULC22_00933
ko:K00067	cul:CULC22_00280
ko:K01790	cul:CULC22_00280
ko:K02228	cul:CULC22_00685
ko:K03649	cul:CULC22_00691
ko:K05522	cul:CULC22_00692
ko:K02004	cul:CULC22_00823
ko:K09146	cul:CULC22_00826
ko:K00674	cul:CULC22_00837
ko:K00674	cul:CULC22_00839
ko:K01439	cul:CULC22_00840
ko:K13693	cul:CULC22_00843
ko:K07393	cul:CULC22_00946
ko:K00058	cul:CULC22_00959
ko:K07182	cul:CULC22_00961
ko:K02342	cul:CULC22_00962
ko:K01885	cul:CULC22_00967
ko:K03932	cul:CULC22_00968
ko:K02033	cul:CULC22_00972
ko:K02035	cul:CULC22_00976
ko:K01515	cul:CULC22_01039
ko:K04763	cul:CULC22_01040
ko:K07792	cul:CULC22_01051
ko:K06889	cul:CULC22_01063
ko:K07397	cul:CULC22_01063
ko:K13540	cul:CULC22_01096
ko:K00595	cul:CULC22_01100
ko:K03727	cul:CULC22_01103
ko:K13573	cul:CULC22_01106
ko:K13571	cul:CULC22_01108
ko:K13570	cul:CULC22_01109
ko:K13527	cul:CULC22_01111
ko:K01523	cul:CULC22_01120
ko:K00548	cul:CULC22_01122
ko:K00135	cul:CULC22_00695
ko:K07442	cul:CULC22_01112
ko:K04093	cul:CULC22_00696
ko:K07669	cul:CULC22_00715
ko:K07653	cul:CULC22_00716
ko:K03593	cul:CULC22_00855
ko:K08372	cul:CULC22_00717
ko:K01934	cul:CULC22_00722
ko:K01259	cul:CULC22_00752
ko:K01616	cul:CULC22_00859
ko:K03307	cul:CULC22_00868
ko:K04750	cul:CULC22_00874
ko:K07030	cul:CULC22_00988
ko:K08974	cul:CULC22_00998
ko:K06860	cul:CULC22_02179
ko:K01596	cul:CULC22_02177
ko:K02031	cul:CULC22_02135
ko:K02034	cul:CULC22_02135
ko:K02033	cul:CULC22_02136
ko:K02035	cul:CULC22_02137
ko:K00135	cul:CULC22_02162
ko:K06147	cul:CULC22_02164
