ko:K08744	mtq:HKBS1_1915
ko:K03820	mtq:HKBS1_2391
ko:K00389	mtq:HKBS1_2402
ko:K00104	mtq:HKBS1_2408
ko:K03306	mtq:HKBS1_2409
ko:K03316	mtq:HKBS1_2414
ko:K01521	mtq:HKBS1_2416
ko:K01011	mtq:HKBS1_2418
ko:K14155	mtq:HKBS1_2420
ko:K09925	mtq:HKBS1_2421
ko:K01644	mtq:HKBS1_3241
ko:K13419	mtq:HKBS1_3246
ko:K00121	mtq:HKBS1_3252
ko:K09781	mtq:HKBS1_3259
ko:K03664	mtq:HKBS1_3268
ko:K09811	mtq:HKBS1_3269
ko:K09812	mtq:HKBS1_3270
ko:K02836	mtq:HKBS1_3273
ko:K00528	mtq:HKBS1_3274
ko:K00803	mtq:HKBS1_3275
ko:K03639	mtq:HKBS1_3277
ko:K01724	mtq:HKBS1_3278
ko:K03637	mtq:HKBS1_3279
ko:K03636	mtq:HKBS1_3280
ko:K01011	mtq:HKBS1_3285
ko:K07491	mtq:HKBS1_3290
ko:K00970	mtq:HKBS1_4135
ko:K03980	mtq:HKBS1_4138
ko:K03088	mtq:HKBS1_4139
ko:K00384	mtq:HKBS1_4141
ko:K03671	mtq:HKBS1_4142
ko:K03501	mtq:HKBS1_4147
ko:K06346	mtq:HKBS1_4148
ko:K03217	mtq:HKBS1_4149
ko:K08998	mtq:HKBS1_4150
ko:K03536	mtq:HKBS1_4151
ko:K02914	mtq:HKBS1_4152
ko:K01104	mtq:HKBS1_0166
ko:K09958	mtq:HKBS1_0168
ko:K00324	mtq:HKBS1_0169
ko:K00324	mtq:HKBS1_0170
ko:K00325	mtq:HKBS1_0171
ko:K07107	mtq:HKBS1_0177
ko:K00666	mtq:HKBS1_0181
ko:K02066	mtq:HKBS1_0182
ko:K02066	mtq:HKBS1_0183
ko:K02067	mtq:HKBS1_0184
ko:K02067	mtq:HKBS1_0185
ko:K02067	mtq:HKBS1_0186
ko:K02067	mtq:HKBS1_0187
ko:K02067	mtq:HKBS1_0188
ko:K02067	mtq:HKBS1_0189
ko:K18481	mtq:HKBS1_0190
ko:K18481	mtq:HKBS1_0191
ko:K18481	mtq:HKBS1_0192
ko:K18481	mtq:HKBS1_0193
ko:K06911	mtq:HKBS1_0196
ko:K03088	mtq:HKBS1_0198
ko:K05349	mtq:HKBS1_0201
ko:K01687	mtq:HKBS1_0205
ko:K07386	mtq:HKBS1_0214
ko:K03723	mtq:HKBS1_1074
ko:K02428	mtq:HKBS1_1075
ko:K01689	mtq:HKBS1_1077
ko:K09009	mtq:HKBS1_1079
ko:K01524	mtq:HKBS1_1080
ko:K07667	mtq:HKBS1_1082
ko:K07646	mtq:HKBS1_1083
ko:K01546	mtq:HKBS1_1085
ko:K01547	mtq:HKBS1_1086
ko:K01548	mtq:HKBS1_1087
ko:K07656	mtq:HKBS1_1088
ko:K07672	mtq:HKBS1_1089
ko:K00666	mtq:HKBS1_1121
ko:K07001	mtq:HKBS1_1125
ko:K07001	mtq:HKBS1_1126
ko:K04093	mtq:HKBS1_1978
ko:K07560	mtq:HKBS1_1992
ko:K03742	mtq:HKBS1_1996
ko:K08178	mtq:HKBS1_1997
ko:K08972	mtq:HKBS1_1998
ko:K03782	mtq:HKBS1_2004
ko:K06910	mtq:HKBS1_2006
ko:K06910	mtq:HKBS1_2007
ko:K01637	mtq:HKBS1_2011
ko:K00666	mtq:HKBS1_2023
ko:K09166	mtq:HKBS1_2025
ko:K03087	mtq:HKBS1_2860
ko:K03709	mtq:HKBS1_2861
ko:K00322	mtq:HKBS1_2863
ko:K07738	mtq:HKBS1_2868
ko:K01356	mtq:HKBS1_2870
ko:K05794	mtq:HKBS1_2873
ko:K03665	mtq:HKBS1_2875
ko:K01778	mtq:HKBS1_2876
ko:K00791	mtq:HKBS1_2877
ko:K06168	mtq:HKBS1_2883
ko:K03565	mtq:HKBS1_2886
ko:K10533	mtq:HKBS1_2891
ko:K00995	mtq:HKBS1_2897
ko:K00619	mtq:HKBS1_2898
ko:K03466	mtq:HKBS1_2900
ko:K12574	mtq:HKBS1_2903
ko:K01714	mtq:HKBS1_2904
ko:K01154	mtq:HKBS1_2906
ko:K03427	mtq:HKBS1_2907
ko:K01666	mtq:HKBS1_3747
ko:K04073	mtq:HKBS1_3748
ko:K02554	mtq:HKBS1_3749
ko:K15981	mtq:HKBS1_3758
ko:K00626	mtq:HKBS1_3759
ko:K01692	mtq:HKBS1_3763
ko:K00626	mtq:HKBS1_3769
ko:K00059	mtq:HKBS1_3772
ko:K00622	mtq:HKBS1_3779
ko:K16049	mtq:HKBS1_3782
ko:K16050	mtq:HKBS1_3783
ko:K16047	mtq:HKBS1_3784
ko:K15983	mtq:HKBS1_3785
ko:K03893	mtq:HKBS1_3792
ko:K03218	mtq:HKBS1_3793
ko:K01883	mtq:HKBS1_3794
ko:K01770	mtq:HKBS1_3795
ko:K02484	mtq:HKBS1_0797
ko:K00121	mtq:HKBS1_0800
ko:K05917	mtq:HKBS1_0803
ko:K00128	mtq:HKBS1_0807
ko:K01607	mtq:HKBS1_0810
ko:K01945	mtq:HKBS1_0811
ko:K01756	mtq:HKBS1_0816
ko:K01923	mtq:HKBS1_0819
ko:K01354	mtq:HKBS1_0820
ko:K06986	mtq:HKBS1_0824
ko:K07077	mtq:HKBS1_0825
ko:K01952	mtq:HKBS1_0828
ko:K01952	mtq:HKBS1_0829
ko:K03710	mtq:HKBS1_0833
ko:K00382	mtq:HKBS1_0835
ko:K07223	mtq:HKBS1_0840
ko:K01952	mtq:HKBS1_0844
ko:K07052	mtq:HKBS1_0845
ko:K00764	mtq:HKBS1_0849
ko:K01933	mtq:HKBS1_0850
ko:K00013	mtq:HKBS1_1691
ko:K00817	mtq:HKBS1_1692
ko:K01693	mtq:HKBS1_1693
ko:K02501	mtq:HKBS1_1694
ko:K01814	mtq:HKBS1_1695
ko:K01817	mtq:HKBS1_1695
ko:K01092	mtq:HKBS1_1696
ko:K02500	mtq:HKBS1_1697
ko:K01496	mtq:HKBS1_1698
ko:K07300	mtq:HKBS1_1699
ko:K03564	mtq:HKBS1_1700
ko:K01657	mtq:HKBS1_1701
ko:K01609	mtq:HKBS1_1703
ko:K01696	mtq:HKBS1_1704
ko:K01695	mtq:HKBS1_1705
ko:K00873	mtq:HKBS1_1710
ko:K10805	mtq:HKBS1_1711
ko:K16012	mtq:HKBS1_1713
ko:K16013	mtq:HKBS1_1714
ko:K00426	mtq:HKBS1_1715
ko:K00425	mtq:HKBS1_1716
ko:K02945	mtq:HKBS1_1723
ko:K00859	mtq:HKBS1_1724
ko:K09146	mtq:HKBS1_1725
ko:K03702	mtq:HKBS1_1726
ko:K14340	mtq:HKBS1_1728
ko:K03701	mtq:HKBS1_1731
ko:K04567	mtq:HKBS1_1734
ko:K02520	mtq:HKBS1_1735
ko:K02916	mtq:HKBS1_1736
ko:K02887	mtq:HKBS1_1737
ko:K03437	mtq:HKBS1_1738
ko:K01889	mtq:HKBS1_1743
ko:K00940	mtq:HKBS1_2591
ko:K11754	mtq:HKBS1_2593
ko:K01873	mtq:HKBS1_2594
ko:K03752	mtq:HKBS1_2598
ko:K00175	mtq:HKBS1_2599
ko:K00174	mtq:HKBS1_2600
ko:K03544	mtq:HKBS1_2602
ko:K00547	mtq:HKBS1_2603
ko:K01358	mtq:HKBS1_2605
ko:K01358	mtq:HKBS1_2606
ko:K03545	mtq:HKBS1_2607
ko:K05522	mtq:HKBS1_2609
ko:K01808	mtq:HKBS1_2610
ko:K01256	mtq:HKBS1_2612
ko:K06886	mtq:HKBS1_2616
ko:K01187	mtq:HKBS1_2617
ko:K07107	mtq:HKBS1_2621
ko:K15371	mtq:HKBS1_2622
ko:K00631	mtq:HKBS1_2626
ko:K15781	mtq:HKBS1_2627
ko:K01692	mtq:HKBS1_2631
ko:K06966	mtq:HKBS1_2637
ko:K00627	mtq:HKBS1_2641
ko:K01588	mtq:HKBS1_3463
ko:K01589	mtq:HKBS1_3465
ko:K03524	mtq:HKBS1_3467
ko:K01966	mtq:HKBS1_3468
ko:K06287	mtq:HKBS1_3470
ko:K01011	mtq:HKBS1_3471
ko:K02426	mtq:HKBS1_3472
ko:K11263	mtq:HKBS1_3473
ko:K03090	mtq:HKBS1_3474
ko:K03918	mtq:HKBS1_3478
ko:K03719	mtq:HKBS1_3479
ko:K00128	mtq:HKBS1_3481
ko:K03724	mtq:HKBS1_3484
ko:K05522	mtq:HKBS1_3485
ko:K03932	mtq:HKBS1_3486
ko:K01130	mtq:HKBS1_3487
ko:K06177	mtq:HKBS1_3488
ko:K02039	mtq:HKBS1_3489
ko:K00111	mtq:HKBS1_3490
ko:K00382	mtq:HKBS1_3491
ko:K03783	mtq:HKBS1_3495
ko:K01840	mtq:HKBS1_3496
ko:K00761	mtq:HKBS1_3497
ko:K01488	mtq:HKBS1_3503
ko:K00758	mtq:HKBS1_3504
ko:K01489	mtq:HKBS1_3505
ko:K00241	mtq:HKBS1_3506
ko:K00242	mtq:HKBS1_3507
ko:K00239	mtq:HKBS1_3508
ko:K00240	mtq:HKBS1_3509
ko:K03637	mtq:HKBS1_3514
ko:K01724	mtq:HKBS1_3515
ko:K06048	mtq:HKBS1_0450
ko:K07157	mtq:HKBS1_0451
ko:K13525	mtq:HKBS1_0452
ko:K17103	mtq:HKBS1_0453
ko:K01613	mtq:HKBS1_0454
ko:K03750	mtq:HKBS1_0455
ko:K04077	mtq:HKBS1_0457
ko:K03088	mtq:HKBS1_0462
ko:K00574	mtq:HKBS1_0464
ko:K09701	mtq:HKBS1_0465
ko:K06994	mtq:HKBS1_0467
ko:K01692	mtq:HKBS1_0473
ko:K01322	mtq:HKBS1_0475
ko:K00138	mtq:HKBS1_0476
ko:K09959	mtq:HKBS1_0477
ko:K00382	mtq:HKBS1_0480
ko:K07110	mtq:HKBS1_0483
ko:K01637	mtq:HKBS1_0485
ko:K00074	mtq:HKBS1_0486
ko:K00574	mtq:HKBS1_0487
ko:K00574	mtq:HKBS1_0488
ko:K16645	mtq:HKBS1_0495
ko:K01619	mtq:HKBS1_0498
ko:K00075	mtq:HKBS1_0502
ko:K14955	mtq:HKBS1_1354
ko:K06147	mtq:HKBS1_1356
ko:K06147	mtq:HKBS1_1357
ko:K08296	mtq:HKBS1_1360
ko:K02035	mtq:HKBS1_1364
ko:K02031	mtq:HKBS1_1365
ko:K02032	mtq:HKBS1_1365
ko:K02034	mtq:HKBS1_1366
ko:K02033	mtq:HKBS1_1367
ko:K01673	mtq:HKBS1_1368
ko:K00957	mtq:HKBS1_1369
ko:K00955	mtq:HKBS1_1370
ko:K01887	mtq:HKBS1_1377
ko:K01586	mtq:HKBS1_1378
ko:K00003	mtq:HKBS1_1379
ko:K01733	mtq:HKBS1_1380
ko:K00872	mtq:HKBS1_1381
ko:K03628	mtq:HKBS1_1382
ko:K02909	mtq:HKBS1_1383
ko:K02835	mtq:HKBS1_1384
ko:K02493	mtq:HKBS1_1385
ko:K02851	mtq:HKBS1_1387
ko:K02108	mtq:HKBS1_1389
ko:K02110	mtq:HKBS1_1390
ko:K02109	mtq:HKBS1_1391
ko:K02111	mtq:HKBS1_1393
ko:K02115	mtq:HKBS1_1394
ko:K02112	mtq:HKBS1_1395
ko:K02114	mtq:HKBS1_1396
ko:K00790	mtq:HKBS1_1400
ko:K00567	mtq:HKBS1_1402
ko:K13529	mtq:HKBS1_1403
ko:K06153	mtq:HKBS1_2260
ko:K00254	mtq:HKBS1_2264
ko:K06910	mtq:HKBS1_2265
ko:K02221	mtq:HKBS1_2272
ko:K09772	mtq:HKBS1_2273
ko:K06997	mtq:HKBS1_2274
ko:K05810	mtq:HKBS1_2275
ko:K03531	mtq:HKBS1_2276
ko:K03589	mtq:HKBS1_2277
ko:K01924	mtq:HKBS1_2278
ko:K02563	mtq:HKBS1_2279
ko:K03588	mtq:HKBS1_2280
ko:K01925	mtq:HKBS1_2281
ko:K01000	mtq:HKBS1_2282
ko:K01929	mtq:HKBS1_2283
ko:K01928	mtq:HKBS1_2284
ko:K03587	mtq:HKBS1_2289
ko:K03438	mtq:HKBS1_2291
ko:K03925	mtq:HKBS1_2292
ko:K13787	mtq:HKBS1_2297
ko:K14337	mtq:HKBS1_2298
ko:K01626	mtq:HKBS1_2302
ko:K13671	mtq:HKBS1_2306
ko:K00655	mtq:HKBS1_2307
ko:K02902	mtq:HKBS1_3132
ko:K03648	mtq:HKBS1_3133
ko:K00946	mtq:HKBS1_3134
ko:K01921	mtq:HKBS1_3138
ko:K00057	mtq:HKBS1_3139
ko:K14941	mtq:HKBS1_3140
ko:K00937	mtq:HKBS1_3141
ko:K03530	mtq:HKBS1_3143
ko:K01704	mtq:HKBS1_3144
ko:K01703	mtq:HKBS1_3145
ko:K01885	mtq:HKBS1_3149
ko:K00052	mtq:HKBS1_3152
ko:K00058	mtq:HKBS1_3153
ko:K02069	mtq:HKBS1_3158
ko:K00053	mtq:HKBS1_3160
ko:K01653	mtq:HKBS1_3161
ko:K01652	mtq:HKBS1_3162
ko:K15977	mtq:HKBS1_3164
ko:K02434	mtq:HKBS1_3168
ko:K02433	mtq:HKBS1_3170
ko:K02435	mtq:HKBS1_3171
ko:K01972	mtq:HKBS1_3173
ko:K16652	mtq:HKBS1_4016
ko:K13686	mtq:HKBS1_4017
ko:K11387	mtq:HKBS1_4018
ko:K11385	mtq:HKBS1_4019
ko:K11386	mtq:HKBS1_4020
ko:K12437	mtq:HKBS1_4025
ko:K12428	mtq:HKBS1_4026
ko:K13687	mtq:HKBS1_4030
ko:K14136	mtq:HKBS1_4031
ko:K16650	mtq:HKBS1_4033
ko:K01854	mtq:HKBS1_4034
ko:K14952	mtq:HKBS1_4044
ko:K06994	mtq:HKBS1_4049
ko:K12425	mtq:HKBS1_4052
ko:K01875	mtq:HKBS1_4059
ko:K04518	mtq:HKBS1_4063
ko:K01126	mtq:HKBS1_4067
ko:K07735	mtq:HKBS1_0043
ko:K01869	mtq:HKBS1_0046
ko:K01858	mtq:HKBS1_0051
ko:K02990	mtq:HKBS1_0058
ko:K02963	mtq:HKBS1_0060
ko:K02939	mtq:HKBS1_0061
ko:K09118	mtq:HKBS1_0070
ko:K00031	mtq:HKBS1_0073
ko:K01752	mtq:HKBS1_0076
ko:K00600	mtq:HKBS1_0077
ko:K14155	mtq:HKBS1_0080
ko:K12140	mtq:HKBS1_0091
ko:K12141	mtq:HKBS1_0092
ko:K01243	mtq:HKBS1_0097
ko:K12949	mtq:HKBS1_0098
ko:K02168	mtq:HKBS1_0965
ko:K03322	mtq:HKBS1_0972
ko:K00076	mtq:HKBS1_0975
ko:K02040	mtq:HKBS1_0976
ko:K02037	mtq:HKBS1_0977
ko:K02038	mtq:HKBS1_0978
ko:K02040	mtq:HKBS1_0980
ko:K02036	mtq:HKBS1_0981
ko:K02040	mtq:HKBS1_0982
ko:K02037	mtq:HKBS1_0983
ko:K02038	mtq:HKBS1_0984
ko:K10979	mtq:HKBS1_0985
ko:K10563	mtq:HKBS1_0992
ko:K01810	mtq:HKBS1_0994
ko:K04093	mtq:HKBS1_0998
ko:K03657	mtq:HKBS1_0999
ko:K01903	mtq:HKBS1_1001
ko:K01902	mtq:HKBS1_1002
ko:K11175	mtq:HKBS1_1006
ko:K00602	mtq:HKBS1_1007
ko:K03405	mtq:HKBS1_1008
ko:K00705	mtq:HKBS1_1874
ko:K14743	mtq:HKBS1_1889
ko:K07507	mtq:HKBS1_1904
ko:K03885	mtq:HKBS1_1905
ko:K02471	mtq:HKBS1_1912
ko:K01652	mtq:HKBS1_1913
ko:K03070	mtq:HKBS1_1914
ko:K08681	mtq:HKBS1_2754
ko:K10805	mtq:HKBS1_2755
ko:K06215	mtq:HKBS1_2756
ko:K00275	mtq:HKBS1_2757
ko:K08256	mtq:HKBS1_2760
ko:K00995	mtq:HKBS1_2762
ko:K01868	mtq:HKBS1_2764
ko:K14415	mtq:HKBS1_2782
ko:K09771	mtq:HKBS1_2791
ko:K01580	mtq:HKBS1_3646
ko:K00820	mtq:HKBS1_3651
ko:K03431	mtq:HKBS1_3656
ko:K02996	mtq:HKBS1_3657
ko:K02871	mtq:HKBS1_3658
ko:K03466	mtq:HKBS1_3662
ko:K14743	mtq:HKBS1_3664
ko:K06173	mtq:HKBS1_3669
ko:K02879	mtq:HKBS1_3670
ko:K03040	mtq:HKBS1_3671
ko:K02986	mtq:HKBS1_3672
ko:K02948	mtq:HKBS1_3673
ko:K02952	mtq:HKBS1_3674
ko:K02919	mtq:HKBS1_3675
ko:K02518	mtq:HKBS1_3676
ko:K01790	mtq:HKBS1_3679
ko:K01666	mtq:HKBS1_3683
ko:K01652	mtq:HKBS1_3684
ko:K01126	mtq:HKBS1_0334
ko:K07238	mtq:HKBS1_0335
ko:K01304	mtq:HKBS1_0336
ko:K01494	mtq:HKBS1_0338
ko:K00012	mtq:HKBS1_0339
ko:K17218	mtq:HKBS1_0347
ko:K00973	mtq:HKBS1_0350
ko:K14260	mtq:HKBS1_0353
ko:K11738	mtq:HKBS1_0362
ko:K04043	mtq:HKBS1_0366
ko:K03687	mtq:HKBS1_0367
ko:K03686	mtq:HKBS1_0368
ko:K13640	mtq:HKBS1_0369
ko:K01939	mtq:HKBS1_0373
ko:K06213	mtq:HKBS1_0378
