ko:K14227	sena:AU38_01275
ko:K00673	sena:AU38_09000
ko:K00840	sena:AU38_09005
ko:K01142	sena:AU38_09010
ko:K08320	sena:AU38_09015
ko:K00262	sena:AU38_09025
ko:K03169	sena:AU38_09030
ko:K01008	sena:AU38_09035
ko:K04773	sena:AU38_09045
ko:K01424	sena:AU38_09050
ko:K08281	sena:AU38_09055
ko:K08369	sena:AU38_09060
ko:K03589	sena:AU38_00655
ko:K03590	sena:AU38_00660
ko:K03531	sena:AU38_00665
ko:K02535	sena:AU38_00670
ko:K13301	sena:AU38_00675
ko:K03070	sena:AU38_00680
ko:K03574	sena:AU38_00685
ko:K09862	sena:AU38_00700
ko:K18778	sena:AU38_00705
ko:K00859	sena:AU38_00710
ko:K00364	sena:AU38_00715
ko:K02505	sena:AU38_00720
ko:K02504	sena:AU38_00725
ko:K02682	sena:AU38_00730
ko:K00767	sena:AU38_00735
ko:K03806	sena:AU38_00740
ko:K03807	sena:AU38_00745
ko:K11734	sena:AU38_00760
ko:K00163	sena:AU38_00770
ko:K00627	sena:AU38_00775
ko:K00382	sena:AU38_00780
ko:K01682	sena:AU38_00805
ko:K09910	sena:AU38_00820
ko:K02526	sena:AU38_00825
ko:K01611	sena:AU38_00845
ko:K00797	sena:AU38_00850
ko:K14588	sena:AU38_00860
ko:K00117	sena:AU38_00865
ko:K00760	sena:AU38_00870
ko:K01673	sena:AU38_00875
ko:K01990	sena:AU38_00880
ko:K01992	sena:AU38_00885
ko:K07347	sena:AU38_00895
ko:K01579	sena:AU38_00920
ko:K01918	sena:AU38_00925
ko:K00606	sena:AU38_00930
ko:K02421	sena:AU38_05315
ko:K02420	sena:AU38_05320
ko:K02419	sena:AU38_05325
ko:K02418	sena:AU38_05330
ko:K02417	sena:AU38_05335
ko:K02416	sena:AU38_05340
ko:K02415	sena:AU38_05345
ko:K02414	sena:AU38_05350
ko:K02413	sena:AU38_05355
ko:K02412	sena:AU38_05360
ko:K02411	sena:AU38_05365
ko:K02410	sena:AU38_05370
ko:K02409	sena:AU38_05375
ko:K02408	sena:AU38_05380
ko:K07112	sena:AU38_05395
ko:K01176	sena:AU38_05405
ko:K02423	sena:AU38_05410
ko:K02422	sena:AU38_05415
ko:K02407	sena:AU38_05420
ko:K02406	sena:AU38_05430
ko:K18475	sena:AU38_05435
ko:K02405	sena:AU38_05440
ko:K02425	sena:AU38_05445
ko:K02424	sena:AU38_05450
ko:K05396	sena:AU38_05455
ko:K10009	sena:AU38_05460
ko:K10010	sena:AU38_05465
ko:K07782	sena:AU38_05470
ko:K07689	sena:AU38_05485
ko:K03703	sena:AU38_05490
ko:K00995	sena:AU38_05495
ko:K07039	sena:AU38_05525
ko:K03834	sena:AU38_05530
ko:K02217	sena:AU38_05540
ko:K02255	sena:AU38_05555
ko:K10538	sena:AU38_05565
ko:K01087	sena:AU38_05570
ko:K00697	sena:AU38_05575
ko:K00950	sena:AU38_00935
ko:K00970	sena:AU38_00940
ko:K01894	sena:AU38_00945
ko:K06204	sena:AU38_00950
ko:K06206	sena:AU38_00955
ko:K01975	sena:AU38_00960
ko:K03579	sena:AU38_00965
ko:K05365	sena:AU38_00970
ko:K02014	sena:AU38_00975
ko:K02013	sena:AU38_00980
ko:K02016	sena:AU38_00985
ko:K02015	sena:AU38_00990
ko:K01845	sena:AU38_01030
ko:K03281	sena:AU38_01035
ko:K15724	sena:AU38_01040
ko:K06858	sena:AU38_01050
ko:K01243	sena:AU38_01055
ko:K01129	sena:AU38_01060
ko:K02647	sena:AU38_01070
ko:K00674	sena:AU38_01090
ko:K00990	sena:AU38_01095
ko:K01265	sena:AU38_01100
ko:K02967	sena:AU38_01105
ko:K02357	sena:AU38_01110
ko:K09903	sena:AU38_01115
ko:K02838	sena:AU38_01120
ko:K00099	sena:AU38_01125
ko:K00806	sena:AU38_01130
ko:K00981	sena:AU38_01135
ko:K11749	sena:AU38_01140
ko:K07277	sena:AU38_01145
ko:K06142	sena:AU38_01150
ko:K02536	sena:AU38_01155
ko:K02372	sena:AU38_01160
ko:K00677	sena:AU38_01165
ko:K00748	sena:AU38_01170
ko:K03470	sena:AU38_01175
ko:K02337	sena:AU38_01180
ko:K01962	sena:AU38_01185
ko:K18471	sena:AU38_09070
ko:K15352	sena:AU38_13310
ko:K09824	sena:AU38_13315
ko:K07241	sena:AU38_13330
ko:K07649	sena:AU38_13335
ko:K07774	sena:AU38_13340
ko:K07795	sena:AU38_13345
ko:K07794	sena:AU38_13350
ko:K07793	sena:AU38_13355
ko:K15737	sena:AU38_13360
ko:K15736	sena:AU38_13365
ko:K00135	sena:AU38_13370
ko:K07250	sena:AU38_13375
ko:K11735	sena:AU38_13380
ko:K15735	sena:AU38_13385
ko:K11685	sena:AU38_13415
ko:K00375	sena:AU38_13435
ko:K03647	sena:AU38_13450
ko:K02000	sena:AU38_13465
ko:K02001	sena:AU38_13470
ko:K02002	sena:AU38_13475
ko:K15974	sena:AU38_13485
ko:K03543	sena:AU38_13490
ko:K03446	sena:AU38_13495
ko:K07173	sena:AU38_13505
ko:K01919	sena:AU38_13510
ko:K03563	sena:AU38_13550
ko:K01872	sena:AU38_13555
ko:K03565	sena:AU38_13560
ko:K03743	sena:AU38_13570
ko:K08305	sena:AU38_13575
ko:K02783	sena:AU38_13580
ko:K02782	sena:AU38_13585
ko:K02783	sena:AU38_13585
ko:K02781	sena:AU38_13590
ko:K01805	sena:AU38_17790
ko:K02529	sena:AU38_17795
ko:K03796	sena:AU38_17800
ko:K01176	sena:AU38_17810
ko:K00835	sena:AU38_17815
ko:K08092	sena:AU38_17830
ko:K00880	sena:AU38_17860
ko:K09955	sena:AU38_17885
ko:K00138	sena:AU38_17890
ko:K03833	sena:AU38_17900
ko:K01042	sena:AU38_17905
ko:K02798	sena:AU38_17915
ko:K02799	sena:AU38_17915
ko:K02800	sena:AU38_17915
ko:K00009	sena:AU38_17920
ko:K02562	sena:AU38_17925
ko:K14762	sena:AU38_17935
ko:K00427	sena:AU38_17950
ko:K14348	sena:AU38_17955
ko:K00101	sena:AU38_17960
ko:K03216	sena:AU38_17965
ko:K06145	sena:AU38_17970
ko:K03535	sena:AU38_17980
ko:K00640	sena:AU38_17985
ko:K00057	sena:AU38_17990
ko:K03071	sena:AU38_17995
ko:K15633	sena:AU38_18010
ko:K09798	sena:AU38_18020
ko:K00060	sena:AU38_18030
ko:K00639	sena:AU38_18035
ko:K03274	sena:AU38_18040
ko:K02843	sena:AU38_18045
ko:K02841	sena:AU38_18050
ko:K02847	sena:AU38_18055
ko:K03280	sena:AU38_18060
ko:K04485	sena:AU38_22380
ko:K06211	sena:AU38_22385
ko:K08309	sena:AU38_22395
ko:K03720	sena:AU38_22400
ko:K05804	sena:AU38_22415
ko:K05805	sena:AU38_22420
ko:K07663	sena:AU38_22425
ko:K07641	sena:AU38_22430
ko:K06143	sena:AU38_22435
ko:K07347	sena:AU38_22450
ko:K07773	sena:AU38_22475
ko:K02533	sena:AU38_22480
ko:K12524	sena:AU38_22485
ko:K00872	sena:AU38_22490
ko:K01733	sena:AU38_22495
ko:K03273	sena:AU38_22500
ko:K02071	sena:AU38_22505
ko:K02072	sena:AU38_22510
ko:K02073	sena:AU38_22515
ko:K06080	sena:AU38_22520
ko:K01881	sena:AU38_22530
ko:K06079	sena:AU38_22535
ko:K01643	sena:AU38_22540
ko:K01644	sena:AU38_22545
ko:K01646	sena:AU38_22550
ko:K01910	sena:AU38_22555
ko:K01573	sena:AU38_22565
ko:K01571	sena:AU38_22570
ko:K15834	sena:AU38_22575
ko:K15832	sena:AU38_22580
ko:K15831	sena:AU38_22585
ko:K15830	sena:AU38_22590
ko:K07347	sena:AU38_00105
ko:K06871	sena:AU38_00180
ko:K03313	sena:AU38_00195
ko:K03717	sena:AU38_00200
ko:K01811	sena:AU38_00205
ko:K02968	sena:AU38_00215
ko:K11753	sena:AU38_00220
ko:K01870	sena:AU38_00225
ko:K03101	sena:AU38_00230
ko:K03774	sena:AU38_00235
ko:K03527	sena:AU38_00240
ko:K12700	sena:AU38_00255
ko:K07702	sena:AU38_00260
ko:K07700	sena:AU38_00265
ko:K01572	sena:AU38_00270
ko:K01571	sena:AU38_00275
ko:K01573	sena:AU38_00280
ko:K01910	sena:AU38_00290
ko:K01646	sena:AU38_00295
ko:K01644	sena:AU38_00300
ko:K01643	sena:AU38_00305
ko:K05964	sena:AU38_00310
ko:K05966	sena:AU38_00315
ko:K00215	sena:AU38_00320
ko:K01956	sena:AU38_00325
ko:K01955	sena:AU38_00330
ko:K08277	sena:AU38_00335
ko:K08279	sena:AU38_00340
ko:K08299	sena:AU38_00345
ko:K02182	sena:AU38_00350
ko:K08298	sena:AU38_00355
ko:K08297	sena:AU38_00360
ko:K05245	sena:AU38_00365
ko:K03521	sena:AU38_00375
ko:K01256	sena:AU38_04765
ko:K00254	sena:AU38_04770
ko:K18657	sena:AU38_04775
ko:K07140	sena:AU38_04780
ko:K12297	sena:AU38_04785
ko:K15738	sena:AU38_04790
ko:K03808	sena:AU38_04795
ko:K06192	sena:AU38_04800
ko:K09857	sena:AU38_04805
ko:K03812	sena:AU38_04810
ko:K01716	sena:AU38_04815
ko:K04770	sena:AU38_04820
ko:K09911	sena:AU38_04825
ko:K03286	sena:AU38_04830
ko:K13053	sena:AU38_04835
ko:K07343	sena:AU38_04840
ko:K03658	sena:AU38_04855
ko:K01734	sena:AU38_04860
ko:K09909	sena:AU38_04865
ko:K06929	sena:AU38_04870
ko:K11940	sena:AU38_04875
ko:K06969	sena:AU38_04880
ko:K06910	sena:AU38_04885
ko:K01512	sena:AU38_04895
ko:K11179	sena:AU38_04900
ko:K13085	sena:AU38_04930
ko:K14064	sena:AU38_05580
ko:K02403	sena:AU38_05585
ko:K02402	sena:AU38_05590
ko:K03746	sena:AU38_10055
ko:K07733	sena:AU38_10080
ko:K07126	sena:AU38_10100
ko:K01241	sena:AU38_10125
ko:K16291	sena:AU38_10160
ko:K00768	sena:AU38_10165
ko:K02233	sena:AU38_10170
ko:K02231	sena:AU38_10175
ko:K02232	sena:AU38_10180
ko:K02006	sena:AU38_10185
ko:K02008	sena:AU38_10190
ko:K02009	sena:AU38_10195
ko:K02007	sena:AU38_10200
ko:K03394	sena:AU38_10205
ko:K02190	sena:AU38_10210
ko:K05895	sena:AU38_10215
ko:K02189	sena:AU38_10225
ko:K05936	sena:AU38_10230
ko:K02191	sena:AU38_10235
ko:K03399	sena:AU38_10240
ko:K02188	sena:AU38_10245
ko:K06042	sena:AU38_10250
ko:K03582	sena:AU38_14410
ko:K01407	sena:AU38_14415
ko:K03583	sena:AU38_14420
ko:K02681	sena:AU38_14425
ko:K02680	sena:AU38_14435
ko:K02679	sena:AU38_14440
ko:K13292	sena:AU38_14455
ko:K08484	sena:AU38_14460
ko:K08311	sena:AU38_14465
ko:K03573	sena:AU38_14470
ko:K08227	sena:AU38_14490
ko:K05939	sena:AU38_14495
ko:K02529	sena:AU38_14500
ko:K01586	sena:AU38_14510
ko:K02100	sena:AU38_14525
ko:K00065	sena:AU38_14530
ko:K01815	sena:AU38_14535
ko:K00626	sena:AU38_14540
ko:K18828	sena:AU38_14610
ko:K18829	sena:AU38_14615
ko:K12943	sena:AU38_14640
ko:K01823	sena:AU38_14645
ko:K04567	sena:AU38_14650
ko:K02836	sena:AU38_14655
ko:K07462	sena:AU38_14660
ko:K03981	sena:AU38_14665
ko:K04763	sena:AU38_14670
ko:K03840	sena:AU38_14675
ko:K19168	sena:AU38_14680
ko:K09159	sena:AU38_14685
ko:K01673	sena:AU38_18920
ko:K03497	sena:AU38_18960
ko:K03502	sena:AU38_18965
ko:K03503	sena:AU38_18970
ko:K03497	sena:AU38_18975
ko:K12068	sena:AU38_19040
ko:K12067	sena:AU38_19045
ko:K12066	sena:AU38_19050
ko:K12065	sena:AU38_19055
ko:K12064	sena:AU38_19065
ko:K09897	sena:AU38_19125
ko:K07391	sena:AU38_19130
ko:K01652	sena:AU38_19135
ko:K11258	sena:AU38_19140
ko:K00826	sena:AU38_19145
ko:K01687	sena:AU38_19150
ko:K01754	sena:AU38_19155
ko:K02521	sena:AU38_19170
ko:K00053	sena:AU38_19175
ko:K03769	sena:AU38_19180
ko:K03656	sena:AU38_19190
ko:K01524	sena:AU38_19195
ko:K03732	sena:AU38_19200
ko:K02484	sena:AU38_04950
ko:K07127	sena:AU38_04960
ko:K00484	sena:AU38_04965
ko:K00483	sena:AU38_04970
ko:K05921	sena:AU38_04980
ko:K00151	sena:AU38_04985
ko:K00455	sena:AU38_04990
ko:K01826	sena:AU38_04995
ko:K02509	sena:AU38_05000
ko:K02510	sena:AU38_05005
ko:K02511	sena:AU38_05010
ko:K07153	sena:AU38_09405
ko:K01756	sena:AU38_09410
ko:K07660	sena:AU38_09415
ko:K07637	sena:AU38_09420
ko:K18850	sena:AU38_09425
ko:K01258	sena:AU38_09435
ko:K11072	sena:AU38_09440
ko:K11071	sena:AU38_09445
ko:K15347	sena:AU38_09450
ko:K11070	sena:AU38_09455
ko:K11069	sena:AU38_09460
ko:K12410	sena:AU38_09465
ko:K00884	sena:AU38_09470
ko:K09808	sena:AU38_09475
ko:K09810	sena:AU38_09480
ko:K09808	sena:AU38_09485
ko:K03723	sena:AU38_09490
ko:K19236	sena:AU38_09495
ko:K12151	sena:AU38_09500
ko:K03885	sena:AU38_09515
ko:K07000	sena:AU38_09520
ko:K01207	sena:AU38_09525
ko:K07251	sena:AU38_09530
ko:K07337	sena:AU38_09535
ko:K02503	sena:AU38_09545
ko:K16088	sena:AU38_09550
ko:K02778	sena:AU38_09555
ko:K02779	sena:AU38_09555
ko:K03424	sena:AU38_09560
ko:K02341	sena:AU38_09565
ko:K00943	sena:AU38_09570
ko:K07082	sena:AU38_09575
ko:K02619	sena:AU38_09580
ko:K09458	sena:AU38_09585
ko:K02078	sena:AU38_09590
ko:K00059	sena:AU38_09595
ko:K00645	sena:AU38_09600
ko:K00648	sena:AU38_09605
ko:K03621	sena:AU38_09610
ko:K02911	sena:AU38_09615
ko:K07040	sena:AU38_09620
ko:K06179	sena:AU38_09640
ko:K08300	sena:AU38_09645
ko:K02397	sena:AU38_09650
ko:K02396	sena:AU38_09655
ko:K02395	sena:AU38_09660
ko:K02394	sena:AU38_09665
ko:K03225	sena:AU38_13875
ko:K03230	sena:AU38_13900
ko:K07314	sena:AU38_13940
ko:K03555	sena:AU38_13960
ko:K03186	sena:AU38_14020
ko:K03087	sena:AU38_14035
ko:K06194	sena:AU38_14040
ko:K00573	sena:AU38_14045
ko:K03787	sena:AU38_14050
ko:K06176	sena:AU38_14055
ko:K01770	sena:AU38_14060
ko:K00991	sena:AU38_14065
ko:K05589	sena:AU38_14070
ko:K00860	sena:AU38_14080
ko:K00956	sena:AU38_14085
ko:K00957	sena:AU38_14090
ko:K09612	sena:AU38_14095
ko:K09951	sena:AU38_14100
ko:K15342	sena:AU38_14105
ko:K19126	sena:AU38_14110
ko:K19125	sena:AU38_14115
ko:K19124	sena:AU38_14120
ko:K19046	sena:AU38_14125
ko:K17465	sena:AU38_18345
ko:K17464	sena:AU38_18350
ko:K17473	sena:AU38_18355
ko:K01223	sena:AU38_18365
ko:K07726	sena:AU38_18380
ko:K07784	sena:AU38_18395
ko:K07783	sena:AU38_18400
ko:K07675	sena:AU38_18405
ko:K02429	sena:AU38_18420
ko:K00852	sena:AU38_18425
ko:K11534	sena:AU38_18430
ko:K01653	sena:AU38_18435
ko:K01652	sena:AU38_18440
ko:K08154	sena:AU38_18455
ko:K13636	sena:AU38_18465
ko:K13629	sena:AU38_18470
ko:K01753	sena:AU38_18475
ko:K06871	sena:AU38_18480
ko:K00389	sena:AU38_18490
ko:K07085	sena:AU38_18505
ko:K04081	sena:AU38_18510
ko:K04080	sena:AU38_18515
ko:K02200	sena:AU38_18530
ko:K02199	sena:AU38_18535
ko:K02198	sena:AU38_18540
ko:K02196	sena:AU38_18550
ko:K02195	sena:AU38_18555
ko:K02194	sena:AU38_18560
ko:K02193	sena:AU38_18565
ko:K00428	sena:AU38_18570
ko:K03533	sena:AU38_18575
ko:K07811	sena:AU38_18580
ko:K03532	sena:AU38_18585
ko:K07772	sena:AU38_18590
ko:K11930	sena:AU38_18595
ko:K07647	sena:AU38_18600
ko:K08194	sena:AU38_18605
ko:K01684	sena:AU38_18610
ko:K01631	sena:AU38_18615
ko:K00883	sena:AU38_18620
ko:K19164	sena:AU38_23015
ko:K19163	sena:AU38_23020
ko:K07491	sena:AU38_23070
ko:K07804	sena:AU38_23140
ko:K08234	sena:AU38_01200
ko:K04075	sena:AU38_01205
ko:K02556	sena:AU38_05595
ko:K02557	sena:AU38_05600
ko:K03407	sena:AU38_05605
ko:K03408	sena:AU38_05610
ko:K00575	sena:AU38_05620
ko:K03412	sena:AU38_05625
ko:K03413	sena:AU38_05630
ko:K03414	sena:AU38_05635
ko:K02401	sena:AU38_05640
ko:K02400	sena:AU38_05645
ko:K03516	sena:AU38_05650
ko:K15532	sena:AU38_05655
ko:K05515	sena:AU38_05660
ko:K01887	sena:AU38_05665
ko:K09907	sena:AU38_05670
ko:K06201	sena:AU38_05675
ko:K15257	sena:AU38_05680
ko:K15256	sena:AU38_05685
ko:K07136	sena:AU38_05690
ko:K01876	sena:AU38_05705
ko:K08310	sena:AU38_05710
ko:K01159	sena:AU38_05720
ko:K03550	sena:AU38_05735
ko:K03551	sena:AU38_05740
ko:K09816	sena:AU38_05745
ko:K09817	sena:AU38_05750
ko:K09815	sena:AU38_05755
ko:K02560	sena:AU38_05765
ko:K00873	sena:AU38_05770
ko:K00036	sena:AU38_05780
ko:K01690	sena:AU38_05785
ko:K01625	sena:AU38_05790
ko:K08289	sena:AU38_05800
ko:K09918	sena:AU38_05805
ko:K01354	sena:AU38_05820
ko:K10857	sena:AU38_05825
ko:K02345	sena:AU38_05835
ko:K07156	sena:AU38_05840
ko:K07245	sena:AU38_05845
ko:K02227	sena:AU38_10255
ko:K02224	sena:AU38_10260
ko:K01699	sena:AU38_10285
ko:K13919	sena:AU38_10290
ko:K13920	sena:AU38_10295
ko:K13923	sena:AU38_10320
ko:K13922	sena:AU38_10340
ko:K13921	sena:AU38_10345
ko:K04031	sena:AU38_10360
ko:K04029	sena:AU38_10365
ko:K16651	sena:AU38_10375
ko:K09802	sena:AU38_10380
ko:K07470	sena:AU38_10390
ko:K07258	sena:AU38_10395
ko:K08354	sena:AU38_10400
ko:K08353	sena:AU38_10405
ko:K08352	sena:AU38_10410
ko:K01141	sena:AU38_10425
ko:K00765	sena:AU38_10445
ko:K00013	sena:AU38_10450
ko:K00817	sena:AU38_10455
ko:K01089	sena:AU38_10460
ko:K02501	sena:AU38_10465
ko:K01814	sena:AU38_10470
ko:K02500	sena:AU38_10475
ko:K11755	sena:AU38_10480
ko:K05789	sena:AU38_10485
ko:K00012	sena:AU38_10490
ko:K00033	sena:AU38_10495
ko:K01840	sena:AU38_10505
ko:K00971	sena:AU38_10510
ko:K12992	sena:AU38_10515
ko:K13005	sena:AU38_10525
ko:K06980	sena:AU38_14695
ko:K11068	sena:AU38_14700
ko:K09900	sena:AU38_14705
ko:K01223	sena:AU38_14710
ko:K00281	sena:AU38_14720
ko:K02437	sena:AU38_14725
ko:K00605	sena:AU38_14730
ko:K18800	sena:AU38_14735
ko:K03185	sena:AU38_14740
