ko:K08153	bthr:YBT1520_04795
ko:K09747	bthr:YBT1520_00095
ko:K06187	bthr:YBT1520_00100
ko:K06317	bthr:YBT1520_00110
ko:K00943	bthr:YBT1520_00125
ko:K02341	bthr:YBT1520_00130
ko:K07461	bthr:YBT1520_00150
ko:K07056	bthr:YBT1520_00155
ko:K06284	bthr:YBT1520_00160
ko:K01874	bthr:YBT1520_00165
ko:K03424	bthr:YBT1520_00170
ko:K05985	bthr:YBT1520_00175
ko:K02528	bthr:YBT1520_00180
ko:K06436	bthr:YBT1520_00185
ko:K06423	bthr:YBT1520_00195
ko:K00919	bthr:YBT1520_00200
ko:K09685	bthr:YBT1520_00205
ko:K09022	bthr:YBT1520_00210
ko:K06412	bthr:YBT1520_00215
ko:K04042	bthr:YBT1520_00220
ko:K00948	bthr:YBT1520_00225
ko:K03307	bthr:YBT1520_04180
ko:K06310	bthr:YBT1520_04185
ko:K06311	bthr:YBT1520_04190
ko:K06312	bthr:YBT1520_04195
ko:K04759	bthr:YBT1520_04205
ko:K04758	bthr:YBT1520_04215
ko:K02040	bthr:YBT1520_04220
ko:K02037	bthr:YBT1520_04225
ko:K02038	bthr:YBT1520_04230
ko:K03707	bthr:YBT1520_04260
ko:K15600	bthr:YBT1520_04265
ko:K15599	bthr:YBT1520_04270
ko:K15598	bthr:YBT1520_04275
ko:K10810	bthr:YBT1520_04280
ko:K03153	bthr:YBT1520_04285
ko:K03154	bthr:YBT1520_04290
ko:K03149	bthr:YBT1520_04295
ko:K00941	bthr:YBT1520_04305
ko:K01546	bthr:YBT1520_04325
ko:K01547	bthr:YBT1520_04330
ko:K01548	bthr:YBT1520_04335
ko:K07651	bthr:YBT1520_08490
ko:K05337	bthr:YBT1520_08515
ko:K03654	bthr:YBT1520_08525
ko:K07052	bthr:YBT1520_08530
ko:K16511	bthr:YBT1520_08550
ko:K00260	bthr:YBT1520_08555
ko:K00384	bthr:YBT1520_08575
ko:K01424	bthr:YBT1520_08580
ko:K00945	bthr:YBT1520_08590
ko:K02945	bthr:YBT1520_08595
ko:K01823	bthr:YBT1520_08600
ko:K05739	bthr:YBT1520_08615
ko:K03977	bthr:YBT1520_08625
ko:K00057	bthr:YBT1520_08630
ko:K06398	bthr:YBT1520_08650
ko:K03530	bthr:YBT1520_08655
ko:K01495	bthr:YBT1520_08660
ko:K00805	bthr:YBT1520_08665
ko:K03183	bthr:YBT1520_08670
ko:K00805	bthr:YBT1520_08675
ko:K00940	bthr:YBT1520_08680
ko:K01736	bthr:YBT1520_08685
ko:K01735	bthr:YBT1520_08690
ko:K00817	bthr:YBT1520_08700
ko:K03886	bthr:YBT1520_08720
ko:K03887	bthr:YBT1520_08725
ko:K03888	bthr:YBT1520_08730
ko:K06973	bthr:YBT1520_08755
ko:K06304	bthr:YBT1520_16535
ko:K06304	bthr:YBT1520_16550
ko:K07697	bthr:YBT1520_16585
ko:K16785	bthr:YBT1520_16595
ko:K16786	bthr:YBT1520_16600
ko:K16787	bthr:YBT1520_16600
ko:K16924	bthr:YBT1520_16605
ko:K01779	bthr:YBT1520_16610
ko:K03100	bthr:YBT1520_16620
ko:K18234	bthr:YBT1520_16660
ko:K01921	bthr:YBT1520_16740
ko:K00003	bthr:YBT1520_16750
ko:K11636	bthr:YBT1520_16770
ko:K11635	bthr:YBT1520_16775
ko:K00954	bthr:YBT1520_20875
ko:K01455	bthr:YBT1520_20930
ko:K02862	bthr:YBT1520_20935
ko:K02276	bthr:YBT1520_20945
ko:K02274	bthr:YBT1520_20950
ko:K02275	bthr:YBT1520_20955
ko:K02259	bthr:YBT1520_20965
ko:K01958	bthr:YBT1520_20970
ko:K03588	bthr:YBT1520_20975
ko:K07175	bthr:YBT1520_20990
ko:K06207	bthr:YBT1520_21015
ko:K01092	bthr:YBT1520_21025
ko:K00686	bthr:YBT1520_21050
ko:K00382	bthr:YBT1520_21080
ko:K00627	bthr:YBT1520_21085
ko:K00162	bthr:YBT1520_21090
ko:K00161	bthr:YBT1520_21095
ko:K01462	bthr:YBT1520_21105
ko:K12574	bthr:YBT1520_21120
ko:K03499	bthr:YBT1520_21125
ko:K00426	bthr:YBT1520_21130
ko:K03455	bthr:YBT1520_25040
ko:K07228	bthr:YBT1520_25045
ko:K02004	bthr:YBT1520_25055
ko:K02003	bthr:YBT1520_25060
ko:K07139	bthr:YBT1520_25080
ko:K01779	bthr:YBT1520_25090
ko:K16188	bthr:YBT1520_25105
ko:K01048	bthr:YBT1520_25110
ko:K03752	bthr:YBT1520_25130
ko:K03638	bthr:YBT1520_25135
ko:K00789	bthr:YBT1520_25155
ko:K01610	bthr:YBT1520_25160
ko:K02116	bthr:YBT1520_25165
ko:K02051	bthr:YBT1520_25245
ko:K02049	bthr:YBT1520_25250
ko:K02050	bthr:YBT1520_25255
ko:K07025	bthr:YBT1520_25270
ko:K07652	bthr:YBT1520_29150
ko:K07668	bthr:YBT1520_29155
ko:K01939	bthr:YBT1520_29160
ko:K02939	bthr:YBT1520_29170
ko:K02963	bthr:YBT1520_29185
ko:K02990	bthr:YBT1520_29195
ko:K06942	bthr:YBT1520_29200
ko:K03501	bthr:YBT1520_29235
ko:K03495	bthr:YBT1520_29240
ko:K03650	bthr:YBT1520_29245
ko:K06346	bthr:YBT1520_29250
ko:K03217	bthr:YBT1520_29255
ko:K03536	bthr:YBT1520_29260
ko:K02914	bthr:YBT1520_29265
ko:K07052	bthr:YBT1520_29584
ko:K09936	bthr:YBT1520_29654
ko:K02279	bthr:YBT1520_33821
ko:K02283	bthr:YBT1520_33831
ko:K01056	bthr:YBT1520_00230
ko:K03723	bthr:YBT1520_00240
ko:K04769	bthr:YBT1520_00245
ko:K02499	bthr:YBT1520_00255
ko:K07571	bthr:YBT1520_00280
ko:K06382	bthr:YBT1520_00285
ko:K04075	bthr:YBT1520_00290
ko:K00760	bthr:YBT1520_00295
ko:K03798	bthr:YBT1520_00300
ko:K03525	bthr:YBT1520_00305
ko:K04083	bthr:YBT1520_00310
ko:K01738	bthr:YBT1520_00315
ko:K01665	bthr:YBT1520_00320
ko:K01664	bthr:YBT1520_00325
ko:K02619	bthr:YBT1520_00330
ko:K00796	bthr:YBT1520_00335
ko:K01633	bthr:YBT1520_00340
ko:K00950	bthr:YBT1520_00345
ko:K04567	bthr:YBT1520_00360
ko:K03708	bthr:YBT1520_00365
ko:K03696	bthr:YBT1520_00380
ko:K04485	bthr:YBT1520_00385
ko:K07067	bthr:YBT1520_00390
ko:K00991	bthr:YBT1520_00400
ko:K01770	bthr:YBT1520_00405
ko:K09698	bthr:YBT1520_00410
ko:K00640	bthr:YBT1520_00415
ko:K01883	bthr:YBT1520_00420
ko:K11145	bthr:YBT1520_00425
ko:K03218	bthr:YBT1520_00430
ko:K06962	bthr:YBT1520_00435
ko:K03091	bthr:YBT1520_00440
ko:K02913	bthr:YBT1520_00445
ko:K03073	bthr:YBT1520_00450
ko:K02601	bthr:YBT1520_00455
ko:K02867	bthr:YBT1520_00460
ko:K02863	bthr:YBT1520_00465
ko:K02864	bthr:YBT1520_00470
ko:K02935	bthr:YBT1520_00480
ko:K07646	bthr:YBT1520_04340
ko:K02004	bthr:YBT1520_04365
ko:K02003	bthr:YBT1520_04375
ko:K06901	bthr:YBT1520_04385
ko:K03611	bthr:YBT1520_04415
ko:K03324	bthr:YBT1520_04540
ko:K09963	bthr:YBT1520_04555
ko:K03491	bthr:YBT1520_04560
ko:K02759	bthr:YBT1520_04565
ko:K02760	bthr:YBT1520_04570
ko:K02761	bthr:YBT1520_04575
ko:K02004	bthr:YBT1520_04600
ko:K02003	bthr:YBT1520_04605
ko:K02005	bthr:YBT1520_04610
ko:K02033	bthr:YBT1520_04620
ko:K00215	bthr:YBT1520_08785
ko:K01734	bthr:YBT1520_08790
ko:K00974	bthr:YBT1520_08805
ko:K03524	bthr:YBT1520_08810
ko:K00606	bthr:YBT1520_08820
ko:K01918	bthr:YBT1520_08825
ko:K01579	bthr:YBT1520_08830
ko:K00812	bthr:YBT1520_08855
ko:K02086	bthr:YBT1520_08860
ko:K10773	bthr:YBT1520_08865
ko:K05366	bthr:YBT1520_08875
ko:K03700	bthr:YBT1520_08880
ko:K06327	bthr:YBT1520_08915
ko:K07444	bthr:YBT1520_08930
ko:K01299	bthr:YBT1520_08945
ko:K01265	bthr:YBT1520_08955
ko:K03816	bthr:YBT1520_08960
ko:K16169	bthr:YBT1520_08965
ko:K07148	bthr:YBT1520_08970
ko:K01011	bthr:YBT1520_09005
ko:K08989	bthr:YBT1520_09025
ko:K01426	bthr:YBT1520_16810
ko:K01449	bthr:YBT1520_16815
ko:K04566	bthr:YBT1520_16820
ko:K00483	bthr:YBT1520_16870
ko:K08602	bthr:YBT1520_16890
ko:K01990	bthr:YBT1520_16915
ko:K01243	bthr:YBT1520_17030
ko:K05823	bthr:YBT1520_21135
ko:K05822	bthr:YBT1520_21140
ko:K09776	bthr:YBT1520_21160
ko:K07098	bthr:YBT1520_21200
ko:K00937	bthr:YBT1520_21210
ko:K01524	bthr:YBT1520_21215
ko:K00549	bthr:YBT1520_21255
ko:K07697	bthr:YBT1520_21275
ko:K00841	bthr:YBT1520_21285
ko:K15772	bthr:YBT1520_21295
ko:K15771	bthr:YBT1520_21300
ko:K15770	bthr:YBT1520_21305
ko:K01182	bthr:YBT1520_21315
ko:K10112	bthr:YBT1520_21320
ko:K00626	bthr:YBT1520_21355
ko:K10947	bthr:YBT1520_21385
ko:K00019	bthr:YBT1520_21390
ko:K07173	bthr:YBT1520_25305
ko:K08998	bthr:YBT1520_25310
ko:K01673	bthr:YBT1520_25315
ko:K00425	bthr:YBT1520_25320
ko:K00426	bthr:YBT1520_25325
ko:K03969	bthr:YBT1520_25360
ko:K04759	bthr:YBT1520_25375
ko:K04758	bthr:YBT1520_25380
ko:K16789	bthr:YBT1520_25385
ko:K07284	bthr:YBT1520_25400
ko:K00760	bthr:YBT1520_25420
ko:K02004	bthr:YBT1520_25460
ko:K02003	bthr:YBT1520_25465
ko:K13653	bthr:YBT1520_25470
ko:K11636	bthr:YBT1520_25500
ko:K11636	bthr:YBT1520_25505
ko:K11635	bthr:YBT1520_25510
ko:K11636	bthr:YBT1520_25515
ko:K00874	bthr:YBT1520_25555
ko:K00645	bthr:YBT1520_29709
ko:K00074	bthr:YBT1520_29714
ko:K04091	bthr:YBT1520_29739
ko:K15657	bthr:YBT1520_29759
ko:K06133	bthr:YBT1520_29769
ko:K00611	bthr:YBT1520_29774
ko:K13409	bthr:YBT1520_29809
ko:K09765	bthr:YBT1520_29894
ko:K01990	bthr:YBT1520_29914
ko:K07979	bthr:YBT1520_29919
ko:K07727	bthr:YBT1520_34126
ko:K03581	bthr:YBT1520_34171
ko:K07727	bthr:YBT1520_34211
ko:K07727	bthr:YBT1520_34256
ko:K07341	bthr:YBT1520_34276
ko:K00564	bthr:YBT1520_00485
ko:K03043	bthr:YBT1520_00490
ko:K03046	bthr:YBT1520_00495
ko:K07590	bthr:YBT1520_00500
ko:K02950	bthr:YBT1520_00505
ko:K02992	bthr:YBT1520_00510
ko:K02355	bthr:YBT1520_00515
ko:K02358	bthr:YBT1520_00520
ko:K02358	bthr:YBT1520_00525
ko:K02946	bthr:YBT1520_00530
ko:K02906	bthr:YBT1520_00535
ko:K02926	bthr:YBT1520_00540
ko:K02892	bthr:YBT1520_00545
ko:K02886	bthr:YBT1520_00550
ko:K02965	bthr:YBT1520_00555
ko:K02890	bthr:YBT1520_00560
ko:K02982	bthr:YBT1520_00565
ko:K02878	bthr:YBT1520_00570
ko:K02961	bthr:YBT1520_00575
ko:K02874	bthr:YBT1520_00580
ko:K02895	bthr:YBT1520_00585
ko:K02931	bthr:YBT1520_00590
ko:K02954	bthr:YBT1520_00595
ko:K02994	bthr:YBT1520_00600
ko:K02933	bthr:YBT1520_00605
ko:K02881	bthr:YBT1520_00610
ko:K02988	bthr:YBT1520_00615
ko:K02907	bthr:YBT1520_00620
ko:K02876	bthr:YBT1520_00625
ko:K00939	bthr:YBT1520_00640
ko:K01265	bthr:YBT1520_00645
ko:K02518	bthr:YBT1520_00650
ko:K02919	bthr:YBT1520_00655
ko:K02952	bthr:YBT1520_00660
ko:K02948	bthr:YBT1520_00665
ko:K03040	bthr:YBT1520_00670
ko:K02879	bthr:YBT1520_00675
ko:K16786	bthr:YBT1520_00680
ko:K16787	bthr:YBT1520_00685
ko:K16785	bthr:YBT1520_00690
ko:K06173	bthr:YBT1520_00695
ko:K02871	bthr:YBT1520_00700
ko:K02996	bthr:YBT1520_00705
ko:K01448	bthr:YBT1520_00715
ko:K03593	bthr:YBT1520_00720
ko:K06294	bthr:YBT1520_00725
ko:K06349	bthr:YBT1520_00730
ko:K02034	bthr:YBT1520_04625
ko:K03311	bthr:YBT1520_04630
ko:K06334	bthr:YBT1520_04635
ko:K06333	bthr:YBT1520_04640
ko:K06332	bthr:YBT1520_04645
ko:K10979	bthr:YBT1520_04660
ko:K03294	bthr:YBT1520_04705
ko:K07106	bthr:YBT1520_04725
ko:K02809	bthr:YBT1520_04730
ko:K02810	bthr:YBT1520_04730
ko:K09963	bthr:YBT1520_04735
ko:K00619	bthr:YBT1520_04765
ko:K07124	bthr:YBT1520_04770
ko:K03923	bthr:YBT1520_04810
ko:K08152	bthr:YBT1520_04820
ko:K08152	bthr:YBT1520_04825
ko:K05520	bthr:YBT1520_04835
ko:K03781	bthr:YBT1520_04840
ko:K01992	bthr:YBT1520_04845
ko:K03758	bthr:YBT1520_04850
ko:K01776	bthr:YBT1520_04855
ko:K00131	bthr:YBT1520_04865
ko:K02424	bthr:YBT1520_04885
ko:K10009	bthr:YBT1520_04890
ko:K10010	bthr:YBT1520_04895
ko:K03469	bthr:YBT1520_09120
ko:K03469	bthr:YBT1520_09135
ko:K03704	bthr:YBT1520_09150
ko:K09190	bthr:YBT1520_09155
ko:K14393	bthr:YBT1520_09180
ko:K12574	bthr:YBT1520_09205
ko:K03666	bthr:YBT1520_09265
ko:K07023	bthr:YBT1520_09270
ko:K02556	bthr:YBT1520_09275
ko:K02557	bthr:YBT1520_09280
ko:K03413	bthr:YBT1520_09285
ko:K03407	bthr:YBT1520_09290
ko:K02417	bthr:YBT1520_09295
ko:K00575	bthr:YBT1520_09310
ko:K09770	bthr:YBT1520_09320
ko:K02396	bthr:YBT1520_09330
ko:K02397	bthr:YBT1520_09335
ko:K01895	bthr:YBT1520_17110
ko:K01640	bthr:YBT1520_17125
ko:K02160	bthr:YBT1520_17130
ko:K01961	bthr:YBT1520_17135
ko:K01992	bthr:YBT1520_17160
ko:K17836	bthr:YBT1520_17185
ko:K03088	bthr:YBT1520_17210
ko:K06213	bthr:YBT1520_17225
ko:K03588	bthr:YBT1520_17230
ko:K01442	bthr:YBT1520_17255
ko:K01580	bthr:YBT1520_17260
ko:K03716	bthr:YBT1520_17270
ko:K06315	bthr:YBT1520_17275
ko:K03837	bthr:YBT1520_17295
ko:K01752	bthr:YBT1520_17300
ko:K01752	bthr:YBT1520_17305
ko:K07001	bthr:YBT1520_17315
ko:K01953	bthr:YBT1520_17330
ko:K00131	bthr:YBT1520_21435
ko:K00131	bthr:YBT1520_21440
ko:K08963	bthr:YBT1520_21455
ko:K08963	bthr:YBT1520_21465
ko:K00899	bthr:YBT1520_21470
ko:K08965	bthr:YBT1520_21490
ko:K08966	bthr:YBT1520_21495
ko:K08964	bthr:YBT1520_21500
ko:K08967	bthr:YBT1520_21505
ko:K08483	bthr:YBT1520_21545
ko:K11189	bthr:YBT1520_21550
ko:K03480	bthr:YBT1520_21560
ko:K03710	bthr:YBT1520_21570
ko:K02564	bthr:YBT1520_21575
ko:K01443	bthr:YBT1520_21580
ko:K06024	bthr:YBT1520_21590
ko:K05896	bthr:YBT1520_21595
ko:K09763	bthr:YBT1520_21605
ko:K02859	bthr:YBT1520_21610
ko:K03768	bthr:YBT1520_21615
ko:K06408	bthr:YBT1520_21630
ko:K06407	bthr:YBT1520_21635
ko:K06407	bthr:YBT1520_21640
ko:K06404	bthr:YBT1520_21665
ko:K06403	bthr:YBT1520_21670
ko:K01042	bthr:YBT1520_25565
ko:K01465	bthr:YBT1520_25570
ko:K07260	bthr:YBT1520_25575
ko:K02549	bthr:YBT1520_25590
ko:K01911	bthr:YBT1520_25615
ko:K01661	bthr:YBT1520_25620
ko:K08680	bthr:YBT1520_25625
ko:K02551	bthr:YBT1520_25635
ko:K02552	bthr:YBT1520_25640
ko:K02548	bthr:YBT1520_25645
ko:K03704	bthr:YBT1520_25655
ko:K00688	bthr:YBT1520_25685
ko:K00703	bthr:YBT1520_25690
ko:K00975	bthr:YBT1520_25695
ko:K00975	bthr:YBT1520_25700
ko:K00700	bthr:YBT1520_25705
ko:K00016	bthr:YBT1520_25715
ko:K00034	bthr:YBT1520_29954
ko:K05340	bthr:YBT1520_29959
ko:K03611	bthr:YBT1520_29979
ko:K07491	bthr:YBT1520_29994
ko:K17103	bthr:YBT1520_30044
ko:K02003	bthr:YBT1520_30094
ko:K02004	bthr:YBT1520_30099
ko:K03305	bthr:YBT1520_30189
ko:K06889	bthr:YBT1520_30194
ko:K00865	bthr:YBT1520_00745
ko:K01476	bthr:YBT1520_00750
ko:K18672	bthr:YBT1520_00755
ko:K03431	bthr:YBT1520_00765
ko:K00820	bthr:YBT1520_00775
ko:K16937	bthr:YBT1520_00790
ko:K00059	bthr:YBT1520_00795
ko:K02072	bthr:YBT1520_00800
ko:K02071	bthr:YBT1520_00805
ko:K02073	bthr:YBT1520_00810
ko:K07552	bthr:YBT1520_00840
ko:K15580	bthr:YBT1520_00870
ko:K02035	bthr:YBT1520_00875
ko:K00286	bthr:YBT1520_00885
ko:K03811	bthr:YBT1520_00890
ko:K05340	bthr:YBT1520_00895
ko:K02018	bthr:YBT1520_00900
ko:K02020	bthr:YBT1520_00905
ko:K07219	bthr:YBT1520_00910
ko:K00655	bthr:YBT1520_00955
ko:K01652	bthr:YBT1520_04940
ko:K01575	bthr:YBT1520_04945
ko:K03652	bthr:YBT1520_04955
ko:K03321	bthr:YBT1520_04995
ko:K01448	bthr:YBT1520_05040
ko:K02035	bthr:YBT1520_05070
ko:K02033	bthr:YBT1520_05075
ko:K02034	bthr:YBT1520_05080
ko:K07396	bthr:YBT1520_05105
ko:K02407	bthr:YBT1520_09340
ko:K02422	bthr:YBT1520_09345
ko:K02387	bthr:YBT1520_09355
ko:K02388	bthr:YBT1520_09360
ko:K02408	bthr:YBT1520_09365
ko:K02409	bthr:YBT1520_09370
ko:K02410	bthr:YBT1520_09375
ko:K02411	bthr:YBT1520_09380
ko:K02412	bthr:YBT1520_09385
ko:K02389	bthr:YBT1520_09400
ko:K02390	bthr:YBT1520_09405
ko:K03415	bthr:YBT1520_09420
ko:K02406	bthr:YBT1520_09430
ko:K02406	bthr:YBT1520_09435
ko:K02406	bthr:YBT1520_09440
ko:K02406	bthr:YBT1520_09445
ko:K02417	bthr:YBT1520_09455
ko:K02416	bthr:YBT1520_09460
ko:K02417	bthr:YBT1520_09465
ko:K02419	bthr:YBT1520_09475
ko:K02420	bthr:YBT1520_09480
ko:K02421	bthr:YBT1520_09485
ko:K02401	bthr:YBT1520_09490
ko:K02400	bthr:YBT1520_09495
ko:K02404	bthr:YBT1520_09500
ko:K02392	bthr:YBT1520_09505
ko:K06425	bthr:YBT1520_09545
ko:K02010	bthr:YBT1520_09570
ko:K02012	bthr:YBT1520_09575
ko:K02011	bthr:YBT1520_09580
ko:K07260	bthr:YBT1520_17495
ko:K07282	bthr:YBT1520_17500
ko:K02106	bthr:YBT1520_17550
ko:K00355	bthr:YBT1520_17555
ko:K16927	bthr:YBT1520_17580
ko:K16786	bthr:YBT1520_17585
ko:K16787	bthr:YBT1520_17585
ko:K16785	bthr:YBT1520_17590
ko:K02553	bthr:YBT1520_17605
ko:K03976	bthr:YBT1520_17625
ko:K01892	bthr:YBT1520_17630
ko:K03091	bthr:YBT1520_21690
ko:K06379	bthr:YBT1520_21695
ko:K07258	bthr:YBT1520_21705
ko:K07979	bthr:YBT1520_21710
ko:K01990	bthr:YBT1520_21715
ko:K09807	bthr:YBT1520_21735
ko:K06901	bthr:YBT1520_21740
ko:K03284	bthr:YBT1520_21745
ko:K00756	bthr:YBT1520_21750
ko:K03783	bthr:YBT1520_21755
ko:K01839	bthr:YBT1520_21760
ko:K04763	bthr:YBT1520_21770
ko:K03711	bthr:YBT1520_21780
ko:K06384	bthr:YBT1520_21785
ko:K01515	bthr:YBT1520_21795
ko:K01081	bthr:YBT1520_21825
ko:K07084	bthr:YBT1520_21840
ko:K06889	bthr:YBT1520_21855
ko:K11752	bthr:YBT1520_21870
ko:K00793	bthr:YBT1520_21875
ko:K14652	bthr:YBT1520_21880
ko:K00794	bthr:YBT1520_21885
ko:K01012	bthr:YBT1520_21895
ko:K02169	bthr:YBT1520_21900
ko:K02170	bthr:YBT1520_21905
ko:K00652	bthr:YBT1520_21910
ko:K01935	bthr:YBT1520_21915
ko:K00833	bthr:YBT1520_21920
ko:K03315	bthr:YBT1520_21930
ko:K01119	bthr:YBT1520_21935
ko:K07507	bthr:YBT1520_25725
ko:K10716	bthr:YBT1520_25730
ko:K01810	bthr:YBT1520_25740
ko:K09779	bthr:YBT1520_25745
ko:K07570	bthr:YBT1520_25750
ko:K10907	bthr:YBT1520_25755
ko:K00090	bthr:YBT1520_25765
ko:K14155	bthr:YBT1520_25780
ko:K06347	bthr:YBT1520_25795
ko:K06348	bthr:YBT1520_25800
ko:K01880	bthr:YBT1520_25820
ko:K03523	bthr:YBT1520_25845
ko:K00963	bthr:YBT1520_25850
ko:K01835	bthr:YBT1520_25855
ko:K01255	bthr:YBT1520_25865
ko:K03885	bthr:YBT1520_25885
ko:K07260	bthr:YBT1520_30214
ko:K03321	bthr:YBT1520_30254
ko:K12574	bthr:YBT1520_30264
ko:K03719	bthr:YBT1520_30279
ko:K00389	bthr:YBT1520_30289
ko:K13292	bthr:YBT1520_30294
ko:K03657	bthr:YBT1520_30419
ko:K07454	bthr:YBT1520_30439
ko:K03424	bthr:YBT1520_00995
ko:K02035	bthr:YBT1520_01035
ko:K02033	bthr:YBT1520_01040
ko:K02033	bthr:YBT1520_01065
