ko:K18929	hpi:hp908_0147
ko:K01338	hpi:hp908_1380
ko:K02407	hpi:hp908_0765
ko:K02422	hpi:hp908_0766
ko:K12251	hpi:hp908_0770
ko:K07084	hpi:hp908_0771
ko:K03110	hpi:hp908_0777
ko:K06940	hpi:hp908_0778
ko:K03639	hpi:hp908_0783
ko:K03752	hpi:hp908_0784
ko:K02401	hpi:hp908_0785
ko:K01448	hpi:hp908_0787
ko:K00459	hpi:hp908_0788
ko:K01866	hpi:hp908_0789
ko:K03060	hpi:hp908_0791
ko:K09903	hpi:hp908_0792
ko:K01682	hpi:hp908_0794
ko:K03634	hpi:hp908_0799
ko:K03070	hpi:hp908_0800
ko:K01534	hpi:hp908_0804
ko:K07391	hpi:hp908_0805
ko:K01462	hpi:hp908_0806
ko:K01358	hpi:hp908_0807
ko:K03545	hpi:hp908_0808
ko:K15846	hpi:hp908_0811
ko:K03637	hpi:hp908_0812
ko:K03831	hpi:hp908_0813
ko:K03636	hpi:hp908_0815
ko:K02071	hpi:hp908_1593
ko:K02072	hpi:hp908_1594
ko:K03474	hpi:hp908_1598
ko:K00097	hpi:hp908_1599
ko:K02392	hpi:hp908_1601
ko:K01689	hpi:hp908_0163
ko:K00891	hpi:hp908_0166
ko:K01698	hpi:hp908_0172
ko:K08303	hpi:hp908_0177
ko:K02836	hpi:hp908_0179
ko:K03750	hpi:hp908_0180
ko:K02421	hpi:hp908_0181
ko:K01624	hpi:hp908_0184
ko:K02356	hpi:hp908_0185
ko:K03820	hpi:hp908_0189
ko:K03558	hpi:hp908_0191
ko:K04567	hpi:hp908_0192
ko:K00600	hpi:hp908_0193
ko:K00246	hpi:hp908_0202
ko:K01803	hpi:hp908_0203
ko:K00208	hpi:hp908_0204
ko:K02536	hpi:hp908_0205
ko:K00789	hpi:hp908_0206
ko:K00940	hpi:hp908_0207
ko:K02911	hpi:hp908_0209
ko:K03621	hpi:hp908_0210
ko:K00648	hpi:hp908_0211
ko:K01874	hpi:hp908_1027
ko:K00574	hpi:hp908_1028
ko:K15846	hpi:hp908_1032
ko:K01951	hpi:hp908_1033
ko:K02503	hpi:hp908_1039
ko:K01889	hpi:hp908_1040
ko:K01890	hpi:hp908_1041
ko:K00800	hpi:hp908_1042
ko:K03527	hpi:hp908_1043
ko:K02945	hpi:hp908_1044
ko:K03182	hpi:hp908_1047
ko:K06997	hpi:hp908_1048
ko:K03269	hpi:hp908_1049
ko:K03415	hpi:hp908_1050
ko:K03407	hpi:hp908_1051
ko:K03408	hpi:hp908_1053
ko:K11065	hpi:hp908_1054
ko:K04564	hpi:hp908_1055
ko:K15256	hpi:hp908_1056
ko:K04066	hpi:hp908_1057
ko:K02493	hpi:hp908_1065
ko:K00262	hpi:hp908_1066
ko:K01772	hpi:hp908_1071
ko:K09761	hpi:hp908_1073
ko:K01494	hpi:hp908_1075
ko:K02160	hpi:hp908_1076
ko:K04656	hpi:hp908_0052
ko:K13821	hpi:hp908_0059
ko:K03190	hpi:hp908_0075
ko:K03189	hpi:hp908_0076
ko:K03188	hpi:hp908_0077
ko:K03187	hpi:hp908_0078
ko:K01428	hpi:hp908_0080
ko:K03101	hpi:hp908_0082
ko:K03431	hpi:hp908_0083
ko:K02968	hpi:hp908_0084
ko:K02835	hpi:hp908_0086
ko:K02996	hpi:hp908_0093
ko:K02871	hpi:hp908_0094
ko:K00116	hpi:hp908_0096
ko:K03086	hpi:hp908_0098
ko:K00645	hpi:hp908_0100
ko:K09805	hpi:hp908_0101
ko:K02389	hpi:hp908_0920
ko:K02390	hpi:hp908_0921
ko:K03657	hpi:hp908_0924
ko:K01955	hpi:hp908_0932
ko:K00134	hpi:hp908_0934
ko:K01821	hpi:hp908_0938
ko:K06187	hpi:hp908_0939
ko:K06176	hpi:hp908_0940
ko:K03799	hpi:hp908_0941
ko:K01495	hpi:hp908_0942
ko:K00795	hpi:hp908_0943
ko:K03787	hpi:hp908_0944
ko:K01737	hpi:hp908_0946
ko:K01775	hpi:hp908_0956
ko:K03310	hpi:hp908_0957
ko:K00285	hpi:hp908_0958
ko:K00783	hpi:hp908_0964
ko:K01963	hpi:hp908_0965
ko:K00901	hpi:hp908_0710
ko:K02469	hpi:hp908_0711
ko:K03701	hpi:hp908_0714
ko:K03438	hpi:hp908_0717
ko:K07023	hpi:hp908_0720
ko:K03092	hpi:hp908_0722
ko:K06861	hpi:hp908_0723
ko:K06925	hpi:hp908_0724
ko:K02343	hpi:hp908_0725
ko:K06895	hpi:hp908_0726
ko:K04075	hpi:hp908_0733
ko:K01095	hpi:hp908_0749
ko:K01921	hpi:hp908_0750
ko:K01929	hpi:hp908_0752
ko:K00948	hpi:hp908_0754
ko:K06946	hpi:hp908_0757
ko:K06180	hpi:hp908_0758
ko:K03439	hpi:hp908_0760
ko:K09812	hpi:hp908_0761
ko:K09811	hpi:hp908_0762
ko:K01783	hpi:hp908_1543
ko:K03841	hpi:hp908_1544
ko:K02357	hpi:hp908_1548
ko:K02967	hpi:hp908_1549
ko:K03313	hpi:hp908_1551
ko:K03210	hpi:hp908_1552
ko:K03072	hpi:hp908_1553
ko:K03074	hpi:hp908_1554
ko:K01869	hpi:hp908_1556
ko:K11754	hpi:hp908_1558
ko:K03723	hpi:hp908_1562
ko:K00411	hpi:hp908_1564
ko:K00412	hpi:hp908_1565
ko:K00413	hpi:hp908_1566
ko:K03587	hpi:hp908_1570
ko:K02408	hpi:hp908_1572
ko:K02388	hpi:hp908_1573
ko:K02387	hpi:hp908_1574
ko:K03588	hpi:hp908_1575
ko:K02016	hpi:hp908_1576
ko:K02073	hpi:hp908_1580
ko:K05515	hpi:hp908_1582
ko:K03978	hpi:hp908_1584
ko:K09774	hpi:hp908_1585
ko:K03270	hpi:hp908_1587
ko:K03642	hpi:hp908_1588
ko:K08307	hpi:hp908_1589
ko:K03424	hpi:hp908_1590
ko:K00793	hpi:hp908_1591
ko:K04061	hpi:hp908_1592
ko:K01776	hpi:hp908_0553
ko:K03628	hpi:hp908_0554
ko:K02909	hpi:hp908_0555
ko:K07056	hpi:hp908_0556
ko:K03218	hpi:hp908_0557
ko:K01962	hpi:hp908_0562
ko:K09458	hpi:hp908_0563
ko:K02078	hpi:hp908_0564
ko:K02970	hpi:hp908_0566
ko:K01778	hpi:hp908_0571
ko:K06942	hpi:hp908_0576
ko:K01255	hpi:hp908_0577
ko:K00759	hpi:hp908_0579
ko:K01808	hpi:hp908_0581
ko:K03100	hpi:hp908_0583
ko:K01491	hpi:hp908_0584
ko:K01465	hpi:hp908_0588
ko:K02417	hpi:hp908_0593
ko:K10773	hpi:hp908_0594
ko:K07082	hpi:hp908_0597
ko:K00176	hpi:hp908_0598
ko:K00174	hpi:hp908_0599
ko:K00175	hpi:hp908_0600
ko:K00177	hpi:hp908_0601
ko:K01173	hpi:hp908_1382
ko:K01012	hpi:hp908_1386
ko:K07058	hpi:hp908_1387
ko:K09457	hpi:hp908_1396
ko:K09710	hpi:hp908_1397
ko:K00791	hpi:hp908_1398
ko:K00075	hpi:hp908_1402
ko:K02420	hpi:hp908_1403
ko:K02412	hpi:hp908_1404
ko:K01870	hpi:hp908_1406
ko:K02528	hpi:hp908_1415
ko:K06041	hpi:hp908_1417
ko:K06941	hpi:hp908_1418
ko:K03563	hpi:hp908_1422
ko:K00919	hpi:hp908_1423
ko:K03664	hpi:hp908_1424
ko:K03561	hpi:hp908_1425
ko:K02914	hpi:hp908_1427
ko:K03536	hpi:hp908_1428
ko:K03217	hpi:hp908_1430
ko:K03650	hpi:hp908_1432
ko:K14652	hpi:hp908_0818
ko:K07270	hpi:hp908_0819
ko:K07043	hpi:hp908_0820
ko:K00997	hpi:hp908_0822
ko:K02415	hpi:hp908_0823
ko:K02556	hpi:hp908_0829
ko:K02557	hpi:hp908_0830
ko:K05847	hpi:hp908_0834
ko:K03703	hpi:hp908_0837
ko:K00003	hpi:hp908_0838
ko:K07460	hpi:hp908_0839
ko:K03671	hpi:hp908_0840
ko:K00384	hpi:hp908_0841
ko:K07270	hpi:hp908_0842
ko:K02108	hpi:hp908_0844
ko:K00859	hpi:hp908_0847
ko:K00797	hpi:hp908_0848
ko:K03977	hpi:hp908_0850
ko:K03530	hpi:hp908_0851
ko:K09860	hpi:hp908_0852
ko:K15894	hpi:hp908_0855
ko:K13038	hpi:hp908_0856
ko:K00788	hpi:hp908_0858
ko:K00941	hpi:hp908_0859
ko:K00878	hpi:hp908_0860
ko:K01153	hpi:hp908_0861
ko:K01154	hpi:hp908_0862
ko:K03427	hpi:hp908_0863
ko:K09805	hpi:hp908_0865
ko:K00364	hpi:hp908_0867
ko:K03611	hpi:hp908_0605
ko:K02406	hpi:hp908_0612
ko:K01599	hpi:hp908_0615
ko:K01972	hpi:hp908_0624
ko:K03415	hpi:hp908_0625
ko:K01876	hpi:hp908_0626
ko:K07270	hpi:hp908_0628
ko:K07270	hpi:hp908_0630
ko:K07456	hpi:hp908_0632
ko:K01924	hpi:hp908_0634
ko:K03923	hpi:hp908_0641
ko:K03620	hpi:hp908_0644
ko:K06920	hpi:hp908_0650
ko:K07337	hpi:hp908_1438
ko:K06178	hpi:hp908_1441
ko:K02337	hpi:hp908_1442
ko:K00428	hpi:hp908_1443
ko:K02065	hpi:hp908_1447
ko:K02066	hpi:hp908_1448
ko:K00826	hpi:hp908_1450
ko:K00943	hpi:hp908_1458
ko:K00954	hpi:hp908_1459
ko:K03186	hpi:hp908_1460
ko:K02386	hpi:hp908_1461
ko:K03657	hpi:hp908_1462
ko:K01875	hpi:hp908_1464
ko:K03602	hpi:hp908_1466
ko:K03183	hpi:hp908_1467
ko:K08973	hpi:hp908_1469
ko:K01993	hpi:hp908_1473
ko:K03306	hpi:hp908_1476
ko:K01928	hpi:hp908_1479
ko:K02897	hpi:hp908_1481
ko:K01056	hpi:hp908_1482
ko:K11720	hpi:hp908_1483
ko:K05516	hpi:hp908_0440
ko:K12506	hpi:hp908_0444
ko:K00995	hpi:hp908_0447
ko:K01714	hpi:hp908_0450
ko:K00937	hpi:hp908_0453
ko:K01154	hpi:hp908_0454
ko:K03427	hpi:hp908_0455
ko:K01153	hpi:hp908_0456
ko:K01153	hpi:hp908_0457
ko:K08602	hpi:hp908_0463
ko:K02020	hpi:hp908_0467
ko:K02018	hpi:hp908_0468
ko:K06207	hpi:hp908_0474
ko:K03781	hpi:hp908_0482
ko:K02902	hpi:hp908_0488
ko:K15846	hpi:hp908_0489
ko:K01000	hpi:hp908_0490
ko:K01925	hpi:hp908_0491
ko:K01696	hpi:hp908_1278
ko:K13498	hpi:hp908_1279
ko:K00766	hpi:hp908_1280
ko:K01657	hpi:hp908_1282
ko:K03707	hpi:hp908_1286
ko:K03811	hpi:hp908_1290
ko:K02879	hpi:hp908_1292
ko:K03040	hpi:hp908_1293
ko:K02986	hpi:hp908_1294
ko:K02948	hpi:hp908_1295
ko:K02952	hpi:hp908_1296
ko:K02919	hpi:hp908_1297
ko:K02518	hpi:hp908_1298
ko:K01265	hpi:hp908_1299
ko:K03076	hpi:hp908_1300
ko:K02876	hpi:hp908_1301
ko:K02988	hpi:hp908_1302
ko:K02881	hpi:hp908_1303
ko:K02933	hpi:hp908_1304
ko:K02994	hpi:hp908_1305
ko:K02954	hpi:hp908_1306
ko:K02931	hpi:hp908_1307
ko:K02895	hpi:hp908_1308
ko:K02874	hpi:hp908_1309
ko:K02961	hpi:hp908_1310
ko:K02904	hpi:hp908_1311
ko:K02878	hpi:hp908_1312
ko:K07241	hpi:hp908_0385
ko:K03798	hpi:hp908_0395
ko:K02687	hpi:hp908_0396
ko:K03413	hpi:hp908_0397
ko:K06950	hpi:hp908_0400
ko:K03501	hpi:hp908_0401
ko:K07568	hpi:hp908_0402
ko:K03118	hpi:hp908_0403
ko:K03117	hpi:hp908_0404
ko:K03551	hpi:hp908_0405
ko:K00606	hpi:hp908_0406
ko:K03610	hpi:hp908_0411
ko:K02535	hpi:hp908_0412
ko:K00872	hpi:hp908_0414
ko:K02519	hpi:hp908_0416
ko:K02834	hpi:hp908_0417
ko:K09748	hpi:hp908_0418
ko:K02400	hpi:hp908_0423
ko:K02956	hpi:hp908_0424
ko:K03786	hpi:hp908_0426
ko:K00950	hpi:hp908_0428
ko:K02404	hpi:hp908_0429
ko:K04562	hpi:hp908_0430
ko:K02405	hpi:hp908_0432
ko:K02416	hpi:hp908_0433
ko:K02417	hpi:hp908_0434
ko:K07478	hpi:hp908_0438
ko:K06199	hpi:hp908_1225
ko:K08311	hpi:hp908_1228
ko:K00928	hpi:hp908_1229
ko:K02341	hpi:hp908_1231
ko:K00796	hpi:hp908_1232
ko:K09804	hpi:hp908_1237
ko:K01956	hpi:hp908_1238
ko:K06287	hpi:hp908_1242
ko:K01872	hpi:hp908_1243
ko:K09794	hpi:hp908_1244
ko:K02340	hpi:hp908_1246
ko:K12573	hpi:hp908_1247
ko:K00014	hpi:hp908_1248
ko:K13894	hpi:hp908_1251
ko:K13893	hpi:hp908_1252
ko:K01867	hpi:hp908_1253
ko:K02169	hpi:hp908_1254
ko:K03075	hpi:hp908_1255
ko:K02838	hpi:hp908_1256
ko:K00762	hpi:hp908_1257
ko:K12410	hpi:hp908_1259
ko:K00330	hpi:hp908_1260
ko:K00331	hpi:hp908_1261
ko:K00332	hpi:hp908_1262
ko:K00334	hpi:hp908_1264
ko:K00337	hpi:hp908_1267
ko:K00338	hpi:hp908_1268
ko:K00339	hpi:hp908_1269
ko:K00340	hpi:hp908_1270
ko:K00341	hpi:hp908_1271
ko:K00342	hpi:hp908_1272
ko:K00343	hpi:hp908_1273
ko:K15778	hpi:hp908_1275
ko:K01695	hpi:hp908_1277
ko:K02890	hpi:hp908_1314
ko:K02965	hpi:hp908_1315
ko:K02886	hpi:hp908_1316
ko:K02892	hpi:hp908_1317
ko:K02926	hpi:hp908_1318
ko:K02906	hpi:hp908_1319
ko:K02946	hpi:hp908_1320
ko:K07133	hpi:hp908_1321
ko:K03470	hpi:hp908_1323
ko:K07787	hpi:hp908_1329
ko:K02982	hpi:hp908_1313
ko:K03196	hpi:hp908_1007
ko:K14233	hpi:hp908_t11
ko:K14219	hpi:hp908_t22
ko:K07316	hpi:hp908_0272
ko:K18682	hpi:hp908_0773
ko:K11749	hpi:hp908_0270
ko:K03601	hpi:hp908_0271
ko:K03695	hpi:hp908_0278
ko:K01465	hpi:hp908_0280
ko:K06168	hpi:hp908_0283
ko:K09778	hpi:hp908_0284
ko:K06940	hpi:hp908_0288
ko:K01609	hpi:hp908_0290
ko:K01524	hpi:hp908_0292
ko:K02841	hpi:hp908_0293
ko:K02517	hpi:hp908_0294
ko:K00773	hpi:hp908_0295
ko:K09944	hpi:hp908_0296
ko:K01735	hpi:hp908_0297
ko:K01586	hpi:hp908_0304
ko:K01163	hpi:hp908_0306
ko:K02397	hpi:hp908_0310
ko:K02888	hpi:hp908_0311
ko:K02899	hpi:hp908_0312
ko:K12368	hpi:hp908_0313
ko:K12370	hpi:hp908_0315
ko:K12372	hpi:hp908_0317
ko:K03979	hpi:hp908_0318
ko:K01845	hpi:hp908_0321
ko:K02114	hpi:hp908_1127
ko:K02112	hpi:hp908_1128
ko:K02115	hpi:hp908_1129
ko:K02111	hpi:hp908_1130
ko:K02113	hpi:hp908_1131
ko:K02109	hpi:hp908_1132
ko:K02109	hpi:hp908_1133
ko:K03524	hpi:hp908_1136
ko:K00604	hpi:hp908_1137
ko:K02884	hpi:hp908_1143
ko:K00554	hpi:hp908_1144
ko:K02860	hpi:hp908_1145
ko:K06960	hpi:hp908_1146
ko:K02959	hpi:hp908_1147
ko:K03106	hpi:hp908_1148
ko:K01873	hpi:hp908_1149
ko:K02563	hpi:hp908_1151
ko:K00286	hpi:hp908_1155
ko:K04095	hpi:hp908_1156
ko:K07042	hpi:hp908_1158
ko:K03839	hpi:hp908_1159
ko:K00384	hpi:hp908_1162
ko:K01810	hpi:hp908_1164
ko:K06200	hpi:hp908_1166
ko:K02029	hpi:hp908_1167
ko:K02429	hpi:hp908_1172
ko:K06901	hpi:hp908_1173
ko:K07226	hpi:hp908_0331
ko:K01887	hpi:hp908_0333
ko:K03116	hpi:hp908_0334
ko:K00942	hpi:hp908_0335
ko:K02393	hpi:hp908_0340
ko:K00912	hpi:hp908_0344
ko:K00053	hpi:hp908_0346
ko:K03609	hpi:hp908_0347
ko:K03608	hpi:hp908_0348
ko:K04096	hpi:hp908_0349
ko:K07447	hpi:hp908_0350
ko:K06180	hpi:hp908_0354
ko:K06180	hpi:hp908_0355
ko:K07462	hpi:hp908_0356
ko:K01937	hpi:hp908_0357
ko:K02409	hpi:hp908_0360
ko:K02410	hpi:hp908_0361
ko:K02411	hpi:hp908_0362
ko:K01662	hpi:hp908_0363
ko:K03596	hpi:hp908_0364
ko:K02392	hpi:hp908_0368
ko:K03466	hpi:hp908_0370
ko:K00615	hpi:hp908_0372
ko:K11753	hpi:hp908_0373
ko:K06442	hpi:hp908_0374
ko:K00609	hpi:hp908_0376
ko:K01839	hpi:hp908_1180
ko:K08159	hpi:hp908_1187
ko:K00133	hpi:hp908_1192
ko:K01892	hpi:hp908_1193
ko:K02355	hpi:hp908_1196
ko:K02992	hpi:hp908_1197
ko:K02950	hpi:hp908_1198
ko:K02935	hpi:hp908_1200
ko:K02864	hpi:hp908_1201
ko:K02863	hpi:hp908_1202
ko:K02867	hpi:hp908_1203
ko:K02601	hpi:hp908_1204
ko:K03073	hpi:hp908_1205
ko:K02913	hpi:hp908_1206
ko:K02358	hpi:hp908_1207
ko:K00640	hpi:hp908_1211
ko:K02110	hpi:hp908_1213
ko:K00962	hpi:hp908_1214
ko:K04744	hpi:hp908_1216
ko:K01945	hpi:hp908_1219
ko:K00806	hpi:hp908_1221
ko:K16091	hpi:hp908_0693
ko:K16091	hpi:hp908_0821
ko:K16091	hpi:hp908_1526
ko:K14233	hpi:hp908_t7
ko:K14218	hpi:hp908_t9
ko:K15726	hpi:hp908_0981
ko:K01977	hpi:hp908_r1
ko:K14230	hpi:hp908_t28
ko:K14234	hpi:hp908_t30
ko:K14225	hpi:hp908_t31
ko:K14236	hpi:hp908_t32
ko:K14234	hpi:hp908_t33
ko:K14228	hpi:hp908_t34
ko:K14222	hpi:hp908_t19
ko:K14228	hpi:hp908_t35
ko:K14231	hpi:hp908_t36
ko:K14226	hpi:hp908_t23
ko:K10716	hpi:hp908_0487
ko:K02014	hpi:hp908_0889
ko:K02014	hpi:hp908_1498
ko:K02028	hpi:hp908_1169
ko:K02030	hpi:hp908_1170
ko:K07098	hpi:hp908_0419
ko:K01262	hpi:hp908_0427
ko:K03711	hpi:hp908_0437
ko:K06603	hpi:hp908_0764
ko:K02004	hpi:hp908_0801
ko:K03635	hpi:hp908_0814
ko:K01409	hpi:hp908_1600
ko:K00652	hpi:hp908_0609
ko:K07457	hpi:hp908_0613
ko:K00939	hpi:hp908_0627
ko:K01507	hpi:hp908_0631
ko:K00674	hpi:hp908_0637
ko:K07126	hpi:hp908_0638
ko:K02067	hpi:hp908_1446
ko:K02242	hpi:hp908_1457
ko:K00616	hpi:hp908_1480
ko:K07126	hpi:hp908_0221
ko:K01439	hpi:hp908_0223
ko:K06910	hpi:hp908_0229
ko:K07126	hpi:hp908_0248
ko:K01784	hpi:hp908_1086
ko:K07126	hpi:hp908_1090
ko:K04652	hpi:hp908_0914
ko:K07126	hpi:hp908_1113
ko:K00845	hpi:hp908_1095
ko:K13640	hpi:hp908_0439
ko:K00076	hpi:hp908_0449
ko:K03455	hpi:hp908_0464
ko:K02017	hpi:hp908_0469
ko:K01885	hpi:hp908_0470
ko:K00949	hpi:hp908_1291
ko:K01679	hpi:hp908_1325
ko:K04655	hpi:hp908_0051
ko:K14048	hpi:hp908_0081
ko:K03406	hpi:hp908_0092
ko:K02014	hpi:hp908_0930
ko:K03743	hpi:hp908_0967
ko:K01885	hpi:hp908_0656
ko:K03469	hpi:hp908_0674
ko:K04763	hpi:hp908_0685
ko:K00567	hpi:hp908_0686
ko:K13016	hpi:hp908_0688
ko:K01156	hpi:hp908_1506
ko:K07316	hpi:hp908_1508
ko:K06196	hpi:hp908_0279
ko:K04093	hpi:hp908_0305
ko:K03342	hpi:hp908_0307
ko:K03406	hpi:hp908_0108
ko:K03406	hpi:hp908_0112
ko:K01119	hpi:hp908_0114
ko:K06179	hpi:hp908_0972
ko:K03442	hpi:hp908_0995
ko:K01585	hpi:hp908_1022
