ko:K18137	abd:ABTW07_2308
ko:K03305	abd:ABTW07_2740
ko:K03594	abd:ABTW07_3590
ko:K06872	abd:ABTW07_3595
ko:K03744	abd:ABTW07_3596
ko:K07044	abd:ABTW07_3597
ko:K00266	abd:ABTW07_3598
ko:K01735	abd:ABTW07_3601
ko:K00891	abd:ABTW07_3602
ko:K02666	abd:ABTW07_3603
ko:K02662	abd:ABTW07_3607
ko:K05366	abd:ABTW07_3608
ko:K00563	abd:ABTW07_3609
ko:K01000	abd:ABTW07_3611
ko:K01929	abd:ABTW07_3612
ko:K01928	abd:ABTW07_3613
ko:K03587	abd:ABTW07_3614
ko:K03586	abd:ABTW07_3615
ko:K03438	abd:ABTW07_3616
ko:K02048	abd:ABTW07_3617
ko:K15726	abd:ABTW07_3625
ko:K01740	abd:ABTW07_3635
ko:K01673	abd:ABTW07_3637
ko:K06959	abd:ABTW07_3638
ko:K07659	abd:ABTW07_3639
ko:K07638	abd:ABTW07_3640
ko:K03525	abd:ABTW07_0783
ko:K03524	abd:ABTW07_0784
ko:K03529	abd:ABTW07_0787
ko:K03528	abd:ABTW07_0788
ko:K01972	abd:ABTW07_0789
ko:K03594	abd:ABTW07_0790
ko:K00697	abd:ABTW07_0792
ko:K01087	abd:ABTW07_0793
ko:K02170	abd:ABTW07_0794
ko:K00833	abd:ABTW07_0795
ko:K02169	abd:ABTW07_0797
ko:K01935	abd:ABTW07_0798
ko:K06178	abd:ABTW07_0799
ko:K06024	abd:ABTW07_0800
ko:K05896	abd:ABTW07_0801
ko:K09906	abd:ABTW07_0803
ko:K07040	abd:ABTW07_0804
ko:K02911	abd:ABTW07_0805
ko:K00645	abd:ABTW07_0806
ko:K02078	abd:ABTW07_0808
ko:K00941	abd:ABTW07_0810
ko:K01091	abd:ABTW07_0811
ko:K01579	abd:ABTW07_0815
ko:K01056	abd:ABTW07_0816
ko:K02897	abd:ABTW07_0817
ko:K00948	abd:ABTW07_0818
ko:K00919	abd:ABTW07_0819
ko:K02494	abd:ABTW07_0820
ko:K02492	abd:ABTW07_0822
ko:K05807	abd:ABTW07_0824
ko:K06180	abd:ABTW07_0825
ko:K05810	abd:ABTW07_0826
ko:K03664	abd:ABTW07_0828
ko:K00954	abd:ABTW07_0829
ko:K07246	abd:ABTW07_0833
ko:K10001	abd:ABTW07_1691
ko:K10003	abd:ABTW07_1692
ko:K10002	abd:ABTW07_1693
ko:K10004	abd:ABTW07_1694
ko:K03495	abd:ABTW07_2575
ko:K02687	abd:ABTW07_2577
ko:K03557	abd:ABTW07_2579
ko:K00602	abd:ABTW07_2580
ko:K01945	abd:ABTW07_2581
ko:K02073	abd:ABTW07_2582
ko:K02071	abd:ABTW07_2583
ko:K02072	abd:ABTW07_2584
ko:K11103	abd:ABTW07_2586
ko:K06192	abd:ABTW07_2598
ko:K03808	abd:ABTW07_2599
ko:K03808	abd:ABTW07_2600
ko:K09758	abd:ABTW07_2602
ko:K03762	abd:ABTW07_2605
ko:K03312	abd:ABTW07_2617
ko:K03821	abd:ABTW07_2618
ko:K07115	abd:ABTW07_3433
ko:K00024	abd:ABTW07_3437
ko:K08309	abd:ABTW07_3439
ko:K06168	abd:ABTW07_3440
ko:K07042	abd:ABTW07_3442
ko:K03832	abd:ABTW07_3443
ko:K03816	abd:ABTW07_3446
ko:K03809	abd:ABTW07_3447
ko:K07058	abd:ABTW07_3448
ko:K07078	abd:ABTW07_3453
ko:K12573	abd:ABTW07_3456
ko:K01414	abd:ABTW07_3457
ko:K07070	abd:ABTW07_3458
ko:K09159	abd:ABTW07_3464
ko:K02879	abd:ABTW07_3467
ko:K03040	abd:ABTW07_3468
ko:K02986	abd:ABTW07_3469
ko:K02948	abd:ABTW07_3470
ko:K02952	abd:ABTW07_3471
ko:K03076	abd:ABTW07_3472
ko:K02876	abd:ABTW07_3473
ko:K02907	abd:ABTW07_3474
ko:K02988	abd:ABTW07_3475
ko:K02881	abd:ABTW07_3476
ko:K02933	abd:ABTW07_3477
ko:K02994	abd:ABTW07_3478
ko:K02954	abd:ABTW07_3479
ko:K02931	abd:ABTW07_3480
ko:K02895	abd:ABTW07_3481
ko:K02874	abd:ABTW07_3482
ko:K02961	abd:ABTW07_3483
ko:K07347	abd:ABTW07_2608
ko:K06923	abd:ABTW07_2616
ko:K01703	abd:ABTW07_0456
ko:K01704	abd:ABTW07_0457
ko:K00052	abd:ABTW07_0459
ko:K02518	abd:ABTW07_0462
ko:K06173	abd:ABTW07_0464
ko:K00133	abd:ABTW07_0468
ko:K11102	abd:ABTW07_0470
ko:K02517	abd:ABTW07_0472
ko:K15738	abd:ABTW07_0474
ko:K03745	abd:ABTW07_0475
ko:K03168	abd:ABTW07_0479
ko:K03657	abd:ABTW07_0482
ko:K02913	abd:ABTW07_0488
ko:K02902	abd:ABTW07_0489
ko:K00154	abd:ABTW07_0490
ko:K01433	abd:ABTW07_0492
ko:K03832	abd:ABTW07_0493
ko:K03561	abd:ABTW07_0494
ko:K13292	abd:ABTW07_0501
ko:K07093	abd:ABTW07_0503
ko:K07093	abd:ABTW07_0504
ko:K03118	abd:ABTW07_0505
ko:K03117	abd:ABTW07_0506
ko:K03116	abd:ABTW07_0507
ko:K07088	abd:ABTW07_0508
ko:K03439	abd:ABTW07_1362
ko:K03387	abd:ABTW07_1366
ko:K03578	abd:ABTW07_1371
ko:K05548	abd:ABTW07_1374
ko:K05782	abd:ABTW07_1375
ko:K05783	abd:ABTW07_1376
ko:K05784	abd:ABTW07_1377
ko:K05550	abd:ABTW07_1378
ko:K05549	abd:ABTW07_1379
ko:K03601	abd:ABTW07_1390
ko:K03704	abd:ABTW07_1396
ko:K00286	abd:ABTW07_1398
ko:K08995	abd:ABTW07_1405
ko:K01883	abd:ABTW07_1407
ko:K06041	abd:ABTW07_1408
ko:K03270	abd:ABTW07_1409
ko:K11719	abd:ABTW07_1410
ko:K09774	abd:ABTW07_1411
ko:K06861	abd:ABTW07_1412
ko:K12543	abd:ABTW07_1413
ko:K12541	abd:ABTW07_1414
ko:K01058	abd:ABTW07_2242
ko:K00425	abd:ABTW07_2248
ko:K00426	abd:ABTW07_2249
ko:K07078	abd:ABTW07_2253
ko:K03110	abd:ABTW07_2254
ko:K07390	abd:ABTW07_2262
ko:K01265	abd:ABTW07_2265
ko:K03311	abd:ABTW07_2266
ko:K02769	abd:ABTW07_2272
ko:K02770	abd:ABTW07_2272
ko:K00117	abd:ABTW07_2278
ko:K01556	abd:ABTW07_2284
ko:K04762	abd:ABTW07_2290
ko:K03565	abd:ABTW07_2292
ko:K00677	abd:ABTW07_2294
ko:K02372	abd:ABTW07_2295
ko:K04760	abd:ABTW07_3117
ko:K14058	abd:ABTW07_3120
ko:K03799	abd:ABTW07_3122
ko:K01126	abd:ABTW07_3125
ko:K00901	abd:ABTW07_3127
ko:K04077	abd:ABTW07_3128
ko:K04078	abd:ABTW07_3129
ko:K00111	abd:ABTW07_3134
ko:K00864	abd:ABTW07_3135
ko:K01491	abd:ABTW07_3139
ko:K00796	abd:ABTW07_3143
ko:K03798	abd:ABTW07_3144
ko:K07574	abd:ABTW07_3146
ko:K01956	abd:ABTW07_3149
ko:K01955	abd:ABTW07_3150
ko:K03624	abd:ABTW07_3151
ko:K07443	abd:ABTW07_3154
ko:K07002	abd:ABTW07_0348
ko:K01825	abd:ABTW07_0352
ko:K03703	abd:ABTW07_0356
ko:K00995	abd:ABTW07_0358
ko:K10778	abd:ABTW07_0359
ko:K07447	abd:ABTW07_0365
ko:K07735	abd:ABTW07_0366
ko:K03631	abd:ABTW07_0367
ko:K09913	abd:ABTW07_0369
ko:K03218	abd:ABTW07_0370
ko:K00859	abd:ABTW07_0372
ko:K02654	abd:ABTW07_0373
ko:K02652	abd:ABTW07_0375
ko:K01803	abd:ABTW07_0376
ko:K03075	abd:ABTW07_0377
ko:K09748	abd:ABTW07_0378
ko:K02600	abd:ABTW07_0379
ko:K02519	abd:ABTW07_0380
ko:K02834	abd:ABTW07_0381
ko:K05564	abd:ABTW07_0382
ko:K05563	abd:ABTW07_0383
ko:K05562	abd:ABTW07_0384
ko:K05561	abd:ABTW07_0385
ko:K05560	abd:ABTW07_0386
ko:K05559	abd:ABTW07_0387
ko:K11755	abd:ABTW07_0390
ko:K03688	abd:ABTW07_0392
ko:K03690	abd:ABTW07_0393
ko:K03183	abd:ABTW07_0394
ko:K03583	abd:ABTW07_0398
ko:K09895	abd:ABTW07_1249
ko:K03185	abd:ABTW07_1251
ko:K06895	abd:ABTW07_1256
ko:K05596	abd:ABTW07_1257
ko:K07056	abd:ABTW07_1259
ko:K07460	abd:ABTW07_1260
ko:K03426	abd:ABTW07_1263
ko:K13893	abd:ABTW07_1267
ko:K13894	abd:ABTW07_1268
ko:K13895	abd:ABTW07_1269
ko:K13896	abd:ABTW07_1270
ko:K03683	abd:ABTW07_1273
ko:K01465	abd:ABTW07_1274
ko:K01940	abd:ABTW07_1276
ko:K14052	abd:ABTW07_1294
ko:K03885	abd:ABTW07_2136
ko:K03781	abd:ABTW07_2146
ko:K00154	abd:ABTW07_2149
ko:K14393	abd:ABTW07_2151
ko:K02688	abd:ABTW07_2154
ko:K03464	abd:ABTW07_2168
ko:K03381	abd:ABTW07_2169
ko:K01031	abd:ABTW07_2170
ko:K01055	abd:ABTW07_2174
ko:K01434	abd:ABTW07_2175
ko:K01129	abd:ABTW07_3000
ko:K03550	abd:ABTW07_3001
ko:K03551	abd:ABTW07_3002
ko:K07107	abd:ABTW07_3004
ko:K03562	abd:ABTW07_3005
ko:K03641	abd:ABTW07_3008
ko:K03640	abd:ABTW07_3009
ko:K03841	abd:ABTW07_3011
ko:K03437	abd:ABTW07_3012
ko:K03088	abd:ABTW07_3013
ko:K07090	abd:ABTW07_3857
ko:K01687	abd:ABTW07_3859
ko:K00604	abd:ABTW07_3860
ko:K03500	abd:ABTW07_3861
ko:K03308	abd:ABTW07_3862
ko:K01866	abd:ABTW07_3865
ko:K09001	abd:ABTW07_3866
ko:K09803	abd:ABTW07_1p006
ko:K03981	abd:ABTW07_2p016
ko:K06133	abd:ABTW07_0146
ko:K05527	abd:ABTW07_0147
ko:K03975	abd:ABTW07_0152
ko:K15977	abd:ABTW07_0153
ko:K01951	abd:ABTW07_0155
ko:K06911	abd:ABTW07_0159
ko:K07397	abd:ABTW07_0160
ko:K01887	abd:ABTW07_0163
ko:K07223	abd:ABTW07_0165
ko:K05834	abd:ABTW07_0166
ko:K09816	abd:ABTW07_0167
ko:K09817	abd:ABTW07_0168
ko:K09823	abd:ABTW07_0169
ko:K02108	abd:ABTW07_0172
ko:K02110	abd:ABTW07_0173
ko:K02109	abd:ABTW07_0174
ko:K02113	abd:ABTW07_0175
ko:K02111	abd:ABTW07_0176
ko:K02115	abd:ABTW07_0177
ko:K02112	abd:ABTW07_0178
ko:K02114	abd:ABTW07_0179
ko:K00432	abd:ABTW07_0181
ko:K07566	abd:ABTW07_0186
ko:K04096	abd:ABTW07_0187
ko:K01462	abd:ABTW07_0189
ko:K00116	abd:ABTW07_1016
ko:K02167	abd:ABTW07_1019
ko:K02168	abd:ABTW07_1020
ko:K02168	abd:ABTW07_1021
ko:K11103	abd:ABTW07_1026
ko:K11931	abd:ABTW07_1029
ko:K11936	abd:ABTW07_1030
ko:K03811	abd:ABTW07_1033
ko:K06989	abd:ABTW07_1046
ko:K01652	abd:ABTW07_1048
ko:K01462	abd:ABTW07_1051
ko:K01425	abd:ABTW07_1052
ko:K08223	abd:ABTW07_1054
ko:K00615	abd:ABTW07_1060
ko:K00615	abd:ABTW07_1061
ko:K03306	abd:ABTW07_1063
ko:K01753	abd:ABTW07_1064
ko:K01993	abd:ABTW07_1913
ko:K02503	abd:ABTW07_1921
ko:K10764	abd:ABTW07_1929
ko:K09747	abd:ABTW07_1931
ko:K06187	abd:ABTW07_1932
ko:K03684	abd:ABTW07_1933
ko:K09902	abd:ABTW07_1937
ko:K09989	abd:ABTW07_1940
ko:K06001	abd:ABTW07_1941
ko:K07320	abd:ABTW07_1942
ko:K01736	abd:ABTW07_1943
ko:K03644	abd:ABTW07_1947
ko:K00627	abd:ABTW07_1950
ko:K00382	abd:ABTW07_1951
ko:K07090	abd:ABTW07_1958
ko:K00003	abd:ABTW07_1959
ko:K01118	abd:ABTW07_1963
ko:K07240	abd:ABTW07_1964
ko:K03710	abd:ABTW07_1965
ko:K00766	abd:ABTW07_2806
ko:K01609	abd:ABTW07_2807
ko:K07402	abd:ABTW07_2809
ko:K13482	abd:ABTW07_2810
ko:K13481	abd:ABTW07_2811
ko:K01495	abd:ABTW07_2812
ko:K01599	abd:ABTW07_2817
ko:K02361	abd:ABTW07_2819
ko:K01590	abd:ABTW07_2825
ko:K01252	abd:ABTW07_2826
ko:K02363	abd:ABTW07_2827
ko:K03897	abd:ABTW07_2829
ko:K02016	abd:ABTW07_2831
ko:K02013	abd:ABTW07_2832
ko:K02015	abd:ABTW07_2833
ko:K02015	abd:ABTW07_2834
ko:K01693	abd:ABTW07_3644
ko:K02501	abd:ABTW07_3645
ko:K01814	abd:ABTW07_3648
ko:K02204	abd:ABTW07_3654
ko:K02500	abd:ABTW07_3655
ko:K06188	abd:ABTW07_3658
ko:K01173	abd:ABTW07_3661
ko:K03549	abd:ABTW07_3663
ko:K08224	abd:ABTW07_3677
ko:K15724	abd:ABTW07_0002
ko:K06158	abd:ABTW07_0006
ko:K15536	abd:ABTW07_0008
ko:K02470	abd:ABTW07_0009
ko:K03629	abd:ABTW07_0010
ko:K02338	abd:ABTW07_0011
ko:K02313	abd:ABTW07_0012
ko:K02914	abd:ABTW07_0013
ko:K03536	abd:ABTW07_0014
ko:K08998	abd:ABTW07_0015
ko:K03217	abd:ABTW07_0016
ko:K03650	abd:ABTW07_0017
ko:K01950	abd:ABTW07_0840
ko:K06911	abd:ABTW07_0842
ko:K08973	abd:ABTW07_0843
ko:K02950	abd:ABTW07_0846
ko:K02992	abd:ABTW07_0847
ko:K02355	abd:ABTW07_0848
ko:K07044	abd:ABTW07_0849
ko:K07044	abd:ABTW07_0850
ko:K03789	abd:ABTW07_0851
ko:K00684	abd:ABTW07_0853
ko:K00384	abd:ABTW07_0854
ko:K03466	abd:ABTW07_0855
ko:K03608	abd:ABTW07_0859
ko:K03609	abd:ABTW07_0860
ko:K03610	abd:ABTW07_0861
ko:K03656	abd:ABTW07_0865
ko:K15778	abd:ABTW07_0867
ko:K00930	abd:ABTW07_0868
ko:K09801	abd:ABTW07_0873
ko:K06186	abd:ABTW07_0874
ko:K02670	abd:ABTW07_0876
ko:K02669	abd:ABTW07_0877
ko:K06997	abd:ABTW07_0878
ko:K03547	abd:ABTW07_0880
ko:K06996	abd:ABTW07_0882
ko:K07071	abd:ABTW07_0884
ko:K01698	abd:ABTW07_0886
ko:K03543	abd:ABTW07_0888
ko:K03446	abd:ABTW07_0889
ko:K03733	abd:ABTW07_1775
ko:K00789	abd:ABTW07_1782
ko:K00615	abd:ABTW07_1783
ko:K07397	abd:ABTW07_1784
ko:K13821	abd:ABTW07_1791
ko:K12410	abd:ABTW07_1794
ko:K02437	abd:ABTW07_1795
ko:K09912	abd:ABTW07_1799
ko:K07862	abd:ABTW07_1801
ko:K00140	abd:ABTW07_2630
ko:K00822	abd:ABTW07_2631
ko:K06923	abd:ABTW07_2635
ko:K02970	abd:ABTW07_2638
ko:K09117	abd:ABTW07_2639
ko:K00764	abd:ABTW07_2644
ko:K03558	abd:ABTW07_2645
ko:K02462	abd:ABTW07_2647
ko:K02461	abd:ABTW07_2648
ko:K08296	abd:ABTW07_2649
ko:K00057	abd:ABTW07_2650
ko:K03732	abd:ABTW07_2653
ko:K03704	abd:ABTW07_2654
ko:K03089	abd:ABTW07_2656
ko:K03154	abd:ABTW07_2658
ko:K03149	abd:ABTW07_2659
ko:K09861	abd:ABTW07_2661
ko:K07018	abd:ABTW07_2662
ko:K14170	abd:ABTW07_2667
ko:K11103	abd:ABTW07_2670
ko:K09916	abd:ABTW07_2672
ko:K00858	abd:ABTW07_2673
ko:K05365	abd:ABTW07_2674
ko:K02904	abd:ABTW07_3484
ko:K02878	abd:ABTW07_3485
ko:K02982	abd:ABTW07_3486
ko:K02890	abd:ABTW07_3487
ko:K02965	abd:ABTW07_3488
ko:K02886	abd:ABTW07_3489
ko:K02892	abd:ABTW07_3490
ko:K02926	abd:ABTW07_3491
ko:K02906	abd:ABTW07_3492
ko:K02946	abd:ABTW07_3493
ko:K06915	abd:ABTW07_3496
ko:K05916	abd:ABTW07_3497
ko:K13771	abd:ABTW07_3498
ko:K03978	abd:ABTW07_3499
ko:K07044	abd:ABTW07_3500
ko:K10805	abd:ABTW07_3502
ko:K00631	abd:ABTW07_3503
ko:K03655	abd:ABTW07_3506
ko:K06966	abd:ABTW07_3509
ko:K03284	abd:ABTW07_3510
ko:K07323	abd:ABTW07_3512
ko:K02066	abd:ABTW07_3514
ko:K02065	abd:ABTW07_3515
ko:K01662	abd:ABTW07_3519
ko:K00228	abd:ABTW07_3521
ko:K00014	abd:ABTW07_3522
ko:K07168	abd:ABTW07_3527
ko:K01878	abd:ABTW07_3532
ko:K01879	abd:ABTW07_3533
ko:K06911	abd:ABTW07_3681
ko:K00823	abd:ABTW07_3685
ko:K00375	abd:ABTW07_3686
ko:K09799	abd:ABTW07_3693
ko:K07391	abd:ABTW07_0271
ko:K04752	abd:ABTW07_0273
ko:K03320	abd:ABTW07_0274
ko:K07738	abd:ABTW07_0275
ko:K11752	abd:ABTW07_0276
ko:K00793	abd:ABTW07_0278
ko:K02339	abd:ABTW07_0281
ko:K01255	abd:ABTW07_0282
ko:K07091	abd:ABTW07_0283
ko:K11720	abd:ABTW07_0284
ko:K15633	abd:ABTW07_0285
ko:K03797	abd:ABTW07_0286
ko:K02667	abd:ABTW07_0287
ko:K02668	abd:ABTW07_0288
ko:K07262	abd:ABTW07_0290
ko:K01733	abd:ABTW07_0291
ko:K07347	abd:ABTW07_2024
ko:K07345	abd:ABTW07_2026
ko:K03543	abd:ABTW07_2061
ko:K00297	abd:ABTW07_2075
ko:K01756	abd:ABTW07_2893
ko:K08984	abd:ABTW07_2894
ko:K02036	abd:ABTW07_2897
ko:K02038	abd:ABTW07_2898
ko:K02037	abd:ABTW07_2899
ko:K02040	abd:ABTW07_2900
ko:K13745	abd:ABTW07_2905
ko:K00836	abd:ABTW07_2906
ko:K03580	abd:ABTW07_2914
ko:K01845	abd:ABTW07_2917
ko:K00788	abd:ABTW07_2918
ko:K06956	abd:ABTW07_2925
ko:K00031	abd:ABTW07_2929
ko:K06181	abd:ABTW07_2930
ko:K00031	abd:ABTW07_2931
ko:K03885	abd:ABTW07_2934
ko:K03775	abd:ABTW07_2935
ko:K01669	abd:ABTW07_2936
ko:K00459	abd:ABTW07_2945
ko:K00762	abd:ABTW07_3746
ko:K01142	abd:ABTW07_3747
ko:K04084	abd:ABTW07_3752
ko:K07127	abd:ABTW07_3758
ko:K01477	abd:ABTW07_3762
ko:K01483	abd:ABTW07_3763
ko:K02622	abd:ABTW07_3765
ko:K07000	abd:ABTW07_3766
ko:K03611	abd:ABTW07_3772
ko:K01919	abd:ABTW07_3773
ko:K14287	abd:ABTW07_3777
ko:K07636	abd:ABTW07_3782
ko:K01613	abd:ABTW07_3787
ko:K00763	abd:ABTW07_3789
ko:K07560	abd:ABTW07_3790
ko:K01079	abd:ABTW07_3793
ko:K14652	abd:ABTW07_3795
ko:K00794	abd:ABTW07_3796
ko:K03625	abd:ABTW07_3797
ko:K00946	abd:ABTW07_3798
ko:K01095	abd:ABTW07_3799
ko:K04042	abd:ABTW07_3800
ko:K08151	abd:ABTW07_0264
ko:K06134	abd:ABTW07_2526
ko:K07661	abd:ABTW07_0736
ko:K07639	abd:ABTW07_0737
ko:K00330	abd:ABTW07_0740
ko:K00331	abd:ABTW07_0741
ko:K13378	abd:ABTW07_0742
ko:K00334	abd:ABTW07_0743
ko:K00337	abd:ABTW07_0746
ko:K00338	abd:ABTW07_0747
ko:K00339	abd:ABTW07_0748
ko:K00340	abd:ABTW07_0749
ko:K00341	abd:ABTW07_0750
ko:K00342	abd:ABTW07_0751
ko:K00343	abd:ABTW07_0752
ko:K00761	abd:ABTW07_0753
ko:K00528	abd:ABTW07_0756
ko:K07007	abd:ABTW07_0761
ko:K01874	abd:ABTW07_0768
ko:K09928	abd:ABTW07_0772
ko:K01494	abd:ABTW07_0774
ko:K05541	abd:ABTW07_0780
ko:K03106	abd:ABTW07_0782
ko:K15551	abd:ABTW07_1642
ko:K15552	abd:ABTW07_1644
ko:K03119	abd:ABTW07_1645
ko:K07240	abd:ABTW07_1657
ko:K07240	abd:ABTW07_1658
ko:K03387	abd:ABTW07_1659
ko:K00640	abd:ABTW07_1662
ko:K15396	abd:ABTW07_1663
ko:K02337	abd:ABTW07_1664
ko:K05597	abd:ABTW07_1665
ko:K14260	abd:ABTW07_1667
ko:K00432	abd:ABTW07_1669
ko:K14267	abd:ABTW07_1672
ko:K00990	abd:ABTW07_1673
ko:K08289	abd:ABTW07_1674
ko:K06942	abd:ABTW07_1682
ko:K02072	abd:ABTW07_1683
ko:K02071	abd:ABTW07_1684
ko:K02073	abd:ABTW07_1685
ko:K02073	abd:ABTW07_1686
ko:K01682	abd:ABTW07_2521
ko:K09800	abd:ABTW07_2523
ko:K07646	abd:ABTW07_2530
ko:K01548	abd:ABTW07_2531
ko:K01547	abd:ABTW07_2532
ko:K01546	abd:ABTW07_2533
ko:K00950	abd:ABTW07_2534
ko:K01633	abd:ABTW07_2535
ko:K01895	abd:ABTW07_2539
ko:K15553	abd:ABTW07_2543
ko:K15554	abd:ABTW07_2544
ko:K02493	abd:ABTW07_2545
ko:K02835	abd:ABTW07_2546
ko:K11936	abd:ABTW07_2554
ko:K09773	abd:ABTW07_2557
ko:K02297	abd:ABTW07_2560
ko:K02298	abd:ABTW07_2561
ko:K02299	abd:ABTW07_2562
ko:K02300	abd:ABTW07_2563
ko:K02990	abd:ABTW07_2565
ko:K02963	abd:ABTW07_2566
ko:K02939	abd:ABTW07_2567
ko:K01775	abd:ABTW07_2569
ko:K07395	abd:ABTW07_2570
ko:K03072	abd:ABTW07_3382
ko:K03074	abd:ABTW07_3383
ko:K13038	abd:ABTW07_3384
ko:K03630	abd:ABTW07_3385
ko:K07053	abd:ABTW07_3387
ko:K06190	abd:ABTW07_3388
ko:K09780	abd:ABTW07_3389
ko:K15461	abd:ABTW07_3391
ko:K09767	abd:ABTW07_3393
ko:K10806	abd:ABTW07_3395
ko:K03672	abd:ABTW07_3396
ko:K00382	abd:ABTW07_3400
ko:K03665	abd:ABTW07_3408
ko:K02528	abd:ABTW07_3413
ko:K00097	abd:ABTW07_3414
ko:K02871	abd:ABTW07_3415
ko:K02996	abd:ABTW07_3416
ko:K03599	abd:ABTW07_3417
ko:K03600	abd:ABTW07_3418
ko:K13777	abd:ABTW07_3420
ko:K13779	abd:ABTW07_3421
ko:K11731	abd:ABTW07_3422
ko:K13778	abd:ABTW07_3423
ko:K13774	abd:ABTW07_3424
ko:K09470	abd:ABTW07_2528
ko:K07667	abd:ABTW07_2529
ko:K00641	abd:ABTW07_0512
ko:K01649	abd:ABTW07_0513
ko:K03545	abd:ABTW07_0516
ko:K01358	abd:ABTW07_0517
ko:K03544	abd:ABTW07_0518
ko:K01676	abd:ABTW07_0521
ko:K13788	abd:ABTW07_0522
ko:K00925	abd:ABTW07_0523
ko:K01690	abd:ABTW07_0524
ko:K01625	abd:ABTW07_0525
ko:K00147	abd:ABTW07_0529
ko:K01207	abd:ABTW07_0532
ko:K03797	abd:ABTW07_0533
ko:K00940	abd:ABTW07_0537
ko:K06941	abd:ABTW07_0538
ko:K02656	abd:ABTW07_0539
ko:K01892	abd:ABTW07_0542
ko:K03977	abd:ABTW07_0545
ko:K02078	abd:ABTW07_0548
ko:K02078	abd:ABTW07_0549
ko:K01745	abd:ABTW07_0554
ko:K07107	abd:ABTW07_0555
ko:K09458	abd:ABTW07_0563
ko:K06133	abd:ABTW07_0565
ko:K12542	abd:ABTW07_1415
ko:K03555	abd:ABTW07_1423
ko:K02517	abd:ABTW07_1427
ko:K08195	abd:ABTW07_1429
ko:K07160	abd:ABTW07_1444
ko:K09967	abd:ABTW07_1455
ko:K09967	abd:ABTW07_1456
ko:K11746	abd:ABTW07_1458
ko:K07722	abd:ABTW07_1461
ko:K11901	abd:ABTW07_1468
ko:K11900	abd:ABTW07_1469
ko:K11903	abd:ABTW07_1470
ko:K11897	abd:ABTW07_1471
ko:K02536	abd:ABTW07_2296
ko:K06142	abd:ABTW07_2297
ko:K07277	abd:ABTW07_2298
ko:K11749	abd:ABTW07_2299
ko:K00099	abd:ABTW07_2300
ko:K00981	abd:ABTW07_2301
ko:K00806	abd:ABTW07_2302
ko:K02838	abd:ABTW07_2303
ko:K09903	abd:ABTW07_2304
ko:K14441	abd:ABTW07_2305
ko:K07708	abd:ABTW07_2306
ko:K07712	abd:ABTW07_2307
ko:K01770	abd:ABTW07_2311
ko:K00285	abd:ABTW07_2313
ko:K07235	abd:ABTW07_2319
ko:K03750	abd:ABTW07_2326
ko:K03639	abd:ABTW07_2330
ko:K03752	abd:ABTW07_2332
ko:K00372	abd:ABTW07_2333
