ko:K07050	bsg:IY72_04970
ko:K03644	bsg:IY72_05330
ko:K00382	bsg:IY72_05340
ko:K00627	bsg:IY72_05345
ko:K00162	bsg:IY72_05350
ko:K00161	bsg:IY72_05355
ko:K01689	bsg:IY72_05370
ko:K01627	bsg:IY72_05375
ko:K01937	bsg:IY72_05380
ko:K08196	bsg:IY72_09925
ko:K06446	bsg:IY72_09930
ko:K00074	bsg:IY72_09945
ko:K09883	bsg:IY72_09960
ko:K05527	bsg:IY72_09975
ko:K01735	bsg:IY72_09985
ko:K00891	bsg:IY72_09990
ko:K04763	bsg:IY72_10000
ko:K01962	bsg:IY72_10005
ko:K04085	bsg:IY72_10015
ko:K00059	bsg:IY72_10040
ko:K02529	bsg:IY72_10090
ko:K01989	bsg:IY72_10105
ko:K05832	bsg:IY72_10110
ko:K05833	bsg:IY72_10115
ko:K02340	bsg:IY72_10120
ko:K03501	bsg:IY72_10135
ko:K03495	bsg:IY72_10140
ko:K03650	bsg:IY72_10145
ko:K06888	bsg:IY72_10150
ko:K03628	bsg:IY72_10155
ko:K08973	bsg:IY72_10165
ko:K01599	bsg:IY72_10170
ko:K09773	bsg:IY72_10175
ko:K06287	bsg:IY72_10180
ko:K00014	bsg:IY72_10185
ko:K00859	bsg:IY72_10190
ko:K02342	bsg:IY72_10195
ko:K03071	bsg:IY72_10200
ko:K07113	bsg:IY72_10205
ko:K03601	bsg:IY72_14775
ko:K01915	bsg:IY72_14795
ko:K09471	bsg:IY72_14805
ko:K00059	bsg:IY72_14845
ko:K00036	bsg:IY72_14850
ko:K01057	bsg:IY72_14855
ko:K01491	bsg:IY72_14865
ko:K00286	bsg:IY72_14870
ko:K02034	bsg:IY72_14885
ko:K02033	bsg:IY72_14890
ko:K02035	bsg:IY72_14895
ko:K01673	bsg:IY72_14905
ko:K04566	bsg:IY72_14915
ko:K01782	bsg:IY72_14930
ko:K00626	bsg:IY72_14935
ko:K10824	bsg:IY72_14965
ko:K15587	bsg:IY72_14970
ko:K15586	bsg:IY72_14975
ko:K15585	bsg:IY72_14980
ko:K15584	bsg:IY72_14985
ko:K07722	bsg:IY72_14990
ko:K01708	bsg:IY72_14995
ko:K02053	bsg:IY72_15000
ko:K02054	bsg:IY72_15005
ko:K02052	bsg:IY72_15010
ko:K02055	bsg:IY72_15015
ko:K00040	bsg:IY72_15020
ko:K00040	bsg:IY72_15025
ko:K01812	bsg:IY72_15030
ko:K01686	bsg:IY72_15040
ko:K07088	bsg:IY72_06875
ko:K00297	bsg:IY72_06880
ko:K00598	bsg:IY72_06900
ko:K09988	bsg:IY72_06930
ko:K00479	bsg:IY72_06935
ko:K06193	bsg:IY72_06945
ko:K08281	bsg:IY72_06950
ko:K09799	bsg:IY72_06955
ko:K01442	bsg:IY72_06965
ko:K09807	bsg:IY72_07005
ko:K09160	bsg:IY72_07015
ko:K03086	bsg:IY72_07025
ko:K03324	bsg:IY72_07035
ko:K09117	bsg:IY72_07040
ko:K01956	bsg:IY72_07045
ko:K07054	bsg:IY72_07050
ko:K01955	bsg:IY72_07065
ko:K02471	bsg:IY72_07070
ko:K03704	bsg:IY72_07080
ko:K00799	bsg:IY72_07085
ko:K00812	bsg:IY72_07090
ko:K00384	bsg:IY72_07105
ko:K03498	bsg:IY72_07110
ko:K12989	bsg:IY72_07120
ko:K03624	bsg:IY72_07125
ko:K09922	bsg:IY72_07145
ko:K10806	bsg:IY72_07155
ko:K03702	bsg:IY72_07165
ko:K02484	bsg:IY72_11755
ko:K00380	bsg:IY72_11780
ko:K03734	bsg:IY72_11785
ko:K02164	bsg:IY72_11840
ko:K02305	bsg:IY72_11850
ko:K04561	bsg:IY72_11855
ko:K04748	bsg:IY72_11860
ko:K02448	bsg:IY72_11865
ko:K00368	bsg:IY72_11905
ko:K03435	bsg:IY72_11920
ko:K10543	bsg:IY72_11925
ko:K10545	bsg:IY72_11930
ko:K10544	bsg:IY72_11935
ko:K00039	bsg:IY72_11940
ko:K00376	bsg:IY72_11975
ko:K07218	bsg:IY72_11980
ko:K03734	bsg:IY72_12000
ko:K07234	bsg:IY72_12015
ko:K02051	bsg:IY72_12020
ko:K02050	bsg:IY72_12025
ko:K02049	bsg:IY72_12030
ko:K02836	bsg:IY72_12040
ko:K05366	bsg:IY72_12045
ko:K18676	bsg:IY72_16620
ko:K09815	bsg:IY72_16635
ko:K09817	bsg:IY72_16640
ko:K09816	bsg:IY72_16645
ko:K09823	bsg:IY72_16650
ko:K02421	bsg:IY72_16680
ko:K02400	bsg:IY72_16685
ko:K02420	bsg:IY72_16690
ko:K02389	bsg:IY72_16695
ko:K06601	bsg:IY72_16700
ko:K06602	bsg:IY72_16705
ko:K02397	bsg:IY72_16710
ko:K02396	bsg:IY72_16715
ko:K02390	bsg:IY72_16720
ko:K10565	bsg:IY72_16735
ko:K10564	bsg:IY72_16745
ko:K02557	bsg:IY72_16750
ko:K02409	bsg:IY72_16760
ko:K02406	bsg:IY72_16765
ko:K10543	bsg:IY72_16780
ko:K10545	bsg:IY72_16785
ko:K10544	bsg:IY72_16790
ko:K02510	bsg:IY72_16805
ko:K02509	bsg:IY72_16810
ko:K00151	bsg:IY72_16825
ko:K01826	bsg:IY72_16830
ko:K07025	bsg:IY72_16855
ko:K01749	bsg:IY72_09000
ko:K01409	bsg:IY72_09005
ko:K00057	bsg:IY72_09010
ko:K09780	bsg:IY72_09015
ko:K03466	bsg:IY72_09040
ko:K03320	bsg:IY72_09045
ko:K10805	bsg:IY72_09050
ko:K03185	bsg:IY72_09055
ko:K00240	bsg:IY72_09065
ko:K00239	bsg:IY72_09070
ko:K00242	bsg:IY72_09075
ko:K00241	bsg:IY72_09080
ko:K01703	bsg:IY72_09090
ko:K02884	bsg:IY72_09100
ko:K03457	bsg:IY72_09105
ko:K07090	bsg:IY72_09110
ko:K00554	bsg:IY72_09135
ko:K02860	bsg:IY72_09140
ko:K03733	bsg:IY72_09145
ko:K09973	bsg:IY72_09150
ko:K00382	bsg:IY72_09155
ko:K00658	bsg:IY72_09175
ko:K00164	bsg:IY72_09180
ko:K01902	bsg:IY72_09185
ko:K01903	bsg:IY72_09190
ko:K00024	bsg:IY72_09195
ko:K06916	bsg:IY72_09200
ko:K01778	bsg:IY72_09210
ko:K18707	bsg:IY72_09215
ko:K03110	bsg:IY72_09220
ko:K06190	bsg:IY72_09225
ko:K01069	bsg:IY72_09230
ko:K03574	bsg:IY72_09245
ko:K00620	bsg:IY72_09255
ko:K03769	bsg:IY72_09260
ko:K03070	bsg:IY72_09265
ko:K03760	bsg:IY72_09285
ko:K05813	bsg:IY72_13870
ko:K05814	bsg:IY72_13875
ko:K05815	bsg:IY72_13880
ko:K05816	bsg:IY72_13885
ko:K06901	bsg:IY72_13900
ko:K07090	bsg:IY72_13930
ko:K07077	bsg:IY72_13935
ko:K00128	bsg:IY72_13945
ko:K02016	bsg:IY72_13955
ko:K02015	bsg:IY72_13960
ko:K02015	bsg:IY72_13965
ko:K02013	bsg:IY72_13970
ko:K01469	bsg:IY72_13980
ko:K02424	bsg:IY72_13985
ko:K10009	bsg:IY72_13990
ko:K10010	bsg:IY72_13995
ko:K01524	bsg:IY72_14000
ko:K02427	bsg:IY72_14005
ko:K00873	bsg:IY72_14010
ko:K15738	bsg:IY72_14030
ko:K00949	bsg:IY72_14040
ko:K02064	bsg:IY72_14045
ko:K02063	bsg:IY72_14050
ko:K02062	bsg:IY72_14055
ko:K03089	bsg:IY72_14070
ko:K07736	bsg:IY72_14075
ko:K05524	bsg:IY72_14080
ko:K04762	bsg:IY72_14085
ko:K00626	bsg:IY72_14095
ko:K02911	bsg:IY72_14110
ko:K03814	bsg:IY72_14115
ko:K00795	bsg:IY72_14125
ko:K00019	bsg:IY72_14135
ko:K01958	bsg:IY72_14145
ko:K01999	bsg:IY72_14150
ko:K01999	bsg:IY72_14155
ko:K03075	bsg:IY72_05390
ko:K01803	bsg:IY72_05395
ko:K03770	bsg:IY72_05400
ko:K00766	bsg:IY72_05405
ko:K01609	bsg:IY72_05410
ko:K03637	bsg:IY72_05415
ko:K03750	bsg:IY72_05420
ko:K01356	bsg:IY72_05425
ko:K01885	bsg:IY72_05435
ko:K01647	bsg:IY72_05440
ko:K00748	bsg:IY72_05445
ko:K09949	bsg:IY72_05450
ko:K00677	bsg:IY72_05455
ko:K02372	bsg:IY72_05460
ko:K02536	bsg:IY72_05465
ko:K07277	bsg:IY72_05470
ko:K11749	bsg:IY72_05475
ko:K00981	bsg:IY72_05480
ko:K00806	bsg:IY72_05485
ko:K02838	bsg:IY72_05490
ko:K09903	bsg:IY72_05495
ko:K02357	bsg:IY72_05500
ko:K02967	bsg:IY72_05505
ko:K09919	bsg:IY72_05530
ko:K02503	bsg:IY72_05535
ko:K03694	bsg:IY72_05540
ko:K06891	bsg:IY72_05545
ko:K01752	bsg:IY72_05565
ko:K09457	bsg:IY72_05605
ko:K01965	bsg:IY72_05635
ko:K01847	bsg:IY72_05640
ko:K07080	bsg:IY72_05660
ko:K01776	bsg:IY72_05665
ko:K02533	bsg:IY72_05670
ko:K05520	bsg:IY72_05675
ko:K00031	bsg:IY72_05685
ko:K08304	bsg:IY72_10215
ko:K03667	bsg:IY72_10235
ko:K01419	bsg:IY72_10240
ko:K01693	bsg:IY72_10250
ko:K02501	bsg:IY72_10260
ko:K01814	bsg:IY72_10265
ko:K02500	bsg:IY72_10270
ko:K01523	bsg:IY72_10275
ko:K00867	bsg:IY72_10280
ko:K15034	bsg:IY72_10285
ko:K01610	bsg:IY72_10290
ko:K14981	bsg:IY72_10295
ko:K14980	bsg:IY72_10300
ko:K02793	bsg:IY72_10310
ko:K11189	bsg:IY72_10315
ko:K01251	bsg:IY72_10320
ko:K03671	bsg:IY72_10350
ko:K11754	bsg:IY72_10355
ko:K01963	bsg:IY72_10360
ko:K01695	bsg:IY72_10365
ko:K01696	bsg:IY72_10375
ko:K01817	bsg:IY72_10380
ko:K07043	bsg:IY72_10390
ko:K05782	bsg:IY72_10400
ko:K02520	bsg:IY72_10420
ko:K02916	bsg:IY72_10430
ko:K02887	bsg:IY72_10435
ko:K01889	bsg:IY72_10445
ko:K01890	bsg:IY72_10450
ko:K04043	bsg:IY72_10460
ko:K03686	bsg:IY72_10470
ko:K00570	bsg:IY72_10475
ko:K01591	bsg:IY72_10480
ko:K01920	bsg:IY72_10495
ko:K07391	bsg:IY72_10500
ko:K06199	bsg:IY72_15055
ko:K06199	bsg:IY72_15060
ko:K09137	bsg:IY72_15065
ko:K13582	bsg:IY72_15075
ko:K07090	bsg:IY72_15080
ko:K06953	bsg:IY72_15090
ko:K03724	bsg:IY72_15095
ko:K00459	bsg:IY72_15110
ko:K03427	bsg:IY72_15165
ko:K01154	bsg:IY72_15170
ko:K01153	bsg:IY72_15175
ko:K07043	bsg:IY72_15180
ko:K17202	bsg:IY72_15245
ko:K17203	bsg:IY72_15250
ko:K17204	bsg:IY72_15255
ko:K00862	bsg:IY72_15265
ko:K01624	bsg:IY72_15300
ko:K03841	bsg:IY72_15305
ko:K06207	bsg:IY72_15320
ko:K06213	bsg:IY72_15325
ko:K01284	bsg:IY72_15330
ko:K01704	bsg:IY72_15350
ko:K00133	bsg:IY72_15370
ko:K03704	bsg:IY72_07175
ko:K07659	bsg:IY72_07210
ko:K07638	bsg:IY72_07215
ko:K06878	bsg:IY72_07225
ko:K13292	bsg:IY72_07240
ko:K05810	bsg:IY72_07250
ko:K00948	bsg:IY72_07265
ko:K06915	bsg:IY72_07270
ko:K02897	bsg:IY72_07275
ko:K01056	bsg:IY72_07280
ko:K06942	bsg:IY72_07285
ko:K00759	bsg:IY72_07300
ko:K00413	bsg:IY72_07305
ko:K00412	bsg:IY72_07310
ko:K00411	bsg:IY72_07315
ko:K03216	bsg:IY72_07330
ko:K00228	bsg:IY72_07345
ko:K03824	bsg:IY72_07350
ko:K00970	bsg:IY72_07365
ko:K09986	bsg:IY72_07375
ko:K03924	bsg:IY72_07380
ko:K07393	bsg:IY72_07405
ko:K07275	bsg:IY72_07410
ko:K01649	bsg:IY72_07425
ko:K13503	bsg:IY72_07435
ko:K03719	bsg:IY72_07450
ko:K01448	bsg:IY72_12050
ko:K08300	bsg:IY72_12060
ko:K03786	bsg:IY72_12080
ko:K02160	bsg:IY72_12085
ko:K01961	bsg:IY72_12090
ko:K00684	bsg:IY72_12095
ko:K02434	bsg:IY72_12120
ko:K03545	bsg:IY72_12125
ko:K04094	bsg:IY72_12150
ko:K02291	bsg:IY72_12155
ko:K12257	bsg:IY72_12165
ko:K03210	bsg:IY72_12170
ko:K06923	bsg:IY72_12175
ko:K03647	bsg:IY72_12205
ko:K03610	bsg:IY72_12220
ko:K03609	bsg:IY72_12225
ko:K03608	bsg:IY72_12230
ko:K02055	bsg:IY72_12250
ko:K02052	bsg:IY72_12255
ko:K02054	bsg:IY72_12260
ko:K02053	bsg:IY72_12265
ko:K03585	bsg:IY72_12290
ko:K01425	bsg:IY72_12315
ko:K01840	bsg:IY72_12345
ko:K01999	bsg:IY72_16885
ko:K01997	bsg:IY72_16890
ko:K01995	bsg:IY72_16895
ko:K01998	bsg:IY72_16895
ko:K01996	bsg:IY72_16900
ko:K07090	bsg:IY72_16910
ko:K03710	bsg:IY72_16915
ko:K02027	bsg:IY72_16920
ko:K02026	bsg:IY72_16925
ko:K02025	bsg:IY72_16930
ko:K10112	bsg:IY72_16935
ko:K02051	bsg:IY72_16950
ko:K02049	bsg:IY72_16955
ko:K02050	bsg:IY72_16960
ko:K16087	bsg:IY72_16970
ko:K01999	bsg:IY72_16980
ko:K01997	bsg:IY72_16985
ko:K01995	bsg:IY72_16995
ko:K01996	bsg:IY72_17000
ko:K00852	bsg:IY72_17050
ko:K02057	bsg:IY72_17060
ko:K02057	bsg:IY72_17065
ko:K02056	bsg:IY72_17070
ko:K07335	bsg:IY72_17075
ko:K02362	bsg:IY72_17085
ko:K00216	bsg:IY72_17090
ko:K01252	bsg:IY72_17095
ko:K02363	bsg:IY72_17100
ko:K02361	bsg:IY72_17105
ko:K02364	bsg:IY72_17110
ko:K03088	bsg:IY72_17130
ko:K01999	bsg:IY72_17145
ko:K02030	bsg:IY72_09305
ko:K02029	bsg:IY72_09315
ko:K02029	bsg:IY72_09320
ko:K02028	bsg:IY72_09325
ko:K01480	bsg:IY72_09330
ko:K01744	bsg:IY72_09335
ko:K09972	bsg:IY72_09340
ko:K01424	bsg:IY72_09345
ko:K01424	bsg:IY72_09355
ko:K01761	bsg:IY72_09375
ko:K00074	bsg:IY72_09395
ko:K03522	bsg:IY72_09400
ko:K03521	bsg:IY72_09405
ko:K06920	bsg:IY72_09410
ko:K01737	bsg:IY72_09415
ko:K10026	bsg:IY72_09420
ko:K07058	bsg:IY72_09440
ko:K09768	bsg:IY72_09445
ko:K01755	bsg:IY72_09455
ko:K01586	bsg:IY72_09465
ko:K00760	bsg:IY72_09475
ko:K00817	bsg:IY72_09485
ko:K00220	bsg:IY72_09490
ko:K07232	bsg:IY72_09500
ko:K02221	bsg:IY72_09515
ko:K01507	bsg:IY72_09520
ko:K00655	bsg:IY72_09525
ko:K09811	bsg:IY72_09535
ko:K09812	bsg:IY72_09540
ko:K06188	bsg:IY72_09550
ko:K02387	bsg:IY72_09590
ko:K02388	bsg:IY72_09595
ko:K01995	bsg:IY72_14170
ko:K01998	bsg:IY72_14175
ko:K01997	bsg:IY72_14180
ko:K12658	bsg:IY72_14185
ko:K00285	bsg:IY72_14190
ko:K00285	bsg:IY72_14195
ko:K06075	bsg:IY72_14210
ko:K02114	bsg:IY72_14220
ko:K02112	bsg:IY72_14225
ko:K02115	bsg:IY72_14230
ko:K02111	bsg:IY72_14235
ko:K02113	bsg:IY72_14240
ko:K04066	bsg:IY72_14250
ko:K00616	bsg:IY72_14255
ko:K03643	bsg:IY72_14260
ko:K01869	bsg:IY72_14265
ko:K06997	bsg:IY72_14270
ko:K01895	bsg:IY72_14285
ko:K03799	bsg:IY72_14300
ko:K03500	bsg:IY72_14305
ko:K00602	bsg:IY72_14315
ko:K06902	bsg:IY72_14320
ko:K15371	bsg:IY72_14325
ko:K08988	bsg:IY72_14330
ko:K06872	bsg:IY72_14335
ko:K03744	bsg:IY72_14340
ko:K02959	bsg:IY72_14350
ko:K04092	bsg:IY72_14355
ko:K03106	bsg:IY72_14360
ko:K01673	bsg:IY72_14375
ko:K00868	bsg:IY72_14380
ko:K00140	bsg:IY72_14395
ko:K08311	bsg:IY72_14415
ko:K03797	bsg:IY72_14420
ko:K00783	bsg:IY72_14435
ko:K09710	bsg:IY72_14440
ko:K00969	bsg:IY72_14445
ko:K00147	bsg:IY72_14450
ko:K00931	bsg:IY72_14455
ko:K03979	bsg:IY72_14460
ko:K01687	bsg:IY72_00350
ko:K02048	bsg:IY72_00400
ko:K02046	bsg:IY72_00405
ko:K02047	bsg:IY72_00410
ko:K02045	bsg:IY72_00415
ko:K13688	bsg:IY72_00420
ko:K00763	bsg:IY72_00425
ko:K00847	bsg:IY72_00440
ko:K16079	bsg:IY72_00455
ko:K16079	bsg:IY72_00460
ko:K03684	bsg:IY72_00465
ko:K05592	bsg:IY72_00480
ko:K02470	bsg:IY72_00485
ko:K01070	bsg:IY72_00490
ko:K00029	bsg:IY72_00590
ko:K02806	bsg:IY72_00660
ko:K10773	bsg:IY72_00680
ko:K06203	bsg:IY72_00685
ko:K03687	bsg:IY72_00700
ko:K03705	bsg:IY72_00705
ko:K00989	bsg:IY72_00710
ko:K02428	bsg:IY72_00720
ko:K07056	bsg:IY72_00730
ko:K07460	bsg:IY72_00735
ko:K02302	bsg:IY72_00740
ko:K00381	bsg:IY72_00750
ko:K00390	bsg:IY72_00755
ko:K00567	bsg:IY72_00770
ko:K00013	bsg:IY72_01105
ko:K00790	bsg:IY72_01120
ko:K03190	bsg:IY72_01165
ko:K01430	bsg:IY72_01170
ko:K01429	bsg:IY72_01180
ko:K01428	bsg:IY72_01185
ko:K03187	bsg:IY72_01190
ko:K03188	bsg:IY72_01195
ko:K03189	bsg:IY72_01200
ko:K01464	bsg:IY72_01225
ko:K06016	bsg:IY72_01230
ko:K17723	bsg:IY72_01245
ko:K01810	bsg:IY72_01260
ko:K03282	bsg:IY72_01420
ko:K01077	bsg:IY72_05690
ko:K01872	bsg:IY72_05695
ko:K07478	bsg:IY72_05725
ko:K02879	bsg:IY72_05735
ko:K03040	bsg:IY72_05740
ko:K02948	bsg:IY72_05745
ko:K02952	bsg:IY72_05750
ko:K00939	bsg:IY72_05755
ko:K03076	bsg:IY72_05760
ko:K02876	bsg:IY72_05765
ko:K02907	bsg:IY72_05770
ko:K02988	bsg:IY72_05775
ko:K02881	bsg:IY72_05780
ko:K02933	bsg:IY72_05785
ko:K02994	bsg:IY72_05790
ko:K02954	bsg:IY72_05795
ko:K02931	bsg:IY72_05800
ko:K02895	bsg:IY72_05805
ko:K02874	bsg:IY72_05810
ko:K02961	bsg:IY72_05815
ko:K02904	bsg:IY72_05820
ko:K02878	bsg:IY72_05825
ko:K02982	bsg:IY72_05830
ko:K02890	bsg:IY72_05835
ko:K02965	bsg:IY72_05840
ko:K02886	bsg:IY72_05845
ko:K02892	bsg:IY72_05850
ko:K02926	bsg:IY72_05855
ko:K02906	bsg:IY72_05860
ko:K02946	bsg:IY72_05865
ko:K02358	bsg:IY72_05870
ko:K02355	bsg:IY72_05875
ko:K02992	bsg:IY72_05880
ko:K02002	bsg:IY72_07480
ko:K02001	bsg:IY72_07485
ko:K02000	bsg:IY72_07490
ko:K12372	bsg:IY72_07495
ko:K00135	bsg:IY72_07510
ko:K02034	bsg:IY72_07530
ko:K02033	bsg:IY72_07535
ko:K00627	bsg:IY72_07545
ko:K02035	bsg:IY72_07550
ko:K00074	bsg:IY72_07560
ko:K06446	bsg:IY72_07570
ko:K01434	bsg:IY72_07575
ko:K02035	bsg:IY72_07580
ko:K02033	bsg:IY72_07585
ko:K02034	bsg:IY72_07590
ko:K02035	bsg:IY72_07610
