ko:K01992	ple:B186_060
ko:K02471	ple:B186_205
ko:K01881	ple:B186_206
ko:K03786	ple:B186_207
ko:K11102	ple:B186_208
ko:K00297	ple:B186_209
ko:K00036	ple:B186_211
ko:K01462	ple:B186_213
ko:K00014	ple:B186_214
ko:K01886	ple:B186_215
ko:K01883	ple:B186_216
ko:K06131	ple:B186_222
ko:K06213	ple:B186_223
ko:K01876	ple:B186_224
ko:K03644	ple:B186_229
ko:K00928	ple:B186_231
ko:K01872	ple:B186_232
ko:K01869	ple:B186_233
ko:K07042	ple:B186_234
ko:K01696	ple:B186_235
ko:K01695	ple:B186_236
ko:K01873	ple:B186_239
ko:K03596	ple:B186_241
ko:K04077	ple:B186_242
ko:K04078	ple:B186_243
ko:K01940	ple:B186_244
ko:K07390	ple:B186_245
ko:K01657	ple:B186_252
ko:K00766	ple:B186_254
ko:K01609	ple:B186_255
ko:K02897	ple:B186_258
ko:K00948	ple:B186_259
ko:K02835	ple:B186_260
ko:K06443	ple:B186_261
ko:K02434	ple:B186_264
ko:K00765	ple:B186_267
ko:K02871	ple:B186_268
ko:K02996	ple:B186_269
ko:K03438	ple:B186_271
ko:K03555	ple:B186_272
ko:K02204	ple:B186_275
ko:K00817	ple:B186_276
ko:K02500	ple:B186_277
ko:K01814	ple:B186_278
ko:K02501	ple:B186_280
ko:K01693	ple:B186_281
ko:K06180	ple:B186_285
ko:K01652	ple:B186_287
ko:K01653	ple:B186_288
ko:K00053	ple:B186_289
ko:K02959	ple:B186_290
ko:K02860	ple:B186_291
ko:K02884	ple:B186_292
ko:K00003	ple:B186_293
ko:K01733	ple:B186_294
ko:K03664	ple:B186_295
ko:K03687	ple:B186_296
ko:K14230	ple:B186_020
ko:K14229	ple:B186_251
ko:K14224	ple:B186_057
ko:K14219	ple:B186_219
ko:K14225	ple:B186_058
ko:K14225	ple:B186_063
ko:K14233	ple:B186_061
ko:K14233	ple:B186_226
ko:K14232	ple:B186_217
ko:K14226	ple:B186_220
ko:K14222	ple:B186_246
ko:K14220	ple:B186_256
ko:K14231	ple:B186_282
ko:K14223	ple:B186_283
ko:K14230	ple:B186_194
ko:K14230	ple:B186_257
ko:K14219	ple:B186_043
ko:K14219	ple:B186_159
ko:K14233	ple:B186_230
ko:K14234	ple:B186_064
ko:K14234	ple:B186_284
ko:K14234	ple:B186_273
ko:K14235	ple:B186_065
ko:K14227	ple:B186_119
ko:K01985	ple:B186_121
ko:K14236	ple:B186_139
ko:K14228	ple:B186_193
ko:K14228	ple:B186_142
ko:K14228	ple:B186_247
ko:K14221	ple:B186_147
ko:K14237	ple:B186_148
ko:K14237	ple:B186_249
ko:K14218	ple:B186_185
ko:K14233	ple:B186_227
ko:K08316	ple:B186_113
ko:K01977	ple:B186_118
ko:K01980	ple:B186_120
ko:K01978	ple:B186_270
ko:K10027	ple:B186_263
ko:K01990	ple:B186_059
ko:K01658	ple:B186_253
ko:K11179	ple:B186_143
ko:K01866	ple:B186_186
ko:K03640	ple:B186_225
ko:K00335	ple:B186_011
ko:K00336	ple:B186_010
ko:K00343	ple:B186_003
ko:K00821	ple:B186_240
ko:K02314	ple:B186_130
ko:K02257	ple:B186_138
