ko:K11707	cfs:FSW4_0681
ko:K02338	cfs:FSW4_0761
ko:K03664	cfs:FSW4_0771
ko:K03734	cfs:FSW4_0781
ko:K01491	cfs:FSW4_0791
ko:K02902	cfs:FSW4_0871
ko:K00705	cfs:FSW4_0881
ko:K04058	cfs:FSW4_0901
ko:K03230	cfs:FSW4_0911
ko:K03229	cfs:FSW4_0921
ko:K06942	cfs:FSW4_0931
ko:K11753	cfs:FSW4_0941
ko:K12573	cfs:FSW4_4031
ko:K07164	cfs:FSW4_4041
ko:K06041	cfs:FSW4_4051
ko:K00658	cfs:FSW4_4061
ko:K00912	cfs:FSW4_4081
ko:K03437	cfs:FSW4_4091
ko:K06969	cfs:FSW4_4101
ko:K00793	cfs:FSW4_4111
ko:K07738	cfs:FSW4_4121
ko:K06204	cfs:FSW4_4131
ko:K03101	cfs:FSW4_4141
ko:K03310	cfs:FSW4_4151
ko:K00748	cfs:FSW4_4171
ko:K09817	cfs:FSW4_4221
ko:K09816	cfs:FSW4_4231
ko:K03979	cfs:FSW4_4241
ko:K02899	cfs:FSW4_4251
ko:K02888	cfs:FSW4_4261
ko:K07042	cfs:FSW4_4301
ko:K03183	cfs:FSW4_4361
ko:K01778	cfs:FSW4_4381
ko:K01358	cfs:FSW4_4391
ko:K00600	cfs:FSW4_4401
ko:K01770	cfs:FSW4_4421
ko:K02946	cfs:FSW4_4441
ko:K02355	cfs:FSW4_4451
ko:K02992	cfs:FSW4_4461
ko:K02950	cfs:FSW4_4471
ko:K03797	cfs:FSW4_4491
ko:K07462	cfs:FSW4_4561
ko:K02834	cfs:FSW4_0961
ko:K02519	cfs:FSW4_0971
ko:K02600	cfs:FSW4_0981
ko:K02945	cfs:FSW4_0991
ko:K00384	cfs:FSW4_1001
ko:K00997	cfs:FSW4_1011
ko:K00208	cfs:FSW4_1051
ko:K03575	cfs:FSW4_1081
ko:K04077	cfs:FSW4_1111
ko:K04078	cfs:FSW4_1121
ko:K08602	cfs:FSW4_1131
ko:K03695	cfs:FSW4_1141
ko:K01783	cfs:FSW4_1221
ko:K02356	cfs:FSW4_1231
ko:K02160	cfs:FSW4_1241
ko:K01961	cfs:FSW4_1251
ko:K02871	cfs:FSW4_1261
ko:K02996	cfs:FSW4_1271
ko:K02029	cfs:FSW4_1301
ko:K07058	cfs:FSW4_1331
ko:K06999	cfs:FSW4_1371
ko:K07566	cfs:FSW4_1381
ko:K09125	cfs:FSW4_1411
ko:K07039	cfs:FSW4_1421
ko:K01972	cfs:FSW4_1471
ko:K02913	cfs:FSW4_1511
ko:K09808	cfs:FSW4_1521
ko:K03043	cfs:FSW4_3171
ko:K02935	cfs:FSW4_3181
ko:K02864	cfs:FSW4_3191
ko:K02863	cfs:FSW4_3201
ko:K02867	cfs:FSW4_3211
ko:K02601	cfs:FSW4_3221
ko:K03073	cfs:FSW4_3231
ko:K02358	cfs:FSW4_3241
ko:K02518	cfs:FSW4_3251
ko:K01803	cfs:FSW4_3311
ko:K03601	cfs:FSW4_3321
ko:K03602	cfs:FSW4_3331
ko:K01662	cfs:FSW4_3351
ko:K00873	cfs:FSW4_3361
ko:K03701	cfs:FSW4_3371
ko:K02343	cfs:FSW4_3381
ko:K09747	cfs:FSW4_3391
ko:K11381	cfs:FSW4_3451
ko:K03686	cfs:FSW4_3461
ko:K02970	cfs:FSW4_3471
ko:K01338	cfs:FSW4_3491
ko:K03733	cfs:FSW4_3521
ko:K06287	cfs:FSW4_3541
ko:K03075	cfs:FSW4_3571
ko:K01462	cfs:FSW4_3581
ko:K02528	cfs:FSW4_3591
ko:K06888	cfs:FSW4_3611
ko:K03523	cfs:FSW4_3641
ko:K01714	cfs:FSW4_3661
ko:K00928	cfs:FSW4_3671
ko:K00133	cfs:FSW4_3681
ko:K00215	cfs:FSW4_3691
ko:K12257	cfs:FSW4_4571
ko:K00806	cfs:FSW4_4591
ko:K00981	cfs:FSW4_4601
ko:K00945	cfs:FSW4_4611
ko:K00655	cfs:FSW4_4621
ko:K01887	cfs:FSW4_4631
ko:K00790	cfs:FSW4_4641
ko:K02836	cfs:FSW4_4681
ko:K00991	cfs:FSW4_4711
ko:K06173	cfs:FSW4_4721
ko:K07710	cfs:FSW4_4761
ko:K03584	cfs:FSW4_4791
ko:K01890	cfs:FSW4_4841
ko:K02034	cfs:FSW4_4871
ko:K01772	cfs:FSW4_4941
ko:K07099	cfs:FSW4_4971
ko:K00975	cfs:FSW4_4981
ko:K03628	cfs:FSW4_5001
ko:K00859	cfs:FSW4_5011
ko:K03301	cfs:FSW4_5041
ko:K00995	cfs:FSW4_5051
ko:K03495	cfs:FSW4_5081
ko:K03800	cfs:FSW4_5091
ko:K03311	cfs:FSW4_5641
ko:K00382	cfs:FSW4_5671
ko:K03644	cfs:FSW4_5681
ko:K03222	cfs:FSW4_5691
ko:K03223	cfs:FSW4_5711
ko:K03226	cfs:FSW4_5721
ko:K03228	cfs:FSW4_5741
ko:K02455	cfs:FSW4_5801
ko:K02453	cfs:FSW4_5821
ko:K03572	cfs:FSW4_5851
ko:K01868	cfs:FSW4_5911
ko:K01867	cfs:FSW4_5951
ko:K03702	cfs:FSW4_5961
ko:K01689	cfs:FSW4_5971
ko:K03424	cfs:FSW4_6041
ko:K03562	cfs:FSW4_6061
ko:K03641	cfs:FSW4_6091
ko:K03640	cfs:FSW4_6101
ko:K03648	cfs:FSW4_6181
ko:K03657	cfs:FSW4_6191
ko:K03092	cfs:FSW4_6201
ko:K02409	cfs:FSW4_7311
ko:K13819	cfs:FSW4_7321
ko:K04487	cfs:FSW4_7331
ko:K06178	cfs:FSW4_7351
ko:K03524	cfs:FSW4_7371
ko:K05837	cfs:FSW4_7381
ko:K01875	cfs:FSW4_7411
ko:K11752	cfs:FSW4_7421
ko:K14652	cfs:FSW4_7431
ko:K00794	cfs:FSW4_7441
ko:K03310	cfs:FSW4_7471
ko:K03466	cfs:FSW4_7511
ko:K00351	cfs:FSW4_7521
ko:K03210	cfs:FSW4_7531
ko:K00231	cfs:FSW4_7571
ko:K01599	cfs:FSW4_7591
ko:K03723	cfs:FSW4_7601
ko:K01872	cfs:FSW4_7611
ko:K00615	cfs:FSW4_7621
ko:K01241	cfs:FSW4_7631
ko:K02356	cfs:FSW4_7641
ko:K01929	cfs:FSW4_7681
ko:K01000	cfs:FSW4_7691
ko:K01925	cfs:FSW4_7701
ko:K03588	cfs:FSW4_7721
ko:K02563	cfs:FSW4_7731
ko:K06960	cfs:FSW4_7751
ko:K00791	cfs:FSW4_7781
ko:K09760	cfs:FSW4_8401
ko:K03439	cfs:FSW4_8441
ko:K00075	cfs:FSW4_8461
ko:K03625	cfs:FSW4_8471
ko:K02520	cfs:FSW4_8481
ko:K02916	cfs:FSW4_8491
ko:K02887	cfs:FSW4_8501
ko:K01889	cfs:FSW4_8511
ko:K11720	cfs:FSW4_8531
ko:K07091	cfs:FSW4_8541
ko:K04075	cfs:FSW4_8551
ko:K03798	cfs:FSW4_8561
ko:K00962	cfs:FSW4_8571
ko:K02956	cfs:FSW4_8581
ko:K01265	cfs:FSW4_8671
ko:K03321	cfs:FSW4_8721
ko:K03527	cfs:FSW4_8751
ko:K03720	cfs:FSW4_1701
ko:K01695	cfs:FSW4_1721
ko:K03611	cfs:FSW4_1771
ko:K00979	cfs:FSW4_1831
ko:K01937	cfs:FSW4_1841
ko:K07447	cfs:FSW4_1851
ko:K00036	cfs:FSW4_1861
ko:K01057	cfs:FSW4_1871
ko:K02343	cfs:FSW4_1881
ko:K00943	cfs:FSW4_1891
ko:K02469	cfs:FSW4_1901
ko:K02470	cfs:FSW4_1911
ko:K00773	cfs:FSW4_1941
ko:K06213	cfs:FSW4_1951
ko:K15580	cfs:FSW4_1991
ko:K15581	cfs:FSW4_2001
ko:K03319	cfs:FSW4_2051
ko:K09710	cfs:FSW4_7811
ko:K09458	cfs:FSW4_7821
ko:K00263	cfs:FSW4_7851
ko:K00655	cfs:FSW4_7871
ko:K04066	cfs:FSW4_7901
ko:K04567	cfs:FSW4_7931
ko:K01883	cfs:FSW4_7941
ko:K03536	cfs:FSW4_7961
ko:K02914	cfs:FSW4_7971
ko:K02919	cfs:FSW4_7981
ko:K02954	cfs:FSW4_7991
ko:K03703	cfs:FSW4_8031
ko:K03555	cfs:FSW4_8041
ko:K14164	cfs:FSW4_8091
ko:K00995	cfs:FSW4_8101
ko:K00703	cfs:FSW4_8111
ko:K02897	cfs:FSW4_8121
ko:K01056	cfs:FSW4_8131
ko:K02990	cfs:FSW4_8141
ko:K02963	cfs:FSW4_8151
ko:K02939	cfs:FSW4_8161
ko:K00919	cfs:FSW4_8171
ko:K00630	cfs:FSW4_8201
ko:K08301	cfs:FSW4_8211
ko:K02911	cfs:FSW4_8241
ko:K03621	cfs:FSW4_8251
ko:K03431	cfs:FSW4_8301
ko:K00820	cfs:FSW4_8311
ko:K03834	cfs:FSW4_8321
ko:K03834	cfs:FSW4_8331
ko:K06890	cfs:FSW4_8341
ko:K03110	cfs:FSW4_8351
ko:K01903	cfs:FSW4_8361
ko:K01902	cfs:FSW4_8371
ko:K02527	cfs:FSW4_2091
ko:K01869	cfs:FSW4_2101
ko:K01845	cfs:FSW4_2111
ko:K07735	cfs:FSW4_2121
ko:K08999	cfs:FSW4_2131
ko:K01807	cfs:FSW4_2141
ko:K03787	cfs:FSW4_2191
ko:K03179	cfs:FSW4_2201
ko:K03186	cfs:FSW4_2211
ko:K03308	cfs:FSW4_2331
ko:K02078	cfs:FSW4_2381
ko:K00645	cfs:FSW4_2401
ko:K00648	cfs:FSW4_2411
ko:K06187	cfs:FSW4_2421
ko:K07277	cfs:FSW4_2431
ko:K06142	cfs:FSW4_2441
ko:K02536	cfs:FSW4_2451
ko:K00161	cfs:FSW4_2471
ko:K00162	cfs:FSW4_2481
ko:K00627	cfs:FSW4_2491
ko:K00688	cfs:FSW4_2501
ko:K02313	cfs:FSW4_2521
ko:K03217	cfs:FSW4_2531
ko:K04487	cfs:FSW4_2601
ko:K01696	cfs:FSW4_1711
ko:K09779	cfs:FSW4_0011
ko:K11645	cfs:FSW4_2161
ko:K15583	cfs:FSW4_2031
ko:K00850	cfs:FSW4_2061
ko:K10823	cfs:FSW4_2021
ko:K07714	cfs:FSW4_4771
ko:K00895	cfs:FSW4_2081
ko:K11709	cfs:FSW4_0711
ko:K11708	cfs:FSW4_0701
ko:K11710	cfs:FSW4_0691
ko:K03559	cfs:FSW4_6071
ko:K01834	cfs:FSW4_7341
ko:K09810	cfs:FSW4_1531
ko:K02028	cfs:FSW4_1311
ko:K17103	cfs:FSW4_8411
ko:K04084	cfs:FSW4_6051
ko:K01679	cfs:FSW4_8711
ko:K04763	cfs:FSW4_8801
ko:K00700	cfs:FSW4_8821
ko:K06972	cfs:FSW4_8391
ko:K08719	cfs:FSW4_7251
ko:K07081	cfs:FSW4_4351
ko:K08275	cfs:FSW4_0811
ko:K01802	cfs:FSW4_5511
ko:K03309	cfs:FSW4_4071
ko:K01921	cfs:FSW4_7741
ko:K01924	cfs:FSW4_7741
ko:K08274	cfs:FSW4_3821
ko:K01829	cfs:FSW4_7921
ko:K01829	cfs:FSW4_7951
ko:K07033	cfs:FSW4_6961
ko:K01214	cfs:FSW4_0431
ko:K03825	cfs:FSW4_4671
ko:K03497	cfs:FSW4_7001
ko:K03111	cfs:FSW4_0451
ko:K03496	cfs:FSW4_5921
ko:K02626	cfs:FSW4_3781
ko:K11991	cfs:FSW4_8591
ko:K04771	cfs:FSW4_8381
ko:K19411	cfs:FSW4_6881
ko:K02031	cfs:FSW4_7021
ko:K07125	cfs:FSW4_3271
ko:K14237	cfs:tRNA_32
ko:K01977	cfs:16S_SSU_rRNA
ko:K22100	cfs:FSW4_3301
ko:K12132	cfs:FSW4_3031
ko:K20265	cfs:FSW4_2171
ko:K20074	cfs:FSW4_2611
ko:K14234	cfs:tRNA_7
ko:K14225	cfs:tRNA_16
ko:K14225	cfs:tRNA_17
ko:K01985	cfs:5S_rRNA-1
ko:K01985	cfs:5S_rRNA-2
ko:K14233	cfs:tRNA_36
ko:K14232	cfs:tRNA_2
ko:K14237	cfs:tRNA_10
ko:K14227	cfs:tRNA_25
ko:K14230	cfs:tRNA_30
ko:K14220	cfs:tRNA_1
ko:K01980	cfs:23S_LSU_rRNA
ko:K14234	cfs:tRNA_3
ko:K11749	cfs:FSW4_0731
ko:K22099	cfs:FSW4_6221
ko:K00526	cfs:FSW4_8431
ko:K02335	cfs:FSW4_5021
ko:K01520	cfs:FSW4_2941
ko:K02314	cfs:FSW4_5071
ko:K00287	cfs:FSW4_6231
ko:K03553	cfs:FSW4_6611
ko:K02316	cfs:FSW4_8061
ko:K02032	cfs:FSW4_7011
ko:K00525	cfs:FSW4_8421
ko:K02050	cfs:FSW4_8701
ko:K02051	cfs:FSW4_8701
ko:K14236	cfs:tRNA_4
ko:K01534	cfs:FSW4_7391
ko:K16239	cfs:FSW4_0861
