ko:K16238	btha:DR62_1129
ko:K00059	btha:DR62_3989
ko:K07396	btha:DR62_3992
ko:K02407	btha:DR62_3994
ko:K06016	btha:DR62_3995
ko:K01999	btha:DR62_3997
ko:K10844	btha:DR62_3999
ko:K00852	btha:DR62_4002
ko:K07044	btha:DR62_4004
ko:K03746	btha:DR62_4006
ko:K18369	btha:DR62_4013
ko:K01387	btha:DR62_4026
ko:K01114	btha:DR62_4086
ko:K00428	btha:DR62_4087
ko:K01485	btha:DR62_4089
ko:K10974	btha:DR62_4091
ko:K01266	btha:DR62_4098
ko:K06194	btha:DR62_4103
ko:K10001	btha:DR62_4104
ko:K00140	btha:DR62_4105
ko:K00822	btha:DR62_4106
ko:K05913	btha:DR62_4109
ko:K04090	btha:DR62_4110
ko:K15313	btha:DR62_4115
ko:K15312	btha:DR62_4116
ko:K15311	btha:DR62_4117
ko:K00646	btha:DR62_4118
ko:K15337	btha:DR62_4119
ko:K13611	btha:DR62_4120
ko:K15329	btha:DR62_07585
ko:K06133	btha:DR62_4123
ko:K01962	btha:DR62_4126
ko:K07782	btha:DR62_4128
ko:K00666	btha:DR62_4134
ko:K17228	btha:DR62_4242
ko:K13888	btha:DR62_4243
ko:K05685	btha:DR62_4244
ko:K00140	btha:DR62_4252
ko:K01895	btha:DR62_4253
ko:K07403	btha:DR62_4256
ko:K07044	btha:DR62_4260
ko:K01841	btha:DR62_4261
ko:K03119	btha:DR62_4263
ko:K07090	btha:DR62_4267
ko:K07483	btha:DR62_4270
ko:K06901	btha:DR62_4273
ko:K16088	btha:DR62_4281
ko:K06147	btha:DR62_4282
ko:K12241	btha:DR62_4284
ko:K12240	btha:DR62_4285
ko:K12239	btha:DR62_4286
ko:K12243	btha:DR62_4287
ko:K12238	btha:DR62_4288
ko:K04782	btha:DR62_4290
ko:K01851	btha:DR62_4291
ko:K08642	btha:DR62_4292
ko:K01996	btha:DR62_4293
ko:K01995	btha:DR62_4294
ko:K11904	btha:DR62_4350
ko:K11907	btha:DR62_4351
ko:K11895	btha:DR62_4352
ko:K11896	btha:DR62_4353
ko:K11897	btha:DR62_4354
ko:K11903	btha:DR62_4355
ko:K11900	btha:DR62_4356
ko:K11902	btha:DR62_4358
ko:K18118	btha:DR62_4359
ko:K01841	btha:DR62_4364
ko:K03430	btha:DR62_4366
ko:K07552	btha:DR62_4371
ko:K00375	btha:DR62_4372
ko:K03386	btha:DR62_4382
ko:K03387	btha:DR62_4383
ko:K00648	btha:DR62_4388
ko:K08295	btha:DR62_4391
ko:K04077	btha:DR62_4394
ko:K04078	btha:DR62_4395
ko:K01480	btha:DR62_4397
ko:K09472	btha:DR62_4398
ko:K07010	btha:DR62_4401
ko:K01915	btha:DR62_4402
ko:K12256	btha:DR62_4403
ko:K11073	btha:DR62_4404
ko:K11076	btha:DR62_4405
ko:K03497	btha:DR62_4507
ko:K12658	btha:DR62_4587
ko:K08166	btha:DR62_4593
ko:K15977	btha:DR62_4594
ko:K03303	btha:DR62_4595
ko:K00782	btha:DR62_4596
ko:K18929	btha:DR62_4597
ko:K18928	btha:DR62_4598
ko:K02073	btha:DR62_4605
ko:K00137	btha:DR62_4611
ko:K00053	btha:DR62_4613
ko:K01586	btha:DR62_4615
ko:K00645	btha:DR62_4618
ko:K07088	btha:DR62_4620
ko:K18903	btha:DR62_4624
ko:K18902	btha:DR62_4625
ko:K18901	btha:DR62_4626
ko:K18900	btha:DR62_4628
ko:K01821	btha:DR62_4631
ko:K01008	btha:DR62_4634
ko:K00375	btha:DR62_4636
ko:K01659	btha:DR62_4707
ko:K03417	btha:DR62_4708
ko:K02688	btha:DR62_4709
ko:K01259	btha:DR62_4711
ko:K01740	btha:DR62_4714
ko:K16856	btha:DR62_4718
ko:K03746	btha:DR62_4724
ko:K10823	btha:DR62_4732
ko:K15583	btha:DR62_4733
ko:K15582	btha:DR62_4734
ko:K15581	btha:DR62_4735
ko:K15580	btha:DR62_4736
ko:K03305	btha:DR62_4739
ko:K01644	btha:DR62_4745
ko:K06133	btha:DR62_4813
ko:K00382	btha:DR62_4818
ko:K09699	btha:DR62_4819
ko:K00167	btha:DR62_4820
ko:K00166	btha:DR62_4821
ko:K03333	btha:DR62_4827
ko:K07028	btha:DR62_4832
ko:K13993	btha:DR62_4837
ko:K05366	btha:DR62_4840
ko:K01426	btha:DR62_4843
ko:K02480	btha:DR62_4846
ko:K02004	btha:DR62_4856
ko:K03672	btha:DR62_4978
ko:K17218	btha:DR62_4979
ko:K12340	btha:DR62_4980
ko:K02003	btha:DR62_4986
ko:K02004	btha:DR62_4987
ko:K02005	btha:DR62_4988
ko:K05805	btha:DR62_4990
ko:K07326	btha:DR62_5000
ko:K07240	btha:DR62_5001
ko:K03701	btha:DR62_5003
ko:K01114	btha:DR62_5006
ko:K03671	btha:DR62_5010
ko:K11921	btha:DR62_08065
ko:K07345	btha:DR62_5027
ko:K15540	btha:DR62_5028
ko:K07347	btha:DR62_5029
ko:K02422	btha:DR62_5089
ko:K02414	btha:DR62_5091
ko:K02405	btha:DR62_5093
ko:K02398	btha:DR62_5094
ko:K02399	btha:DR62_5095
ko:K02395	btha:DR62_5097
ko:K02386	btha:DR62_08080
ko:K02387	btha:DR62_5098
ko:K02388	btha:DR62_5099
ko:K02389	btha:DR62_5100
ko:K02390	btha:DR62_5101
ko:K02391	btha:DR62_5102
ko:K02392	btha:DR62_5103
ko:K02393	btha:DR62_5104
ko:K02394	btha:DR62_5105
ko:K02396	btha:DR62_5107
ko:K02397	btha:DR62_5108
ko:K07687	btha:DR62_5114
ko:K03746	btha:DR62_5115
ko:K00865	btha:DR62_5117
ko:K00873	btha:DR62_5118
ko:K02647	btha:DR62_5119
ko:K06893	btha:DR62_5122
ko:K10439	btha:DR62_5125
ko:K10440	btha:DR62_5126
ko:K10441	btha:DR62_5127
ko:K01178	btha:DR62_5130
ko:K05591	btha:DR62_5131
ko:K00694	btha:DR62_5134
ko:K10001	btha:DR62_5142
ko:K00285	btha:DR62_5143
ko:K22468	btha:DR62_3829
ko:K02535	btha:DR62_739
ko:K03531	btha:DR62_741
ko:K03590	btha:DR62_742
ko:K03589	btha:DR62_743
ko:K01921	btha:DR62_744
ko:K01924	btha:DR62_745
ko:K07483	btha:DR62_869
ko:K03600	btha:DR62_877
ko:K03599	btha:DR62_878
ko:K00413	btha:DR62_879
ko:K00412	btha:DR62_880
ko:K00411	btha:DR62_881
ko:K04772	btha:DR62_883
ko:K03118	btha:DR62_884
ko:K03117	btha:DR62_885
ko:K03116	btha:DR62_886
ko:K02503	btha:DR62_887
ko:K01523	btha:DR62_889
ko:K01496	btha:DR62_890
ko:K02500	btha:DR62_891
ko:K01814	btha:DR62_892
ko:K02501	btha:DR62_893
ko:K05595	btha:DR62_894
ko:K01693	btha:DR62_895
ko:K00817	btha:DR62_896
ko:K00013	btha:DR62_897
ko:K00765	btha:DR62_898
ko:K00790	btha:DR62_899
ko:K01992	btha:DR62_901
ko:K01990	btha:DR62_902
ko:K07122	btha:DR62_903
ko:K07323	btha:DR62_904
ko:K04754	btha:DR62_905
ko:K02067	btha:DR62_906
ko:K02066	btha:DR62_907
ko:K02065	btha:DR62_908
ko:K00788	btha:DR62_06000
ko:K03149	btha:DR62_910
ko:K03154	btha:DR62_911
ko:K03153	btha:DR62_912
ko:K02471	btha:DR62_913
ko:K01975	btha:DR62_914
ko:K03310	btha:DR62_915
ko:K00266	btha:DR62_916
ko:K00265	btha:DR62_918
ko:K02946	btha:DR62_974
ko:K02358	btha:DR62_975
ko:K02355	btha:DR62_976
ko:K02992	btha:DR62_977
ko:K02950	btha:DR62_978
ko:K03654	btha:DR62_979
ko:K03046	btha:DR62_980
ko:K03043	btha:DR62_981
ko:K02935	btha:DR62_982
ko:K02864	btha:DR62_983
ko:K02863	btha:DR62_984
ko:K02867	btha:DR62_985
ko:K02601	btha:DR62_986
ko:K03073	btha:DR62_987
ko:K02358	btha:DR62_06020
ko:K02609	btha:DR62_1004
ko:K02610	btha:DR62_1005
ko:K00058	btha:DR62_1316
ko:K03169	btha:DR62_1318
ko:K04096	btha:DR62_1320
ko:K01462	btha:DR62_1321
ko:K00604	btha:DR62_1322
ko:K03799	btha:DR62_1324
ko:K03500	btha:DR62_1325
ko:K06920	btha:DR62_1330
ko:K01737	btha:DR62_1332
ko:K01630	btha:DR62_1333
ko:K05837	btha:DR62_1335
ko:K05515	btha:DR62_1336
ko:K03571	btha:DR62_1337
ko:K03570	btha:DR62_1338
ko:K03569	btha:DR62_1339
ko:K02435	btha:DR62_1340
ko:K02433	btha:DR62_1341
ko:K02434	btha:DR62_1342
ko:K01142	btha:DR62_1344
ko:K13979	btha:DR62_1345
ko:K08218	btha:DR62_1348
ko:K00641	btha:DR62_1350
ko:K05501	btha:DR62_1351
ko:K00930	btha:DR62_1353
ko:K15011	btha:DR62_1355
ko:K15012	btha:DR62_1356
ko:K03667	btha:DR62_1357
ko:K01419	btha:DR62_1358
ko:K06204	btha:DR62_1359
ko:K06969	btha:DR62_1361
ko:K03733	btha:DR62_1362
ko:K09921	btha:DR62_1363
ko:K01778	btha:DR62_1364
ko:K02517	btha:DR62_1365
ko:K00789	btha:DR62_1366
ko:K07213	btha:DR62_1479
ko:K01533	btha:DR62_1480
ko:K03744	btha:DR62_1481
ko:K06872	btha:DR62_1482
ko:K00820	btha:DR62_1485
ko:K04042	btha:DR62_1486
ko:K14058	btha:DR62_1487
ko:K01633	btha:DR62_1488
ko:K00847	btha:DR62_1493
ko:K14347	btha:DR62_1497
ko:K00459	btha:DR62_1501
ko:K01561	btha:DR62_1502
ko:K03719	btha:DR62_1503
ko:K06938	btha:DR62_1505
ko:K01640	btha:DR62_1507
ko:K12972	btha:DR62_1508
ko:K06991	btha:DR62_1509
ko:K07002	btha:DR62_1510
ko:K01114	btha:DR62_1511
ko:K01714	btha:DR62_1517
ko:K02048	btha:DR62_1518
ko:K08715	btha:DR62_1521
ko:K04090	btha:DR62_1522
ko:K03316	btha:DR62_1523
ko:K01077	btha:DR62_1526
ko:K06201	btha:DR62_1530
ko:K01012	btha:DR62_1531
ko:K01935	btha:DR62_1532
ko:K00652	btha:DR62_1533
ko:K00426	btha:DR62_1648
ko:K00425	btha:DR62_1649
ko:K03089	btha:DR62_1651
ko:K01649	btha:DR62_1654
ko:K00372	btha:DR62_1657
ko:K00363	btha:DR62_1658
ko:K00362	btha:DR62_1659
ko:K03110	btha:DR62_1661
ko:K00954	btha:DR62_1663
ko:K00817	btha:DR62_1665
ko:K01056	btha:DR62_1666
ko:K02897	btha:DR62_1667
ko:K00948	btha:DR62_1668
ko:K00919	btha:DR62_1670
ko:K02494	btha:DR62_1671
ko:K10563	btha:DR62_1673
ko:K03575	btha:DR62_1674
ko:K07157	btha:DR62_1675
ko:K06958	btha:DR62_1676
ko:K06023	btha:DR62_1677
ko:K02806	btha:DR62_1678
ko:K05808	btha:DR62_1679
ko:K03092	btha:DR62_1680
ko:K06861	btha:DR62_1681
ko:K09774	btha:DR62_1682
ko:K11719	btha:DR62_1683
ko:K03270	btha:DR62_1684
ko:K06041	btha:DR62_1685
ko:K03455	btha:DR62_1686
ko:K00759	btha:DR62_1687
ko:K01433	btha:DR62_1690
ko:K03701	btha:DR62_1692
ko:K03111	btha:DR62_1694
ko:K03688	btha:DR62_1756
ko:K01876	btha:DR62_1760
ko:K08310	btha:DR62_1761
ko:K07516	btha:DR62_1765
ko:K02379	btha:DR62_1768
ko:K10806	btha:DR62_1770
ko:K06147	btha:DR62_1771
ko:K07102	btha:DR62_1773
ko:K04744	btha:DR62_1774
ko:K03771	btha:DR62_1775
ko:K00097	btha:DR62_1776
ko:K02528	btha:DR62_1777
ko:K01759	btha:DR62_1779
ko:K07043	btha:DR62_1780
ko:K00655	btha:DR62_1781
ko:K03273	btha:DR62_1782
ko:K01879	btha:DR62_1783
ko:K03820	btha:DR62_1785
ko:K06189	btha:DR62_1786
ko:K07232	btha:DR62_1787
ko:K07042	btha:DR62_1788
ko:K06168	btha:DR62_1790
ko:K02858	btha:DR62_1794
ko:K02440	btha:DR62_1796
ko:K00864	btha:DR62_1797
ko:K00111	btha:DR62_1798
ko:K02444	btha:DR62_1801
ko:K00681	btha:DR62_1802
ko:K11927	btha:DR62_1805
ko:K07245	btha:DR62_1808
ko:K01684	btha:DR62_1809
ko:K07259	btha:DR62_1867
ko:K02484	btha:DR62_1869
ko:K03577	btha:DR62_1874
ko:K03585	btha:DR62_1875
ko:K18138	btha:DR62_1876
ko:K18139	btha:DR62_1877
ko:K00854	btha:DR62_1879
ko:K00121	btha:DR62_1881
ko:K01070	btha:DR62_1882
ko:K02075	btha:DR62_1883
ko:K02074	btha:DR62_1884
ko:K02077	btha:DR62_1885
ko:K09823	btha:DR62_1886
ko:K00847	btha:DR62_1888
ko:K16371	btha:DR62_1889
ko:K10227	btha:DR62_1890
ko:K10228	btha:DR62_1891
ko:K10229	btha:DR62_1892
ko:K10111	btha:DR62_1894
ko:K00854	btha:DR62_1900
ko:K00007	btha:DR62_1901
ko:K01576	btha:DR62_1903
ko:K00141	btha:DR62_1904
ko:K00077	btha:DR62_1905
ko:K08195	btha:DR62_1906
ko:K00453	btha:DR62_1907
ko:K01556	btha:DR62_1908
ko:K07130	btha:DR62_1909
ko:K07304	btha:DR62_1912
ko:K00574	btha:DR62_1914
ko:K00275	btha:DR62_1915
ko:K05838	btha:DR62_1917
ko:K06911	btha:DR62_1918
ko:K02279	btha:DR62_2776
ko:K02280	btha:DR62_2777
ko:K02282	btha:DR62_2779
ko:K02283	btha:DR62_2780
ko:K12511	btha:DR62_2782
ko:K02030	btha:DR62_2786
ko:K02029	btha:DR62_2787
ko:K02029	btha:DR62_2788
ko:K18129	btha:DR62_2790
ko:K18094	btha:DR62_2791
ko:K18095	btha:DR62_2792
ko:K18139	btha:DR62_2793
ko:K07346	btha:DR62_2794
ko:K07345	btha:DR62_2795
ko:K10439	btha:DR62_2801
ko:K10441	btha:DR62_2802
ko:K10440	btha:DR62_2803
ko:K00008	btha:DR62_2804
ko:K00854	btha:DR62_2805
ko:K03088	btha:DR62_2808
ko:K02013	btha:DR62_2811
ko:K02015	btha:DR62_2812
ko:K13255	btha:DR62_2813
ko:K02016	btha:DR62_2814
ko:K06160	btha:DR62_2816
ko:K10531	btha:DR62_2819
ko:K02014	btha:DR62_2820
ko:K02224	btha:DR62_2823
ko:K19221	btha:DR62_2824
ko:K02189	btha:DR62_2825
ko:K07241	btha:DR62_2827
ko:K02234	btha:DR62_2828
ko:K02230	btha:DR62_2829
ko:K03405	btha:DR62_2830
ko:K13580	btha:DR62_2831
ko:K06999	btha:DR62_2832
ko:K02525	btha:DR62_2937
ko:K00090	btha:DR62_2938
ko:K00874	btha:DR62_2940
ko:K03281	btha:DR62_2945
ko:K07727	btha:DR62_2951
ko:K17218	btha:DR62_2955
ko:K07090	btha:DR62_2956
ko:K11074	btha:DR62_2957
ko:K11075	btha:DR62_2958
ko:K11076	btha:DR62_2959
ko:K11073	btha:DR62_2960
ko:K03322	btha:DR62_2961
ko:K06938	btha:DR62_2962
ko:K07275	btha:DR62_2963
ko:K00459	btha:DR62_2964
ko:K00128	btha:DR62_2965
ko:K07290	btha:DR62_2968
ko:K02068	btha:DR62_2969
ko:K02069	btha:DR62_2970
ko:K01079	btha:DR62_2972
ko:K01760	btha:DR62_2973
ko:K00626	btha:DR62_2975
ko:K00874	btha:DR62_2976
ko:K14441	btha:DR62_2977
ko:K00023	btha:DR62_2979
ko:K00626	btha:DR62_2980
ko:K03821	btha:DR62_2981
ko:K05810	btha:DR62_2982
ko:K06180	btha:DR62_2983
ko:K05807	btha:DR62_2984
ko:K06959	btha:DR62_2988
ko:K03549	btha:DR62_2989
ko:K07101	btha:DR62_2990
ko:K01952	btha:DR62_3098
ko:K00285	btha:DR62_3099
ko:K01810	btha:DR62_3101
ko:K02003	btha:DR62_3102
ko:K10804	btha:DR62_3103
ko:K03770	btha:DR62_3104
ko:K01338	btha:DR62_3111
ko:K03544	btha:DR62_3112
ko:K01358	btha:DR62_3113
ko:K03545	btha:DR62_3114
ko:K00865	btha:DR62_3115
ko:K00077	btha:DR62_3118
ko:K02291	btha:DR62_3131
ko:K07659	btha:DR62_3135
ko:K07638	btha:DR62_3136
ko:K03386	btha:DR62_3137
ko:K04756	btha:DR62_3138
ko:K01770	btha:DR62_3139
ko:K00991	btha:DR62_3140
ko:K03723	btha:DR62_3141
ko:K01438	btha:DR62_3144
ko:K01754	btha:DR62_3145
ko:K05366	btha:DR62_3147
ko:K03969	btha:DR62_3148
ko:K03282	btha:DR62_3151
ko:K01972	btha:DR62_3207
ko:K03529	btha:DR62_3209
ko:K14267	btha:DR62_3212
ko:K00674	btha:DR62_3213
ko:K01439	btha:DR62_3215
ko:K07320	btha:DR62_3216
ko:K06131	btha:DR62_3217
ko:K00432	btha:DR62_3218
ko:K06158	btha:DR62_3219
ko:K04485	btha:DR62_3221
ko:K01775	btha:DR62_3222
ko:K00941	btha:DR62_3224
ko:K09977	btha:DR62_3225
ko:K03789	btha:DR62_3227
ko:K14742	btha:DR62_3228
ko:K01637	btha:DR62_3231
ko:K01560	btha:DR62_3234
ko:K01638	btha:DR62_3235
ko:K02553	btha:DR62_3237
ko:K01885	btha:DR62_3245
ko:K07001	btha:DR62_3246
ko:K13896	btha:DR62_3248
ko:K13895	btha:DR62_3249
ko:K13894	btha:DR62_3250
ko:K13893	btha:DR62_3251
ko:K00208	btha:DR62_3252
ko:K01265	btha:DR62_3256
ko:K01755	btha:DR62_3258
ko:K00957	btha:DR62_3261
ko:K02238	btha:DR62_3319
ko:K03424	btha:DR62_3320
ko:K09810	btha:DR62_3321
ko:K09808	btha:DR62_3322
ko:K07462	btha:DR62_3324
ko:K02836	btha:DR62_3325
ko:K04567	btha:DR62_3326
ko:K04755	btha:DR62_3329
ko:K04044	btha:DR62_3330
ko:K04082	btha:DR62_3331
ko:K13628	btha:DR62_3332
ko:K04488	btha:DR62_3333
ko:K04487	btha:DR62_3334
ko:K13643	btha:DR62_3335
ko:K01104	btha:DR62_3336
ko:K18928	btha:DR62_3339
ko:K07262	btha:DR62_3341
ko:K00382	btha:DR62_3343
ko:K00627	btha:DR62_3344
ko:K00163	btha:DR62_3345
ko:K01491	btha:DR62_3348
ko:K01414	btha:DR62_3349
ko:K02575	btha:DR62_3353
ko:K02575	btha:DR62_3354
ko:K00370	btha:DR62_3355
ko:K00371	btha:DR62_3356
ko:K00373	btha:DR62_3357
ko:K00374	btha:DR62_3358
ko:K07673	btha:DR62_3359
ko:K07684	btha:DR62_3361
ko:K01142	btha:DR62_3363
ko:K07712	btha:DR62_3364
ko:K07708	btha:DR62_3365
ko:K01915	btha:DR62_3366
ko:K03703	btha:DR62_113
ko:K02356	btha:DR62_115
ko:K01207	btha:DR62_117
ko:K00997	btha:DR62_118
ko:K03474	btha:DR62_119
ko:K03584	btha:DR62_120
ko:K03685	btha:DR62_122
ko:K03100	btha:DR62_123
ko:K03596	btha:DR62_124
ko:K03598	btha:DR62_127
ko:K03597	btha:DR62_128
ko:K03088	btha:DR62_129
ko:K09458	btha:DR62_131
ko:K02078	btha:DR62_132
ko:K00059	btha:DR62_133
ko:K00645	btha:DR62_134
ko:K00648	btha:DR62_135
ko:K03621	btha:DR62_136
ko:K02911	btha:DR62_137
ko:K07040	btha:DR62_138
ko:K06287	btha:DR62_139
ko:K07056	btha:DR62_140
ko:K04773	btha:DR62_141
ko:K01091	btha:DR62_143
ko:K06179	btha:DR62_144
ko:K08300	btha:DR62_145
ko:K03639	btha:DR62_146
ko:K03752	btha:DR62_147
ko:K03750	btha:DR62_148
ko:K09760	btha:DR62_151
ko:K00782	btha:DR62_154
ko:K00763	btha:DR62_155
ko:K05524	btha:DR62_156
ko:K05805	btha:DR62_159
ko:K14761	btha:DR62_165
ko:K03327	btha:DR62_166
ko:K01679	btha:DR62_167
ko:K12141	btha:DR62_3703
ko:K12140	btha:DR62_3704
ko:K11189	btha:DR62_3709
ko:K00797	btha:DR62_3710
ko:K02575	btha:DR62_3713
ko:K03769	btha:DR62_3714
ko:K00374	btha:DR62_3715
ko:K00373	btha:DR62_3716
ko:K00371	btha:DR62_3717
ko:K00370	btha:DR62_3718
ko:K03119	btha:DR62_3724
ko:K01414	btha:DR62_3734
ko:K07782	btha:DR62_3735
ko:K15650	btha:DR62_3742
ko:K00457	btha:DR62_3743
ko:K02624	btha:DR62_3746
ko:K05396	btha:DR62_3750
ko:K00375	btha:DR62_3758
ko:K00609	btha:DR62_3762
ko:K16090	btha:DR62_3763
ko:K07126	btha:DR62_3764
ko:K07141	btha:DR62_3767
ko:K03406	btha:DR62_3771
ko:K03587	btha:DR62_3772
ko:K02058	btha:DR62_3773
ko:K03455	btha:DR62_3775
ko:K07044	btha:DR62_3776
ko:K02027	btha:DR62_3790
ko:K02025	btha:DR62_3791
ko:K02026	btha:DR62_3792
ko:K05351	btha:DR62_3793
ko:K10112	btha:DR62_3794
ko:K00854	btha:DR62_3796
ko:K07258	btha:DR62_3797
ko:K03587	btha:DR62_3798
ko:K00380	btha:DR62_3800
ko:K00363	btha:DR62_3801
ko:K00362	btha:DR62_3802
ko:K02575	btha:DR62_3803
ko:K02303	btha:DR62_3805
ko:K02611	btha:DR62_1006
ko:K02612	btha:DR62_1007
ko:K02613	btha:DR62_1008
ko:K03719	btha:DR62_1012
ko:K00457	btha:DR62_1013
ko:K04090	btha:DR62_1015
ko:K00029	btha:DR62_1016
ko:K00762	btha:DR62_1017
ko:K06910	btha:DR62_1018
ko:K03809	btha:DR62_1019
ko:K00145	btha:DR62_1020
ko:K07275	btha:DR62_1023
ko:K09122	btha:DR62_1028
ko:K03406	btha:DR62_1094
ko:K07483	btha:DR62_1106
ko:K03656	btha:DR62_1111
ko:K00605	btha:DR62_1116
ko:K02437	btha:DR62_1117
ko:K00281	btha:DR62_1118
ko:K01752	btha:DR62_1120
ko:K01652	btha:DR62_1121
ko:K04033	btha:DR62_1123
ko:K00138	btha:DR62_1124
ko:K03736	btha:DR62_1127
ko:K03735	btha:DR62_1128
ko:K01534	btha:DR62_1134
ko:K10013	btha:DR62_1138
ko:K09456	btha:DR62_1142
ko:K12508	btha:DR62_1143
