ko:K11741	lcs:LCBD_3001
ko:K02815	lcs:LCBD_0431
ko:K01624	lcs:LCBD_0433
ko:K14445	lcs:LCBD_0434
ko:K05845	lcs:LCBD_0065
ko:K05846	lcs:LCBD_0066
ko:K05847	lcs:LCBD_0067
ko:K01534	lcs:LCBD_0071
ko:K01695	lcs:LCBD_0076
ko:K01696	lcs:LCBD_0077
ko:K01817	lcs:LCBD_0078
ko:K01609	lcs:LCBD_0079
ko:K00766	lcs:LCBD_0080
ko:K00215	lcs:LCBD_0095
ko:K01714	lcs:LCBD_0096
ko:K05823	lcs:LCBD_0097
ko:K01586	lcs:LCBD_0099
ko:K00928	lcs:LCBD_0100
ko:K01778	lcs:LCBD_0101
ko:K00133	lcs:LCBD_0102
ko:K08602	lcs:LCBD_0244
ko:K03311	lcs:LCBD_0246
ko:K03100	lcs:LCBD_0252
ko:K03671	lcs:LCBD_0258
ko:K01999	lcs:LCBD_0262
ko:K01997	lcs:LCBD_0263
ko:K01998	lcs:LCBD_0264
ko:K01995	lcs:LCBD_0265
ko:K01996	lcs:LCBD_0266
ko:K02761	lcs:LCBD_0268
ko:K02313	lcs:LCBD_0001
ko:K02338	lcs:LCBD_0002
ko:K02939	lcs:LCBD_0110
ko:K01939	lcs:LCBD_0113
ko:K01534	lcs:LCBD_0114
ko:K01921	lcs:LCBD_0136
ko:K03778	lcs:LCBD_0138
ko:K08987	lcs:LCBD_0142
ko:K06901	lcs:LCBD_0144
ko:K15975	lcs:LCBD_0147
ko:K01839	lcs:LCBD_0271
ko:K01809	lcs:LCBD_0285
ko:K03710	lcs:LCBD_0286
ko:K02082	lcs:LCBD_0287
ko:K01443	lcs:LCBD_0288
ko:K12308	lcs:LCBD_0289
ko:K14155	lcs:LCBD_0297
ko:K02761	lcs:LCBD_0299
ko:K01869	lcs:LCBD_0930
ko:K07727	lcs:LCBD_0952
ko:K00432	lcs:LCBD_0988
ko:K14155	lcs:LCBD_0989
ko:K07166	lcs:LCBD_0992
ko:K09157	lcs:LCBD_0993
ko:K00858	lcs:LCBD_0998
ko:K06180	lcs:LCBD_0999
ko:K03734	lcs:LCBD_1000
ko:K06153	lcs:LCBD_1002
ko:K02781	lcs:LCBD_1004
ko:K02954	lcs:LCBD_1005
ko:K00364	lcs:LCBD_1006
ko:K03284	lcs:LCBD_1007
ko:K00563	lcs:LCBD_1008
ko:K03216	lcs:LCBD_1009
ko:K03466	lcs:LCBD_1011
ko:K00995	lcs:LCBD_1016
ko:K03070	lcs:LCBD_1024
ko:K02836	lcs:LCBD_1025
ko:K09812	lcs:LCBD_1026
ko:K09811	lcs:LCBD_1027
ko:K07636	lcs:LCBD_1030
ko:K02040	lcs:LCBD_1031
ko:K02037	lcs:LCBD_1032
ko:K02038	lcs:LCBD_1033
ko:K02036	lcs:LCBD_1034
ko:K02036	lcs:LCBD_1035
ko:K02039	lcs:LCBD_1036
ko:K08972	lcs:LCBD_1039
ko:K13292	lcs:LCBD_1041
ko:K00057	lcs:LCBD_1042
ko:K00384	lcs:LCBD_1043
ko:K02003	lcs:LCBD_1048
ko:K07023	lcs:LCBD_1050
ko:K03702	lcs:LCBD_1052
ko:K03701	lcs:LCBD_1054
ko:K06958	lcs:LCBD_1056
ko:K01358	lcs:LCBD_1060
ko:K02003	lcs:LCBD_0470
ko:K01421	lcs:LCBD_0480
ko:K05311	lcs:LCBD_1109
ko:K00134	lcs:LCBD_1110
ko:K00927	lcs:LCBD_1111
ko:K01803	lcs:LCBD_1112
ko:K01689	lcs:LCBD_1113
ko:K03075	lcs:LCBD_1117
ko:K03928	lcs:LCBD_1118
ko:K12573	lcs:LCBD_1119
ko:K03664	lcs:LCBD_1120
ko:K02073	lcs:LCBD_0483
ko:K01442	lcs:LCBD_0484
ko:K05879	lcs:LCBD_0490
ko:K05878	lcs:LCBD_0491
ko:K01246	lcs:LCBD_0498
ko:K01624	lcs:LCBD_0499
ko:K07010	lcs:LCBD_0503
ko:K01915	lcs:LCBD_0504
ko:K02759	lcs:LCBD_0513
ko:K02761	lcs:LCBD_0514
ko:K03629	lcs:LCBD_0004
ko:K02470	lcs:LCBD_0005
ko:K02469	lcs:LCBD_0006
ko:K02990	lcs:LCBD_0009
ko:K02963	lcs:LCBD_0011
ko:K00425	lcs:LCBD_0014
ko:K02003	lcs:LCBD_0025
ko:K07090	lcs:LCBD_0032
ko:K03322	lcs:LCBD_0036
ko:K08659	lcs:LCBD_0039
ko:K01625	lcs:LCBD_0052
ko:K05846	lcs:LCBD_0064
ko:K07478	lcs:LCBD_0159
ko:K00925	lcs:LCBD_0160
ko:K01421	lcs:LCBD_0164
ko:K15580	lcs:LCBD_0169
ko:K06872	lcs:LCBD_0177
ko:K07090	lcs:LCBD_0178
ko:K07006	lcs:LCBD_0187
ko:K01304	lcs:LCBD_0195
ko:K03501	lcs:LCBD_0199
ko:K06942	lcs:LCBD_0204
ko:K03624	lcs:LCBD_0211
ko:K01928	lcs:LCBD_0212
ko:K01779	lcs:LCBD_0213
ko:K06608	lcs:LCBD_0215
ko:K00140	lcs:LCBD_0217
ko:K02759	lcs:LCBD_0301
ko:K15580	lcs:LCBD_0306
ko:K03707	lcs:LCBD_0314
ko:K00878	lcs:LCBD_0316
ko:K00788	lcs:LCBD_0317
ko:K00941	lcs:LCBD_0318
ko:K02529	lcs:LCBD_0321
ko:K06726	lcs:LCBD_0322
ko:K10441	lcs:LCBD_0323
ko:K02760	lcs:LCBD_0300
ko:K01624	lcs:LCBD_0351
ko:K07006	lcs:LCBD_0364
ko:K02529	lcs:LCBD_0372
ko:K07090	lcs:LCBD_0380
ko:K06871	lcs:LCBD_0381
ko:K12700	lcs:LCBD_0383
ko:K03092	lcs:LCBD_0393
ko:K01624	lcs:LCBD_0396
ko:K09988	lcs:LCBD_0401
ko:K08094	lcs:LCBD_0454
ko:K00009	lcs:LCBD_0456
ko:K02760	lcs:LCBD_0515
ko:K01256	lcs:LCBD_0532
ko:K08996	lcs:LCBD_0535
ko:K03648	lcs:LCBD_1141
ko:K06925	lcs:LCBD_1143
ko:K01142	lcs:LCBD_1148
ko:K00075	lcs:LCBD_1149
ko:K03431	lcs:LCBD_1164
ko:K00820	lcs:LCBD_1165
ko:K00014	lcs:LCBD_0541
ko:K00014	lcs:LCBD_0543
ko:K00651	lcs:LCBD_0545
ko:K01738	lcs:LCBD_0546
ko:K06209	lcs:LCBD_1190
ko:K10804	lcs:LCBD_1191
ko:K03657	lcs:LCBD_1193
ko:K01972	lcs:LCBD_1194
ko:K02435	lcs:LCBD_1196
ko:K02434	lcs:LCBD_1198
ko:K03215	lcs:LCBD_1201
ko:K02759	lcs:LCBD_1217
ko:K03654	lcs:LCBD_1220
ko:K07058	lcs:LCBD_1226
ko:K01265	lcs:LCBD_1228
ko:K00963	lcs:LCBD_1233
ko:K01809	lcs:LCBD_0632
ko:K03710	lcs:LCBD_0638
ko:K03734	lcs:LCBD_0648
ko:K03777	lcs:LCBD_0654
ko:K01223	lcs:LCBD_1243
ko:K03704	lcs:LCBD_1255
ko:K03816	lcs:LCBD_1258
ko:K01589	lcs:LCBD_1260
ko:K01756	lcs:LCBD_1261
ko:K01810	lcs:LCBD_1268
ko:K03311	lcs:LCBD_0668
ko:K00868	lcs:LCBD_0683
ko:K00297	lcs:LCBD_0684
ko:K00549	lcs:LCBD_0685
ko:K08177	lcs:LCBD_0689
ko:K07862	lcs:LCBD_0693
ko:K00262	lcs:LCBD_0697
ko:K03704	lcs:LCBD_0698
ko:K03320	lcs:LCBD_0717
ko:K07223	lcs:LCBD_0718
ko:K08659	lcs:LCBD_1342
ko:K01928	lcs:LCBD_1352
ko:K00849	lcs:LCBD_0735
ko:K00965	lcs:LCBD_0737
ko:K02529	lcs:LCBD_0738
ko:K03547	lcs:LCBD_0753
ko:K13993	lcs:LCBD_0758
ko:K03575	lcs:LCBD_0760
ko:K00941	lcs:LCBD_0767
ko:K07507	lcs:LCBD_0719
ko:K02440	lcs:LCBD_0726
ko:K00864	lcs:LCBD_0729
ko:K02531	lcs:LCBD_0731
ko:K02787	lcs:LCBD_0732
ko:K07118	lcs:LCBD_0770
ko:K05349	lcs:LCBD_0773
ko:K02835	lcs:LCBD_1354
ko:K02493	lcs:LCBD_1355
ko:K07566	lcs:LCBD_1356
ko:K00600	lcs:LCBD_1357
ko:K00761	lcs:LCBD_1358
ko:K02108	lcs:LCBD_1360
ko:K02110	lcs:LCBD_1361
ko:K02109	lcs:LCBD_1362
ko:K02113	lcs:LCBD_1363
ko:K02111	lcs:LCBD_1364
ko:K02115	lcs:LCBD_1365
ko:K02112	lcs:LCBD_1366
ko:K02114	lcs:LCBD_1367
ko:K03569	lcs:LCBD_1369
ko:K08998	lcs:LCBD_1371
ko:K05837	lcs:LCBD_1373
ko:K02437	lcs:LCBD_1374
ko:K02073	lcs:LCBD_1376
ko:K02073	lcs:LCBD_1377
ko:K02071	lcs:LCBD_1378
ko:K02072	lcs:LCBD_1379
ko:K09013	lcs:LCBD_1380
ko:K09015	lcs:LCBD_1381
ko:K11717	lcs:LCBD_1382
ko:K09014	lcs:LCBD_1384
ko:K07478	lcs:LCBD_1393
ko:K01919	lcs:LCBD_1394
ko:K01752	lcs:LCBD_1397
ko:K01752	lcs:LCBD_1398
ko:K03811	lcs:LCBD_1402
ko:K04486	lcs:LCBD_1404
ko:K15580	lcs:LCBD_1405
ko:K02788	lcs:LCBD_0732
ko:K01574	lcs:LCBD_0791
ko:K01356	lcs:LCBD_0804
ko:K07088	lcs:LCBD_0806
ko:K03284	lcs:LCBD_0813
ko:K07088	lcs:LCBD_0817
ko:K11065	lcs:LCBD_0818
ko:K00940	lcs:LCBD_0825
ko:K01091	lcs:LCBD_0831
ko:K07693	lcs:LCBD_1421
ko:K07778	lcs:LCBD_1422
ko:K06959	lcs:LCBD_1434
ko:K06915	lcs:LCBD_1440
ko:K06915	lcs:LCBD_1441
ko:K02986	lcs:LCBD_1451
ko:K04487	lcs:LCBD_1454
ko:K03151	lcs:LCBD_1455
ko:K01926	lcs:LCBD_1457
ko:K01873	lcs:LCBD_1458
ko:K11754	lcs:LCBD_1459
ko:K03630	lcs:LCBD_1461
ko:K03569	lcs:LCBD_1462
ko:K03570	lcs:LCBD_1463
ko:K03571	lcs:LCBD_1464
ko:K03610	lcs:LCBD_1465
ko:K03609	lcs:LCBD_1466
ko:K02029	lcs:LCBD_1468
ko:K07173	lcs:LCBD_0843
ko:K03550	lcs:LCBD_0845
ko:K03551	lcs:LCBD_0846
ko:K07568	lcs:LCBD_0847
ko:K00773	lcs:LCBD_0849
ko:K03210	lcs:LCBD_0850
ko:K04072	lcs:LCBD_0851
ko:K00036	lcs:LCBD_0853
ko:K02346	lcs:LCBD_0854
ko:K01872	lcs:LCBD_0859
ko:K07447	lcs:LCBD_0862
ko:K09888	lcs:LCBD_0864
ko:K07456	lcs:LCBD_0866
ko:K03671	lcs:LCBD_0867
ko:K03367	lcs:LCBD_0869
ko:K03739	lcs:LCBD_0870
ko:K14188	lcs:LCBD_0871
ko:K03740	lcs:LCBD_0872
ko:K07095	lcs:LCBD_0875
ko:K02440	lcs:LCBD_0876
ko:K02529	lcs:LCBD_0885
ko:K03524	lcs:LCBD_0890
ko:K01126	lcs:LCBD_0892
ko:K06131	lcs:LCBD_1471
ko:K03925	lcs:LCBD_1473
ko:K03438	lcs:LCBD_1474
ko:K03581	lcs:LCBD_1504
ko:K01000	lcs:LCBD_1477
ko:K01462	lcs:LCBD_1511
ko:K00161	lcs:LCBD_1513
ko:K00162	lcs:LCBD_1514
ko:K00627	lcs:LCBD_1515
ko:K00382	lcs:LCBD_1516
ko:K06207	lcs:LCBD_1520
ko:K03588	lcs:LCBD_1521
ko:K00954	lcs:LCBD_1525
ko:K01925	lcs:LCBD_1478
ko:K02563	lcs:LCBD_1479
ko:K03589	lcs:LCBD_1480
ko:K03590	lcs:LCBD_1481
ko:K03531	lcs:LCBD_1482
ko:K09772	lcs:LCBD_1483
ko:K02221	lcs:LCBD_1484
ko:K04074	lcs:LCBD_1486
ko:K01870	lcs:LCBD_1487
ko:K03704	lcs:LCBD_1488
ko:K02040	lcs:LCBD_1489
ko:K04487	lcs:LCBD_1496
ko:K00566	lcs:LCBD_1500
ko:K15771	lcs:LCBD_1129
ko:K00887	lcs:LCBD_1716
ko:K00010	lcs:LCBD_0221
ko:K00010	lcs:LCBD_0222
ko:K00033	lcs:LCBD_0227
ko:K00851	lcs:LCBD_0228
ko:K03299	lcs:LCBD_0229
ko:K02074	lcs:LCBD_0240
ko:K08093	lcs:LCBD_0422
ko:K00068	lcs:LCBD_0427
ko:K07052	lcs:LCBD_0068
ko:K05822	lcs:LCBD_0098
ko:K01535	lcs:LCBD_0116
ko:K09004	lcs:LCBD_0145
ko:K01619	lcs:LCBD_0270
ko:K03784	lcs:LCBD_0272
ko:K12373	lcs:LCBD_0284
ko:K02795	lcs:LCBD_0291
ko:K02793	lcs:LCBD_0293
ko:K01619	lcs:LCBD_0007
ko:K07052	lcs:LCBD_0020
ko:K02004	lcs:LCBD_0024
ko:K07052	lcs:LCBD_0051
ko:K06994	lcs:LCBD_0061
ko:K07457	lcs:LCBD_0162
ko:K06988	lcs:LCBD_0196
ko:K07009	lcs:LCBD_0197
ko:K00088	lcs:LCBD_0206
ko:K07258	lcs:LCBD_0210
ko:K03491	lcs:LCBD_0303
ko:K01258	lcs:LCBD_0305
ko:K10440	lcs:LCBD_0324
ko:K10439	lcs:LCBD_0325
ko:K00852	lcs:LCBD_0326
ko:K00244	lcs:LCBD_0344
ko:K02822	lcs:LCBD_0348
ko:K03475	lcs:LCBD_0349
ko:K03326	lcs:LCBD_0384
ko:K02806	lcs:LCBD_0395
ko:K00854	lcs:LCBD_0402
ko:K02744	lcs:LCBD_0444
ko:K03436	lcs:LCBD_0451
ko:K14234	lcs:LCBD_t57
ko:K08093	lcs:LCBD_0453
ko:K02798	lcs:LCBD_0455
ko:K02799	lcs:LCBD_0455
ko:K02800	lcs:LCBD_0455
ko:K02795	lcs:LCBD_0446
ko:K01977	lcs:LCBD_r07
ko:K01977	lcs:LCBD_r15
ko:K16958	lcs:LCBD_0461
ko:K00226	lcs:LCBD_1929
ko:K15581	lcs:LCBD_2222
ko:K15580	lcs:LCBD_2223
ko:K02356	lcs:LCBD_2226
ko:K00782	lcs:LCBD_2227
ko:K02759	lcs:LCBD_2232
ko:K02761	lcs:LCBD_2236
ko:K07407	lcs:LCBD_2237
ko:K09861	lcs:LCBD_2238
ko:K03581	lcs:LCBD_2240
ko:K09703	lcs:LCBD_2248
ko:K01154	lcs:LCBD_2252
ko:K01154	lcs:LCBD_2254
ko:K03427	lcs:LCBD_2255
ko:K03817	lcs:LCBD_3075
ko:K03924	lcs:LCBD_3077
ko:K03924	lcs:LCBD_3078
ko:K01744	lcs:LCBD_3085
ko:K00948	lcs:LCBD_3118
ko:K00009	lcs:LCBD_3121
ko:K01419	lcs:LCBD_1606
ko:K03667	lcs:LCBD_1607
ko:K08591	lcs:LCBD_1609
ko:K02622	lcs:LCBD_1610
ko:K02621	lcs:LCBD_1611
ko:K00656	lcs:LCBD_1612
ko:K04069	lcs:LCBD_1613
ko:K02003	lcs:LCBD_1620
ko:K00817	lcs:LCBD_1629
ko:K02500	lcs:LCBD_1632
ko:K01814	lcs:LCBD_1633
ko:K02501	lcs:LCBD_1634
ko:K01693	lcs:LCBD_1635
ko:K00765	lcs:LCBD_1637
ko:K02502	lcs:LCBD_1638
ko:K00817	lcs:LCBD_1639
ko:K00077	lcs:LCBD_1645
ko:K09699	lcs:LCBD_1646
ko:K00167	lcs:LCBD_1647
ko:K00166	lcs:LCBD_1648
ko:K00382	lcs:LCBD_1649
ko:K00762	lcs:LCBD_1653
ko:K01591	lcs:LCBD_1654
ko:K01955	lcs:LCBD_1656
ko:K01956	lcs:LCBD_1657
ko:K01465	lcs:LCBD_1658
ko:K03885	lcs:LCBD_2477
ko:K06962	lcs:LCBD_2485
ko:K03218	lcs:LCBD_2486
ko:K11145	lcs:LCBD_2487
ko:K01883	lcs:LCBD_2488
ko:K01807	lcs:LCBD_2495
ko:K04485	lcs:LCBD_2510
ko:K06975	lcs:LCBD_2512
ko:K03549	lcs:LCBD_2519
ko:K01839	lcs:LCBD_2530
ko:K00757	lcs:LCBD_2532
ko:K07040	lcs:LCBD_1878
ko:K09710	lcs:LCBD_1881
ko:K00969	lcs:LCBD_1883
ko:K07574	lcs:LCBD_1884
ko:K07015	lcs:LCBD_1886
ko:K15975	lcs:LCBD_1888
ko:K06999	lcs:LCBD_1889
ko:K06966	lcs:LCBD_1891
ko:K02887	lcs:LCBD_1892
ko:K02916	lcs:LCBD_1893
ko:K02520	lcs:LCBD_1894
ko:K01868	lcs:LCBD_1898
ko:K07738	lcs:LCBD_1902
ko:K00859	lcs:LCBD_1903
ko:K06890	lcs:LCBD_1906
ko:K01924	lcs:LCBD_1907
ko:K03466	lcs:LCBD_1908
ko:K06878	lcs:LCBD_1909
ko:K03439	lcs:LCBD_1912
ko:K02503	lcs:LCBD_1916
ko:K06180	lcs:LCBD_1923
ko:K03402	lcs:LCBD_1924
ko:K01887	lcs:LCBD_1925
ko:K01126	lcs:LCBD_1930
ko:K06885	lcs:LCBD_2754
ko:K03282	lcs:LCBD_2758
ko:K00948	lcs:LCBD_2762
ko:K04042	lcs:LCBD_2763
ko:K02068	lcs:LCBD_2766
ko:K02069	lcs:LCBD_2767
ko:K00919	lcs:LCBD_2769
ko:K02528	lcs:LCBD_2771
ko:K05985	lcs:LCBD_2772
ko:K03424	lcs:LCBD_2773
ko:K02773	lcs:LCBD_2774
ko:K01874	lcs:LCBD_2781
ko:K12410	lcs:LCBD_2787
ko:K01524	lcs:LCBD_2794
ko:K00937	lcs:LCBD_2795
ko:K01524	lcs:LCBD_2796
ko:K03823	lcs:LCBD_2799
ko:K06872	lcs:LCBD_2801
ko:K03744	lcs:LCBD_2802
ko:K01867	lcs:LCBD_2804
ko:K01951	lcs:LCBD_2128
ko:K08659	lcs:LCBD_2132
ko:K03657	lcs:LCBD_2134
ko:K01772	lcs:LCBD_2140
ko:K02003	lcs:LCBD_2143
ko:K03665	lcs:LCBD_2146
ko:K02774	lcs:LCBD_2972
ko:K02773	lcs:LCBD_2973
ko:K03828	lcs:LCBD_2976
ko:K00763	lcs:LCBD_2984
ko:K07106	lcs:LCBD_2990
ko:K03826	lcs:LCBD_3011
ko:K00783	lcs:LCBD_3016
ko:K00426	lcs:LCBD_2378
ko:K00425	lcs:LCBD_2379
ko:K00756	lcs:LCBD_2381
ko:K01246	lcs:LCBD_2387
ko:K03523	lcs:LCBD_2394
ko:K06287	lcs:LCBD_2409
ko:K03572	lcs:LCBD_2410
ko:K03555	lcs:LCBD_2411
ko:K04077	lcs:LCBD_2415
ko:K04078	lcs:LCBD_2416
ko:K02834	lcs:LCBD_1771
ko:K02519	lcs:LCBD_1772
ko:K07742	lcs:LCBD_1774
ko:K02600	lcs:LCBD_1775
ko:K09748	lcs:LCBD_1776
ko:K03763	lcs:LCBD_1777
ko:K01881	lcs:LCBD_1778
ko:K11749	lcs:LCBD_1779
ko:K00981	lcs:LCBD_1780
ko:K00806	lcs:LCBD_1781
ko:K02838	lcs:LCBD_1782
ko:K09903	lcs:LCBD_1783
ko:K02357	lcs:LCBD_1784
ko:K02967	lcs:LCBD_1785
ko:K07461	lcs:LCBD_1787
ko:K00655	lcs:LCBD_1789
ko:K02884	lcs:LCBD_1797
ko:K00554	lcs:LCBD_1798
ko:K02860	lcs:LCBD_1799
ko:K06960	lcs:LCBD_1800
ko:K02959	lcs:LCBD_1801
ko:K03106	lcs:LCBD_1802
ko:K03110	lcs:LCBD_1805
ko:K03529	lcs:LCBD_1806
ko:K03685	lcs:LCBD_1807
ko:K02034	lcs:LCBD_1809
ko:K02078	lcs:LCBD_1813
ko:K03621	lcs:LCBD_1814
ko:K03655	lcs:LCBD_1815
ko:K02902	lcs:LCBD_1818
ko:K01783	lcs:LCBD_1821
ko:K06949	lcs:LCBD_1822
ko:K02996	lcs:LCBD_2649
ko:K02871	lcs:LCBD_2650
ko:K02003	lcs:LCBD_2653
ko:K06173	lcs:LCBD_2656
ko:K02879	lcs:LCBD_2663
ko:K03040	lcs:LCBD_2664
ko:K02948	lcs:LCBD_2665
ko:K02952	lcs:LCBD_2666
ko:K02919	lcs:LCBD_2667
ko:K02518	lcs:LCBD_2668
ko:K03076	lcs:LCBD_2670
ko:K02876	lcs:LCBD_2671
ko:K02907	lcs:LCBD_2672
ko:K02988	lcs:LCBD_2673
ko:K02881	lcs:LCBD_2674
ko:K02933	lcs:LCBD_2675
ko:K02994	lcs:LCBD_2676
ko:K02954	lcs:LCBD_2677
ko:K02931	lcs:LCBD_2678
ko:K02895	lcs:LCBD_2679
ko:K02874	lcs:LCBD_2680
ko:K02961	lcs:LCBD_2681
ko:K02904	lcs:LCBD_2682
ko:K02878	lcs:LCBD_2683
ko:K02982	lcs:LCBD_2684
ko:K02890	lcs:LCBD_2685
ko:K02965	lcs:LCBD_2686
ko:K02886	lcs:LCBD_2687
ko:K02892	lcs:LCBD_2688
ko:K02926	lcs:LCBD_2689
ko:K02906	lcs:LCBD_2690
ko:K02946	lcs:LCBD_2691
ko:K13256	lcs:LCBD_2692
ko:K02355	lcs:LCBD_2695
ko:K02992	lcs:LCBD_2696
ko:K02950	lcs:LCBD_2697
ko:K03046	lcs:LCBD_2700
ko:K03043	lcs:LCBD_2701
ko:K03696	lcs:LCBD_2702
ko:K00763	lcs:LCBD_2002
ko:K03710	lcs:LCBD_2004
ko:K01443	lcs:LCBD_2005
ko:K00286	lcs:LCBD_2006
ko:K03305	lcs:LCBD_2009
ko:K01610	lcs:LCBD_2017
ko:K04759	lcs:LCBD_2019
ko:K04758	lcs:LCBD_2020
ko:K07118	lcs:LCBD_2023
ko:K01875	lcs:LCBD_2028
ko:K01628	lcs:LCBD_2862
ko:K02774	lcs:LCBD_2865
ko:K02773	lcs:LCBD_2866
ko:K02444	lcs:LCBD_2867
ko:K03210	lcs:LCBD_2879
ko:K02747	lcs:LCBD_2881
ko:K02746	lcs:LCBD_2882
ko:K01815	lcs:LCBD_2887
ko:K01625	lcs:LCBD_2889
ko:K00874	lcs:LCBD_2890
ko:K01807	lcs:LCBD_2892
ko:K03975	lcs:LCBD_2896
ko:K01232	lcs:LCBD_2900
ko:K01153	lcs:LCBD_2257
ko:K01193	lcs:LCBD_2266
ko:K00574	lcs:LCBD_2271
ko:K01962	lcs:LCBD_2272
ko:K01963	lcs:LCBD_2273
ko:K01961	lcs:LCBD_2274
ko:K02372	lcs:LCBD_2275
ko:K02160	lcs:LCBD_2276
ko:K09458	lcs:LCBD_2277
ko:K00645	lcs:LCBD_2279
ko:K02078	lcs:LCBD_2281
ko:K00648	lcs:LCBD_2282
ko:K02372	lcs:LCBD_2284
ko:K02003	lcs:LCBD_3134
ko:K08317	lcs:LCBD_3139
ko:K03495	lcs:LCBD_3146
ko:K03650	lcs:LCBD_3147
ko:K03217	lcs:LCBD_3149
ko:K03536	lcs:LCBD_3150
ko:K02914	lcs:LCBD_3151
ko:K02440	lcs:LCBD_p43
ko:K03427	lcs:LCBD_p25
ko:K01153	lcs:LCBD_p26
ko:K00609	lcs:LCBD_1659
ko:K02825	lcs:LCBD_1661
ko:K06180	lcs:LCBD_1662
ko:K03101	lcs:LCBD_1663
ko:K01938	lcs:LCBD_1664
ko:K07078	lcs:LCBD_1667
ko:K06131	lcs:LCBD_1669
ko:K03800	lcs:LCBD_1677
ko:K07444	lcs:LCBD_1680
ko:K05366	lcs:LCBD_1685
ko:K10773	lcs:LCBD_1687
ko:K01893	lcs:LCBD_1689
ko:K01821	lcs:LCBD_1703
ko:K06967	lcs:LCBD_1705
ko:K03086	lcs:LCBD_1707
ko:K01879	lcs:LCBD_1709
ko:K01878	lcs:LCBD_1710
ko:K03584	lcs:LCBD_1713
ko:K02647	lcs:LCBD_2534
ko:K00147	lcs:LCBD_2540
ko:K00931	lcs:LCBD_2541
ko:K09384	lcs:LCBD_2551
ko:K07707	lcs:LCBD_2569
ko:K02003	lcs:LCBD_1937
ko:K01945	lcs:LCBD_1943
ko:K00602	lcs:LCBD_1944
ko:K11175	lcs:LCBD_1945
ko:K01933	lcs:LCBD_1946
ko:K00764	lcs:LCBD_1947
ko:K01952	lcs:LCBD_1948
ko:K01952	lcs:LCBD_1949
ko:K01952	lcs:LCBD_1950
ko:K01923	lcs:LCBD_1951
ko:K01589	lcs:LCBD_1952
ko:K01588	lcs:LCBD_1953
ko:K02837	lcs:LCBD_1961
ko:K03565	lcs:LCBD_1967
ko:K03489	lcs:LCBD_1973
ko:K01223	lcs:LCBD_1974
ko:K02761	lcs:LCBD_1975
ko:K02760	lcs:LCBD_1977
ko:K05847	lcs:LCBD_2811
ko:K06950	lcs:LCBD_2819
ko:K03701	lcs:LCBD_2822
ko:K07150	lcs:LCBD_2839
ko:K00864	lcs:LCBD_2846
ko:K02759	lcs:LCBD_2853
ko:K00067	lcs:LCBD_2152
ko:K01790	lcs:LCBD_2154
ko:K00973	lcs:LCBD_2155
ko:K00942	lcs:LCBD_2167
ko:K01866	lcs:LCBD_2170
ko:K03734	lcs:LCBD_2173
ko:K00688	lcs:LCBD_2176
ko:K00703	lcs:LCBD_2177
ko:K00975	lcs:LCBD_2178
ko:K00975	lcs:LCBD_2179
ko:K00826	lcs:LCBD_2181
ko:K04041	lcs:LCBD_2186
ko:K00067	lcs:LCBD_2197
ko:K00973	lcs:LCBD_2200
ko:K13993	lcs:LCBD_3023
ko:K01940	lcs:LCBD_3036
ko:K01755	lcs:LCBD_3037
ko:K02761	lcs:LCBD_3040
