ko:K12978	ftv:CH67_2111
ko:K00860	ftv:CH67_1382
ko:K02523	ftv:CH67_1387
ko:K02168	ftv:CH67_1441
ko:K02168	ftv:CH67_1443
ko:K12267	ftv:CH67_1444
ko:K07552	ftv:CH67_1446
ko:K18979	ftv:CH67_1449
ko:K18979	ftv:CH67_1450
ko:K09710	ftv:CH67_1451
ko:K03657	ftv:CH67_1454
ko:K03657	ftv:CH67_1456
ko:K01872	ftv:CH67_1457
ko:K01255	ftv:CH67_1459
ko:K00616	ftv:CH67_1460
ko:K06980	ftv:CH67_1466
ko:K03656	ftv:CH67_1467
ko:K00243	ftv:CH67_1468
ko:K07146	ftv:CH67_1469
ko:K03554	ftv:CH67_1470
ko:K07154	ftv:CH67_1478
ko:K03500	ftv:CH67_1484
ko:K03500	ftv:CH67_1486
ko:K01092	ftv:CH67_1487
ko:K06141	ftv:CH67_1489
ko:K09458	ftv:CH67_1492
ko:K02078	ftv:CH67_1493
ko:K00059	ftv:CH67_1494
ko:K00645	ftv:CH67_1495
ko:K03599	ftv:CH67_1551
ko:K02996	ftv:CH67_1552
ko:K02871	ftv:CH67_1553
ko:K08304	ftv:CH67_1555
ko:K03687	ftv:CH67_1556
ko:K04043	ftv:CH67_1557
ko:K03686	ftv:CH67_1558
ko:K06911	ftv:CH67_1560
ko:K01889	ftv:CH67_1564
ko:K01890	ftv:CH67_1565
ko:K09823	ftv:CH67_1566
ko:K06131	ftv:CH67_1570
ko:K06131	ftv:CH67_1571
ko:K03593	ftv:CH67_1574
ko:K01494	ftv:CH67_1576
ko:K16053	ftv:CH67_1575
ko:K03643	ftv:CH67_1578
ko:K01869	ftv:CH67_1579
ko:K07447	ftv:CH67_1583
ko:K07735	ftv:CH67_1584
ko:K03574	ftv:CH67_1585
ko:K03574	ftv:CH67_1586
ko:K02205	ftv:CH67_1591
ko:K03671	ftv:CH67_1595
ko:K09015	ftv:CH67_1599
ko:K09013	ftv:CH67_1600
ko:K09014	ftv:CH67_1601
ko:K03499	ftv:CH67_1603
ko:K00604	ftv:CH67_1660
ko:K12297	ftv:CH67_1662
ko:K07007	ftv:CH67_1668
ko:K02909	ftv:CH67_1680
ko:K01919	ftv:CH67_1681
ko:K03980	ftv:CH67_1682
ko:K07126	ftv:CH67_1683
ko:K06925	ftv:CH67_1684
ko:K11754	ftv:CH67_1685
ko:K01963	ftv:CH67_1686
ko:K00940	ftv:CH67_1687
ko:K01937	ftv:CH67_1688
ko:K07464	ftv:CH67_1696
ko:K09951	ftv:CH67_1697
ko:K15342	ftv:CH67_1699
ko:K00954	ftv:CH67_1706
ko:K13628	ftv:CH67_1708
ko:K11717	ftv:CH67_1709
ko:K01752	ftv:CH67_1710
ko:K04518	ftv:CH67_1712
ko:K12995	ftv:CH67_1827
ko:K01784	ftv:CH67_1828
ko:K01783	ftv:CH67_1830
ko:K06041	ftv:CH67_1831
ko:K09929	ftv:CH67_1833
ko:K09930	ftv:CH67_1835
ko:K09930	ftv:CH67_1836
ko:K00208	ftv:CH67_1841
ko:K06966	ftv:CH67_1842
ko:K03703	ftv:CH67_1847
ko:K03684	ftv:CH67_1848
ko:K09966	ftv:CH67_1849
ko:K02899	ftv:CH67_1851
ko:K02888	ftv:CH67_1852
ko:K00865	ftv:CH67_1853
ko:K00865	ftv:CH67_1855
ko:K01246	ftv:CH67_1854
ko:K01246	ftv:CH67_1856
ko:K03070	ftv:CH67_1857
ko:K03784	ftv:CH67_1859
ko:K01409	ftv:CH67_1
ko:K03046	ftv:CH67_3
ko:K03043	ftv:CH67_4
ko:K02935	ftv:CH67_5
ko:K02864	ftv:CH67_6
ko:K02863	ftv:CH67_7
ko:K02867	ftv:CH67_8
ko:K02601	ftv:CH67_9
ko:K03073	ftv:CH67_10
ko:K02358	ftv:CH67_12
ko:K03442	ftv:CH67_18
ko:K02440	ftv:CH67_20
ko:K00111	ftv:CH67_21
ko:K07645	ftv:CH67_29
ko:K07071	ftv:CH67_28
ko:K00425	ftv:CH67_31
ko:K00425	ftv:CH67_32
ko:K00426	ftv:CH67_33
ko:K06955	ftv:CH67_35
ko:K06955	ftv:CH67_37
ko:K02669	ftv:CH67_38
ko:K02669	ftv:CH67_39
ko:K01681	ftv:CH67_40
ko:K07223	ftv:CH67_41
ko:K03075	ftv:CH67_48
ko:K01803	ftv:CH67_49
ko:K03431	ftv:CH67_50
ko:K00759	ftv:CH67_51
ko:K00658	ftv:CH67_52
ko:K00164	ftv:CH67_53
ko:K00240	ftv:CH67_54
ko:K00239	ftv:CH67_55
ko:K03798	ftv:CH67_1864
ko:K03701	ftv:CH67_1869
ko:K03624	ftv:CH67_1870
ko:K08084	ftv:CH67_1871
ko:K01810	ftv:CH67_1872
ko:K00949	ftv:CH67_1873
ko:K11073	ftv:CH67_1982
ko:K03548	ftv:CH67_1984
ko:K07462	ftv:CH67_1985
ko:K03524	ftv:CH67_1986
ko:K04568	ftv:CH67_1987
ko:K16052	ftv:CH67_1988
ko:K16052	ftv:CH67_1990
ko:K01961	ftv:CH67_1992
ko:K02160	ftv:CH67_1993
ko:K03786	ftv:CH67_1994
ko:K01525	ftv:CH67_1995
ko:K02528	ftv:CH67_1996
ko:K03771	ftv:CH67_1997
ko:K04744	ftv:CH67_1998
ko:K01887	ftv:CH67_1999
ko:K01424	ftv:CH67_2001
ko:K03216	ftv:CH67_2002
ko:K01698	ftv:CH67_2003
ko:K07574	ftv:CH67_2004
ko:K02341	ftv:CH67_2005
ko:K04774	ftv:CH67_2006
ko:K03599	ftv:CH67_2007
ko:K11179	ftv:CH67_2008
ko:K03588	ftv:CH67_2015
ko:K01925	ftv:CH67_2016
ko:K01000	ftv:CH67_2017
ko:K01610	ftv:CH67_2018
ko:K01886	ftv:CH67_2019
ko:K03305	ftv:CH67_2022
ko:K15738	ftv:CH67_2023
ko:K01703	ftv:CH67_163
ko:K03098	ftv:CH67_169
ko:K02340	ftv:CH67_170
ko:K01915	ftv:CH67_171
ko:K01425	ftv:CH67_172
ko:K07052	ftv:CH67_173
ko:K04567	ftv:CH67_175
ko:K02836	ftv:CH67_176
ko:K02343	ftv:CH67_177
ko:K02535	ftv:CH67_178
ko:K03531	ftv:CH67_179
ko:K03590	ftv:CH67_180
ko:K03589	ftv:CH67_181
ko:K01921	ftv:CH67_182
ko:K02945	ftv:CH67_184
ko:K07566	ftv:CH67_185
ko:K02238	ftv:CH67_188
ko:K02238	ftv:CH67_189
ko:K02050	ftv:CH67_192
ko:K02050	ftv:CH67_193
ko:K02221	ftv:CH67_194
ko:K00602	ftv:CH67_203
ko:K01939	ftv:CH67_204
ko:K00760	ftv:CH67_205
ko:K02075	ftv:CH67_208
ko:K02074	ftv:CH67_209
ko:K02077	ftv:CH67_210
ko:K06077	ftv:CH67_213
ko:K03809	ftv:CH67_214
ko:K07058	ftv:CH67_215
ko:K00135	ftv:CH67_272
ko:K01876	ftv:CH67_275
ko:K03837	ftv:CH67_279
ko:K00609	ftv:CH67_283
ko:K01955	ftv:CH67_284
ko:K01956	ftv:CH67_285
ko:K00569	ftv:CH67_288
ko:K01465	ftv:CH67_289
ko:K09941	ftv:CH67_292
ko:K01591	ftv:CH67_301
ko:K00254	ftv:CH67_302
ko:K04517	ftv:CH67_304
ko:K07560	ftv:CH67_305
ko:K01193	ftv:CH67_308
ko:K03834	ftv:CH67_314
ko:K03501	ftv:CH67_316
ko:K06997	ftv:CH67_318
ko:K06186	ftv:CH67_325
ko:K02968	ftv:CH67_326
ko:K00122	ftv:CH67_389
ko:K01649	ftv:CH67_392
ko:K01649	ftv:CH67_393
ko:K00826	ftv:CH67_394
ko:K01006	ftv:CH67_395
ko:K04759	ftv:CH67_397
ko:K01147	ftv:CH67_404
ko:K06999	ftv:CH67_405
ko:K01749	ftv:CH67_406
ko:K06199	ftv:CH67_407
ko:K02050	ftv:CH67_412
ko:K02049	ftv:CH67_413
ko:K02494	ftv:CH67_418
ko:K00919	ftv:CH67_419
ko:K12262	ftv:CH67_425
ko:K03306	ftv:CH67_427
ko:K07220	ftv:CH67_428
ko:K01114	ftv:CH67_429
ko:K01114	ftv:CH67_430
ko:K07160	ftv:CH67_433
ko:K02967	ftv:CH67_502
ko:K02357	ftv:CH67_503
ko:K09903	ftv:CH67_504
ko:K02838	ftv:CH67_505
ko:K00806	ftv:CH67_506
ko:K00981	ftv:CH67_507
ko:K00995	ftv:CH67_509
ko:K02950	ftv:CH67_510
ko:K02992	ftv:CH67_511
ko:K02355	ftv:CH67_512
ko:K02946	ftv:CH67_513
ko:K02906	ftv:CH67_514
ko:K02926	ftv:CH67_515
ko:K02892	ftv:CH67_516
ko:K02886	ftv:CH67_517
ko:K02965	ftv:CH67_518
ko:K02890	ftv:CH67_519
ko:K02982	ftv:CH67_520
ko:K02878	ftv:CH67_521
ko:K02904	ftv:CH67_522
ko:K02961	ftv:CH67_523
ko:K02874	ftv:CH67_524
ko:K02895	ftv:CH67_525
ko:K02931	ftv:CH67_526
ko:K02954	ftv:CH67_527
ko:K02994	ftv:CH67_528
ko:K02933	ftv:CH67_529
ko:K02881	ftv:CH67_530
ko:K02988	ftv:CH67_531
ko:K02907	ftv:CH67_532
ko:K02876	ftv:CH67_533
ko:K03076	ftv:CH67_534
ko:K02919	ftv:CH67_535
ko:K02952	ftv:CH67_536
ko:K02948	ftv:CH67_537
ko:K02986	ftv:CH67_538
ko:K03040	ftv:CH67_539
ko:K02879	ftv:CH67_540
ko:K04079	ftv:CH67_546
ko:K00262	ftv:CH67_549
ko:K01586	ftv:CH67_553
ko:K03527	ftv:CH67_612
ko:K06208	ftv:CH67_613
ko:K17103	ftv:CH67_614
ko:K03562	ftv:CH67_616
ko:K03560	ftv:CH67_617
ko:K03646	ftv:CH67_618
ko:K03641	ftv:CH67_619
ko:K03640	ftv:CH67_621
ko:K14441	ftv:CH67_622
ko:K01669	ftv:CH67_627
ko:K01669	ftv:CH67_628
ko:K06876	ftv:CH67_629
ko:K03453	ftv:CH67_631
ko:K03179	ftv:CH67_643
ko:K03181	ftv:CH67_644
ko:K00989	ftv:CH67_645
ko:K03799	ftv:CH67_649
ko:K03744	ftv:CH67_650
ko:K01534	ftv:CH67_655
ko:K01534	ftv:CH67_657
ko:K00057	ftv:CH67_662
ko:K04485	ftv:CH67_663
ko:K01736	ftv:CH67_666
ko:K07305	ftv:CH67_668
ko:K06168	ftv:CH67_1223
ko:K03545	ftv:CH67_1228
ko:K01358	ftv:CH67_1229
ko:K03544	ftv:CH67_1230
ko:K01338	ftv:CH67_1231
ko:K03530	ftv:CH67_1232
ko:K03770	ftv:CH67_1233
ko:K00791	ftv:CH67_1234
ko:K03666	ftv:CH67_1235
ko:K03665	ftv:CH67_1236
ko:K04088	ftv:CH67_1240
ko:K04087	ftv:CH67_1241
ko:K01104	ftv:CH67_1242
ko:K03978	ftv:CH67_1243
ko:K01733	ftv:CH67_1245
ko:K01687	ftv:CH67_1248
ko:K01687	ftv:CH67_1249
ko:K01652	ftv:CH67_1250
ko:K01652	ftv:CH67_1251
ko:K01653	ftv:CH67_1252
ko:K00053	ftv:CH67_1253
ko:K03723	ftv:CH67_1254
ko:K10773	ftv:CH67_1258
ko:K03616	ftv:CH67_1259
ko:K03675	ftv:CH67_1260
ko:K03305	ftv:CH67_1261
ko:K03305	ftv:CH67_1262
ko:K02217	ftv:CH67_1263
ko:K03644	ftv:CH67_1264
ko:K01159	ftv:CH67_1267
ko:K03550	ftv:CH67_1269
ko:K09760	ftv:CH67_1270
ko:K01590	ftv:CH67_1274
ko:K03652	ftv:CH67_1277
ko:K03773	ftv:CH67_1388
ko:K14058	ftv:CH67_1389
ko:K07107	ftv:CH67_1390
ko:K07259	ftv:CH67_1392
ko:K02970	ftv:CH67_1393
ko:K09117	ftv:CH67_1394
ko:K03086	ftv:CH67_1396
ko:K03885	ftv:CH67_1397
ko:K15922	ftv:CH67_1398
ko:K15922	ftv:CH67_1399
ko:K15922	ftv:CH67_1400
ko:K16210	ftv:CH67_1401
ko:K16210	ftv:CH67_1402
ko:K03801	ftv:CH67_1403
ko:K09158	ftv:CH67_1404
ko:K07258	ftv:CH67_1405
ko:K01507	ftv:CH67_1406
ko:K03270	ftv:CH67_1407
ko:K11719	ftv:CH67_1408
ko:K06861	ftv:CH67_1410
ko:K06173	ftv:CH67_1413
ko:K01951	ftv:CH67_1416
ko:K01662	ftv:CH67_1417
ko:K03551	ftv:CH67_1422
ko:K07727	ftv:CH67_1426
ko:K03305	ftv:CH67_1437
ko:K01442	ftv:CH67_1439
ko:K03437	ftv:CH67_1440
ko:K00648	ftv:CH67_1496
ko:K03621	ftv:CH67_1497
ko:K02911	ftv:CH67_1498
ko:K07040	ftv:CH67_1499
ko:K00615	ftv:CH67_1500
ko:K00134	ftv:CH67_1501
ko:K00927	ftv:CH67_1502
ko:K00873	ftv:CH67_1503
ko:K01624	ftv:CH67_1504
ko:K01194	ftv:CH67_1505
ko:K11901	ftv:CH67_1512
ko:K11900	ftv:CH67_1513
ko:K01697	ftv:CH67_1537
ko:K01442	ftv:CH67_1538
ko:K03650	ftv:CH67_1543
ko:K05808	ftv:CH67_1545
ko:K02806	ftv:CH67_1546
ko:K02533	ftv:CH67_1547
ko:K03470	ftv:CH67_1548
ko:K03600	ftv:CH67_1549
ko:K02518	ftv:CH67_1607
ko:K07090	ftv:CH67_1608
ko:K03106	ftv:CH67_1610
ko:K01626	ftv:CH67_1611
ko:K06987	ftv:CH67_1616
ko:K01142	ftv:CH67_1617
ko:K00383	ftv:CH67_1621
ko:K03305	ftv:CH67_1625
ko:K11927	ftv:CH67_1624
ko:K01495	ftv:CH67_1626
ko:K01658	ftv:CH67_1635
ko:K03342	ftv:CH67_1636
ko:K01633	ftv:CH67_1638
ko:K13941	ftv:CH67_1639
ko:K00833	ftv:CH67_1645
ko:K01012	ftv:CH67_1646
ko:K00652	ftv:CH67_1647
ko:K02169	ftv:CH67_1648
ko:K01935	ftv:CH67_1649
ko:K03524	ftv:CH67_1650
ko:K00845	ftv:CH67_1651
ko:K01574	ftv:CH67_1654
ko:K00019	ftv:CH67_1656
ko:K01207	ftv:CH67_1657
ko:K01845	ftv:CH67_1658
ko:K01920	ftv:CH67_1659
ko:K01775	ftv:CH67_1715
ko:K09799	ftv:CH67_1721
ko:K01079	ftv:CH67_1720
ko:K01079	ftv:CH67_1722
ko:K03305	ftv:CH67_1723
ko:K03305	ftv:CH67_1724
ko:K01879	ftv:CH67_1729
ko:K03424	ftv:CH67_1730
ko:K03629	ftv:CH67_1731
ko:K01895	ftv:CH67_1735
ko:K01895	ftv:CH67_1736
ko:K00963	ftv:CH67_1737
ko:K02970	ftv:CH67_1742
ko:K03704	ftv:CH67_1745
ko:K04744	ftv:CH67_1761
ko:K04762	ftv:CH67_1762
ko:K00088	ftv:CH67_1874
ko:K01255	ftv:CH67_1875
ko:K07091	ftv:CH67_1876
ko:K11720	ftv:CH67_1877
ko:K07263	ftv:CH67_1878
ko:K08316	ftv:CH67_1880
ko:K06169	ftv:CH67_1882
ko:K00757	ftv:CH67_1883
ko:K01489	ftv:CH67_1884
ko:K15633	ftv:CH67_1887
ko:K01875	ftv:CH67_1888
ko:K00847	ftv:CH67_1889
ko:K16013	ftv:CH67_1893
ko:K16012	ftv:CH67_1894
ko:K11103	ftv:CH67_1895
ko:K03321	ftv:CH67_1897
ko:K01129	ftv:CH67_1899
ko:K03782	ftv:CH67_1901
ko:K07259	ftv:CH67_1906
ko:K02445	ftv:CH67_1907
ko:K01126	ftv:CH67_1908
ko:K01993	ftv:CH67_1909
ko:K01992	ftv:CH67_1911
ko:K01433	ftv:CH67_1915
ko:K01433	ftv:CH67_1916
ko:K00761	ftv:CH67_1917
ko:K00639	ftv:CH67_1919
ko:K00060	ftv:CH67_1920
ko:K00991	ftv:CH67_1922
ko:K05589	ftv:CH67_1923
ko:K01689	ftv:CH67_1924
ko:K03811	ftv:CH67_1926
ko:K04754	ftv:CH67_2041
ko:K00568	ftv:CH67_2042
ko:K00864	ftv:CH67_2049
ko:K15583	ftv:CH67_2054
ko:K15582	ftv:CH67_2055
ko:K15582	ftv:CH67_2056
ko:K15581	ftv:CH67_2057
ko:K15581	ftv:CH67_2058
ko:K15580	ftv:CH67_2060
ko:K03657	ftv:CH67_2062
ko:K03110	ftv:CH67_2063
ko:K02837	ftv:CH67_2065
ko:K00943	ftv:CH67_2066
ko:K11535	ftv:CH67_2067
ko:K03317	ftv:CH67_2068
ko:K01619	ftv:CH67_2069
ko:K01839	ftv:CH67_2070
ko:K03525	ftv:CH67_2071
ko:K00912	ftv:CH67_2073
ko:K11085	ftv:CH67_2074
ko:K00974	ftv:CH67_2075
ko:K03611	ftv:CH67_2076
ko:K03585	ftv:CH67_2077
ko:K18138	ftv:CH67_2078
ko:K08311	ftv:CH67_2143
ko:K04763	ftv:CH67_2148
ko:K02884	ftv:CH67_2149
ko:K00554	ftv:CH67_2150
ko:K02860	ftv:CH67_2151
ko:K02959	ftv:CH67_2152
ko:K00789	ftv:CH67_2153
ko:K00242	ftv:CH67_56
ko:K00241	ftv:CH67_57
ko:K01647	ftv:CH67_58
ko:K08218	ftv:CH67_59
ko:K04564	ftv:CH67_60
ko:K07390	ftv:CH67_61
ko:K02114	ftv:CH67_63
ko:K02112	ftv:CH67_64
ko:K02115	ftv:CH67_65
ko:K02111	ftv:CH67_66
ko:K02113	ftv:CH67_67
ko:K02109	ftv:CH67_68
ko:K02110	ftv:CH67_69
ko:K02108	ftv:CH67_70
ko:K06179	ftv:CH67_73
ko:K06916	ftv:CH67_74
ko:K01892	ftv:CH67_76
ko:K02834	ftv:CH67_77
ko:K02519	ftv:CH67_78
ko:K02600	ftv:CH67_79
ko:K09748	ftv:CH67_80
ko:K01599	ftv:CH67_82
ko:K07391	ftv:CH67_84
ko:K09806	ftv:CH67_87
ko:K00343	ftv:CH67_88
ko:K00342	ftv:CH67_89
ko:K00341	ftv:CH67_90
ko:K00340	ftv:CH67_91
ko:K00339	ftv:CH67_92
ko:K00338	ftv:CH67_93
ko:K00337	ftv:CH67_94
ko:K00336	ftv:CH67_95
ko:K00335	ftv:CH67_96
ko:K00334	ftv:CH67_97
ko:K00333	ftv:CH67_98
ko:K00332	ftv:CH67_99
ko:K00331	ftv:CH67_100
ko:K00330	ftv:CH67_101
ko:K03711	ftv:CH67_102
ko:K01586	ftv:CH67_105
ko:K02434	ftv:CH67_111
ko:K02433	ftv:CH67_112
ko:K02435	ftv:CH67_113
ko:K01756	ftv:CH67_120
ko:K01952	ftv:CH67_130
ko:K00764	ftv:CH67_131
ko:K01580	ftv:CH67_133
ko:K06133	ftv:CH67_134
ko:K12340	ftv:CH67_135
ko:K00573	ftv:CH67_136
ko:K08303	ftv:CH67_137
ko:K18552	ftv:CH67_138
ko:K02471	ftv:CH67_141
ko:K03979	ftv:CH67_144
ko:K07667	ftv:CH67_149
ko:K07646	ftv:CH67_150
ko:K07646	ftv:CH67_151
ko:K01548	ftv:CH67_152
ko:K01547	ftv:CH67_153
ko:K01547	ftv:CH67_154
ko:K01546	ftv:CH67_155
ko:K00122	ftv:CH67_157
ko:K00052	ftv:CH67_161
ko:K04066	ftv:CH67_217
ko:K06895	ftv:CH67_227
ko:K06895	ftv:CH67_228
ko:K05596	ftv:CH67_230
ko:K05596	ftv:CH67_231
ko:K01256	ftv:CH67_236
ko:K13993	ftv:CH67_238
ko:K13498	ftv:CH67_237
ko:K07304	ftv:CH67_240
ko:K00766	ftv:CH67_244
ko:K01658	ftv:CH67_245
ko:K01657	ftv:CH67_246
ko:K03720	ftv:CH67_247
ko:K08301	ftv:CH67_250
ko:K02313	ftv:CH67_251
ko:K02338	ftv:CH67_253
ko:K03316	ftv:CH67_256
ko:K04773	ftv:CH67_259
ko:K01011	ftv:CH67_261
ko:K03071	ftv:CH67_262
ko:K03565	ftv:CH67_264
ko:K03111	ftv:CH67_265
ko:K00925	ftv:CH67_266
ko:K13788	ftv:CH67_267
ko:K00135	ftv:CH67_268
ko:K00135	ftv:CH67_270
ko:K03596	ftv:CH67_327
ko:K00566	ftv:CH67_328
ko:K01462	ftv:CH67_330
ko:K00794	ftv:CH67_331
ko:K14652	ftv:CH67_332
ko:K00793	ftv:CH67_333
ko:K11752	ftv:CH67_334
ko:K12262	ftv:CH67_339
ko:K03313	ftv:CH67_342
ko:K00655	ftv:CH67_344
ko:K00655	ftv:CH67_345
ko:K05524	ftv:CH67_346
ko:K08289	ftv:CH67_349
ko:K01183	ftv:CH67_350
ko:K03695	ftv:CH67_351
ko:K03811	ftv:CH67_352
ko:K03811	ftv:CH67_353
ko:K01695	ftv:CH67_355
ko:K01696	ftv:CH67_356
ko:K01299	ftv:CH67_357
ko:K03281	ftv:CH67_358
ko:K03811	ftv:CH67_362
ko:K11901	ftv:CH67_368
ko:K11900	ftv:CH67_369
ko:K13288	ftv:CH67_440
ko:K02356	ftv:CH67_441
ko:K02655	ftv:CH67_442
ko:K02517	ftv:CH67_443
ko:K02517	ftv:CH67_444
ko:K03217	ftv:CH67_445
ko:K03536	ftv:CH67_446
ko:K02914	ftv:CH67_447
ko:K00014	ftv:CH67_449
ko:K01924	ftv:CH67_450
ko:K07056	ftv:CH67_451
ko:K07015	ftv:CH67_454
ko:K01713	ftv:CH67_462
ko:K00426	ftv:CH67_464
ko:K00425	ftv:CH67_465
ko:K02297	ftv:CH67_467
ko:K02298	ftv:CH67_468
ko:K02299	ftv:CH67_469
ko:K02300	ftv:CH67_470
ko:K02536	ftv:CH67_472
ko:K00868	ftv:CH67_474
ko:K03924	ftv:CH67_476
ko:K07114	ftv:CH67_479
ko:K07114	ftv:CH67_480
ko:K07114	ftv:CH67_481
ko:K01304	ftv:CH67_483
ko:K02339	ftv:CH67_485
ko:K01873	ftv:CH67_486
ko:K00101	ftv:CH67_489
ko:K10679	ftv:CH67_491
ko:K01679	ftv:CH67_493
ko:K01885	ftv:CH67_494
ko:K00567	ftv:CH67_557
ko:K05516	ftv:CH67_564
ko:K03834	ftv:CH67_565
ko:K00951	ftv:CH67_567
ko:K15984	ftv:CH67_571
ko:K03733	ftv:CH67_572
ko:K03071	ftv:CH67_576
ko:K03555	ftv:CH67_577
ko:K01962	ftv:CH67_578
ko:K07106	ftv:CH67_582
ko:K03316	ftv:CH67_588
ko:K01867	ftv:CH67_590
ko:K00859	ftv:CH67_593
ko:K00163	ftv:CH67_595
ko:K00627	ftv:CH67_596
ko:K00382	ftv:CH67_597
ko:K03574	ftv:CH67_600
ko:K00537	ftv:CH67_601
ko:K06901	ftv:CH67_604
ko:K09758	ftv:CH67_605
ko:K04096	ftv:CH67_608
ko:K03774	ftv:CH67_611
