ko:K19744	paec:M802_3986
ko:K17060	paec:M802_1373
ko:K05597	paec:M802_1374
ko:K10004	paec:M802_1376
ko:K10002	paec:M802_1377
ko:K10003	paec:M802_1378
ko:K10001	paec:M802_1379
ko:K03088	paec:M802_1388
ko:K04750	paec:M802_1390
ko:K11939	paec:M802_1398
ko:K03327	paec:M802_1397
ko:K03088	paec:M802_1400
ko:K02014	paec:M802_1402
ko:K04095	paec:M802_1403
ko:K03449	paec:M802_1668
ko:K00074	paec:M802_1670
ko:K06446	paec:M802_1673
ko:K01545	paec:M802_1674
ko:K01546	paec:M802_1675
ko:K01547	paec:M802_1676
ko:K01548	paec:M802_1677
ko:K07646	paec:M802_1678
ko:K07667	paec:M802_1679
ko:K01425	paec:M802_1680
ko:K07001	paec:M802_1682
ko:K01008	paec:M802_1684
ko:K06917	paec:M802_1686
ko:K03406	paec:M802_1690
ko:K03453	paec:M802_1693
ko:K05782	paec:M802_1694
ko:K00799	paec:M802_1698
ko:K11910	paec:M802_1699
ko:K11901	paec:M802_1700
ko:K11900	paec:M802_1701
ko:K11905	paec:M802_1702
ko:K11896	paec:M802_1703
ko:K11895	paec:M802_1704
ko:K11907	paec:M802_1705
ko:K11906	paec:M802_1709
ko:K11893	paec:M802_1710
ko:K11892	paec:M802_1711
ko:K11891	paec:M802_1712
ko:K11915	paec:M802_1713
ko:K06996	paec:M802_1715
ko:K01495	paec:M802_1717
ko:K07320	paec:M802_1721
ko:K07395	paec:M802_1777
ko:K07088	paec:M802_1779
ko:K00626	paec:M802_1781
ko:K01782	paec:M802_1782
ko:K01692	paec:M802_1793
ko:K06975	paec:M802_1794
ko:K01626	paec:M802_1795
ko:K00077	paec:M802_1797
ko:K13634	paec:M802_1799
ko:K00390	paec:M802_1801
ko:K02203	paec:M802_1802
ko:K01665	paec:M802_1803
ko:K03556	paec:M802_1804
ko:K03556	paec:M802_1805
ko:K09773	paec:M802_1814
ko:K02553	paec:M802_1817
ko:K16074	paec:M802_1818
ko:K03088	paec:M802_1821
ko:K03286	paec:M802_1822
ko:K02303	paec:M802_1823
ko:K00372	paec:M802_1824
ko:K00363	paec:M802_1825
ko:K03406	paec:M802_2633
ko:K03321	paec:M802_2635
ko:K00598	paec:M802_2636
ko:K17218	paec:M802_2638
ko:K03406	paec:M802_2647
ko:K00496	paec:M802_2648
ko:K07078	paec:M802_2649
ko:K03719	paec:M802_2651
ko:K00453	paec:M802_2653
ko:K03923	paec:M802_2654
ko:K03607	paec:M802_2657
ko:K07679	paec:M802_2658
ko:K03703	paec:M802_2661
ko:K02014	paec:M802_2666
ko:K11073	paec:M802_2668
ko:K15553	paec:M802_2670
ko:K15553	paec:M802_2671
ko:K15553	paec:M802_2672
ko:K04091	paec:M802_2674
ko:K02051	paec:M802_2675
ko:K04091	paec:M802_2676
ko:K07235	paec:M802_2682
ko:K07236	paec:M802_2683
ko:K07237	paec:M802_2684
ko:K11179	paec:M802_2685
ko:K07393	paec:M802_2687
ko:K02302	paec:M802_2688
ko:K01875	paec:M802_2689
ko:K07478	paec:M802_2690
ko:K03634	paec:M802_2691
ko:K03466	paec:M802_2692
ko:K00384	paec:M802_2693
ko:K00684	paec:M802_2694
ko:K02518	paec:M802_2696
ko:K03694	paec:M802_2697
ko:K06891	paec:M802_2698
ko:K03704	paec:M802_2699
ko:K00031	paec:M802_2700
ko:K00031	paec:M802_2701
ko:K00566	paec:M802_2703
ko:K07153	paec:M802_2704
ko:K01756	paec:M802_2706
ko:K01637	paec:M802_2711
ko:K07093	paec:M802_2712
ko:K00330	paec:M802_2714
ko:K00331	paec:M802_2715
ko:K13378	paec:M802_2716
ko:K00334	paec:M802_2717
ko:K00337	paec:M802_2720
ko:K00338	paec:M802_2721
ko:K00339	paec:M802_2722
ko:K00340	paec:M802_2723
ko:K00341	paec:M802_2724
ko:K00342	paec:M802_2725
ko:K00343	paec:M802_2726
ko:K03406	paec:M802_2729
ko:K07084	paec:M802_2730
ko:K03406	paec:M802_2731
ko:K07234	paec:M802_2739
ko:K05916	paec:M802_2742
ko:K12266	paec:M802_2743
ko:K01737	paec:M802_2744
ko:K02459	paec:M802_2750
ko:K02458	paec:M802_2751
ko:K02456	paec:M802_2752
ko:K02456	paec:M802_2753
ko:K02455	paec:M802_2754
ko:K02454	paec:M802_2755
ko:K01061	paec:M802_2760
ko:K07017	paec:M802_2768
ko:K03885	paec:M802_2770
ko:K03671	paec:M802_2773
ko:K09989	paec:M802_2784
ko:K01738	paec:M802_2788
ko:K11073	paec:M802_2790
ko:K05524	paec:M802_2794
ko:K09805	paec:M802_2810
ko:K01153	paec:M802_2812
ko:K01154	paec:M802_2814
ko:K03427	paec:M802_2815
ko:K04764	paec:M802_2819
ko:K01890	paec:M802_2820
ko:K01889	paec:M802_2821
ko:K02887	paec:M802_2822
ko:K02916	paec:M802_2823
ko:K02520	paec:M802_2824
ko:K01868	paec:M802_2825
ko:K01265	paec:M802_2832
ko:K01150	paec:M802_2834
ko:K07058	paec:M802_2839
ko:K08276	paec:M802_2845
ko:K06995	paec:M802_2852
ko:K07223	paec:M802_2857
ko:K03574	paec:M802_2862
ko:K09471	paec:M802_2872
ko:K07727	paec:M802_2881
ko:K01295	paec:M802_2883
ko:K05539	paec:M802_2892
ko:K00616	paec:M802_2893
ko:K04754	paec:M802_2897
ko:K07107	paec:M802_2898
ko:K06879	paec:M802_2903
ko:K07644	paec:M802_2907
ko:K01992	paec:M802_2908
ko:K01990	paec:M802_2909
ko:K06445	paec:M802_2912
ko:K06923	paec:M802_2922
ko:K00432	paec:M802_2925
ko:K07305	paec:M802_2926
ko:K14260	paec:M802_2927
ko:K03799	paec:M802_2929
ko:K00569	paec:M802_2931
ko:K03543	paec:M802_2935
ko:K05592	paec:M802_2939
ko:K01626	paec:M802_2942
ko:K09927	paec:M802_2943
ko:K07090	paec:M802_2946
ko:K02356	paec:M802_2950
ko:K10804	paec:M802_2955
ko:K02003	paec:M802_2956
ko:K02004	paec:M802_2957
ko:K04760	paec:M802_2958
ko:K01975	paec:M802_2960
ko:K15977	paec:M802_2963
ko:K03424	paec:M802_2966
ko:K03924	paec:M802_2975
ko:K01591	paec:M802_2976
ko:K07052	paec:M802_2985
ko:K13774	paec:M802_2987
ko:K13778	paec:M802_2988
ko:K11731	paec:M802_2989
ko:K13779	paec:M802_2990
ko:K13777	paec:M802_2991
ko:K13776	paec:M802_2993
ko:K03088	paec:M802_2996
ko:K02030	paec:M802_3002
ko:K13541	paec:M802_3003
ko:K03394	paec:M802_3004
ko:K06042	paec:M802_3005
ko:K02229	paec:M802_3006
ko:K00595	paec:M802_3007
ko:K02188	paec:M802_3008
ko:K05895	paec:M802_3009
ko:K02014	paec:M802_3011
ko:K02013	paec:M802_3012
ko:K02016	paec:M802_3013
ko:K02015	paec:M802_3014
ko:K03406	paec:M802_3020
ko:K10014	paec:M802_3023
ko:K10016	paec:M802_3024
ko:K10015	paec:M802_3025
ko:K10017	paec:M802_3026
ko:K10680	paec:M802_3032
ko:K13580	paec:M802_3042
ko:K03405	paec:M802_3043
ko:K01626	paec:M802_3044
ko:K02230	paec:M802_3045
ko:K02234	paec:M802_3046
ko:K02189	paec:M802_3049
ko:K05936	paec:M802_3050
ko:K00209	paec:M802_3052
ko:K03522	paec:M802_3053
ko:K03521	paec:M802_3054
ko:K00311	paec:M802_3055
ko:K09986	paec:M802_3056
ko:K03424	paec:M802_3061
ko:K02676	paec:M802_3062
ko:K02341	paec:M802_3063
ko:K00943	paec:M802_3064
ko:K07082	paec:M802_3065
ko:K02619	paec:M802_3066
ko:K09458	paec:M802_3067
ko:K02078	paec:M802_3068
ko:K00059	paec:M802_3069
ko:K00645	paec:M802_3070
ko:K03621	paec:M802_3071
ko:K02911	paec:M802_3072
ko:K07040	paec:M802_3073
ko:K04773	paec:M802_3075
ko:K01091	paec:M802_3076
ko:K06179	paec:M802_3077
ko:K08300	paec:M802_3078
ko:K00075	paec:M802_3079
ko:K01104	paec:M802_3080
ko:K00979	paec:M802_3081
ko:K09791	paec:M802_3082
ko:K00912	paec:M802_3083
ko:K03559	paec:M802_3084
ko:K03561	paec:M802_3085
ko:K02238	paec:M802_3086
ko:K09928	paec:M802_3087
ko:K09808	paec:M802_3088
ko:K09810	paec:M802_3089
ko:K09808	paec:M802_3090
ko:K01126	paec:M802_3093
ko:K00322	paec:M802_3094
ko:K05952	paec:M802_3095
ko:K03734	paec:M802_3096
ko:K00351	paec:M802_3097
ko:K00350	paec:M802_3098
ko:K00349	paec:M802_3099
ko:K00348	paec:M802_3100
ko:K00347	paec:M802_3101
ko:K00346	paec:M802_3102
ko:K11734	paec:M802_3103
ko:K00134	paec:M802_3104
ko:K03723	paec:M802_3105
ko:K01207	paec:M802_3108
ko:K01356	paec:M802_3110
ko:K03168	paec:M802_3114
ko:K01825	paec:M802_3117
ko:K06149	paec:M802_3120
ko:K15738	paec:M802_3122
ko:K08309	paec:M802_3123
ko:K07140	paec:M802_3125
ko:K00111	paec:M802_3128
ko:K00803	paec:M802_3129
ko:K03750	paec:M802_3131
ko:K03638	paec:M802_3132
ko:K03752	paec:M802_3133
ko:K00799	paec:M802_3139
ko:K07006	paec:M802_3140
ko:K03320	paec:M802_3143
ko:K01129	paec:M802_3147
ko:K07690	paec:M802_3149
ko:K09923	paec:M802_3150
ko:K07259	paec:M802_3151
ko:K12297	paec:M802_3152
ko:K00254	paec:M802_3153
ko:K15371	paec:M802_3172
ko:K03924	paec:M802_3174
ko:K03602	paec:M802_4169
ko:K13789	paec:M802_4170
ko:K01662	paec:M802_4171
ko:K01497	paec:M802_4174
ko:K06985	paec:M802_4175
ko:K01095	paec:M802_4177
ko:K00946	paec:M802_4178
ko:K03625	paec:M802_4179
ko:K00794	paec:M802_4180
ko:K14652	paec:M802_4181
ko:K00793	paec:M802_4182
ko:K11752	paec:M802_4183
ko:K07738	paec:M802_4184
ko:K05838	paec:M802_4188
ko:K02003	paec:M802_4191
ko:K02004	paec:M802_4192
ko:K09950	paec:M802_4193
ko:K07275	paec:M802_4194
ko:K01784	paec:M802_4195
ko:K00067	paec:M802_4197
ko:K07729	paec:M802_4205
ko:K07687	paec:M802_4208
ko:K07347	paec:M802_4212
ko:K07345	paec:M802_4214
ko:K01845	paec:M802_4216
ko:K00059	paec:M802_4217
ko:K09956	paec:M802_4218
ko:K00483	paec:M802_4219
ko:K00484	paec:M802_4220
ko:K00004	paec:M802_4225
ko:K07267	paec:M802_4227
ko:K15977	paec:M802_4233
ko:K09929	paec:M802_4234
ko:K09930	paec:M802_4235
ko:K08159	paec:M802_4243
ko:K00657	paec:M802_4244
ko:K06966	paec:M802_4245
ko:K02508	paec:M802_4250
ko:K05921	paec:M802_4251
ko:K05921	paec:M802_4252
ko:K00151	paec:M802_4253
ko:K00455	paec:M802_4254
ko:K01826	paec:M802_4255
ko:K02509	paec:M802_4257
ko:K02510	paec:M802_4258
ko:K00381	paec:M802_4260
ko:K00404	paec:M802_4263
ko:K07552	paec:M802_4266
ko:K01866	paec:M802_4268
ko:K13408	paec:M802_4272
ko:K13409	paec:M802_4273
ko:K12340	paec:M802_4274
ko:K03366	paec:M802_4278
ko:K00627	paec:M802_4282
ko:K00004	paec:M802_4283
ko:K07184	paec:M802_4284
ko:K02013	paec:M802_4288
ko:K02016	paec:M802_4289
ko:K02015	paec:M802_4290
ko:K02015	paec:M802_4291
ko:K01426	paec:M802_4293
ko:K00375	paec:M802_4295
ko:K06222	paec:M802_4297
ko:K16088	paec:M802_4298
ko:K05520	paec:M802_4301
ko:K01142	paec:M802_4302
ko:K03769	paec:M802_4306
ko:K01652	paec:M802_4310
ko:K07734	paec:M802_4312
ko:K08368	paec:M802_4317
ko:K01714	paec:M802_4318
ko:K02028	paec:M802_4322
ko:K02029	paec:M802_4323
ko:K02029	paec:M802_4324
ko:K02933	paec:M802_4378
ko:K02994	paec:M802_4379
ko:K02954	paec:M802_4380
ko:K02931	paec:M802_4381
ko:K02895	paec:M802_4382
ko:K02874	paec:M802_4383
ko:K02961	paec:M802_4384
ko:K02904	paec:M802_4385
ko:K02878	paec:M802_4386
ko:K02982	paec:M802_4387
ko:K02890	paec:M802_4388
ko:K02965	paec:M802_4389
ko:K02886	paec:M802_4390
ko:K02892	paec:M802_4391
ko:K02926	paec:M802_4392
ko:K02906	paec:M802_4393
ko:K02946	paec:M802_4394
ko:K02358	paec:M802_4395
ko:K02355	paec:M802_4396
ko:K02992	paec:M802_4397
ko:K02950	paec:M802_4398
ko:K03046	paec:M802_4399
ko:K03043	paec:M802_4400
ko:K02935	paec:M802_4401
ko:K02864	paec:M802_4402
ko:K02863	paec:M802_4403
ko:K02867	paec:M802_4404
ko:K02601	paec:M802_4405
ko:K02358	paec:M802_4408
ko:K03525	paec:M802_4413
ko:K03524	paec:M802_4414
ko:K03547	paec:M802_4420
ko:K03581	paec:M802_4422
ko:K03582	paec:M802_4423
ko:K03583	paec:M802_4424
ko:K07240	paec:M802_4429
ko:K03406	paec:M802_4428
ko:K16322	paec:M802_4431
ko:K07490	paec:M802_4497
ko:K04759	paec:M802_4498
ko:K04758	paec:M802_4499
ko:K05596	paec:M802_4504
ko:K09964	paec:M802_4506
ko:K06895	paec:M802_4507
ko:K04564	paec:M802_4508
ko:K03744	paec:M802_4511
ko:K07231	paec:M802_4512
ko:K07338	paec:M802_4514
ko:K09947	paec:M802_4515
ko:K03585	paec:M802_4516
ko:K18138	paec:M802_4517
ko:K00763	paec:M802_4518
ko:K06199	paec:M802_4526
ko:K04077	paec:M802_4528
ko:K04078	paec:M802_4529
ko:K07113	paec:M802_4530
ko:K07226	paec:M802_4531
ko:K00059	paec:M802_4532
ko:K07443	paec:M802_4535
ko:K08218	paec:M802_4536
ko:K03442	paec:M802_4537
ko:K09767	paec:M802_4538
ko:K00077	paec:M802_4540
ko:K12368	paec:M802_4644
ko:K12368	paec:M802_4646
ko:K12369	paec:M802_4647
ko:K12370	paec:M802_4648
ko:K12371	paec:M802_4649
ko:K12372	paec:M802_4650
ko:K03719	paec:M802_4652
ko:K07160	paec:M802_4655
ko:K00380	paec:M802_4657
ko:K16090	paec:M802_4658
ko:K07126	paec:M802_4660
ko:K07032	paec:M802_4662
ko:K01581	paec:M802_4663
ko:K03406	paec:M802_4664
ko:K03807	paec:M802_4665
ko:K03806	paec:M802_4666
ko:K00767	paec:M802_4668
ko:K02652	paec:M802_4670
ko:K02653	paec:M802_4671
ko:K02654	paec:M802_4672
ko:K00859	paec:M802_4673
ko:K09862	paec:M802_4674
ko:K03885	paec:M802_4682
ko:K06916	paec:M802_4683
ko:K03695	paec:M802_4689
ko:K05810	paec:M802_4690
ko:K06180	paec:M802_4691
ko:K05807	paec:M802_4692
ko:K06950	paec:M802_4693
ko:K02668	paec:M802_4694
ko:K02667	paec:M802_4695
ko:K03153	paec:M802_4696
ko:K02030	paec:M802_4325
ko:K00666	paec:M802_4328
ko:K01921	paec:M802_4331
ko:K00459	paec:M802_4332
ko:K18306	paec:M802_4336
ko:K18307	paec:M802_4337
ko:K01626	paec:M802_4342
ko:K13063	paec:M802_4344
ko:K06998	paec:M802_4345
ko:K16088	paec:M802_4351
ko:K06147	paec:M802_4352
ko:K12243	paec:M802_4357
ko:K04782	paec:M802_4360
ko:K03701	paec:M802_4364
ko:K03594	paec:M802_4365
ko:K03781	paec:M802_4366
ko:K02879	paec:M802_4367
ko:K03040	paec:M802_4368
ko:K02986	paec:M802_4369
ko:K02948	paec:M802_4370
ko:K02952	paec:M802_4371
ko:K02919	paec:M802_4372
ko:K03076	paec:M802_4373
ko:K02876	paec:M802_4374
ko:K02907	paec:M802_4375
ko:K02988	paec:M802_4376
ko:K02881	paec:M802_4377
ko:K02278	paec:M802_4434
ko:K12511	paec:M802_4439
ko:K12510	paec:M802_4440
ko:K02283	paec:M802_4441
ko:K02282	paec:M802_4442
ko:K02280	paec:M802_4443
ko:K02279	paec:M802_4444
ko:K02651	paec:M802_4445
ko:K03406	paec:M802_4446
ko:K06915	paec:M802_4447
ko:K03406	paec:M802_4448
ko:K03406	paec:M802_4449
ko:K14335	paec:M802_4450
ko:K06986	paec:M802_4451
ko:K01433	paec:M802_4454
ko:K01141	paec:M802_4456
ko:K03924	paec:M802_4462
ko:K14055	paec:M802_4468
ko:K00873	paec:M802_4469
ko:K01676	paec:M802_4473
ko:K03322	paec:M802_4474
ko:K05520	paec:M802_4476
ko:K01426	paec:M802_4482
ko:K00798	paec:M802_4542
ko:K03574	paec:M802_4543
ko:K00620	paec:M802_4545
ko:K03070	paec:M802_4546
ko:K02535	paec:M802_4549
ko:K03531	paec:M802_4550
ko:K03590	paec:M802_4551
ko:K03589	paec:M802_4552
ko:K01921	paec:M802_4553
ko:K01924	paec:M802_4554
ko:K02563	paec:M802_4555
ko:K03588	paec:M802_4556
ko:K01925	paec:M802_4557
ko:K01000	paec:M802_4558
ko:K01929	paec:M802_4559
ko:K01928	paec:M802_4560
ko:K03587	paec:M802_4561
ko:K03586	paec:M802_4562
ko:K03438	paec:M802_4563
ko:K03925	paec:M802_4564
ko:K07056	paec:M802_4565
ko:K07121	paec:M802_4566
ko:K07460	paec:M802_4567
ko:K03271	paec:M802_4568
ko:K03600	paec:M802_4570
ko:K03599	paec:M802_4571
ko:K00413	paec:M802_4572
ko:K00412	paec:M802_4573
ko:K00411	paec:M802_4574
ko:K02996	paec:M802_4575
ko:K02871	paec:M802_4576
ko:K06916	paec:M802_4581
ko:K01867	paec:M802_4582
ko:K07018	paec:M802_4583
ko:K09908	paec:M802_4584
ko:K00955	paec:M802_4585
ko:K00957	paec:M802_4586
ko:K08305	paec:M802_4588
ko:K04691	paec:M802_4589
ko:K00817	paec:M802_4590
ko:K00013	paec:M802_4591
ko:K08084	paec:M802_4697
ko:K00765	paec:M802_4592
ko:K00790	paec:M802_4593
ko:K07122	paec:M802_4595
ko:K07323	paec:M802_4596
ko:K02067	paec:M802_4597
ko:K02066	paec:M802_4598
ko:K02065	paec:M802_4599
ko:K06041	paec:M802_4601
ko:K03270	paec:M802_4602
ko:K11719	paec:M802_4603
ko:K09774	paec:M802_4604
ko:K06861	paec:M802_4605
ko:K03092	paec:M802_4606
ko:K05808	paec:M802_4607
ko:K02806	paec:M802_4608
ko:K06958	paec:M802_4609
ko:K11189	paec:M802_4610
ko:K07238	paec:M802_4611
ko:K04564	paec:M802_4612
ko:K01679	paec:M802_4614
ko:K03592	paec:M802_4616
ko:K09889	paec:M802_4617
ko:K03568	paec:M802_4618
ko:K08301	paec:M802_4621
ko:K06287	paec:M802_4622
ko:K03571	paec:M802_4623
ko:K03570	paec:M802_4624
ko:K03569	paec:M802_4625
ko:K02435	paec:M802_4626
ko:K02433	paec:M802_4627
ko:K02434	paec:M802_4628
ko:K03642	paec:M802_4629
ko:K01607	paec:M802_4630
ko:K06894	paec:M802_4633
ko:K09934	paec:M802_4634
ko:K15012	paec:M802_4637
ko:K15011	paec:M802_4638
ko:K12368	paec:M802_4640
ko:K12368	paec:M802_4641
ko:K02671	paec:M802_4699
ko:K02672	paec:M802_4700
ko:K02673	paec:M802_4701
ko:K02674	paec:M802_4702
ko:K02655	paec:M802_4704
ko:K03527	paec:M802_4705
ko:K03774	paec:M802_4706
ko:K03101	paec:M802_4707
ko:K01870	paec:M802_4708
ko:K11753	paec:M802_4709
ko:K03980	paec:M802_4710
ko:K02968	paec:M802_4711
ko:K05805	paec:M802_4712
ko:K00931	paec:M802_4713
ko:K03979	paec:M802_4714
ko:K02899	paec:M802_4715
ko:K02888	paec:M802_4716
ko:K02523	paec:M802_4717
ko:K03773	paec:M802_4720
ko:K14414	paec:M802_4729
ko:K14415	paec:M802_4732
ko:K07074	paec:M802_4733
ko:K01974	paec:M802_4734
ko:K00428	paec:M802_4736
ko:K00262	paec:M802_4737
ko:K06076	paec:M802_4738
ko:K02004	paec:M802_4742
ko:K02003	paec:M802_4743
ko:K08721	paec:M802_4747
ko:K18296	paec:M802_4748
ko:K18295	paec:M802_4749
ko:K18294	paec:M802_4750
ko:K00600	paec:M802_4752
ko:K06200	paec:M802_4756
ko:K04485	paec:M802_4759
ko:K09794	paec:M802_4761
ko:K03781	paec:M802_4763
ko:K03282	paec:M802_4764
ko:K00528	paec:M802_4765
ko:K11688	paec:M802_4766
ko:K07141	paec:M802_4767
ko:K07402	paec:M802_4769
ko:K00018	paec:M802_4777
ko:K00564	paec:M802_4778
ko:K11733	paec:M802_4779
ko:K03406	paec:M802_4784
ko:K07507	paec:M802_4786
ko:K07286	paec:M802_4792
ko:K00116	paec:M802_4793
ko:K04750	paec:M802_4794
ko:K00760	paec:M802_4798
ko:K00761	paec:M802_4799
ko:K02824	paec:M802_4800
ko:K07346	paec:M802_4804
ko:K07347	paec:M802_4805
ko:K01772	paec:M802_4808
ko:K07071	paec:M802_4809
ko:K06955	paec:M802_4810
ko:K01669	paec:M802_4813
ko:K01776	paec:M802_4815
ko:K02493	paec:M802_4817
ko:K02835	paec:M802_4818
ko:K02492	paec:M802_4819
ko:K02494	paec:M802_4821
ko:K00919	paec:M802_4822
ko:K00948	paec:M802_4824
ko:K02897	paec:M802_4825
ko:K01056	paec:M802_4826
ko:K06942	paec:M802_4827
ko:K02014	paec:M802_4830
ko:K01673	paec:M802_4831
ko:K03789	paec:M802_4833
ko:K02012	paec:M802_4842
ko:K02011	paec:M802_4843
ko:K03808	paec:M802_4845
ko:K03808	paec:M802_4846
ko:K17247	paec:M802_4852
ko:K17103	paec:M802_4854
ko:K00053	paec:M802_4855
ko:K01653	paec:M802_4856
ko:K01652	paec:M802_4857
ko:K05365	paec:M802_4861
ko:K07028	paec:M802_4862
ko:K02013	paec:M802_4867
ko:K02015	paec:M802_4868
ko:K02016	paec:M802_4869
ko:K07225	paec:M802_4870
ko:K16087	paec:M802_4871
ko:K14261	paec:M802_4876
ko:K07054	paec:M802_4878
ko:K06901	paec:M802_4880
ko:K06206	paec:M802_4882
ko:K06204	paec:M802_4884
ko:K01894	paec:M802_4885
ko:K00970	paec:M802_4889
ko:K00950	paec:M802_4890
ko:K00606	paec:M802_4891
ko:K01918	paec:M802_4892
ko:K01579	paec:M802_4893
ko:K01810	paec:M802_4894
ko:K01895	paec:M802_4895
ko:K00962	paec:M802_4902
ko:K02956	paec:M802_4903
ko:K03177	paec:M802_4904
ko:K02834	paec:M802_4905
ko:K02519	paec:M802_4906
ko:K02600	paec:M802_4907
ko:K09748	paec:M802_4908
ko:K01803	paec:M802_4911
ko:K03431	paec:M802_4912
ko:K00796	paec:M802_4913
ko:K03798	paec:M802_4914
ko:K02427	paec:M802_4915
ko:K07574	paec:M802_4916
ko:K03624	paec:M802_4918
ko:K01955	paec:M802_4919
ko:K11250	paec:M802_4920
ko:K01956	paec:M802_4921
ko:K00215	paec:M802_4922
ko:K03686	paec:M802_4923
ko:K04043	paec:M802_4924
ko:K03687	paec:M802_4925
ko:K03631	paec:M802_4926
ko:K03711	paec:M802_4927
ko:K06186	paec:M802_4928
ko:K09801	paec:M802_4929
ko:K03664	paec:M802_4931
ko:K03303	paec:M802_4933
ko:K00101	paec:M802_4934
ko:K01611	paec:M802_4936
ko:K00797	paec:M802_4937
ko:K09962	paec:M802_4941
ko:K15268	paec:M802_4943
ko:K07178	paec:M802_4944
ko:K07814	paec:M802_4945
ko:K03719	paec:M802_4948
ko:K00626	paec:M802_4949
ko:K00059	paec:M802_4950
ko:K06219	paec:M802_4954
ko:K01126	paec:M802_4955
ko:K03833	paec:M802_4972
ko:K01042	paec:M802_4973
ko:K02380	paec:M802_4974
ko:K00127	paec:M802_4975
ko:K00124	paec:M802_4976
ko:K00123	paec:M802_4977
ko:K00123	paec:M802_4978
ko:K00219	paec:M802_4980
ko:K09936	paec:M802_4981
ko:K06940	paec:M802_4983
ko:K03327	paec:M802_4988
ko:K03324	paec:M802_4989
ko:K01531	paec:M802_4992
ko:K00675	paec:M802_4994
ko:K08983	paec:M802_4995
ko:K00382	paec:M802_4996
ko:K07124	paec:M802_4999
ko:K11068	paec:M802_5000
ko:K02014	paec:M802_5004
ko:K01585	paec:M802_5006
ko:K03113	paec:M802_5007
ko:K04084	paec:M802_5013
ko:K03786	paec:M802_5014
ko:K02160	paec:M802_5015
ko:K01961	paec:M802_5016
ko:K02687	paec:M802_5018
ko:K05540	paec:M802_5020
ko:K03557	paec:M802_5021
ko:K00602	paec:M802_5022
ko:K01945	paec:M802_5023
ko:K05595	paec:M802_5025
ko:K11959	paec:M802_5026
ko:K11960	paec:M802_5027
ko:K11961	paec:M802_5028
ko:K11962	paec:M802_5029
ko:K11963	paec:M802_5030
ko:K03190	paec:M802_5032
ko:K01430	paec:M802_5033
