ko:K01006	pcn:TIB1ST10_10410
ko:K00705	pcn:TIB1ST10_08645
ko:K03786	pcn:TIB1ST10_08660
ko:K09791	pcn:TIB1ST10_08675
ko:K01588	pcn:TIB1ST10_08740
ko:K01589	pcn:TIB1ST10_08745
ko:K03524	pcn:TIB1ST10_08760
ko:K06287	pcn:TIB1ST10_08780
ko:K00868	pcn:TIB1ST10_08800
ko:K00382	pcn:TIB1ST10_08850
ko:K00876	pcn:TIB1ST10_08870
ko:K01874	pcn:TIB1ST10_08885
ko:K05845	pcn:TIB1ST10_02065
ko:K05846	pcn:TIB1ST10_02070
ko:K05846	pcn:TIB1ST10_02075
ko:K05847	pcn:TIB1ST10_02080
ko:K07693	pcn:TIB1ST10_02120
ko:K02227	pcn:TIB1ST10_02130
ko:K02232	pcn:TIB1ST10_02135
ko:K03394	pcn:TIB1ST10_02140
ko:K05936	pcn:TIB1ST10_02145
ko:K02015	pcn:TIB1ST10_02170
ko:K02013	pcn:TIB1ST10_02175
ko:K02016	pcn:TIB1ST10_02180
ko:K07133	pcn:TIB1ST10_02185
ko:K06042	pcn:TIB1ST10_02190
ko:K02007	pcn:TIB1ST10_02195
ko:K02224	pcn:TIB1ST10_02230
ko:K05895	pcn:TIB1ST10_02240
ko:K02233	pcn:TIB1ST10_02250
ko:K07173	pcn:TIB1ST10_02300
ko:K01809	pcn:TIB1ST10_02305
ko:K04077	pcn:TIB1ST10_02315
ko:K15034	pcn:TIB1ST10_06320
ko:K02114	pcn:TIB1ST10_06355
ko:K02112	pcn:TIB1ST10_06360
ko:K02115	pcn:TIB1ST10_06365
ko:K02111	pcn:TIB1ST10_06370
ko:K02113	pcn:TIB1ST10_06375
ko:K02109	pcn:TIB1ST10_06380
ko:K02110	pcn:TIB1ST10_06385
ko:K02108	pcn:TIB1ST10_06390
ko:K02493	pcn:TIB1ST10_06415
ko:K02835	pcn:TIB1ST10_06420
ko:K02909	pcn:TIB1ST10_06425
ko:K03628	pcn:TIB1ST10_06430
ko:K00872	pcn:TIB1ST10_06435
ko:K01733	pcn:TIB1ST10_06440
ko:K00003	pcn:TIB1ST10_06445
ko:K01586	pcn:TIB1ST10_06450
ko:K00164	pcn:TIB1ST10_06460
ko:K03088	pcn:TIB1ST10_06490
ko:K00800	pcn:TIB1ST10_06500
ko:K06949	pcn:TIB1ST10_06505
ko:K02034	pcn:TIB1ST10_06535
ko:K03306	pcn:TIB1ST10_10385
ko:K09773	pcn:TIB1ST10_10415
ko:K01079	pcn:TIB1ST10_10425
ko:K01792	pcn:TIB1ST10_10430
ko:K07407	pcn:TIB1ST10_10455
ko:K02034	pcn:TIB1ST10_10495
ko:K00627	pcn:TIB1ST10_10615
ko:K00162	pcn:TIB1ST10_10620
ko:K00161	pcn:TIB1ST10_10625
ko:K00231	pcn:TIB1ST10_10630
ko:K03575	pcn:TIB1ST10_01550
ko:K01845	pcn:TIB1ST10_01555
ko:K01698	pcn:TIB1ST10_01560
ko:K01749	pcn:TIB1ST10_01570
ko:K00231	pcn:TIB1ST10_01575
ko:K01599	pcn:TIB1ST10_01580
ko:K02492	pcn:TIB1ST10_01585
ko:K01772	pcn:TIB1ST10_01590
ko:K04485	pcn:TIB1ST10_01605
ko:K00318	pcn:TIB1ST10_01625
ko:K00133	pcn:TIB1ST10_01635
ko:K00286	pcn:TIB1ST10_01640
ko:K13542	pcn:TIB1ST10_01655
ko:K07399	pcn:TIB1ST10_01675
ko:K07124	pcn:TIB1ST10_01690
ko:K02016	pcn:TIB1ST10_01710
ko:K02013	pcn:TIB1ST10_01715
ko:K02015	pcn:TIB1ST10_01720
ko:K02036	pcn:TIB1ST10_01730
ko:K02038	pcn:TIB1ST10_01735
ko:K02037	pcn:TIB1ST10_01740
ko:K02040	pcn:TIB1ST10_01745
ko:K00937	pcn:TIB1ST10_01755
ko:K07560	pcn:TIB1ST10_01770
ko:K01609	pcn:TIB1ST10_05800
ko:K01696	pcn:TIB1ST10_05805
ko:K01695	pcn:TIB1ST10_05810
ko:K00266	pcn:TIB1ST10_05825
ko:K07106	pcn:TIB1ST10_05855
ko:K01223	pcn:TIB1ST10_05880
ko:K02760	pcn:TIB1ST10_05885
ko:K02761	pcn:TIB1ST10_05890
ko:K02759	pcn:TIB1ST10_05895
ko:K02337	pcn:TIB1ST10_05905
ko:K00013	pcn:TIB1ST10_05915
ko:K00817	pcn:TIB1ST10_05920
ko:K01693	pcn:TIB1ST10_05925
ko:K02501	pcn:TIB1ST10_05930
ko:K01159	pcn:TIB1ST10_05945
ko:K03550	pcn:TIB1ST10_05950
ko:K03551	pcn:TIB1ST10_05955
ko:K03210	pcn:TIB1ST10_05960
ko:K03072	pcn:TIB1ST10_05965
ko:K03074	pcn:TIB1ST10_05970
ko:K00759	pcn:TIB1ST10_05975
ko:K01892	pcn:TIB1ST10_06000
ko:K01876	pcn:TIB1ST10_06030
ko:K03183	pcn:TIB1ST10_09900
ko:K02548	pcn:TIB1ST10_09910
ko:K05878	pcn:TIB1ST10_09920
ko:K05879	pcn:TIB1ST10_09925
ko:K05881	pcn:TIB1ST10_09930
ko:K01933	pcn:TIB1ST10_10025
ko:K00764	pcn:TIB1ST10_10030
ko:K04561	pcn:TIB1ST10_10055
ko:K13950	pcn:TIB1ST10_10060
ko:K01952	pcn:TIB1ST10_10065
ko:K01256	pcn:TIB1ST10_10075
ko:K01952	pcn:TIB1ST10_10120
ko:K01923	pcn:TIB1ST10_10125
ko:K03387	pcn:TIB1ST10_10135
ko:K04762	pcn:TIB1ST10_01055
ko:K02343	pcn:TIB1ST10_01065
ko:K09747	pcn:TIB1ST10_01070
ko:K06187	pcn:TIB1ST10_01075
ko:K02003	pcn:TIB1ST10_01085
ko:K01870	pcn:TIB1ST10_01125
ko:K10773	pcn:TIB1ST10_01175
ko:K03313	pcn:TIB1ST10_01195
ko:K02283	pcn:TIB1ST10_01210
ko:K12510	pcn:TIB1ST10_01215
ko:K07738	pcn:TIB1ST10_05260
ko:K03578	pcn:TIB1ST10_05280
ko:K10805	pcn:TIB1ST10_05285
ko:K03086	pcn:TIB1ST10_05295
ko:K02470	pcn:TIB1ST10_05350
ko:K07791	pcn:TIB1ST10_05355
ko:K02469	pcn:TIB1ST10_05365
ko:K01681	pcn:TIB1ST10_05445
ko:K01662	pcn:TIB1ST10_05450
ko:K03684	pcn:TIB1ST10_05455
ko:K01667	pcn:TIB1ST10_05480
ko:K13979	pcn:TIB1ST10_05500
ko:K01126	pcn:TIB1ST10_09420
ko:K02876	pcn:TIB1ST10_09435
ko:K02907	pcn:TIB1ST10_09440
ko:K02988	pcn:TIB1ST10_09445
ko:K02881	pcn:TIB1ST10_09450
ko:K02933	pcn:TIB1ST10_09455
ko:K02994	pcn:TIB1ST10_09460
ko:K02954	pcn:TIB1ST10_09465
ko:K02931	pcn:TIB1ST10_09470
ko:K02895	pcn:TIB1ST10_09475
ko:K02874	pcn:TIB1ST10_09480
ko:K02961	pcn:TIB1ST10_09485
ko:K02904	pcn:TIB1ST10_09490
ko:K02878	pcn:TIB1ST10_09495
ko:K02982	pcn:TIB1ST10_09500
ko:K02890	pcn:TIB1ST10_09505
ko:K02965	pcn:TIB1ST10_09510
ko:K02886	pcn:TIB1ST10_09515
ko:K02892	pcn:TIB1ST10_09520
ko:K02926	pcn:TIB1ST10_09525
ko:K02906	pcn:TIB1ST10_09530
ko:K02946	pcn:TIB1ST10_09535
ko:K01886	pcn:TIB1ST10_09560
ko:K02358	pcn:TIB1ST10_09575
ko:K02355	pcn:TIB1ST10_09585
ko:K02992	pcn:TIB1ST10_09590
ko:K02950	pcn:TIB1ST10_09595
ko:K03046	pcn:TIB1ST10_09620
ko:K03043	pcn:TIB1ST10_09625
ko:K02935	pcn:TIB1ST10_09630
ko:K02864	pcn:TIB1ST10_09635
ko:K02863	pcn:TIB1ST10_09640
ko:K02867	pcn:TIB1ST10_09645
ko:K02601	pcn:TIB1ST10_09650
ko:K02313	pcn:TIB1ST10_00005
ko:K02338	pcn:TIB1ST10_00010
ko:K03629	pcn:TIB1ST10_00020
ko:K01809	pcn:TIB1ST10_00045
ko:K02470	pcn:TIB1ST10_00050
ko:K02469	pcn:TIB1ST10_00055
ko:K02529	pcn:TIB1ST10_00070
ko:K10441	pcn:TIB1ST10_00075
ko:K06726	pcn:TIB1ST10_00095
ko:K02773	pcn:TIB1ST10_00105
ko:K02774	pcn:TIB1ST10_00115
ko:K03587	pcn:TIB1ST10_03885
ko:K01928	pcn:TIB1ST10_03890
ko:K01929	pcn:TIB1ST10_03895
ko:K01000	pcn:TIB1ST10_03900
ko:K01925	pcn:TIB1ST10_03905
ko:K03588	pcn:TIB1ST10_03910
ko:K02563	pcn:TIB1ST10_03915
ko:K01924	pcn:TIB1ST10_03920
ko:K03589	pcn:TIB1ST10_03925
ko:K03531	pcn:TIB1ST10_03930
ko:K05810	pcn:TIB1ST10_03935
ko:K09772	pcn:TIB1ST10_03940
ko:K02221	pcn:TIB1ST10_03945
ko:K06204	pcn:TIB1ST10_03955
ko:K03101	pcn:TIB1ST10_03960
ko:K06180	pcn:TIB1ST10_03965
ko:K00873	pcn:TIB1ST10_03970
ko:K06199	pcn:TIB1ST10_03980
ko:K06199	pcn:TIB1ST10_03985
ko:K02945	pcn:TIB1ST10_04020
ko:K02016	pcn:TIB1ST10_04030
ko:K02015	pcn:TIB1ST10_04035
ko:K02013	pcn:TIB1ST10_04040
ko:K00859	pcn:TIB1ST10_04055
ko:K02013	pcn:TIB1ST10_04095
ko:K02015	pcn:TIB1ST10_04100
ko:K02016	pcn:TIB1ST10_04105
ko:K05995	pcn:TIB1ST10_08110
ko:K00789	pcn:TIB1ST10_08145
ko:K03970	pcn:TIB1ST10_08215
ko:K04567	pcn:TIB1ST10_08320
ko:K01808	pcn:TIB1ST10_08345
ko:K01972	pcn:TIB1ST10_08355
ko:K01256	pcn:TIB1ST10_08365
ko:K07107	pcn:TIB1ST10_08385
ko:K02259	pcn:TIB1ST10_03350
ko:K07164	pcn:TIB1ST10_03360
ko:K02016	pcn:TIB1ST10_03375
ko:K02015	pcn:TIB1ST10_03380
ko:K02013	pcn:TIB1ST10_03385
ko:K06200	pcn:TIB1ST10_03400
ko:K01265	pcn:TIB1ST10_03410
ko:K01915	pcn:TIB1ST10_03420
ko:K00982	pcn:TIB1ST10_03430
ko:K01915	pcn:TIB1ST10_03455
ko:K03710	pcn:TIB1ST10_03480
ko:K08996	pcn:TIB1ST10_03500
ko:K03290	pcn:TIB1ST10_03530
ko:K03644	pcn:TIB1ST10_03560
ko:K03801	pcn:TIB1ST10_03575
ko:K00658	pcn:TIB1ST10_03580
ko:K01255	pcn:TIB1ST10_03585
ko:K03969	pcn:TIB1ST10_03600
ko:K02275	pcn:TIB1ST10_03615
ko:K02956	pcn:TIB1ST10_07580
ko:K11753	pcn:TIB1ST10_07585
ko:K02002	pcn:TIB1ST10_07590
ko:K02001	pcn:TIB1ST10_07595
ko:K02000	pcn:TIB1ST10_07600
ko:K02781	pcn:TIB1ST10_07640
ko:K02834	pcn:TIB1ST10_07655
ko:K02519	pcn:TIB1ST10_07675
ko:K07742	pcn:TIB1ST10_07680
ko:K02600	pcn:TIB1ST10_07685
ko:K09748	pcn:TIB1ST10_07690
ko:K07090	pcn:TIB1ST10_07700
ko:K01881	pcn:TIB1ST10_07710
ko:K00099	pcn:TIB1ST10_07765
ko:K00262	pcn:TIB1ST10_07780
ko:K06941	pcn:TIB1ST10_07785
ko:K00981	pcn:TIB1ST10_07800
ko:K02838	pcn:TIB1ST10_07805
ko:K09903	pcn:TIB1ST10_07810
ko:K02357	pcn:TIB1ST10_07815
ko:K02967	pcn:TIB1ST10_07820
ko:K00973	pcn:TIB1ST10_11660
ko:K00865	pcn:TIB1ST10_11710
ko:K00864	pcn:TIB1ST10_11735
ko:K02440	pcn:TIB1ST10_11740
ko:K00384	pcn:TIB1ST10_11760
ko:K00057	pcn:TIB1ST10_11790
ko:K00615	pcn:TIB1ST10_11805
ko:K01808	pcn:TIB1ST10_11835
ko:K01686	pcn:TIB1ST10_11850
ko:K01812	pcn:TIB1ST10_11860
ko:K02529	pcn:TIB1ST10_11865
ko:K01195	pcn:TIB1ST10_11880
ko:K01921	pcn:TIB1ST10_11900
ko:K01744	pcn:TIB1ST10_00485
ko:K07791	pcn:TIB1ST10_00490
ko:K06975	pcn:TIB1ST10_00495
ko:K03781	pcn:TIB1ST10_00500
ko:K02230	pcn:TIB1ST10_00525
ko:K06871	pcn:TIB1ST10_00530
ko:K02013	pcn:TIB1ST10_00535
ko:K02015	pcn:TIB1ST10_00540
ko:K02016	pcn:TIB1ST10_00545
ko:K02016	pcn:TIB1ST10_00550
ko:K00941	pcn:TIB1ST10_00565
ko:K00788	pcn:TIB1ST10_00575
ko:K01546	pcn:TIB1ST10_00585
ko:K01547	pcn:TIB1ST10_00590
ko:K01548	pcn:TIB1ST10_00595
ko:K07646	pcn:TIB1ST10_00600
ko:K07667	pcn:TIB1ST10_00605
ko:K03305	pcn:TIB1ST10_00700
ko:K03654	pcn:TIB1ST10_04750
ko:K11939	pcn:TIB1ST10_04760
ko:K00773	pcn:TIB1ST10_04765
ko:K09125	pcn:TIB1ST10_04795
ko:K07042	pcn:TIB1ST10_04825
ko:K01649	pcn:TIB1ST10_04845
ko:K00806	pcn:TIB1ST10_04850
ko:K03584	pcn:TIB1ST10_04860
ko:K01880	pcn:TIB1ST10_04885
ko:K00239	pcn:TIB1ST10_04900
ko:K00240	pcn:TIB1ST10_04905
ko:K01129	pcn:TIB1ST10_04920
ko:K02069	pcn:TIB1ST10_04925
ko:K00697	pcn:TIB1ST10_04950
ko:K01087	pcn:TIB1ST10_04955
ko:K01738	pcn:TIB1ST10_04960
ko:K00375	pcn:TIB1ST10_04965
ko:K06215	pcn:TIB1ST10_04970
ko:K08681	pcn:TIB1ST10_04975
ko:K00833	pcn:TIB1ST10_04980
ko:K01935	pcn:TIB1ST10_04985
ko:K02057	pcn:TIB1ST10_08900
ko:K02057	pcn:TIB1ST10_08905
ko:K07335	pcn:TIB1ST10_08915
ko:K00031	pcn:TIB1ST10_08935
ko:K01433	pcn:TIB1ST10_08940
ko:K00024	pcn:TIB1ST10_08945
ko:K13922	pcn:TIB1ST10_08950
ko:K01491	pcn:TIB1ST10_08960
ko:K00602	pcn:TIB1ST10_08980
ko:K11175	pcn:TIB1ST10_08985
ko:K00794	pcn:TIB1ST10_08990
ko:K14652	pcn:TIB1ST10_08995
ko:K00793	pcn:TIB1ST10_09000
ko:K11752	pcn:TIB1ST10_09005
ko:K01902	pcn:TIB1ST10_09015
ko:K01903	pcn:TIB1ST10_09020
ko:K03657	pcn:TIB1ST10_09025
ko:K02073	pcn:TIB1ST10_09035
ko:K02071	pcn:TIB1ST10_09040
ko:K02072	pcn:TIB1ST10_09045
ko:K06131	pcn:TIB1ST10_09050
ko:K01951	pcn:TIB1ST10_09065
ko:K00640	pcn:TIB1ST10_09070
ko:K04092	pcn:TIB1ST10_09075
ko:K03310	pcn:TIB1ST10_09095
ko:K04077	pcn:TIB1ST10_09105
ko:K04078	pcn:TIB1ST10_09110
ko:K02013	pcn:TIB1ST10_09135
ko:K02015	pcn:TIB1ST10_09140
ko:K02016	pcn:TIB1ST10_09145
ko:K01524	pcn:TIB1ST10_02825
ko:K03308	pcn:TIB1ST10_02875
ko:K03648	pcn:TIB1ST10_02885
ko:K03624	pcn:TIB1ST10_02900
ko:K06888	pcn:TIB1ST10_02915
ko:K11068	pcn:TIB1ST10_02925
ko:K07175	pcn:TIB1ST10_02930
ko:K03602	pcn:TIB1ST10_02940
ko:K03601	pcn:TIB1ST10_02945
ko:K03527	pcn:TIB1ST10_02955
ko:K09760	pcn:TIB1ST10_02960
ko:K06942	pcn:TIB1ST10_02970
ko:K03758	pcn:TIB1ST10_03005
ko:K00611	pcn:TIB1ST10_03015
ko:K00926	pcn:TIB1ST10_03020
ko:K03402	pcn:TIB1ST10_03025
ko:K11065	pcn:TIB1ST10_03045
ko:K00012	pcn:TIB1ST10_03060
ko:K02500	pcn:TIB1ST10_07085
ko:K03118	pcn:TIB1ST10_07095
ko:K03116	pcn:TIB1ST10_07100
ko:K06178	pcn:TIB1ST10_07130
ko:K01937	pcn:TIB1ST10_07155
ko:K03631	pcn:TIB1ST10_07175
ko:K00858	pcn:TIB1ST10_07180
ko:K06442	pcn:TIB1ST10_07185
ko:K03523	pcn:TIB1ST10_07205
ko:K01866	pcn:TIB1ST10_07225
ko:K03402	pcn:TIB1ST10_07230
ko:K01012	pcn:TIB1ST10_07240
ko:K01890	pcn:TIB1ST10_07245
ko:K01889	pcn:TIB1ST10_07250
ko:K03437	pcn:TIB1ST10_07255
ko:K02887	pcn:TIB1ST10_07260
ko:K02916	pcn:TIB1ST10_07265
ko:K02520	pcn:TIB1ST10_07270
ko:K00765	pcn:TIB1ST10_07285
ko:K03811	pcn:TIB1ST10_07295
ko:K01647	pcn:TIB1ST10_07315
ko:K00849	pcn:TIB1ST10_11160
ko:K01940	pcn:TIB1ST10_11195
ko:K00313	pcn:TIB1ST10_11270
ko:K03522	pcn:TIB1ST10_11275
ko:K03521	pcn:TIB1ST10_11280
ko:K01875	pcn:TIB1ST10_11305
ko:K00684	pcn:TIB1ST10_11320
ko:K06153	pcn:TIB1ST10_11340
ko:K02217	pcn:TIB1ST10_11345
ko:K02939	pcn:TIB1ST10_11355
ko:K02963	pcn:TIB1ST10_11360
ko:K02990	pcn:TIB1ST10_11370
ko:K06980	pcn:TIB1ST10_01785
ko:K00991	pcn:TIB1ST10_01810
ko:K01770	pcn:TIB1ST10_01815
ko:K02781	pcn:TIB1ST10_01820
ko:K02774	pcn:TIB1ST10_01825
ko:K07736	pcn:TIB1ST10_01830
ko:K02039	pcn:TIB1ST10_01850
ko:K02773	pcn:TIB1ST10_01870
ko:K02774	pcn:TIB1ST10_01875
ko:K11738	pcn:TIB1ST10_01885
ko:K00600	pcn:TIB1ST10_01890
ko:K00874	pcn:TIB1ST10_01895
ko:K01625	pcn:TIB1ST10_01900
ko:K03218	pcn:TIB1ST10_01960
ko:K01883	pcn:TIB1ST10_01965
ko:K03088	pcn:TIB1ST10_02005
ko:K01752	pcn:TIB1ST10_02030
ko:K00060	pcn:TIB1ST10_02055
ko:K07478	pcn:TIB1ST10_06035
ko:K01872	pcn:TIB1ST10_06045
ko:K07447	pcn:TIB1ST10_06050
ko:K07082	pcn:TIB1ST10_06055
ko:K00014	pcn:TIB1ST10_06060
ko:K01736	pcn:TIB1ST10_06065
ko:K00891	pcn:TIB1ST10_06070
ko:K01735	pcn:TIB1ST10_06075
ko:K07282	pcn:TIB1ST10_06080
ko:K02356	pcn:TIB1ST10_06095
ko:K03625	pcn:TIB1ST10_06100
ko:K00942	pcn:TIB1ST10_06110
ko:K03060	pcn:TIB1ST10_06115
ko:K13038	pcn:TIB1ST10_06120
ko:K00789	pcn:TIB1ST10_06125
ko:K04066	pcn:TIB1ST10_06130
ko:K00604	pcn:TIB1ST10_06135
ko:K03500	pcn:TIB1ST10_06140
ko:K01783	pcn:TIB1ST10_06155
ko:K01421	pcn:TIB1ST10_06175
ko:K03433	pcn:TIB1ST10_06190
ko:K03432	pcn:TIB1ST10_06195
ko:K00945	pcn:TIB1ST10_06205
ko:K03977	pcn:TIB1ST10_06210
ko:K02429	pcn:TIB1ST10_06225
ko:K03338	pcn:TIB1ST10_02330
ko:K03337	pcn:TIB1ST10_02340
ko:K03336	pcn:TIB1ST10_02345
ko:K00140	pcn:TIB1ST10_02355
ko:K06605	pcn:TIB1ST10_02375
ko:K03335	pcn:TIB1ST10_02400
ko:K03704	pcn:TIB1ST10_02445
ko:K06901	pcn:TIB1ST10_02460
ko:K00831	pcn:TIB1ST10_02475
ko:K01443	pcn:TIB1ST10_02480
ko:K00963	pcn:TIB1ST10_02510
ko:K03282	pcn:TIB1ST10_02520
ko:K03750	pcn:TIB1ST10_02540
ko:K03790	pcn:TIB1ST10_02545
ko:K03637	pcn:TIB1ST10_02560
ko:K03750	pcn:TIB1ST10_02565
ko:K06133	pcn:TIB1ST10_06645
ko:K07043	pcn:TIB1ST10_06740
ko:K03657	pcn:TIB1ST10_06755
ko:K03583	pcn:TIB1ST10_06760
ko:K03582	pcn:TIB1ST10_06765
ko:K03581	pcn:TIB1ST10_06770
ko:K03426	pcn:TIB1ST10_06775
ko:K03657	pcn:TIB1ST10_06785
ko:K13051	pcn:TIB1ST10_10735
ko:K09780	pcn:TIB1ST10_10750
ko:K00886	pcn:TIB1ST10_10790
ko:K02919	pcn:TIB1ST10_10800
ko:K01887	pcn:TIB1ST10_10820
ko:K01810	pcn:TIB1ST10_10840
ko:K01625	pcn:TIB1ST10_10850
ko:K04047	pcn:TIB1ST10_10855
ko:K03820	pcn:TIB1ST10_06265
ko:K01126	pcn:TIB1ST10_06280
ko:K00868	pcn:TIB1ST10_06285
ko:K00790	pcn:TIB1ST10_06290
ko:K00382	pcn:TIB1ST10_06295
ko:K04761	pcn:TIB1ST10_10140
ko:K01756	pcn:TIB1ST10_10145
ko:K01945	pcn:TIB1ST10_10150
ko:K01939	pcn:TIB1ST10_10155
ko:K01714	pcn:TIB1ST10_10175
ko:K03290	pcn:TIB1ST10_10185
ko:K06207	pcn:TIB1ST10_10195
ko:K01624	pcn:TIB1ST10_10235
ko:K03975	pcn:TIB1ST10_10250
ko:K09858	pcn:TIB1ST10_10270
ko:K03695	pcn:TIB1ST10_10280
ko:K03311	pcn:TIB1ST10_10285
ko:K01623	pcn:TIB1ST10_10295
ko:K03322	pcn:TIB1ST10_10305
ko:K02003	pcn:TIB1ST10_10320
ko:K07085	pcn:TIB1ST10_10340
ko:K03686	pcn:TIB1ST10_10360
ko:K03687	pcn:TIB1ST10_10365
ko:K04043	pcn:TIB1ST10_10375
ko:K03168	pcn:TIB1ST10_01260
ko:K00943	pcn:TIB1ST10_01270
ko:K02341	pcn:TIB1ST10_01275
ko:K08296	pcn:TIB1ST10_01315
ko:K01060	pcn:TIB1ST10_01325
ko:K07259	pcn:TIB1ST10_01345
ko:K04075	pcn:TIB1ST10_01350
ko:K00760	pcn:TIB1ST10_01355
ko:K03798	pcn:TIB1ST10_01360
ko:K01495	pcn:TIB1ST10_01365
ko:K00796	pcn:TIB1ST10_01405
ko:K01633	pcn:TIB1ST10_01410
ko:K00950	pcn:TIB1ST10_01415
ko:K00333	pcn:TIB1ST10_01430
ko:K03696	pcn:TIB1ST10_01440
ko:K07160	pcn:TIB1ST10_01460
ko:K07071	pcn:TIB1ST10_01480
ko:K01868	pcn:TIB1ST10_05525
ko:K00995	pcn:TIB1ST10_05535
ko:K02437	pcn:TIB1ST10_05560
