ko:K16238	kpy:KPNIH31_05620
ko:K00433	kpy:KPNIH31_16700
ko:K04753	kpy:KPNIH31_21895
ko:K03293	kpy:KPNIH31_00770
ko:K02483	kpy:KPNIH31_13190
ko:K19587	kpy:KPNIH31_19530
ko:K19504	kpy:KPNIH31_04505
ko:K20444	kpy:KPNIH31_16930
ko:K11741	kpy:KPNIH31_02185
ko:K06218	kpy:KPNIH31_05410
ko:K18850	kpy:KPNIH31_09975
ko:K18889	kpy:KPNIH31_06150
ko:K21645	kpy:KPNIH31_15800
ko:K14228	kpy:KPNIH31_05180
ko:K01980	kpy:KPNIH31_19335
ko:K01980	kpy:KPNIH31_00085
ko:K01980	kpy:KPNIH31_23400
ko:K01980	kpy:KPNIH31_01045
ko:K01980	kpy:KPNIH31_00585
ko:K01980	kpy:KPNIH31_03060
ko:K01980	kpy:KPNIH31_04900
ko:K01980	kpy:KPNIH31_01270
ko:K18900	kpy:KPNIH31_19505
ko:K18920	kpy:KPNIH31_24665
ko:K14228	kpy:KPNIH31_04395
ko:K14228	kpy:KPNIH31_04400
ko:K14228	kpy:KPNIH31_04405
ko:K14228	kpy:KPNIH31_00785
ko:K01985	kpy:KPNIH31_00590
ko:K01985	kpy:KPNIH31_04895
ko:K01985	kpy:KPNIH31_01050
ko:K01985	kpy:KPNIH31_23395
ko:K01985	kpy:KPNIH31_19330
ko:K01985	kpy:KPNIH31_03055
ko:K01985	kpy:KPNIH31_01275
ko:K01985	kpy:KPNIH31_00090
ko:K01985	kpy:KPNIH31_23385
ko:K18921	kpy:KPNIH31_27000
ko:K14219	kpy:KPNIH31_18135
ko:K18850	kpy:KPNIH31_04915
ko:K09691	kpy:KPNIH31_16920
ko:K20861	kpy:KPNIH31_08670
ko:K20866	kpy:KPNIH31_00170
ko:K20881	kpy:KPNIH31_23870
ko:K20862	kpy:KPNIH31_00855
ko:K02024	kpy:KPNIH31_05025
ko:K01805	kpy:KPNIH31_05035
ko:K03292	kpy:KPNIH31_05040
ko:K01198	kpy:KPNIH31_05045
ko:K07454	kpy:KPNIH31_05055
ko:K11903	kpy:KPNIH31_05080
ko:K01154	kpy:KPNIH31_05160
ko:K03427	kpy:KPNIH31_05165
ko:K01153	kpy:KPNIH31_05170
ko:K01673	kpy:KPNIH31_05185
ko:K12957	kpy:KPNIH31_05195
ko:K05814	kpy:KPNIH31_05200
ko:K05815	kpy:KPNIH31_05205
ko:K05816	kpy:KPNIH31_05215
ko:K05813	kpy:KPNIH31_05220
ko:K03335	kpy:KPNIH31_05225
ko:K06605	kpy:KPNIH31_05230
ko:K00010	kpy:KPNIH31_05235
ko:K03336	kpy:KPNIH31_05240
ko:K03338	kpy:KPNIH31_05250
ko:K03337	kpy:KPNIH31_05265
ko:K00140	kpy:KPNIH31_05270
ko:K06606	kpy:KPNIH31_05275
ko:K06915	kpy:KPNIH31_05280
ko:K09932	kpy:KPNIH31_05820
ko:K01624	kpy:KPNIH31_05830
ko:K03475	kpy:KPNIH31_05840
ko:K02822	kpy:KPNIH31_05845
ko:K02821	kpy:KPNIH31_05850
ko:K08306	kpy:KPNIH31_21740
ko:K03289	kpy:KPNIH31_21745
ko:K01581	kpy:KPNIH31_21750
ko:K07150	kpy:KPNIH31_21755
ko:K01697	kpy:KPNIH31_21765
ko:K01758	kpy:KPNIH31_21770
ko:K01460	kpy:KPNIH31_21800
ko:K11209	kpy:KPNIH31_21815
ko:K01061	kpy:KPNIH31_21825
ko:K03559	kpy:KPNIH31_21845
ko:K03561	kpy:KPNIH31_21850
ko:K01760	kpy:KPNIH31_21860
ko:K08325	kpy:KPNIH31_21875
ko:K06221	kpy:KPNIH31_21880
ko:K00655	kpy:KPNIH31_21900
ko:K02621	kpy:KPNIH31_21905
ko:K13652	kpy:KPNIH31_21910
ko:K07666	kpy:KPNIH31_21920
ko:K07645	kpy:KPNIH31_21925
ko:K03923	kpy:KPNIH31_21930
ko:K02622	kpy:KPNIH31_21940
ko:K07000	kpy:KPNIH31_21945
ko:K03651	kpy:KPNIH31_21950
ko:K09920	kpy:KPNIH31_21955
ko:K01515	kpy:KPNIH31_21960
ko:K12340	kpy:KPNIH31_21965
ko:K07238	kpy:KPNIH31_21985
ko:K02858	kpy:KPNIH31_21990
ko:K09806	kpy:KPNIH31_21995
ko:K07690	kpy:KPNIH31_22410
ko:K07679	kpy:KPNIH31_22415
ko:K02440	kpy:KPNIH31_22435
ko:K05880	kpy:KPNIH31_22480
ko:K00005	kpy:KPNIH31_22485
ko:K05878	kpy:KPNIH31_22495
ko:K05879	kpy:KPNIH31_22500
ko:K05881	kpy:KPNIH31_22505
ko:K07229	kpy:KPNIH31_22515
ko:K09251	kpy:KPNIH31_22530
ko:K11530	kpy:KPNIH31_22535
ko:K08321	kpy:KPNIH31_22540
ko:K10555	kpy:KPNIH31_22545
ko:K10557	kpy:KPNIH31_22550
ko:K10556	kpy:KPNIH31_22555
ko:K00962	kpy:KPNIH31_22835
ko:K02956	kpy:KPNIH31_22845
ko:K03177	kpy:KPNIH31_22850
ko:K02834	kpy:KPNIH31_22855
ko:K02519	kpy:KPNIH31_22860
ko:K02600	kpy:KPNIH31_22865
ko:K09748	kpy:KPNIH31_22870
ko:K01940	kpy:KPNIH31_22885
ko:K03075	kpy:KPNIH31_22910
ko:K03431	kpy:KPNIH31_22915
ko:K00796	kpy:KPNIH31_22920
ko:K03798	kpy:KPNIH31_22925
ko:K02427	kpy:KPNIH31_22930
ko:K07574	kpy:KPNIH31_22935
ko:K03624	kpy:KPNIH31_22940
ko:K07259	kpy:KPNIH31_22945
ko:K03979	kpy:KPNIH31_22950
ko:K02899	kpy:KPNIH31_22960
ko:K02888	kpy:KPNIH31_22965
ko:K02523	kpy:KPNIH31_22970
ko:K00790	kpy:KPNIH31_22980
ko:K07122	kpy:KPNIH31_22990
ko:K07323	kpy:KPNIH31_22995
ko:K02067	kpy:KPNIH31_23000
ko:K02066	kpy:KPNIH31_23005
ko:K02065	kpy:KPNIH31_23010
ko:K07301	kpy:KPNIH31_23015
ko:K06041	kpy:KPNIH31_23020
ko:K03270	kpy:KPNIH31_23025
ko:K11719	kpy:KPNIH31_23030
ko:K09774	kpy:KPNIH31_23035
ko:K06861	kpy:KPNIH31_23040
ko:K03386	kpy:KPNIH31_05860
ko:K08682	kpy:KPNIH31_05865
ko:K07568	kpy:KPNIH31_05875
ko:K00773	kpy:KPNIH31_05880
ko:K03210	kpy:KPNIH31_05885
ko:K03072	kpy:KPNIH31_05890
ko:K03074	kpy:KPNIH31_05895
ko:K06996	kpy:KPNIH31_05900
ko:K05517	kpy:KPNIH31_05910
ko:K07738	kpy:KPNIH31_05920
ko:K11752	kpy:KPNIH31_05925
ko:K00794	kpy:KPNIH31_05930
ko:K03625	kpy:KPNIH31_05935
ko:K00946	kpy:KPNIH31_05940
ko:K01095	kpy:KPNIH31_05945
ko:K01662	kpy:KPNIH31_05955
ko:K00795	kpy:KPNIH31_05960
ko:K03602	kpy:KPNIH31_05965
ko:K03151	kpy:KPNIH31_05970
ko:K03152	kpy:KPNIH31_05980
ko:K00077	kpy:KPNIH31_05985
ko:K09767	kpy:KPNIH31_05990
ko:K08195	kpy:KPNIH31_06005
ko:K00014	kpy:KPNIH31_06030
ko:K02624	kpy:KPNIH31_06035
ko:K02300	kpy:KPNIH31_06050
ko:K02299	kpy:KPNIH31_06055
ko:K02298	kpy:KPNIH31_06060
ko:K02297	kpy:KPNIH31_06065
ko:K08218	kpy:KPNIH31_06070
ko:K02517	kpy:KPNIH31_06645
ko:K03757	kpy:KPNIH31_06660
ko:K03305	kpy:KPNIH31_06670
ko:K04567	kpy:KPNIH31_06675
ko:K03335	kpy:KPNIH31_06685
ko:K00010	kpy:KPNIH31_06700
ko:K02529	kpy:KPNIH31_06705
ko:K17213	kpy:KPNIH31_06710
ko:K17215	kpy:KPNIH31_06715
ko:K03484	kpy:KPNIH31_06735
ko:K01193	kpy:KPNIH31_06740
ko:K02809	kpy:KPNIH31_06745
ko:K02810	kpy:KPNIH31_06745
ko:K16077	kpy:KPNIH31_06750
ko:K00847	kpy:KPNIH31_06755
ko:K02013	kpy:KPNIH31_06780
ko:K02015	kpy:KPNIH31_06785
ko:K02016	kpy:KPNIH31_06790
ko:K10013	kpy:KPNIH31_06825
ko:K01130	kpy:KPNIH31_06845
ko:K06871	kpy:KPNIH31_06850
ko:K18831	kpy:KPNIH31_06875
ko:K06995	kpy:KPNIH31_06890
ko:K09471	kpy:KPNIH31_06895
ko:K10440	kpy:KPNIH31_07450
ko:K10441	kpy:KPNIH31_07455
ko:K10439	kpy:KPNIH31_07460
ko:K08351	kpy:KPNIH31_07465
ko:K08967	kpy:KPNIH31_07470
ko:K09880	kpy:KPNIH31_07475
ko:K14287	kpy:KPNIH31_07480
ko:K03805	kpy:KPNIH31_07500
ko:K03386	kpy:KPNIH31_07505
ko:K03387	kpy:KPNIH31_07510
ko:K11932	kpy:KPNIH31_07515
ko:K06140	kpy:KPNIH31_07520
ko:K01169	kpy:KPNIH31_07525
ko:K03326	kpy:KPNIH31_07530
ko:K12973	kpy:KPNIH31_07535
ko:K03704	kpy:KPNIH31_07540
ko:K06199	kpy:KPNIH31_07545
ko:K03425	kpy:KPNIH31_07555
ko:K03644	kpy:KPNIH31_07560
ko:K03801	kpy:KPNIH31_07570
ko:K09158	kpy:KPNIH31_07575
ko:K07258	kpy:KPNIH31_07580
ko:K03642	kpy:KPNIH31_07585
ko:K05837	kpy:KPNIH31_07590
ko:K05515	kpy:KPNIH31_07595
ko:K00783	kpy:KPNIH31_07600
ko:K09710	kpy:KPNIH31_07605
ko:K02226	kpy:KPNIH31_07610
ko:K00969	kpy:KPNIH31_07615
ko:K02340	kpy:KPNIH31_07620
ko:K03643	kpy:KPNIH31_07625
ko:K01869	kpy:KPNIH31_07630
ko:K10004	kpy:KPNIH31_07655
ko:K10002	kpy:KPNIH31_07660
ko:K10003	kpy:KPNIH31_07665
ko:K10001	kpy:KPNIH31_07670
ko:K03820	kpy:KPNIH31_07675
ko:K06189	kpy:KPNIH31_07680
ko:K07042	kpy:KPNIH31_07685
ko:K06168	kpy:KPNIH31_07695
ko:K03184	kpy:KPNIH31_07700
ko:K06910	kpy:KPNIH31_08255
ko:K00833	kpy:KPNIH31_08260
ko:K01012	kpy:KPNIH31_08265
ko:K00652	kpy:KPNIH31_08270
ko:K02169	kpy:KPNIH31_08275
ko:K01935	kpy:KPNIH31_08280
ko:K03702	kpy:KPNIH31_08295
ko:K07643	kpy:KPNIH31_08300
ko:K07771	kpy:KPNIH31_08305
ko:K03760	kpy:KPNIH31_08310
ko:K03639	kpy:KPNIH31_08320
ko:K03638	kpy:KPNIH31_08325
ko:K03637	kpy:KPNIH31_08330
ko:K03636	kpy:KPNIH31_08335
ko:K03635	kpy:KPNIH31_08340
ko:K06890	kpy:KPNIH31_08345
ko:K07027	kpy:KPNIH31_08350
ko:K01993	kpy:KPNIH31_08385
ko:K00615	kpy:KPNIH31_08415
ko:K00615	kpy:KPNIH31_08420
ko:K11927	kpy:KPNIH31_08425
ko:K13650	kpy:KPNIH31_08450
ko:K06970	kpy:KPNIH31_08460
ko:K10038	kpy:KPNIH31_08470
ko:K10037	kpy:KPNIH31_08475
ko:K10036	kpy:KPNIH31_08480
ko:K04047	kpy:KPNIH31_08485
ko:K11939	kpy:KPNIH31_08490
ko:K11934	kpy:KPNIH31_08500
ko:K06219	kpy:KPNIH31_09050
ko:K03633	kpy:KPNIH31_09055
ko:K03804	kpy:KPNIH31_09060
ko:K03632	kpy:KPNIH31_09065
ko:K00813	kpy:KPNIH31_09085
ko:K09476	kpy:KPNIH31_09090
ko:K01893	kpy:KPNIH31_09095
ko:K01751	kpy:KPNIH31_09105
ko:K03837	kpy:KPNIH31_09110
ko:K06016	kpy:KPNIH31_09115
ko:K00763	kpy:KPNIH31_09125
ko:K01256	kpy:KPNIH31_09135
ko:K15555	kpy:KPNIH31_09140
ko:K15554	kpy:KPNIH31_09145
ko:K04091	kpy:KPNIH31_09150
ko:K15553	kpy:KPNIH31_09155
ko:K00299	kpy:KPNIH31_09160
ko:K00254	kpy:KPNIH31_09165
ko:K18657	kpy:KPNIH31_09170
ko:K07140	kpy:KPNIH31_09175
ko:K12297	kpy:KPNIH31_09180
ko:K15738	kpy:KPNIH31_09185
ko:K03808	kpy:KPNIH31_09190
ko:K06192	kpy:KPNIH31_09195
ko:K09857	kpy:KPNIH31_09200
ko:K03812	kpy:KPNIH31_09205
ko:K01716	kpy:KPNIH31_09210
ko:K04770	kpy:KPNIH31_09215
ko:K09911	kpy:KPNIH31_09220
ko:K03286	kpy:KPNIH31_09225
ko:K13053	kpy:KPNIH31_09230
ko:K07343	kpy:KPNIH31_09235
ko:K03658	kpy:KPNIH31_09250
ko:K01734	kpy:KPNIH31_09255
ko:K06929	kpy:KPNIH31_09260
ko:K11940	kpy:KPNIH31_09265
ko:K06969	kpy:KPNIH31_09270
ko:K06910	kpy:KPNIH31_09275
ko:K01512	kpy:KPNIH31_09285
ko:K11179	kpy:KPNIH31_09290
ko:K15580	kpy:KPNIH31_09300
ko:K09810	kpy:KPNIH31_09870
ko:K09808	kpy:KPNIH31_09875
ko:K00884	kpy:KPNIH31_09880
ko:K12410	kpy:KPNIH31_09885
ko:K01803	kpy:KPNIH31_09900
ko:K02526	kpy:KPNIH31_09915
ko:K02781	kpy:KPNIH31_09920
ko:K01808	kpy:KPNIH31_09925
ko:K00616	kpy:KPNIH31_09930
ko:K00615	kpy:KPNIH31_09935
ko:K11069	kpy:KPNIH31_09950
ko:K11070	kpy:KPNIH31_09955
ko:K11071	kpy:KPNIH31_09960
ko:K11072	kpy:KPNIH31_09965
ko:K01258	kpy:KPNIH31_09970
ko:K07637	kpy:KPNIH31_09980
ko:K07660	kpy:KPNIH31_09985
ko:K01756	kpy:KPNIH31_10000
ko:K07153	kpy:KPNIH31_10005
ko:K00566	kpy:KPNIH31_10010
ko:K12152	kpy:KPNIH31_10015
ko:K06181	kpy:KPNIH31_10020
ko:K00031	kpy:KPNIH31_10025
ko:K09984	kpy:KPNIH31_10050
ko:K00425	kpy:KPNIH31_10085
ko:K00426	kpy:KPNIH31_10090
ko:K03182	kpy:KPNIH31_10120
ko:K14054	kpy:KPNIH31_10945
ko:K15580	kpy:KPNIH31_10955
ko:K06889	kpy:KPNIH31_10975
ko:K04757	kpy:KPNIH31_10995
ko:K06885	kpy:KPNIH31_11010
ko:K05520	kpy:KPNIH31_11015
ko:K11901	kpy:KPNIH31_11025
ko:K11900	kpy:KPNIH31_11030
ko:K11893	kpy:KPNIH31_11035
ko:K11892	kpy:KPNIH31_11040
ko:K11903	kpy:KPNIH31_11050
ko:K11907	kpy:KPNIH31_11055
ko:K11904	kpy:KPNIH31_11060
ko:K11891	kpy:KPNIH31_11100
ko:K11910	kpy:KPNIH31_11105
ko:K11896	kpy:KPNIH31_11110
ko:K03092	kpy:KPNIH31_23045
ko:K05808	kpy:KPNIH31_23050
ko:K02806	kpy:KPNIH31_23055
ko:K06958	kpy:KPNIH31_23060
ko:K08485	kpy:KPNIH31_23065
ko:K03814	kpy:KPNIH31_23070
ko:K07648	kpy:KPNIH31_23080
ko:K01686	kpy:KPNIH31_23085
ko:K05540	kpy:KPNIH31_23355
ko:K03557	kpy:KPNIH31_23360
ko:K18140	kpy:KPNIH31_23365
ko:K18141	kpy:KPNIH31_23370
ko:K18142	kpy:KPNIH31_23375
ko:K00014	kpy:KPNIH31_23420
ko:K07566	kpy:KPNIH31_23425
ko:K07479	kpy:KPNIH31_23430
ko:K03747	kpy:KPNIH31_23435
ko:K04096	kpy:KPNIH31_23440
ko:K01462	kpy:KPNIH31_23445
ko:K00604	kpy:KPNIH31_23450
ko:K03500	kpy:KPNIH31_23455
ko:K03499	kpy:KPNIH31_23460
ko:K03282	kpy:KPNIH31_23465
ko:K02879	kpy:KPNIH31_23480
ko:K03040	kpy:KPNIH31_23485
ko:K02986	kpy:KPNIH31_23490
ko:K02948	kpy:KPNIH31_23495
ko:K02952	kpy:KPNIH31_23500
ko:K03076	kpy:KPNIH31_23505
ko:K02876	kpy:KPNIH31_23510
ko:K02907	kpy:KPNIH31_23515
ko:K02988	kpy:KPNIH31_23520
ko:K02881	kpy:KPNIH31_23525
ko:K02933	kpy:KPNIH31_23530
ko:K02994	kpy:KPNIH31_23535
ko:K02954	kpy:KPNIH31_23540
ko:K02931	kpy:KPNIH31_23545
ko:K02895	kpy:KPNIH31_23550
ko:K02874	kpy:KPNIH31_23555
ko:K02961	kpy:KPNIH31_23560
ko:K02904	kpy:KPNIH31_23565
ko:K02878	kpy:KPNIH31_23570
ko:K02982	kpy:KPNIH31_23575
ko:K02890	kpy:KPNIH31_23580
ko:K02965	kpy:KPNIH31_23585
ko:K02886	kpy:KPNIH31_23590
ko:K02892	kpy:KPNIH31_23595
ko:K02926	kpy:KPNIH31_23600
ko:K02906	kpy:KPNIH31_23605
ko:K02946	kpy:KPNIH31_23610
ko:K02506	kpy:KPNIH31_23615
ko:K03594	kpy:KPNIH31_23620
ko:K02192	kpy:KPNIH31_23625
ko:K02358	kpy:KPNIH31_23630
ko:K02355	kpy:KPNIH31_23635
ko:K02992	kpy:KPNIH31_23640
ko:K02950	kpy:KPNIH31_23645
ko:K07237	kpy:KPNIH31_23650
ko:K07236	kpy:KPNIH31_23655
ko:K07235	kpy:KPNIH31_23660
ko:K03772	kpy:KPNIH31_23670
ko:K03745	kpy:KPNIH31_23675
ko:K03775	kpy:KPNIH31_23680
ko:K07070	kpy:KPNIH31_23685
ko:K11747	kpy:KPNIH31_23690
ko:K06158	kpy:KPNIH31_23700
ko:K07019	kpy:KPNIH31_23710
ko:K09898	kpy:KPNIH31_23715
ko:K00855	kpy:KPNIH31_23720
ko:K07397	kpy:KPNIH31_23725
ko:K10914	kpy:KPNIH31_23730
ko:K01664	kpy:KPNIH31_23745
ko:K04095	kpy:KPNIH31_23750
ko:K03767	kpy:KPNIH31_23760
ko:K06141	kpy:KPNIH31_23765
ko:K01485	kpy:KPNIH31_23770
ko:K00362	kpy:KPNIH31_23780
ko:K00363	kpy:KPNIH31_23785
ko:K02302	kpy:KPNIH31_23790
ko:K01867	kpy:KPNIH31_23795
ko:K01091	kpy:KPNIH31_23800
ko:K01783	kpy:KPNIH31_23805
ko:K03112	kpy:KPNIH31_23815
ko:K01735	kpy:KPNIH31_23820
ko:K00891	kpy:KPNIH31_23825
ko:K02507	kpy:KPNIH31_23830
ko:K12291	kpy:KPNIH31_23835
ko:K12290	kpy:KPNIH31_23840
ko:K12289	kpy:KPNIH31_23845
ko:K12288	kpy:KPNIH31_23850
ko:K05366	kpy:KPNIH31_23855
ko:K08312	kpy:KPNIH31_23860
ko:K04762	kpy:KPNIH31_23875
ko:K04083	kpy:KPNIH31_23880
ko:K11895	kpy:KPNIH31_11115
ko:K11906	kpy:KPNIH31_11120
ko:K08969	kpy:KPNIH31_11190
ko:K02073	kpy:KPNIH31_11195
ko:K02071	kpy:KPNIH31_11200
ko:K02072	kpy:KPNIH31_11205
ko:K00832	kpy:KPNIH31_11210
ko:K00656	kpy:KPNIH31_15835
ko:K00932	kpy:KPNIH31_15840
ko:K03838	kpy:KPNIH31_15845
ko:K01754	kpy:KPNIH31_15850
ko:K07592	kpy:KPNIH31_15855
ko:K07395	kpy:KPNIH31_15880
ko:K01194	kpy:KPNIH31_15900
ko:K02014	kpy:KPNIH31_15905
ko:K08308	kpy:KPNIH31_15910
ko:K01297	kpy:KPNIH31_15915
ko:K11105	kpy:KPNIH31_15920
ko:K01775	kpy:KPNIH31_15925
ko:K00285	kpy:KPNIH31_15930
ko:K03603	kpy:KPNIH31_15945
ko:K03314	kpy:KPNIH31_15950
ko:K03611	kpy:KPNIH31_15955
ko:K09160	kpy:KPNIH31_15965
ko:K09902	kpy:KPNIH31_15975
ko:K03610	kpy:KPNIH31_15985
ko:K03609	kpy:KPNIH31_15990
ko:K03608	kpy:KPNIH31_15995
ko:K03684	kpy:KPNIH31_16000
ko:K01897	kpy:KPNIH31_16005
ko:K07285	kpy:KPNIH31_16010
ko:K09917	kpy:KPNIH31_16030
ko:K01665	kpy:KPNIH31_16035
ko:K01752	kpy:KPNIH31_16045
ko:K02793	kpy:KPNIH31_16065
ko:K02794	kpy:KPNIH31_16065
ko:K02795	kpy:KPNIH31_16070
ko:K00563	kpy:KPNIH31_16090
ko:K03587	kpy:KPNIH31_16095
ko:K03704	kpy:KPNIH31_16100
ko:K08169	kpy:KPNIH31_16130
ko:K03799	kpy:KPNIH31_16135
ko:K03797	kpy:KPNIH31_16140
ko:K03607	kpy:KPNIH31_16145
ko:K03808	kpy:KPNIH31_16155
ko:K11392	kpy:KPNIH31_16165
ko:K09824	kpy:KPNIH31_16185
ko:K07245	kpy:KPNIH31_16200
ko:K07156	kpy:KPNIH31_16205
ko:K10857	kpy:KPNIH31_16215
ko:K01354	kpy:KPNIH31_16220
ko:K09918	kpy:KPNIH31_16230
ko:K08289	kpy:KPNIH31_16235
ko:K01625	kpy:KPNIH31_16240
ko:K01690	kpy:KPNIH31_16245
ko:K00036	kpy:KPNIH31_16250
ko:K00873	kpy:KPNIH31_16265
ko:K02560	kpy:KPNIH31_16270
ko:K09815	kpy:KPNIH31_16280
ko:K09817	kpy:KPNIH31_16285
ko:K09816	kpy:KPNIH31_16290
ko:K03551	kpy:KPNIH31_16295
ko:K03550	kpy:KPNIH31_16300
ko:K01159	kpy:KPNIH31_16305
ko:K08310	kpy:KPNIH31_16315
ko:K01876	kpy:KPNIH31_16320
ko:K07136	kpy:KPNIH31_16335
ko:K15256	kpy:KPNIH31_16340
ko:K15257	kpy:KPNIH31_16345
ko:K06201	kpy:KPNIH31_16350
ko:K09907	kpy:KPNIH31_16355
ko:K01887	kpy:KPNIH31_16360
ko:K15532	kpy:KPNIH31_16365
ko:K16210	kpy:KPNIH31_16370
ko:K14064	kpy:KPNIH31_16375
ko:K00697	kpy:KPNIH31_16380
ko:K01087	kpy:KPNIH31_16385
ko:K10538	kpy:KPNIH31_16390
ko:K10539	kpy:KPNIH31_16395
ko:K10537	kpy:KPNIH31_16400
ko:K02255	kpy:KPNIH31_16405
ko:K16210	kpy:KPNIH31_16415
ko:K02217	kpy:KPNIH31_16440
ko:K03834	kpy:KPNIH31_16450
ko:K07039	kpy:KPNIH31_16455
ko:K01714	kpy:KPNIH31_16460
ko:K00995	kpy:KPNIH31_16480
ko:K03703	kpy:KPNIH31_16485
ko:K07689	kpy:KPNIH31_16490
ko:K07782	kpy:KPNIH31_16500
ko:K10010	kpy:KPNIH31_16505
ko:K10009	kpy:KPNIH31_16510
ko:K02424	kpy:KPNIH31_16520
ko:K01176	kpy:KPNIH31_16525
ko:K07781	kpy:KPNIH31_16535
ko:K09781	kpy:KPNIH31_16555
ko:K07458	kpy:KPNIH31_16565
ko:K06950	kpy:KPNIH31_16575
ko:K09933	kpy:KPNIH31_16595
ko:K13635	kpy:KPNIH31_16620
ko:K03316	kpy:KPNIH31_16635
ko:K16137	kpy:KPNIH31_16640
ko:K01241	kpy:KPNIH31_16665
ko:K03566	kpy:KPNIH31_16710
ko:K07168	kpy:KPNIH31_16765
ko:K01251	kpy:KPNIH31_16770
ko:K00768	kpy:KPNIH31_16775
ko:K02233	kpy:KPNIH31_16780
ko:K09802	kpy:KPNIH31_16785
ko:K07470	kpy:KPNIH31_16795
ko:K07258	kpy:KPNIH31_16805
ko:K01141	kpy:KPNIH31_16810
ko:K02355	kpy:KPNIH31_16815
ko:K00765	kpy:KPNIH31_16840
ko:K00013	kpy:KPNIH31_16845
ko:K00817	kpy:KPNIH31_16850
ko:K01089	kpy:KPNIH31_16855
ko:K02501	kpy:KPNIH31_16860
ko:K01814	kpy:KPNIH31_16865
ko:K02500	kpy:KPNIH31_16870
ko:K11755	kpy:KPNIH31_16875
ko:K08679	kpy:KPNIH31_16950
ko:K00012	kpy:KPNIH31_16965
ko:K00033	kpy:KPNIH31_16970
ko:K16692	kpy:KPNIH31_17010
ko:K01991	kpy:KPNIH31_17015
ko:K00963	kpy:KPNIH31_17035
ko:K07289	kpy:KPNIH31_17045
ko:K01494	kpy:KPNIH31_17050
ko:K00876	kpy:KPNIH31_17055
ko:K01247	kpy:KPNIH31_17060
ko:K04046	kpy:KPNIH31_17065
ko:K07660	kpy:KPNIH31_17075
ko:K07799	kpy:KPNIH31_17095
ko:K07788	kpy:KPNIH31_17100
ko:K07789	kpy:KPNIH31_17105
ko:K18326	kpy:KPNIH31_17110
ko:K07642	kpy:KPNIH31_17115
ko:K07664	kpy:KPNIH31_17120
ko:K08303	kpy:KPNIH31_17125
ko:K00854	kpy:KPNIH31_17145
ko:K00007	kpy:KPNIH31_17150
ko:K03435	kpy:KPNIH31_17160
ko:K00039	kpy:KPNIH31_17165
ko:K00941	kpy:KPNIH31_17185
ko:K03291	kpy:KPNIH31_17450
ko:K09968	kpy:KPNIH31_17455
ko:K02356	kpy:KPNIH31_17465
ko:K01686	kpy:KPNIH31_17470
ko:K13694	kpy:KPNIH31_17490
ko:K13893	kpy:KPNIH31_17500
ko:K13894	kpy:KPNIH31_17505
ko:K13895	kpy:KPNIH31_17510
ko:K13896	kpy:KPNIH31_17515
ko:K07552	kpy:KPNIH31_17525
ko:K06183	kpy:KPNIH31_17530
ko:K02897	kpy:KPNIH31_17540
ko:K06899	kpy:KPNIH31_17565
ko:K09904	kpy:KPNIH31_17570
ko:K07014	kpy:KPNIH31_17575
ko:K08276	kpy:KPNIH31_17590
