ko:K19744	paer:PA1R_gp1756
ko:K09384	paer:PA1R_gp0542
ko:K07727	paer:PA1R_gp0607
ko:K01295	paer:PA1R_gp0609
ko:K05539	paer:PA1R_gp0617
ko:K00616	paer:PA1R_gp0618
ko:K04754	paer:PA1R_gp0622
ko:K07107	paer:PA1R_gp0623
ko:K06879	paer:PA1R_gp0628
ko:K07644	paer:PA1R_gp0631
ko:K01992	paer:PA1R_gp0632
ko:K01990	paer:PA1R_gp0633
ko:K06445	paer:PA1R_gp0636
ko:K03088	paer:PA1R_gp0640
ko:K10016	paer:PA1R_gp0756
ko:K10015	paer:PA1R_gp0757
ko:K10017	paer:PA1R_gp0758
ko:K10680	paer:PA1R_gp0764
ko:K13580	paer:PA1R_gp0772
ko:K03405	paer:PA1R_gp0773
ko:K01626	paer:PA1R_gp0775
ko:K02230	paer:PA1R_gp0776
ko:K02234	paer:PA1R_gp0777
ko:K02189	paer:PA1R_gp0780
ko:K05936	paer:PA1R_gp0781
ko:K00209	paer:PA1R_gp0783
ko:K03522	paer:PA1R_gp0784
ko:K03521	paer:PA1R_gp0785
ko:K00311	paer:PA1R_gp0786
ko:K09986	paer:PA1R_gp0787
ko:K03424	paer:PA1R_gp0792
ko:K02676	paer:PA1R_gp0793
ko:K02341	paer:PA1R_gp0794
ko:K00943	paer:PA1R_gp0795
ko:K07082	paer:PA1R_gp0796
ko:K02619	paer:PA1R_gp0797
ko:K09458	paer:PA1R_gp0798
ko:K02078	paer:PA1R_gp0799
ko:K00059	paer:PA1R_gp0800
ko:K00645	paer:PA1R_gp0801
ko:K03621	paer:PA1R_gp0802
ko:K07040	paer:PA1R_gp0803
ko:K04773	paer:PA1R_gp0805
ko:K01091	paer:PA1R_gp0806
ko:K01704	paer:PA1R_gp0959
ko:K01703	paer:PA1R_gp0960
ko:K04080	paer:PA1R_gp0965
ko:K05541	paer:PA1R_gp0968
ko:K07107	paer:PA1R_gp0969
ko:K01625	paer:PA1R_gp0970
ko:K01885	paer:PA1R_gp0977
ko:K03543	paer:PA1R_gp0979
ko:K03446	paer:PA1R_gp0980
ko:K03702	paer:PA1R_gp0981
ko:K00832	paer:PA1R_gp0982
ko:K02237	paer:PA1R_gp0984
ko:K01953	paer:PA1R_gp0988
ko:K02473	paer:PA1R_gp0990
ko:K02474	paer:PA1R_gp0991
ko:K05788	paer:PA1R_gp0992
ko:K02945	paer:PA1R_gp0993
ko:K00945	paer:PA1R_gp0994
ko:K00800	paer:PA1R_gp0995
ko:K00817	paer:PA1R_gp0996
ko:K14170	paer:PA1R_gp0997
ko:K00831	paer:PA1R_gp0998
ko:K02469	paer:PA1R_gp0999
ko:K08963	paer:PA1R_gp1000
ko:K00568	paer:PA1R_gp1002
ko:K01479	paer:PA1R_gp1006
ko:K03312	paer:PA1R_gp1007
ko:K05774	paer:PA1R_gp1212
ko:K06162	paer:PA1R_gp1213
ko:K05780	paer:PA1R_gp1214
ko:K05781	paer:PA1R_gp1215
ko:K06163	paer:PA1R_gp1216
ko:K06164	paer:PA1R_gp1217
ko:K06165	paer:PA1R_gp1218
ko:K00228	paer:PA1R_gp3534
ko:K00014	paer:PA1R_gp3535
ko:K03321	paer:PA1R_gp3539
ko:K02002	paer:PA1R_gp3540
ko:K10253	paer:PA1R_gp3543
ko:K07690	paer:PA1R_gp3545
ko:K01695	paer:PA1R_gp3546
ko:K01696	paer:PA1R_gp3547
ko:K09165	paer:PA1R_gp3549
ko:K15125	paer:PA1R_gp3552
ko:K15125	paer:PA1R_gp3553
ko:K01953	paer:PA1R_gp3566
ko:K07559	paer:PA1R_gp3568
ko:K09983	paer:PA1R_gp3569
ko:K07396	paer:PA1R_gp3572
ko:K04063	paer:PA1R_gp3573
ko:K01091	paer:PA1R_gp3579
ko:K01414	paer:PA1R_gp3581
ko:K07070	paer:PA1R_gp3582
ko:K01714	paer:PA1R_gp3737
ko:K01628	paer:PA1R_gp3738
ko:K01039	paer:PA1R_gp3740
ko:K01040	paer:PA1R_gp3741
ko:K07823	paer:PA1R_gp3742
ko:K01857	paer:PA1R_gp3744
ko:K01055	paer:PA1R_gp3745
ko:K01607	paer:PA1R_gp3746
ko:K08195	paer:PA1R_gp3749
ko:K08191	paer:PA1R_gp3755
ko:K00457	paer:PA1R_gp3756
ko:K00014	paer:PA1R_gp3758
ko:K03786	paer:PA1R_gp3759
ko:K00481	paer:PA1R_gp3761
ko:K03827	paer:PA1R_gp3763
ko:K03182	paer:PA1R_gp3768
ko:K14268	paer:PA1R_gp3775
ko:K00375	paer:PA1R_gp3777
ko:K03449	paer:PA1R_gp3782
ko:K07387	paer:PA1R_gp3786
ko:K07090	paer:PA1R_gp3787
ko:K04750	paer:PA1R_gp4961
ko:K11939	paer:PA1R_gp4968
ko:K03327	paer:PA1R_gp4969
ko:K03088	paer:PA1R_gp4971
ko:K02014	paer:PA1R_gp4973
ko:K09458	paer:PA1R_gp4975
ko:K03473	paer:PA1R_gp4977
ko:K00906	paer:PA1R_gp4978
ko:K03825	paer:PA1R_gp4979
ko:K06969	paer:PA1R_gp5003
ko:K11073	paer:PA1R_gp5007
ko:K02343	paer:PA1R_gp5114
ko:K09747	paer:PA1R_gp5115
ko:K06187	paer:PA1R_gp5116
ko:K09925	paer:PA1R_gp5118
ko:K11743	paer:PA1R_gp5122
ko:K07044	paer:PA1R_gp5123
ko:K00759	paer:PA1R_gp5124
ko:K09792	paer:PA1R_gp5128
ko:K09926	paer:PA1R_gp5131
ko:K00406	paer:PA1R_gp5133
ko:K00405	paer:PA1R_gp5134
ko:K00404	paer:PA1R_gp5135
ko:K00406	paer:PA1R_gp5136
ko:K00405	paer:PA1R_gp5137
ko:K00404	paer:PA1R_gp5138
ko:K07020	paer:PA1R_gp5139
ko:K03776	paer:PA1R_gp5141
ko:K01681	paer:PA1R_gp5143
ko:K06968	paer:PA1R_gp5144
ko:K04085	paer:PA1R_gp5145
ko:K01915	paer:PA1R_gp5147
ko:K09974	paer:PA1R_gp5154
ko:K09913	paer:PA1R_gp5155
ko:K09922	paer:PA1R_gp5158
ko:K01647	paer:PA1R_gp5161
ko:K06446	paer:PA1R_gp5212
ko:K01546	paer:PA1R_gp5213
ko:K01547	paer:PA1R_gp5214
ko:K01548	paer:PA1R_gp5215
ko:K07646	paer:PA1R_gp5216
ko:K07667	paer:PA1R_gp5217
ko:K01425	paer:PA1R_gp5218
ko:K07001	paer:PA1R_gp5220
ko:K01008	paer:PA1R_gp5222
ko:K06917	paer:PA1R_gp5223
ko:K03406	paer:PA1R_gp5227
ko:K03453	paer:PA1R_gp5231
ko:K05782	paer:PA1R_gp5232
ko:K00799	paer:PA1R_gp5236
ko:K11910	paer:PA1R_gp5237
ko:K11901	paer:PA1R_gp5238
ko:K11900	paer:PA1R_gp5239
ko:K11905	paer:PA1R_gp5240
ko:K11896	paer:PA1R_gp5241
ko:K11895	paer:PA1R_gp5242
ko:K11907	paer:PA1R_gp5243
ko:K11906	paer:PA1R_gp5246
ko:K11893	paer:PA1R_gp5247
ko:K11892	paer:PA1R_gp5248
ko:K11891	paer:PA1R_gp5249
ko:K11915	paer:PA1R_gp5250
ko:K06996	paer:PA1R_gp5252
ko:K01495	paer:PA1R_gp5254
ko:K07320	paer:PA1R_gp5258
ko:K06889	paer:PA1R_gp5260
ko:K01736	paer:PA1R_gp5261
ko:K05820	paer:PA1R_gp5262
ko:K07395	paer:PA1R_gp5311
ko:K07088	paer:PA1R_gp5313
ko:K00626	paer:PA1R_gp5314
ko:K01782	paer:PA1R_gp5315
ko:K01692	paer:PA1R_gp5325
ko:K06975	paer:PA1R_gp5326
ko:K01626	paer:PA1R_gp5327
ko:K00077	paer:PA1R_gp5329
ko:K13634	paer:PA1R_gp5331
ko:K00390	paer:PA1R_gp5333
ko:K02203	paer:PA1R_gp5334
ko:K01665	paer:PA1R_gp5335
ko:K03556	paer:PA1R_gp5336
ko:K03556	paer:PA1R_gp5337
ko:K09773	paer:PA1R_gp5346
ko:K02553	paer:PA1R_gp5349
ko:K16074	paer:PA1R_gp5350
ko:K03088	paer:PA1R_gp5353
ko:K03286	paer:PA1R_gp5354
ko:K02303	paer:PA1R_gp5355
ko:K00372	paer:PA1R_gp5356
ko:K00363	paer:PA1R_gp5357
ko:K00362	paer:PA1R_gp5358
ko:K01491	paer:PA1R_gp5414
ko:K03545	paer:PA1R_gp5424
ko:K01358	paer:PA1R_gp5425
ko:K03544	paer:PA1R_gp5426
ko:K01338	paer:PA1R_gp5427
ko:K03530	paer:PA1R_gp5428
ko:K03770	paer:PA1R_gp5430
ko:K00208	paer:PA1R_gp5431
ko:K13896	paer:PA1R_gp5432
ko:K13895	paer:PA1R_gp5433
ko:K13894	paer:PA1R_gp5434
ko:K13893	paer:PA1R_gp5435
ko:K13893	paer:PA1R_gp5436
ko:K08307	paer:PA1R_gp5437
ko:K01069	paer:PA1R_gp5438
ko:K03469	paer:PA1R_gp5440
ko:K02342	paer:PA1R_gp5441
ko:K01584	paer:PA1R_gp5443
ko:K03294	paer:PA1R_gp5444
ko:K03314	paer:PA1R_gp5445
ko:K01692	paer:PA1R_gp5446
ko:K03426	paer:PA1R_gp5448
ko:K07090	paer:PA1R_gp5449
ko:K00059	paer:PA1R_gp5452
ko:K04774	paer:PA1R_gp5457
ko:K00381	paer:PA1R_gp5463
ko:K00799	paer:PA1R_gp5519
ko:K01434	paer:PA1R_gp5522
ko:K13063	paer:PA1R_gp5532
ko:K02014	paer:PA1R_gp5539
ko:K03088	paer:PA1R_gp5541
ko:K09684	paer:PA1R_gp5545
ko:K06166	paer:PA1R_gp1219
ko:K06167	paer:PA1R_gp1211
ko:K04764	paer:PA1R_gp0552
ko:K01890	paer:PA1R_gp0553
ko:K01889	paer:PA1R_gp0554
ko:K02887	paer:PA1R_gp0555
ko:K02520	paer:PA1R_gp0556
ko:K01868	paer:PA1R_gp0557
ko:K01265	paer:PA1R_gp0562
ko:K01150	paer:PA1R_gp0564
ko:K07058	paer:PA1R_gp0568
ko:K08276	paer:PA1R_gp0574
ko:K06995	paer:PA1R_gp0581
ko:K07223	paer:PA1R_gp0585
ko:K03574	paer:PA1R_gp0589
ko:K09471	paer:PA1R_gp0598
ko:K00432	paer:PA1R_gp0657
ko:K07305	paer:PA1R_gp0658
ko:K14260	paer:PA1R_gp0659
ko:K03799	paer:PA1R_gp0661
ko:K00569	paer:PA1R_gp0663
ko:K03543	paer:PA1R_gp0667
ko:K05592	paer:PA1R_gp0672
ko:K01626	paer:PA1R_gp0675
ko:K09927	paer:PA1R_gp0676
ko:K07090	paer:PA1R_gp0679
ko:K02356	paer:PA1R_gp0683
ko:K10804	paer:PA1R_gp0689
ko:K02003	paer:PA1R_gp0690
ko:K02004	paer:PA1R_gp0691
ko:K04760	paer:PA1R_gp0692
ko:K01975	paer:PA1R_gp0694
ko:K06923	paer:PA1R_gp0654
ko:K15977	paer:PA1R_gp0697
ko:K03424	paer:PA1R_gp0699
ko:K06179	paer:PA1R_gp0807
ko:K08300	paer:PA1R_gp0809
ko:K00075	paer:PA1R_gp0810
ko:K01104	paer:PA1R_gp0811
ko:K00979	paer:PA1R_gp0812
ko:K00912	paer:PA1R_gp0813
ko:K03559	paer:PA1R_gp0814
ko:K03561	paer:PA1R_gp0815
ko:K02238	paer:PA1R_gp0816
ko:K09928	paer:PA1R_gp0817
ko:K09808	paer:PA1R_gp0818
ko:K09810	paer:PA1R_gp0819
ko:K09808	paer:PA1R_gp0820
ko:K01126	paer:PA1R_gp0823
ko:K00322	paer:PA1R_gp0824
ko:K05952	paer:PA1R_gp0825
ko:K03734	paer:PA1R_gp0826
ko:K00351	paer:PA1R_gp0827
ko:K00350	paer:PA1R_gp0828
ko:K00349	paer:PA1R_gp0829
ko:K00348	paer:PA1R_gp0830
ko:K00347	paer:PA1R_gp0831
ko:K00346	paer:PA1R_gp0832
ko:K11734	paer:PA1R_gp0833
ko:K00134	paer:PA1R_gp0834
ko:K03723	paer:PA1R_gp0835
ko:K01207	paer:PA1R_gp0838
ko:K01356	paer:PA1R_gp0840
ko:K03168	paer:PA1R_gp0844
ko:K01825	paer:PA1R_gp0847
ko:K06149	paer:PA1R_gp0850
ko:K15738	paer:PA1R_gp0852
ko:K08309	paer:PA1R_gp0853
ko:K07140	paer:PA1R_gp0855
ko:K06178	paer:PA1R_gp1010
ko:K03574	paer:PA1R_gp1011
ko:K01625	paer:PA1R_gp1012
ko:K01057	paer:PA1R_gp1013
ko:K00036	paer:PA1R_gp1014
ko:K07267	paer:PA1R_gp1017
ko:K10112	paer:PA1R_gp1018
ko:K17317	paer:PA1R_gp1019
ko:K17316	paer:PA1R_gp1020
ko:K17315	paer:PA1R_gp1021
ko:K00845	paer:PA1R_gp1024
ko:K01690	paer:PA1R_gp1025
ko:K00134	paer:PA1R_gp1026
ko:K06024	paer:PA1R_gp1028
ko:K05896	paer:PA1R_gp1029
ko:K07053	paer:PA1R_gp1031
ko:K06190	paer:PA1R_gp1032
ko:K09780	paer:PA1R_gp1033
ko:K06940	paer:PA1R_gp1040
ko:K03498	paer:PA1R_gp1041
ko:K02066	paer:PA1R_gp1042
ko:K02065	paer:PA1R_gp1043
ko:K02067	paer:PA1R_gp1044
ko:K06878	paer:PA1R_gp1052
ko:K01118	paer:PA1R_gp1054
ko:K03924	paer:PA1R_gp0708
ko:K01591	paer:PA1R_gp0709
ko:K07052	paer:PA1R_gp0716
ko:K13774	paer:PA1R_gp0719
ko:K13778	paer:PA1R_gp0720
ko:K11731	paer:PA1R_gp0721
ko:K13779	paer:PA1R_gp0722
ko:K13777	paer:PA1R_gp0723
ko:K13776	paer:PA1R_gp0725
ko:K03088	paer:PA1R_gp0728
ko:K02030	paer:PA1R_gp0734
ko:K13541	paer:PA1R_gp0735
ko:K03394	paer:PA1R_gp0736
ko:K06042	paer:PA1R_gp0737
ko:K02229	paer:PA1R_gp0738
ko:K00595	paer:PA1R_gp0739
ko:K02188	paer:PA1R_gp0740
ko:K05895	paer:PA1R_gp0741
ko:K02014	paer:PA1R_gp0743
ko:K02013	paer:PA1R_gp0744
ko:K02016	paer:PA1R_gp0745
ko:K02015	paer:PA1R_gp0746
ko:K03406	paer:PA1R_gp0752
ko:K00111	paer:PA1R_gp0858
ko:K00803	paer:PA1R_gp0859
ko:K03750	paer:PA1R_gp0861
ko:K03638	paer:PA1R_gp0862
ko:K03752	paer:PA1R_gp0863
ko:K00799	paer:PA1R_gp0869
ko:K07006	paer:PA1R_gp0870
ko:K03320	paer:PA1R_gp0873
ko:K01129	paer:PA1R_gp0878
ko:K07690	paer:PA1R_gp0880
ko:K09923	paer:PA1R_gp0881
ko:K07259	paer:PA1R_gp0882
ko:K12297	paer:PA1R_gp0883
ko:K00254	paer:PA1R_gp0884
ko:K15371	paer:PA1R_gp0902
ko:K03924	paer:PA1R_gp0904
ko:K07114	paer:PA1R_gp0907
ko:K03767	paer:PA1R_gp1058
ko:K09919	paer:PA1R_gp1061
ko:K02342	paer:PA1R_gp1062
ko:K07182	paer:PA1R_gp1063
ko:K14393	paer:PA1R_gp1064
ko:K02002	paer:PA1R_gp1066
ko:K04754	paer:PA1R_gp1069
ko:K06911	paer:PA1R_gp1070
ko:K07001	paer:PA1R_gp1071
ko:K02517	paer:PA1R_gp1072
ko:K03610	paer:PA1R_gp1073
ko:K03609	paer:PA1R_gp1074
ko:K03608	paer:PA1R_gp1075
ko:K06177	paer:PA1R_gp1076
ko:K03817	paer:PA1R_gp1078
ko:K02055	paer:PA1R_gp1080
ko:K02054	paer:PA1R_gp1082
ko:K02053	paer:PA1R_gp1083
ko:K02052	paer:PA1R_gp1084
ko:K03797	paer:PA1R_gp1087
ko:K03773	paer:PA1R_gp1094
ko:K03554	paer:PA1R_gp1098
ko:K03453	paer:PA1R_gp1099
ko:K03704	paer:PA1R_gp1101
ko:K16091	paer:PA1R_gp1103
ko:K07114	paer:PA1R_gp0908
ko:K01256	paer:PA1R_gp0919
ko:K09916	paer:PA1R_gp0921
ko:K02441	paer:PA1R_gp0922
ko:K00858	paer:PA1R_gp0924
ko:K09977	paer:PA1R_gp0925
ko:K06995	paer:PA1R_gp5547
ko:K16089	paer:PA1R_gp5552
ko:K02230	paer:PA1R_gp5553
ko:K09136	paer:PA1R_gp5556
ko:K00549	paer:PA1R_gp5557
ko:K03790	paer:PA1R_gp5558
ko:K03406	paer:PA1R_gp5560
ko:K13483	paer:PA1R_gp5561
ko:K11178	paer:PA1R_gp5562
ko:K11177	paer:PA1R_gp5563
ko:K00688	paer:PA1R_gp5623
ko:K03781	paer:PA1R_gp5625
ko:K07507	paer:PA1R_gp5626
ko:K10979	paer:PA1R_gp5628
ko:K16147	paer:PA1R_gp5629
ko:K05343	paer:PA1R_gp5630
ko:K00700	paer:PA1R_gp5631
ko:K07027	paer:PA1R_gp5632
ko:K06044	paer:PA1R_gp5640
ko:K00705	paer:PA1R_gp5641
ko:K01236	paer:PA1R_gp5642
ko:K00703	paer:PA1R_gp5643
ko:K06889	paer:PA1R_gp5646
ko:K06048	paer:PA1R_gp5660
ko:K16137	paer:PA1R_gp5667
ko:K02029	paer:PA1R_gp5674
ko:K02030	paer:PA1R_gp5675
ko:K08194	paer:PA1R_gp5681
ko:K00097	paer:PA1R_gp5683
ko:K03808	paer:PA1R_gp5689
ko:K00219	paer:PA1R_gp0928
ko:K02462	paer:PA1R_gp0934
ko:K02461	paer:PA1R_gp0935
ko:K02460	paer:PA1R_gp0936
ko:K02459	paer:PA1R_gp0937
ko:K02458	paer:PA1R_gp0938
ko:K02457	paer:PA1R_gp0939
ko:K02456	paer:PA1R_gp0940
ko:K02455	paer:PA1R_gp0941
ko:K02454	paer:PA1R_gp0942
ko:K02452	paer:PA1R_gp0943
ko:K02453	paer:PA1R_gp0944
ko:K10764	paer:PA1R_gp0946
ko:K00764	paer:PA1R_gp0947
ko:K03558	paer:PA1R_gp0948
ko:K03749	paer:PA1R_gp0949
ko:K11754	paer:PA1R_gp0950
ko:K01963	paer:PA1R_gp0951
ko:K01817	paer:PA1R_gp0952
ko:K06173	paer:PA1R_gp0953
ko:K08086	paer:PA1R_gp0954
ko:K00133	paer:PA1R_gp0956
ko:K00052	paer:PA1R_gp0957
ko:K03724	paer:PA1R_gp1107
ko:K09771	paer:PA1R_gp1110
ko:K07221	paer:PA1R_gp1114
ko:K07221	paer:PA1R_gp1116
ko:K09929	paer:PA1R_gp1118
ko:K09930	paer:PA1R_gp1119
ko:K03088	paer:PA1R_gp1122
ko:K16872	paer:PA1R_gp1123
ko:K02503	paer:PA1R_gp1131
ko:K01077	paer:PA1R_gp1132
ko:K03578	paer:PA1R_gp1133
ko:K01897	paer:PA1R_gp1135
ko:K01897	paer:PA1R_gp1136
ko:K03580	paer:PA1R_gp1145
ko:K03760	paer:PA1R_gp1147
ko:K02044	paer:PA1R_gp1150
ko:K02041	paer:PA1R_gp1151
ko:K02042	paer:PA1R_gp1152
ko:K02042	paer:PA1R_gp1153
ko:K01114	paer:PA1R_gp1156
ko:K09936	paer:PA1R_gp1157
ko:K07044	paer:PA1R_gp1162
ko:K01358	paer:PA1R_gp1163
ko:K00648	paer:PA1R_gp1170
ko:K02078	paer:PA1R_gp1171
ko:K03274	paer:PA1R_gp1174
ko:K07401	paer:PA1R_gp1175
ko:K07001	paer:PA1R_gp1176
ko:K06075	paer:PA1R_gp1179
ko:K03654	paer:PA1R_gp1182
ko:K00575	paer:PA1R_gp1186
ko:K03415	paer:PA1R_gp1187
ko:K02386	paer:PA1R_gp1188
ko:K02398	paer:PA1R_gp1189
ko:K02399	paer:PA1R_gp1190
ko:K09931	paer:PA1R_gp1192
ko:K01915	paer:PA1R_gp1194
ko:K01753	paer:PA1R_gp1195
ko:K01999	paer:PA1R_gp1202
ko:K01426	paer:PA1R_gp1204
ko:K02688	paer:PA1R_gp0002
ko:K00666	paer:PA1R_gp0007
ko:K14393	paer:PA1R_gp0009
ko:K00836	paer:PA1R_gp0011
ko:K00137	paer:PA1R_gp0012
