ko:K02495	ecoj:P423_21475
ko:K14230	ecoj:P423_15385
ko:K14230	ecoj:P423_17820
ko:K14230	ecoj:P423_15390
ko:K14233	ecoj:P423_11015
ko:K14224	ecoj:P423_21400
ko:K14224	ecoj:P423_22210
ko:K14224	ecoj:P423_20830
ko:K01485	ecoj:P423_01795
ko:K01487	ecoj:P423_15825
ko:K06518	ecoj:P423_12055
ko:K01838	ecoj:P423_07740
ko:K02477	ecoj:P423_11970
ko:K02809	ecoj:P423_15180
ko:K02810	ecoj:P423_15180
ko:K00537	ecoj:P423_13685
ko:K01497	ecoj:P423_07550
ko:K01130	ecoj:P423_21035
ko:K01271	ecoj:P423_21375
ko:K01467	ecoj:P423_23130
ko:K01659	ecoj:P423_01775
ko:K05799	ecoj:P423_00610
ko:K07749	ecoj:P423_13200
ko:K02081	ecoj:P423_17630
ko:K02226	ecoj:P423_03130
ko:K00042	ecoj:P423_17600
ko:K00537	ecoj:P423_19470
ko:K03277	ecoj:P423_20125
ko:K12986	ecoj:P423_20155
ko:K01160	ecoj:P423_10915
ko:K06518	ecoj:P423_22620
ko:K14238	ecoj:P423_20335
ko:K05714	ecoj:P423_01835
ko:K08173	ecoj:P423_08460
ko:K14237	ecoj:P423_13335
ko:K14237	ecoj:P423_03685
ko:K14237	ecoj:P423_13325
ko:K14237	ecoj:P423_13330
ko:K14230	ecoj:P423_17340
ko:K07274	ecoj:P423_09480
ko:K14223	ecoj:P423_03245
ko:K14233	ecoj:P423_14760
ko:K14226	ecoj:P423_21015
ko:K02058	ecoj:P423_13940
ko:K11645	ecoj:P423_11830
ko:K00632	ecoj:P423_13040
ko:K07645	ecoj:P423_17080
ko:K03605	ecoj:P423_05355
ko:K04771	ecoj:P423_00875
ko:K04772	ecoj:P423_18100
ko:K09017	ecoj:P423_05505
ko:K03719	ecoj:P423_04425
ko:K14219	ecoj:P423_02705
ko:K14219	ecoj:P423_10900
ko:K14219	ecoj:P423_14755
ko:K14219	ecoj:P423_14750
ko:K14219	ecoj:P423_14745
ko:K14218	ecoj:P423_01085
ko:K14218	ecoj:P423_18350
ko:K14218	ecoj:P423_22020
ko:K14218	ecoj:P423_13305
ko:K14225	ecoj:P423_23200
ko:K14225	ecoj:P423_23195
ko:K14225	ecoj:P423_23190
ko:K14225	ecoj:P423_22060
ko:K14221	ecoj:P423_20845
ko:K14221	ecoj:P423_01150
ko:K14237	ecoj:P423_03675
ko:K14237	ecoj:P423_08900
ko:K14228	ecoj:P423_24810
ko:K14228	ecoj:P423_24820
ko:K14228	ecoj:P423_24815
ko:K14228	ecoj:P423_23740
ko:K01980	ecoj:P423_22215
ko:K01980	ecoj:P423_21405
ko:K01980	ecoj:P423_20835
ko:K01980	ecoj:P423_22025
ko:K01980	ecoj:P423_18345
ko:K01980	ecoj:P423_14160
ko:K14234	ecoj:P423_18335
ko:K14234	ecoj:P423_22065
ko:K14220	ecoj:P423_11025
ko:K14220	ecoj:P423_11125
ko:K14220	ecoj:P423_11135
ko:K14220	ecoj:P423_11150
ko:K14236	ecoj:P423_22055
ko:K14231	ecoj:P423_16280
ko:K14231	ecoj:P423_23040
ko:K01977	ecoj:P423_01075
ko:K01977	ecoj:P423_22205
ko:K01977	ecoj:P423_21395
ko:K01977	ecoj:P423_18360
ko:K01977	ecoj:P423_22010
ko:K01977	ecoj:P423_20825
ko:K01977	ecoj:P423_14170
ko:K01985	ecoj:P423_01095
ko:K01985	ecoj:P423_20840
ko:K01985	ecoj:P423_14155
ko:K01985	ecoj:P423_22030
ko:K01985	ecoj:P423_18340
ko:K01985	ecoj:P423_22220
ko:K01985	ecoj:P423_21410
ko:K01985	ecoj:P423_18330
ko:K00661	ecoj:P423_02335
ko:K01187	ecoj:P423_02050
ko:K03276	ecoj:P423_20140
ko:K11747	ecoj:P423_18725
ko:K05540	ecoj:P423_18270
ko:K03772	ecoj:P423_18705
ko:K14219	ecoj:P423_13065
ko:K14223	ecoj:P423_03260
ko:K14223	ecoj:P423_03265
ko:K14233	ecoj:P423_04395
ko:K14233	ecoj:P423_05575
ko:K14233	ecoj:P423_05335
ko:K06206	ecoj:P423_00780
ko:K01975	ecoj:P423_00785
ko:K03579	ecoj:P423_00790
ko:K05365	ecoj:P423_00795
ko:K07347	ecoj:P423_00810
ko:K02014	ecoj:P423_00820
ko:K02013	ecoj:P423_00825
ko:K02016	ecoj:P423_00830
ko:K02015	ecoj:P423_00835
ko:K01845	ecoj:P423_00840
ko:K03281	ecoj:P423_00845
ko:K15724	ecoj:P423_00850
ko:K06858	ecoj:P423_00860
ko:K01243	ecoj:P423_00865
ko:K01129	ecoj:P423_00870
ko:K02647	ecoj:P423_00880
ko:K00674	ecoj:P423_00890
ko:K00990	ecoj:P423_00895
ko:K01265	ecoj:P423_00900
ko:K02357	ecoj:P423_00910
ko:K09903	ecoj:P423_00915
ko:K02838	ecoj:P423_00920
ko:K00099	ecoj:P423_00925
ko:K00806	ecoj:P423_00930
ko:K00981	ecoj:P423_00935
ko:K11749	ecoj:P423_00940
ko:K07277	ecoj:P423_00945
ko:K06142	ecoj:P423_00950
ko:K02536	ecoj:P423_00955
ko:K02372	ecoj:P423_00960
ko:K00677	ecoj:P423_00965
ko:K00748	ecoj:P423_00970
ko:K03470	ecoj:P423_00975
ko:K02337	ecoj:P423_00980
ko:K01962	ecoj:P423_00985
ko:K08234	ecoj:P423_00995
ko:K04075	ecoj:P423_01000
ko:K15034	ecoj:P423_01020
ko:K06079	ecoj:P423_01025
ko:K01881	ecoj:P423_01040
ko:K06080	ecoj:P423_01050
ko:K07343	ecoj:P423_05275
ko:K03658	ecoj:P423_05290
ko:K01734	ecoj:P423_05295
ko:K09909	ecoj:P423_05300
ko:K06929	ecoj:P423_05305
ko:K11940	ecoj:P423_05310
ko:K06969	ecoj:P423_05315
ko:K01512	ecoj:P423_05320
ko:K11179	ecoj:P423_05325
ko:K06282	ecoj:P423_05340
ko:K06281	ecoj:P423_05345
ko:K03620	ecoj:P423_05350
ko:K03619	ecoj:P423_05360
ko:K03618	ecoj:P423_05365
ko:K00425	ecoj:P423_05370
ko:K00426	ecoj:P423_05375
ko:K01093	ecoj:P423_05380
ko:K03704	ecoj:P423_05385
ko:K03704	ecoj:P423_05390
ko:K11930	ecoj:P423_05415
ko:K07772	ecoj:P423_05420
ko:K03532	ecoj:P423_05425
ko:K07811	ecoj:P423_05430
ko:K03533	ecoj:P423_05435
ko:K05516	ecoj:P423_05445
ko:K01085	ecoj:P423_05450
ko:K03809	ecoj:P423_05460
ko:K09016	ecoj:P423_05470
ko:K09024	ecoj:P423_05475
ko:K09019	ecoj:P423_05480
ko:K09023	ecoj:P423_05485
ko:K09021	ecoj:P423_05490
ko:K09020	ecoj:P423_05495
ko:K09018	ecoj:P423_05500
ko:K13821	ecoj:P423_05510
ko:K07243	ecoj:P423_05525
ko:K07224	ecoj:P423_05530
ko:K16301	ecoj:P423_05535
ko:K11937	ecoj:P423_05545
ko:K09918	ecoj:P423_09805
ko:K08289	ecoj:P423_09810
ko:K01625	ecoj:P423_09815
ko:K01690	ecoj:P423_09820
ko:K00036	ecoj:P423_09825
ko:K00873	ecoj:P423_09840
ko:K02560	ecoj:P423_09845
ko:K09815	ecoj:P423_09855
ko:K09817	ecoj:P423_09860
ko:K09816	ecoj:P423_09865
ko:K03551	ecoj:P423_09885
ko:K03550	ecoj:P423_09890
ko:K01159	ecoj:P423_09900
ko:K08310	ecoj:P423_09910
ko:K01876	ecoj:P423_09915
ko:K07136	ecoj:P423_09930
ko:K15256	ecoj:P423_09935
ko:K15257	ecoj:P423_09940
ko:K07821	ecoj:P423_09950
ko:K06201	ecoj:P423_09955
ko:K09907	ecoj:P423_09960
ko:K01887	ecoj:P423_09965
ko:K03516	ecoj:P423_09970
ko:K02400	ecoj:P423_09975
ko:K02401	ecoj:P423_09980
ko:K03414	ecoj:P423_09985
ko:K03413	ecoj:P423_09990
ko:K03412	ecoj:P423_09995
ko:K00575	ecoj:P423_10000
ko:K03408	ecoj:P423_10010
ko:K03407	ecoj:P423_10015
ko:K02557	ecoj:P423_10020
ko:K02556	ecoj:P423_10025
ko:K02402	ecoj:P423_10030
ko:K02403	ecoj:P423_10035
ko:K14064	ecoj:P423_10040
ko:K00697	ecoj:P423_10045
ko:K01087	ecoj:P423_10050
ko:K10538	ecoj:P423_10055
ko:K17686	ecoj:P423_02475
ko:K01425	ecoj:P423_02480
ko:K07340	ecoj:P423_02500
ko:K02068	ecoj:P423_02510
ko:K02069	ecoj:P423_02515
ko:K05838	ecoj:P423_02520
ko:K10804	ecoj:P423_02530
ko:K02003	ecoj:P423_02535
ko:K02004	ecoj:P423_02540
ko:K06917	ecoj:P423_02565
ko:K10972	ecoj:P423_02570
ko:K01483	ecoj:P423_02575
ko:K10973	ecoj:P423_02580
ko:K01608	ecoj:P423_02585
ko:K10975	ecoj:P423_02600
ko:K01466	ecoj:P423_02605
ko:K00865	ecoj:P423_02615
ko:K14977	ecoj:P423_02620
ko:K02083	ecoj:P423_02625
ko:K00073	ecoj:P423_02630
ko:K02381	ecoj:P423_02635
ko:K01589	ecoj:P423_02655
ko:K01588	ecoj:P423_02660
ko:K03269	ecoj:P423_02670
ko:K03768	ecoj:P423_02675
ko:K01883	ecoj:P423_02680
ko:K07038	ecoj:P423_02685
ko:K14761	ecoj:P423_02690
ko:K01491	ecoj:P423_02695
ko:K11739	ecoj:P423_02730
ko:K11740	ecoj:P423_02735
ko:K07644	ecoj:P423_02740
ko:K07665	ecoj:P423_02745
ko:K09858	ecoj:P423_06975
ko:K07001	ecoj:P423_06980
ko:K00963	ecoj:P423_06990
ko:K04072	ecoj:P423_07010
ko:K15580	ecoj:P423_07020
ko:K15581	ecoj:P423_07025
ko:K15582	ecoj:P423_07030
ko:K15583	ecoj:P423_07035
ko:K10823	ecoj:P423_07040
ko:K09901	ecoj:P423_07045
ko:K06131	ecoj:P423_07050
ko:K10716	ecoj:P423_07055
ko:K09780	ecoj:P423_07060
ko:K03832	ecoj:P423_07065
ko:K10806	ecoj:P423_07070
ko:K06190	ecoj:P423_07075
ko:K07275	ecoj:P423_07085
ko:K10762	ecoj:P423_07150
ko:K09765	ecoj:P423_07165
ko:K02501	ecoj:P423_11495
ko:K01814	ecoj:P423_11500
ko:K02500	ecoj:P423_11505
ko:K11755	ecoj:P423_11510
ko:K05789	ecoj:P423_11515
ko:K00012	ecoj:P423_11520
ko:K00033	ecoj:P423_11525
ko:K01790	ecoj:P423_11565
ko:K00973	ecoj:P423_11570
ko:K00067	ecoj:P423_11575
ko:K00963	ecoj:P423_11585
ko:K16703	ecoj:P423_11595
ko:K16710	ecoj:P423_11600
ko:K16695	ecoj:P423_11605
ko:K03606	ecoj:P423_11610
ko:K03208	ecoj:P423_11630
ko:K03207	ecoj:P423_11635
ko:K02377	ecoj:P423_11640
ko:K01711	ecoj:P423_11645
ko:K03818	ecoj:P423_11650
ko:K13683	ecoj:P423_11655
ko:K13620	ecoj:P423_11660
ko:K13684	ecoj:P423_11665
ko:K03819	ecoj:P423_11670
ko:K16692	ecoj:P423_11680
ko:K01104	ecoj:P423_11685
ko:K01991	ecoj:P423_11690
ko:K07289	ecoj:P423_11700
ko:K01494	ecoj:P423_11705
ko:K00876	ecoj:P423_11710
ko:K01247	ecoj:P423_11720
ko:K04046	ecoj:P423_11725
ko:K07799	ecoj:P423_11750
ko:K07788	ecoj:P423_11755
ko:K07789	ecoj:P423_11760
ko:K03981	ecoj:P423_15880
ko:K04763	ecoj:P423_15885
ko:K03840	ecoj:P423_15890
ko:K09159	ecoj:P423_15900
ko:K06980	ecoj:P423_15910
ko:K11068	ecoj:P423_15915
ko:K09900	ecoj:P423_15920
ko:K01223	ecoj:P423_15925
ko:K00281	ecoj:P423_15930
ko:K02437	ecoj:P423_15935
ko:K00605	ecoj:P423_15940
ko:K03185	ecoj:P423_15950
ko:K01262	ecoj:P423_15955
ko:K09895	ecoj:P423_15960
ko:K09888	ecoj:P423_15965
ko:K01934	ecoj:P423_15970
ko:K00058	ecoj:P423_15975
ko:K01807	ecoj:P423_15980
ko:K05596	ecoj:P423_15990
ko:K09807	ecoj:P423_16005
ko:K06895	ecoj:P423_16010
ko:K03442	ecoj:P423_16015
ko:K01624	ecoj:P423_16020
ko:K00927	ecoj:P423_16025
ko:K03472	ecoj:P423_16030
ko:K06934	ecoj:P423_16035
ko:K16923	ecoj:P423_16040
ko:K16785	ecoj:P423_16045
ko:K16786	ecoj:P423_16050
ko:K16787	ecoj:P423_16055
ko:K02173	ecoj:P423_16060
ko:K10539	ecoj:P423_10060
ko:K14170	ecoj:P423_14200
ko:K14187	ecoj:P423_14205
ko:K01626	ecoj:P423_14210
ko:K02884	ecoj:P423_14235
ko:K00554	ecoj:P423_14240
ko:K02860	ecoj:P423_14245
ko:K02959	ecoj:P423_14250
ko:K03106	ecoj:P423_14255
ko:K03687	ecoj:P423_14270
ko:K00858	ecoj:P423_14275
ko:K03631	ecoj:P423_14280
ko:K06186	ecoj:P423_14285
ko:K09801	ecoj:P423_14290
ko:K03664	ecoj:P423_14300
ko:K02358	ecoj:P423_18665
ko:K02355	ecoj:P423_18670
ko:K02992	ecoj:P423_18675
ko:K02950	ecoj:P423_18680
ko:K07237	ecoj:P423_18685
ko:K07236	ecoj:P423_18690
ko:K07235	ecoj:P423_18695
ko:K03745	ecoj:P423_18710
ko:K03775	ecoj:P423_18715
ko:K07070	ecoj:P423_18720
ko:K06158	ecoj:P423_18735
ko:K07019	ecoj:P423_18740
ko:K09898	ecoj:P423_18745
ko:K00855	ecoj:P423_18750
ko:K07397	ecoj:P423_18755
ko:K10914	ecoj:P423_18760
ko:K01664	ecoj:P423_18775
ko:K04095	ecoj:P423_18780
ko:K06141	ecoj:P423_18795
ko:K00362	ecoj:P423_18800
ko:K00363	ecoj:P423_18805
ko:K02598	ecoj:P423_18810
ko:K02302	ecoj:P423_18815
ko:K07048	ecoj:P423_18840
ko:K01867	ecoj:P423_18865
ko:K01091	ecoj:P423_18870
ko:K01783	ecoj:P423_18875
ko:K03112	ecoj:P423_18885
ko:K01735	ecoj:P423_18890
ko:K00891	ecoj:P423_18895
ko:K02507	ecoj:P423_18900
ko:K12291	ecoj:P423_18905
ko:K12290	ecoj:P423_18910
ko:K12289	ecoj:P423_18915
ko:K12288	ecoj:P423_18920
ko:K05366	ecoj:P423_18925
ko:K08312	ecoj:P423_18935
ko:K01744	ecoj:P423_23065
ko:K07113	ecoj:P423_23070
ko:K16263	ecoj:P423_23075
ko:K04078	ecoj:P423_23080
ko:K04077	ecoj:P423_23085
ko:K02356	ecoj:P423_23105
ko:K16347	ecoj:P423_23110
ko:K16348	ecoj:P423_23115
ko:K03098	ecoj:P423_23125
ko:K00247	ecoj:P423_23135
ko:K00246	ecoj:P423_23140
ko:K00245	ecoj:P423_23145
ko:K00244	ecoj:P423_23150
ko:K04568	ecoj:P423_23155
ko:K01613	ecoj:P423_23175
ko:K06949	ecoj:P423_23180
ko:K13288	ecoj:P423_23185
ko:K06925	ecoj:P423_23215
ko:K01448	ecoj:P423_23220
ko:K03572	ecoj:P423_23225
ko:K00791	ecoj:P423_23230
ko:K03666	ecoj:P423_23235
ko:K03665	ecoj:P423_23240
ko:K04088	ecoj:P423_23245
ko:K04087	ecoj:P423_23250
ko:K09937	ecoj:P423_23255
ko:K01939	ecoj:P423_23260
ko:K13771	ecoj:P423_23265
ko:K12573	ecoj:P423_23270
ko:K03218	ecoj:P423_23275
ko:K09980	ecoj:P423_23280
ko:K08989	ecoj:P423_23295
ko:K09456	ecoj:P423_23310
ko:K06889	ecoj:P423_23325
ko:K03477	ecoj:P423_23330
ko:K03476	ecoj:P423_23335
ko:K03475	ecoj:P423_23340
ko:K02822	ecoj:P423_23345
ko:K02799	ecoj:P423_16080
ko:K02800	ecoj:P423_16080
ko:K02798	ecoj:P423_16085
ko:K00615	ecoj:P423_16100
ko:K07387	ecoj:P423_16105
ko:K01480	ecoj:P423_16110
ko:K01585	ecoj:P423_16120
ko:K00789	ecoj:P423_16135
ko:K08137	ecoj:P423_16145
ko:K02742	ecoj:P423_16150
ko:K01150	ecoj:P423_16155
ko:K02768	ecoj:P423_20315
ko:K01811	ecoj:P423_20325
ko:K02073	ecoj:P423_20355
ko:K07726	ecoj:P423_20375
ko:K06901	ecoj:P423_20385
ko:K01486	ecoj:P423_20390
ko:K07784	ecoj:P423_20395
ko:K07783	ecoj:P423_20400
ko:K07675	ecoj:P423_20405
ko:K01653	ecoj:P423_20425
ko:K01652	ecoj:P423_20430
ko:K08154	ecoj:P423_20435
ko:K06871	ecoj:P423_20440
ko:K00389	ecoj:P423_20450
ko:K03307	ecoj:P423_20460
ko:K07085	ecoj:P423_20470
ko:K04081	ecoj:P423_20475
ko:K04080	ecoj:P423_20480
ko:K01684	ecoj:P423_20505
ko:K01631	ecoj:P423_20510
ko:K00883	ecoj:P423_20515
ko:K02470	ecoj:P423_20540
ko:K03629	ecoj:P423_20545
ko:K02338	ecoj:P423_20550
ko:K02313	ecoj:P423_20555
ko:K02914	ecoj:P423_20560
ko:K03536	ecoj:P423_20565
ko:K03217	ecoj:P423_20570
ko:K03650	ecoj:P423_20575
ko:K01667	ecoj:P423_20580
ko:K03836	ecoj:P423_20585
ko:K13255	ecoj:P423_24800
ko:K00564	ecoj:P423_24825
ko:K02344	ecoj:P423_24830
ko:K03789	ecoj:P423_24835
ko:K08723	ecoj:P423_24840
ko:K02837	ecoj:P423_24845
ko:K03424	ecoj:P423_24865
ko:K01619	ecoj:P423_24885
ko:K00758	ecoj:P423_24890
ko:K01839	ecoj:P423_24895
ko:K03784	ecoj:P423_24900
ko:K03800	ecoj:P423_24910
ko:K07186	ecoj:P423_24915
ko:K01079	ecoj:P423_24920
ko:K04485	ecoj:P423_24925
ko:K06211	ecoj:P423_24930
ko:K08309	ecoj:P423_24940
ko:K03720	ecoj:P423_24945
ko:K05804	ecoj:P423_24960
ko:K05805	ecoj:P423_24965
ko:K07663	ecoj:P423_24970
ko:K07641	ecoj:P423_24975
ko:K06143	ecoj:P423_24980
ko:K07773	ecoj:P423_24985
ko:K02533	ecoj:P423_24990
ko:K01791	ecoj:P423_20955
ko:K03702	ecoj:P423_03855
ko:K03639	ecoj:P423_03865
ko:K03638	ecoj:P423_03870
ko:K03637	ecoj:P423_03875
ko:K03636	ecoj:P423_03880
ko:K03635	ecoj:P423_03885
ko:K06890	ecoj:P423_03890
ko:K06890	ecoj:P423_03900
ko:K07027	ecoj:P423_03905
ko:K01993	ecoj:P423_03940
ko:K11927	ecoj:P423_03950
ko:K13574	ecoj:P423_03975
ko:K16090	ecoj:P423_03995
ko:K13650	ecoj:P423_04000
ko:K06970	ecoj:P423_04005
ko:K10037	ecoj:P423_04020
ko:K10036	ecoj:P423_04025
ko:K04047	ecoj:P423_04030
ko:K11939	ecoj:P423_04035
ko:K11934	ecoj:P423_04040
ko:K11924	ecoj:P423_04055
ko:K07757	ecoj:P423_04080
ko:K00656	ecoj:P423_04085
ko:K04069	ecoj:P423_04090
ko:K08313	ecoj:P423_04095
ko:K03750	ecoj:P423_04105
ko:K13051	ecoj:P423_04110
ko:K13892	ecoj:P423_04115
ko:K13889	ecoj:P423_04120
ko:K13890	ecoj:P423_04125
ko:K13891	ecoj:P423_04130
ko:K03712	ecoj:P423_08395
ko:K13632	ecoj:P423_08400
ko:K13630	ecoj:P423_08405
ko:K15268	ecoj:P423_08410
ko:K01284	ecoj:P423_08435
ko:K16066	ecoj:P423_08440
ko:K08322	ecoj:P423_08465
ko:K08323	ecoj:P423_08470
ko:K09771	ecoj:P423_08475
ko:K00657	ecoj:P423_08485
ko:K07309	ecoj:P423_08500
ko:K07311	ecoj:P423_08510
ko:K07312	ecoj:P423_08515
ko:K03281	ecoj:P423_08525
ko:K01935	ecoj:P423_08530
ko:K15545	ecoj:P423_08535
ko:K08224	ecoj:P423_08545
ko:K04775	ecoj:P423_08560
ko:K11742	ecoj:P423_08565
ko:K11743	ecoj:P423_08570
ko:K11744	ecoj:P423_08575
ko:K00325	ecoj:P423_08580
ko:K00324	ecoj:P423_08585
ko:K03758	ecoj:P423_08595
ko:K13938	ecoj:P423_08600
ko:K07661	ecoj:P423_08610
ko:K07639	ecoj:P423_08615
ko:K01679	ecoj:P423_08625
ko:K01676	ecoj:P423_08630
ko:K01809	ecoj:P423_08635
ko:K01195	ecoj:P423_08650
ko:K16138	ecoj:P423_08655
ko:K00076	ecoj:P423_08660
ko:K16136	ecoj:P423_08665
ko:K07095	ecoj:P423_12840
ko:K07589	ecoj:P423_12855
ko:K07071	ecoj:P423_12860
ko:K10017	ecoj:P423_12865
ko:K10015	ecoj:P423_12870
ko:K10016	ecoj:P423_12875
ko:K10013	ecoj:P423_12885
ko:K03186	ecoj:P423_12890
ko:K00764	ecoj:P423_12895
ko:K03558	ecoj:P423_12900
ko:K03749	ecoj:P423_12905
ko:K11754	ecoj:P423_12910
ko:K01963	ecoj:P423_12915
ko:K03975	ecoj:P423_12920
ko:K06173	ecoj:P423_12925
ko:K03473	ecoj:P423_12935
ko:K00647	ecoj:P423_12950
ko:K15461	ecoj:P423_12955
ko:K09906	ecoj:P423_12965
ko:K07090	ecoj:P423_12970
ko:K07261	ecoj:P423_12975
ko:K01736	ecoj:P423_12980
ko:K07320	ecoj:P423_12985
ko:K08296	ecoj:P423_13030
ko:K01782	ecoj:P423_13035
ko:K06076	ecoj:P423_13050
ko:K04754	ecoj:P423_13055
ko:K08591	ecoj:P423_17290
ko:K03779	ecoj:P423_17300
ko:K03780	ecoj:P423_17305
ko:K11106	ecoj:P423_17310
ko:K01409	ecoj:P423_17315
ko:K02970	ecoj:P423_17320
ko:K03086	ecoj:P423_17330
ko:K03649	ecoj:P423_17335
ko:K07229	ecoj:P423_17345
ko:K03776	ecoj:P423_17355
ko:K09251	ecoj:P423_17360
ko:K06878	ecoj:P423_17365
ko:K12113	ecoj:P423_17370
ko:K12111	ecoj:P423_17375
ko:K12112	ecoj:P423_17380
ko:K03931	ecoj:P423_17395
ko:K00219	ecoj:P423_17400
ko:K11391	ecoj:P423_17415
ko:K07043	ecoj:P423_17420
ko:K07862	ecoj:P423_17440
ko:K01685	ecoj:P423_17450
ko:K01812	ecoj:P423_17455
ko:K08191	ecoj:P423_17460
ko:K15977	ecoj:P423_17500
ko:K07393	ecoj:P423_17505
ko:K06911	ecoj:P423_17520
ko:K01752	ecoj:P423_17555
ko:K00656	ecoj:P423_17565
ko:K00932	ecoj:P423_17570
ko:K03838	ecoj:P423_17575
ko:K07640	ecoj:P423_21700
ko:K06006	ecoj:P423_21710
ko:K13283	ecoj:P423_21715
ko:K00850	ecoj:P423_21720
ko:K02048	ecoj:P423_21730
ko:K01521	ecoj:P423_21735
ko:K01803	ecoj:P423_21740
ko:K14065	ecoj:P423_21760
ko:K00528	ecoj:P423_21765
ko:K02446	ecoj:P423_21770
ko:K00864	ecoj:P423_21775
ko:K02440	ecoj:P423_21780
ko:K09892	ecoj:P423_21785
ko:K02553	ecoj:P423_21790
ko:K02548	ecoj:P423_21795
ko:K03667	ecoj:P423_21800
ko:K01419	ecoj:P423_21805
ko:K03591	ecoj:P423_21810
ko:K05499	ecoj:P423_21815
ko:K04066	ecoj:P423_21820
ko:K02909	ecoj:P423_21825
ko:K03764	ecoj:P423_21835
ko:K12525	ecoj:P423_21845
ko:K00297	ecoj:P423_21865
ko:K03782	ecoj:P423_21870
ko:K09974	ecoj:P423_21880
ko:K00005	ecoj:P423_21890
ko:K08314	ecoj:P423_21895
ko:K08483	ecoj:P423_21900
ko:K11189	ecoj:P423_21900
ko:K11201	ecoj:P423_21900
ko:K11203	ecoj:P423_21905
ko:K11202	ecoj:P423_21910
ko:K00656	ecoj:P423_21915
ko:K04069	ecoj:P423_21920
ko:K11202	ecoj:P423_21925
ko:K01595	ecoj:P423_21940
ko:K01438	ecoj:P423_21945
ko:K00145	ecoj:P423_21950
ko:K00930	ecoj:P423_21955
ko:K01755	ecoj:P423_21960
ko:K02073	ecoj:P423_01055
ko:K02072	ecoj:P423_01060
ko:K02071	ecoj:P423_01065
ko:K03273	ecoj:P423_01070
ko:K06222	ecoj:P423_01105
ko:K08307	ecoj:P423_01125
ko:K01069	ecoj:P423_01130
ko:K03469	ecoj:P423_01140
ko:K02342	ecoj:P423_01145
ko:K06445	ecoj:P423_01165
ko:K03271	ecoj:P423_01170
ko:K07491	ecoj:P423_01190
ko:K02400	ecoj:P423_01195
ko:K02401	ecoj:P423_01200
ko:K02421	ecoj:P423_01205
ko:K02420	ecoj:P423_01210
ko:K02419	ecoj:P423_01215
ko:K02417	ecoj:P423_01220
ko:K02416	ecoj:P423_01225
ko:K02408	ecoj:P423_01235
ko:K02409	ecoj:P423_01240
ko:K02410	ecoj:P423_01245
ko:K02411	ecoj:P423_01250
ko:K02412	ecoj:P423_01255
ko:K02399	ecoj:P423_01290
ko:K02398	ecoj:P423_01295
