ko:K11741	rat:M949_1969
ko:K10947	rat:M949_0606
ko:K01752	rat:M949_0607
ko:K00380	rat:M949_0613
ko:K00380	rat:M949_0614
ko:K03734	rat:M949_0615
ko:K07322	rat:M949_0618
ko:K08738	rat:M949_0622
ko:K00376	rat:M949_0624
ko:K07218	rat:M949_0627
ko:K08276	rat:M949_0630
ko:K01243	rat:M949_0631
ko:K00640	rat:M949_1484
ko:K01673	rat:M949_1485
ko:K01056	rat:M949_1490
ko:K03695	rat:M949_1491
ko:K03695	rat:M949_1492
ko:K01885	rat:M949_1496
ko:K01962	rat:M949_1497
ko:K02357	rat:M949_1499
ko:K10773	rat:M949_1500
ko:K03564	rat:M949_1501
ko:K01322	rat:M949_1502
ko:K03269	rat:M949_1504
ko:K01737	rat:M949_1505
ko:K03550	rat:M949_1509
ko:K03719	rat:M949_1512
ko:K01159	rat:M949_1513
ko:K06886	rat:M949_1514
ko:K04096	rat:M949_1515
ko:K00262	rat:M949_1516
ko:K06950	rat:M949_1517
ko:K13766	rat:M949_1529
ko:K04485	rat:M949_1530
ko:K01156	rat:M949_0213
ko:K01156	rat:M949_0214
ko:K07316	rat:M949_0215
ko:K03650	rat:M949_0216
ko:K00812	rat:M949_0225
ko:K03386	rat:M949_0226
ko:K03118	rat:M949_0230
ko:K06041	rat:M949_0231
ko:K03654	rat:M949_0232
ko:K06076	rat:M949_1087
ko:K03702	rat:M949_1090
ko:K11749	rat:M949_1094
ko:K03798	rat:M949_1098
ko:K09710	rat:M949_1099
ko:K03524	rat:M949_1100
ko:K11720	rat:M949_1101
ko:K11720	rat:M949_1102
ko:K00773	rat:M949_1103
ko:K00721	rat:M949_1105
ko:K03555	rat:M949_1111
ko:K03168	rat:M949_1120
ko:K03110	rat:M949_1122
ko:K02913	rat:M949_1124
ko:K02902	rat:M949_1125
ko:K01354	rat:M949_1126
ko:K01719	rat:M949_1127
ko:K07054	rat:M949_1131
ko:K00794	rat:M949_1132
ko:K00759	rat:M949_1134
ko:K00185	rat:M949_1139
ko:K00184	rat:M949_1140
ko:K03704	rat:M949_1990
ko:K01424	rat:M949_1993
ko:K00609	rat:M949_1994
ko:K01956	rat:M949_1995
ko:K01955	rat:M949_1997
ko:K02013	rat:M949_1999
ko:K02015	rat:M949_2000
ko:K02613	rat:M949_2002
ko:K03748	rat:M949_2003
ko:K00869	rat:M949_2004
ko:K03179	rat:M949_2005
ko:K01886	rat:M949_2006
ko:K00941	rat:M949_2007
ko:K03150	rat:M949_2009
ko:K03149	rat:M949_2010
ko:K00788	rat:M949_2011
ko:K00788	rat:M949_2013
ko:K03147	rat:M949_2014
ko:K03147	rat:M949_2015
ko:K03154	rat:M949_2016
ko:K01778	rat:M949_2018
ko:K07082	rat:M949_2019
ko:K00567	rat:M949_2021
ko:K01081	rat:M949_2023
ko:K03584	rat:M949_2025
ko:K02108	rat:M949_2030
ko:K02110	rat:M949_2031
ko:K02109	rat:M949_2032
ko:K02113	rat:M949_2033
ko:K02111	rat:M949_2034
ko:K02115	rat:M949_2035
ko:K06891	rat:M949_2037
ko:K00164	rat:M949_2039
ko:K00658	rat:M949_2040
ko:K03885	rat:M949_2041
ko:K00554	rat:M949_2042
ko:K03088	rat:M949_0635
ko:K06911	rat:M949_0636
ko:K11752	rat:M949_0639
ko:K00014	rat:M949_0641
ko:K02428	rat:M949_0642
ko:K01462	rat:M949_0645
ko:K07447	rat:M949_0646
ko:K03723	rat:M949_0648
ko:K07636	rat:M949_0650
ko:K07658	rat:M949_0651
ko:K00820	rat:M949_0660
ko:K00703	rat:M949_0662
ko:K01918	rat:M949_0663
ko:K01889	rat:M949_0667
ko:K01990	rat:M949_0668
ko:K06173	rat:M949_0670
ko:K07095	rat:M949_0671
ko:K01738	rat:M949_0674
ko:K00640	rat:M949_0675
ko:K07566	rat:M949_0676
ko:K01916	rat:M949_0679
ko:K03711	rat:M949_0689
ko:K03549	rat:M949_0690
ko:K16091	rat:M949_1535
ko:K07273	rat:M949_1536
ko:K04065	rat:M949_1537
ko:K03593	rat:M949_1540
ko:K00809	rat:M949_1544
ko:K00384	rat:M949_1548
ko:K04755	rat:M949_1549
ko:K02371	rat:M949_1550
ko:K09952	rat:M949_1551
ko:K15342	rat:M949_1552
ko:K02238	rat:M949_1562
ko:K00241	rat:M949_1563
ko:K00239	rat:M949_1564
ko:K00240	rat:M949_1565
ko:K02346	rat:M949_1566
ko:K01937	rat:M949_1569
ko:K03217	rat:M949_1570
ko:K03470	rat:M949_1571
ko:K01887	rat:M949_1574
ko:K02909	rat:M949_1581
ko:K00800	rat:M949_1584
ko:K05523	rat:M949_1586
ko:K01992	rat:M949_0235
ko:K08973	rat:M949_0236
ko:K01929	rat:M949_0244
ko:K02341	rat:M949_0249
ko:K07259	rat:M949_0251
ko:K03424	rat:M949_0257
ko:K03979	rat:M949_0258
ko:K00939	rat:M949_0259
ko:K00760	rat:M949_0260
ko:K07052	rat:M949_0262
ko:K02428	rat:M949_0263
ko:K00784	rat:M949_0264
ko:K07516	rat:M949_0274
ko:K00208	rat:M949_0277
ko:K00616	rat:M949_0278
ko:K06942	rat:M949_0279
ko:K08972	rat:M949_0282
ko:K00648	rat:M949_0283
ko:K03183	rat:M949_0286
ko:K07098	rat:M949_0288
ko:K03814	rat:M949_0289
ko:K05366	rat:M949_1151
ko:K03786	rat:M949_1154
ko:K03797	rat:M949_1159
ko:K03787	rat:M949_1160
ko:K02426	rat:M949_1163
ko:K03696	rat:M949_1165
ko:K01808	rat:M949_1168
ko:K12573	rat:M949_1169
ko:K00059	rat:M949_1174
ko:K07056	rat:M949_1175
ko:K01775	rat:M949_1179
ko:K00075	rat:M949_1193
ko:K02888	rat:M949_1194
ko:K02899	rat:M949_1195
ko:K03629	rat:M949_2045
ko:K07164	rat:M949_2050
ko:K10716	rat:M949_2052
ko:K02837	rat:M949_2053
ko:K01897	rat:M949_2054
ko:K08325	rat:M949_2056
ko:K11927	rat:M949_2058
ko:K01874	rat:M949_2060
ko:K01756	rat:M949_2062
ko:K01784	rat:M949_2071
ko:K03501	rat:M949_2073
ko:K02338	rat:M949_2077
ko:K01890	rat:M949_2078
ko:K04078	rat:M949_2080
ko:K04077	rat:M949_2081
ko:K00615	rat:M949_2085
ko:K07127	rat:M949_2086
ko:K07127	rat:M949_2089
ko:K00615	rat:M949_2095
ko:K12257	rat:M949_2098
ko:K04518	rat:M949_2099
ko:K03305	rat:M949_0698
ko:K02014	rat:M949_0699
ko:K01972	rat:M949_0703
ko:K03969	rat:M949_0706
ko:K00057	rat:M949_0728
ko:K02687	rat:M949_0729
ko:K09808	rat:M949_0730
ko:K00954	rat:M949_0734
ko:K01921	rat:M949_0735
ko:K00641	rat:M949_0736
ko:K12524	rat:M949_0737
ko:K10764	rat:M949_0738
ko:K00058	rat:M949_0741
ko:K01903	rat:M949_0743
ko:K00054	rat:M949_0745
ko:K14652	rat:M949_0746
ko:K01491	rat:M949_1588
ko:K01810	rat:M949_1589
ko:K00600	rat:M949_1590
ko:K03565	rat:M949_1591
ko:K01991	rat:M949_1593
ko:K02473	rat:M949_1595
ko:K02474	rat:M949_1597
ko:K12997	rat:M949_1603
ko:K01953	rat:M949_1606
ko:K00648	rat:M949_1611
ko:K05606	rat:M949_1612
ko:K02078	rat:M949_1614
ko:K01790	rat:M949_1618
ko:K00973	rat:M949_1620
ko:K14441	rat:M949_1621
ko:K03744	rat:M949_1623
ko:K06872	rat:M949_1625
ko:K01278	rat:M949_1626
ko:K07071	rat:M949_1627
ko:K00748	rat:M949_1628
ko:K06973	rat:M949_1629
ko:K00330	rat:M949_1632
ko:K00331	rat:M949_1633
ko:K00332	rat:M949_1634
ko:K00333	rat:M949_1635
ko:K00334	rat:M949_1636
ko:K00337	rat:M949_1639
ko:K00338	rat:M949_1640
ko:K00339	rat:M949_1641
ko:K00340	rat:M949_1642
ko:K00341	rat:M949_1643
ko:K00342	rat:M949_1644
ko:K00343	rat:M949_1645
ko:K11065	rat:M949_1646
ko:K01714	rat:M949_0305
ko:K03284	rat:M949_0306
ko:K03709	rat:M949_0307
ko:K12410	rat:M949_0308
ko:K06213	rat:M949_0312
ko:K02528	rat:M949_0313
ko:K09811	rat:M949_0314
ko:K06153	rat:M949_0316
ko:K09761	rat:M949_0317
ko:K01409	rat:M949_0318
ko:K03718	rat:M949_0320
ko:K07056	rat:M949_0323
ko:K01104	rat:M949_0324
ko:K02313	rat:M949_0325
ko:K07107	rat:M949_0326
ko:K05995	rat:M949_0327
ko:K06182	rat:M949_0332
ko:K03177	rat:M949_0334
ko:K09903	rat:M949_0335
ko:K02838	rat:M949_0336
ko:K00791	rat:M949_1198
ko:K00790	rat:M949_1199
ko:K07636	rat:M949_1202
ko:K03525	rat:M949_1205
ko:K09015	rat:M949_1207
ko:K09013	rat:M949_1208
ko:K07127	rat:M949_1210
ko:K06079	rat:M949_1211
ko:K09014	rat:M949_1214
ko:K13628	rat:M949_1216
ko:K03596	rat:M949_1217
ko:K03748	rat:M949_1218
ko:K03101	rat:M949_1219
ko:K01870	rat:M949_1221
ko:K00812	rat:M949_1222
ko:K02619	rat:M949_1232
ko:K01665	rat:M949_1233
ko:K09954	rat:M949_1236
ko:K01840	rat:M949_1238
ko:K03585	rat:M949_1241
ko:K01610	rat:M949_1243
ko:K07001	rat:M949_1245
ko:K03495	rat:M949_1249
ko:K01265	rat:M949_2100
ko:K08281	rat:M949_2103
ko:K01892	rat:M949_2104
ko:K00537	rat:M949_2105
ko:K02517	rat:M949_2107
ko:K01489	rat:M949_2113
ko:K01259	rat:M949_2117
ko:K05794	rat:M949_2119
ko:K00573	rat:M949_2121
ko:K00658	rat:M949_2122
ko:K01029	rat:M949_2123
ko:K01028	rat:M949_2124
ko:K00252	rat:M949_2126
ko:K00252	rat:M949_2127
ko:K02470	rat:M949_2134
ko:K02469	rat:M949_2136
ko:K05592	rat:M949_2141
ko:K01895	rat:M949_2145
ko:K07444	rat:M949_2146
ko:K03623	rat:M949_2148
ko:K01284	rat:M949_2149
ko:K02548	rat:M949_2155
ko:K01661	rat:M949_2156
ko:K06180	rat:M949_0751
ko:K08301	rat:M949_0756
ko:K03530	rat:M949_0757
ko:K03575	rat:M949_0758
ko:K03771	rat:M949_0761
ko:K01872	rat:M949_0762
ko:K00845	rat:M949_0763
ko:K00451	rat:M949_0767
ko:K01893	rat:M949_0769
ko:K01893	rat:M949_0770
ko:K03092	rat:M949_0771
ko:K02014	rat:M949_0772
ko:K02437	rat:M949_0784
ko:K01633	rat:M949_0785
ko:K03517	rat:M949_0786
ko:K00942	rat:M949_0787
ko:K15866	rat:M949_0789
ko:K00761	rat:M949_0790
ko:K15738	rat:M949_0792
ko:K02014	rat:M949_0793
ko:K03046	rat:M949_0795
ko:K03043	rat:M949_0796
ko:K03932	rat:M949_0800
ko:K02935	rat:M949_0801
ko:K02864	rat:M949_0802
ko:K02863	rat:M949_0803
ko:K02867	rat:M949_0804
ko:K00281	rat:M949_1649
ko:K06158	rat:M949_1650
ko:K00428	rat:M949_1653
ko:K01911	rat:M949_1655
ko:K03439	rat:M949_1658
ko:K00294	rat:M949_1659
ko:K07318	rat:M949_1660
ko:K01262	rat:M949_1664
ko:K00626	rat:M949_1665
ko:K06902	rat:M949_1666
ko:K00852	rat:M949_1669
ko:K01873	rat:M949_1671
ko:K01873	rat:M949_1672
ko:K00812	rat:M949_1679
ko:K00979	rat:M949_1681
ko:K00432	rat:M949_1683
ko:K03086	rat:M949_1684
ko:K01783	rat:M949_1685
ko:K01881	rat:M949_1688
ko:K03322	rat:M949_1691
ko:K03687	rat:M949_1692
ko:K03686	rat:M949_1693
ko:K01990	rat:M949_1694
ko:K01992	rat:M949_1695
ko:K00382	rat:M949_1696
ko:K01555	rat:M949_1698
ko:K00457	rat:M949_1700
ko:K00912	rat:M949_1701
ko:K03783	rat:M949_1702
ko:K03469	rat:M949_1704
ko:K09807	rat:M949_1705
ko:K06199	rat:M949_0348
ko:K00384	rat:M949_0349
ko:K00783	rat:M949_0356
ko:K07058	rat:M949_0357
ko:K02014	rat:M949_0359
ko:K03088	rat:M949_0363
ko:K11537	rat:M949_0364
ko:K08999	rat:M949_0365
ko:K03522	rat:M949_0366
ko:K03521	rat:M949_0367
ko:K01627	rat:M949_0371
ko:K04043	rat:M949_0376
ko:K13525	rat:M949_0379
ko:K03701	rat:M949_0381
ko:K03760	rat:M949_0382
ko:K06925	rat:M949_0386
ko:K00259	rat:M949_0387
ko:K04517	rat:M949_0389
ko:K03499	rat:M949_0391
ko:K07478	rat:M949_0395
ko:K08998	rat:M949_0396
ko:K03282	rat:M949_0398
ko:K06997	rat:M949_0399
ko:K03327	rat:M949_0401
ko:K02836	rat:M949_0402
ko:K03975	rat:M949_0403
ko:K01358	rat:M949_0405
ko:K00927	rat:M949_1259
ko:K02551	rat:M949_1263
ko:K07305	rat:M949_1266
ko:K03572	rat:M949_1273
ko:K00133	rat:M949_1278
ko:K03215	rat:M949_1285
ko:K00981	rat:M949_1288
ko:K01613	rat:M949_1289
ko:K00806	rat:M949_1291
ko:K07277	rat:M949_1292
ko:K06142	rat:M949_1293
ko:K06142	rat:M949_1294
ko:K07107	rat:M949_1295
ko:K00067	rat:M949_1296
ko:K01338	rat:M949_1301
ko:K07304	rat:M949_1302
ko:K02348	rat:M949_1303
ko:K03978	rat:M949_1304
ko:K03925	rat:M949_1306
ko:K07090	rat:M949_2158
ko:K15727	rat:M949_2159
ko:K15726	rat:M949_2161
ko:K08738	rat:M949_2164
ko:K03801	rat:M949_2165
ko:K01372	rat:M949_2167
ko:K07038	rat:M949_2172
ko:K04763	rat:M949_2174
ko:K02945	rat:M949_2179
ko:K03701	rat:M949_2182
ko:K00602	rat:M949_2183
ko:K02601	rat:M949_0805
ko:K03073	rat:M949_0806
ko:K02358	rat:M949_0807
ko:K00254	rat:M949_0808
ko:K05808	rat:M949_0810
ko:K03733	rat:M949_0811
ko:K02970	rat:M949_0812
ko:K06180	rat:M949_0815
ko:K00606	rat:M949_0817
ko:K17686	rat:M949_0819
ko:K15862	rat:M949_0821
ko:K00406	rat:M949_0823
ko:K09792	rat:M949_0827
ko:K00012	rat:M949_0828
ko:K07501	rat:M949_0830
ko:K02871	rat:M949_0832
ko:K02996	rat:M949_0833
ko:K02967	rat:M949_0834
ko:K01083	rat:M949_0836
ko:K03628	rat:M949_0840
ko:K11085	rat:M949_0842
ko:K00088	rat:M949_0843
ko:K00029	rat:M949_0847
ko:K00655	rat:M949_0855
ko:K02429	rat:M949_0856
ko:K01866	rat:M949_1712
ko:K06999	rat:M949_1713
ko:K01588	rat:M949_1715
ko:K01589	rat:M949_1716
ko:K08234	rat:M949_1717
ko:K01597	rat:M949_1718
ko:K01897	rat:M949_1719
ko:K02065	rat:M949_1723
ko:K02066	rat:M949_1724
ko:K03606	rat:M949_1725
ko:K02860	rat:M949_1727
ko:K02959	rat:M949_1728
ko:K01698	rat:M949_1730
ko:K01776	rat:M949_1731
ko:K00604	rat:M949_1732
ko:K03654	rat:M949_1733
ko:K00024	rat:M949_1734
ko:K00962	rat:M949_1738
ko:K02956	rat:M949_1739
ko:K02337	rat:M949_1740
ko:K00928	rat:M949_1745
ko:K03841	rat:M949_1747
ko:K06885	rat:M949_1749
ko:K02536	rat:M949_1750
ko:K16363	rat:M949_1751
ko:K00677	rat:M949_1752
ko:K02356	rat:M949_1753
ko:K02536	rat:M949_1754
ko:K01902	rat:M949_1755
ko:K01256	rat:M949_1757
ko:K07052	rat:M949_0430
ko:K06910	rat:M949_0434
ko:K03438	rat:M949_1307
ko:K03587	rat:M949_1309
ko:K01928	rat:M949_1310
ko:K01000	rat:M949_1311
ko:K01925	rat:M949_1312
ko:K03588	rat:M949_1313
ko:K02563	rat:M949_1314
ko:K01924	rat:M949_1315
ko:K03589	rat:M949_1316
ko:K03590	rat:M949_1317
ko:K03531	rat:M949_1318
ko:K00128	rat:M949_1319
ko:K03664	rat:M949_1324
ko:K07397	rat:M949_1328
ko:K02835	rat:M949_1330
ko:K06958	rat:M949_1331
ko:K01586	rat:M949_1333
ko:K01113	rat:M949_1340
ko:K02914	rat:M949_1347
ko:K09812	rat:M949_1348
ko:K15460	rat:M949_1349
ko:K00793	rat:M949_1351
ko:K00097	rat:M949_1352
ko:K02911	rat:M949_1354
ko:K02160	rat:M949_1355
ko:K01961	rat:M949_1356
ko:K00819	rat:M949_1357
ko:K01809	rat:M949_1363
ko:K03770	rat:M949_1364
ko:K03116	rat:M949_0867
ko:K03116	rat:M949_0868
ko:K00973	rat:M949_0871
ko:K01495	rat:M949_0885
ko:K01883	rat:M949_0886
ko:K03210	rat:M949_0890
ko:K03625	rat:M949_0892
ko:K04564	rat:M949_0893
ko:K00789	rat:M949_0894
ko:K04761	rat:M949_0896
ko:K03781	rat:M949_0897
ko:K00064	rat:M949_0898
ko:K01715	rat:M949_0899
ko:K04763	rat:M949_0901
ko:K02217	rat:M949_0903
ko:K03551	rat:M949_0904
ko:K00859	rat:M949_0906
ko:K03703	rat:M949_0908
ko:K03820	rat:M949_0911
ko:K01772	rat:M949_0917
ko:K01142	rat:M949_1767
ko:K03642	rat:M949_1768
ko:K03545	rat:M949_1769
ko:K02014	rat:M949_1772
ko:K00850	rat:M949_1773
ko:K00134	rat:M949_1774
ko:K00162	rat:M949_1779
ko:K06959	rat:M949_1780
ko:K07456	rat:M949_1781
ko:K01448	rat:M949_1812
ko:K03544	rat:M949_1817
ko:K02503	rat:M949_1818
ko:K03624	rat:M949_1819
ko:K09861	rat:M949_0001
ko:K02493	rat:M949_0002
ko:K00556	rat:M949_0003
ko:K03106	rat:M949_0004
ko:K01803	rat:M949_0016
ko:K09001	rat:M949_0019
ko:K06949	rat:M949_0020
ko:K00876	rat:M949_0022
ko:K09794	rat:M949_0023
ko:K06207	rat:M949_0025
ko:K01939	rat:M949_0028
ko:K00428	rat:M949_0029
ko:K04567	rat:M949_0030
ko:K00764	rat:M949_0034
ko:K01923	rat:M949_0035
ko:K01952	rat:M949_0036
ko:K00074	rat:M949_0038
ko:K02887	rat:M949_0039
ko:K02916	rat:M949_0040
ko:K02520	rat:M949_0041
ko:K01868	rat:M949_0042
ko:K01657	rat:M949_0044
ko:K01658	rat:M949_0045
ko:K00766	rat:M949_0046
ko:K01246	rat:M949_0047
ko:K01609	rat:M949_0048
ko:K01817	rat:M949_0049
ko:K01696	rat:M949_0050
ko:K01695	rat:M949_0052
ko:K01695	rat:M949_0053
ko:K00681	rat:M949_0056
ko:K03313	rat:M949_0057
ko:K00951	rat:M949_0058
ko:K02946	rat:M949_0930
ko:K02355	rat:M949_0931
ko:K02992	rat:M949_0932
ko:K02950	rat:M949_0933
ko:K04047	rat:M949_0940
ko:K00763	rat:M949_0941
ko:K09760	rat:M949_0942
ko:K03437	rat:M949_0943
ko:K03782	rat:M949_0945
ko:K06940	rat:M949_0946
ko:K11717	rat:M949_0948
ko:K01880	rat:M949_0949
ko:K01640	rat:M949_0950
ko:K01258	rat:M949_0951
ko:K01676	rat:M949_0953
ko:K02492	rat:M949_0964
ko:K01749	rat:M949_0965
ko:K01719	rat:M949_0966
ko:K01599	rat:M949_0967
ko:K07341	rat:M949_0973
ko:K06975	rat:M949_0974
ko:K16089	rat:M949_0976
ko:K07560	rat:M949_1822
ko:K04773	rat:M949_1823
ko:K00950	rat:M949_1824
ko:K03286	rat:M949_1825
ko:K03286	rat:M949_1826
ko:K01284	rat:M949_1827
ko:K09793	rat:M949_1828
ko:K16053	rat:M949_1829
ko:K03474	rat:M949_1830
ko:K00826	rat:M949_1838
ko:K11066	rat:M949_1840
ko:K00937	rat:M949_1843
ko:K01524	rat:M949_1844
ko:K02342	rat:M949_1850
ko:K17103	rat:M949_1851
ko:K07386	rat:M949_1852
ko:K03742	rat:M949_1853
ko:K01077	rat:M949_1854
ko:K09808	rat:M949_1856
ko:K02834	rat:M949_1857
ko:K03088	rat:M949_1874
ko:K01681	rat:M949_0471
ko:K03500	rat:M949_0473
ko:K01201	rat:M949_0477
ko:K00833	rat:M949_0487
ko:K01935	rat:M949_0488
ko:K00652	rat:M949_0489
ko:K00297	rat:M949_0491
ko:K00548	rat:M949_0492
ko:K00548	rat:M949_0493
ko:K00548	rat:M949_0494
ko:K00318	rat:M949_0499
ko:K01735	rat:M949_0504
ko:K05595	rat:M949_0506
ko:K07114	rat:M949_0509
ko:K07114	rat:M949_0510
ko:K03924	rat:M949_0513
ko:K03218	rat:M949_0515
ko:K02067	rat:M949_1365
ko:K02078	rat:M949_1378
ko:K09458	rat:M949_1379
ko:K03685	rat:M949_1380
ko:K00873	rat:M949_1382
ko:K00135	rat:M949_1383
ko:K04084	rat:M949_1385
ko:K04075	rat:M949_1387
ko:K01875	rat:M949_1389
ko:K01934	rat:M949_1393
ko:K08303	rat:M949_1395
ko:K01869	rat:M949_1398
ko:K03561	rat:M949_1399
ko:K03832	rat:M949_1402
ko:K02040	rat:M949_1403
ko:K15876	rat:M949_1411
ko:K03385	rat:M949_1412
ko:K07007	rat:M949_1415
ko:K03559	rat:M949_1417
ko:K03561	rat:M949_1418
ko:K02621	rat:M949_0059
ko:K02622	rat:M949_0061
ko:K09888	rat:M949_0063
ko:K03113	rat:M949_0065
ko:K00757	rat:M949_0066
ko:K01938	rat:M949_0069
ko:K02884	rat:M949_0070
ko:K03657	rat:M949_0075
ko:K03075	rat:M949_0079
ko:K06187	rat:M949_0081
ko:K00031	rat:M949_0084
ko:K06178	rat:M949_0087
ko:K01953	rat:M949_0089
ko:K01876	rat:M949_0090
ko:K11175	rat:M949_0091
ko:K01933	rat:M949_0092
ko:K00648	rat:M949_0093
ko:K13421	rat:M949_0095
ko:K00243	rat:M949_0102
ko:K02527	rat:M949_0977
ko:K02557	rat:M949_0981
ko:K05837	rat:M949_0982
ko:K05515	rat:M949_0983
ko:K03570	rat:M949_0985
ko:K03569	rat:M949_0986
ko:K03977	rat:M949_0987
ko:K00845	rat:M949_0988
ko:K02014	rat:M949_0994
ko:K03070	rat:M949_0996
ko:K05807	rat:M949_0999
ko:K13038	rat:M949_1001
ko:K06966	rat:M949_1003
ko:K03424	rat:M949_1006
ko:K03536	rat:M949_1008
ko:K06168	rat:M949_1013
ko:K07107	rat:M949_1016
ko:K00946	rat:M949_1017
ko:K01012	rat:M949_1019
ko:K03631	rat:M949_1022
ko:K02342	rat:M949_1023
ko:K06915	rat:M949_1024
ko:K07090	rat:M949_1026
ko:K03671	rat:M949_1031
ko:K00645	rat:M949_1032
ko:K03088	rat:M949_1875
ko:K03644	rat:M949_1876
ko:K01736	rat:M949_1882
ko:K06915	rat:M949_1885
ko:K07090	rat:M949_1887
ko:K01270	rat:M949_1903
ko:K07735	rat:M949_1904
ko:K00275	rat:M949_1905
ko:K03530	rat:M949_1908
ko:K01579	rat:M949_1909
ko:K07027	rat:M949_1910
ko:K00945	rat:M949_1912
ko:K00796	rat:M949_1913
ko:K06518	rat:M949_1915
ko:K09810	rat:M949_1918
ko:K03630	rat:M949_1919
ko:K01507	rat:M949_1923
ko:K02343	rat:M949_1925
ko:K04516	rat:M949_1927
ko:K03437	rat:M949_1929
ko:K00549	rat:M949_1931
ko:K07220	rat:M949_1933
ko:K16091	rat:M949_0526
ko:K03811	rat:M949_0537
ko:K03294	rat:M949_0538
ko:K03294	rat:M949_0539
ko:K00161	rat:M949_0542
ko:K00627	rat:M949_0543
ko:K01619	rat:M949_0544
ko:K03305	rat:M949_0546
ko:K01077	rat:M949_0550
ko:K01077	rat:M949_0551
ko:K01153	rat:M949_0553
ko:K01154	rat:M949_0556
ko:K03427	rat:M949_0557
ko:K03427	rat:M949_0558
ko:K06167	rat:M949_0568
ko:K00858	rat:M949_1421
ko:K01624	rat:M949_1422
ko:K01963	rat:M949_1423
ko:K06287	rat:M949_1429
ko:K03270	rat:M949_1431
ko:K02906	rat:M949_1434
ko:K02926	rat:M949_1435
ko:K02892	rat:M949_1436
ko:K02886	rat:M949_1437
ko:K02965	rat:M949_1438
ko:K02890	rat:M949_1439
ko:K02982	rat:M949_1440
ko:K02878	rat:M949_1441
ko:K02904	rat:M949_1442
ko:K02961	rat:M949_1443
ko:K02874	rat:M949_1444
ko:K02895	rat:M949_1445
ko:K02931	rat:M949_1446
ko:K02954	rat:M949_1447
ko:K02994	rat:M949_1448
ko:K02933	rat:M949_1449
ko:K02881	rat:M949_1450
ko:K02988	rat:M949_1451
ko:K02907	rat:M949_1452
ko:K02876	rat:M949_1453
ko:K03076	rat:M949_1454
ko:K02518	rat:M949_1455
ko:K02919	rat:M949_1456
ko:K02952	rat:M949_1457
ko:K02948	rat:M949_1458
ko:K02986	rat:M949_1459
ko:K03040	rat:M949_1460
ko:K02879	rat:M949_1461
ko:K01647	rat:M949_1464
ko:K01689	rat:M949_1465
ko:K09022	rat:M949_1467
ko:K01448	rat:M949_1469
ko:K02968	rat:M949_1470
ko:K00969	rat:M949_1472
ko:K07462	rat:M949_1473
ko:K01465	rat:M949_1476
ko:K01985	rat:M949_r01
ko:K01985	rat:M949_r09
