ko:K04750	spq:SPAB_05287
ko:K03610	spq:SPAB_01402
ko:K09902	spq:SPAB_01403
ko:K09160	spq:SPAB_01405
ko:K03611	spq:SPAB_01410
ko:K03314	spq:SPAB_01411
ko:K03603	spq:SPAB_01413
ko:K01284	spq:SPAB_01797
ko:K02014	spq:SPAB_01702
ko:K02406	spq:SPAB_03439
ko:K01061	spq:SPAB_04923
ko:K02871	spq:SPAB_04170
ko:K09747	spq:SPAB_03087
ko:K00826	spq:SPAB_04848
ko:K04651	spq:SPAB_03926
ko:K06281	spq:SPAB_03929
ko:K06282	spq:SPAB_03932
ko:K03559	spq:SPAB_03942
ko:K03561	spq:SPAB_03943
ko:K01760	spq:SPAB_03945
ko:K08325	spq:SPAB_03949
ko:K06221	spq:SPAB_03950
ko:K03319	spq:SPAB_03952
ko:K04753	spq:SPAB_03962
ko:K00655	spq:SPAB_03963
ko:K07666	spq:SPAB_03966
ko:K07645	spq:SPAB_03968
ko:K07000	spq:SPAB_03973
ko:K03651	spq:SPAB_03974
ko:K09920	spq:SPAB_03975
ko:K01515	spq:SPAB_03976
ko:K07238	spq:SPAB_03983
ko:K01023	spq:SPAB_03985
ko:K03673	spq:SPAB_03986
ko:K03611	spq:SPAB_03987
ko:K02858	spq:SPAB_03988
ko:K09806	spq:SPAB_03989
ko:K00982	spq:SPAB_03996
ko:K07184	spq:SPAB_03998
ko:K07648	spq:SPAB_04147
ko:K07139	spq:SPAB_04148
ko:K00265	spq:SPAB_04152
ko:K00266	spq:SPAB_04154
ko:K01485	spq:SPAB_04158
ko:K00885	spq:SPAB_04160
ko:K01788	spq:SPAB_04161
ko:K01639	spq:SPAB_04163
ko:K03599	spq:SPAB_04167
ko:K02996	spq:SPAB_04169
ko:K09908	spq:SPAB_04172
ko:K04772	spq:SPAB_04173
ko:K04691	spq:SPAB_04174
ko:K01572	spq:SPAB_04177
ko:K01571	spq:SPAB_04178
ko:K01573	spq:SPAB_04179
ko:K03780	spq:SPAB_04180
ko:K03779	spq:SPAB_04181
ko:K03402	spq:SPAB_04188
ko:K03568	spq:SPAB_04196
ko:K08301	spq:SPAB_04198
ko:K06287	spq:SPAB_04199
ko:K03571	spq:SPAB_04200
ko:K03570	spq:SPAB_04201
ko:K03569	spq:SPAB_04202
ko:K07147	spq:SPAB_04206
ko:K02687	spq:SPAB_04214
ko:K05540	spq:SPAB_04218
ko:K00014	spq:SPAB_04242
ko:K07566	spq:SPAB_04243
ko:K03747	spq:SPAB_04245
ko:K04096	spq:SPAB_04246
ko:K01462	spq:SPAB_04247
ko:K03499	spq:SPAB_04250
ko:K03282	spq:SPAB_04251
ko:K02879	spq:SPAB_04254
ko:K02986	spq:SPAB_04256
ko:K02948	spq:SPAB_04258
ko:K02952	spq:SPAB_04259
ko:K03076	spq:SPAB_04261
ko:K02876	spq:SPAB_04262
ko:K02907	spq:SPAB_04263
ko:K02988	spq:SPAB_04264
ko:K02881	spq:SPAB_04265
ko:K02933	spq:SPAB_04266
ko:K02994	spq:SPAB_04267
ko:K02954	spq:SPAB_04268
ko:K02931	spq:SPAB_04269
ko:K02895	spq:SPAB_04270
ko:K02874	spq:SPAB_04271
ko:K02961	spq:SPAB_04272
ko:K02904	spq:SPAB_04273
ko:K02878	spq:SPAB_04274
ko:K02982	spq:SPAB_04275
ko:K02890	spq:SPAB_04276
ko:K02965	spq:SPAB_04277
ko:K02886	spq:SPAB_04278
ko:K02892	spq:SPAB_04279
ko:K02926	spq:SPAB_04280
ko:K02906	spq:SPAB_04281
ko:K02946	spq:SPAB_04283
ko:K02798	spq:SPAB_04578
ko:K02799	spq:SPAB_04578
ko:K02800	spq:SPAB_04578
ko:K10823	spq:SPAB_01501
ko:K01703	spq:SPAB_00141
ko:K01704	spq:SPAB_03270
ko:K07461	spq:SPAB_04081
ko:K03546	spq:SPAB_03195
ko:K03186	spq:SPAB_03633
ko:K01657	spq:SPAB_01522
ko:K02472	spq:SPAB_04866
ko:K05592	spq:SPAB_04091
ko:K03183	spq:SPAB_04926
ko:K01703	spq:SPAB_03271
ko:K03641	spq:SPAB_02778
ko:K10748	spq:SPAB_01849
ko:K03977	spq:SPAB_00422
ko:K00901	spq:SPAB_05219
ko:K06206	spq:SPAB_00238
ko:K00525	spq:SPAB_03487
ko:K00549	spq:SPAB_04918
ko:K03835	spq:SPAB_04090
ko:K00768	spq:SPAB_01089
ko:K00425	spq:SPAB_01428
ko:K02837	spq:SPAB_05737
ko:K07675	spq:SPAB_04710
ko:K07709	spq:SPAB_05163
ko:K07803	spq:SPAB_05162
ko:K00525	spq:SPAB_00708
ko:K04754	spq:SPAB_00573
ko:K10806	spq:SPAB_01508
ko:K03572	spq:SPAB_05492
ko:K06076	spq:SPAB_00575
ko:K01892	spq:SPAB_00419
ko:K02945	spq:SPAB_02535
ko:K00648	spq:SPAB_02330
ko:K00604	spq:SPAB_04248
ko:K02401	spq:SPAB_01246
ko:K03413	spq:SPAB_01244
ko:K00820	spq:SPAB_04802
ko:K11209	spq:SPAB_03922
ko:K00526	spq:SPAB_03488
ko:K02160	spq:SPAB_04210
ko:K02400	spq:SPAB_01247
ko:K00057	spq:SPAB_04597
ko:K01677	spq:SPAB_02761
ko:K03808	spq:SPAB_01361
ko:K03808	spq:SPAB_02495
ko:K01007	spq:SPAB_01985
ko:K00790	spq:SPAB_04124
ko:K06968	spq:SPAB_03709
ko:K03665	spq:SPAB_05495
ko:K02405	spq:SPAB_01198
ko:K01845	spq:SPAB_00259
ko:K03923	spq:SPAB_03969
ko:K00864	spq:SPAB_05061
ko:K09812	spq:SPAB_04435
ko:K06192	spq:SPAB_02494
ko:K09811	spq:SPAB_04434
ko:K03624	spq:SPAB_04114
ko:K03686	spq:SPAB_00015
ko:K07713	spq:SPAB_05164
ko:K02190	spq:SPAB_01080
ko:K03075	spq:SPAB_04107
ko:K00974	spq:SPAB_03999
ko:K03043	spq:SPAB_05142
ko:K03711	spq:SPAB_02847
ko:K06223	spq:SPAB_04335
ko:K02193	spq:SPAB_00738
ko:K13041	spq:SPAB_01941
ko:K08641	spq:SPAB_01685
ko:K00137	spq:SPAB_01688
ko:K09936	spq:SPAB_01696
ko:K07119	spq:SPAB_01698
ko:K05591	spq:SPAB_01610
ko:K03778	spq:SPAB_01625
ko:K09978	spq:SPAB_01628
ko:K01118	spq:SPAB_01630
ko:K03578	spq:SPAB_01631
ko:K02029	spq:SPAB_01639
ko:K02028	spq:SPAB_01640
ko:K02029	spq:SPAB_01641
ko:K02030	spq:SPAB_01642
ko:K02773	spq:SPAB_01664
ko:K06971	spq:SPAB_01665
ko:K02775	spq:SPAB_01666
ko:K02774	spq:SPAB_01667
ko:K03817	spq:SPAB_01670
ko:K05782	spq:SPAB_01675
ko:K03600	spq:SPAB_04165
ko:K03919	spq:SPAB_00726
ko:K06189	spq:SPAB_02882
ko:K03701	spq:SPAB_05239
ko:K03702	spq:SPAB_02719
ko:K03573	spq:SPAB_03740
ko:K03582	spq:SPAB_03725
ko:K03583	spq:SPAB_03727
ko:K03581	spq:SPAB_03724
ko:K02336	spq:SPAB_00123
ko:K03703	spq:SPAB_01210
ko:K03657	spq:SPAB_04903
ko:K03555	spq:SPAB_03621
ko:K03550	spq:SPAB_01271
ko:K02420	spq:SPAB_01168
ko:K02421	spq:SPAB_01167
ko:K01448	spq:SPAB_00504
ko:K04044	spq:SPAB_00394
ko:K03177	spq:SPAB_04096
ko:K02317	spq:SPAB_05718
ko:K03629	spq:SPAB_04774
ko:K03655	spq:SPAB_04645
ko:K01972	spq:SPAB_04639
ko:K03584	spq:SPAB_00347
ko:K01704	spq:SPAB_00140
ko:K02835	spq:SPAB_01453
ko:K03551	spq:SPAB_01272
ko:K01159	spq:SPAB_01266
ko:K04066	spq:SPAB_05073
ko:K03666	spq:SPAB_05494
ko:K01956	spq:SPAB_00082
ko:K03315	spq:SPAB_01743
ko:K00526	spq:SPAB_00707
ko:K04075	spq:SPAB_00301
ko:K08354	spq:SPAB_01040
ko:K01893	spq:SPAB_02511
ko:K01056	spq:SPAB_01443
ko:K05834	spq:SPAB_04913
ko:K00537	spq:SPAB_00451
ko:K00344	spq:SPAB_05229
ko:K02188	spq:SPAB_01073
ko:K01419	spq:SPAB_05069
ko:K03975	spq:SPAB_00603
ko:K02110	spq:SPAB_04811
ko:K03614	spq:SPAB_01864
ko:K02313	spq:SPAB_04777
ko:K03613	spq:SPAB_01866
ko:K09903	spq:SPAB_00280
ko:K02380	spq:SPAB_04996
ko:K03734	spq:SPAB_00724
ko:K00970	spq:SPAB_00235
ko:K03563	spq:SPAB_03513
ko:K03612	spq:SPAB_01865
ko:K01997	spq:SPAB_04425
ko:K03645	spq:SPAB_02841
ko:K03980	spq:SPAB_02359
ko:K03617	spq:SPAB_01861
ko:K00537	spq:SPAB_05419
ko:K07722	spq:SPAB_04450
ko:K01915	spq:SPAB_04970
ko:K02551	spq:SPAB_00672
ko:K01962	spq:SPAB_00296
ko:K01963	spq:SPAB_00604
ko:K06916	spq:SPAB_04171
ko:K02619	spq:SPAB_02325
ko:K11179	spq:SPAB_02472
ko:K11250	spq:SPAB_02088
ko:K03117	spq:SPAB_04930
ko:K11249	spq:SPAB_00330
ko:K01995	spq:SPAB_04423
ko:K00656	spq:SPAB_02655
ko:K03098	spq:SPAB_05470
ko:K03623	spq:SPAB_04191
ko:K03224	spq:SPAB_01910
ko:K06042	spq:SPAB_01072
ko:K10558	spq:SPAB_05047
ko:K10556	spq:SPAB_05049
ko:K10557	spq:SPAB_05050
ko:K10555	spq:SPAB_05051
ko:K08321	spq:SPAB_05052
ko:K01783	spq:SPAB_05054
ko:K01803	spq:SPAB_05055
ko:K00528	spq:SPAB_05059
ko:K02446	spq:SPAB_05060
ko:K02553	spq:SPAB_05066
ko:K02548	spq:SPAB_05067
ko:K11183	spq:SPAB_00802
ko:K02768	spq:SPAB_00802
ko:K05804	spq:SPAB_05764
ko:K05499	spq:SPAB_05072
ko:K03764	spq:SPAB_05080
ko:K01739	spq:SPAB_05081
ko:K00297	spq:SPAB_05087
ko:K09974	spq:SPAB_05090
ko:K00005	spq:SPAB_05091
ko:K08314	spq:SPAB_05092
ko:K07322	spq:SPAB_05537
ko:K08303	spq:SPAB_01677
ko:K05964	spq:SPAB_00074
ko:K07306	spq:SPAB_05309
ko:K02511	spq:SPAB_02445
ko:K11392	spq:SPAB_01359
ko:K06941	spq:SPAB_00414
ko:K00558	spq:SPAB_01156
ko:K03667	spq:SPAB_05068
ko:K01042	spq:SPAB_04576
ko:K01791	spq:SPAB_04865
ko:K03615	spq:SPAB_01863
ko:K07034	spq:SPAB_00010
ko:K07643	spq:SPAB_05291
ko:K07771	spq:SPAB_05292
ko:K10805	spq:SPAB_03110
ko:K02484	spq:SPAB_02460
ko:K02483	spq:SPAB_02459
ko:K00813	spq:SPAB_02515
ko:K03632	spq:SPAB_02519
ko:K03804	spq:SPAB_02520
ko:K03633	spq:SPAB_02521
ko:K06219	spq:SPAB_02522
ko:K00979	spq:SPAB_02526
ko:K09791	spq:SPAB_02527
ko:K09927	spq:SPAB_02528
ko:K00912	spq:SPAB_02529
ko:K02238	spq:SPAB_02531
ko:K00945	spq:SPAB_02536
ko:K00800	spq:SPAB_02538
ko:K00831	spq:SPAB_02539
ko:K09136	spq:SPAB_02542
ko:K06212	spq:SPAB_02544
ko:K00656	spq:SPAB_02545
ko:K08219	spq:SPAB_02553
ko:K07308	spq:SPAB_02555
ko:K07306	spq:SPAB_02557
ko:K01875	spq:SPAB_02558
ko:K07478	spq:SPAB_02560
ko:K03634	spq:SPAB_02561
ko:K03466	spq:SPAB_02562
ko:K00384	spq:SPAB_02564
ko:K00684	spq:SPAB_02567
ko:K06911	spq:SPAB_02572
ko:K03694	spq:SPAB_02577
ko:K03704	spq:SPAB_02579
ko:K07459	spq:SPAB_02584
ko:K09979	spq:SPAB_04082
ko:K03824	spq:SPAB_04083
ko:K06153	spq:SPAB_04000
ko:K01633	spq:SPAB_04001
ko:K08591	spq:SPAB_04002
ko:K01409	spq:SPAB_04004
ko:K02970	spq:SPAB_04005
ko:K03086	spq:SPAB_04007
ko:K09251	spq:SPAB_04016
ko:K00219	spq:SPAB_04018
ko:K07043	spq:SPAB_04020
ko:K07393	spq:SPAB_04036
ko:K06911	spq:SPAB_04039
ko:K01752	spq:SPAB_04043
ko:K00656	spq:SPAB_04044
ko:K00932	spq:SPAB_04045
ko:K03838	spq:SPAB_04046
ko:K01754	spq:SPAB_04047
ko:K07592	spq:SPAB_04048
ko:K00865	spq:SPAB_04053
ko:K00042	spq:SPAB_04054
ko:K01630	spq:SPAB_04055
ko:K01708	spq:SPAB_04058
ko:K08302	spq:SPAB_04063
ko:K02769	spq:SPAB_04065
ko:K02770	spq:SPAB_04065
ko:K02773	spq:SPAB_04068
ko:K02774	spq:SPAB_04069
ko:K02775	spq:SPAB_04070
ko:K00094	spq:SPAB_04071
ko:K07056	spq:SPAB_04074
ko:K07121	spq:SPAB_04075
ko:K05520	spq:SPAB_04080
ko:K08303	spq:SPAB_04085
ko:K05803	spq:SPAB_04092
ko:K00962	spq:SPAB_04093
ko:K02956	spq:SPAB_04095
ko:K02834	spq:SPAB_04097
ko:K02519	spq:SPAB_04098
ko:K02600	spq:SPAB_04099
ko:K09748	spq:SPAB_04100
ko:K01940	spq:SPAB_04102
ko:K03431	spq:SPAB_04108
ko:K00796	spq:SPAB_04109
ko:K03798	spq:SPAB_04111
ko:K02427	spq:SPAB_04112
ko:K07574	spq:SPAB_04113
ko:K07259	spq:SPAB_04116
ko:K02899	spq:SPAB_04120
ko:K02888	spq:SPAB_04121
ko:K02523	spq:SPAB_04122
ko:K08680	spq:SPAB_00673
ko:K07040	spq:SPAB_02333
ko:K06179	spq:SPAB_02338
ko:K02397	spq:SPAB_02342
ko:K02396	spq:SPAB_02343
ko:K02395	spq:SPAB_02344
ko:K02394	spq:SPAB_02345
ko:K02393	spq:SPAB_02346
ko:K02392	spq:SPAB_02348
ko:K02391	spq:SPAB_02349
ko:K02390	spq:SPAB_02350
ko:K02389	spq:SPAB_02351
ko:K02388	spq:SPAB_02352
ko:K02387	spq:SPAB_02353
ko:K02386	spq:SPAB_02355
ko:K02398	spq:SPAB_02357
ko:K02399	spq:SPAB_02358
ko:K03810	spq:SPAB_02360
ko:K09915	spq:SPAB_02361
ko:K03790	spq:SPAB_02362
ko:K08162	spq:SPAB_02363
ko:K03675	spq:SPAB_02364
ko:K01465	spq:SPAB_02367
ko:K07146	spq:SPAB_02375
ko:K02517	spq:SPAB_02376
ko:K08161	spq:SPAB_02377
ko:K03669	spq:SPAB_02380
ko:K03670	spq:SPAB_02381
ko:K01788	spq:SPAB_02411
ko:K03307	spq:SPAB_02414
ko:K06217	spq:SPAB_02417
ko:K11085	spq:SPAB_02530
ko:K01937	spq:SPAB_03666
ko:K00951	spq:SPAB_03677
ko:K03215	spq:SPAB_03678
ko:K07678	spq:SPAB_03679
ko:K00865	spq:SPAB_03680
ko:K01706	spq:SPAB_03681
ko:K03535	spq:SPAB_03683
ko:K06175	spq:SPAB_03686
ko:K06966	spq:SPAB_03691
ko:K03837	spq:SPAB_03694
ko:K01752	spq:SPAB_03695
ko:K00048	spq:SPAB_03699
ko:K01628	spq:SPAB_03700
ko:K02429	spq:SPAB_03703
ko:K01818	spq:SPAB_03704
ko:K00879	spq:SPAB_03706
ko:K02431	spq:SPAB_03707
ko:K02430	spq:SPAB_03708
ko:K03566	spq:SPAB_03711
ko:K02426	spq:SPAB_03715
ko:K08304	spq:SPAB_03719
ko:K01407	spq:SPAB_03726
ko:K02681	spq:SPAB_03728
ko:K02680	spq:SPAB_03730
ko:K02679	spq:SPAB_03731
ko:K00560	spq:SPAB_03733
ko:K08484	spq:SPAB_03736
ko:K08311	spq:SPAB_03737
ko:K08227	spq:SPAB_03745
ko:K02529	spq:SPAB_03750
ko:K01586	spq:SPAB_03752
ko:K02100	spq:SPAB_03755
ko:K00065	spq:SPAB_03756
ko:K01815	spq:SPAB_03757
ko:K00626	spq:SPAB_03759
ko:K08970	spq:SPAB_03765
ko:K01823	spq:SPAB_03786
ko:K02836	spq:SPAB_03788
ko:K03981	spq:SPAB_03790
ko:K04763	spq:SPAB_03791
ko:K03840	spq:SPAB_03792
ko:K09159	spq:SPAB_03795
ko:K06980	spq:SPAB_03796
ko:K09900	spq:SPAB_03798
ko:K01223	spq:SPAB_03799
ko:K02437	spq:SPAB_03803
ko:K00605	spq:SPAB_03805
ko:K03185	spq:SPAB_03810
ko:K01262	spq:SPAB_03811
ko:K09895	spq:SPAB_03812
ko:K09888	spq:SPAB_03813
ko:K00058	spq:SPAB_03816
ko:K05596	spq:SPAB_03820
ko:K09807	spq:SPAB_03822
ko:K06895	spq:SPAB_03824
ko:K03442	spq:SPAB_03825
ko:K01624	spq:SPAB_03826
ko:K00927	spq:SPAB_03827
ko:K03472	spq:SPAB_03828
ko:K06934	spq:SPAB_03830
ko:K00615	spq:SPAB_03835
ko:K07387	spq:SPAB_03837
ko:K01480	spq:SPAB_03838
ko:K00789	spq:SPAB_03853
ko:K08137	spq:SPAB_03855
ko:K02742	spq:SPAB_03856
ko:K01150	spq:SPAB_03857
ko:K09761	spq:SPAB_03859
ko:K01920	spq:SPAB_03860
ko:K07735	spq:SPAB_03861
ko:K07447	spq:SPAB_03862
ko:K02669	spq:SPAB_03864
ko:K06997	spq:SPAB_03865
ko:K02221	spq:SPAB_03866
ko:K09131	spq:SPAB_03867
ko:K01424	spq:SPAB_03871
ko:K09923	spq:SPAB_03874
ko:K03439	spq:SPAB_03875
ko:K08306	spq:SPAB_03879
ko:K03289	spq:SPAB_03881
ko:K01581	spq:SPAB_03882
ko:K07150	spq:SPAB_03885
ko:K01130	spq:SPAB_03892
ko:K06995	spq:SPAB_03900
ko:K09471	spq:SPAB_03901
ko:K00146	spq:SPAB_03902
ko:K08191	spq:SPAB_03912
ko:K01686	spq:SPAB_03915
ko:K00040	spq:SPAB_03916
ko:K01812	spq:SPAB_03917
ko:K02020	spq:SPAB_03923
ko:K02016	spq:SPAB_03924
ko:K04653	spq:SPAB_03925
ko:K04019	spq:SPAB_00494
ko:K03735	spq:SPAB_00495
ko:K04026	spq:SPAB_00497
ko:K00228	spq:SPAB_00503
ko:K07223	spq:SPAB_00508
ko:K02048	spq:SPAB_00510
ko:K02046	spq:SPAB_00511
ko:K02047	spq:SPAB_00512
ko:K02045	spq:SPAB_00513
ko:K01951	spq:SPAB_00517
ko:K00868	spq:SPAB_00519
ko:K02777	spq:SPAB_00521
ko:K08483	spq:SPAB_00522
ko:K01738	spq:SPAB_00526
ko:K03528	spq:SPAB_00528
ko:K00568	spq:SPAB_00710
ko:K07687	spq:SPAB_00719
ko:K07676	spq:SPAB_00720
ko:K09475	spq:SPAB_00722
ko:K06159	spq:SPAB_00727
ko:K08276	spq:SPAB_00729
ko:K02572	spq:SPAB_00731
ko:K02570	spq:SPAB_00732
ko:K02567	spq:SPAB_00733
ko:K02573	spq:SPAB_00734
ko:K02574	spq:SPAB_00735
ko:K02568	spq:SPAB_00736
ko:K02569	spq:SPAB_00737
ko:K02194	spq:SPAB_00739
ko:K02195	spq:SPAB_00740
ko:K02196	spq:SPAB_00741
ko:K02197	spq:SPAB_00742
ko:K02198	spq:SPAB_00743
ko:K02199	spq:SPAB_00744
ko:K02200	spq:SPAB_00745
ko:K07685	spq:SPAB_00746
ko:K06904	spq:SPAB_00763
ko:K07014	spq:SPAB_00771
ko:K09904	spq:SPAB_00772
ko:K06899	spq:SPAB_00773
ko:K02897	spq:SPAB_00776
ko:K06183	spq:SPAB_00778
ko:K02356	spq:SPAB_00793
ko:K00882	spq:SPAB_00803
ko:K02769	spq:SPAB_00804
ko:K02770	spq:SPAB_00804
ko:K01495	spq:SPAB_00820
ko:K07148	spq:SPAB_00821
ko:K02529	spq:SPAB_00822
ko:K10540	spq:SPAB_00825
ko:K10542	spq:SPAB_00827
ko:K10541	spq:SPAB_00828
ko:K03748	spq:SPAB_00832
ko:K01489	spq:SPAB_00833
ko:K00450	spq:SPAB_00838
ko:K05541	spq:SPAB_00842
ko:K07262	spq:SPAB_00851
ko:K03777	spq:SPAB_00852
ko:K05349	spq:SPAB_00854
ko:K05845	spq:SPAB_00855
ko:K05846	spq:SPAB_00856
ko:K05847	spq:SPAB_00857
ko:K05846	spq:SPAB_00858
ko:K00878	spq:SPAB_00876
ko:K08303	spq:SPAB_00889
ko:K07664	spq:SPAB_00893
ko:K07789	spq:SPAB_00896
ko:K07788	spq:SPAB_00897
ko:K07799	spq:SPAB_00899
ko:K00876	spq:SPAB_00905
ko:K01494	spq:SPAB_00907
ko:K07289	spq:SPAB_00908
ko:K01104	spq:SPAB_00913
ko:K03819	spq:SPAB_00916
ko:K00971	spq:SPAB_00925
ko:K00963	spq:SPAB_00932
ko:K01710	spq:SPAB_00933
ko:K00067	spq:SPAB_00934
ko:K00973	spq:SPAB_00935
ko:K01790	spq:SPAB_00936
ko:K00978	spq:SPAB_00938
ko:K01709	spq:SPAB_00939
ko:K00971	spq:SPAB_00947
ko:K01840	spq:SPAB_00948
ko:K00996	spq:SPAB_00949
ko:K00033	spq:SPAB_00951
ko:K00012	spq:SPAB_00953
ko:K05789	spq:SPAB_00954
ko:K02009	spq:SPAB_01083
ko:K02008	spq:SPAB_01084
