ko:K05576	syz:MYO_129470
ko:K07071	syz:MYO_19400
ko:K01923	syz:MYO_19440
ko:K07277	syz:MYO_19450
ko:K02837	syz:MYO_19460
ko:K01902	syz:MYO_118230
ko:K01950	syz:MYO_118290
ko:K01890	syz:MYO_118330
ko:K01595	syz:MYO_118360
ko:K00767	syz:MYO_118380
ko:K06042	syz:MYO_118410
ko:K01623	syz:MYO_118460
ko:K15738	syz:MYO_118540
ko:K06442	syz:MYO_118560
ko:K00991	syz:MYO_118600
ko:K03841	syz:MYO_118610
ko:K11145	syz:MYO_118640
ko:K03218	syz:MYO_118650
ko:K01883	syz:MYO_118670
ko:K06287	syz:MYO_118680
ko:K00464	syz:MYO_118710
ko:K06891	syz:MYO_118720
ko:K05349	syz:MYO_118770
ko:K01633	syz:MYO_118790
ko:K03320	syz:MYO_126940
ko:K01625	syz:MYO_126950
ko:K07037	syz:MYO_126970
ko:K06941	syz:MYO_127050
ko:K03147	syz:MYO_127200
ko:K07058	syz:MYO_127210
ko:K00937	syz:MYO_127240
ko:K03608	syz:MYO_127250
ko:K03609	syz:MYO_127260
ko:K03610	syz:MYO_127270
ko:K06915	syz:MYO_127380
ko:K16786	syz:MYO_112070
ko:K03321	syz:MYO_19470
ko:K06955	syz:MYO_19490
ko:K00239	syz:MYO_19520
ko:K02503	syz:MYO_19540
ko:K09005	syz:MYO_19560
ko:K02192	syz:MYO_19570
ko:K01920	syz:MYO_19660
ko:K01661	syz:MYO_19680
ko:K00324	syz:MYO_19690
ko:K07075	syz:MYO_19710
ko:K00325	syz:MYO_19730
ko:K03592	syz:MYO_19740
ko:K01870	syz:MYO_19780
ko:K02343	syz:MYO_19800
ko:K06991	syz:MYO_19810
ko:K00688	syz:MYO_19840
ko:K07462	syz:MYO_19920
ko:K00847	syz:MYO_19950
ko:K01091	syz:MYO_19990
ko:K00794	syz:MYO_110010
ko:K02724	syz:MYO_110020
ko:K02945	syz:MYO_110050
ko:K00788	syz:MYO_14110
ko:K06180	syz:MYO_14170
ko:K13993	syz:MYO_14250
ko:K03644	syz:MYO_14280
ko:K02535	syz:MYO_14360
ko:K03798	syz:MYO_14390
ko:K07075	syz:MYO_14450
ko:K02224	syz:MYO_14520
ko:K02066	syz:MYO_14590
ko:K03116	syz:MYO_14600
ko:K02911	syz:MYO_14640
ko:K00208	syz:MYO_14660
ko:K08482	syz:MYO_113580
ko:K01546	syz:MYO_113640
ko:K01547	syz:MYO_113650
ko:K01548	syz:MYO_113670
ko:K07646	syz:MYO_113680
ko:K09800	syz:MYO_113690
ko:K09879	syz:MYO_113700
ko:K05579	syz:MYO_113750
ko:K13038	syz:MYO_113800
ko:K03839	syz:MYO_113830
ko:K14540	syz:MYO_113850
ko:K06942	syz:MYO_113860
ko:K02011	syz:MYO_113990
ko:K02012	syz:MYO_114000
ko:K01425	syz:MYO_114030
ko:K02276	syz:MYO_114080
ko:K04083	syz:MYO_114100
ko:K03782	syz:MYO_114110
ko:K07399	syz:MYO_114120
ko:K01892	syz:MYO_122320
ko:K03547	syz:MYO_122400
ko:K03696	syz:MYO_122410
ko:K00099	syz:MYO_122420
ko:K01624	syz:MYO_122430
ko:K01845	syz:MYO_122440
ko:K08304	syz:MYO_122450
ko:K03797	syz:MYO_122480
ko:K07507	syz:MYO_122530
ko:K00748	syz:MYO_122550
ko:K02639	syz:MYO_122560
ko:K00790	syz:MYO_122580
ko:K07347	syz:MYO_122620
ko:K10206	syz:MYO_122650
ko:K03655	syz:MYO_122670
ko:K04773	syz:MYO_122680
ko:K01951	syz:MYO_122710
ko:K06153	syz:MYO_122730
ko:K02231	syz:MYO_122740
ko:K00973	syz:MYO_122790
ko:K01879	syz:MYO_122800
ko:K04094	syz:MYO_122820
ko:K03495	syz:MYO_122840
ko:K02699	syz:MYO_131030
ko:K02563	syz:MYO_131050
ko:K07447	syz:MYO_131100
ko:K01524	syz:MYO_131110
ko:K01778	syz:MYO_131150
ko:K04561	syz:MYO_131250
ko:K01687	syz:MYO_131370
ko:K01091	syz:MYO_131450
ko:K04079	syz:MYO_131510
ko:K00975	syz:MYO_131520
ko:K09001	syz:MYO_131550
ko:K02835	syz:MYO_131560
ko:K03787	syz:MYO_131580
ko:K02065	syz:MYO_14800
ko:K00057	syz:MYO_14830
ko:K03823	syz:MYO_14840
ko:K01915	syz:MYO_14850
ko:K01091	syz:MYO_14900
ko:K05795	syz:MYO_14930
ko:K03190	syz:MYO_14980
ko:K06978	syz:MYO_15030
ko:K07390	syz:MYO_15080
ko:K09747	syz:MYO_15090
ko:K00013	syz:MYO_15100
ko:K01428	syz:MYO_15130
ko:K01662	syz:MYO_15190
ko:K02708	syz:MYO_15230
ko:K00931	syz:MYO_15260
ko:K01652	syz:MYO_114130
ko:K01652	syz:MYO_114210
ko:K11532	syz:MYO_114250
ko:K06886	syz:MYO_114280
ko:K03110	syz:MYO_114330
ko:K08591	syz:MYO_114360
ko:K00759	syz:MYO_114380
ko:K03453	syz:MYO_114410
ko:K01881	syz:MYO_114450
ko:K03621	syz:MYO_114540
ko:K00648	syz:MYO_114550
ko:K02717	syz:MYO_114560
ko:K07086	syz:MYO_114570
ko:K00858	syz:MYO_114590
ko:K04564	syz:MYO_114640
ko:K00052	syz:MYO_114650
ko:K02548	syz:MYO_114670
ko:K03665	syz:MYO_114700
ko:K03798	syz:MYO_122910
ko:K01338	syz:MYO_122920
ko:K03118	syz:MYO_122930
ko:K01247	syz:MYO_122960
ko:K04077	syz:MYO_123010
ko:K09807	syz:MYO_123040
ko:K07107	syz:MYO_123080
ko:K02356	syz:MYO_123110
ko:K02160	syz:MYO_123120
ko:K00812	syz:MYO_123210
ko:K01647	syz:MYO_123220
ko:K08296	syz:MYO_123230
ko:K03154	syz:MYO_123260
ko:K01433	syz:MYO_123300
ko:K01673	syz:MYO_123310
ko:K07395	syz:MYO_123320
ko:K01653	syz:MYO_123360
ko:K07042	syz:MYO_123380
ko:K00901	syz:MYO_123390
ko:K04040	syz:MYO_123410
ko:K08983	syz:MYO_131640
ko:K12957	syz:MYO_131700
ko:K01940	syz:MYO_131710
ko:K01589	syz:MYO_131740
ko:K00926	syz:MYO_131830
ko:K00602	syz:MYO_131910
ko:K00384	syz:MYO_131960
ko:K02337	syz:MYO_132000
ko:K03596	syz:MYO_132010
ko:K11755	syz:MYO_132050
ko:K02469	syz:MYO_15320
ko:K09933	syz:MYO_15340
ko:K09817	syz:MYO_15410
ko:K09816	syz:MYO_15420
ko:K05516	syz:MYO_15520
ko:K01585	syz:MYO_190
ko:K04043	syz:MYO_15530
ko:K00600	syz:MYO_15540
ko:K01448	syz:MYO_15610
ko:K03587	syz:MYO_15730
ko:K11473	syz:MYO_15750
ko:K06168	syz:MYO_15840
ko:K10716	syz:MYO_15890
ko:K07075	syz:MYO_114750
ko:K01255	syz:MYO_114760
ko:K07130	syz:MYO_114960
ko:K01698	syz:MYO_115050
ko:K01735	syz:MYO_115060
ko:K03568	syz:MYO_115110
ko:K02493	syz:MYO_115120
ko:K01251	syz:MYO_115170
ko:K02112	syz:MYO_115250
ko:K02114	syz:MYO_115260
ko:K09458	syz:MYO_115280
ko:K07001	syz:MYO_123480
ko:K04043	syz:MYO_123510
ko:K03687	syz:MYO_123520
ko:K02652	syz:MYO_123530
ko:K07444	syz:MYO_123540
ko:K11752	syz:MYO_123560
ko:K01961	syz:MYO_123590
ko:K00604	syz:MYO_123620
ko:K11957	syz:MYO_123630
ko:K02986	syz:MYO_123650
ko:K00147	syz:MYO_123670
ko:K03702	syz:MYO_123700
ko:K11175	syz:MYO_123730
ko:K03980	syz:MYO_123800
ko:K01911	syz:MYO_123830
ko:K01809	syz:MYO_123840
ko:K00003	syz:MYO_123860
ko:K06133	syz:MYO_123870
ko:K01889	syz:MYO_123890
ko:K03088	syz:MYO_123950
ko:K02036	syz:MYO_123980
ko:K02036	syz:MYO_123990
ko:K02038	syz:MYO_124000
ko:K02037	syz:MYO_124010
ko:K02040	syz:MYO_124020
ko:K02040	syz:MYO_124030
ko:K03629	syz:MYO_110070
ko:K00873	syz:MYO_110090
ko:K01012	syz:MYO_110130
ko:K03523	syz:MYO_110140
ko:K03101	syz:MYO_110150
ko:K00688	syz:MYO_110210
ko:K02191	syz:MYO_110220
ko:K00981	syz:MYO_110230
ko:K03282	syz:MYO_110280
ko:K03550	syz:MYO_110290
ko:K02437	syz:MYO_110350
ko:K13747	syz:MYO_110370
ko:K11720	syz:MYO_110410
ko:K00134	syz:MYO_110440
ko:K00684	syz:MYO_110460
ko:K03644	syz:MYO_110470
ko:K03703	syz:MYO_110550
ko:K01448	syz:MYO_110560
ko:K07106	syz:MYO_110600
ko:K02634	syz:MYO_110620
ko:K06180	syz:MYO_118830
ko:K02669	syz:MYO_118860
ko:K03060	syz:MYO_118890
ko:K03664	syz:MYO_118930
ko:K03695	syz:MYO_118990
ko:K00855	syz:MYO_119010
ko:K02641	syz:MYO_119020
ko:K08902	syz:MYO_119050
ko:K03685	syz:MYO_119060
ko:K02069	syz:MYO_119070
ko:K00995	syz:MYO_119110
ko:K03631	syz:MYO_119130
ko:K02716	syz:MYO_119190
ko:K00800	syz:MYO_119230
ko:K01756	syz:MYO_119280
ko:K01429	syz:MYO_119300
ko:K02341	syz:MYO_119330
ko:K11959	syz:MYO_119340
ko:K04485	syz:MYO_119350
ko:K01265	syz:MYO_127540
ko:K06042	syz:MYO_127660
ko:K01534	syz:MYO_127670
ko:K09771	syz:MYO_127680
ko:K01534	syz:MYO_127700
ko:K01502	syz:MYO_127800
ko:K09958	syz:MYO_127840
ko:K03284	syz:MYO_128080
ko:K01070	syz:MYO_15940
ko:K01866	syz:MYO_15990
ko:K01866	syz:MYO_16020
ko:K03100	syz:MYO_16150
ko:K00425	syz:MYO_16170
ko:K00426	syz:MYO_16180
ko:K03439	syz:MYO_16190
ko:K00925	syz:MYO_16200
ko:K01061	syz:MYO_16210
ko:K01147	syz:MYO_16350
ko:K03798	syz:MYO_16370
ko:K04758	syz:MYO_16390
ko:K04759	syz:MYO_16400
ko:K09775	syz:MYO_16430
ko:K06999	syz:MYO_16500
ko:K06381	syz:MYO_16510
ko:K07259	syz:MYO_115430
ko:K02694	syz:MYO_115460
ko:K02860	syz:MYO_115480
ko:K07056	syz:MYO_115510
ko:K00791	syz:MYO_115530
ko:K02275	syz:MYO_115570
ko:K03525	syz:MYO_115580
ko:K00720	syz:MYO_115590
ko:K07040	syz:MYO_115630
ko:K03800	syz:MYO_115660
ko:K03820	syz:MYO_115700
ko:K01783	syz:MYO_115760
ko:K02357	syz:MYO_115850
ko:K02967	syz:MYO_115860
ko:K07300	syz:MYO_115880
ko:K01494	syz:MYO_115890
ko:K02954	syz:MYO_124060
ko:K03969	syz:MYO_124070
ko:K03070	syz:MYO_124090
ko:K03551	syz:MYO_124120
ko:K03149	syz:MYO_124130
ko:K06980	syz:MYO_124150
ko:K02233	syz:MYO_124170
ko:K01878	syz:MYO_124190
ko:K01999	syz:MYO_124260
ko:K02551	syz:MYO_124280
ko:K07259	syz:MYO_124310
ko:K01874	syz:MYO_124330
ko:K01129	syz:MYO_124350
ko:K02469	syz:MYO_124420
ko:K02007	syz:MYO_124460
ko:K00677	syz:MYO_124530
ko:K03723	syz:MYO_124570
ko:K03642	syz:MYO_124590
ko:K11963	syz:MYO_124600
ko:K02709	syz:MYO_110640
ko:K03625	syz:MYO_119390
ko:K01991	syz:MYO_16560
ko:K01875	syz:MYO_16590
ko:K02337	syz:MYO_16730
ko:K05567	syz:MYO_16820
ko:K05567	syz:MYO_16840
ko:K05569	syz:MYO_16860
ko:K05571	syz:MYO_16880
ko:K05566	syz:MYO_16900
ko:K00645	syz:MYO_17000
ko:K00969	syz:MYO_17040
ko:K00796	syz:MYO_17060
ko:K06876	syz:MYO_115980
ko:K02066	syz:MYO_116010
ko:K01673	syz:MYO_116060
ko:K00640	syz:MYO_116070
ko:K01810	syz:MYO_116080
ko:K10255	syz:MYO_116090
ko:K01929	syz:MYO_116110
ko:K02939	syz:MYO_116130
ko:K04653	syz:MYO_116200
ko:K02259	syz:MYO_116220
ko:K14652	syz:MYO_116300
ko:K02500	syz:MYO_116320
ko:K02230	syz:MYO_116360
ko:K03666	syz:MYO_116380
ko:K03977	syz:MYO_116460
ko:K00147	syz:MYO_124610
ko:K01955	syz:MYO_124650
ko:K02825	syz:MYO_124670
ko:K01495	syz:MYO_124680
ko:K07460	syz:MYO_124700
ko:K01807	syz:MYO_124750
ko:K02221	syz:MYO_124830
ko:K02471	syz:MYO_124860
ko:K08998	syz:MYO_124990
ko:K03592	syz:MYO_125050
ko:K03327	syz:MYO_125080
ko:K01725	syz:MYO_125110
ko:K03750	syz:MYO_125120
ko:K03639	syz:MYO_125130
ko:K03637	syz:MYO_125140
ko:K03636	syz:MYO_125150
ko:K07391	syz:MYO_125180
ko:K02692	syz:MYO_11100
ko:K01657	syz:MYO_11110
ko:K13789	syz:MYO_11120
ko:K02039	syz:MYO_11150
ko:K09748	syz:MYO_11160
ko:K02600	syz:MYO_11170
ko:K02519	syz:MYO_11180
ko:K05936	syz:MYO_11230
ko:K03564	syz:MYO_11260
ko:K09774	syz:MYO_11390
ko:K06861	syz:MYO_11400
ko:K05895	syz:MYO_11410
ko:K02698	syz:MYO_11420
ko:K05573	syz:MYO_11440
ko:K03564	syz:MYO_11490
ko:K00820	syz:MYO_11500
ko:K03797	syz:MYO_11540
ko:K02115	syz:MYO_11570
ko:K02111	syz:MYO_11580
ko:K02113	syz:MYO_11590
ko:K02109	syz:MYO_11600
ko:K02109	syz:MYO_11610
ko:K02110	syz:MYO_11620
ko:K02108	syz:MYO_11630
ko:K09780	syz:MYO_110660
ko:K07088	syz:MYO_110930
ko:K00766	syz:MYO_110960
ko:K06911	syz:MYO_111020
ko:K07456	syz:MYO_111040
ko:K01921	syz:MYO_111110
ko:K06891	syz:MYO_111130
ko:K02990	syz:MYO_111150
ko:K06871	syz:MYO_111180
ko:K04066	syz:MYO_119410
ko:K08972	syz:MYO_119510
ko:K02959	syz:MYO_119550
ko:K06960	syz:MYO_119560
ko:K01915	syz:MYO_119570
ko:K06925	syz:MYO_119620
ko:K00281	syz:MYO_119630
ko:K00927	syz:MYO_119680
ko:K01872	syz:MYO_119700
ko:K00858	syz:MYO_119770
ko:K04751	syz:MYO_119810
ko:K01817	syz:MYO_119840
ko:K01465	syz:MYO_119870
ko:K02639	syz:MYO_119980
ko:K00262	syz:MYO_128190
ko:K09457	syz:MYO_128200
ko:K00097	syz:MYO_128250
ko:K00773	syz:MYO_128270
ko:K14606	syz:MYO_128280
ko:K01000	syz:MYO_128310
ko:K03737	syz:MYO_128370
ko:K02020	syz:MYO_128400
ko:K06940	syz:MYO_128440
ko:K00696	syz:MYO_128450
ko:K03408	syz:MYO_128470
ko:K11525	syz:MYO_128500
ko:K00826	syz:MYO_128550
ko:K02435	syz:MYO_128560
ko:K09835	syz:MYO_128610
ko:K03924	syz:MYO_11680
ko:K02065	syz:MYO_11720
ko:K00950	syz:MYO_11740
ko:K00382	syz:MYO_11790
ko:K03186	syz:MYO_11820
ko:K06207	syz:MYO_11880
ko:K07080	syz:MYO_11890
ko:K00761	syz:MYO_11920
ko:K00266	syz:MYO_12010
ko:K01442	syz:MYO_12040
ko:K00259	syz:MYO_12140
ko:K12573	syz:MYO_17120
ko:K01755	syz:MYO_17150
ko:K02275	syz:MYO_17190
ko:K02276	syz:MYO_17210
ko:K03671	syz:MYO_17220
ko:K04651	syz:MYO_17280
ko:K01869	syz:MYO_17330
ko:K03312	syz:MYO_17340
ko:K00615	syz:MYO_17410
ko:K09458	syz:MYO_17420
ko:K02078	syz:MYO_17430
ko:K03594	syz:MYO_17460
ko:K02897	syz:MYO_17480
ko:K01939	syz:MYO_17490
ko:K02909	syz:MYO_17510
ko:K02996	syz:MYO_17520
ko:K02871	syz:MYO_17530
ko:K06173	syz:MYO_17540
ko:K02879	syz:MYO_17550
ko:K03040	syz:MYO_17560
ko:K02948	syz:MYO_17570
ko:K02952	syz:MYO_17580
ko:K02919	syz:MYO_17590
ko:K02518	syz:MYO_17600
ko:K03076	syz:MYO_17620
ko:K02876	syz:MYO_17630
ko:K02988	syz:MYO_17640
ko:K02881	syz:MYO_17650
ko:K02933	syz:MYO_17660
ko:K02994	syz:MYO_17670
ko:K02931	syz:MYO_17680
ko:K00620	syz:MYO_116480
ko:K06203	syz:MYO_116570
ko:K02071	syz:MYO_116660
ko:K02945	syz:MYO_116680
ko:K07566	syz:MYO_116710
ko:K06872	syz:MYO_116720
ko:K06042	syz:MYO_116800
ko:K02914	syz:MYO_116820
ko:K03536	syz:MYO_116830
ko:K03217	syz:MYO_116850
ko:K02639	syz:MYO_116890
ko:K00609	syz:MYO_116940
ko:K02704	syz:MYO_125200
ko:K01265	syz:MYO_125280
ko:K01579	syz:MYO_125310
ko:K00024	syz:MYO_125320
ko:K01056	syz:MYO_125350
ko:K11954	syz:MYO_125380
ko:K01265	syz:MYO_125410
ko:K03113	syz:MYO_125500
ko:K02340	syz:MYO_125520
ko:K01895	syz:MYO_125610
ko:K02040	syz:MYO_125670
ko:K02377	syz:MYO_125690
ko:K02913	syz:MYO_125710
ko:K02963	syz:MYO_125720
ko:K01775	syz:MYO_125730
ko:K03321	syz:MYO_125750
ko:K02014	syz:MYO_1210
ko:K03474	syz:MYO_12150
ko:K06374	syz:MYO_12220
ko:K06373	syz:MYO_12230
ko:K00705	syz:MYO_12240
ko:K03394	syz:MYO_111230
ko:K00872	syz:MYO_111250
ko:K03431	syz:MYO_111270
ko:K11958	syz:MYO_111290
ko:K11753	syz:MYO_111300
ko:K01867	syz:MYO_111340
ko:K09710	syz:MYO_111370
ko:K01749	syz:MYO_111390
ko:K13788	syz:MYO_111410
ko:K06206	syz:MYO_111430
ko:K01925	syz:MYO_111470
ko:K03192	syz:MYO_111500
ko:K03526	syz:MYO_111510
ko:K02470	syz:MYO_111540
ko:K00297	syz:MYO_111570
ko:K04773	syz:MYO_111690
ko:K02492	syz:MYO_111720
ko:K14605	syz:MYO_120030
ko:K11955	syz:MYO_120040
ko:K02838	syz:MYO_120050
ko:K09903	syz:MYO_120060
ko:K03695	syz:MYO_120080
ko:K02669	syz:MYO_120120
ko:K01358	syz:MYO_120140
ko:K01358	syz:MYO_120150
ko:K02227	syz:MYO_120230
ko:K02836	syz:MYO_120240
ko:K03281	syz:MYO_120250
ko:K01790	syz:MYO_120370
ko:K00161	syz:MYO_120390
ko:K01142	syz:MYO_120410
ko:K00940	syz:MYO_120430
ko:K08963	syz:MYO_120490
ko:K00655	syz:MYO_120500
ko:K08482	syz:MYO_120550
ko:K05577	syz:MYO_128720
ko:K03428	syz:MYO_128750
ko:K00606	syz:MYO_128760
ko:K06920	syz:MYO_128770
ko:K01928	syz:MYO_128780
ko:K14645	syz:MYO_128860
ko:K01599	syz:MYO_128870
ko:K03284	syz:MYO_128910
ko:K00806	syz:MYO_128920
ko:K01586	syz:MYO_128940
ko:K01887	syz:MYO_128960
ko:K01358	syz:MYO_128990
ko:K01696	syz:MYO_129000
ko:K02003	syz:MYO_129020
ko:K11720	syz:MYO_129060
ko:K01893	syz:MYO_129070
ko:K00611	syz:MYO_129120
ko:K01588	syz:MYO_129130
ko:K03179	syz:MYO_129150
ko:K06923	syz:MYO_129180
ko:K00765	syz:MYO_129200
ko:K04042	syz:MYO_129210
ko:K06949	syz:MYO_129230
ko:K03686	syz:MYO_129250
ko:K01159	syz:MYO_129260
ko:K02895	syz:MYO_17690
ko:K02874	syz:MYO_17700
ko:K02961	syz:MYO_17710
ko:K02904	syz:MYO_17720
ko:K02878	syz:MYO_17730
ko:K02982	syz:MYO_17740
ko:K02890	syz:MYO_17750
ko:K02965	syz:MYO_17760
ko:K02886	syz:MYO_17770
ko:K02892	syz:MYO_17780
ko:K02926	syz:MYO_17790
ko:K02906	syz:MYO_17800
ko:K04047	syz:MYO_17810
ko:K00930	syz:MYO_17870
ko:K03188	syz:MYO_17880
ko:K03046	syz:MYO_17950
ko:K03043	syz:MYO_17960
ko:K03424	syz:MYO_17970
ko:K02968	syz:MYO_17980
ko:K03657	syz:MYO_18010
ko:K03529	syz:MYO_18020
ko:K04096	syz:MYO_18070
ko:K03572	syz:MYO_18110
ko:K11960	syz:MYO_18120
ko:K11961	syz:MYO_18130
ko:K02230	syz:MYO_18240
ko:K07259	syz:MYO_117050
ko:K03046	syz:MYO_117090
ko:K00946	syz:MYO_12260
ko:K08973	syz:MYO_12320
ko:K00390	syz:MYO_12330
ko:K03705	syz:MYO_12340
ko:K00891	syz:MYO_12360
ko:K03524	syz:MYO_12570
ko:K03183	syz:MYO_12590
ko:K00031	syz:MYO_12610
ko:K02221	syz:MYO_12670
ko:K02012	syz:MYO_12680
ko:K00554	syz:MYO_12690
ko:K00012	syz:MYO_12750
ko:K03185	syz:MYO_12760
ko:K06199	syz:MYO_12770
ko:K11472	syz:MYO_12830
ko:K01733	syz:MYO_111920
ko:K10773	syz:MYO_111960
ko:K01669	syz:MYO_112000
ko:K01356	syz:MYO_112040
ko:K00240	syz:MYO_112050
ko:K09833	syz:MYO_112080
ko:K09834	syz:MYO_112090
ko:K03885	syz:MYO_112180
