ko:K00086	kpt:VK055_3979
ko:K02775	kpt:VK055_2303
ko:K09982	kpt:VK055_2307
ko:K15737	kpt:VK055_2308
ko:K15736	kpt:VK055_2309
ko:K01804	kpt:VK055_2513
ko:K02336	kpt:VK055_2515
ko:K03580	kpt:VK055_2516
ko:K06177	kpt:VK055_2517
ko:K05964	kpt:VK055_2518
ko:K07700	kpt:VK055_2520
ko:K07702	kpt:VK055_2521
ko:K05801	kpt:VK055_2522
ko:K04744	kpt:VK055_2523
ko:K03771	kpt:VK055_2524
ko:K00097	kpt:VK055_2525
ko:K02528	kpt:VK055_2526
ko:K06195	kpt:VK055_2527
ko:K01525	kpt:VK055_2528
ko:K11746	kpt:VK055_2531
ko:K01955	kpt:VK055_2533
ko:K01956	kpt:VK055_2534
ko:K00215	kpt:VK055_2536
ko:K05966	kpt:VK055_2537
ko:K01643	kpt:VK055_2538
ko:K01644	kpt:VK055_2539
ko:K01646	kpt:VK055_2540
ko:K01910	kpt:VK055_2541
ko:K01573	kpt:VK055_2543
ko:K01571	kpt:VK055_2544
ko:K01572	kpt:VK055_2545
ko:K07700	kpt:VK055_2546
ko:K07702	kpt:VK055_2547
ko:K12700	kpt:VK055_2550
ko:K03527	kpt:VK055_2551
ko:K03774	kpt:VK055_2552
ko:K03101	kpt:VK055_2553
ko:K01870	kpt:VK055_2554
ko:K11753	kpt:VK055_2555
ko:K02968	kpt:VK055_2556
ko:K03717	kpt:VK055_2557
ko:K03313	kpt:VK055_2558
ko:K03686	kpt:VK055_2559
ko:K04043	kpt:VK055_2560
ko:K07034	kpt:VK055_2563
ko:K03673	kpt:VK055_3303
ko:K09896	kpt:VK055_3305
ko:K03752	kpt:VK055_3306
ko:K03753	kpt:VK055_3307
ko:K02529	kpt:VK055_3314
ko:K00852	kpt:VK055_3316
ko:K10439	kpt:VK055_3317
ko:K10440	kpt:VK055_3318
ko:K10441	kpt:VK055_3319
ko:K06726	kpt:VK055_3320
ko:K03549	kpt:VK055_3321
ko:K03924	kpt:VK055_3322
ko:K01914	kpt:VK055_3324
ko:K03718	kpt:VK055_3325
ko:K06205	kpt:VK055_3326
ko:K03495	kpt:VK055_3327
ko:K03501	kpt:VK055_3328
ko:K02116	kpt:VK055_3329
ko:K02108	kpt:VK055_3330
ko:K02110	kpt:VK055_3331
ko:K02109	kpt:VK055_3332
ko:K02113	kpt:VK055_3333
ko:K02111	kpt:VK055_3334
ko:K02115	kpt:VK055_3335
ko:K02112	kpt:VK055_3336
ko:K02114	kpt:VK055_3337
ko:K04042	kpt:VK055_3340
ko:K00820	kpt:VK055_3341
ko:K02040	kpt:VK055_3342
ko:K02037	kpt:VK055_3343
ko:K02038	kpt:VK055_3344
ko:K02036	kpt:VK055_3345
ko:K02039	kpt:VK055_3346
ko:K10124	kpt:VK055_3347
ko:K07214	kpt:VK055_3348
ko:K06901	kpt:VK055_3351
ko:K05343	kpt:VK055_0648
ko:K04063	kpt:VK055_0653
ko:K02030	kpt:VK055_0655
ko:K02761	kpt:VK055_0660
ko:K05989	kpt:VK055_0661
ko:K02760	kpt:VK055_0665
ko:K02759	kpt:VK055_0666
ko:K08369	kpt:VK055_0667
ko:K07507	kpt:VK055_0668
ko:K06916	kpt:VK055_0670
ko:K03782	kpt:VK055_0671
ko:K05515	kpt:VK055_0673
ko:K01951	kpt:VK055_0675
ko:K06139	kpt:VK055_0676
ko:K06138	kpt:VK055_0677
ko:K06137	kpt:VK055_0678
ko:K06136	kpt:VK055_0679
ko:K01273	kpt:VK055_0680
ko:K13745	kpt:VK055_0686
ko:K00836	kpt:VK055_0687
ko:K15598	kpt:VK055_0688
ko:K15599	kpt:VK055_0689
ko:K15600	kpt:VK055_0690
ko:K03707	kpt:VK055_0691
ko:K03335	kpt:VK055_0694
ko:K02529	kpt:VK055_0695
ko:K00688	kpt:VK055_1483
ko:K15580	kpt:VK055_1485
ko:K11179	kpt:VK055_1488
ko:K01512	kpt:VK055_1487
ko:K06910	kpt:VK055_1490
ko:K06969	kpt:VK055_1491
ko:K11940	kpt:VK055_1492
ko:K06929	kpt:VK055_1493
ko:K01734	kpt:VK055_1494
ko:K03658	kpt:VK055_1495
ko:K07343	kpt:VK055_1498
ko:K13053	kpt:VK055_1500
ko:K03286	kpt:VK055_1501
ko:K09911	kpt:VK055_1502
ko:K04770	kpt:VK055_1503
ko:K01716	kpt:VK055_1504
ko:K09857	kpt:VK055_1506
ko:K06192	kpt:VK055_1507
ko:K03808	kpt:VK055_1508
ko:K15738	kpt:VK055_1509
ko:K12297	kpt:VK055_1510
ko:K07140	kpt:VK055_1512
ko:K00254	kpt:VK055_1513
ko:K00299	kpt:VK055_1514
ko:K15553	kpt:VK055_1515
ko:K04091	kpt:VK055_1516
ko:K15554	kpt:VK055_1517
ko:K15555	kpt:VK055_1518
ko:K01256	kpt:VK055_1519
ko:K00763	kpt:VK055_1520
ko:K06016	kpt:VK055_1522
ko:K03837	kpt:VK055_1523
ko:K01751	kpt:VK055_1524
ko:K01893	kpt:VK055_1526
ko:K09476	kpt:VK055_1527
ko:K00813	kpt:VK055_1528
ko:K03632	kpt:VK055_1533
ko:K03804	kpt:VK055_1534
ko:K00135	kpt:VK055_2310
ko:K07250	kpt:VK055_2311
ko:K11735	kpt:VK055_2312
ko:K15735	kpt:VK055_2313
ko:K11926	kpt:VK055_2314
ko:K11750	kpt:VK055_2315
ko:K00769	kpt:VK055_2316
ko:K01270	kpt:VK055_2317
ko:K03830	kpt:VK055_2318
ko:K02346	kpt:VK055_2319
ko:K05952	kpt:VK055_2321
ko:K00351	kpt:VK055_2322
ko:K00350	kpt:VK055_2323
ko:K00349	kpt:VK055_2324
ko:K00348	kpt:VK055_2325
ko:K00347	kpt:VK055_2326
ko:K00346	kpt:VK055_2327
ko:K03271	kpt:VK055_2330
ko:K06445	kpt:VK055_2331
ko:K11249	kpt:VK055_2333
ko:K02342	kpt:VK055_2336
ko:K03469	kpt:VK055_2338
ko:K01069	kpt:VK055_2339
ko:K08307	kpt:VK055_2340
ko:K06222	kpt:VK055_2345
ko:K03273	kpt:VK055_2352
ko:K02071	kpt:VK055_2353
ko:K02072	kpt:VK055_2354
ko:K02073	kpt:VK055_2355
ko:K06080	kpt:VK055_2356
ko:K01881	kpt:VK055_2358
ko:K06079	kpt:VK055_2360
ko:K15034	kpt:VK055_2361
ko:K03831	kpt:VK055_2565
ko:K00616	kpt:VK055_2566
ko:K03310	kpt:VK055_2567
ko:K09861	kpt:VK055_2568
ko:K01733	kpt:VK055_2570
ko:K00872	kpt:VK055_2571
ko:K12524	kpt:VK055_2572
ko:K02533	kpt:VK055_2574
ko:K07773	kpt:VK055_2575
ko:K06143	kpt:VK055_2576
ko:K07641	kpt:VK055_2577
ko:K07663	kpt:VK055_2578
ko:K05805	kpt:VK055_2579
ko:K05804	kpt:VK055_2581
ko:K03720	kpt:VK055_2582
ko:K08309	kpt:VK055_2584
ko:K06211	kpt:VK055_2586
ko:K04485	kpt:VK055_2587
ko:K01079	kpt:VK055_2588
ko:K07186	kpt:VK055_2589
ko:K03800	kpt:VK055_2590
ko:K03784	kpt:VK055_2591
ko:K01839	kpt:VK055_2592
ko:K00758	kpt:VK055_2593
ko:K01619	kpt:VK055_2594
ko:K03317	kpt:VK055_2595
ko:K03424	kpt:VK055_2596
ko:K04065	kpt:VK055_2599
ko:K02837	kpt:VK055_2600
ko:K08723	kpt:VK055_2601
ko:K03789	kpt:VK055_2602
ko:K02344	kpt:VK055_2603
ko:K00564	kpt:VK055_2604
ko:K13255	kpt:VK055_2611
ko:K02761	kpt:VK055_2612
ko:K08163	kpt:VK055_3355
ko:K03650	kpt:VK055_3357
ko:K03217	kpt:VK055_3358
ko:K02313	kpt:VK055_3359
ko:K02338	kpt:VK055_3360
ko:K03629	kpt:VK055_3361
ko:K02470	kpt:VK055_3362
ko:K00883	kpt:VK055_3367
ko:K01631	kpt:VK055_3368
ko:K01684	kpt:VK055_3369
ko:K08194	kpt:VK055_3370
ko:K04080	kpt:VK055_3373
ko:K04081	kpt:VK055_3374
ko:K07085	kpt:VK055_3378
ko:K03482	kpt:VK055_3377
ko:K02749	kpt:VK055_3379
ko:K02750	kpt:VK055_3379
ko:K01232	kpt:VK055_3380
ko:K00389	kpt:VK055_3381
ko:K06871	kpt:VK055_3383
ko:K01753	kpt:VK055_3384
ko:K13629	kpt:VK055_3385
ko:K13636	kpt:VK055_3386
ko:K08154	kpt:VK055_3387
ko:K01487	kpt:VK055_0697
ko:K03457	kpt:VK055_0698
ko:K16841	kpt:VK055_0700
ko:K16842	kpt:VK055_0701
ko:K16842	kpt:VK055_0702
ko:K07090	kpt:VK055_0703
ko:K01951	kpt:VK055_0707
ko:K09936	kpt:VK055_0711
ko:K09458	kpt:VK055_0712
ko:K03543	kpt:VK055_0714
ko:K00133	kpt:VK055_0716
ko:K02030	kpt:VK055_0723
ko:K02029	kpt:VK055_0724
ko:K02029	kpt:VK055_0725
ko:K02028	kpt:VK055_0726
ko:K02083	kpt:VK055_0728
ko:K02371	kpt:VK055_0729
ko:K08178	kpt:VK055_0737
ko:K11903	kpt:VK055_0741
ko:K02821	kpt:VK055_0747
ko:K03633	kpt:VK055_1535
ko:K06219	kpt:VK055_1536
ko:K00979	kpt:VK055_1539
ko:K09791	kpt:VK055_1540
ko:K09927	kpt:VK055_1541
ko:K00912	kpt:VK055_1542
ko:K11085	kpt:VK055_1543
ko:K02238	kpt:VK055_1544
ko:K05788	kpt:VK055_1545
ko:K02945	kpt:VK055_1546
ko:K00945	kpt:VK055_1547
ko:K00800	kpt:VK055_1548
ko:K00831	kpt:VK055_1549
ko:K09136	kpt:VK055_1551
ko:K06212	kpt:VK055_1552
ko:K00656	kpt:VK055_1553
ko:K04069	kpt:VK055_1554
ko:K08219	kpt:VK055_1555
ko:K07308	kpt:VK055_1557
ko:K07307	kpt:VK055_1558
ko:K07306	kpt:VK055_1559
ko:K01875	kpt:VK055_1560
ko:K07478	kpt:VK055_1561
ko:K03634	kpt:VK055_1562
ko:K03466	kpt:VK055_1563
ko:K03719	kpt:VK055_1564
ko:K00384	kpt:VK055_1566
ko:K16013	kpt:VK055_1567
ko:K16012	kpt:VK055_1568
ko:K00684	kpt:VK055_1569
ko:K02518	kpt:VK055_1570
ko:K03694	kpt:VK055_1571
ko:K06891	kpt:VK055_1572
ko:K03704	kpt:VK055_1573
ko:K05685	kpt:VK055_1574
ko:K13888	kpt:VK055_1575
ko:K07459	kpt:VK055_1576
ko:K06188	kpt:VK055_1578
ko:K05601	kpt:VK055_1580
ko:K11933	kpt:VK055_1581
ko:K15977	kpt:VK055_1582
ko:K00156	kpt:VK055_1583
ko:K01620	kpt:VK055_1584
ko:K04075	kpt:VK055_2364
ko:K08234	kpt:VK055_2365
ko:K01962	kpt:VK055_2367
ko:K02337	kpt:VK055_2368
ko:K03470	kpt:VK055_2369
ko:K00748	kpt:VK055_2370
ko:K00677	kpt:VK055_2371
ko:K02372	kpt:VK055_2372
ko:K02536	kpt:VK055_2373
ko:K06142	kpt:VK055_2374
ko:K07277	kpt:VK055_2375
ko:K11749	kpt:VK055_2376
ko:K00981	kpt:VK055_2377
ko:K00806	kpt:VK055_2378
ko:K00099	kpt:VK055_2379
ko:K02838	kpt:VK055_2380
ko:K09903	kpt:VK055_2381
ko:K02357	kpt:VK055_2382
ko:K02967	kpt:VK055_2383
ko:K01265	kpt:VK055_2384
ko:K00990	kpt:VK055_2385
ko:K00674	kpt:VK055_2386
ko:K02647	kpt:VK055_2388
ko:K01129	kpt:VK055_2390
ko:K01243	kpt:VK055_2391
ko:K06858	kpt:VK055_2392
ko:K15724	kpt:VK055_2394
ko:K03281	kpt:VK055_2395
ko:K01845	kpt:VK055_2396
ko:K02015	kpt:VK055_2397
ko:K02016	kpt:VK055_2398
ko:K02013	kpt:VK055_2399
ko:K02014	kpt:VK055_2400
ko:K05365	kpt:VK055_2402
ko:K02465	kpt:VK055_2403
ko:K02451	kpt:VK055_2404
ko:K02452	kpt:VK055_2407
ko:K02453	kpt:VK055_2408
ko:K02454	kpt:VK055_2409
ko:K02455	kpt:VK055_2410
ko:K02456	kpt:VK055_2411
ko:K02457	kpt:VK055_2412
ko:K00481	kpt:VK055_2617
ko:K02317	kpt:VK055_2621
ko:K01002	kpt:VK055_2624
ko:K00041	kpt:VK055_2633
ko:K01631	kpt:VK055_2639
ko:K00883	kpt:VK055_2641
ko:K03307	kpt:VK055_2642
ko:K06015	kpt:VK055_2644
ko:K05921	kpt:VK055_2650
ko:K05921	kpt:VK055_2651
ko:K00151	kpt:VK055_2652
ko:K00455	kpt:VK055_2653
ko:K01826	kpt:VK055_2654
ko:K02509	kpt:VK055_2655
ko:K02510	kpt:VK055_2656
ko:K02511	kpt:VK055_2657
ko:K02508	kpt:VK055_2658
ko:K00483	kpt:VK055_2659
ko:K00484	kpt:VK055_2660
ko:K18142	kpt:VK055_3802
ko:K18141	kpt:VK055_3803
ko:K18140	kpt:VK055_3804
ko:K03557	kpt:VK055_3805
ko:K05540	kpt:VK055_3806
ko:K02687	kpt:VK055_3808
ko:K14392	kpt:VK055_3809
ko:K01961	kpt:VK055_3811
ko:K02160	kpt:VK055_3812
ko:K03786	kpt:VK055_3813
ko:K17247	kpt:VK055_3814
ko:K18765	kpt:VK055_3817
ko:K03569	kpt:VK055_3818
ko:K03570	kpt:VK055_3819
ko:K03571	kpt:VK055_3820
ko:K06287	kpt:VK055_3821
ko:K08301	kpt:VK055_3822
ko:K03568	kpt:VK055_3824
ko:K15548	kpt:VK055_3827
ko:K03468	kpt:VK055_3828
ko:K03623	kpt:VK055_3829
ko:K03402	kpt:VK055_3832
ko:K00024	kpt:VK055_3833
ko:K03779	kpt:VK055_3837
ko:K03780	kpt:VK055_3838
ko:K01573	kpt:VK055_3839
ko:K01571	kpt:VK055_3840
ko:K01572	kpt:VK055_3841
ko:K04691	kpt:VK055_3843
ko:K09908	kpt:VK055_3845
ko:K06916	kpt:VK055_3846
ko:K02871	kpt:VK055_3847
ko:K02996	kpt:VK055_3848
ko:K03599	kpt:VK055_3849
ko:K03600	kpt:VK055_3850
ko:K01788	kpt:VK055_3851
ko:K00266	kpt:VK055_3852
ko:K00265	kpt:VK055_3853
ko:K07139	kpt:VK055_3854
ko:K08322	kpt:VK055_3856
ko:K01686	kpt:VK055_3857
ko:K07648	kpt:VK055_3858
ko:K03814	kpt:VK055_3860
ko:K08485	kpt:VK055_3861
ko:K06958	kpt:VK055_3862
ko:K02806	kpt:VK055_3863
ko:K05808	kpt:VK055_3864
ko:K03092	kpt:VK055_3865
ko:K06861	kpt:VK055_3866
ko:K09774	kpt:VK055_3867
ko:K11719	kpt:VK055_3868
ko:K03270	kpt:VK055_3869
ko:K06041	kpt:VK055_3870
ko:K07301	kpt:VK055_3871
ko:K02065	kpt:VK055_3872
ko:K02066	kpt:VK055_3873
ko:K02067	kpt:VK055_3874
ko:K07323	kpt:VK055_3875
ko:K07122	kpt:VK055_3876
ko:K00790	kpt:VK055_3878
ko:K02523	kpt:VK055_3880
ko:K02899	kpt:VK055_3882
ko:K03979	kpt:VK055_3884
ko:K07259	kpt:VK055_3885
ko:K03624	kpt:VK055_3886
ko:K07574	kpt:VK055_3887
ko:K02427	kpt:VK055_3888
ko:K03798	kpt:VK055_3889
ko:K00796	kpt:VK055_3890
ko:K03431	kpt:VK055_3891
ko:K03075	kpt:VK055_3892
ko:K01940	kpt:VK055_3898
ko:K09748	kpt:VK055_3900
ko:K02600	kpt:VK055_3901
ko:K02519	kpt:VK055_3902
ko:K02834	kpt:VK055_3903
ko:K03177	kpt:VK055_3904
ko:K02956	kpt:VK055_3905
ko:K00962	kpt:VK055_3907
ko:K05803	kpt:VK055_3908
ko:K05592	kpt:VK055_3909
ko:K03835	kpt:VK055_3910
ko:K08303	kpt:VK055_3913
ko:K03824	kpt:VK055_3916
ko:K07461	kpt:VK055_3915
ko:K09979	kpt:VK055_3918
ko:K05520	kpt:VK055_3917
ko:K07089	kpt:VK055_3920
ko:K12961	kpt:VK055_3922
ko:K07460	kpt:VK055_3923
ko:K07121	kpt:VK055_3924
ko:K07056	kpt:VK055_3925
ko:K01708	kpt:VK055_3926
ko:K12299	kpt:VK055_3927
ko:K01630	kpt:VK055_3928
ko:K00865	kpt:VK055_3930
ko:K06911	kpt:VK055_3935
ko:K07393	kpt:VK055_3938
ko:K15977	kpt:VK055_3939
ko:K08191	kpt:VK055_3947
ko:K01812	kpt:VK055_3948
ko:K01685	kpt:VK055_3949
ko:K07862	kpt:VK055_3951
ko:K07043	kpt:VK055_3954
ko:K11391	kpt:VK055_3957
ko:K00219	kpt:VK055_3958
ko:K11216	kpt:VK055_3959
ko:K11531	kpt:VK055_3960
ko:K10558	kpt:VK055_3961
ko:K10556	kpt:VK055_3962
ko:K10557	kpt:VK055_3963
ko:K10555	kpt:VK055_3964
ko:K08321	kpt:VK055_3965
ko:K11530	kpt:VK055_3966
ko:K09251	kpt:VK055_3967
ko:K07229	kpt:VK055_3969
ko:K05881	kpt:VK055_3971
ko:K05879	kpt:VK055_3972
ko:K05878	kpt:VK055_3973
ko:K00005	kpt:VK055_3975
ko:K05880	kpt:VK055_3977
ko:K02440	kpt:VK055_3985
ko:K07679	kpt:VK055_3989
ko:K07690	kpt:VK055_3990
ko:K03649	kpt:VK055_3994
ko:K03086	kpt:VK055_3995
ko:K02970	kpt:VK055_3997
ko:K01409	kpt:VK055_3998
ko:K03189	kpt:VK055_4000
ko:K03188	kpt:VK055_4001
ko:K03187	kpt:VK055_4002
ko:K01428	kpt:VK055_4003
ko:K01429	kpt:VK055_4004
ko:K01430	kpt:VK055_4005
ko:K03190	kpt:VK055_4006
ko:K08591	kpt:VK055_4009
ko:K01633	kpt:VK055_4010
ko:K06153	kpt:VK055_4011
ko:K00974	kpt:VK055_4012
ko:K07184	kpt:VK055_4013
ko:K18446	kpt:VK055_4015
ko:K00982	kpt:VK055_4016
ko:K03272	kpt:VK055_4017
ko:K09806	kpt:VK055_4019
ko:K02858	kpt:VK055_4020
ko:K07238	kpt:VK055_4021
ko:K12340	kpt:VK055_4025
ko:K01515	kpt:VK055_4026
ko:K09920	kpt:VK055_4027
ko:K03651	kpt:VK055_4028
ko:K07000	kpt:VK055_4029
ko:K02622	kpt:VK055_4030
ko:K03923	kpt:VK055_4032
ko:K07645	kpt:VK055_4033
ko:K07666	kpt:VK055_4034
ko:K13652	kpt:VK055_4036
ko:K02621	kpt:VK055_4037
ko:K00655	kpt:VK055_4038
ko:K06221	kpt:VK055_4042
ko:K08325	kpt:VK055_4043
ko:K01760	kpt:VK055_4046
ko:K03561	kpt:VK055_4048
ko:K03559	kpt:VK055_4049
ko:K01061	kpt:VK055_4053
ko:K11209	kpt:VK055_4055
ko:K01460	kpt:VK055_4058
ko:K01586	kpt:VK055_4273
ko:K02761	kpt:VK055_4274
ko:K05350	kpt:VK055_4275
ko:K13637	kpt:VK055_4276
ko:K02529	kpt:VK055_4277
ko:K05939	kpt:VK055_4279
ko:K08227	kpt:VK055_4280
ko:K03573	kpt:VK055_4284
ko:K08311	kpt:VK055_4286
ko:K08484	kpt:VK055_4287
ko:K13292	kpt:VK055_4288
ko:K02679	kpt:VK055_4290
ko:K02680	kpt:VK055_4291
ko:K02681	kpt:VK055_4293
ko:K03583	kpt:VK055_4294
ko:K01407	kpt:VK055_4295
ko:K03582	kpt:VK055_4296
ko:K03581	kpt:VK055_4297
ko:K14682	kpt:VK055_4299
ko:K01448	kpt:VK055_4300
ko:K04720	kpt:VK055_4301
ko:K16651	kpt:VK055_4302
ko:K04029	kpt:VK055_4304
ko:K04031	kpt:VK055_4305
ko:K13921	kpt:VK055_4308
ko:K13922	kpt:VK055_4309
ko:K13923	kpt:VK055_4313
ko:K13920	kpt:VK055_4318
ko:K13919	kpt:VK055_4319
ko:K02224	kpt:VK055_4326
ko:K02227	kpt:VK055_4327
ko:K06042	kpt:VK055_4328
ko:K02188	kpt:VK055_4329
ko:K03399	kpt:VK055_4330
ko:K02191	kpt:VK055_4331
ko:K05936	kpt:VK055_4332
ko:K02189	kpt:VK055_4333
ko:K05895	kpt:VK055_4335
ko:K02190	kpt:VK055_4336
ko:K03394	kpt:VK055_4337
ko:K02007	kpt:VK055_4338
ko:K02009	kpt:VK055_4339
ko:K02008	kpt:VK055_4340
ko:K02006	kpt:VK055_4341
ko:K02232	kpt:VK055_4342
ko:K02231	kpt:VK055_4343
ko:K00768	kpt:VK055_4344
ko:K08304	kpt:VK055_4347
ko:K02426	kpt:VK055_4349
ko:K01766	kpt:VK055_4350
ko:K03566	kpt:VK055_4352
ko:K06968	kpt:VK055_4354
ko:K02430	kpt:VK055_4355
ko:K02431	kpt:VK055_4356
ko:K00879	kpt:VK055_4357
ko:K01818	kpt:VK055_4358
ko:K02429	kpt:VK055_4359
ko:K01628	kpt:VK055_4360
ko:K00048	kpt:VK055_4361
ko:K01146	kpt:VK055_4362
ko:K04091	kpt:VK055_4365
ko:K15553	kpt:VK055_4373
ko:K01752	kpt:VK055_4374
ko:K03837	kpt:VK055_4375
ko:K06966	kpt:VK055_4376
ko:K06879	kpt:VK055_4377
ko:K15723	kpt:VK055_4378
ko:K06175	kpt:VK055_4380
ko:K03535	kpt:VK055_4382
ko:K13918	kpt:VK055_4383
ko:K01706	kpt:VK055_4384
ko:K00865	kpt:VK055_4385
ko:K07678	kpt:VK055_4386
ko:K03215	kpt:VK055_4387
ko:K00951	kpt:VK055_4388
ko:K04765	kpt:VK055_4389
ko:K01937	kpt:VK055_4390
ko:K01689	kpt:VK055_4391
ko:K10026	kpt:VK055_4394
ko:K01737	kpt:VK055_4395
ko:K00380	kpt:VK055_4397
ko:K00381	kpt:VK055_4398
ko:K00390	kpt:VK055_4399
ko:K09612	kpt:VK055_4400
ko:K02302	kpt:VK055_4401
ko:K00957	kpt:VK055_4402
ko:K00956	kpt:VK055_4403
ko:K00860	kpt:VK055_4404
ko:K05589	kpt:VK055_4406
ko:K00991	kpt:VK055_4407
ko:K01770	kpt:VK055_4408
ko:K06176	kpt:VK055_4409
ko:K03787	kpt:VK055_4410
ko:K00573	kpt:VK055_4411
ko:K06194	kpt:VK055_4412
ko:K03087	kpt:VK055_4413
ko:K03186	kpt:VK055_4418
ko:K03555	kpt:VK055_4422
ko:K02013	kpt:VK055_4423
ko:K02015	kpt:VK055_4424
ko:K02016	kpt:VK055_4425
ko:K07225	kpt:VK055_4426
ko:K16087	kpt:VK055_4427
ko:K07401	kpt:VK055_4428
ko:K01652	kpt:VK055_4429
ko:K07088	kpt:VK055_4430
ko:K11606	kpt:VK055_4433
ko:K11605	kpt:VK055_4434
ko:K11607	kpt:VK055_4435
ko:K11604	kpt:VK055_4436
ko:K00847	kpt:VK055_4438
ko:K02759	kpt:VK055_4439
ko:K02761	kpt:VK055_4440
ko:K02760	kpt:VK055_4441
ko:K02761	kpt:VK055_4442
ko:K16077	kpt:VK055_4443
ko:K01223	kpt:VK055_4445
ko:K15836	kpt:VK055_4446
ko:K04655	kpt:VK055_4447
ko:K04654	kpt:VK055_4448
ko:K04653	kpt:VK055_4449
ko:K04652	kpt:VK055_4450
ko:K04651	kpt:VK055_4451
ko:K15833	kpt:VK055_4452
ko:K15827	kpt:VK055_4453
ko:K15828	kpt:VK055_4454
ko:K15829	kpt:VK055_4455
ko:K15830	kpt:VK055_4456
ko:K15831	kpt:VK055_4457
ko:K15832	kpt:VK055_4458
ko:K15834	kpt:VK055_4459
ko:K08315	kpt:VK055_4461
ko:K01223	kpt:VK055_4462
ko:K02752	kpt:VK055_4463
ko:K02753	kpt:VK055_4463
ko:K03487	kpt:VK055_4465
ko:K05796	kpt:VK055_4466
ko:K04656	kpt:VK055_4467
ko:K07241	kpt:VK055_4468
ko:K12265	kpt:VK055_4469
ko:K12264	kpt:VK055_4470
ko:K12266	kpt:VK055_4473
ko:K02467	kpt:VK055_4472
ko:K02466	kpt:VK055_4475
ko:K00068	kpt:VK055_4476
ko:K02781	kpt:VK055_4477
ko:K02782	kpt:VK055_4478
ko:K02783	kpt:VK055_4478
ko:K02783	kpt:VK055_4479
ko:K08305	kpt:VK055_4480
ko:K02074	kpt:VK055_4481
ko:K02075	kpt:VK055_4482
ko:K02077	kpt:VK055_4483
ko:K03743	kpt:VK055_4484
ko:K03565	kpt:VK055_4486
ko:K01872	kpt:VK055_4487
ko:K03563	kpt:VK055_4488
ko:K01919	kpt:VK055_4497
ko:K07173	kpt:VK055_4498
ko:K01649	kpt:VK055_4499
ko:K03446	kpt:VK055_4501
ko:K03543	kpt:VK055_4502
ko:K15974	kpt:VK055_4504
ko:K02002	kpt:VK055_4507
ko:K02001	kpt:VK055_4508
ko:K02000	kpt:VK055_4509
ko:K03647	kpt:VK055_4512
ko:K00375	kpt:VK055_4515
ko:K02468	kpt:VK055_4474
ko:K01118	kpt:VK055_4525
