ko:K12978	fpx:KU46_827
ko:K11085	fpx:KU46_312
ko:K00974	fpx:KU46_313
ko:K03611	fpx:KU46_314
ko:K03585	fpx:KU46_315
ko:K18138	fpx:KU46_316
ko:K07645	fpx:KU46_322
ko:K07071	fpx:KU46_321
ko:K00425	fpx:KU46_323
ko:K00426	fpx:KU46_324
ko:K06955	fpx:KU46_326
ko:K02669	fpx:KU46_327
ko:K01681	fpx:KU46_328
ko:K07223	fpx:KU46_329
ko:K07733	fpx:KU46_344
ko:K03075	fpx:KU46_348
ko:K01803	fpx:KU46_349
ko:K03431	fpx:KU46_350
ko:K00759	fpx:KU46_351
ko:K00658	fpx:KU46_352
ko:K00164	fpx:KU46_353
ko:K00240	fpx:KU46_354
ko:K00239	fpx:KU46_355
ko:K00242	fpx:KU46_356
ko:K00241	fpx:KU46_357
ko:K01647	fpx:KU46_358
ko:K08218	fpx:KU46_359
ko:K04564	fpx:KU46_361
ko:K07390	fpx:KU46_362
ko:K02114	fpx:KU46_364
ko:K16012	fpx:KU46_1198
ko:K16013	fpx:KU46_1199
ko:K00847	fpx:KU46_1204
ko:K01875	fpx:KU46_1205
ko:K15633	fpx:KU46_1206
ko:K01489	fpx:KU46_1210
ko:K00757	fpx:KU46_1211
ko:K06169	fpx:KU46_1212
ko:K08316	fpx:KU46_1214
ko:K07263	fpx:KU46_1216
ko:K11720	fpx:KU46_1217
ko:K07091	fpx:KU46_1218
ko:K01255	fpx:KU46_1219
ko:K00088	fpx:KU46_1220
ko:K00949	fpx:KU46_1221
ko:K01810	fpx:KU46_1222
ko:K08084	fpx:KU46_1223
ko:K03624	fpx:KU46_1224
ko:K03701	fpx:KU46_1226
ko:K03798	fpx:KU46_1227
ko:K03784	fpx:KU46_1228
ko:K03070	fpx:KU46_1231
ko:K01246	fpx:KU46_1233
ko:K02888	fpx:KU46_1234
ko:K02899	fpx:KU46_1235
ko:K11074	fpx:KU46_1237
ko:K11075	fpx:KU46_1238
ko:K11076	fpx:KU46_1239
ko:K01079	fpx:KU46_1245
ko:K09799	fpx:KU46_1244
ko:K02112	fpx:KU46_365
ko:K02115	fpx:KU46_366
ko:K02111	fpx:KU46_367
ko:K02113	fpx:KU46_368
ko:K02109	fpx:KU46_369
ko:K02110	fpx:KU46_370
ko:K02108	fpx:KU46_371
ko:K06179	fpx:KU46_374
ko:K06916	fpx:KU46_375
ko:K01892	fpx:KU46_377
ko:K02834	fpx:KU46_378
ko:K02519	fpx:KU46_379
ko:K02600	fpx:KU46_380
ko:K09748	fpx:KU46_381
ko:K01599	fpx:KU46_383
ko:K07391	fpx:KU46_384
ko:K09806	fpx:KU46_385
ko:K00343	fpx:KU46_386
ko:K00342	fpx:KU46_387
ko:K00341	fpx:KU46_388
ko:K00340	fpx:KU46_389
ko:K00339	fpx:KU46_390
ko:K00338	fpx:KU46_391
ko:K00337	fpx:KU46_392
ko:K00334	fpx:KU46_395
ko:K00333	fpx:KU46_396
ko:K00332	fpx:KU46_397
ko:K00331	fpx:KU46_398
ko:K00330	fpx:KU46_399
ko:K03711	fpx:KU46_400
ko:K00836	fpx:KU46_402
ko:K13745	fpx:KU46_403
ko:K03897	fpx:KU46_405
ko:K02434	fpx:KU46_412
ko:K02433	fpx:KU46_413
ko:K02435	fpx:KU46_414
ko:K01775	fpx:KU46_1249
ko:K04518	fpx:KU46_1251
ko:K01752	fpx:KU46_1254
ko:K11717	fpx:KU46_1255
ko:K13628	fpx:KU46_1256
ko:K00954	fpx:KU46_1258
ko:K02653	fpx:KU46_1262
ko:K02652	fpx:KU46_1263
ko:K06187	fpx:KU46_1264
ko:K09747	fpx:KU46_1265
ko:K02563	fpx:KU46_1266
ko:K02437	fpx:KU46_1267
ko:K01868	fpx:KU46_1270
ko:K02520	fpx:KU46_1271
ko:K02916	fpx:KU46_1272
ko:K02887	fpx:KU46_1273
ko:K01620	fpx:KU46_1276
ko:K06911	fpx:KU46_1277
ko:K01807	fpx:KU46_1278
ko:K03495	fpx:KU46_1281
ko:K01141	fpx:KU46_1286
ko:K03702	fpx:KU46_1287
ko:K01776	fpx:KU46_1289
ko:K03147	fpx:KU46_1290
ko:K03153	fpx:KU46_1291
ko:K03154	fpx:KU46_1292
ko:K03149	fpx:KU46_1293
ko:K14153	fpx:KU46_1294
ko:K00335	fpx:KU46_394
ko:K01756	fpx:KU46_417
ko:K01952	fpx:KU46_424
ko:K00764	fpx:KU46_425
ko:K01580	fpx:KU46_426
ko:K06133	fpx:KU46_427
ko:K12340	fpx:KU46_428
ko:K00573	fpx:KU46_429
ko:K08303	fpx:KU46_431
ko:K18552	fpx:KU46_433
ko:K02471	fpx:KU46_434
ko:K03979	fpx:KU46_437
ko:K07667	fpx:KU46_439
ko:K07646	fpx:KU46_441
ko:K01548	fpx:KU46_442
ko:K01547	fpx:KU46_443
ko:K01546	fpx:KU46_444
ko:K01118	fpx:KU46_446
ko:K07784	fpx:KU46_445
ko:K00812	fpx:KU46_453
ko:K01586	fpx:KU46_454
ko:K00674	fpx:KU46_455
ko:K01714	fpx:KU46_456
ko:K00215	fpx:KU46_457
ko:K00928	fpx:KU46_458
ko:K01259	fpx:KU46_459
ko:K03424	fpx:KU46_460
ko:K03811	fpx:KU46_461
ko:K03281	fpx:KU46_465
ko:K01299	fpx:KU46_466
ko:K01696	fpx:KU46_467
ko:K01695	fpx:KU46_469
ko:K03811	fpx:KU46_468
ko:K03695	fpx:KU46_470
ko:K01183	fpx:KU46_471
ko:K03601	fpx:KU46_1307
ko:K00765	fpx:KU46_1313
ko:K00013	fpx:KU46_1314
ko:K00817	fpx:KU46_1315
ko:K01089	fpx:KU46_1316
ko:K02501	fpx:KU46_1317
ko:K01814	fpx:KU46_1318
ko:K02500	fpx:KU46_1319
ko:K11755	fpx:KU46_1320
ko:K01166	fpx:KU46_1322
ko:K14058	fpx:KU46_1325
ko:K03664	fpx:KU46_1326
ko:K09801	fpx:KU46_1328
ko:K04754	fpx:KU46_1331
ko:K00681	fpx:KU46_1332
ko:K06207	fpx:KU46_1334
ko:K06956	fpx:KU46_1342
ko:K00820	fpx:KU46_1343
ko:K12373	fpx:KU46_1345
ko:K03526	fpx:KU46_1348
ko:K05810	fpx:KU46_1349
ko:K01262	fpx:KU46_1350
ko:K01173	fpx:KU46_1352
ko:K17836	fpx:KU46_1351
ko:K08289	fpx:KU46_472
ko:K05524	fpx:KU46_474
ko:K00655	fpx:KU46_475
ko:K00655	fpx:KU46_476
ko:K03313	fpx:KU46_478
ko:K12262	fpx:KU46_482
ko:K03773	fpx:KU46_484
ko:K04651	fpx:KU46_486
ko:K04652	fpx:KU46_487
ko:K02338	fpx:KU46_493
ko:K02313	fpx:KU46_494
ko:K08301	fpx:KU46_495
ko:K03720	fpx:KU46_498
ko:K01657	fpx:KU46_499
ko:K01658	fpx:KU46_500
ko:K00766	fpx:KU46_501
ko:K07304	fpx:KU46_502
ko:K13498	fpx:KU46_504
ko:K01256	fpx:KU46_505
ko:K00852	fpx:KU46_511
ko:K05340	fpx:KU46_512
ko:K17218	fpx:KU46_514
ko:K07241	fpx:KU46_520
ko:K04655	fpx:KU46_525
ko:K04654	fpx:KU46_526
ko:K04653	fpx:KU46_527
ko:K03820	fpx:KU46_1355
ko:K06189	fpx:KU46_1356
ko:K07042	fpx:KU46_1357
ko:K06168	fpx:KU46_1359
ko:K14540	fpx:KU46_1363
ko:K01443	fpx:KU46_1364
ko:K14742	fpx:KU46_1365
ko:K00812	fpx:KU46_1367
ko:K00939	fpx:KU46_1371
ko:K02663	fpx:KU46_1373
ko:K02664	fpx:KU46_1374
ko:K02665	fpx:KU46_1375
ko:K02666	fpx:KU46_1376
ko:K00891	fpx:KU46_1377
ko:K01735	fpx:KU46_1378
ko:K09159	fpx:KU46_1381
ko:K13821	fpx:KU46_1382
ko:K13038	fpx:KU46_1385
ko:K01785	fpx:KU46_1386
ko:K01689	fpx:KU46_1387
ko:K01689	fpx:KU46_1388
ko:K01669	fpx:KU46_1389
ko:K01772	fpx:KU46_1390
ko:K09928	fpx:KU46_1392
ko:K02687	fpx:KU46_1393
ko:K07316	fpx:KU46_1398
ko:K07461	fpx:KU46_1403
ko:K01156	fpx:KU46_1405
ko:K04656	fpx:KU46_528
ko:K03564	fpx:KU46_529
ko:K03837	fpx:KU46_533
ko:K00609	fpx:KU46_534
ko:K01955	fpx:KU46_535
ko:K01956	fpx:KU46_536
ko:K00569	fpx:KU46_539
ko:K01465	fpx:KU46_540
ko:K01591	fpx:KU46_564
ko:K00254	fpx:KU46_565
ko:K07560	fpx:KU46_568
ko:K01193	fpx:KU46_571
ko:K03305	fpx:KU46_572
ko:K00052	fpx:KU46_573
ko:K01704	fpx:KU46_574
ko:K01703	fpx:KU46_575
ko:K01649	fpx:KU46_576
ko:K00826	fpx:KU46_577
ko:K01006	fpx:KU46_578
ko:K13288	fpx:KU46_580
ko:K02356	fpx:KU46_581
ko:K02655	fpx:KU46_582
ko:K00963	fpx:KU46_1412
ko:K01895	fpx:KU46_1413
ko:K03629	fpx:KU46_1421
ko:K03424	fpx:KU46_1422
ko:K01879	fpx:KU46_1423
ko:K09966	fpx:KU46_1425
ko:K03684	fpx:KU46_1426
ko:K03703	fpx:KU46_1427
ko:K09791	fpx:KU46_1430
ko:K00979	fpx:KU46_1431
ko:K00849	fpx:KU46_1435
ko:K00965	fpx:KU46_1436
ko:K08137	fpx:KU46_1437
ko:K03769	fpx:KU46_1440
ko:K05592	fpx:KU46_1441
ko:K00942	fpx:KU46_1442
ko:K03517	fpx:KU46_1443
ko:K00767	fpx:KU46_1444
ko:K00278	fpx:KU46_1445
ko:K00945	fpx:KU46_1447
ko:K00831	fpx:KU46_1449
ko:K00228	fpx:KU46_1450
ko:K07146	fpx:KU46_1451
ko:K03554	fpx:KU46_1453
ko:K07733	fpx:KU46_1456
ko:K03313	fpx:KU46_1460
ko:K17836	fpx:KU46_1717
ko:K01056	fpx:KU46_1718
ko:K06942	fpx:KU46_1719
ko:K02897	fpx:KU46_1722
ko:K00948	fpx:KU46_1723
ko:K06987	fpx:KU46_1724
ko:K03455	fpx:KU46_1728
ko:K09760	fpx:KU46_1733
ko:K03550	fpx:KU46_1734
ko:K01159	fpx:KU46_1736
ko:K14287	fpx:KU46_5
ko:K03625	fpx:KU46_7
ko:K09160	fpx:KU46_11
ko:K07394	fpx:KU46_13
ko:K07090	fpx:KU46_12
ko:K01487	fpx:KU46_19
ko:K03439	fpx:KU46_22
ko:K00858	fpx:KU46_23
ko:K01992	fpx:KU46_26
ko:K01990	fpx:KU46_27
ko:K11312	fpx:KU46_29
ko:K11312	fpx:KU46_31
ko:K03424	fpx:KU46_32
ko:K03040	fpx:KU46_35
ko:K07478	fpx:KU46_37
ko:K03610	fpx:KU46_864
ko:K02913	fpx:KU46_865
ko:K02902	fpx:KU46_866
ko:K03655	fpx:KU46_868
ko:K01676	fpx:KU46_870
ko:K01759	fpx:KU46_872
ko:K03574	fpx:KU46_873
ko:K00537	fpx:KU46_875
ko:K06901	fpx:KU46_877
ko:K09758	fpx:KU46_878
ko:K04096	fpx:KU46_880
ko:K03774	fpx:KU46_884
ko:K03527	fpx:KU46_885
ko:K06208	fpx:KU46_886
ko:K17103	fpx:KU46_887
ko:K03562	fpx:KU46_889
ko:K03560	fpx:KU46_890
ko:K03646	fpx:KU46_891
ko:K03641	fpx:KU46_892
ko:K03640	fpx:KU46_894
ko:K14441	fpx:KU46_895
ko:K01669	fpx:KU46_898
ko:K06876	fpx:KU46_899
ko:K03453	fpx:KU46_901
ko:K03179	fpx:KU46_908
ko:K03181	fpx:KU46_909
ko:K00989	fpx:KU46_910
ko:K03799	fpx:KU46_913
ko:K03744	fpx:KU46_914
ko:K01534	fpx:KU46_917
ko:K03644	fpx:KU46_1739
ko:K02217	fpx:KU46_1740
ko:K03305	fpx:KU46_1741
ko:K03675	fpx:KU46_1744
ko:K03616	fpx:KU46_1745
ko:K10773	fpx:KU46_1746
ko:K03723	fpx:KU46_1751
ko:K00053	fpx:KU46_1752
ko:K01653	fpx:KU46_1753
ko:K01652	fpx:KU46_1754
ko:K01687	fpx:KU46_1755
ko:K01733	fpx:KU46_1756
ko:K03978	fpx:KU46_1757
ko:K01104	fpx:KU46_1758
ko:K04087	fpx:KU46_1759
ko:K04088	fpx:KU46_1760
ko:K03665	fpx:KU46_1762
ko:K03666	fpx:KU46_1763
ko:K00791	fpx:KU46_1764
ko:K03770	fpx:KU46_1765
ko:K03530	fpx:KU46_1766
ko:K01338	fpx:KU46_1767
ko:K03544	fpx:KU46_1768
ko:K01358	fpx:KU46_1769
ko:K03545	fpx:KU46_1770
ko:K03427	fpx:KU46_1771
ko:K03427	fpx:KU46_1773
ko:K01154	fpx:KU46_1776
ko:K02517	fpx:KU46_583
ko:K02517	fpx:KU46_584
ko:K03217	fpx:KU46_585
ko:K08998	fpx:KU46_586
ko:K03536	fpx:KU46_587
ko:K02914	fpx:KU46_588
ko:K00014	fpx:KU46_590
ko:K01924	fpx:KU46_591
ko:K07056	fpx:KU46_592
ko:K07015	fpx:KU46_594
ko:K07160	fpx:KU46_600
ko:K03760	fpx:KU46_602
ko:K00901	fpx:KU46_604
ko:K01114	fpx:KU46_606
ko:K07220	fpx:KU46_607
ko:K03306	fpx:KU46_608
ko:K12262	fpx:KU46_609
ko:K03834	fpx:KU46_613
ko:K03501	fpx:KU46_615
ko:K06997	fpx:KU46_617
ko:K06186	fpx:KU46_622
ko:K01826	fpx:KU46_624
ko:K02968	fpx:KU46_625
ko:K03596	fpx:KU46_626
ko:K00566	fpx:KU46_627
ko:K01462	fpx:KU46_629
ko:K00794	fpx:KU46_630
ko:K14652	fpx:KU46_631
ko:K00793	fpx:KU46_632
ko:K11752	fpx:KU46_633
ko:K03316	fpx:KU46_634
ko:K12297	fpx:KU46_1475
ko:K03297	fpx:KU46_1476
ko:K03325	fpx:KU46_1477
ko:K00604	fpx:KU46_1481
ko:K01920	fpx:KU46_1482
ko:K01845	fpx:KU46_1483
ko:K13771	fpx:KU46_1485
ko:K05916	fpx:KU46_1486
ko:K01207	fpx:KU46_1487
ko:K00019	fpx:KU46_1488
ko:K01574	fpx:KU46_1489
ko:K00845	fpx:KU46_1491
ko:K03524	fpx:KU46_1493
ko:K01935	fpx:KU46_1492
ko:K02169	fpx:KU46_1494
ko:K00652	fpx:KU46_1495
ko:K01012	fpx:KU46_1496
ko:K00833	fpx:KU46_1497
ko:K13941	fpx:KU46_1500
ko:K01633	fpx:KU46_1501
ko:K03342	fpx:KU46_1503
ko:K01658	fpx:KU46_1505
ko:K01495	fpx:KU46_1511
ko:K11927	fpx:KU46_1513
ko:K03305	fpx:KU46_1512
ko:K00383	fpx:KU46_1515
ko:K01153	fpx:KU46_1780
ko:K01673	fpx:KU46_1781
ko:K01424	fpx:KU46_1782
ko:K03469	fpx:KU46_1783
ko:K00800	fpx:KU46_1785
ko:K03089	fpx:KU46_1786
ko:K03074	fpx:KU46_1788
ko:K03072	fpx:KU46_1789
ko:K04773	fpx:KU46_639
ko:K01011	fpx:KU46_641
ko:K03071	fpx:KU46_642
ko:K03565	fpx:KU46_644
ko:K03111	fpx:KU46_645
ko:K00925	fpx:KU46_646
ko:K13788	fpx:KU46_647
ko:K00135	fpx:KU46_648
ko:K01876	fpx:KU46_652
ko:K01147	fpx:KU46_654
ko:K06999	fpx:KU46_655
ko:K01749	fpx:KU46_656
ko:K06199	fpx:KU46_657
ko:K02050	fpx:KU46_662
ko:K02049	fpx:KU46_663
ko:K09125	fpx:KU46_666
ko:K02494	fpx:KU46_670
ko:K00919	fpx:KU46_671
ko:K02221	fpx:KU46_675
ko:K02050	fpx:KU46_676
ko:K02238	fpx:KU46_679
ko:K02238	fpx:KU46_681
ko:K07566	fpx:KU46_684
ko:K02945	fpx:KU46_685
ko:K01921	fpx:KU46_687
ko:K03589	fpx:KU46_688
ko:K03590	fpx:KU46_689
ko:K03531	fpx:KU46_690
ko:K02535	fpx:KU46_692
ko:K02343	fpx:KU46_691
ko:K02836	fpx:KU46_693
ko:K01142	fpx:KU46_1519
ko:K06987	fpx:KU46_1520
ko:K03923	fpx:KU46_1521
ko:K01626	fpx:KU46_1525
ko:K03106	fpx:KU46_1526
ko:K07090	fpx:KU46_1528
ko:K02518	fpx:KU46_1529
ko:K03499	fpx:KU46_1532
ko:K09014	fpx:KU46_1534
ko:K09013	fpx:KU46_1535
ko:K09015	fpx:KU46_1536
ko:K03671	fpx:KU46_1538
ko:K02205	fpx:KU46_1539
ko:K03574	fpx:KU46_1542
ko:K01524	fpx:KU46_38
ko:K03671	fpx:KU46_39
ko:K03628	fpx:KU46_40
ko:K01840	fpx:KU46_41
ko:K00067	fpx:KU46_59
ko:K01790	fpx:KU46_60
ko:K00973	fpx:KU46_61
ko:K02377	fpx:KU46_62
ko:K01711	fpx:KU46_64
ko:K00971	fpx:KU46_65
ko:K01784	fpx:KU46_66
ko:K13012	fpx:KU46_67
ko:K03578	fpx:KU46_69
ko:K00031	fpx:KU46_71
ko:K00537	fpx:KU46_72
ko:K01897	fpx:KU46_73
ko:K07516	fpx:KU46_75
ko:K09794	fpx:KU46_79
ko:K01476	fpx:KU46_81
ko:K09859	fpx:KU46_83
ko:K07337	fpx:KU46_86
ko:K00057	fpx:KU46_922
ko:K04485	fpx:KU46_923
ko:K01736	fpx:KU46_926
ko:K07305	fpx:KU46_929
ko:K04565	fpx:KU46_931
ko:K00121	fpx:KU46_935
ko:K00812	fpx:KU46_936
ko:K03631	fpx:KU46_937
ko:K01491	fpx:KU46_942
ko:K01933	fpx:KU46_943
ko:K11175	fpx:KU46_945
ko:K01588	fpx:KU46_946
ko:K01589	fpx:KU46_948
ko:K07460	fpx:KU46_947
ko:K01414	fpx:KU46_949
ko:K03168	fpx:KU46_956
ko:K03496	fpx:KU46_957
ko:K03497	fpx:KU46_958
ko:K03449	fpx:KU46_961
ko:K02427	fpx:KU46_963
ko:K03101	fpx:KU46_964
ko:K01870	fpx:KU46_966
ko:K11753	fpx:KU46_967
ko:K00027	fpx:KU46_968
ko:K03977	fpx:KU46_971
ko:K00790	fpx:KU46_972
ko:K00075	fpx:KU46_973
ko:K03210	fpx:KU46_1790
ko:K00773	fpx:KU46_1799
ko:K08591	fpx:KU46_1800
ko:K02071	fpx:KU46_1801
ko:K01770	fpx:KU46_1808
ko:K03802	fpx:KU46_1809
ko:K01126	fpx:KU46_1810
ko:K03762	fpx:KU46_1818
ko:K01424	fpx:KU46_1824
ko:K13282	fpx:KU46_1825
ko:K07025	fpx:KU46_1827
ko:K01953	fpx:KU46_1836
ko:K01784	fpx:KU46_1839
ko:K01783	fpx:KU46_1841
ko:K07735	fpx:KU46_1543
ko:K07447	fpx:KU46_1544
ko:K01869	fpx:KU46_1545
ko:K03643	fpx:KU46_1546
ko:K16053	fpx:KU46_1549
ko:K03321	fpx:KU46_1551
ko:K00537	fpx:KU46_1552
ko:K01494	fpx:KU46_1558
ko:K03593	fpx:KU46_1559
ko:K06131	fpx:KU46_1561
ko:K06131	fpx:KU46_1562
ko:K09823	fpx:KU46_1566
ko:K01890	fpx:KU46_1567
ko:K01889	fpx:KU46_1568
ko:K03305	fpx:KU46_1570
ko:K07727	fpx:KU46_1574
ko:K09701	fpx:KU46_93
ko:K00574	fpx:KU46_94
ko:K12573	fpx:KU46_99
ko:K03177	fpx:KU46_100
ko:K03685	fpx:KU46_101
ko:K03100	fpx:KU46_102
ko:K00286	fpx:KU46_104
ko:K07461	fpx:KU46_694
ko:K04567	fpx:KU46_695
ko:K01425	fpx:KU46_698
ko:K01915	fpx:KU46_699
ko:K02340	fpx:KU46_700
ko:K03098	fpx:KU46_701
ko:K00602	fpx:KU46_703
ko:K01939	fpx:KU46_704
ko:K00760	fpx:KU46_705
ko:K02075	fpx:KU46_708
ko:K02074	fpx:KU46_709
ko:K02077	fpx:KU46_710
ko:K06077	fpx:KU46_712
ko:K03809	fpx:KU46_713
ko:K07058	fpx:KU46_714
ko:K04066	fpx:KU46_716
ko:K01713	fpx:KU46_717
ko:K00426	fpx:KU46_718
ko:K00425	fpx:KU46_719
ko:K02536	fpx:KU46_720
ko:K00868	fpx:KU46_722
ko:K03924	fpx:KU46_724
ko:K07114	fpx:KU46_727
ko:K07114	fpx:KU46_728
ko:K07114	fpx:KU46_729
ko:K01304	fpx:KU46_731
ko:K02339	fpx:KU46_734
ko:K01873	fpx:KU46_735
ko:K04095	fpx:KU46_738
ko:K01595	fpx:KU46_739
ko:K00931	fpx:KU46_743
ko:K00147	fpx:KU46_744
ko:K00101	fpx:KU46_745
ko:K10679	fpx:KU46_746
ko:K01679	fpx:KU46_748
ko:K03551	fpx:KU46_1576
ko:K01662	fpx:KU46_1579
ko:K01951	fpx:KU46_1580
ko:K06173	fpx:KU46_1581
ko:K06861	fpx:KU46_1584
ko:K11719	fpx:KU46_1586
ko:K03270	fpx:KU46_1587
ko:K01507	fpx:KU46_1588
ko:K07258	fpx:KU46_1589
ko:K09158	fpx:KU46_1590
ko:K03801	fpx:KU46_1591
