ko:K01006	lmoy:LMOSLCC2479_1931
ko:K00057	lmoy:LMOSLCC2479_2000
ko:K03977	lmoy:LMOSLCC2479_2001
ko:K02945	lmoy:LMOSLCC2479_2002
ko:K00945	lmoy:LMOSLCC2479_2003
ko:K03654	lmoy:LMOSLCC2479_2006
ko:K07651	lmoy:LMOSLCC2479_2010
ko:K07775	lmoy:LMOSLCC2479_2011
ko:K06178	lmoy:LMOSLCC2479_2012
ko:K06024	lmoy:LMOSLCC2479_2013
ko:K05896	lmoy:LMOSLCC2479_2014
ko:K01586	lmoy:LMOSLCC2479_2015
ko:K01839	lmoy:LMOSLCC2479_2017
ko:K02015	lmoy:LMOSLCC2479_2020
ko:K02015	lmoy:LMOSLCC2479_2021
ko:K02016	lmoy:LMOSLCC2479_2022
ko:K02013	lmoy:LMOSLCC2479_2023
ko:K02358	lmoy:LMOSLCC2479_2719
ko:K02355	lmoy:LMOSLCC2479_2720
ko:K02992	lmoy:LMOSLCC2479_2721
ko:K02950	lmoy:LMOSLCC2479_2722
ko:K01129	lmoy:LMOSLCC2479_2723
ko:K01783	lmoy:LMOSLCC2479_2725
ko:K00615	lmoy:LMOSLCC2479_2726
ko:K01783	lmoy:LMOSLCC2479_2727
ko:K01808	lmoy:LMOSLCC2479_2728
ko:K02774	lmoy:LMOSLCC2479_2732
ko:K02773	lmoy:LMOSLCC2479_2733
ko:K01808	lmoy:LMOSLCC2479_2740
ko:K01551	lmoy:LMOSLCC2479_2751
ko:K03629	lmoy:LMOSLCC2479_0005
ko:K02470	lmoy:LMOSLCC2479_0006
ko:K02469	lmoy:LMOSLCC2479_0007
ko:K06131	lmoy:LMOSLCC2479_0008
ko:K02826	lmoy:LMOSLCC2479_0013
ko:K02827	lmoy:LMOSLCC2479_0014
ko:K02828	lmoy:LMOSLCC2479_0015
ko:K15975	lmoy:LMOSLCC2479_0767
ko:K06999	lmoy:LMOSLCC2479_0768
ko:K03665	lmoy:LMOSLCC2479_0770
ko:K03800	lmoy:LMOSLCC2479_0772
ko:K01118	lmoy:LMOSLCC2479_0794
ko:K11737	lmoy:LMOSLCC2479_0795
ko:K07150	lmoy:LMOSLCC2479_0801
ko:K07118	lmoy:LMOSLCC2479_0802
ko:K05786	lmoy:LMOSLCC2479_0803
ko:K11733	lmoy:LMOSLCC2479_0806
ko:K09710	lmoy:LMOSLCC2479_1547
ko:K00969	lmoy:LMOSLCC2479_1549
ko:K07574	lmoy:LMOSLCC2479_1550
ko:K00014	lmoy:LMOSLCC2479_1551
ko:K07015	lmoy:LMOSLCC2479_1553
ko:K03624	lmoy:LMOSLCC2479_1557
ko:K00876	lmoy:LMOSLCC2479_1558
ko:K07082	lmoy:LMOSLCC2479_1560
ko:K07447	lmoy:LMOSLCC2479_1563
ko:K01872	lmoy:LMOSLCC2479_1565
ko:K02003	lmoy:LMOSLCC2479_1566
ko:K03581	lmoy:LMOSLCC2479_1570
ko:K00566	lmoy:LMOSLCC2479_1573
ko:K04487	lmoy:LMOSLCC2479_1574
ko:K07478	lmoy:LMOSLCC2479_1575
ko:K03320	lmoy:LMOSLCC2479_1577
ko:K04751	lmoy:LMOSLCC2479_1578
ko:K01876	lmoy:LMOSLCC2479_1580
ko:K01892	lmoy:LMOSLCC2479_1581
ko:K01448	lmoy:LMOSLCC2479_1582
ko:K07560	lmoy:LMOSLCC2479_1583
ko:K00759	lmoy:LMOSLCC2479_1585
ko:K07462	lmoy:LMOSLCC2479_1586
ko:K12257	lmoy:LMOSLCC2479_1588
ko:K03210	lmoy:LMOSLCC2479_1590
ko:K00773	lmoy:LMOSLCC2479_1591
ko:K07568	lmoy:LMOSLCC2479_1592
ko:K03551	lmoy:LMOSLCC2479_1593
ko:K08602	lmoy:LMOSLCC2479_2253
ko:K15581	lmoy:LMOSLCC2479_2260
ko:K15580	lmoy:LMOSLCC2479_2261
ko:K01867	lmoy:LMOSLCC2479_2263
ko:K09458	lmoy:LMOSLCC2479_2266
ko:K00648	lmoy:LMOSLCC2479_2267
ko:K03695	lmoy:LMOSLCC2479_2271
ko:K06890	lmoy:LMOSLCC2479_2272
ko:K01772	lmoy:LMOSLCC2479_2276
ko:K01599	lmoy:LMOSLCC2479_2277
ko:K02503	lmoy:LMOSLCC2479_2281
ko:K02829	lmoy:LMOSLCC2479_0016
ko:K07282	lmoy:LMOSLCC2479_0017
ko:K01223	lmoy:LMOSLCC2479_0018
ko:K02529	lmoy:LMOSLCC2479_0031
ko:K02761	lmoy:LMOSLCC2479_0034
ko:K13252	lmoy:LMOSLCC2479_0036
ko:K10536	lmoy:LMOSLCC2479_0038
ko:K00926	lmoy:LMOSLCC2479_0039
ko:K10536	lmoy:LMOSLCC2479_0040
ko:K03481	lmoy:LMOSLCC2479_0041
ko:K03975	lmoy:LMOSLCC2479_0042
ko:K02990	lmoy:LMOSLCC2479_0044
ko:K02963	lmoy:LMOSLCC2479_0046
ko:K07813	lmoy:LMOSLCC2479_0048
ko:K07707	lmoy:LMOSLCC2479_0051
ko:K02939	lmoy:LMOSLCC2479_0053
ko:K01939	lmoy:LMOSLCC2479_0056
ko:K03466	lmoy:LMOSLCC2479_0062
ko:K00847	lmoy:LMOSLCC2479_0821
ko:K03324	lmoy:LMOSLCC2479_0834
ko:K03737	lmoy:LMOSLCC2479_0837
ko:K04041	lmoy:LMOSLCC2479_0838
ko:K07088	lmoy:LMOSLCC2479_0839
ko:K13256	lmoy:LMOSLCC2479_0844
ko:K01921	lmoy:LMOSLCC2479_0864
ko:K01929	lmoy:LMOSLCC2479_0865
ko:K03550	lmoy:LMOSLCC2479_1594
ko:K03979	lmoy:LMOSLCC2479_1598
ko:K00864	lmoy:LMOSLCC2479_1599
ko:K02440	lmoy:LMOSLCC2479_1600
ko:K02899	lmoy:LMOSLCC2479_1601
ko:K02888	lmoy:LMOSLCC2479_1603
ko:K08301	lmoy:LMOSLCC2479_1604
ko:K03609	lmoy:LMOSLCC2479_1605
ko:K03610	lmoy:LMOSLCC2479_1606
ko:K03571	lmoy:LMOSLCC2479_1607
ko:K03570	lmoy:LMOSLCC2479_1608
ko:K03569	lmoy:LMOSLCC2479_1609
ko:K03630	lmoy:LMOSLCC2479_1610
ko:K11754	lmoy:LMOSLCC2479_1613
ko:K01873	lmoy:LMOSLCC2479_1614
ko:K01845	lmoy:LMOSLCC2479_1615
ko:K01698	lmoy:LMOSLCC2479_1616
ko:K01749	lmoy:LMOSLCC2479_1618
ko:K02492	lmoy:LMOSLCC2479_1619
ko:K03978	lmoy:LMOSLCC2479_1620
ko:K01868	lmoy:LMOSLCC2479_1621
ko:K07738	lmoy:LMOSLCC2479_1624
ko:K00859	lmoy:LMOSLCC2479_1625
ko:K00031	lmoy:LMOSLCC2479_1628
ko:K01647	lmoy:LMOSLCC2479_1629
ko:K07113	lmoy:LMOSLCC2479_1631
ko:K00873	lmoy:LMOSLCC2479_1632
ko:K00850	lmoy:LMOSLCC2479_1633
ko:K01962	lmoy:LMOSLCC2479_1634
ko:K01963	lmoy:LMOSLCC2479_1635
ko:K02337	lmoy:LMOSLCC2479_1636
ko:K00014	lmoy:LMOSLCC2479_2301
ko:K13531	lmoy:LMOSLCC2479_2307
ko:K13530	lmoy:LMOSLCC2479_2308
ko:K06180	lmoy:LMOSLCC2479_2309
ko:K07220	lmoy:LMOSLCC2479_2313
ko:K03306	lmoy:LMOSLCC2479_2314
ko:K06901	lmoy:LMOSLCC2479_2319
ko:K05520	lmoy:LMOSLCC2479_2321
ko:K02759	lmoy:LMOSLCC2479_2323
ko:K02250	lmoy:LMOSLCC2479_2334
ko:K01738	lmoy:LMOSLCC2479_0223
ko:K00796	lmoy:LMOSLCC2479_0225
ko:K01633	lmoy:LMOSLCC2479_0226
ko:K00950	lmoy:LMOSLCC2479_0227
ko:K02761	lmoy:LMOSLCC2479_2786
ko:K00426	lmoy:LMOSLCC2479_2795
ko:K00425	lmoy:LMOSLCC2479_2796
ko:K01895	lmoy:LMOSLCC2479_2798
ko:K00948	lmoy:LMOSLCC2479_0516
ko:K07282	lmoy:LMOSLCC2479_0523
ko:K08987	lmoy:LMOSLCC2479_0525
ko:K07166	lmoy:LMOSLCC2479_0540
ko:K09157	lmoy:LMOSLCC2479_0541
ko:K02083	lmoy:LMOSLCC2479_0544
ko:K02016	lmoy:LMOSLCC2479_0548
ko:K02781	lmoy:LMOSLCC2479_0549
ko:K08325	lmoy:LMOSLCC2479_0561
ko:K03305	lmoy:LMOSLCC2479_0562
ko:K02818	lmoy:LMOSLCC2479_1315
ko:K02819	lmoy:LMOSLCC2479_1315
ko:K00147	lmoy:LMOSLCC2479_1319
ko:K00931	lmoy:LMOSLCC2479_1320
ko:K03545	lmoy:LMOSLCC2479_1327
ko:K03544	lmoy:LMOSLCC2479_1328
ko:K03100	lmoy:LMOSLCC2479_1329
ko:K03100	lmoy:LMOSLCC2479_1330
ko:K03100	lmoy:LMOSLCC2479_1331
ko:K14540	lmoy:LMOSLCC2479_1332
ko:K03470	lmoy:LMOSLCC2479_1333
ko:K04096	lmoy:LMOSLCC2479_1334
ko:K03168	lmoy:LMOSLCC2479_1335
ko:K04094	lmoy:LMOSLCC2479_1336
ko:K03733	lmoy:LMOSLCC2479_1337
ko:K01419	lmoy:LMOSLCC2479_1338
ko:K03667	lmoy:LMOSLCC2479_1339
ko:K03706	lmoy:LMOSLCC2479_1340
ko:K07107	lmoy:LMOSLCC2479_1341
ko:K08591	lmoy:LMOSLCC2479_1344
ko:K02622	lmoy:LMOSLCC2479_1346
ko:K02621	lmoy:LMOSLCC2479_1347
ko:K07173	lmoy:LMOSLCC2479_1348
ko:K01126	lmoy:LMOSLCC2479_1352
ko:K00111	lmoy:LMOSLCC2479_1353
ko:K00791	lmoy:LMOSLCC2479_1354
ko:K03666	lmoy:LMOSLCC2479_1355
ko:K03665	lmoy:LMOSLCC2479_1356
ko:K01625	lmoy:LMOSLCC2479_2032
ko:K03710	lmoy:LMOSLCC2479_2037
ko:K02346	lmoy:LMOSLCC2479_2038
ko:K07124	lmoy:LMOSLCC2479_2039
ko:K00036	lmoy:LMOSLCC2479_2041
ko:K01687	lmoy:LMOSLCC2479_2046
ko:K01652	lmoy:LMOSLCC2479_2047
ko:K01653	lmoy:LMOSLCC2479_2048
ko:K00053	lmoy:LMOSLCC2479_2049
ko:K01649	lmoy:LMOSLCC2479_2050
ko:K00052	lmoy:LMOSLCC2479_2051
ko:K01703	lmoy:LMOSLCC2479_2052
ko:K01704	lmoy:LMOSLCC2479_2053
ko:K01754	lmoy:LMOSLCC2479_2054
ko:K01575	lmoy:LMOSLCC2479_2055
ko:K00756	lmoy:LMOSLCC2479_2056
ko:K02529	lmoy:LMOSLCC2479_2057
ko:K05346	lmoy:LMOSLCC2479_2059
ko:K07667	lmoy:LMOSLCC2479_2755
ko:K07646	lmoy:LMOSLCC2479_2756
ko:K01548	lmoy:LMOSLCC2479_2757
ko:K01547	lmoy:LMOSLCC2479_2758
ko:K01546	lmoy:LMOSLCC2479_2759
ko:K02760	lmoy:LMOSLCC2479_2760
ko:K02761	lmoy:LMOSLCC2479_2761
ko:K02759	lmoy:LMOSLCC2479_2762
ko:K01531	lmoy:LMOSLCC2479_2766
ko:K00943	lmoy:LMOSLCC2479_2770
ko:K05878	lmoy:LMOSLCC2479_2772
ko:K05879	lmoy:LMOSLCC2479_2773
ko:K06187	lmoy:LMOSLCC2479_2780
ko:K09747	lmoy:LMOSLCC2479_2781
ko:K02343	lmoy:LMOSLCC2479_2782
ko:K10778	lmoy:LMOSLCC2479_0076
ko:K02110	lmoy:LMOSLCC2479_0087
ko:K02113	lmoy:LMOSLCC2479_0088
ko:K02111	lmoy:LMOSLCC2479_0089
ko:K02115	lmoy:LMOSLCC2479_0090
ko:K02112	lmoy:LMOSLCC2479_0091
ko:K02114	lmoy:LMOSLCC2479_0092
ko:K02529	lmoy:LMOSLCC2479_0867
ko:K05592	lmoy:LMOSLCC2479_0876
ko:K02759	lmoy:LMOSLCC2479_0884
ko:K02760	lmoy:LMOSLCC2479_0885
ko:K02761	lmoy:LMOSLCC2479_0886
ko:K00231	lmoy:LMOSLCC2479_0894
ko:K00997	lmoy:LMOSLCC2479_0895
ko:K01775	lmoy:LMOSLCC2479_0896
ko:K07723	lmoy:LMOSLCC2479_0897
ko:K04567	lmoy:LMOSLCC2479_0229
ko:K03696	lmoy:LMOSLCC2479_0233
ko:K04485	lmoy:LMOSLCC2479_0234
ko:K00991	lmoy:LMOSLCC2479_0236
ko:K01770	lmoy:LMOSLCC2479_0237
ko:K00640	lmoy:LMOSLCC2479_0239
ko:K01883	lmoy:LMOSLCC2479_0240
ko:K11145	lmoy:LMOSLCC2479_0241
ko:K03218	lmoy:LMOSLCC2479_0242
ko:K06962	lmoy:LMOSLCC2479_0243
ko:K03091	lmoy:LMOSLCC2479_0244
ko:K03073	lmoy:LMOSLCC2479_0245
ko:K02601	lmoy:LMOSLCC2479_0246
ko:K02867	lmoy:LMOSLCC2479_0248
ko:K02863	lmoy:LMOSLCC2479_0249
ko:K02864	lmoy:LMOSLCC2479_0250
ko:K02935	lmoy:LMOSLCC2479_0251
ko:K03043	lmoy:LMOSLCC2479_0258
ko:K03046	lmoy:LMOSLCC2479_0259
ko:K05823	lmoy:LMOSLCC2479_1025
ko:K02000	lmoy:LMOSLCC2479_1027
ko:K02001	lmoy:LMOSLCC2479_1028
ko:K02002	lmoy:LMOSLCC2479_1029
ko:K00243	lmoy:LMOSLCC2479_1032
ko:K11622	lmoy:LMOSLCC2479_1033
ko:K02529	lmoy:LMOSLCC2479_1043
ko:K00615	lmoy:LMOSLCC2479_1045
ko:K00615	lmoy:LMOSLCC2479_1046
ko:K00864	lmoy:LMOSLCC2479_1047
ko:K03752	lmoy:LMOSLCC2479_1051
ko:K02018	lmoy:LMOSLCC2479_1053
ko:K02020	lmoy:LMOSLCC2479_1054
ko:K03750	lmoy:LMOSLCC2479_1055
ko:K03753	lmoy:LMOSLCC2479_1056
ko:K03636	lmoy:LMOSLCC2479_1058
ko:K03637	lmoy:LMOSLCC2479_1059
ko:K07038	lmoy:LMOSLCC2479_1754
ko:K03565	lmoy:LMOSLCC2479_1757
ko:K07071	lmoy:LMOSLCC2479_1758
ko:K14205	lmoy:LMOSLCC2479_1759
ko:K03790	lmoy:LMOSLCC2479_1762
ko:K07058	lmoy:LMOSLCC2479_1770
ko:K01265	lmoy:LMOSLCC2479_1773
ko:K03839	lmoy:LMOSLCC2479_1774
ko:K03569	lmoy:LMOSLCC2479_1777
ko:K02759	lmoy:LMOSLCC2479_1783
ko:K02760	lmoy:LMOSLCC2479_1784
ko:K02529	lmoy:LMOSLCC2479_1791
ko:K05349	lmoy:LMOSLCC2479_1793
ko:K00266	lmoy:LMOSLCC2479_1797
ko:K02073	lmoy:LMOSLCC2479_2479
ko:K02072	lmoy:LMOSLCC2479_2480
ko:K02071	lmoy:LMOSLCC2479_2481
ko:K02437	lmoy:LMOSLCC2479_2487
ko:K05837	lmoy:LMOSLCC2479_2489
ko:K05837	lmoy:LMOSLCC2479_2490
ko:K02013	lmoy:LMOSLCC2479_2491
ko:K02015	lmoy:LMOSLCC2479_2492
ko:K02016	lmoy:LMOSLCC2479_2493
ko:K03664	lmoy:LMOSLCC2479_2510
ko:K12573	lmoy:LMOSLCC2479_2511
ko:K03928	lmoy:LMOSLCC2479_2512
ko:K03075	lmoy:LMOSLCC2479_2513
ko:K01689	lmoy:LMOSLCC2479_2516
ko:K15633	lmoy:LMOSLCC2479_2517
ko:K01803	lmoy:LMOSLCC2479_2518
ko:K00927	lmoy:LMOSLCC2479_2519
ko:K00134	lmoy:LMOSLCC2479_2520
ko:K05311	lmoy:LMOSLCC2479_2521
ko:K03092	lmoy:LMOSLCC2479_2522
ko:K01273	lmoy:LMOSLCC2479_2523
ko:K03321	lmoy:LMOSLCC2479_0908
ko:K06959	lmoy:LMOSLCC2479_0909
ko:K02761	lmoy:LMOSLCC2479_0913
ko:K00259	lmoy:LMOSLCC2479_1641
ko:K00925	lmoy:LMOSLCC2479_1643
ko:K11065	lmoy:LMOSLCC2479_1646
ko:K04773	lmoy:LMOSLCC2479_1648
ko:K00858	lmoy:LMOSLCC2479_1649
ko:K00611	lmoy:LMOSLCC2479_1650
ko:K00930	lmoy:LMOSLCC2479_1652
ko:K00620	lmoy:LMOSLCC2479_1653
ko:K00145	lmoy:LMOSLCC2479_1654
ko:K03151	lmoy:LMOSLCC2479_1655
ko:K04487	lmoy:LMOSLCC2479_1656
ko:K02986	lmoy:LMOSLCC2479_1659
ko:K01866	lmoy:LMOSLCC2479_1661
ko:K02529	lmoy:LMOSLCC2479_1662
ko:K13853	lmoy:LMOSLCC2479_1663
ko:K01924	lmoy:LMOSLCC2479_1668
ko:K03466	lmoy:LMOSLCC2479_1669
ko:K06878	lmoy:LMOSLCC2479_1670
ko:K03439	lmoy:LMOSLCC2479_1678
ko:K00824	lmoy:LMOSLCC2479_1682
ko:K02250	lmoy:LMOSLCC2479_2393
ko:K02768	lmoy:LMOSLCC2479_2395
ko:K02769	lmoy:LMOSLCC2479_2395
ko:K02770	lmoy:LMOSLCC2479_2395
ko:K00262	lmoy:LMOSLCC2479_0567
ko:K02500	lmoy:LMOSLCC2479_0570
ko:K01814	lmoy:LMOSLCC2479_0571
ko:K02501	lmoy:LMOSLCC2479_0572
ko:K01693	lmoy:LMOSLCC2479_0573
ko:K00013	lmoy:LMOSLCC2479_0574
ko:K00765	lmoy:LMOSLCC2479_0575
ko:K02502	lmoy:LMOSLCC2479_0576
ko:K04486	lmoy:LMOSLCC2479_0577
ko:K07443	lmoy:LMOSLCC2479_0578
ko:K06901	lmoy:LMOSLCC2479_0580
ko:K01223	lmoy:LMOSLCC2479_0581
ko:K06999	lmoy:LMOSLCC2479_0587
ko:K06969	lmoy:LMOSLCC2479_0588
ko:K03070	lmoy:LMOSLCC2479_0590
ko:K01669	lmoy:LMOSLCC2479_0595
ko:K00641	lmoy:LMOSLCC2479_0601
ko:K01740	lmoy:LMOSLCC2479_0602
ko:K03523	lmoy:LMOSLCC2479_0605
ko:K01915	lmoy:LMOSLCC2479_1359
ko:K03893	lmoy:LMOSLCC2479_1360
ko:K01356	lmoy:LMOSLCC2479_1362
ko:K00615	lmoy:LMOSLCC2479_1365
ko:K09903	lmoy:LMOSLCC2479_1373
ko:K02838	lmoy:LMOSLCC2479_1374
ko:K00806	lmoy:LMOSLCC2479_1375
ko:K00981	lmoy:LMOSLCC2479_1376
ko:K00099	lmoy:LMOSLCC2479_1377
ko:K11749	lmoy:LMOSLCC2479_1378
ko:K01881	lmoy:LMOSLCC2479_1379
ko:K03763	lmoy:LMOSLCC2479_1380
ko:K09748	lmoy:LMOSLCC2479_1381
ko:K02600	lmoy:LMOSLCC2479_1382
ko:K07742	lmoy:LMOSLCC2479_1383
ko:K02519	lmoy:LMOSLCC2479_1385
ko:K02834	lmoy:LMOSLCC2479_1387
ko:K11753	lmoy:LMOSLCC2479_1389
ko:K02956	lmoy:LMOSLCC2479_1390
ko:K00962	lmoy:LMOSLCC2479_1391
ko:K06949	lmoy:LMOSLCC2479_1392
ko:K02913	lmoy:LMOSLCC2479_1395
ko:K02247	lmoy:LMOSLCC2479_1403
ko:K01652	lmoy:LMOSLCC2479_2070
ko:K07718	lmoy:LMOSLCC2479_2075
ko:K03704	lmoy:LMOSLCC2479_2080
ko:K01778	lmoy:LMOSLCC2479_2082
ko:K01870	lmoy:LMOSLCC2479_2083
ko:K04074	lmoy:LMOSLCC2479_2084
ko:K04487	lmoy:LMOSLCC2479_2086
ko:K00278	lmoy:LMOSLCC2479_2087
ko:K01223	lmoy:LMOSLCC2479_0261
ko:K15975	lmoy:LMOSLCC2479_0267
ko:K02034	lmoy:LMOSLCC2479_0269
ko:K01223	lmoy:LMOSLCC2479_0271
ko:K02072	lmoy:LMOSLCC2479_0284
ko:K02071	lmoy:LMOSLCC2479_0285
ko:K02073	lmoy:LMOSLCC2479_0286
ko:K00783	lmoy:LMOSLCC2479_0294
ko:K02761	lmoy:LMOSLCC2479_0299
ko:K02760	lmoy:LMOSLCC2479_0300
ko:K02759	lmoy:LMOSLCC2479_0302
ko:K03639	lmoy:LMOSLCC2479_1060
ko:K03638	lmoy:LMOSLCC2479_1061
ko:K01462	lmoy:LMOSLCC2479_1064
ko:K00161	lmoy:LMOSLCC2479_1065
ko:K00162	lmoy:LMOSLCC2479_1066
ko:K00627	lmoy:LMOSLCC2479_1067
ko:K00382	lmoy:LMOSLCC2479_1068
ko:K02003	lmoy:LMOSLCC2479_1076
ko:K03284	lmoy:LMOSLCC2479_1077
ko:K06207	lmoy:LMOSLCC2479_1080
ko:K03588	lmoy:LMOSLCC2479_1084
ko:K02016	lmoy:LMOSLCC2479_1086
ko:K00963	lmoy:LMOSLCC2479_1091
ko:K00973	lmoy:LMOSLCC2479_1094
ko:K01790	lmoy:LMOSLCC2479_1096
ko:K00067	lmoy:LMOSLCC2479_1098
ko:K08317	lmoy:LMOSLCC2479_1801
ko:K02029	lmoy:LMOSLCC2479_1804
ko:K01486	lmoy:LMOSLCC2479_1806
ko:K02003	lmoy:LMOSLCC2479_1811
ko:K00891	lmoy:LMOSLCC2479_1813
ko:K03215	lmoy:LMOSLCC2479_1815
ko:K02434	lmoy:LMOSLCC2479_1818
ko:K02435	lmoy:LMOSLCC2479_1820
ko:K01972	lmoy:LMOSLCC2479_1822
ko:K03657	lmoy:LMOSLCC2479_1823
ko:K03308	lmoy:LMOSLCC2479_1825
ko:K01945	lmoy:LMOSLCC2479_1828
ko:K00602	lmoy:LMOSLCC2479_1829
ko:K11175	lmoy:LMOSLCC2479_1830
ko:K01933	lmoy:LMOSLCC2479_1831
ko:K00764	lmoy:LMOSLCC2479_1832
ko:K01952	lmoy:LMOSLCC2479_1833
ko:K01952	lmoy:LMOSLCC2479_1834
ko:K01952	lmoy:LMOSLCC2479_1835
ko:K01923	lmoy:LMOSLCC2479_1836
ko:K01756	lmoy:LMOSLCC2479_1837
ko:K01589	lmoy:LMOSLCC2479_1838
ko:K01588	lmoy:LMOSLCC2479_1839
ko:K06950	lmoy:LMOSLCC2479_1841
ko:K01358	lmoy:LMOSLCC2479_2529
