ko:K11707	cpsb:B595_0511
ko:K02470	cpsb:B595_0035
ko:K02492	cpsb:B595_0036
ko:K01265	cpsb:B595_0862
ko:K02956	cpsb:B595_0872
ko:K00962	cpsb:B595_0873
ko:K03798	cpsb:B595_0874
ko:K04075	cpsb:B595_0875
ko:K07091	cpsb:B595_0876
ko:K11720	cpsb:B595_0877
ko:K01889	cpsb:B595_0880
ko:K02887	cpsb:B595_0881
ko:K02916	cpsb:B595_0882
ko:K02520	cpsb:B595_0883
ko:K02520	cpsb:B595_0884
ko:K03625	cpsb:B595_0885
ko:K00075	cpsb:B595_0886
ko:K03439	cpsb:B595_0889
ko:K09760	cpsb:B595_0893
ko:K01902	cpsb:B595_0897
ko:K01903	cpsb:B595_0898
ko:K03110	cpsb:B595_0899
ko:K06890	cpsb:B595_0900
ko:K03834	cpsb:B595_0903
ko:K00820	cpsb:B595_0904
ko:K03431	cpsb:B595_0905
ko:K00748	cpsb:B595_0907
ko:K03797	cpsb:B595_0217
ko:K02950	cpsb:B595_0223
ko:K02992	cpsb:B595_0224
ko:K02355	cpsb:B595_0225
ko:K02946	cpsb:B595_0226
ko:K01770	cpsb:B595_0228
ko:K02888	cpsb:B595_0231
ko:K02899	cpsb:B595_0232
ko:K03979	cpsb:B595_0233
ko:K09817	cpsb:B595_0234
ko:K00788	cpsb:B595_0237
ko:K00878	cpsb:B595_0238
ko:K03310	cpsb:B595_0243
ko:K03101	cpsb:B595_0244
ko:K06204	cpsb:B595_0245
ko:K07738	cpsb:B595_0246
ko:K00793	cpsb:B595_0247
ko:K06969	cpsb:B595_0248
ko:K03437	cpsb:B595_0249
ko:K00912	cpsb:B595_0250
ko:K00658	cpsb:B595_0252
ko:K06041	cpsb:B595_0253
ko:K07164	cpsb:B595_0254
ko:K00600	cpsb:B595_0259
ko:K01358	cpsb:B595_0260
ko:K01778	cpsb:B595_0261
ko:K03183	cpsb:B595_0263
ko:K02455	cpsb:B595_1082
ko:K02453	cpsb:B595_1084
ko:K03572	cpsb:B595_1087
ko:K01868	cpsb:B595_1097
ko:K01867	cpsb:B595_1102
ko:K03702	cpsb:B595_1103
ko:K01689	cpsb:B595_1104
ko:K00240	cpsb:B595_1110
ko:K00239	cpsb:B595_1111
ko:K03424	cpsb:B595_1113
ko:K03562	cpsb:B595_1115
ko:K03641	cpsb:B595_1119
ko:K03640	cpsb:B595_1120
ko:K03648	cpsb:B595_1130
ko:K02469	cpsb:B595_0588
ko:K00943	cpsb:B595_0589
ko:K02343	cpsb:B595_0591
ko:K06999	cpsb:B595_0592
ko:K07566	cpsb:B595_0594
ko:K06966	cpsb:B595_0598
ko:K03179	cpsb:B595_0599
ko:K03186	cpsb:B595_0600
ko:K03787	cpsb:B595_0604
ko:K07039	cpsb:B595_0606
ko:K14441	cpsb:B595_0612
ko:K02913	cpsb:B595_0613
ko:K09808	cpsb:B595_0614
ko:K02871	cpsb:B595_0617
ko:K02996	cpsb:B595_0618
ko:K01057	cpsb:B595_0626
ko:K00036	cpsb:B595_0627
ko:K15580	cpsb:B595_0628
ko:K03402	cpsb:B595_0631
ko:K02029	cpsb:B595_0632
ko:K07058	cpsb:B595_0636
ko:K01783	cpsb:B595_0639
ko:K02356	cpsb:B595_0640
ko:K02160	cpsb:B595_0641
ko:K01961	cpsb:B595_0642
ko:K07042	cpsb:B595_0270
ko:K03652	cpsb:B595_0274
ko:K12573	cpsb:B595_0275
ko:K04043	cpsb:B595_0276
ko:K03687	cpsb:B595_0277
ko:K03705	cpsb:B595_0278
ko:K01881	cpsb:B595_0279
ko:K09131	cpsb:B595_0282
ko:K10206	cpsb:B595_0285
ko:K06966	cpsb:B595_0288
ko:K09996	cpsb:B595_0298
ko:K06167	cpsb:B595_0300
ko:K03665	cpsb:B595_0301
ko:K03657	cpsb:B595_1131
ko:K03092	cpsb:B595_1132
ko:K03168	cpsb:B595_1134
ko:K06137	cpsb:B595_1143
ko:K13941	cpsb:B595_1146
ko:K01633	cpsb:B595_1147
ko:K03086	cpsb:B595_1148
ko:K02968	cpsb:B595_1150
ko:K03581	cpsb:B595_1152
ko:K13789	cpsb:B595_1156
ko:K01951	cpsb:B595_0660
ko:K09125	cpsb:B595_0670
ko:K00773	cpsb:B595_0672
ko:K03611	cpsb:B595_0677
ko:K00979	cpsb:B595_0686
ko:K01937	cpsb:B595_0687
ko:K01937	cpsb:B595_0689
ko:K07447	cpsb:B595_0690
ko:K15581	cpsb:B595_0694
ko:K03224	cpsb:B595_0044
ko:K02417	cpsb:B595_0047
ko:K03219	cpsb:B595_0050
ko:K02838	cpsb:B595_0057
ko:K09903	cpsb:B595_0058
ko:K02357	cpsb:B595_0059
ko:K02967	cpsb:B595_0061
ko:K03162	cpsb:B595_0063
ko:K09013	cpsb:B595_0067
ko:K09015	cpsb:B595_0068
ko:K11717	cpsb:B595_0069
ko:K07220	cpsb:B595_0076
ko:K03306	cpsb:B595_0077
ko:K00927	cpsb:B595_0078
ko:K02337	cpsb:B595_0090
ko:K07783	cpsb:B595_0091
ko:K01892	cpsb:B595_0093
ko:K01876	cpsb:B595_0094
ko:K03216	cpsb:B595_0096
ko:K03671	cpsb:B595_0097
ko:K03621	cpsb:B595_0923
ko:K02911	cpsb:B595_0924
ko:K08301	cpsb:B595_0926
ko:K00630	cpsb:B595_0928
ko:K00919	cpsb:B595_0933
ko:K02939	cpsb:B595_0934
ko:K02963	cpsb:B595_0935
ko:K02990	cpsb:B595_0936
ko:K01056	cpsb:B595_0938
ko:K02897	cpsb:B595_0939
ko:K00703	cpsb:B595_0941
ko:K00995	cpsb:B595_0942
ko:K14164	cpsb:B595_0944
ko:K03555	cpsb:B595_0950
ko:K03703	cpsb:B595_0951
ko:K02954	cpsb:B595_0953
ko:K02919	cpsb:B595_0954
ko:K01883	cpsb:B595_0957
ko:K04567	cpsb:B595_0958
ko:K04066	cpsb:B595_0961
ko:K00655	cpsb:B595_0963
ko:K00263	cpsb:B595_0966
ko:K09458	cpsb:B595_0969
ko:K09710	cpsb:B595_0970
ko:K09779	cpsb:B595_0336
ko:K02435	cpsb:B595_0338
ko:K02434	cpsb:B595_0340
ko:K06888	cpsb:B595_0352
ko:K02528	cpsb:B595_0354
ko:K01662	cpsb:B595_0355
ko:K03602	cpsb:B595_0357
ko:K03601	cpsb:B595_0358
ko:K01803	cpsb:B595_0360
ko:K03075	cpsb:B595_0362
ko:K01462	cpsb:B595_0364
ko:K06287	cpsb:B595_0367
ko:K03733	cpsb:B595_0369
ko:K03733	cpsb:B595_0370
ko:K01338	cpsb:B595_0375
ko:K02970	cpsb:B595_0378
ko:K03686	cpsb:B595_0379
ko:K11381	cpsb:B595_0380
ko:K09747	cpsb:B595_0387
ko:K02343	cpsb:B595_0388
ko:K07037	cpsb:B595_0389
ko:K01749	cpsb:B595_0393
ko:K04485	cpsb:B595_0394
ko:K03685	cpsb:B595_0395
ko:K04564	cpsb:B595_0398
ko:K01963	cpsb:B595_0399
ko:K00566	cpsb:B595_0407
ko:K03696	cpsb:B595_0408
ko:K03800	cpsb:B595_0410
ko:K02437	cpsb:B595_0414
ko:K00350	cpsb:B595_0417
ko:K00349	cpsb:B595_0418
ko:K00348	cpsb:B595_0419
ko:K00347	cpsb:B595_0420
ko:K02313	cpsb:B595_0423
ko:K03319	cpsb:B595_0700
ko:K00850	cpsb:B595_0701
ko:K02527	cpsb:B595_0707
ko:K01869	cpsb:B595_0708
ko:K01972	cpsb:B595_0714
ko:K03695	cpsb:B595_0727
ko:K02065	cpsb:B595_0729
ko:K02066	cpsb:B595_0730
ko:K01845	cpsb:B595_0732
ko:K07735	cpsb:B595_0733
ko:K08999	cpsb:B595_0734
ko:K01807	cpsb:B595_0735
ko:K08602	cpsb:B595_0742
ko:K04078	cpsb:B595_0743
ko:K04077	cpsb:B595_0744
ko:K03581	cpsb:B595_0751
ko:K01874	cpsb:B595_0752
ko:K00942	cpsb:B595_0754
ko:K03470	cpsb:B595_0755
ko:K02884	cpsb:B595_0756
ko:K00554	cpsb:B595_0757
ko:K02959	cpsb:B595_0758
ko:K03106	cpsb:B595_0759
ko:K02493	cpsb:B595_0760
ko:K02835	cpsb:B595_0761
ko:K02909	cpsb:B595_0762
ko:K03100	cpsb:B595_0764
ko:K01870	cpsb:B595_0765
ko:K07175	cpsb:B595_0767
ko:K00426	cpsb:B595_0771
ko:K00425	cpsb:B595_0772
ko:K02517	cpsb:B595_0776
ko:K00873	cpsb:B595_0779
ko:K03701	cpsb:B595_0781
ko:K01873	cpsb:B595_0783
ko:K03046	cpsb:B595_0795
ko:K03043	cpsb:B595_0796
ko:K02935	cpsb:B595_0798
ko:K02864	cpsb:B595_0800
ko:K02863	cpsb:B595_0801
ko:K02867	cpsb:B595_0802
ko:K02601	cpsb:B595_0803
ko:K02358	cpsb:B595_0805
ko:K03438	cpsb:B595_0426
ko:K03587	cpsb:B595_0429
ko:K01928	cpsb:B595_0432
ko:K01448	cpsb:B595_0433
ko:K01962	cpsb:B595_0438
ko:K07083	cpsb:B595_0442
ko:K00208	cpsb:B595_0447
ko:K03575	cpsb:B595_0451
ko:K04487	cpsb:B595_0463
ko:K01494	cpsb:B595_0467
ko:K03551	cpsb:B595_0469
ko:K01255	cpsb:B595_0475
ko:K02340	cpsb:B595_0477
ko:K07056	cpsb:B595_0478
ko:K06925	cpsb:B595_0101
ko:K03820	cpsb:B595_0104
ko:K02535	cpsb:B595_0105
ko:K02372	cpsb:B595_0106
ko:K00677	cpsb:B595_0107
ko:K00604	cpsb:B595_0108
ko:K02906	cpsb:B595_0111
ko:K02926	cpsb:B595_0112
ko:K02892	cpsb:B595_0113
ko:K02886	cpsb:B595_0114
ko:K02965	cpsb:B595_0115
ko:K02890	cpsb:B595_0116
ko:K02982	cpsb:B595_0117
ko:K02878	cpsb:B595_0118
ko:K02904	cpsb:B595_0119
ko:K02961	cpsb:B595_0120
ko:K02874	cpsb:B595_0121
ko:K02895	cpsb:B595_0122
ko:K02931	cpsb:B595_0123
ko:K02994	cpsb:B595_0124
ko:K02933	cpsb:B595_0125
ko:K02881	cpsb:B595_0126
ko:K02988	cpsb:B595_0127
ko:K02876	cpsb:B595_0128
ko:K03076	cpsb:B595_0129
ko:K02952	cpsb:B595_0130
ko:K02948	cpsb:B595_0131
ko:K03040	cpsb:B595_0132
ko:K02879	cpsb:B595_0133
ko:K00134	cpsb:B595_0134
ko:K01159	cpsb:B595_0138
ko:K03550	cpsb:B595_0139
ko:K00940	cpsb:B595_0140
ko:K03800	cpsb:B595_0141
ko:K03495	cpsb:B595_0142
ko:K00995	cpsb:B595_0145
ko:K03301	cpsb:B595_0146
ko:K00859	cpsb:B595_0149
ko:K03628	cpsb:B595_0150
ko:K00762	cpsb:B595_0152
ko:K00975	cpsb:B595_0153
ko:K07099	cpsb:B595_0154
ko:K00791	cpsb:B595_0975
ko:K03926	cpsb:B595_0979
ko:K06960	cpsb:B595_0980
ko:K02563	cpsb:B595_0982
ko:K03588	cpsb:B595_0983
ko:K01925	cpsb:B595_0985
ko:K01000	cpsb:B595_0986
ko:K01929	cpsb:B595_0988
ko:K02356	cpsb:B595_0994
ko:K01241	cpsb:B595_0995
ko:K00615	cpsb:B595_0996
ko:K00615	cpsb:B595_0998
ko:K01872	cpsb:B595_1000
ko:K03723	cpsb:B595_1001
ko:K01599	cpsb:B595_1002
ko:K00231	cpsb:B595_1004
ko:K03210	cpsb:B595_1008
ko:K00351	cpsb:B595_1009
ko:K03466	cpsb:B595_1017
ko:K03310	cpsb:B595_1021
ko:K00164	cpsb:B595_0488
ko:K00658	cpsb:B595_0489
ko:K05810	cpsb:B595_0490
ko:K03526	cpsb:B595_0491
ko:K02400	cpsb:B595_0501
ko:K02405	cpsb:B595_0502
ko:K01866	cpsb:B595_0504
ko:K03596	cpsb:B595_0506
ko:K03301	cpsb:B595_0509
ko:K00099	cpsb:B595_0516
ko:K03629	cpsb:B595_0518
ko:K02338	cpsb:B595_0519
ko:K03664	cpsb:B595_0520
ko:K03734	cpsb:B595_0521
ko:K01491	cpsb:B595_0522
ko:K02902	cpsb:B595_0529
ko:K00705	cpsb:B595_0530
ko:K04058	cpsb:B595_0532
ko:K03230	cpsb:B595_0533
ko:K03523	cpsb:B595_0810
ko:K01714	cpsb:B595_0816
ko:K01714	cpsb:B595_0817
ko:K00928	cpsb:B595_0818
ko:K00133	cpsb:B595_0819
ko:K00215	cpsb:B595_0820
ko:K09125	cpsb:B595_0822
ko:K01012	cpsb:B595_0825
ko:K01935	cpsb:B595_0827
ko:K00833	cpsb:B595_0828
ko:K00800	cpsb:B595_0830
ko:K00891	cpsb:B595_0831
ko:K01736	cpsb:B595_0832
ko:K01735	cpsb:B595_0833
ko:K13832	cpsb:B595_0834
ko:K03758	cpsb:B595_0838
ko:K00024	cpsb:B595_0841
ko:K01810	cpsb:B595_0843
ko:K03527	cpsb:B595_0853
ko:K03321	cpsb:B595_0857
ko:K00895	cpsb:B595_0704
ko:K08719	cpsb:B595_1046
ko:K02035	cpsb:B595_0166
ko:K02033	cpsb:B595_0167
ko:K00567	cpsb:B595_0169
ko:K07098	cpsb:B595_0190
ko:K00972	cpsb:B595_1044
ko:K01596	cpsb:B595_1050
ko:K00970	cpsb:B595_1057
ko:K03227	cpsb:B595_1075
ko:K01985	cpsb:B595_1161
ko:K01885	cpsb:B595_0212
ko:K00380	cpsb:B595_0227
ko:K09815	cpsb:B595_0235
ko:K01719	cpsb:B595_0258
ko:K02454	cpsb:B595_1083
ko:K01262	cpsb:B595_1086
ko:K07315	cpsb:B595_1105
ko:K00241	cpsb:B595_1112
ko:K03386	cpsb:B595_1123
ko:K02428	cpsb:B595_1128
ko:K00088	cpsb:B595_0661
ko:K02049	cpsb:B595_0681
ko:K02035	cpsb:B595_0691
ko:K02035	cpsb:B595_0692
ko:K02035	cpsb:B595_0693
ko:K15582	cpsb:B595_0695
ko:K10823	cpsb:B595_0697
ko:K15583	cpsb:B595_0698
ko:K03307	cpsb:B595_0294
ko:K03856	cpsb:B595_0296
ko:K00700	cpsb:B595_0304
ko:K01934	cpsb:B595_1141
ko:K06889	cpsb:B595_0702
ko:K06889	cpsb:B595_0710
ko:K02433	cpsb:B595_0339
ko:K03471	cpsb:B595_0344
ko:K00784	cpsb:B595_0372
ko:K02124	cpsb:B595_0785
ko:K02123	cpsb:B595_0786
ko:K02120	cpsb:B595_0787
ko:K02118	cpsb:B595_0788
ko:K02117	cpsb:B595_0789
ko:K02121	cpsb:B595_0791
ko:K00616	cpsb:B595_0794
ko:K11189	cpsb:B595_0385
ko:K08483	cpsb:B595_0386
ko:K02806	cpsb:B595_0401
ko:K02806	cpsb:B595_0402
ko:K00652	cpsb:B595_0826
ko:K04763	cpsb:B595_0844
ko:K01679	cpsb:B595_0858
ko:K02342	cpsb:B595_0443
ko:K06179	cpsb:B595_0450
ko:K07052	cpsb:B595_0454
ko:K00033	cpsb:B595_0505
ko:K00813	cpsb:B595_0007
ko:K00970	cpsb:B595_0906
ko:K03177	cpsb:B595_0538
ko:K00059	cpsb:B595_0563
ko:K07258	cpsb:B595_0084
ko:K01408	cpsb:B595_0929
ko:K01909	cpsb:B595_0962
ko:K01082	cpsb:B595_0964
ko:K01507	cpsb:B595_0967
ko:K02342	cpsb:B595_0102
ko:K02030	cpsb:B595_0156
ko:K07117	cpsb:B595_1019
ko:K06910	cpsb:B595_1020
ko:K00939	cpsb:B595_0620
ko:K01409	cpsb:B595_0630
ko:K02067	cpsb:B595_0728
ko:K11709	cpsb:B595_0515
ko:K11708	cpsb:B595_0513
ko:K11710	cpsb:B595_0512
ko:K14226	cpsb:B595_1014
ko:K14233	cpsb:B595_0879
ko:K14232	cpsb:B595_0498
ko:K14234	cpsb:B595_0051
ko:K03559	cpsb:B595_1116
ko:K14219	cpsb:B595_0029
ko:K01834	cpsb:B595_1035
ko:K11645	cpsb:B595_0579
ko:K09810	cpsb:B595_0615
ko:K14234	cpsb:B595_0607
ko:K14223	cpsb:B595_0940
ko:K14220	cpsb:B595_0747
ko:K14227	cpsb:B595_0682
ko:K02028	cpsb:B595_0633
ko:K14233	cpsb:B595_0236
ko:K01980	cpsb:B595_1162
ko:K14224	cpsb:B595_0056
ko:K17103	cpsb:B595_0892
ko:K14219	cpsb:B595_0181
ko:K04084	cpsb:B595_1114
ko:K14218	cpsb:B595_0006
ko:K14218	cpsb:B595_0683
ko:K14229	cpsb:B595_0055
ko:K14225	cpsb:B595_0062
ko:K14228	cpsb:B595_0098
ko:K14228	cpsb:B595_0136
ko:K14228	cpsb:B595_0186
ko:K14228	cpsb:B595_0175
ko:K14228	cpsb:B595_0846
ko:K14233	cpsb:B595_0144
ko:K14233	cpsb:B595_0351
ko:K14219	cpsb:B595_0434
ko:K14219	cpsb:B595_1124
ko:K14231	cpsb:B595_0230
ko:K14232	cpsb:B595_1158
ko:K14221	cpsb:B595_0602
ko:K14237	cpsb:B595_0603
ko:K14236	cpsb:B595_0608
ko:K14230	cpsb:B595_0705
ko:K14230	cpsb:B595_0706
ko:K14230	cpsb:B595_0809
ko:K14235	cpsb:B595_0804
ko:K14222	cpsb:B595_0989
ko:K01977	cpsb:B595_1163
ko:K14225	cpsb:B595_1053
ko:K14234	cpsb:B595_0806
ko:K14237	cpsb:B595_0888
ko:K01840	cpsb:B595_0397
ko:K06972	cpsb:B595_0894
ko:K07081	cpsb:B595_0264
ko:K00615	cpsb:B595_0997
ko:K00981	cpsb:B595_0203
ko:K01596	cpsb:B595_1049
ko:K03797	cpsb:B595_0218
ko:K07315	cpsb:B595_1106
ko:K04077	cpsb:B595_1125
ko:K13789	cpsb:B595_1157
ko:K03601	cpsb:B595_0359
ko:K01338	cpsb:B595_0374
ko:K03575	cpsb:B595_0452
ko:K02400	cpsb:B595_0500
ko:K03301	cpsb:B595_0508
ko:K03230	cpsb:B595_0534
ko:K06213	cpsb:B595_0575
ko:K00773	cpsb:B595_0671
ko:K00895	cpsb:B595_0703
ko:K04077	cpsb:B595_0745
ko:K00873	cpsb:B595_0778
ko:K03701	cpsb:B595_0780
ko:K03043	cpsb:B595_0797
ko:K02986	cpsb:B595_0015
ko:K06890	cpsb:B595_0901
ko:K01408	cpsb:B595_0930
ko:K00263	cpsb:B595_0965
ko:K08275	cpsb:B595_0524
ko:K08274	cpsb:B595_0842
ko:K18707	cpsb:B595_0302
ko:K03825	cpsb:B595_0194
ko:K03496	cpsb:B595_1098
ko:K03496	cpsb:B595_p0002
ko:K03111	cpsb:B595_0474
ko:K03497	cpsb:B595_0073
ko:K02626	cpsb:B595_0837
ko:K11991	cpsb:B595_0871
ko:K04771	cpsb:B595_0896
ko:K11749	cpsb:B595_0517
ko:K19405	cpsb:B595_0053
ko:K19411	cpsb:B595_0054
ko:K00500	cpsb:B595_0821
ko:K02357	cpsb:B595_0060
ko:K07033	cpsb:B595_0066
ko:K01802	cpsb:B595_0095
ko:K03309	cpsb:B595_0251
ko:K12132	cpsb:B595_0782
ko:K20074	cpsb:B595_0462
ko:K20265	cpsb:B595_0578
ko:K03980	cpsb:B595_0019
ko:K01214	cpsb:B595_0471
ko:K22099	cpsb:B595_1144
ko:K00526	cpsb:B595_0890
ko:K02314	cpsb:B595_0143
ko:K03553	cpsb:B595_1142
ko:K00287	cpsb:B595_1145
ko:K02314	cpsb:B595_p0006
ko:K01520	cpsb:B595_0400
ko:K02316	cpsb:B595_0949
ko:K02335	cpsb:B595_0148
ko:K00525	cpsb:B595_0891
ko:K02031	cpsb:B595_0075
ko:K02050	cpsb:B595_0859
ko:K02051	cpsb:B595_0859
ko:K01829	cpsb:B595_0955
ko:K01534	cpsb:B595_1030
ko:K16239	cpsb:B595_0528
