ko:K02022	rrm:RRM_02325
ko:K02434	rrm:RRM_01090
ko:K02433	rrm:RRM_01095
ko:K02435	rrm:RRM_01100
ko:K02838	rrm:RRM_01110
ko:K09903	rrm:RRM_01115
ko:K05569	rrm:RRM_01120
ko:K07277	rrm:RRM_01150
ko:K11749	rrm:RRM_01155
ko:K03625	rrm:RRM_01160
ko:K02427	rrm:RRM_01165
ko:K18588	rrm:RRM_01180
ko:K09761	rrm:RRM_01190
ko:K09779	rrm:RRM_01195
ko:K03530	rrm:RRM_01205
ko:K02341	rrm:RRM_01210
ko:K03106	rrm:RRM_01215
ko:K01322	rrm:RRM_01220
ko:K01322	rrm:RRM_01235
ko:K03926	rrm:RRM_01270
ko:K01737	rrm:RRM_01275
ko:K00658	rrm:RRM_01280
ko:K00164	rrm:RRM_01290
ko:K01299	rrm:RRM_01295
ko:K03631	rrm:RRM_01300
ko:K05807	rrm:RRM_01305
ko:K03686	rrm:RRM_01315
ko:K04043	rrm:RRM_01320
ko:K02340	rrm:RRM_01345
ko:K06134	rrm:RRM_01350
ko:K02276	rrm:RRM_01355
ko:K00645	rrm:RRM_05805
ko:K03301	rrm:RRM_05870
ko:K07042	rrm:RRM_05890
ko:K03644	rrm:RRM_05905
ko:K00600	rrm:RRM_05910
ko:K06999	rrm:RRM_05915
ko:K07390	rrm:RRM_05920
ko:K10773	rrm:RRM_05925
ko:K07056	rrm:RRM_05965
ko:K03116	rrm:RRM_05975
ko:K01095	rrm:RRM_05980
ko:K02888	rrm:RRM_05985
ko:K02899	rrm:RRM_05990
ko:K00928	rrm:RRM_05995
ko:K09888	rrm:RRM_06030
ko:K15371	rrm:RRM_06045
ko:K03650	rrm:RRM_06050
ko:K00059	rrm:RRM_06075
ko:K02078	rrm:RRM_06080
ko:K09458	rrm:RRM_06085
ko:K15738	rrm:RRM_06090
ko:K07062	rrm:RRM_06780
ko:K00336	rrm:RRM_06295
ko:K04771	rrm:RRM_00940
ko:K09690	rrm:RRM_00020
ko:K06867	rrm:RRM_01705
ko:K11528	rrm:RRM_04175
ko:K09691	rrm:RRM_00015
ko:K14234	rrm:RRM_06990
ko:K14230	rrm:RRM_06130
ko:K14225	rrm:RRM_05255
ko:K14236	rrm:RRM_05260
ko:K14220	rrm:RRM_02030
ko:K14222	rrm:RRM_02625
ko:K14227	rrm:RRM_02845
ko:K14237	rrm:RRM_04020
ko:K14228	rrm:RRM_05310
ko:K14228	rrm:RRM_04620
ko:K14228	rrm:RRM_06940
ko:K14231	rrm:RRM_00090
ko:K14224	rrm:RRM_00150
ko:K14234	rrm:RRM_00665
ko:K14234	rrm:RRM_01145
ko:K14230	rrm:RRM_00810
ko:K14230	rrm:RRM_01750
ko:K14235	rrm:RRM_00990
ko:K01985	rrm:RRM_01545
ko:K14232	rrm:RRM_06480
ko:K01980	rrm:RRM_01540
ko:K14229	rrm:RRM_02840
ko:K14221	rrm:RRM_03415
ko:K14233	rrm:RRM_03780
ko:K14233	rrm:RRM_04180
ko:K14233	rrm:RRM_05825
ko:K14219	rrm:RRM_03870
ko:K14219	rrm:RRM_04390
ko:K14219	rrm:RRM_06690
ko:K14223	rrm:RRM_03875
ko:K14223	rrm:RRM_03880
ko:K14223	rrm:RRM_03885
ko:K14218	rrm:RRM_03995
ko:K14218	rrm:RRM_04575
ko:K14237	rrm:RRM_05100
ko:K01977	rrm:RRM_04885
ko:K14225	rrm:RRM_04635
ko:K14226	rrm:RRM_05575
ko:K09796	rrm:RRM_04525
ko:K00507	rrm:RRM_00395
ko:K03198	rrm:RRM_00825
ko:K03199	rrm:RRM_06225
ko:K04755	rrm:RRM_01445
ko:K03195	rrm:RRM_02140
ko:K03199	rrm:RRM_00830
ko:K01520	rrm:RRM_02965
ko:K06223	rrm:RRM_04120
ko:K02314	rrm:RRM_04265
ko:K00287	rrm:RRM_00235
ko:K00558	rrm:RRM_00435
ko:K06197	rrm:RRM_01310
ko:K03553	rrm:RRM_06070
ko:K03676	rrm:RRM_01470
ko:K03465	rrm:RRM_02215
ko:K02316	rrm:RRM_06825
ko:K06889	rrm:RRM_02505
ko:K06900	rrm:RRM_04775
ko:K06148	rrm:RRM_02335
ko:K00525	rrm:RRM_03500
ko:K00526	rrm:RRM_03505
ko:K02335	rrm:RRM_06165
ko:K21498	rrm:RRM_02045
ko:K10026	rrm:RRM_04820
ko:K21929	rrm:RRM_06740
ko:K03595	rrm:RRM_00905
ko:K11991	rrm:RRM_06610
ko:K02257	rrm:RRM_02530
