ko:K19405	cthf:CTRC852_03640
ko:K01695	cthf:CTRC852_00925
ko:K03611	cthf:CTRC852_00950
ko:K00979	cthf:CTRC852_00980
ko:K01937	cthf:CTRC852_00985
ko:K07447	cthf:CTRC852_00990
ko:K00036	cthf:CTRC852_00995
ko:K01057	cthf:CTRC852_01000
ko:K02343	cthf:CTRC852_01005
ko:K00943	cthf:CTRC852_01010
ko:K02469	cthf:CTRC852_01015
ko:K01868	cthf:CTRC852_03115
ko:K01867	cthf:CTRC852_03135
ko:K03702	cthf:CTRC852_03140
ko:K01689	cthf:CTRC852_03145
ko:K00240	cthf:CTRC852_03165
ko:K03424	cthf:CTRC852_03185
ko:K03562	cthf:CTRC852_03195
ko:K03641	cthf:CTRC852_03210
ko:K03640	cthf:CTRC852_03215
ko:K03648	cthf:CTRC852_03255
ko:K03657	cthf:CTRC852_03260
ko:K03092	cthf:CTRC852_03265
ko:K06137	cthf:CTRC852_03270
ko:K13941	cthf:CTRC852_03285
ko:K01633	cthf:CTRC852_03290
ko:K03086	cthf:CTRC852_03295
ko:K02968	cthf:CTRC852_03305
ko:K03980	cthf:CTRC852_03345
ko:K01151	cthf:CTRC852_03350
ko:K02986	cthf:CTRC852_03360
ko:K01962	cthf:CTRC852_01405
ko:K01448	cthf:CTRC852_01420
ko:K01928	cthf:CTRC852_01425
ko:K03587	cthf:CTRC852_01430
ko:K03438	cthf:CTRC852_01440
ko:K02313	cthf:CTRC852_01455
ko:K00347	cthf:CTRC852_01470
ko:K00348	cthf:CTRC852_01475
ko:K00349	cthf:CTRC852_01480
ko:K00350	cthf:CTRC852_01485
ko:K02437	cthf:CTRC852_01490
ko:K03800	cthf:CTRC852_01505
ko:K03696	cthf:CTRC852_01510
ko:K00566	cthf:CTRC852_01515
ko:K03210	cthf:CTRC852_04160
ko:K01599	cthf:CTRC852_04195
ko:K03723	cthf:CTRC852_04200
ko:K01872	cthf:CTRC852_04205
ko:K00615	cthf:CTRC852_04215
ko:K01241	cthf:CTRC852_04220
ko:K02356	cthf:CTRC852_04230
ko:K01929	cthf:CTRC852_04250
ko:K01000	cthf:CTRC852_04255
ko:K01925	cthf:CTRC852_04260
ko:K03588	cthf:CTRC852_04270
ko:K02563	cthf:CTRC852_04275
ko:K06960	cthf:CTRC852_04285
ko:K00791	cthf:CTRC852_04300
ko:K09710	cthf:CTRC852_04315
ko:K09458	cthf:CTRC852_04320
ko:K00263	cthf:CTRC852_04335
ko:K14226	cthf:CTRC852_t04974
ko:K01980	cthf:CTRC852_r04998
ko:K01980	cthf:CTRC852_r05002
ko:K01980	cthf:CTRC852_r05000
ko:K01985	cthf:CTRC852_r04986
ko:K01985	cthf:CTRC852_r04990
ko:K01985	cthf:CTRC852_r04988
ko:K14222	cthf:CTRC852_t04976
ko:K14223	cthf:CTRC852_t04978
ko:K14233	cthf:CTRC852_t04982
ko:K03523	cthf:CTRC852_01915
ko:K01714	cthf:CTRC852_01930
ko:K00928	cthf:CTRC852_01935
ko:K00133	cthf:CTRC852_01940
ko:K00215	cthf:CTRC852_01945
ko:K00800	cthf:CTRC852_01955
ko:K00891	cthf:CTRC852_01960
ko:K01736	cthf:CTRC852_01965
ko:K01735	cthf:CTRC852_01970
ko:K13832	cthf:CTRC852_01975
ko:K03758	cthf:CTRC852_01995
ko:K00024	cthf:CTRC852_02005
ko:K01810	cthf:CTRC852_02015
ko:K03665	cthf:CTRC852_02020
ko:K09779	cthf:CTRC852_00010
ko:K02435	cthf:CTRC852_00015
ko:K02434	cthf:CTRC852_00025
ko:K02517	cthf:CTRC852_00060
ko:K00425	cthf:CTRC852_00075
ko:K00426	cthf:CTRC852_00080
ko:K07175	cthf:CTRC852_00085
ko:K01870	cthf:CTRC852_00105
ko:K03100	cthf:CTRC852_00110
ko:K00806	cthf:CTRC852_02415
ko:K00981	cthf:CTRC852_02425
ko:K00945	cthf:CTRC852_02430
ko:K00655	cthf:CTRC852_02435
ko:K01887	cthf:CTRC852_02440
ko:K00790	cthf:CTRC852_02445
ko:K02836	cthf:CTRC852_02465
ko:K00991	cthf:CTRC852_02480
ko:K06173	cthf:CTRC852_02485
ko:K07710	cthf:CTRC852_02505
ko:K07714	cthf:CTRC852_02510
ko:K03584	cthf:CTRC852_02520
ko:K02470	cthf:CTRC852_01020
ko:K00773	cthf:CTRC852_01035
ko:K06213	cthf:CTRC852_01040
ko:K15580	cthf:CTRC852_01060
ko:K15581	cthf:CTRC852_01065
ko:K03319	cthf:CTRC852_01090
ko:K00850	cthf:CTRC852_01095
ko:K00895	cthf:CTRC852_01105
ko:K02527	cthf:CTRC852_01110
ko:K01869	cthf:CTRC852_01115
ko:K01845	cthf:CTRC852_01120
ko:K07735	cthf:CTRC852_01125
ko:K08999	cthf:CTRC852_01130
ko:K01807	cthf:CTRC852_01135
ko:K07146	cthf:CTRC852_03365
ko:K13789	cthf:CTRC852_03370
ko:K01698	cthf:CTRC852_03400
ko:K00346	cthf:CTRC852_03405
ko:K03582	cthf:CTRC852_03430
ko:K03583	cthf:CTRC852_03435
ko:K03168	cthf:CTRC852_03455
ko:K02221	cthf:CTRC852_03465
ko:K03581	cthf:CTRC852_03510
ko:K06861	cthf:CTRC852_03520
ko:K01627	cthf:CTRC852_03530
ko:K06180	cthf:CTRC852_03550
ko:K06960	cthf:CTRC852_03555
ko:K02469	cthf:CTRC852_03560
ko:K02470	cthf:CTRC852_03565
ko:K02492	cthf:CTRC852_03570
ko:K03224	cthf:CTRC852_03610
ko:K01963	cthf:CTRC852_01550
ko:K04564	cthf:CTRC852_01555
ko:K03685	cthf:CTRC852_01570
ko:K04485	cthf:CTRC852_01575
ko:K01749	cthf:CTRC852_01580
ko:K01873	cthf:CTRC852_01590
ko:K03046	cthf:CTRC852_01650
ko:K00655	cthf:CTRC852_04345
ko:K04066	cthf:CTRC852_04360
ko:K04567	cthf:CTRC852_04380
ko:K01883	cthf:CTRC852_04385
ko:K03536	cthf:CTRC852_04395
ko:K02919	cthf:CTRC852_04400
ko:K02954	cthf:CTRC852_04405
ko:K03703	cthf:CTRC852_04430
ko:K03555	cthf:CTRC852_04435
ko:K14164	cthf:CTRC852_04455
ko:K00995	cthf:CTRC852_04465
ko:K00703	cthf:CTRC852_04470
ko:K02897	cthf:CTRC852_04475
ko:K01056	cthf:CTRC852_04480
ko:K02990	cthf:CTRC852_04485
ko:K02963	cthf:CTRC852_04490
ko:K02939	cthf:CTRC852_04495
ko:K00919	cthf:CTRC852_04500
ko:K00630	cthf:CTRC852_04520
ko:K08301	cthf:CTRC852_04525
ko:K02911	cthf:CTRC852_04535
ko:K03621	cthf:CTRC852_04540
ko:K03431	cthf:CTRC852_04570
ko:K00820	cthf:CTRC852_04575
ko:K03834	cthf:CTRC852_04580
ko:K03834	cthf:CTRC852_04590
ko:K06890	cthf:CTRC852_04595
ko:K06167	cthf:CTRC852_02025
ko:K09996	cthf:CTRC852_02030
ko:K06966	cthf:CTRC852_02065
ko:K09131	cthf:CTRC852_02070
ko:K10206	cthf:CTRC852_02080
ko:K01881	cthf:CTRC852_02095
ko:K03705	cthf:CTRC852_02100
ko:K03687	cthf:CTRC852_02105
ko:K04043	cthf:CTRC852_02110
ko:K12573	cthf:CTRC852_02115
ko:K07164	cthf:CTRC852_02120
ko:K06041	cthf:CTRC852_02125
ko:K00658	cthf:CTRC852_02130
ko:K00912	cthf:CTRC852_02140
ko:K03437	cthf:CTRC852_02145
ko:K06969	cthf:CTRC852_02150
ko:K00793	cthf:CTRC852_02155
ko:K07738	cthf:CTRC852_02160
ko:K02909	cthf:CTRC852_00120
ko:K02835	cthf:CTRC852_00125
ko:K02493	cthf:CTRC852_00130
ko:K03106	cthf:CTRC852_00135
ko:K02959	cthf:CTRC852_00140
ko:K00554	cthf:CTRC852_00145
ko:K02884	cthf:CTRC852_00150
ko:K03470	cthf:CTRC852_00155
ko:K00942	cthf:CTRC852_00160
ko:K01874	cthf:CTRC852_00170
ko:K03581	cthf:CTRC852_00175
ko:K01494	cthf:CTRC852_00205
ko:K03551	cthf:CTRC852_00215
ko:K01255	cthf:CTRC852_00240
ko:K02340	cthf:CTRC852_00250
ko:K07056	cthf:CTRC852_00255
ko:K00164	cthf:CTRC852_00290
ko:K00658	cthf:CTRC852_00295
ko:K05810	cthf:CTRC852_00300
ko:K03526	cthf:CTRC852_00305
ko:K02400	cthf:CTRC852_00320
ko:K02405	cthf:CTRC852_00325
ko:K01866	cthf:CTRC852_00330
ko:K03596	cthf:CTRC852_00340
ko:K03301	cthf:CTRC852_00345
ko:K01890	cthf:CTRC852_02550
ko:K02034	cthf:CTRC852_02565
ko:K01772	cthf:CTRC852_02615
ko:K07099	cthf:CTRC852_02630
ko:K00975	cthf:CTRC852_02635
ko:K03628	cthf:CTRC852_02645
ko:K00859	cthf:CTRC852_02650
ko:K03301	cthf:CTRC852_02665
ko:K00995	cthf:CTRC852_02670
ko:K14234	cthf:CTRC852_t04964
ko:K03787	cthf:CTRC852_01160
ko:K03179	cthf:CTRC852_01165
ko:K03186	cthf:CTRC852_01170
ko:K03308	cthf:CTRC852_01230
ko:K02078	cthf:CTRC852_01255
ko:K00645	cthf:CTRC852_01265
ko:K02417	cthf:CTRC852_03625
ko:K03219	cthf:CTRC852_03635
ko:K02838	cthf:CTRC852_03650
ko:K09903	cthf:CTRC852_03655
ko:K02357	cthf:CTRC852_03660
ko:K02967	cthf:CTRC852_03665
ko:K03162	cthf:CTRC852_03675
ko:K09013	cthf:CTRC852_03705
ko:K09015	cthf:CTRC852_03710
ko:K11717	cthf:CTRC852_03715
ko:K07220	cthf:CTRC852_03735
ko:K03306	cthf:CTRC852_03740
ko:K00927	cthf:CTRC852_03745
ko:K10773	cthf:CTRC852_03770
ko:K03650	cthf:CTRC852_03775
ko:K01613	cthf:CTRC852_03780
ko:K03070	cthf:CTRC852_03790
ko:K03977	cthf:CTRC852_03800
ko:K03544	cthf:CTRC852_03810
ko:K01358	cthf:CTRC852_03815
ko:K03545	cthf:CTRC852_03820
ko:K03569	cthf:CTRC852_03835
ko:K00057	cthf:CTRC852_03860
ko:K03043	cthf:CTRC852_01655
ko:K02935	cthf:CTRC852_01660
ko:K02864	cthf:CTRC852_01665
ko:K02863	cthf:CTRC852_01670
ko:K02867	cthf:CTRC852_01675
ko:K02601	cthf:CTRC852_01680
ko:K03073	cthf:CTRC852_01685
ko:K02358	cthf:CTRC852_01690
ko:K02518	cthf:CTRC852_01695
ko:K01803	cthf:CTRC852_01740
ko:K03601	cthf:CTRC852_01745
ko:K03602	cthf:CTRC852_01750
ko:K01662	cthf:CTRC852_01760
ko:K00873	cthf:CTRC852_01765
ko:K03701	cthf:CTRC852_01770
ko:K03110	cthf:CTRC852_04600
ko:K01903	cthf:CTRC852_04605
ko:K01902	cthf:CTRC852_04610
ko:K09760	cthf:CTRC852_04625
ko:K17103	cthf:CTRC852_04630
ko:K03439	cthf:CTRC852_04645
ko:K00075	cthf:CTRC852_04655
ko:K03625	cthf:CTRC852_04665
ko:K02916	cthf:CTRC852_04675
ko:K02887	cthf:CTRC852_04680
ko:K01889	cthf:CTRC852_04685
ko:K11720	cthf:CTRC852_04700
ko:K07091	cthf:CTRC852_04705
ko:K04075	cthf:CTRC852_04710
ko:K14225	cthf:CTRC852_t04970
ko:K14228	cthf:CTRC852_t04948
ko:K00099	cthf:CTRC852_00380
ko:K03629	cthf:CTRC852_00395
ko:K02338	cthf:CTRC852_00400
ko:K03664	cthf:CTRC852_00405
ko:K03734	cthf:CTRC852_00410
ko:K01491	cthf:CTRC852_00415
ko:K02902	cthf:CTRC852_00450
ko:K04058	cthf:CTRC852_00470
ko:K03230	cthf:CTRC852_00475
ko:K03229	cthf:CTRC852_00480
ko:K06942	cthf:CTRC852_00485
ko:K11753	cthf:CTRC852_00490
ko:K02834	cthf:CTRC852_00500
ko:K02519	cthf:CTRC852_00505
ko:K02600	cthf:CTRC852_00510
ko:K02945	cthf:CTRC852_00515
ko:K00384	cthf:CTRC852_00520
ko:K00997	cthf:CTRC852_00525
ko:K00208	cthf:CTRC852_00550
ko:K03575	cthf:CTRC852_00570
ko:K04077	cthf:CTRC852_00585
ko:K04078	cthf:CTRC852_00590
ko:K08602	cthf:CTRC852_00595
ko:K03695	cthf:CTRC852_00605
ko:K01783	cthf:CTRC852_00650
ko:K02356	cthf:CTRC852_00655
ko:K02160	cthf:CTRC852_00660
ko:K01961	cthf:CTRC852_00665
ko:K03495	cthf:CTRC852_02690
ko:K03800	cthf:CTRC852_02695
ko:K00940	cthf:CTRC852_02700
ko:K03550	cthf:CTRC852_02705
ko:K01159	cthf:CTRC852_02710
ko:K00134	cthf:CTRC852_02725
ko:K02879	cthf:CTRC852_02730
ko:K03040	cthf:CTRC852_02735
ko:K02948	cthf:CTRC852_02740
ko:K02952	cthf:CTRC852_02745
ko:K03076	cthf:CTRC852_02750
ko:K02876	cthf:CTRC852_02755
ko:K02988	cthf:CTRC852_02760
ko:K02881	cthf:CTRC852_02765
ko:K02933	cthf:CTRC852_02770
ko:K02994	cthf:CTRC852_02775
ko:K02931	cthf:CTRC852_02780
ko:K02895	cthf:CTRC852_02785
ko:K02874	cthf:CTRC852_02790
ko:K02961	cthf:CTRC852_02795
ko:K02904	cthf:CTRC852_02800
ko:K02878	cthf:CTRC852_02805
ko:K02982	cthf:CTRC852_02810
ko:K02890	cthf:CTRC852_02815
ko:K02965	cthf:CTRC852_02820
ko:K02886	cthf:CTRC852_02825
ko:K02892	cthf:CTRC852_02830
ko:K02926	cthf:CTRC852_02835
ko:K03798	cthf:CTRC852_04715
ko:K00962	cthf:CTRC852_04720
ko:K02956	cthf:CTRC852_04725
ko:K01265	cthf:CTRC852_04775
ko:K03321	cthf:CTRC852_04800
ko:K03527	cthf:CTRC852_04815
ko:K14232	cthf:CTRC852_t04914
ko:K06204	cthf:CTRC852_02165
ko:K03101	cthf:CTRC852_02170
ko:K03310	cthf:CTRC852_02175
ko:K00748	cthf:CTRC852_02185
ko:K09817	cthf:CTRC852_02210
ko:K09816	cthf:CTRC852_02215
ko:K03979	cthf:CTRC852_02220
ko:K02899	cthf:CTRC852_02225
ko:K02888	cthf:CTRC852_02230
ko:K07042	cthf:CTRC852_02250
ko:K03183	cthf:CTRC852_02280
ko:K14237	cthf:CTRC852_t04930
ko:K14230	cthf:CTRC852_t04926
ko:K01977	cthf:CTRC852_r04994
ko:K01977	cthf:CTRC852_r04992
ko:K01977	cthf:CTRC852_r04996
ko:K14220	cthf:CTRC852_t04912
ko:K14234	cthf:CTRC852_t04916
ko:K14234	cthf:CTRC852_t04934
ko:K14236	cthf:CTRC852_t04918
ko:K01719	cthf:CTRC852_02310
ko:K00380	cthf:CTRC852_02320
ko:K01885	cthf:CTRC852_02380
ko:K02806	cthf:CTRC852_01535
ko:K02806	cthf:CTRC852_01540
ko:K02124	cthf:CTRC852_01600
ko:K02123	cthf:CTRC852_01605
ko:K02120	cthf:CTRC852_01610
ko:K02118	cthf:CTRC852_01615
ko:K02117	cthf:CTRC852_01620
ko:K02121	cthf:CTRC852_01630
ko:K00616	cthf:CTRC852_01645
ko:K01082	cthf:CTRC852_04340
ko:K01909	cthf:CTRC852_04350
ko:K00652	cthf:CTRC852_04355
ko:K01408	cthf:CTRC852_04515
ko:K02433	cthf:CTRC852_00020
ko:K03471	cthf:CTRC852_00050
ko:K07098	cthf:CTRC852_02475
ko:K14225	cthf:CTRC852_t04972
ko:K00351	cthf:CTRC852_04155
ko:K00231	cthf:CTRC852_04185
ko:K00033	cthf:CTRC852_00335
ko:K11707	cthf:CTRC852_00360
ko:K11710	cthf:CTRC852_00365
ko:K11708	cthf:CTRC852_00370
ko:K11709	cthf:CTRC852_00375
ko:K00567	cthf:CTRC852_02560
ko:K02033	cthf:CTRC852_02570
ko:K02035	cthf:CTRC852_02575
ko:K02030	cthf:CTRC852_02620
ko:K03177	cthf:CTRC852_00495
ko:K06179	cthf:CTRC852_00565
ko:K01679	cthf:CTRC852_04795
ko:K08483	cthf:CTRC852_01785
ko:K11189	cthf:CTRC852_01790
ko:K00784	cthf:CTRC852_01845
ko:K04763	cthf:CTRC852_04845
ko:K00700	cthf:CTRC852_04855
ko:K00939	cthf:CTRC852_00690
ko:K02028	cthf:CTRC852_00700
ko:K02035	cthf:CTRC852_00750
ko:K06889	cthf:CTRC852_00805
ko:K02342	cthf:CTRC852_02880
ko:K07258	cthf:CTRC852_02960
ko:K03227	cthf:CTRC852_03025
ko:K02454	cthf:CTRC852_03065
ko:K01262	cthf:CTRC852_03080
ko:K02035	cthf:CTRC852_00945
ko:K02049	cthf:CTRC852_00970
ko:K07315	cthf:CTRC852_03150
ko:K00241	cthf:CTRC852_03180
ko:K03386	cthf:CTRC852_03230
ko:K02428	cthf:CTRC852_03245
ko:K03856	cthf:CTRC852_02035
ko:K01409	cthf:CTRC852_01055
ko:K15582	cthf:CTRC852_01070
ko:K10823	cthf:CTRC852_01075
ko:K15583	cthf:CTRC852_01080
ko:K06889	cthf:CTRC852_01100
ko:K00813	cthf:CTRC852_03420
ko:K01934	cthf:CTRC852_03485
ko:K00059	cthf:CTRC852_01260
ko:K00970	cthf:CTRC852_03805
ko:K01596	cthf:CTRC852_03840
ko:K07052	cthf:CTRC852_01345
ko:K02342	cthf:CTRC852_01385
ko:K00972	cthf:CTRC852_03865
ko:K01834	cthf:CTRC852_03905
ko:K06910	cthf:CTRC852_03980
ko:K07117	cthf:CTRC852_03985
ko:K00970	cthf:CTRC852_02180
ko:K09815	cthf:CTRC852_02205
ko:K07491	cthf:CTRC852_04140
ko:K01507	cthf:CTRC852_04330
ko:K14237	cthf:CTRC852_t04980
ko:K01840	cthf:CTRC852_01560
ko:K06972	cthf:CTRC852_04620
ko:K11645	cthf:CTRC852_01145
ko:K08274	cthf:CTRC852_02010
ko:K07081	cthf:CTRC852_02275
ko:K22100	cthf:CTRC852_01735
ko:K02520	cthf:CTRC852_04670
ko:K18476	cthf:CTRC852_04135
ko:K08275	cthf:CTRC852_00425
ko:K01802	cthf:CTRC852_02905
ko:K03309	cthf:CTRC852_02135
ko:K08719	cthf:CTRC852_03855
ko:K01921	cthf:CTRC852_04280
ko:K01924	cthf:CTRC852_04280
ko:K01829	cthf:CTRC852_04370
ko:K01829	cthf:CTRC852_04390
ko:K07033	cthf:CTRC852_03700
ko:K01214	cthf:CTRC852_00225
ko:K07171	cthf:CTRC852_04080
ko:K03825	cthf:CTRC852_02460
ko:K03111	cthf:CTRC852_00235
ko:K03496	cthf:CTRC852_03120
ko:K03497	cthf:CTRC852_03720
ko:K02626	cthf:CTRC852_01990
ko:K11991	cthf:CTRC852_04730
ko:K04771	cthf:CTRC852_04615
ko:K19411	cthf:CTRC852_03645
ko:K07496	cthf:CTRC852_04145
ko:K02031	cthf:CTRC852_03730
ko:K07125	cthf:CTRC852_01710
ko:K12132	cthf:CTRC852_01585
ko:K20265	cthf:CTRC852_01150
ko:K20074	cthf:CTRC852_01370
ko:K11749	cthf:CTRC852_00385
ko:K22099	cthf:CTRC852_03275
ko:K00526	cthf:CTRC852_04640
ko:K02335	cthf:CTRC852_02655
ko:K02314	cthf:CTRC852_02685
ko:K00287	cthf:CTRC852_03280
ko:K03553	cthf:CTRC852_03495
ko:K01520	cthf:CTRC852_01545
ko:K02316	cthf:CTRC852_04440
ko:K02032	cthf:CTRC852_03725
ko:K00525	cthf:CTRC852_04635
ko:K02050	cthf:CTRC852_04790
ko:K02051	cthf:CTRC852_04790
ko:K01534	cthf:CTRC852_03935
ko:K16239	cthf:CTRC852_00445
