ko:K06896	efl:EF62_1332
ko:K03637	efl:EF62_1844
ko:K03639	efl:EF62_1845
ko:K02774	efl:EF62_2596
ko:K02773	efl:EF62_2597
ko:K01625	efl:EF62_2598
ko:K03427	efl:EF62_2602
ko:K03427	efl:EF62_2603
ko:K09014	efl:EF62_2612
ko:K11717	efl:EF62_2614
ko:K09015	efl:EF62_2615
ko:K09013	efl:EF62_2616
ko:K02838	efl:EF62_2617
ko:K09903	efl:EF62_2618
ko:K02357	efl:EF62_2619
ko:K02967	efl:EF62_2620
ko:K03826	efl:EF62_2621
ko:K03437	efl:EF62_2622
ko:K01512	efl:EF62_2623
ko:K03217	efl:EF62_2624
ko:K01879	efl:EF62_2626
ko:K01878	efl:EF62_2627
ko:K03584	efl:EF62_2628
ko:K07042	efl:EF62_2631
ko:K07037	efl:EF62_2632
ko:K09117	efl:EF62_2634
ko:K02970	efl:EF62_2635
ko:K09773	efl:EF62_2637
ko:K00872	efl:EF62_2638
ko:K01733	efl:EF62_2639
ko:K00003	efl:EF62_2640
ko:K15580	efl:EF62_1280
ko:K15581	efl:EF62_1282
ko:K08987	efl:EF62_1291
ko:K02528	efl:EF62_1309
ko:K01734	efl:EF62_1312
ko:K03648	efl:EF62_1321
ko:K06925	efl:EF62_1323
ko:K02529	efl:EF62_1327
ko:K00286	efl:EF62_1333
ko:K01443	efl:EF62_1760
ko:K02003	efl:EF62_1763
ko:K03710	efl:EF62_1773
ko:K07058	efl:EF62_2494
ko:K01265	efl:EF62_2495
ko:K06973	efl:EF62_2504
ko:K02818	efl:EF62_2507
ko:K02819	efl:EF62_2507
ko:K07718	efl:EF62_2513
ko:K01867	efl:EF62_2523
ko:K02529	efl:EF62_2534
ko:K00286	efl:EF62_2642
ko:K00940	efl:EF62_1473
ko:K09758	efl:EF62_1474
ko:K03979	efl:EF62_1909
ko:K02761	efl:EF62_1911
ko:K05896	efl:EF62_1918
ko:K06024	efl:EF62_1919
ko:K06178	efl:EF62_1920
ko:K03654	efl:EF62_1925
ko:K00945	efl:EF62_1927
ko:K02945	efl:EF62_1928
ko:K03977	efl:EF62_1929
ko:K03530	efl:EF62_1930
ko:K00215	efl:EF62_1936
ko:K00014	efl:EF62_1941
ko:K01735	efl:EF62_1943
ko:K01736	efl:EF62_1944
ko:K00800	efl:EF62_1946
ko:K00891	efl:EF62_1947
ko:K15738	efl:EF62_1955
ko:K01356	efl:EF62_1959
ko:K00615	efl:EF62_1961
ko:K01738	efl:EF62_1964
ko:K01464	efl:EF62_2749
ko:K12527	efl:EF62_2750
ko:K01928	efl:EF62_2753
ko:K01809	efl:EF62_2757
ko:K00942	efl:EF62_2763
ko:K07507	efl:EF62_0789
ko:K03744	efl:EF62_0790
ko:K06872	efl:EF62_0791
ko:K01223	efl:EF62_2764
ko:K01118	efl:EF62_2768
ko:K02781	efl:EF62_2770
ko:K00790	efl:EF62_2772
ko:K02114	efl:EF62_2774
ko:K02112	efl:EF62_2775
ko:K02115	efl:EF62_2776
ko:K02111	efl:EF62_2777
ko:K02113	efl:EF62_2778
ko:K02109	efl:EF62_2779
ko:K02110	efl:EF62_2780
ko:K02108	efl:EF62_2781
ko:K03664	efl:EF62_2782
ko:K12573	efl:EF62_2783
ko:K03928	efl:EF62_2784
ko:K03075	efl:EF62_2785
ko:K06975	efl:EF62_2786
ko:K00763	efl:EF62_2790
ko:K04077	efl:EF62_2795
ko:K04078	efl:EF62_2796
ko:K04758	efl:EF62_0796
ko:K04759	efl:EF62_0797
ko:K00077	efl:EF62_0814
ko:K03657	efl:EF62_0818
ko:K02760	efl:EF62_1450
ko:K02759	efl:EF62_1451
ko:K02761	efl:EF62_1452
ko:K09773	efl:EF62_1460
ko:K14205	efl:EF62_1461
ko:K01926	efl:EF62_2799
ko:K01875	efl:EF62_0352
ko:K06942	efl:EF62_0356
ko:K03501	efl:EF62_0360
ko:K02781	efl:EF62_0364
ko:K03495	efl:EF62_0370
ko:K03650	efl:EF62_0371
ko:K05964	efl:EF62_0377
ko:K01643	efl:EF62_0378
ko:K01644	efl:EF62_0379
ko:K01646	efl:EF62_0380
ko:K01910	efl:EF62_0381
ko:K03300	efl:EF62_0386
ko:K03217	efl:EF62_0390
ko:K03536	efl:EF62_0391
ko:K02520	efl:EF62_1287
ko:K02916	efl:EF62_1288
ko:K02887	efl:EF62_1289
ko:K03827	efl:EF62_1292
ko:K01874	efl:EF62_1303
ko:K03657	efl:EF62_1306
ko:K03424	efl:EF62_1307
ko:K05985	efl:EF62_1308
ko:K11753	efl:EF62_1737
ko:K05837	efl:EF62_1743
ko:K01531	efl:EF62_1746
ko:K03705	efl:EF62_1748
ko:K03687	efl:EF62_1749
ko:K04043	efl:EF62_1750
ko:K03686	efl:EF62_1752
ko:K06959	efl:EF62_1754
ko:K14260	efl:EF62_1757
ko:K02073	efl:EF62_2442
ko:K02072	efl:EF62_2443
ko:K02071	efl:EF62_2444
ko:K00820	efl:EF62_2451
ko:K03431	efl:EF62_2455
ko:K03737	efl:EF62_2458
ko:K01915	efl:EF62_2460
ko:K03665	efl:EF62_2462
ko:K00791	efl:EF62_2463
ko:K01126	efl:EF62_2464
ko:K00991	efl:EF62_2472
ko:K00067	efl:EF62_2486
ko:K01790	efl:EF62_2488
ko:K00973	efl:EF62_2489
ko:K13256	efl:EF62_1406
ko:K03625	efl:EF62_1412
ko:K01491	efl:EF62_1413
ko:K03601	efl:EF62_1414
ko:K03602	efl:EF62_1415
ko:K13789	efl:EF62_1416
ko:K06442	efl:EF62_1417
ko:K03402	efl:EF62_1418
ko:K03631	efl:EF62_1419
ko:K03284	efl:EF62_1421
ko:K03925	efl:EF62_1422
ko:K02020	efl:EF62_1849
ko:K02018	efl:EF62_1850
ko:K01534	efl:EF62_1852
ko:K09888	efl:EF62_1853
ko:K07456	efl:EF62_1855
ko:K03671	efl:EF62_1856
ko:K03703	efl:EF62_1857
ko:K07007	efl:EF62_1865
ko:K00262	efl:EF62_1866
ko:K01810	efl:EF62_1867
ko:K00364	efl:EF62_2647
ko:K07106	efl:EF62_2654
ko:K06153	efl:EF62_2658
ko:K07220	efl:EF62_2660
ko:K03306	efl:EF62_2661
ko:K02968	efl:EF62_2662
ko:K00077	efl:EF62_2664
ko:K02340	efl:EF62_2665
ko:K02237	efl:EF62_2668
ko:K00954	efl:EF62_2670
ko:K03588	efl:EF62_2676
ko:K03654	efl:EF62_2678
ko:K06207	efl:EF62_2679
ko:K06950	efl:EF62_2688
ko:K01887	efl:EF62_2689
ko:K03789	efl:EF62_2691
ko:K03789	efl:EF62_2692
ko:K03655	efl:EF62_0179
ko:K07707	efl:EF62_0182
ko:K02902	efl:EF62_0186
ko:K01783	efl:EF62_0188
ko:K06949	efl:EF62_0189
ko:K03500	efl:EF62_0192
ko:K00604	efl:EF62_0193
ko:K01462	efl:EF62_0194
ko:K04066	efl:EF62_0195
ko:K06158	efl:EF62_2800
ko:K03060	efl:EF62_0196
ko:K00942	efl:EF62_0197
ko:K01625	efl:EF62_0204
ko:K01686	efl:EF62_0205
ko:K08317	efl:EF62_0210
ko:K00995	efl:EF62_0215
ko:K03282	efl:EF62_0225
ko:K01442	efl:EF62_0879
ko:K01811	efl:EF62_0923
ko:K01805	efl:EF62_0928
ko:K01153	efl:EF62_0931
ko:K15580	efl:EF62_1514
ko:K02911	efl:EF62_0912
ko:K03320	efl:EF62_0915
ko:K15580	efl:EF62_0448
ko:K03550	efl:EF62_0451
ko:K03551	efl:EF62_0452
ko:K03931	efl:EF62_0454
ko:K01752	efl:EF62_0483
ko:K01752	efl:EF62_0484
ko:K01875	efl:EF62_0485
ko:K03402	efl:EF62_0487
ko:K03402	efl:EF62_0488
ko:K00611	efl:EF62_0490
ko:K00926	efl:EF62_0491
ko:K08153	efl:EF62_1530
ko:K00849	efl:EF62_1522
ko:K00965	efl:EF62_1524
ko:K02529	efl:EF62_1525
ko:K04029	efl:EF62_2017
ko:K02013	efl:EF62_2018
ko:K02015	efl:EF62_2019
ko:K02016	efl:EF62_2020
ko:K08591	efl:EF62_2021
ko:K03706	efl:EF62_2023
ko:K03667	efl:EF62_2024
ko:K01419	efl:EF62_2025
ko:K03733	efl:EF62_2026
ko:K04094	efl:EF62_2027
ko:K03168	efl:EF62_2028
ko:K04096	efl:EF62_2030
ko:K03470	efl:EF62_2031
ko:K14540	efl:EF62_2032
ko:K00077	efl:EF62_2033
ko:K09699	efl:EF62_2036
ko:K00167	efl:EF62_2037
ko:K00166	efl:EF62_2038
ko:K00382	efl:EF62_2039
ko:K15973	efl:EF62_2046
ko:K15975	efl:EF62_2047
ko:K06999	efl:EF62_2048
ko:K02003	efl:EF62_2051
ko:K03100	efl:EF62_2056
ko:K03797	efl:EF62_2057
ko:K11068	efl:EF62_2063
ko:K00759	efl:EF62_2065
ko:K03575	efl:EF62_2862
ko:K03565	efl:EF62_2863
ko:K12111	efl:EF62_2866
ko:K02935	efl:EF62_2870
ko:K02864	efl:EF62_2871
ko:K02863	efl:EF62_2872
ko:K02867	efl:EF62_2873
ko:K01752	efl:EF62_2875
ko:K01752	efl:EF62_2876
ko:K15580	efl:EF62_2879
ko:K02601	efl:EF62_2882
ko:K03073	efl:EF62_2883
ko:K02913	efl:EF62_2884
ko:K00075	efl:EF62_2887
ko:K01142	efl:EF62_2889
ko:K00384	efl:EF62_2892
ko:K03800	efl:EF62_2895
ko:K03740	efl:EF62_2899
ko:K14188	efl:EF62_2900
ko:K03739	efl:EF62_2901
ko:K03367	efl:EF62_2902
ko:K11065	efl:EF62_0039
ko:K01926	efl:EF62_0040
ko:K03151	efl:EF62_0041
ko:K06901	efl:EF62_0042
ko:K06726	efl:EF62_0047
ko:K03624	efl:EF62_0021
ko:K07082	efl:EF62_0023
ko:K01091	efl:EF62_0024
ko:K09790	efl:EF62_0029
ko:K03704	efl:EF62_0032
ko:K03630	efl:EF62_0033
ko:K11754	efl:EF62_0035
ko:K01873	efl:EF62_0038
ko:K02529	efl:EF62_0049
ko:K14977	efl:EF62_0081
ko:K02083	efl:EF62_0082
ko:K10975	efl:EF62_0084
ko:K03321	efl:EF62_0088
ko:K01442	efl:EF62_0089
ko:K07862	efl:EF62_0099
ko:K06173	efl:EF62_0102
ko:K00783	efl:EF62_0111
ko:K06878	efl:EF62_0113
ko:K15580	efl:EF62_0118
ko:K02747	efl:EF62_0119
ko:K02746	efl:EF62_0120
ko:K01443	efl:EF62_0121
ko:K02996	efl:EF62_0288
ko:K02871	efl:EF62_0289
ko:K04047	efl:EF62_0290
ko:K03046	efl:EF62_0294
ko:K03043	efl:EF62_0295
ko:K03524	efl:EF62_0299
ko:K03734	efl:EF62_0309
ko:K03885	efl:EF62_0311
ko:K00796	efl:EF62_0318
ko:K01495	efl:EF62_0320
ko:K00950	efl:EF62_0321
ko:K01633	efl:EF62_0322
ko:K09703	efl:EF62_0328
ko:K08303	efl:EF62_0331
ko:K03696	efl:EF62_0334
ko:K02761	efl:EF62_0337
ko:K01042	efl:EF62_0062
ko:K02003	efl:EF62_0072
ko:K06131	efl:EF62_1001
ko:K01866	efl:EF62_1002
ko:K03315	efl:EF62_1005
ko:K03800	efl:EF62_1018
ko:K07078	efl:EF62_1023
ko:K15975	efl:EF62_1035
ko:K06999	efl:EF62_1036
ko:K05847	efl:EF62_1046
ko:K01889	efl:EF62_1566
ko:K01890	efl:EF62_1567
ko:K01776	efl:EF62_1572
ko:K07095	efl:EF62_1574
ko:K05823	efl:EF62_1585
ko:K07010	efl:EF62_1589
ko:K02529	efl:EF62_2117
ko:K00963	efl:EF62_2121
ko:K00057	efl:EF62_2122
ko:K13292	efl:EF62_2123
ko:K08972	efl:EF62_2126
ko:K02039	efl:EF62_2129
ko:K02036	efl:EF62_2130
ko:K02036	efl:EF62_2131
ko:K02038	efl:EF62_2132
ko:K02037	efl:EF62_2133
ko:K02040	efl:EF62_2134
ko:K09811	efl:EF62_2135
ko:K09812	efl:EF62_2136
ko:K02836	efl:EF62_2137
ko:K03070	efl:EF62_2138
ko:K02760	efl:EF62_2142
ko:K01945	efl:EF62_2151
ko:K00602	efl:EF62_2152
ko:K11175	efl:EF62_2153
ko:K01933	efl:EF62_2154
ko:K00764	efl:EF62_2155
ko:K01952	efl:EF62_2156
ko:K01952	efl:EF62_2157
ko:K01952	efl:EF62_2158
ko:K01923	efl:EF62_2159
ko:K01589	efl:EF62_2160
ko:K01588	efl:EF62_2161
ko:K00826	efl:EF62_2166
ko:K09710	efl:EF62_2966
ko:K00969	efl:EF62_2968
ko:K07574	efl:EF62_2969
ko:K07015	efl:EF62_2971
ko:K01962	efl:EF62_2972
ko:K01963	efl:EF62_2973
ko:K01961	efl:EF62_2974
ko:K02372	efl:EF62_2975
ko:K02160	efl:EF62_2976
ko:K09458	efl:EF62_2977
ko:K00645	efl:EF62_2979
ko:K02078	efl:EF62_2981
ko:K00648	efl:EF62_2982
ko:K03438	efl:EF62_1423
ko:K01000	efl:EF62_1426
ko:K01925	efl:EF62_1427
ko:K02563	efl:EF62_1428
ko:K03589	efl:EF62_1429
ko:K03590	efl:EF62_1430
ko:K03531	efl:EF62_1431
ko:K06997	efl:EF62_1432
ko:K09772	efl:EF62_1433
ko:K04074	efl:EF62_1436
ko:K01870	efl:EF62_1437
ko:K00036	efl:EF62_1438
ko:K06206	efl:EF62_1441
ko:K02760	efl:EF62_1445
ko:K02761	efl:EF62_1446
ko:K03088	efl:EF62_1880
ko:K04041	efl:EF62_1883
ko:K01586	efl:EF62_1884
ko:K15580	efl:EF62_1892
ko:K02802	efl:EF62_1894
ko:K02803	efl:EF62_1894
ko:K02804	efl:EF62_1894
ko:K03086	efl:EF62_1904
ko:K00243	efl:EF62_1906
ko:K00134	efl:EF62_1908
ko:K06872	efl:EF62_2698
ko:K01091	efl:EF62_2700
ko:K00981	efl:EF62_2703
ko:K00806	efl:EF62_2704
ko:K02073	efl:EF62_2705
ko:K02072	efl:EF62_2706
ko:K02071	efl:EF62_2707
ko:K02437	efl:EF62_2708
ko:K05837	efl:EF62_2710
ko:K00761	efl:EF62_2721
ko:K00600	efl:EF62_2722
ko:K07566	efl:EF62_2723
ko:K02493	efl:EF62_2724
ko:K02835	efl:EF62_2725
ko:K03737	efl:EF62_2730
ko:K00266	efl:EF62_2731
ko:K00528	efl:EF62_2732
ko:K07402	efl:EF62_2734
ko:K01008	efl:EF62_2737
ko:K07141	efl:EF62_2739
ko:K07402	efl:EF62_2741
ko:K02019	efl:EF62_2742
ko:K00926	efl:EF62_2745
ko:K01751	efl:EF62_2748
ko:K01246	efl:EF62_0127
ko:K03571	efl:EF62_0138
ko:K03570	efl:EF62_0139
ko:K00962	efl:EF62_0140
ko:K02956	efl:EF62_0141
ko:K01462	efl:EF62_0142
ko:K02986	efl:EF62_0146
ko:K03523	efl:EF62_0147
ko:K03100	efl:EF62_0148
ko:K02016	efl:EF62_0156
ko:K02013	efl:EF62_0157
ko:K02015	efl:EF62_0158
ko:K02015	efl:EF62_0159
ko:K01919	efl:EF62_0162
ko:K03110	efl:EF62_0167
ko:K03529	efl:EF62_0169
ko:K03685	efl:EF62_0171
ko:K02034	efl:EF62_0173
ko:K02078	efl:EF62_0177
ko:K03621	efl:EF62_0178
ko:K03777	efl:EF62_0829
ko:K02787	efl:EF62_0869
ko:K02788	efl:EF62_0869
ko:K06901	efl:EF62_1479
ko:K02337	efl:EF62_1482
ko:K00850	efl:EF62_1483
ko:K00873	efl:EF62_1484
ko:K07040	efl:EF62_1485
ko:K02911	efl:EF62_1486
ko:K03781	efl:EF62_1974
ko:K01669	efl:EF62_1975
ko:K01193	efl:EF62_1979
ko:K03484	efl:EF62_1980
ko:K02042	efl:EF62_1985
ko:K02042	efl:EF62_1986
ko:K02041	efl:EF62_1987
ko:K02044	efl:EF62_1988
ko:K06131	efl:EF62_1990
ko:K04069	efl:EF62_1994
ko:K00656	efl:EF62_1995
ko:K02621	efl:EF62_1996
ko:K02622	efl:EF62_1997
ko:K06929	efl:EF62_1998
ko:K04030	efl:EF62_1999
ko:K04023	efl:EF62_2000
ko:K04026	efl:EF62_2008
ko:K03736	efl:EF62_2009
ko:K03735	efl:EF62_2010
ko:K04019	efl:EF62_2011
ko:K04031	efl:EF62_2014
ko:K02000	efl:EF62_2802
ko:K02647	efl:EF62_2806
ko:K00865	efl:EF62_2807
ko:K03581	efl:EF62_2822
ko:K03216	efl:EF62_2824
ko:K00563	efl:EF62_2825
ko:K06213	efl:EF62_2827
ko:K06180	efl:EF62_2828
ko:K00858	efl:EF62_2829
ko:K08602	efl:EF62_2834
ko:K01867	efl:EF62_2838
ko:K03547	efl:EF62_2849
ko:K00655	efl:EF62_2850
ko:K07461	efl:EF62_2852
ko:K02914	efl:EF62_0392
ko:K02313	efl:EF62_0393
ko:K02338	efl:EF62_0394
ko:K03629	efl:EF62_0396
ko:K02470	efl:EF62_0397
ko:K02469	efl:EF62_0398
ko:K02990	efl:EF62_0399
ko:K02963	efl:EF62_0401
ko:K02939	efl:EF62_0403
ko:K01939	efl:EF62_0405
ko:K14155	efl:EF62_0418
ko:K14205	efl:EF62_0420
ko:K00147	efl:EF62_0427
ko:K00931	efl:EF62_0428
ko:K04485	efl:EF62_0430
ko:K01770	efl:EF62_0432
ko:K00640	efl:EF62_0434
ko:K01883	efl:EF62_0435
ko:K11145	efl:EF62_0436
ko:K03218	efl:EF62_0437
ko:K06962	efl:EF62_0438
ko:K03091	efl:EF62_0439
ko:K00919	efl:EF62_0441
ko:K09817	efl:EF62_0443
ko:K09816	efl:EF62_0444
ko:K04042	efl:EF62_0446
ko:K06871	efl:EF62_0506
ko:K01951	efl:EF62_0539
ko:K02529	efl:EF62_0544
ko:K00756	efl:EF62_0545
ko:K07335	efl:EF62_0548
ko:K07335	efl:EF62_0549
ko:K02057	efl:EF62_0551
ko:K02057	efl:EF62_0552
ko:K01839	efl:EF62_0559
ko:K15771	efl:EF62_1797
ko:K07029	efl:EF62_1113
ko:K00887	efl:EF62_2630
ko:K04771	efl:EF62_0112
ko:K01575	efl:EF62_1658
ko:K02053	efl:EF62_1664
ko:K01486	efl:EF62_1667
ko:K03734	efl:EF62_1670
ko:K08998	efl:EF62_2281
ko:K12700	efl:EF62_2287
ko:K02440	efl:EF62_2293
ko:K00864	efl:EF62_2295
ko:K01129	efl:EF62_2321
ko:K01689	efl:EF62_2323
ko:K01803	efl:EF62_2324
ko:K00927	efl:EF62_2325
ko:K00134	efl:EF62_2326
ko:K05311	efl:EF62_2327
ko:K00868	efl:EF62_2331
ko:K01876	efl:EF62_2332
ko:K03978	efl:EF62_2282
ko:K03544	efl:EF62_2283
ko:K02356	efl:EF62_0676
ko:K01223	efl:EF62_0680
ko:K02761	efl:EF62_0681
ko:K15975	efl:EF62_0693
ko:K00928	efl:EF62_0701
ko:K04487	efl:EF62_0704
ko:K07341	efl:EF62_0712
ko:K00926	efl:EF62_0719
ko:K00549	efl:EF62_0728
ko:K03402	efl:EF62_1048
ko:K06180	efl:EF62_1051
ko:K02503	efl:EF62_1060
ko:K03439	efl:EF62_1064
ko:K02769	efl:EF62_1067
ko:K02770	efl:EF62_1067
ko:K02837	efl:EF62_1074
ko:K03545	efl:EF62_1101
ko:K06885	efl:EF62_1593
ko:K01937	efl:EF62_1597
ko:K05366	efl:EF62_1598
ko:K07444	efl:EF62_1602
ko:K01299	efl:EF62_1603
ko:K10773	efl:EF62_1605
ko:K03710	efl:EF62_1606
ko:K02760	efl:EF62_1609
ko:K02761	efl:EF62_1610
ko:K09767	efl:EF62_1615
ko:K01624	efl:EF62_1618
ko:K00790	efl:EF62_1619
ko:K12308	efl:EF62_2176
ko:K02082	efl:EF62_2179
ko:K03710	efl:EF62_2180
ko:K06167	efl:EF62_2187
ko:K02761	efl:EF62_2199
ko:K06871	efl:EF62_2213
ko:K07090	efl:EF62_2214
ko:K09768	efl:EF62_1215
ko:K01921	efl:EF62_1216
ko:K01929	efl:EF62_1217
ko:K05592	efl:EF62_1218
ko:K00997	efl:EF62_1220
ko:K01775	efl:EF62_1221
ko:K03100	efl:EF62_1227
ko:K01421	efl:EF62_1232
ko:K05846	efl:EF62_1238
ko:K05845	efl:EF62_1239
ko:K05847	efl:EF62_1241
ko:K07568	efl:EF62_1244
ko:K03549	efl:EF62_1247
ko:K01060	efl:EF62_1680
ko:K05349	efl:EF62_1682
ko:K02529	efl:EF62_1684
ko:K01892	efl:EF62_2333
ko:K07560	efl:EF62_2334
ko:K09761	efl:EF62_2336
ko:K02687	efl:EF62_2337
ko:K03652	efl:EF62_2339
ko:K07478	efl:EF62_2340
ko:K00925	efl:EF62_2343
ko:K01772	efl:EF62_2349
ko:K03704	efl:EF62_2353
ko:K02016	efl:EF62_0562
ko:K02013	efl:EF62_0563
ko:K02015	efl:EF62_0564
ko:K02015	efl:EF62_0565
ko:K01807	efl:EF62_0569
ko:K02950	efl:EF62_0570
ko:K02992	efl:EF62_0571
ko:K02355	efl:EF62_0572
ko:K02358	efl:EF62_0573
ko:K00868	efl:EF62_0574
ko:K00574	efl:EF62_0575
ko:K02946	efl:EF62_0576
ko:K02906	efl:EF62_0577
ko:K02926	efl:EF62_0578
ko:K02892	efl:EF62_0579
ko:K02886	efl:EF62_0580
ko:K02965	efl:EF62_0581
ko:K02890	efl:EF62_0582
ko:K02982	efl:EF62_0583
ko:K02878	efl:EF62_0584
ko:K02904	efl:EF62_0585
ko:K02961	efl:EF62_0586
ko:K02874	efl:EF62_0587
ko:K02895	efl:EF62_0588
ko:K02931	efl:EF62_0589
ko:K02954	efl:EF62_0590
ko:K02994	efl:EF62_0591
ko:K02933	efl:EF62_0592
ko:K02881	efl:EF62_0593
ko:K02988	efl:EF62_0594
ko:K02907	efl:EF62_0595
ko:K02876	efl:EF62_0596
ko:K03076	efl:EF62_0597
ko:K02518	efl:EF62_0599
ko:K02919	efl:EF62_0600
ko:K02952	efl:EF62_0601
ko:K02948	efl:EF62_0602
ko:K03040	efl:EF62_0603
ko:K02879	efl:EF62_0604
ko:K06173	efl:EF62_0610
ko:K03311	efl:EF62_0612
ko:K06966	efl:EF62_0614
ko:K01304	efl:EF62_0733
ko:K03315	efl:EF62_0734
ko:K00009	efl:EF62_0745
ko:K02003	efl:EF62_0749
ko:K01625	efl:EF62_0756
ko:K00874	efl:EF62_0757
ko:K01815	efl:EF62_0758
ko:K03305	efl:EF62_0761
ko:K01661	efl:EF62_0764
ko:K01911	efl:EF62_0765
ko:K02551	efl:EF62_0767
ko:K07090	efl:EF62_0773
ko:K04564	efl:EF62_0785
ko:K01778	efl:EF62_0786
ko:K02768	efl:EF62_1103
ko:K02769	efl:EF62_1103
ko:K02770	efl:EF62_1103
ko:K03657	efl:EF62_1107
ko:K01972	efl:EF62_1108
ko:K02435	efl:EF62_1110
ko:K02434	efl:EF62_1112
ko:K03215	efl:EF62_1114
ko:K13252	efl:EF62_1118
ko:K10536	efl:EF62_1120
ko:K00926	efl:EF62_1121
ko:K03811	efl:EF62_1124
ko:K06956	efl:EF62_1129
ko:K07146	efl:EF62_1133
ko:K01534	efl:EF62_1142
ko:K07507	efl:EF62_1143
ko:K03702	efl:EF62_1146
ko:K03701	efl:EF62_1147
ko:K06958	efl:EF62_1149
ko:K01358	efl:EF62_1154
ko:K03628	efl:EF62_1620
ko:K02909	efl:EF62_1621
ko:K00847	efl:EF62_1624
ko:K07173	efl:EF62_1627
ko:K00133	efl:EF62_1628
ko:K01714	efl:EF62_1629
ko:K06188	efl:EF62_1637
ko:K07089	efl:EF62_1643
ko:K01579	efl:EF62_2223
ko:K01918	efl:EF62_2224
ko:K00606	efl:EF62_2225
ko:K02003	efl:EF62_2234
ko:K02884	efl:EF62_2267
ko:K00554	efl:EF62_2268
ko:K02860	efl:EF62_2269
ko:K03322	efl:EF62_2270
ko:K01126	efl:EF62_2273
ko:K06890	efl:EF62_2274
ko:K01924	efl:EF62_2276
ko:K05846	efl:EF62_1240
ko:K00859	efl:EF62_1254
ko:K07738	efl:EF62_1255
ko:K08317	efl:EF62_1269
ko:K00773	efl:EF62_1270
ko:K03210	efl:EF62_1271
ko:K04072	efl:EF62_1273
