ko:K18929	cjen:N755_00068
ko:K11065	cjen:N755_00799
ko:K02567	cjen:N755_00800
ko:K02573	cjen:N755_00801
ko:K02568	cjen:N755_00803
ko:K02570	cjen:N755_00805
ko:K01433	cjen:N755_00810
ko:K01929	cjen:N755_00815
ko:K01921	cjen:N755_00818
ko:K03550	cjen:N755_00819
ko:K03980	cjen:N755_00821
ko:K01883	cjen:N755_00822
ko:K01714	cjen:N755_00826
ko:K00334	cjen:N755_01598
ko:K00333	cjen:N755_01599
ko:K00332	cjen:N755_01600
ko:K00331	cjen:N755_01601
ko:K00330	cjen:N755_01602
ko:K02034	cjen:N755_01605
ko:K06159	cjen:N755_01610
ko:K02518	cjen:N755_01613
ko:K02919	cjen:N755_01614
ko:K02952	cjen:N755_01615
ko:K02948	cjen:N755_01616
ko:K02986	cjen:N755_01617
ko:K03040	cjen:N755_01618
ko:K02879	cjen:N755_01619
ko:K00765	cjen:N755_01620
ko:K00013	cjen:N755_01621
ko:K01089	cjen:N755_01622
ko:K02501	cjen:N755_01623
ko:K01814	cjen:N755_01624
ko:K09805	cjen:N755_01625
ko:K02500	cjen:N755_01626
ko:K11755	cjen:N755_01627
ko:K12506	cjen:N755_01630
ko:K00958	cjen:N755_01632
ko:K01095	cjen:N755_01633
ko:K02968	cjen:N755_01634
ko:K02835	cjen:N755_01635
ko:K07226	cjen:N755_01636
ko:K02015	cjen:N755_01638
ko:K02013	cjen:N755_01639
ko:K02016	cjen:N755_01640
ko:K03575	cjen:N755_01643
ko:K17686	cjen:N755_01157
ko:K02341	cjen:N755_00617
ko:K00796	cjen:N755_00618
ko:K01972	cjen:N755_00619
ko:K06442	cjen:N755_00621
ko:K11753	cjen:N755_00622
ko:K15256	cjen:N755_00623
ko:K01173	cjen:N755_00627
ko:K10773	cjen:N755_00628
ko:K01624	cjen:N755_00630
ko:K02557	cjen:N755_00632
ko:K03308	cjen:N755_00634
ko:K04084	cjen:N755_00636
ko:K13888	cjen:N755_00640
ko:K05685	cjen:N755_00641
ko:K09795	cjen:N755_00644
ko:K02217	cjen:N755_00646
ko:K02040	cjen:N755_00647
ko:K02037	cjen:N755_00648
ko:K02038	cjen:N755_00649
ko:K02036	cjen:N755_00650
ko:K07043	cjen:N755_00654
ko:K04656	cjen:N755_00656
ko:K04653	cjen:N755_00658
ko:K04654	cjen:N755_00659
ko:K04651	cjen:N755_00661
ko:K02340	cjen:N755_00662
ko:K12573	cjen:N755_00663
ko:K00053	cjen:N755_00664
ko:K09798	cjen:N755_00665
ko:K04096	cjen:N755_00666
ko:K07447	cjen:N755_00667
ko:K07265	cjen:N755_01447
ko:K07266	cjen:N755_01448
ko:K00860	cjen:N755_01449
ko:K07010	cjen:N755_01451
ko:K03271	cjen:N755_01458
ko:K02377	cjen:N755_01462
ko:K01790	cjen:N755_01465
ko:K00817	cjen:N755_01472
ko:K00012	cjen:N755_01476
ko:K06041	cjen:N755_01478
ko:K10107	cjen:N755_01480
ko:K09689	cjen:N755_01481
ko:K09688	cjen:N755_01482
ko:K09979	cjen:N755_01483
ko:K04075	cjen:N755_01487
ko:K02836	cjen:N755_01489
ko:K06176	cjen:N755_01491
ko:K00946	cjen:N755_01492
ko:K03300	cjen:N755_00245
ko:K06153	cjen:N755_00247
ko:K01868	cjen:N755_00248
ko:K02520	cjen:N755_00249
ko:K00145	cjen:N755_00261
ko:K00930	cjen:N755_00263
ko:K00573	cjen:N755_00265
ko:K00763	cjen:N755_00267
ko:K00762	cjen:N755_00270
ko:K02838	cjen:N755_00271
ko:K03075	cjen:N755_00272
ko:K01673	cjen:N755_00274
ko:K16052	cjen:N755_00275
ko:K13819	cjen:N755_00276
ko:K04487	cjen:N755_00277
ko:K02916	cjen:N755_00280
ko:K02887	cjen:N755_00281
ko:K03637	cjen:N755_00288
ko:K01142	cjen:N755_00291
ko:K03760	cjen:N755_00292
ko:K00901	cjen:N755_00293
ko:K01465	cjen:N755_00295
ko:K00788	cjen:N755_01086
ko:K00941	cjen:N755_01087
ko:K06923	cjen:N755_01089
ko:K03723	cjen:N755_01090
ko:K11754	cjen:N755_01092
ko:K01869	cjen:N755_01095
ko:K03074	cjen:N755_01096
ko:K03072	cjen:N755_01097
ko:K03210	cjen:N755_01098
ko:K03820	cjen:N755_01099
ko:K00789	cjen:N755_01100
ko:K07862	cjen:N755_01101
ko:K00609	cjen:N755_01102
ko:K08602	cjen:N755_01103
ko:K03657	cjen:N755_01105
ko:K03563	cjen:N755_01107
ko:K00919	cjen:N755_01108
ko:K03664	cjen:N755_01109
ko:K06891	cjen:N755_01111
ko:K03694	cjen:N755_01112
ko:K00684	cjen:N755_01113
ko:K17103	cjen:N755_01118
ko:K01613	cjen:N755_01119
ko:K03798	cjen:N755_01120
ko:K02687	cjen:N755_01121
ko:K03413	cjen:N755_01122
ko:K02313	cjen:N755_00001
ko:K02338	cjen:N755_00002
ko:K02470	cjen:N755_00003
ko:K07084	cjen:N755_00006
ko:K00266	cjen:N755_00009
ko:K03470	cjen:N755_00010
ko:K02237	cjen:N755_00011
ko:K01687	cjen:N755_00013
ko:K08996	cjen:N755_00014
ko:K07023	cjen:N755_00015
ko:K06920	cjen:N755_00016
ko:K00428	cjen:N755_00019
ko:K06180	cjen:N755_00021
ko:K00912	cjen:N755_00831
ko:K01733	cjen:N755_00832
ko:K00979	cjen:N755_00833
ko:K02419	cjen:N755_00838
ko:K04042	cjen:N755_00839
ko:K13038	cjen:N755_00840
ko:K00806	cjen:N755_00842
ko:K02654	cjen:N755_00843
ko:K07091	cjen:N755_00844
ko:K06173	cjen:N755_00845
ko:K01754	cjen:N755_00846
ko:K06929	cjen:N755_00847
ko:K09943	cjen:N755_00848
ko:K01682	cjen:N755_00852
ko:K01772	cjen:N755_00854
ko:K01874	cjen:N755_00855
ko:K03841	cjen:N755_00857
ko:K03753	cjen:N755_00858
ko:K08309	cjen:N755_00859
ko:K02221	cjen:N755_00860
ko:K01613	cjen:N755_00863
ko:K04061	cjen:N755_00864
ko:K01845	cjen:N755_00869
ko:K01491	cjen:N755_00871
ko:K03100	cjen:N755_00872
ko:K03750	cjen:N755_00873
ko:K00790	cjen:N755_00874
ko:K11752	cjen:N755_01649
ko:K01752	cjen:N755_01651
ko:K03561	cjen:N755_01655
ko:K03832	cjen:N755_01657
ko:K00566	cjen:N755_01659
ko:K01736	cjen:N755_01660
ko:K03685	cjen:N755_01661
ko:K01928	cjen:N755_01667
ko:K09747	cjen:N755_01668
ko:K00795	cjen:N755_01670
ko:K00615	cjen:N755_01671
ko:K02066	cjen:N755_01672
ko:K02065	cjen:N755_01673
ko:K01265	cjen:N755_01677
ko:K01776	cjen:N755_01678
ko:K03313	cjen:N755_01680
ko:K07243	cjen:N755_01683
ko:K07230	cjen:N755_01684
ko:K02003	cjen:N755_01688
ko:K01689	cjen:N755_01701
ko:K01876	cjen:N755_00672
ko:K00858	cjen:N755_00673
ko:K03631	cjen:N755_00674
ko:K03424	cjen:N755_00676
ko:K08307	cjen:N755_00677
ko:K03642	cjen:N755_00678
ko:K03270	cjen:N755_00679
ko:K09774	cjen:N755_00681
ko:K03978	cjen:N755_00682
ko:K05515	cjen:N755_00684
ko:K03305	cjen:N755_00686
ko:K03667	cjen:N755_00692
ko:K01419	cjen:N755_00693
ko:K02939	cjen:N755_00694
ko:K01940	cjen:N755_00695
ko:K06925	cjen:N755_00697
ko:K06861	cjen:N755_00698
ko:K03092	cjen:N755_00699
ko:K01547	cjen:N755_00703
ko:K07646	cjen:N755_00705
ko:K03702	cjen:N755_00706
ko:K02456	cjen:N755_00709
ko:K04066	cjen:N755_00710
ko:K02393	cjen:N755_00713
ko:K13788	cjen:N755_00714
ko:K00925	cjen:N755_00715
ko:K03438	cjen:N755_00720
ko:K03770	cjen:N755_00721
ko:K02394	cjen:N755_01496
ko:K02396	cjen:N755_01500
ko:K07090	cjen:N755_01502
ko:K02455	cjen:N755_01503
ko:K01714	cjen:N755_01506
ko:K02453	cjen:N755_01507
ko:K03737	cjen:N755_01509
ko:K01091	cjen:N755_01510
ko:K02996	cjen:N755_01512
ko:K02871	cjen:N755_01513
ko:K03582	cjen:N755_01514
ko:K00406	cjen:N755_01519
ko:K00407	cjen:N755_01520
ko:K00405	cjen:N755_01521
ko:K00404	cjen:N755_01522
ko:K09792	cjen:N755_01525
ko:K01956	cjen:N755_01526
ko:K09804	cjen:N755_01527
ko:K01939	cjen:N755_01530
ko:K07112	cjen:N755_01532
ko:K13821	cjen:N755_01535
ko:K01008	cjen:N755_01536
ko:K02379	cjen:N755_01540
ko:K00123	cjen:N755_01543
ko:K00123	cjen:N755_01544
ko:K07238	cjen:N755_00298
ko:K03532	cjen:N755_00300
ko:K00826	cjen:N755_00304
ko:K01821	cjen:N755_00305
ko:K03564	cjen:N755_00306
ko:K09765	cjen:N755_00307
ko:K02372	cjen:N755_00308
ko:K00677	cjen:N755_00309
ko:K03544	cjen:N755_00310
ko:K03569	cjen:N755_00311
ko:K03570	cjen:N755_00312
ko:K01955	cjen:N755_00313
ko:K01079	cjen:N755_00316
ko:K03408	cjen:N755_00317
ko:K03407	cjen:N755_00318
ko:K03415	cjen:N755_00319
ko:K03269	cjen:N755_00320
ko:K03624	cjen:N755_00321
ko:K00748	cjen:N755_00322
ko:K03787	cjen:N755_00327
ko:K01579	cjen:N755_00330
ko:K01918	cjen:N755_00331
ko:K00606	cjen:N755_00332
ko:K02018	cjen:N755_00335
ko:K02020	cjen:N755_00337
ko:K02169	cjen:N755_00338
ko:K09789	cjen:N755_00339
ko:K00833	cjen:N755_00341
ko:K01935	cjen:N755_00342
ko:K02897	cjen:N755_00345
ko:K07501	cjen:N755_01136
ko:K02841	cjen:N755_01137
ko:K02517	cjen:N755_01138
ko:K03271	cjen:N755_01151
ko:K03272	cjen:N755_01152
ko:K03274	cjen:N755_01153
ko:K03273	cjen:N755_01154
ko:K03628	cjen:N755_01158
ko:K02343	cjen:N755_01159
ko:K00316	cjen:N755_01160
ko:K16264	cjen:N755_01163
ko:K11743	cjen:N755_01173
ko:K11742	cjen:N755_01174
ko:K01887	cjen:N755_01175
ko:K03116	cjen:N755_01176
ko:K00942	cjen:N755_01177
ko:K02421	cjen:N755_01179
ko:K02003	cjen:N755_01180
ko:K02357	cjen:N755_01181
ko:K02967	cjen:N755_01182
ko:K00574	cjen:N755_01183
ko:K00413	cjen:N755_01184
ko:K01756	cjen:N755_00022
ko:K06956	cjen:N755_00024
ko:K01937	cjen:N755_00026
ko:K07462	cjen:N755_00027
ko:K07552	cjen:N755_00033
ko:K06207	cjen:N755_00037
ko:K02389	cjen:N755_00040
ko:K02390	cjen:N755_00041
ko:K03319	cjen:N755_00045
ko:K03319	cjen:N755_00047
ko:K00566	cjen:N755_00048
ko:K06966	cjen:N755_00049
ko:K02417	cjen:N755_00055
ko:K02416	cjen:N755_00056
ko:K02405	cjen:N755_00057
ko:K04562	cjen:N755_00059
ko:K02404	cjen:N755_00060
ko:K00950	cjen:N755_00061
ko:K04773	cjen:N755_00063
ko:K00782	cjen:N755_00067
ko:K03303	cjen:N755_00070
ko:K00425	cjen:N755_00075
ko:K00426	cjen:N755_00076
ko:K03611	cjen:N755_00880
ko:K03673	cjen:N755_00884
ko:K02400	cjen:N755_00890
ko:K02956	cjen:N755_00892
ko:K03466	cjen:N755_00893
ko:K02397	cjen:N755_00894
ko:K15738	cjen:N755_00897
ko:K02945	cjen:N755_00902
ko:K03527	cjen:N755_00903
ko:K00800	cjen:N755_00904
ko:K01890	cjen:N755_00905
ko:K01889	cjen:N755_00906
ko:K02503	cjen:N755_00907
ko:K03152	cjen:N755_00908
ko:K02029	cjen:N755_00909
ko:K03310	cjen:N755_00911
ko:K03216	cjen:N755_00912
ko:K01775	cjen:N755_00913
ko:K07152	cjen:N755_00918
ko:K01738	cjen:N755_00919
ko:K03530	cjen:N755_00920
ko:K10806	cjen:N755_00922
ko:K06200	cjen:N755_00924
ko:K00948	cjen:N755_00925
ko:K10040	cjen:N755_00926
ko:K10040	cjen:N755_00927
ko:K10039	cjen:N755_00928
ko:K02420	cjen:N755_01704
ko:K00075	cjen:N755_01705
ko:K01647	cjen:N755_01711
ko:K01012	cjen:N755_01713
ko:K03168	cjen:N755_01714
ko:K03076	cjen:N755_01717
ko:K02876	cjen:N755_01718
ko:K02988	cjen:N755_01719
ko:K02881	cjen:N755_01720
ko:K02933	cjen:N755_01721
ko:K02994	cjen:N755_01722
ko:K02954	cjen:N755_01723
ko:K02931	cjen:N755_01724
ko:K02895	cjen:N755_01725
ko:K02874	cjen:N755_01726
ko:K02961	cjen:N755_01727
ko:K02904	cjen:N755_01728
ko:K02878	cjen:N755_01729
ko:K02982	cjen:N755_01730
ko:K02890	cjen:N755_01731
ko:K02965	cjen:N755_01732
ko:K02886	cjen:N755_01733
ko:K02892	cjen:N755_01734
ko:K02926	cjen:N755_01735
ko:K02906	cjen:N755_01736
ko:K02946	cjen:N755_01737
ko:K06178	cjen:N755_01738
ko:K02528	cjen:N755_01740
ko:K06941	cjen:N755_01742
ko:K01704	cjen:N755_01748
ko:K01703	cjen:N755_01749
ko:K00052	cjen:N755_01750
ko:K01649	cjen:N755_01751
ko:K01056	cjen:N755_00346
ko:K11720	cjen:N755_00347
ko:K01586	cjen:N755_00348
ko:K14170	cjen:N755_00350
ko:K00817	cjen:N755_00351
ko:K02409	cjen:N755_00352
ko:K02410	cjen:N755_00353
ko:K02411	cjen:N755_00354
ko:K03183	cjen:N755_00359
ko:K03601	cjen:N755_00360
ko:K00831	cjen:N755_00361
ko:K00648	cjen:N755_00363
ko:K03621	cjen:N755_00364
ko:K02911	cjen:N755_00365
ko:K00940	cjen:N755_00367
ko:K02401	cjen:N755_00370
ko:K02557	cjen:N755_00371
ko:K02556	cjen:N755_00372
ko:K03701	cjen:N755_00377
ko:K07090	cjen:N755_00378
ko:K01657	cjen:N755_00379
ko:K13497	cjen:N755_00380
ko:K01817	cjen:N755_00381
ko:K01696	cjen:N755_00382
ko:K01695	cjen:N755_00383
ko:K02417	cjen:N755_00385
