ko:K00692	zmn:Za10_0866
ko:K03070	zmn:Za10_0374
ko:K00620	zmn:Za10_0375
ko:K03781	zmn:Za10_0380
ko:K00826	zmn:Za10_0386
ko:K09689	zmn:Za10_0389
ko:K10107	zmn:Za10_0391
ko:K03669	zmn:Za10_0392
ko:K06045	zmn:Za10_0420
ko:K02314	zmn:Za10_0427
ko:K01489	zmn:Za10_0428
ko:K01494	zmn:Za10_0429
ko:K09747	zmn:Za10_0430
ko:K02343	zmn:Za10_0431
ko:K04487	zmn:Za10_0433
ko:K09987	zmn:Za10_0434
ko:K03602	zmn:Za10_0435
ko:K00795	zmn:Za10_0436
ko:K00954	zmn:Za10_0437
ko:K07568	zmn:Za10_0439
ko:K00275	zmn:Za10_0440
ko:K10941	zmn:Za10_0441
ko:K07267	zmn:Za10_0443
ko:K03455	zmn:Za10_0444
ko:K01872	zmn:Za10_0445
ko:K01887	zmn:Za10_0447
ko:K01129	zmn:Za10_0448
ko:K03531	zmn:Za10_0451
ko:K03590	zmn:Za10_0452
ko:K03589	zmn:Za10_0453
ko:K03657	zmn:Za10_0680
ko:K03675	zmn:Za10_0681
ko:K02049	zmn:Za10_0682
ko:K02050	zmn:Za10_0683
ko:K02687	zmn:Za10_0684
ko:K00241	zmn:Za10_0685
ko:K01902	zmn:Za10_0687
ko:K08224	zmn:Za10_0688
ko:K03579	zmn:Za10_0690
ko:K02523	zmn:Za10_0691
ko:K00817	zmn:Za10_0693
ko:K06923	zmn:Za10_0694
ko:K03670	zmn:Za10_0393
ko:K01649	zmn:Za10_0395
ko:K01885	zmn:Za10_0398
ko:K01921	zmn:Za10_0454
ko:K00075	zmn:Za10_0455
ko:K01924	zmn:Za10_0456
ko:K02563	zmn:Za10_0457
ko:K03588	zmn:Za10_0458
ko:K01925	zmn:Za10_0459
ko:K01000	zmn:Za10_0460
ko:K01929	zmn:Za10_0461
ko:K01928	zmn:Za10_0462
ko:K03587	zmn:Za10_0463
ko:K03438	zmn:Za10_0465
ko:K01738	zmn:Za10_0467
ko:K01952	zmn:Za10_0468
ko:K00012	zmn:Za10_0469
ko:K01737	zmn:Za10_0470
ko:K09760	zmn:Za10_0472
ko:K01462	zmn:Za10_0473
ko:K06187	zmn:Za10_0474
ko:K00604	zmn:Za10_0475
ko:K06173	zmn:Za10_0476
ko:K09131	zmn:Za10_0477
ko:K01255	zmn:Za10_0479
ko:K00145	zmn:Za10_0481
ko:K01993	zmn:Za10_0483
ko:K01322	zmn:Za10_0489
ko:K09748	zmn:Za10_0696
ko:K02600	zmn:Za10_0697
ko:K07742	zmn:Za10_0698
ko:K02519	zmn:Za10_0699
ko:K02834	zmn:Za10_0700
ko:K00857	zmn:Za10_0701
ko:K03177	zmn:Za10_0702
ko:K02956	zmn:Za10_0703
ko:K00962	zmn:Za10_0704
ko:K01609	zmn:Za10_0708
ko:K00031	zmn:Za10_0709
ko:K01681	zmn:Za10_0710
ko:K02879	zmn:Za10_0711
ko:K03040	zmn:Za10_0712
ko:K02948	zmn:Za10_0713
ko:K02952	zmn:Za10_0714
ko:K00939	zmn:Za10_0715
ko:K03076	zmn:Za10_0716
ko:K02876	zmn:Za10_0717
ko:K02907	zmn:Za10_0718
ko:K02988	zmn:Za10_0719
ko:K02881	zmn:Za10_0720
ko:K02933	zmn:Za10_0721
ko:K02994	zmn:Za10_0722
ko:K02954	zmn:Za10_0723
ko:K02931	zmn:Za10_0724
ko:K02895	zmn:Za10_0725
ko:K02874	zmn:Za10_0726
ko:K02961	zmn:Za10_0727
ko:K02904	zmn:Za10_0728
ko:K02878	zmn:Za10_0729
ko:K02982	zmn:Za10_0730
ko:K02890	zmn:Za10_0731
ko:K02965	zmn:Za10_0732
ko:K02886	zmn:Za10_0733
ko:K02892	zmn:Za10_0734
ko:K02926	zmn:Za10_0735
ko:K02906	zmn:Za10_0736
ko:K02946	zmn:Za10_0737
ko:K02358	zmn:Za10_0738
ko:K02355	zmn:Za10_0739
ko:K02992	zmn:Za10_0740
ko:K02950	zmn:Za10_0741
ko:K00382	zmn:Za10_0743
ko:K10806	zmn:Za10_0744
ko:K00627	zmn:Za10_0745
ko:K01465	zmn:Za10_0491
ko:K00609	zmn:Za10_0492
ko:K02014	zmn:Za10_0493
ko:K07447	zmn:Za10_0497
ko:K02435	zmn:Za10_0498
ko:K02433	zmn:Za10_0499
ko:K02434	zmn:Za10_0500
ko:K06213	zmn:Za10_0509
ko:K00566	zmn:Za10_0510
ko:K00990	zmn:Za10_0513
ko:K01868	zmn:Za10_0514
ko:K03676	zmn:Za10_0523
ko:K06180	zmn:Za10_0526
ko:K03089	zmn:Za10_0527
ko:K01738	zmn:Za10_0528
ko:K09958	zmn:Za10_0531
ko:K02837	zmn:Za10_0533
ko:K06131	zmn:Za10_0915
ko:K00286	zmn:Za10_0918
ko:K07266	zmn:Za10_0920
ko:K01772	zmn:Za10_0923
ko:K09939	zmn:Za10_0925
ko:K03601	zmn:Za10_0926
ko:K01945	zmn:Za10_0927
ko:K02902	zmn:Za10_0931
ko:K09807	zmn:Za10_0936
ko:K03585	zmn:Za10_0939
ko:K03704	zmn:Za10_0941
ko:K03684	zmn:Za10_0942
ko:K11719	zmn:Za10_0943
ko:K09774	zmn:Za10_0944
ko:K06861	zmn:Za10_0945
ko:K03092	zmn:Za10_0946
ko:K00789	zmn:Za10_0947
ko:K03820	zmn:Za10_0948
ko:K02194	zmn:Za10_0958
ko:K02193	zmn:Za10_0959
ko:K03777	zmn:Za10_0962
ko:K11443	zmn:Za10_0968
ko:K03722	zmn:Za10_0404
ko:K04566	zmn:Za10_0405
ko:K01785	zmn:Za10_0406
ko:K09005	zmn:Za10_0408
ko:K02871	zmn:Za10_0410
ko:K02996	zmn:Za10_0411
ko:K03406	zmn:Za10_0412
ko:K03149	zmn:Za10_0536
ko:K03786	zmn:Za10_0537
ko:K02160	zmn:Za10_0538
ko:K03827	zmn:Za10_0541
ko:K03046	zmn:Za10_0542
ko:K03043	zmn:Za10_0543
ko:K02935	zmn:Za10_0545
ko:K02864	zmn:Za10_0546
ko:K02863	zmn:Za10_0547
ko:K02867	zmn:Za10_0548
ko:K02601	zmn:Za10_0549
ko:K03073	zmn:Za10_0550
ko:K07386	zmn:Za10_0551
ko:K03664	zmn:Za10_0552
ko:K01714	zmn:Za10_0553
ko:K08309	zmn:Za10_0554
ko:K04760	zmn:Za10_0555
ko:K01876	zmn:Za10_0557
ko:K03684	zmn:Za10_0558
ko:K00937	zmn:Za10_0560
ko:K01933	zmn:Za10_0563
ko:K11175	zmn:Za10_0564
ko:K10773	zmn:Za10_0566
ko:K03565	zmn:Za10_0567
ko:K02469	zmn:Za10_0576
ko:K04094	zmn:Za10_0577
ko:K07088	zmn:Za10_0579
ko:K01652	zmn:Za10_0580
ko:K04042	zmn:Za10_0756
ko:K01091	zmn:Za10_0757
ko:K09800	zmn:Za10_0759
ko:K07552	zmn:Za10_0760
ko:K01915	zmn:Za10_0761
ko:K01262	zmn:Za10_0763
ko:K01354	zmn:Za10_0764
ko:K01644	zmn:Za10_0767
ko:K09709	zmn:Za10_0768
ko:K07507	zmn:Za10_0770
ko:K00003	zmn:Za10_0771
ko:K11752	zmn:Za10_0778
ko:K00793	zmn:Za10_0779
ko:K00794	zmn:Za10_0781
ko:K01657	zmn:Za10_0785
ko:K03770	zmn:Za10_0786
ko:K01803	zmn:Za10_0787
ko:K03075	zmn:Za10_0788
ko:K01937	zmn:Za10_0789
ko:K01881	zmn:Za10_0790
ko:K09808	zmn:Za10_0791
ko:K05800	zmn:Za10_0793
ko:K01938	zmn:Za10_0795
ko:K03977	zmn:Za10_0796
ko:K09795	zmn:Za10_0803
ko:K00526	zmn:Za10_0804
ko:K03412	zmn:Za10_0413
ko:K03412	zmn:Za10_0414
ko:K03527	zmn:Za10_0417
ko:K00052	zmn:Za10_0589
ko:K10764	zmn:Za10_0590
ko:K03584	zmn:Za10_0593
ko:K03703	zmn:Za10_0594
ko:K02109	zmn:Za10_0595
ko:K02109	zmn:Za10_0596
ko:K02110	zmn:Za10_0597
ko:K02108	zmn:Za10_0598
ko:K09978	zmn:Za10_0600
ko:K03630	zmn:Za10_0603
ko:K01756	zmn:Za10_0604
ko:K03686	zmn:Za10_0605
ko:K04043	zmn:Za10_0606
ko:K01295	zmn:Za10_0608
ko:K00673	zmn:Za10_0609
ko:K01488	zmn:Za10_0611
ko:K02422	zmn:Za10_0614
ko:K02407	zmn:Za10_0615
ko:K02401	zmn:Za10_0616
ko:K02421	zmn:Za10_0617
ko:K02420	zmn:Za10_0618
ko:K02419	zmn:Za10_0619
ko:K02418	zmn:Za10_0620
ko:K02417	zmn:Za10_0621
ko:K02416	zmn:Za10_0622
ko:K02415	zmn:Za10_0623
ko:K02412	zmn:Za10_0626
ko:K02411	zmn:Za10_0627
ko:K02410	zmn:Za10_0628
ko:K02409	zmn:Za10_0629
ko:K02408	zmn:Za10_0630
ko:K10943	zmn:Za10_0631
ko:K02406	zmn:Za10_0633
ko:K02405	zmn:Za10_0636
ko:K04562	zmn:Za10_0637
ko:K02400	zmn:Za10_0638
ko:K02386	zmn:Za10_0641
ko:K02556	zmn:Za10_0643
ko:K06179	zmn:Za10_0808
ko:K00942	zmn:Za10_0813
ko:K01476	zmn:Za10_0815
ko:K07025	zmn:Za10_0817
ko:K11717	zmn:Za10_0820
ko:K09015	zmn:Za10_0821
ko:K09013	zmn:Za10_0822
ko:K09014	zmn:Za10_0823
ko:K00817	zmn:Za10_0825
ko:K00655	zmn:Za10_0827
ko:K09811	zmn:Za10_0829
ko:K09812	zmn:Za10_0830
ko:K02221	zmn:Za10_0832
ko:K05595	zmn:Za10_0833
ko:K02622	zmn:Za10_0834
ko:K04083	zmn:Za10_0835
ko:K03694	zmn:Za10_0840
ko:K02427	zmn:Za10_0842
ko:K02387	zmn:Za10_0644
ko:K02388	zmn:Za10_0645
ko:K02389	zmn:Za10_0646
ko:K02390	zmn:Za10_0647
ko:K02391	zmn:Za10_0648
ko:K02392	zmn:Za10_0649
ko:K02393	zmn:Za10_0650
ko:K02394	zmn:Za10_0651
ko:K02395	zmn:Za10_0652
ko:K02396	zmn:Za10_0653
ko:K02397	zmn:Za10_0654
ko:K02556	zmn:Za10_0655
ko:K02557	zmn:Za10_0656
ko:K01962	zmn:Za10_0659
ko:K04763	zmn:Za10_0660
ko:K00891	zmn:Za10_0663
ko:K01735	zmn:Za10_0664
ko:K04485	zmn:Za10_0668
ko:K01591	zmn:Za10_0670
ko:K01817	zmn:Za10_0671
ko:K01696	zmn:Za10_0672
ko:K01695	zmn:Za10_0673
ko:K01963	zmn:Za10_0674
ko:K08218	zmn:Za10_0676
ko:K06178	zmn:Za10_0678
ko:K01247	zmn:Za10_0864
ko:K01338	zmn:Za10_0865
ko:K00692	zmn:Za10_0867
ko:K01779	zmn:Za10_0870
ko:K00845	zmn:Za10_0871
ko:K01690	zmn:Za10_0872
ko:K00036	zmn:Za10_0873
ko:K01972	zmn:Za10_0875
ko:K00773	zmn:Za10_0876
ko:K03702	zmn:Za10_0877
ko:K05837	zmn:Za10_0879
ko:K05515	zmn:Za10_0880
ko:K03570	zmn:Za10_0882
ko:K03569	zmn:Za10_0883
ko:K03572	zmn:Za10_0884
ko:K07735	zmn:Za10_0889
ko:K03665	zmn:Za10_0890
ko:K03666	zmn:Za10_0891
ko:K03320	zmn:Za10_0892
ko:K03568	zmn:Za10_0894
ko:K02619	zmn:Za10_0895
ko:K00812	zmn:Za10_0896
ko:K03496	zmn:Za10_0900
ko:K00788	zmn:Za10_0901
ko:K01092	zmn:Za10_0903
ko:K02356	zmn:Za10_0904
ko:K03101	zmn:Za10_0908
ko:K01870	zmn:Za10_0909
ko:K11753	zmn:Za10_0910
ko:K00287	zmn:Za10_0911
ko:K02913	zmn:Za10_0969
ko:K03667	zmn:Za10_0970
ko:K01419	zmn:Za10_0971
ko:K03530	zmn:Za10_0972
ko:K02114	zmn:Za10_0974
ko:K02112	zmn:Za10_0975
ko:K02115	zmn:Za10_0976
ko:K02111	zmn:Za10_0977
ko:K02113	zmn:Za10_0978
ko:K03593	zmn:Za10_0979
ko:K03218	zmn:Za10_0982
ko:K02013	zmn:Za10_0984
ko:K02015	zmn:Za10_0985
ko:K02335	zmn:Za10_0987
ko:K00641	zmn:Za10_0989
ko:K07736	zmn:Za10_0993
ko:K05524	zmn:Za10_0994
ko:K02888	zmn:Za10_1000
ko:K02899	zmn:Za10_1001
ko:K03979	zmn:Za10_1003
ko:K00931	zmn:Za10_1004
ko:K03406	zmn:Za10_1008
ko:K01658	zmn:Za10_1009
ko:K00766	zmn:Za10_1010
ko:K01356	zmn:Za10_1011
ko:K02836	zmn:Za10_1012
ko:K05366	zmn:Za10_1013
ko:K01448	zmn:Za10_1014
ko:K08300	zmn:Za10_1017
ko:K01752	zmn:Za10_1021
ko:K01626	zmn:Za10_1023
ko:K01883	zmn:Za10_1024
ko:K01251	zmn:Za10_1027
ko:K00927	zmn:Za10_1031
ko:K00134	zmn:Za10_1032
ko:K00615	zmn:Za10_1033
ko:K09888	zmn:Za10_1036
ko:K01704	zmn:Za10_1093
ko:K01703	zmn:Za10_1094
ko:K03147	zmn:Za10_1037
ko:K01126	zmn:Za10_1040
ko:K03640	zmn:Za10_1041
ko:K03641	zmn:Za10_1042
ko:K03562	zmn:Za10_1045
ko:K07107	zmn:Za10_1046
ko:K03551	zmn:Za10_1047
ko:K03550	zmn:Za10_1050
ko:K01159	zmn:Za10_1051
ko:K00873	zmn:Za10_1054
ko:K03439	zmn:Za10_1056
ko:K00278	zmn:Za10_1059
ko:K06997	zmn:Za10_1061
ko:K07126	zmn:Za10_1068
ko:K09474	zmn:Za10_1072
ko:K02014	zmn:Za10_1073
ko:K06915	zmn:Za10_1076
ko:K07478	zmn:Za10_1078
ko:K03313	zmn:Za10_1081
ko:K00826	zmn:Za10_1084
ko:K01665	zmn:Za10_1086
ko:K00995	zmn:Za10_1100
ko:K01012	zmn:Za10_1102
ko:K03406	zmn:Za10_1109
ko:K03407	zmn:Za10_1111
ko:K00575	zmn:Za10_1112
ko:K03412	zmn:Za10_1113
ko:K03411	zmn:Za10_1114
ko:K03413	zmn:Za10_1115
ko:K03408	zmn:Za10_1116
ko:K06168	zmn:Za10_1117
ko:K06217	zmn:Za10_1118
ko:K07042	zmn:Za10_1119
ko:K03675	zmn:Za10_1122
ko:K06908	zmn:Za10_1123
ko:K07126	zmn:Za10_1124
ko:K07267	zmn:Za10_1126
ko:K01093	zmn:Za10_1128
ko:K00865	zmn:Za10_1130
ko:K00820	zmn:Za10_1132
ko:K07090	zmn:Za10_1133
ko:K06287	zmn:Za10_1135
ko:K00014	zmn:Za10_1136
ko:K00859	zmn:Za10_1137
ko:K02342	zmn:Za10_1138
ko:K02806	zmn:Za10_1140
ko:K09160	zmn:Za10_1143
ko:K00602	zmn:Za10_1148
ko:K00782	zmn:Za10_1154
ko:K03631	zmn:Za10_1213
ko:K00027	zmn:Za10_1214
ko:K04077	zmn:Za10_1215
ko:K04078	zmn:Za10_1216
ko:K04773	zmn:Za10_1217
ko:K08303	zmn:Za10_1218
ko:K07265	zmn:Za10_1221
ko:K04066	zmn:Za10_1222
ko:K00833	zmn:Za10_1225
ko:K03733	zmn:Za10_1229
ko:K01920	zmn:Za10_1230
ko:K06942	zmn:Za10_1231
ko:K01056	zmn:Za10_1232
ko:K01991	zmn:Za10_1156
ko:K03669	zmn:Za10_1157
ko:K01783	zmn:Za10_1159
ko:K03500	zmn:Za10_1160
ko:K03687	zmn:Za10_1161
ko:K03705	zmn:Za10_1162
ko:K00989	zmn:Za10_1163
ko:K07043	zmn:Za10_1167
ko:K00380	zmn:Za10_1168
ko:K00381	zmn:Za10_1169
ko:K00390	zmn:Za10_1170
ko:K02302	zmn:Za10_1171
ko:K00957	zmn:Za10_1172
ko:K00860	zmn:Za10_1174
ko:K00817	zmn:Za10_1175
ko:K02014	zmn:Za10_1176
ko:K01599	zmn:Za10_1178
ko:K08973	zmn:Za10_1179
ko:K03628	zmn:Za10_1180
ko:K01061	zmn:Za10_1182
ko:K00567	zmn:Za10_1183
ko:K03650	zmn:Za10_1184
ko:K03495	zmn:Za10_1189
ko:K03501	zmn:Za10_1190
ko:K03496	zmn:Za10_1191
ko:K03497	zmn:Za10_1192
ko:K05596	zmn:Za10_1196
ko:K06895	zmn:Za10_1197
ko:K01918	zmn:Za10_1198
ko:K00606	zmn:Za10_1199
ko:K02238	zmn:Za10_1204
ko:K01885	zmn:Za10_1205
ko:K01647	zmn:Za10_1206
ko:K02897	zmn:Za10_1233
ko:K03555	zmn:Za10_1236
ko:K02520	zmn:Za10_1237
ko:K00057	zmn:Za10_1238
ko:K01409	zmn:Za10_1239
ko:K01749	zmn:Za10_1240
ko:K01719	zmn:Za10_1241
ko:K02911	zmn:Za10_1243
ko:K03621	zmn:Za10_1244
ko:K00648	zmn:Za10_1245
ko:K03210	zmn:Za10_1246
ko:K03072	zmn:Za10_1247
ko:K03074	zmn:Za10_1248
ko:K01733	zmn:Za10_1251
ko:K06969	zmn:Za10_1253
ko:K07120	zmn:Za10_1255
ko:K09765	zmn:Za10_1257
ko:K12972	zmn:Za10_1258
ko:K07120	zmn:Za10_1259
ko:K01698	zmn:Za10_1261
ko:K01873	zmn:Za10_1262
ko:K09991	zmn:Za10_1264
ko:K07390	zmn:Za10_1267
ko:K03517	zmn:Za10_1269
ko:K00767	zmn:Za10_1270
ko:K03524	zmn:Za10_1272
ko:K03525	zmn:Za10_1273
ko:K02342	zmn:Za10_1311
ko:K06915	zmn:Za10_1312
ko:K03497	zmn:Za10_1318
ko:K03781	zmn:Za10_1329
ko:K03734	zmn:Za10_1394
ko:K03803	zmn:Za10_1395
ko:K03813	zmn:Za10_1398
ko:K02595	zmn:Za10_1399
ko:K04487	zmn:Za10_1401
ko:K02596	zmn:Za10_1407
ko:K02587	zmn:Za10_1409
ko:K02591	zmn:Za10_1410
ko:K02586	zmn:Za10_1411
ko:K02588	zmn:Za10_1412
ko:K02593	zmn:Za10_1415
ko:K02597	zmn:Za10_1416
ko:K02585	zmn:Za10_1418
ko:K02584	zmn:Za10_1419
ko:K03617	zmn:Za10_1421
ko:K03616	zmn:Za10_1422
ko:K03615	zmn:Za10_1423
ko:K03614	zmn:Za10_1424
ko:K03612	zmn:Za10_1425
ko:K03613	zmn:Za10_1426
ko:K09801	zmn:Za10_1427
ko:K02014	zmn:Za10_1428
ko:K00661	zmn:Za10_1429
ko:K01091	zmn:Za10_1430
ko:K07154	zmn:Za10_1334
ko:K03496	zmn:Za10_1342
ko:K03205	zmn:Za10_1354
ko:K07344	zmn:Za10_1362
ko:K05601	zmn:Za10_1082
ko:K03546	zmn:Za10_1369
ko:K03547	zmn:Za10_1370
ko:K01951	zmn:Za10_1383
ko:K00375	zmn:Za10_1384
ko:K01714	zmn:Za10_1385
ko:K03839	zmn:Za10_1386
ko:K02016	zmn:Za10_1389
ko:K02015	zmn:Za10_1390
ko:K02013	zmn:Za10_1391
ko:K06193	zmn:Za10_1392
ko:K03294	zmn:Za10_1431
ko:K05788	zmn:Za10_1433
ko:K02945	zmn:Za10_1435
ko:K00945	zmn:Za10_1436
ko:K00800	zmn:Za10_1437
ko:K01687	zmn:Za10_1440
ko:K09799	zmn:Za10_1449
ko:K01256	zmn:Za10_1451
ko:K01755	zmn:Za10_1456
ko:K01586	zmn:Za10_1458
ko:K00963	zmn:Za10_1459
ko:K07460	zmn:Za10_1463
ko:K07056	zmn:Za10_1464
ko:K05807	zmn:Za10_1466
ko:K00851	zmn:Za10_1467
ko:K00560	zmn:Za10_1469
ko:K00135	zmn:Za10_1470
ko:K00528	zmn:Za10_1471
ko:K04754	zmn:Za10_1476
ko:K00548	zmn:Za10_1479
ko:K00548	zmn:Za10_1480
ko:K07313	zmn:Za10_1481
ko:K03596	zmn:Za10_1482
ko:K00640	zmn:Za10_1490
ko:K06891	zmn:Za10_1494
ko:K00790	zmn:Za10_1495
ko:K05810	zmn:Za10_1497
ko:K03060	zmn:Za10_1500
ko:K00847	zmn:Za10_1501
ko:K03832	zmn:Za10_1503
ko:K03561	zmn:Za10_1504
ko:K03559	zmn:Za10_1505
ko:K03559	zmn:Za10_1506
ko:K02970	zmn:Za10_1507
ko:K03100	zmn:Za10_1510
ko:K00997	zmn:Za10_1511
ko:K03474	zmn:Za10_1512
ko:K00762	zmn:Za10_1513
ko:K05838	zmn:Za10_1514
ko:K07157	zmn:Za10_1515
ko:K03185	zmn:Za10_1516
ko:K03466	zmn:Za10_1517
ko:K01142	zmn:Za10_1520
ko:K01736	zmn:Za10_1526
ko:K00208	zmn:Za10_1527
ko:K01465	zmn:Za10_1530
ko:K06980	zmn:Za10_1531
ko:K01939	zmn:Za10_1532
ko:K02502	zmn:Za10_1533
ko:K00831	zmn:Za10_1535
ko:K01424	zmn:Za10_1536
ko:K09758	zmn:Za10_1537
ko:K03086	zmn:Za10_1594
ko:K02316	zmn:Za10_1595
ko:K09117	zmn:Za10_1597
ko:K01956	zmn:Za10_1598
ko:K01955	zmn:Za10_1599
ko:K03624	zmn:Za10_1600
ko:K07323	zmn:Za10_1602
ko:K01689	zmn:Za10_1606
ko:K00161	zmn:Za10_1608
ko:K00162	zmn:Za10_1609
ko:K03469	zmn:Za10_1613
ko:K02204	zmn:Za10_1614
ko:K01662	zmn:Za10_1616
ko:K01775	zmn:Za10_1619
ko:K02066	zmn:Za10_1620
ko:K02065	zmn:Za10_1621
ko:K03701	zmn:Za10_1623
ko:K03594	zmn:Za10_1625
ko:K03629	zmn:Za10_1626
ko:K02470	zmn:Za10_1627
ko:K06889	zmn:Za10_1630
ko:K07223	zmn:Za10_1635
ko:K00426	zmn:Za10_1637
ko:K00425	zmn:Za10_1638
ko:K00656	zmn:Za10_1639
ko:K01892	zmn:Za10_1694
ko:K01507	zmn:Za10_1695
ko:K09985	zmn:Za10_1697
ko:K01693	zmn:Za10_1698
ko:K02501	zmn:Za10_1699
ko:K01814	zmn:Za10_1700
ko:K02500	zmn:Za10_1701
ko:K01523	zmn:Za10_1702
ko:K03294	zmn:Za10_1704
ko:K06966	zmn:Za10_1540
ko:K03575	zmn:Za10_1542
ko:K06134	zmn:Za10_1549
ko:K03797	zmn:Za10_1551
ko:K00783	zmn:Za10_1553
ko:K09710	zmn:Za10_1554
ko:K00969	zmn:Za10_1555
ko:K00147	zmn:Za10_1556
