ko:K16697	bsl:A7A1_1167
ko:K00950	bsl:A7A1_0891
ko:K01633	bsl:A7A1_0890
ko:K00796	bsl:A7A1_0889
ko:K02619	bsl:A7A1_0888
ko:K01665	bsl:A7A1_0886
ko:K01738	bsl:A7A1_0885
ko:K19578	bsl:A7A1_3642
ko:K05592	bsl:A7A1_2019
ko:K02768	bsl:A7A1_0033
ko:K02769	bsl:A7A1_0033
ko:K02770	bsl:A7A1_0033
ko:K19689	bsl:A7A1_2379
ko:K03297	bsl:A7A1_2575
ko:K18198	bsl:A7A1_1750
ko:K07315	bsl:A7A1_1403
ko:K07723	bsl:A7A1_1398
ko:K01775	bsl:A7A1_1397
ko:K00997	bsl:A7A1_1395
ko:K08981	bsl:A7A1_1595
ko:K09167	bsl:A7A1_1596
ko:K05592	bsl:A7A1_1597
ko:K01929	bsl:A7A1_1598
ko:K01921	bsl:A7A1_1599
ko:K11103	bsl:A7A1_1608
ko:K11692	bsl:A7A1_1609
ko:K11741	bsl:A7A1_2669
ko:K06350	bsl:A7A1_3069
ko:K07160	bsl:A7A1_3073
ko:K03100	bsl:A7A1_3077
ko:K07246	bsl:A7A1_3078
ko:K00009	bsl:A7A1_3079
ko:K02799	bsl:A7A1_3080
ko:K02800	bsl:A7A1_3080
ko:K14166	bsl:A7A1_3083
ko:K05340	bsl:A7A1_3086
ko:K00135	bsl:A7A1_3087
ko:K00375	bsl:A7A1_3089
ko:K02016	bsl:A7A1_3095
ko:K02013	bsl:A7A1_3096
ko:K02015	bsl:A7A1_3097
ko:K02015	bsl:A7A1_3098
ko:K00928	bsl:A7A1_3099
ko:K00362	bsl:A7A1_1866
ko:K00372	bsl:A7A1_1867
ko:K00362	bsl:A7A1_1868
ko:K00363	bsl:A7A1_1869
ko:K13542	bsl:A7A1_1870
ko:K07089	bsl:A7A1_1873
ko:K11928	bsl:A7A1_1876
ko:K00294	bsl:A7A1_1877
ko:K02575	bsl:A7A1_1865
ko:K00318	bsl:A7A1_1878
ko:K07074	bsl:A7A1_1879
ko:K01060	bsl:A7A1_1880
ko:K00891	bsl:A7A1_1883
ko:K01916	bsl:A7A1_1885
ko:K09967	bsl:A7A1_1887
ko:K09190	bsl:A7A1_1888
ko:K09007	bsl:A7A1_1864
ko:K03303	bsl:A7A1_1892
ko:K00016	bsl:A7A1_1893
ko:K03116	bsl:A7A1_1935
ko:K01113	bsl:A7A1_1936
ko:K01449	bsl:A7A1_1939
ko:K01706	bsl:A7A1_1951
ko:K03535	bsl:A7A1_1952
ko:K01707	bsl:A7A1_3235
ko:K07719	bsl:A7A1_3236
ko:K07717	bsl:A7A1_3237
ko:K07717	bsl:A7A1_3238
ko:K01425	bsl:A7A1_3239
ko:K11626	bsl:A7A1_3240
ko:K00547	bsl:A7A1_3241
ko:K00826	bsl:A7A1_3243
ko:K00627	bsl:A7A1_0609
ko:K03215	bsl:A7A1_0616
ko:K01247	bsl:A7A1_0617
ko:K03284	bsl:A7A1_0618
ko:K07300	bsl:A7A1_0625
ko:K07058	bsl:A7A1_0627
ko:K01104	bsl:A7A1_0629
ko:K05520	bsl:A7A1_0632
ko:K03486	bsl:A7A1_0635
ko:K01226	bsl:A7A1_0636
ko:K02818	bsl:A7A1_0637
ko:K02819	bsl:A7A1_0637
ko:K03310	bsl:A7A1_0639
ko:K03427	bsl:A7A1_1716
ko:K03215	bsl:A7A1_1715
ko:K02434	bsl:A7A1_3134
ko:K02433	bsl:A7A1_3133
ko:K02435	bsl:A7A1_3132
ko:K03307	bsl:A7A1_3131
ko:K07507	bsl:A7A1_3130
ko:K01972	bsl:A7A1_3127
ko:K03657	bsl:A7A1_3126
ko:K13531	bsl:A7A1_3300
ko:K13530	bsl:A7A1_3301
ko:K01247	bsl:A7A1_3302
ko:K00820	bsl:A7A1_3304
ko:K03431	bsl:A7A1_3305
ko:K03088	bsl:A7A1_3309
ko:K07106	bsl:A7A1_1569
ko:K01207	bsl:A7A1_1565
ko:K02016	bsl:A7A1_1562
ko:K02015	bsl:A7A1_1561
ko:K02015	bsl:A7A1_1560
ko:K03319	bsl:A7A1_0656
ko:K01728	bsl:A7A1_0657
ko:K01708	bsl:A7A1_1949
ko:K02016	bsl:A7A1_1795
ko:K02015	bsl:A7A1_1794
ko:K02015	bsl:A7A1_1793
ko:K02013	bsl:A7A1_1792
ko:K06872	bsl:A7A1_0010
ko:K03969	bsl:A7A1_0008
ko:K00847	bsl:A7A1_0007
ko:K04077	bsl:A7A1_0002
ko:K04078	bsl:A7A1_0001
ko:K07052	bsl:A7A1_0000
ko:K03118	bsl:A7A1_1840
ko:K03116	bsl:A7A1_1841
ko:K01926	bsl:A7A1_1842
ko:K03637	bsl:A7A1_1843
ko:K06158	bsl:A7A1_1844
ko:K01409	bsl:A7A1_1845
ko:K03789	bsl:A7A1_1846
ko:K06925	bsl:A7A1_1848
ko:K00946	bsl:A7A1_1849
ko:K07217	bsl:A7A1_1393
ko:K01809	bsl:A7A1_1391
ko:K00847	bsl:A7A1_1390
ko:K03492	bsl:A7A1_1389
ko:K01223	bsl:A7A1_1388
ko:K02761	bsl:A7A1_1387
ko:K02759	bsl:A7A1_1386
ko:K02760	bsl:A7A1_1385
ko:K06885	bsl:A7A1_1382
ko:K05937	bsl:A7A1_1379
ko:K01077	bsl:A7A1_1378
ko:K07090	bsl:A7A1_1373
ko:K07552	bsl:A7A1_1372
ko:K06994	bsl:A7A1_1369
ko:K06994	bsl:A7A1_1368
ko:K03321	bsl:A7A1_1557
ko:K06349	bsl:A7A1_0050
ko:K06294	bsl:A7A1_0051
ko:K03593	bsl:A7A1_0052
ko:K01448	bsl:A7A1_0053
ko:K02996	bsl:A7A1_0056
ko:K02871	bsl:A7A1_0057
ko:K15738	bsl:A7A1_1780
ko:K03294	bsl:A7A1_1777
ko:K01153	bsl:A7A1_1718
ko:K01154	bsl:A7A1_1717
ko:K07094	bsl:A7A1_3125
ko:K01265	bsl:A7A1_0068
ko:K00939	bsl:A7A1_0069
ko:K03076	bsl:A7A1_0070
ko:K02876	bsl:A7A1_0071
ko:K02907	bsl:A7A1_0072
ko:K02988	bsl:A7A1_0073
ko:K02881	bsl:A7A1_0074
ko:K02933	bsl:A7A1_0075
ko:K02994	bsl:A7A1_0076
ko:K02954	bsl:A7A1_0077
ko:K02931	bsl:A7A1_0078
ko:K02895	bsl:A7A1_0079
ko:K02874	bsl:A7A1_0080
ko:K02961	bsl:A7A1_0081
ko:K02904	bsl:A7A1_0082
ko:K02878	bsl:A7A1_0083
ko:K02982	bsl:A7A1_0084
ko:K02890	bsl:A7A1_0085
ko:K02965	bsl:A7A1_0086
ko:K02886	bsl:A7A1_0087
ko:K02892	bsl:A7A1_0088
ko:K02926	bsl:A7A1_0089
ko:K02803	bsl:A7A1_0643
ko:K02804	bsl:A7A1_0643
ko:K01265	bsl:A7A1_0644
ko:K01512	bsl:A7A1_0649
ko:K00491	bsl:A7A1_0650
ko:K03704	bsl:A7A1_1311
ko:K07729	bsl:A7A1_1307
ko:K03095	bsl:A7A1_1409
ko:K06959	bsl:A7A1_1408
ko:K05518	bsl:A7A1_1407
ko:K03090	bsl:A7A1_1406
ko:K04749	bsl:A7A1_1404
ko:K07736	bsl:A7A1_1312
ko:K02445	bsl:A7A1_3268
ko:K01126	bsl:A7A1_3269
ko:K15629	bsl:A7A1_3272
ko:K00820	bsl:A7A1_3291
ko:K09822	bsl:A7A1_3297
ko:K09822	bsl:A7A1_3298
ko:K05577	bsl:A7A1_3299
ko:K01486	bsl:A7A1_3121
ko:K16263	bsl:A7A1_3120
ko:K01945	bsl:A7A1_3118
ko:K00602	bsl:A7A1_3117
ko:K11175	bsl:A7A1_3116
ko:K01933	bsl:A7A1_3115
ko:K00764	bsl:A7A1_3114
ko:K01952	bsl:A7A1_3113
ko:K01952	bsl:A7A1_3112
ko:K01952	bsl:A7A1_3111
ko:K01923	bsl:A7A1_3110
ko:K01756	bsl:A7A1_3109
ko:K01589	bsl:A7A1_3108
ko:K01588	bsl:A7A1_3107
ko:K06901	bsl:A7A1_2416
ko:K03088	bsl:A7A1_2414
ko:K01951	bsl:A7A1_2413
ko:K02564	bsl:A7A1_3246
ko:K11102	bsl:A7A1_3248
ko:K07146	bsl:A7A1_3249
ko:K06880	bsl:A7A1_3250
ko:K01613	bsl:A7A1_3252
ko:K08289	bsl:A7A1_3258
ko:K03710	bsl:A7A1_3245
ko:K06173	bsl:A7A1_0058
ko:K02879	bsl:A7A1_0062
ko:K03040	bsl:A7A1_0063
ko:K02948	bsl:A7A1_0064
ko:K02952	bsl:A7A1_0065
ko:K02919	bsl:A7A1_0066
ko:K02518	bsl:A7A1_0067
ko:K11735	bsl:A7A1_0021
ko:K03924	bsl:A7A1_2410
ko:K07406	bsl:A7A1_1757
ko:K15532	bsl:A7A1_1744
ko:K02026	bsl:A7A1_1743
ko:K02025	bsl:A7A1_1742
ko:K07720	bsl:A7A1_1740
ko:K07718	bsl:A7A1_1739
ko:K06334	bsl:A7A1_1735
ko:K06333	bsl:A7A1_1734
ko:K06332	bsl:A7A1_1733
ko:K16137	bsl:A7A1_1730
ko:K03893	bsl:A7A1_1336
ko:K07002	bsl:A7A1_1328
ko:K00375	bsl:A7A1_1326
ko:K11189	bsl:A7A1_1323
ko:K13653	bsl:A7A1_1316
ko:K18924	bsl:A7A1_2668
ko:K02004	bsl:A7A1_2120
ko:K02003	bsl:A7A1_2121
ko:K06295	bsl:A7A1_2124
ko:K03305	bsl:A7A1_2127
ko:K01259	bsl:A7A1_2128
ko:K03186	bsl:A7A1_2131
ko:K02424	bsl:A7A1_2133
ko:K10009	bsl:A7A1_2134
ko:K10010	bsl:A7A1_2135
ko:K06133	bsl:A7A1_2201
ko:K08093	bsl:A7A1_1851
ko:K08094	bsl:A7A1_1852
ko:K03406	bsl:A7A1_1853
ko:K01223	bsl:A7A1_1856
ko:K01176	bsl:A7A1_1894
ko:K14665	bsl:A7A1_1897
ko:K02002	bsl:A7A1_1898
ko:K02001	bsl:A7A1_1899
ko:K02000	bsl:A7A1_1900
ko:K08369	bsl:A7A1_1903
ko:K05795	bsl:A7A1_1907
ko:K05795	bsl:A7A1_1908
ko:K09816	bsl:A7A1_1911
ko:K09817	bsl:A7A1_1912
ko:K09815	bsl:A7A1_1913
ko:K01182	bsl:A7A1_1914
ko:K09696	bsl:A7A1_1922
ko:K09697	bsl:A7A1_1923
ko:K07039	bsl:A7A1_1926
ko:K01424	bsl:A7A1_1929
ko:K01304	bsl:A7A1_1933
ko:K03118	bsl:A7A1_1934
ko:K01560	bsl:A7A1_1776
ko:K08223	bsl:A7A1_1775
ko:K01709	bsl:A7A1_1771
ko:K00978	bsl:A7A1_1770
ko:K14338	bsl:A7A1_1768
ko:K06890	bsl:A7A1_1764
ko:K11737	bsl:A7A1_1365
ko:K13993	bsl:A7A1_1358
ko:K15977	bsl:A7A1_1352
ko:K15975	bsl:A7A1_1351
ko:K15976	bsl:A7A1_1350
ko:K07150	bsl:A7A1_1347
ko:K07217	bsl:A7A1_1612
ko:K03322	bsl:A7A1_1619
ko:K00158	bsl:A7A1_1621
ko:K03719	bsl:A7A1_1630
ko:K03817	bsl:A7A1_1634
ko:K19417	bsl:A7A1_2657
ko:K19563	bsl:A7A1_1653
ko:K18924	bsl:A7A1_1453
ko:K01977	bsl:A7A1_3875
ko:K01977	bsl:A7A1_3869
ko:K01977	bsl:A7A1_3866
ko:K01977	bsl:A7A1_3857
ko:K01977	bsl:A7A1_3854
ko:K18939	bsl:A7A1_2405
ko:K07260	bsl:A7A1_2833
ko:K18926	bsl:A7A1_1931
ko:K18939	bsl:A7A1_1930
ko:K01732	bsl:A7A1_2451
ko:K19427	bsl:A7A1_2647
ko:K10040	bsl:A7A1_0388
ko:K03296	bsl:A7A1_3136
ko:K14742	bsl:A7A1_1847
ko:K00571	bsl:A7A1_0732
ko:K18682	bsl:A7A1_3391
ko:K07155	bsl:A7A1_2406
ko:K15313	bsl:A7A1_3369
ko:K06352	bsl:A7A1_0253
ko:K06353	bsl:A7A1_3100
ko:K06354	bsl:A7A1_0846
ko:K06355	bsl:A7A1_0166
ko:K06435	bsl:A7A1_1072
ko:K06291	bsl:A7A1_1137
ko:K06288	bsl:A7A1_2522
ko:K06360	bsl:A7A1_1043
ko:K06366	bsl:A7A1_1727
ko:K01977	bsl:A7A1_3872
ko:K01977	bsl:A7A1_3860
ko:K09022	bsl:A7A1_1823
ko:K11752	bsl:A7A1_3017
ko:K00793	bsl:A7A1_3016
ko:K14652	bsl:A7A1_3015
ko:K00794	bsl:A7A1_3014
ko:K02859	bsl:A7A1_3013
ko:K05896	bsl:A7A1_3011
ko:K06024	bsl:A7A1_3010
ko:K06373	bsl:A7A1_3007
ko:K06374	bsl:A7A1_3006
ko:K06178	bsl:A7A1_3005
ko:K07399	bsl:A7A1_3003
ko:K07775	bsl:A7A1_3001
ko:K07651	bsl:A7A1_3000
ko:K03088	bsl:A7A1_2999
ko:K03785	bsl:A7A1_2997
ko:K03654	bsl:A7A1_2991
ko:K16511	bsl:A7A1_2986
ko:K00260	bsl:A7A1_2985
ko:K00384	bsl:A7A1_2984
ko:K01449	bsl:A7A1_2982
ko:K00945	bsl:A7A1_2978
ko:K02945	bsl:A7A1_2977
ko:K05739	bsl:A7A1_2974
ko:K03977	bsl:A7A1_2973
ko:K00057	bsl:A7A1_2972
ko:K06398	bsl:A7A1_2969
ko:K03530	bsl:A7A1_2968
ko:K01495	bsl:A7A1_2967
ko:K03183	bsl:A7A1_2964
ko:K00940	bsl:A7A1_2962
ko:K01736	bsl:A7A1_2960
ko:K01735	bsl:A7A1_2959
ko:K06208	bsl:A7A1_2958
ko:K01657	bsl:A7A1_2957
ko:K00766	bsl:A7A1_2956
ko:K01609	bsl:A7A1_2955
ko:K01817	bsl:A7A1_2954
ko:K01696	bsl:A7A1_2953
ko:K01695	bsl:A7A1_2952
ko:K00817	bsl:A7A1_2951
ko:K00800	bsl:A7A1_2949
ko:K03887	bsl:A7A1_2944
ko:K03888	bsl:A7A1_2943
ko:K03666	bsl:A7A1_3345
ko:K00791	bsl:A7A1_3346
ko:K15311	bsl:A7A1_3371
ko:K00646	bsl:A7A1_3372
ko:K03572	bsl:A7A1_3382
ko:K03555	bsl:A7A1_3383
ko:K06328	bsl:A7A1_3384
ko:K06168	bsl:A7A1_3386
ko:K00060	bsl:A7A1_3388
ko:K06416	bsl:A7A1_3389
ko:K09769	bsl:A7A1_3390
ko:K00995	bsl:A7A1_3395
ko:K08221	bsl:A7A1_3402
ko:K03710	bsl:A7A1_3403
ko:K03466	bsl:A7A1_3404
ko:K01714	bsl:A7A1_3407
ko:K00928	bsl:A7A1_3408
ko:K00133	bsl:A7A1_3409
ko:K06411	bsl:A7A1_3410
ko:K06410	bsl:A7A1_3411
ko:K00962	bsl:A7A1_3415
ko:K02956	bsl:A7A1_3416
ko:K11753	bsl:A7A1_3417
ko:K02834	bsl:A7A1_3419
ko:K02519	bsl:A7A1_3421
ko:K07742	bsl:A7A1_3423
ko:K02600	bsl:A7A1_3424
ko:K09748	bsl:A7A1_3425
ko:K03763	bsl:A7A1_3426
ko:K01881	bsl:A7A1_3427
ko:K11749	bsl:A7A1_3428
ko:K00099	bsl:A7A1_3429
ko:K00981	bsl:A7A1_3430
ko:K00806	bsl:A7A1_3431
ko:K02838	bsl:A7A1_3432
ko:K09903	bsl:A7A1_3433
ko:K02357	bsl:A7A1_3434
ko:K02967	bsl:A7A1_3435
ko:K02405	bsl:A7A1_3437
ko:K03411	bsl:A7A1_3438
ko:K03410	bsl:A7A1_3439
ko:K03408	bsl:A7A1_3440
ko:K03407	bsl:A7A1_3442
ko:K03412	bsl:A7A1_3443
ko:K04562	bsl:A7A1_3444
ko:K02404	bsl:A7A1_3445
ko:K02400	bsl:A7A1_3446
ko:K02401	bsl:A7A1_3447
ko:K02421	bsl:A7A1_3448
ko:K02420	bsl:A7A1_3449
ko:K02419	bsl:A7A1_3450
ko:K02418	bsl:A7A1_3451
ko:K03413	bsl:A7A1_3452
ko:K02417	bsl:A7A1_3453
ko:K02416	bsl:A7A1_3454
ko:K02415	bsl:A7A1_3455
ko:K02390	bsl:A7A1_3456
ko:K02389	bsl:A7A1_3457
ko:K02413	bsl:A7A1_3460
ko:K02412	bsl:A7A1_3461
ko:K02411	bsl:A7A1_3462
ko:K02410	bsl:A7A1_3463
ko:K02409	bsl:A7A1_3464
ko:K02408	bsl:A7A1_3465
ko:K02388	bsl:A7A1_3466
ko:K02387	bsl:A7A1_3467
ko:K03706	bsl:A7A1_3468
ko:K03667	bsl:A7A1_3469
ko:K01419	bsl:A7A1_3470
ko:K03733	bsl:A7A1_3471
ko:K04094	bsl:A7A1_3472
ko:K03168	bsl:A7A1_3473
ko:K04096	bsl:A7A1_3474
ko:K01902	bsl:A7A1_3475
ko:K01903	bsl:A7A1_3476
ko:K04061	bsl:A7A1_3477
ko:K03470	bsl:A7A1_3479
ko:K14540	bsl:A7A1_3480
ko:K02884	bsl:A7A1_3481
ko:K00554	bsl:A7A1_3482
ko:K02860	bsl:A7A1_3483
ko:K06960	bsl:A7A1_3485
ko:K02959	bsl:A7A1_3486
ko:K03106	bsl:A7A1_3487
ko:K03110	bsl:A7A1_3490
ko:K03529	bsl:A7A1_3491
ko:K03685	bsl:A7A1_3492
ko:K02078	bsl:A7A1_3493
ko:K00645	bsl:A7A1_3495
ko:K03621	bsl:A7A1_3496
ko:K03655	bsl:A7A1_3498
ko:K01752	bsl:A7A1_3499
ko:K01752	bsl:A7A1_3500
ko:K02015	bsl:A7A1_0280
ko:K02954	bsl:A7A1_3838
ko:K15554	bsl:A7A1_3841
ko:K15553	bsl:A7A1_3842
ko:K03781	bsl:A7A1_3844
ko:K03564	bsl:A7A1_0307
ko:K01845	bsl:A7A1_0306
ko:K06422	bsl:A7A1_0301
ko:K10780	bsl:A7A1_0300
ko:K03575	bsl:A7A1_0298
ko:K07038	bsl:A7A1_0297
ko:K06428	bsl:A7A1_0290
ko:K03565	bsl:A7A1_0287
ko:K07071	bsl:A7A1_0286
ko:K01442	bsl:A7A1_1988
ko:K04023	bsl:A7A1_1997
ko:K05346	bsl:A7A1_1999
ko:K00756	bsl:A7A1_2001
ko:K06375	bsl:A7A1_0434
ko:K03979	bsl:A7A1_0433
ko:K06209	bsl:A7A1_0432
ko:K04487	bsl:A7A1_0429
ko:K00278	bsl:A7A1_0428
ko:K00767	bsl:A7A1_0427
ko:K03517	bsl:A7A1_0426
ko:K06370	bsl:A7A1_0425
ko:K03310	bsl:A7A1_0422
ko:K06318	bsl:A7A1_0417
ko:K03550	bsl:A7A1_0416
ko:K03551	bsl:A7A1_0415
ko:K07568	bsl:A7A1_0414
ko:K00773	bsl:A7A1_0413
ko:K03210	bsl:A7A1_0412
ko:K06409	bsl:A7A1_0409
ko:K12257	bsl:A7A1_0407
ko:K07228	bsl:A7A1_0406
ko:K07462	bsl:A7A1_0404
ko:K00759	bsl:A7A1_0403
ko:K07560	bsl:A7A1_0401
ko:K01448	bsl:A7A1_0400
ko:K01892	bsl:A7A1_0398
ko:K01876	bsl:A7A1_0397
ko:K07478	bsl:A7A1_0395
ko:K04487	bsl:A7A1_0393
ko:K00566	bsl:A7A1_0392
ko:K03581	bsl:A7A1_0390
ko:K10040	bsl:A7A1_0387
ko:K10039	bsl:A7A1_0386
ko:K01872	bsl:A7A1_0383
ko:K07447	bsl:A7A1_0381
ko:K07082	bsl:A7A1_0379
ko:K08303	bsl:A7A1_0377
ko:K08303	bsl:A7A1_0376
ko:K00876	bsl:A7A1_0375
ko:K03624	bsl:A7A1_0374
ko:K00123	bsl:A7A1_0364
ko:K03088	bsl:A7A1_0353
ko:K11737	bsl:A7A1_0350
ko:K05520	bsl:A7A1_0343
ko:K13979	bsl:A7A1_0342
ko:K03300	bsl:A7A1_0780
ko:K03088	bsl:A7A1_0782
ko:K01776	bsl:A7A1_0785
ko:K00459	bsl:A7A1_0786
ko:K03623	bsl:A7A1_0794
ko:K03311	bsl:A7A1_0798
ko:K16264	bsl:A7A1_0802
ko:K08153	bsl:A7A1_0808
ko:K07090	bsl:A7A1_0819
ko:K07148	bsl:A7A1_0825
ko:K03091	bsl:A7A1_0828
ko:K01223	bsl:A7A1_2006
ko:K03300	bsl:A7A1_2023
ko:K03781	bsl:A7A1_2024
ko:K16323	bsl:A7A1_2027
ko:K00563	bsl:A7A1_2028
ko:K01028	bsl:A7A1_2030
ko:K01029	bsl:A7A1_2031
ko:K00019	bsl:A7A1_2032
ko:K00425	bsl:A7A1_2051
ko:K00426	bsl:A7A1_2052
ko:K03088	bsl:A7A1_2057
ko:K03781	bsl:A7A1_2064
ko:K03652	bsl:A7A1_2065
ko:K02760	bsl:A7A1_2068
ko:K02761	bsl:A7A1_2069
ko:K02759	bsl:A7A1_2070
ko:K00826	bsl:A7A1_2072
ko:K14189	bsl:A7A1_2073
ko:K03740	bsl:A7A1_2074
ko:K14188	bsl:A7A1_2075
ko:K03739	bsl:A7A1_2076
ko:K03367	bsl:A7A1_2077
ko:K02548	bsl:A7A1_2078
ko:K00868	bsl:A7A1_0221
ko:K03648	bsl:A7A1_0216
ko:K06305	bsl:A7A1_0211
ko:K00973	bsl:A7A1_0203
ko:K00067	bsl:A7A1_0201
ko:K01790	bsl:A7A1_0200
ko:K00260	bsl:A7A1_0198
ko:K02205	bsl:A7A1_0195
ko:K06314	bsl:A7A1_0181
ko:K06885	bsl:A7A1_0179
ko:K01868	bsl:A7A1_0175
ko:K01821	bsl:A7A1_0173
ko:K00797	bsl:A7A1_0169
ko:K01866	bsl:A7A1_2085
ko:K02761	bsl:A7A1_2092
ko:K06969	bsl:A7A1_2094
ko:K05820	bsl:A7A1_2096
ko:K00878	bsl:A7A1_2100
ko:K00788	bsl:A7A1_2101
ko:K07243	bsl:A7A1_2102
ko:K07224	bsl:A7A1_2103
ko:K16301	bsl:A7A1_2104
ko:K14393	bsl:A7A1_2106
ko:K00849	bsl:A7A1_2111
ko:K00965	bsl:A7A1_2112
ko:K02826	bsl:A7A1_2114
ko:K02827	bsl:A7A1_2115
ko:K02828	bsl:A7A1_2116
ko:K02829	bsl:A7A1_2117
ko:K05837	bsl:A7A1_2119
ko:K14647	bsl:A7A1_1839
ko:K02598	bsl:A7A1_0225
ko:K01193	bsl:A7A1_0223
ko:K03387	bsl:A7A1_2396
ko:K11476	bsl:A7A1_2399
ko:K00865	bsl:A7A1_2400
ko:K07148	bsl:A7A1_2407
ko:K04079	bsl:A7A1_1960
ko:K06608	bsl:A7A1_1965
ko:K00140	bsl:A7A1_1966
ko:K03337	bsl:A7A1_1967
ko:K03338	bsl:A7A1_1968
ko:K03336	bsl:A7A1_1969
ko:K03335	bsl:A7A1_1970
ko:K06605	bsl:A7A1_1973
ko:K06606	bsl:A7A1_1974
ko:K02016	bsl:A7A1_1981
ko:K03531	bsl:A7A1_0496
ko:K03590	bsl:A7A1_0497
ko:K03589	bsl:A7A1_0501
ko:K00075	bsl:A7A1_0502
ko:K02563	bsl:A7A1_0504
ko:K03588	bsl:A7A1_0505
ko:K01925	bsl:A7A1_0506
ko:K01000	bsl:A7A1_0507
ko:K01928	bsl:A7A1_0508
ko:K08384	bsl:A7A1_0509
ko:K03438	bsl:A7A1_0512
ko:K03925	bsl:A7A1_0513
ko:K00077	bsl:A7A1_0515
ko:K02911	bsl:A7A1_0518
ko:K07040	bsl:A7A1_0519
ko:K07001	bsl:A7A1_0522
ko:K00954	bsl:A7A1_0524
ko:K02276	bsl:A7A1_0535
ko:K02275	bsl:A7A1_0537
ko:K02259	bsl:A7A1_0539
ko:K03588	bsl:A7A1_0541
ko:K01425	bsl:A7A1_0544
ko:K07175	bsl:A7A1_0546
ko:K06207	bsl:A7A1_0550
ko:K03088	bsl:A7A1_0554
ko:K00382	bsl:A7A1_0566
ko:K00627	bsl:A7A1_0567
ko:K00162	bsl:A7A1_0568
ko:K00161	bsl:A7A1_0569
ko:K01462	bsl:A7A1_0572
ko:K01486	bsl:A7A1_0576
ko:K03569	bsl:A7A1_0581
ko:K00077	bsl:A7A1_2378
ko:K03100	bsl:A7A1_2375
