ko:K09796	ahh:RY45_18710
ko:K13634	ahh:RY45_09825
ko:K01497	ahh:RY45_09830
ko:K00945	ahh:RY45_09835
ko:K02945	ahh:RY45_09840
ko:K05788	ahh:RY45_09845
ko:K08992	ahh:RY45_09850
ko:K01591	ahh:RY45_09860
ko:K06920	ahh:RY45_09875
ko:K10026	ahh:RY45_09880
ko:K09954	ahh:RY45_09885
ko:K00798	ahh:RY45_09890
ko:K12543	ahh:RY45_14195
ko:K12542	ahh:RY45_14200
ko:K12541	ahh:RY45_14205
ko:K07139	ahh:RY45_14210
ko:K00265	ahh:RY45_14220
ko:K00266	ahh:RY45_14225
ko:K10010	ahh:RY45_14230
ko:K10009	ahh:RY45_14235
ko:K02424	ahh:RY45_14240
ko:K13639	ahh:RY45_14255
ko:K00657	ahh:RY45_14285
ko:K07080	ahh:RY45_02040
ko:K03446	ahh:RY45_02055
ko:K03543	ahh:RY45_02060
ko:K05595	ahh:RY45_02085
ko:K03116	ahh:RY45_02095
ko:K08993	ahh:RY45_02130
ko:K08316	ahh:RY45_02135
ko:K03110	ahh:RY45_02140
ko:K09812	ahh:RY45_02145
ko:K09811	ahh:RY45_02150
ko:K03089	ahh:RY45_02155
ko:K01673	ahh:RY45_02160
ko:K05836	ahh:RY45_02165
ko:K01468	ahh:RY45_02170
ko:K01479	ahh:RY45_02175
ko:K01712	ahh:RY45_02180
ko:K01745	ahh:RY45_02185
ko:K07300	ahh:RY45_02190
ko:K18765	ahh:RY45_02200
ko:K12279	ahh:RY45_02210
ko:K12280	ahh:RY45_02220
ko:K12281	ahh:RY45_02225
ko:K12282	ahh:RY45_02230
ko:K12283	ahh:RY45_02235
ko:K12284	ahh:RY45_02240
ko:K12276	ahh:RY45_02245
ko:K12278	ahh:RY45_02250
ko:K10925	ahh:RY45_02260
ko:K10924	ahh:RY45_02265
ko:K10926	ahh:RY45_02270
ko:K10927	ahh:RY45_02275
ko:K12285	ahh:RY45_02280
ko:K12286	ahh:RY45_02285
ko:K12287	ahh:RY45_02290
ko:K03569	ahh:RY45_02295
ko:K03570	ahh:RY45_02300
ko:K03571	ahh:RY45_02305
ko:K06287	ahh:RY45_02310
ko:K08301	ahh:RY45_02315
ko:K03568	ahh:RY45_02335
ko:K00884	ahh:RY45_06705
ko:K06201	ahh:RY45_06710
ko:K03773	ahh:RY45_06720
ko:K01990	ahh:RY45_06725
ko:K09969	ahh:RY45_06740
ko:K09970	ahh:RY45_06745
ko:K09971	ahh:RY45_06750
ko:K09972	ahh:RY45_06755
ko:K01912	ahh:RY45_06770
ko:K07301	ahh:RY45_06780
ko:K01581	ahh:RY45_06785
ko:K03310	ahh:RY45_06790
ko:K15125	ahh:RY45_06805
ko:K16345	ahh:RY45_06820
ko:K00027	ahh:RY45_06845
ko:K03286	ahh:RY45_06850
ko:K03286	ahh:RY45_06855
ko:K03286	ahh:RY45_06860
ko:K03308	ahh:RY45_06875
ko:K07001	ahh:RY45_06880
ko:K03810	ahh:RY45_06925
ko:K01159	ahh:RY45_06935
ko:K06188	ahh:RY45_06940
ko:K01176	ahh:RY45_06950
ko:K08642	ahh:RY45_06955
ko:K06131	ahh:RY45_06970
ko:K01433	ahh:RY45_06980
ko:K02858	ahh:RY45_06985
ko:K06078	ahh:RY45_06990
ko:K05838	ahh:RY45_06995
ko:K06726	ahh:RY45_11320
ko:K00799	ahh:RY45_11325
ko:K14058	ahh:RY45_11340
ko:K01649	ahh:RY45_14320
ko:K01955	ahh:RY45_14325
ko:K01956	ahh:RY45_14330
ko:K00215	ahh:RY45_14335
ko:K01934	ahh:RY45_14345
ko:K01807	ahh:RY45_14350
ko:K00058	ahh:RY45_14360
ko:K00901	ahh:RY45_14365
ko:K01626	ahh:RY45_14370
ko:K06074	ahh:RY45_14380
ko:K06073	ahh:RY45_14385
ko:K02030	ahh:RY45_14390
ko:K09922	ahh:RY45_14395
ko:K02670	ahh:RY45_14400
ko:K00975	ahh:RY45_14405
ko:K04759	ahh:RY45_14420
ko:K04758	ahh:RY45_14425
ko:K03113	ahh:RY45_14430
ko:K02030	ahh:RY45_14455
ko:K02030	ahh:RY45_14460
ko:K09131	ahh:RY45_18750
ko:K02221	ahh:RY45_18755
ko:K00286	ahh:RY45_18760
ko:K06997	ahh:RY45_18765
ko:K02669	ahh:RY45_18770
ko:K02670	ahh:RY45_18775
ko:K09861	ahh:RY45_18780
ko:K05590	ahh:RY45_18785
ko:K15460	ahh:RY45_18790
ko:K03311	ahh:RY45_18795
ko:K03311	ahh:RY45_18800
ko:K03409	ahh:RY45_18810
ko:K05539	ahh:RY45_18820
ko:K05787	ahh:RY45_18830
ko:K07740	ahh:RY45_18835
ko:K04485	ahh:RY45_18845
ko:K01079	ahh:RY45_18860
ko:K07186	ahh:RY45_18865
ko:K03784	ahh:RY45_18875
ko:K01839	ahh:RY45_18880
ko:K00758	ahh:RY45_18885
ko:K01619	ahh:RY45_18890
ko:K03317	ahh:RY45_18900
ko:K03424	ahh:RY45_18905
ko:K03215	ahh:RY45_18915
ko:K03320	ahh:RY45_18920
ko:K14055	ahh:RY45_11345
ko:K09792	ahh:RY45_11355
ko:K01533	ahh:RY45_11365
ko:K09926	ahh:RY45_11370
ko:K00406	ahh:RY45_11375
ko:K00407	ahh:RY45_11380
ko:K00405	ahh:RY45_11385
ko:K00404	ahh:RY45_11390
ko:K03607	ahh:RY45_11405
ko:K03797	ahh:RY45_11410
ko:K01256	ahh:RY45_11415
ko:K15371	ahh:RY45_11425
ko:K00254	ahh:RY45_11430
ko:K18657	ahh:RY45_11435
ko:K12297	ahh:RY45_11440
ko:K15738	ahh:RY45_11450
ko:K01716	ahh:RY45_11460
ko:K04770	ahh:RY45_11465
ko:K09918	ahh:RY45_11475
ko:K01720	ahh:RY45_11525
ko:K01659	ahh:RY45_11530
ko:K03417	ahh:RY45_11535
ko:K03808	ahh:RY45_11540
ko:K03808	ahh:RY45_11545
ko:K11392	ahh:RY45_11555
ko:K03424	ahh:RY45_11570
ko:K02341	ahh:RY45_11575
ko:K00943	ahh:RY45_11580
ko:K07082	ahh:RY45_11585
ko:K02619	ahh:RY45_11590
ko:K09458	ahh:RY45_11595
ko:K02078	ahh:RY45_11600
ko:K03752	ahh:RY45_15880
ko:K03750	ahh:RY45_15885
ko:K03406	ahh:RY45_15905
ko:K15977	ahh:RY45_15915
ko:K09930	ahh:RY45_15925
ko:K02035	ahh:RY45_15960
ko:K02033	ahh:RY45_15965
ko:K02034	ahh:RY45_15970
ko:K18676	ahh:RY45_15990
ko:K12373	ahh:RY45_15995
ko:K07443	ahh:RY45_16005
ko:K03168	ahh:RY45_16010
ko:K01484	ahh:RY45_16015
ko:K04774	ahh:RY45_16020
ko:K03291	ahh:RY45_16035
ko:K14155	ahh:RY45_16040
ko:K01939	ahh:RY45_16055
ko:K06910	ahh:RY45_16060
ko:K03931	ahh:RY45_16070
ko:K01866	ahh:RY45_16075
ko:K09001	ahh:RY45_16085
ko:K05523	ahh:RY45_16090
ko:K00615	ahh:RY45_16105
ko:K00789	ahh:RY45_16110
ko:K02742	ahh:RY45_16115
ko:K01150	ahh:RY45_16120
ko:K09761	ahh:RY45_16125
ko:K01920	ahh:RY45_16130
ko:K03406	ahh:RY45_16135
ko:K07735	ahh:RY45_16140
ko:K07447	ahh:RY45_16145
ko:K03305	ahh:RY45_16150
ko:K01042	ahh:RY45_20480
ko:K08485	ahh:RY45_20495
ko:K06958	ahh:RY45_20500
ko:K02806	ahh:RY45_20505
ko:K05808	ahh:RY45_20510
ko:K03092	ahh:RY45_20515
ko:K06861	ahh:RY45_20520
ko:K09774	ahh:RY45_20525
ko:K11719	ahh:RY45_20530
ko:K03270	ahh:RY45_20535
ko:K06041	ahh:RY45_20540
ko:K02065	ahh:RY45_20545
ko:K02066	ahh:RY45_20550
ko:K02067	ahh:RY45_20555
ko:K07323	ahh:RY45_20560
ko:K07122	ahh:RY45_20565
ko:K00790	ahh:RY45_20575
ko:K03592	ahh:RY45_20580
ko:K09889	ahh:RY45_20585
ko:K09802	ahh:RY45_20595
ko:K07234	ahh:RY45_20620
ko:K05782	ahh:RY45_20630
ko:K00297	ahh:RY45_20640
ko:K10117	ahh:RY45_20650
ko:K03406	ahh:RY45_20655
ko:K07275	ahh:RY45_20660
ko:K03701	ahh:RY45_20670
ko:K03111	ahh:RY45_20680
ko:K03704	ahh:RY45_20700
ko:K16089	ahh:RY45_20710
ko:K05793	ahh:RY45_00580
ko:K03717	ahh:RY45_00625
ko:K16092	ahh:RY45_00630
ko:K01485	ahh:RY45_00680
ko:K06199	ahh:RY45_00685
ko:K03183	ahh:RY45_00690
ko:K03690	ahh:RY45_00695
ko:K03688	ahh:RY45_00700
ko:K03116	ahh:RY45_00705
ko:K03117	ahh:RY45_00710
ko:K03118	ahh:RY45_00715
ko:K03424	ahh:RY45_00720
ko:K01698	ahh:RY45_00725
ko:K01414	ahh:RY45_00730
ko:K15984	ahh:RY45_00740
ko:K19000	ahh:RY45_00745
ko:K01524	ahh:RY45_00755
ko:K03732	ahh:RY45_00760
ko:K03671	ahh:RY45_00765
ko:K03628	ahh:RY45_00770
ko:K03182	ahh:RY45_00780
ko:K05368	ahh:RY45_00785
ko:K09806	ahh:RY45_00790
ko:K02441	ahh:RY45_00800
ko:K02439	ahh:RY45_00805
ko:K01996	ahh:RY45_00820
ko:K01995	ahh:RY45_00825
ko:K01998	ahh:RY45_00830
ko:K01997	ahh:RY45_00835
ko:K01999	ahh:RY45_00840
ko:K03604	ahh:RY45_00845
ko:K01232	ahh:RY45_00850
ko:K02749	ahh:RY45_00855
ko:K02750	ahh:RY45_00855
ko:K03482	ahh:RY45_00860
ko:K01243	ahh:RY45_05270
ko:K03815	ahh:RY45_05295
ko:K03317	ahh:RY45_05300
ko:K01619	ahh:RY45_05305
ko:K08679	ahh:RY45_05315
ko:K02013	ahh:RY45_05325
ko:K02015	ahh:RY45_05330
ko:K02016	ahh:RY45_05335
ko:K07227	ahh:RY45_05340
ko:K07226	ahh:RY45_05345
ko:K16087	ahh:RY45_05365
ko:K05820	ahh:RY45_05370
ko:K07727	ahh:RY45_05375
ko:K01183	ahh:RY45_05390
ko:K00563	ahh:RY45_05405
ko:K10914	ahh:RY45_05410
ko:K07397	ahh:RY45_05415
ko:K00855	ahh:RY45_05430
ko:K12963	ahh:RY45_05435
ko:K12962	ahh:RY45_05440
ko:K07264	ahh:RY45_05445
ko:K13014	ahh:RY45_05450
ko:K10011	ahh:RY45_05455
ko:K10012	ahh:RY45_05460
ko:K07806	ahh:RY45_05465
ko:K00012	ahh:RY45_05470
ko:K09898	ahh:RY45_05475
ko:K07019	ahh:RY45_05485
ko:K03415	ahh:RY45_05490
ko:K07070	ahh:RY45_05500
ko:K03775	ahh:RY45_05505
ko:K03745	ahh:RY45_05510
ko:K03772	ahh:RY45_05520
ko:K03746	ahh:RY45_09895
ko:K11903	ahh:RY45_09925
ko:K11904	ahh:RY45_09930
ko:K01491	ahh:RY45_09970
ko:K03704	ahh:RY45_09975
ko:K06891	ahh:RY45_09980
ko:K03694	ahh:RY45_09985
ko:K02518	ahh:RY45_09990
ko:K00684	ahh:RY45_10000
ko:K06077	ahh:RY45_10005
ko:K00384	ahh:RY45_10015
ko:K03719	ahh:RY45_10020
ko:K03466	ahh:RY45_10025
ko:K03634	ahh:RY45_10030
ko:K07478	ahh:RY45_10035
ko:K01875	ahh:RY45_10045
ko:K03558	ahh:RY45_10050
ko:K00764	ahh:RY45_10055
ko:K06169	ahh:RY45_10060
ko:K19230	ahh:RY45_10065
ko:K19229	ahh:RY45_10070
ko:K19228	ahh:RY45_10075
ko:K19227	ahh:RY45_10080
ko:K19226	ahh:RY45_10085
ko:K03974	ahh:RY45_10090
ko:K03969	ahh:RY45_10095
ko:K03970	ahh:RY45_10100
ko:K06918	ahh:RY45_10110
ko:K08990	ahh:RY45_10115
ko:K00500	ahh:RY45_10120
ko:K01724	ahh:RY45_10125
ko:K03721	ahh:RY45_10130
ko:K01489	ahh:RY45_10170
ko:K06518	ahh:RY45_10180
ko:K13069	ahh:RY45_14465
ko:K01883	ahh:RY45_14480
ko:K03768	ahh:RY45_14485
ko:K03269	ahh:RY45_14495
ko:K04015	ahh:RY45_14500
ko:K04014	ahh:RY45_14505
ko:K04013	ahh:RY45_14510
ko:K03406	ahh:RY45_14540
ko:K03703	ahh:RY45_14565
ko:K07689	ahh:RY45_14570
ko:K00979	ahh:RY45_14575
ko:K09791	ahh:RY45_14580
ko:K00912	ahh:RY45_14585
ko:K11085	ahh:RY45_14590
ko:K02238	ahh:RY45_14595
ko:K09928	ahh:RY45_14600
ko:K06915	ahh:RY45_14610
ko:K02017	ahh:RY45_14640
ko:K02018	ahh:RY45_14645
ko:K02020	ahh:RY45_14650
ko:K03635	ahh:RY45_14655
ko:K03636	ahh:RY45_14660
ko:K03637	ahh:RY45_14665
ko:K03638	ahh:RY45_14670
ko:K02569	ahh:RY45_14675
ko:K02568	ahh:RY45_14680
ko:K02574	ahh:RY45_14685
ko:K02573	ahh:RY45_14690
ko:K02567	ahh:RY45_14695
ko:K02570	ahh:RY45_14700
ko:K02572	ahh:RY45_14705
ko:K03639	ahh:RY45_14710
ko:K07674	ahh:RY45_14715
ko:K07685	ahh:RY45_14720
ko:K07157	ahh:RY45_14725
ko:K11720	ahh:RY45_19145
ko:K07091	ahh:RY45_19150
ko:K01255	ahh:RY45_19155
ko:K02339	ahh:RY45_19160
ko:K01873	ahh:RY45_19165
ko:K03699	ahh:RY45_19170
ko:K07262	ahh:RY45_19180
ko:K03563	ahh:RY45_19215
ko:K00928	ahh:RY45_19220
ko:K01872	ahh:RY45_19225
ko:K03565	ahh:RY45_19230
ko:K03743	ahh:RY45_19240
ko:K03555	ahh:RY45_19245
ko:K02168	ahh:RY45_19250
ko:K09891	ahh:RY45_19270
ko:K09815	ahh:RY45_19300
ko:K09817	ahh:RY45_19305
ko:K09816	ahh:RY45_19310
ko:K07461	ahh:RY45_19340
ko:K15835	ahh:RY45_02340
ko:K11191	ahh:RY45_02355
ko:K11192	ahh:RY45_02355
ko:K07106	ahh:RY45_02360
ko:K05595	ahh:RY45_02375
ko:K07814	ahh:RY45_02390
ko:K03406	ahh:RY45_02410
ko:K03788	ahh:RY45_02425
ko:K07054	ahh:RY45_02430
ko:K03316	ahh:RY45_02450
ko:K00548	ahh:RY45_02455
ko:K05844	ahh:RY45_02465
ko:K03311	ahh:RY45_02470
ko:K08989	ahh:RY45_02500
ko:K03147	ahh:RY45_02510
ko:K14153	ahh:RY45_02515
ko:K03148	ahh:RY45_02520
ko:K03154	ahh:RY45_02525
ko:K03149	ahh:RY45_02530
ko:K03150	ahh:RY45_02535
ko:K03837	ahh:RY45_02575
ko:K03826	ahh:RY45_02605
ko:K09939	ahh:RY45_02620
ko:K02014	ahh:RY45_02625
ko:K06133	ahh:RY45_07000
ko:K06970	ahh:RY45_07010
ko:K19236	ahh:RY45_07025
ko:K02379	ahh:RY45_07040
ko:K05792	ahh:RY45_07060
ko:K02003	ahh:RY45_07095
ko:K02004	ahh:RY45_07100
ko:K04477	ahh:RY45_07125
ko:K00873	ahh:RY45_07150
ko:K00845	ahh:RY45_07160
ko:K07637	ahh:RY45_07165
ko:K07660	ahh:RY45_07170
ko:K14441	ahh:RY45_07175
ko:K02408	ahh:RY45_07190
ko:K02409	ahh:RY45_07195
ko:K02410	ahh:RY45_07200
ko:K02411	ahh:RY45_07205
ko:K02412	ahh:RY45_07210
ko:K02413	ahh:RY45_07215
ko:K02414	ahh:RY45_07220
ko:K02415	ahh:RY45_07225
ko:K02416	ahh:RY45_07230
ko:K02417	ahh:RY45_07235
ko:K02418	ahh:RY45_07240
ko:K02419	ahh:RY45_07245
ko:K02420	ahh:RY45_07250
ko:K02421	ahh:RY45_07255
ko:K02401	ahh:RY45_07260
ko:K02400	ahh:RY45_07265
ko:K02404	ahh:RY45_07270
ko:K04562	ahh:RY45_07275
ko:K02405	ahh:RY45_07280
ko:K03413	ahh:RY45_07285
ko:K03414	ahh:RY45_07290
ko:K00059	ahh:RY45_11605
ko:K00645	ahh:RY45_11610
ko:K00648	ahh:RY45_11615
ko:K03621	ahh:RY45_11620
ko:K02911	ahh:RY45_11625
ko:K07040	ahh:RY45_11630
ko:K08163	ahh:RY45_11645
ko:K01091	ahh:RY45_11655
ko:K06179	ahh:RY45_11660
ko:K08300	ahh:RY45_11665
ko:K16322	ahh:RY45_11670
ko:K01494	ahh:RY45_11675
ko:K00876	ahh:RY45_11680
ko:K03593	ahh:RY45_11685
ko:K01874	ahh:RY45_11690
ko:K00799	ahh:RY45_11695
ko:K01512	ahh:RY45_11700
ko:K03406	ahh:RY45_11705
ko:K06969	ahh:RY45_11710
ko:K00799	ahh:RY45_11715
ko:K01008	ahh:RY45_11730
ko:K06917	ahh:RY45_11735
ko:K07814	ahh:RY45_11745
ko:K02897	ahh:RY45_11755
ko:K03578	ahh:RY45_11765
ko:K09747	ahh:RY45_11785
ko:K02343	ahh:RY45_11790
ko:K00759	ahh:RY45_11795
ko:K09790	ahh:RY45_11800
ko:K05541	ahh:RY45_11805
ko:K03684	ahh:RY45_11820
ko:K01897	ahh:RY45_11825
ko:K07285	ahh:RY45_11835
ko:K14742	ahh:RY45_11840
ko:K00765	ahh:RY45_11855
ko:K00013	ahh:RY45_11860
ko:K00817	ahh:RY45_11865
ko:K01089	ahh:RY45_11870
ko:K02501	ahh:RY45_11875
ko:K03924	ahh:RY45_16175
ko:K03310	ahh:RY45_16190
ko:K00616	ahh:RY45_16195
ko:K03648	ahh:RY45_16210
ko:K11103	ahh:RY45_16220
ko:K01627	ahh:RY45_16225
ko:K02493	ahh:RY45_16240
ko:K02835	ahh:RY45_16245
ko:K02492	ahh:RY45_16250
ko:K02494	ahh:RY45_16255
ko:K00948	ahh:RY45_16270
ko:K01081	ahh:RY45_16275
ko:K01056	ahh:RY45_16280
ko:K06942	ahh:RY45_16285
ko:K03811	ahh:RY45_16335
ko:K00757	ahh:RY45_16340
ko:K09900	ahh:RY45_16350
ko:K03737	ahh:RY45_16370
ko:K06447	ahh:RY45_16395
ko:K00673	ahh:RY45_16400
ko:K01664	ahh:RY45_16410
ko:K01867	ahh:RY45_16420
ko:K01091	ahh:RY45_16425
ko:K01783	ahh:RY45_16430
ko:K03112	ahh:RY45_16440
ko:K01735	ahh:RY45_16445
ko:K00891	ahh:RY45_16450
ko:K02666	ahh:RY45_16455
ko:K01759	ahh:RY45_20760
ko:K03581	ahh:RY45_20770
ko:K03582	ahh:RY45_20775
ko:K03583	ahh:RY45_20780
ko:K15977	ahh:RY45_20785
ko:K06911	ahh:RY45_20790
ko:K02055	ahh:RY45_20815
ko:K02054	ahh:RY45_20825
ko:K02053	ahh:RY45_20830
ko:K02052	ahh:RY45_20835
ko:K08983	ahh:RY45_20850
ko:K13652	ahh:RY45_20860
ko:K03825	ahh:RY45_20865
ko:K03781	ahh:RY45_20870
ko:K10536	ahh:RY45_20915
ko:K05880	ahh:RY45_20925
ko:K00005	ahh:RY45_20930
ko:K05881	ahh:RY45_20935
ko:K05879	ahh:RY45_20940
ko:K05878	ahh:RY45_20945
ko:K06901	ahh:RY45_20955
ko:K11312	ahh:RY45_20960
ko:K03273	ahh:RY45_20990
ko:K02358	ahh:RY45_20995
ko:K02992	ahh:RY45_21005
ko:K07237	ahh:RY45_21015
ko:K07236	ahh:RY45_21020
ko:K07235	ahh:RY45_21025
ko:K03046	ahh:RY45_21040
ko:K02257	ahh:RY45_15195
ko:K12266	ahh:RY45_00865
ko:K12264	ahh:RY45_00870
ko:K12265	ahh:RY45_00875
ko:K03835	ahh:RY45_00890
ko:K01879	ahh:RY45_00925
ko:K01878	ahh:RY45_00930
ko:K01246	ahh:RY45_00935
ko:K04085	ahh:RY45_00960
ko:K17315	ahh:RY45_00970
ko:K01825	ahh:RY45_00990
ko:K01907	ahh:RY45_00995
ko:K03498	ahh:RY45_01010
ko:K00230	ahh:RY45_01015
ko:K02521	ahh:RY45_01055
ko:K00053	ahh:RY45_01060
ko:K01810	ahh:RY45_01065
ko:K03442	ahh:RY45_01080
ko:K05501	ahh:RY45_01085
ko:K13038	ahh:RY45_01095
ko:K03630	ahh:RY45_01100
ko:K02913	ahh:RY45_01105
ko:K10563	ahh:RY45_01115
ko:K09824	ahh:RY45_01120
ko:K00954	ahh:RY45_01125
ko:K12984	ahh:RY45_01135
ko:K02843	ahh:RY45_01140
ko:K02527	ahh:RY45_01145
ko:K03475	ahh:RY45_01150
ko:K01775	ahh:RY45_05565
ko:K08303	ahh:RY45_05575
ko:K07687	ahh:RY45_05600
ko:K03412	ahh:RY45_05635
ko:K03411	ahh:RY45_05640
ko:K00575	ahh:RY45_05645
ko:K03408	ahh:RY45_05655
ko:K03406	ahh:RY45_05660
ko:K03407	ahh:RY45_05665
ko:K03413	ahh:RY45_05675
ko:K03406	ahh:RY45_05680
ko:K00648	ahh:RY45_05685
ko:K08303	ahh:RY45_05700
ko:K09984	ahh:RY45_05710
ko:K00567	ahh:RY45_05720
ko:K13529	ahh:RY45_05725
ko:K01299	ahh:RY45_05735
ko:K09973	ahh:RY45_05745
ko:K01629	ahh:RY45_05775
ko:K00848	ahh:RY45_05795
ko:K01813	ahh:RY45_05800
ko:K02856	ahh:RY45_05805
ko:K03534	ahh:RY45_05810
ko:K09860	ahh:RY45_05830
ko:K07407	ahh:RY45_10185
ko:K01141	ahh:RY45_10195
ko:K01804	ahh:RY45_10200
ko:K03077	ahh:RY45_10205
ko:K00853	ahh:RY45_10210
ko:K10537	ahh:RY45_10215
ko:K10539	ahh:RY45_10220
ko:K10538	ahh:RY45_10225
ko:K02099	ahh:RY45_10230
ko:K06911	ahh:RY45_10240
ko:K02919	ahh:RY45_10245
ko:K02909	ahh:RY45_10250
ko:K12149	ahh:RY45_10255
ko:K07043	ahh:RY45_10265
ko:K01081	ahh:RY45_10275
ko:K03326	ahh:RY45_10280
ko:K02446	ahh:RY45_02640
ko:K06940	ahh:RY45_02645
ko:K02498	ahh:RY45_02650
ko:K02496	ahh:RY45_02655
ko:K01719	ahh:RY45_02660
ko:K01749	ahh:RY45_02665
ko:K05851	ahh:RY45_02670
ko:K06999	ahh:RY45_02675
ko:K06202	ahh:RY45_02680
ko:K01586	ahh:RY45_02685
ko:K01778	ahh:RY45_02690
ko:K09921	ahh:RY45_02695
ko:K03733	ahh:RY45_02700
ko:K07010	ahh:RY45_02725
ko:K09749	ahh:RY45_02735
ko:K01993	ahh:RY45_02740
ko:K00651	ahh:RY45_02770
ko:K02014	ahh:RY45_02795
ko:K07507	ahh:RY45_02805
ko:K16066	ahh:RY45_02825
ko:K07483	ahh:RY45_02860
ko:K18320	ahh:RY45_02905
ko:K18974	ahh:RY45_02915
ko:K18975	ahh:RY45_02920
ko:K03407	ahh:RY45_07295
ko:K03412	ahh:RY45_07300
ko:K02556	ahh:RY45_07305
ko:K02557	ahh:RY45_07310
ko:K03496	ahh:RY45_07315
ko:K03408	ahh:RY45_07320
ko:K03408	ahh:RY45_07325
ko:K02193	ahh:RY45_07335
ko:K02194	ahh:RY45_07340
ko:K02195	ahh:RY45_07345
ko:K02196	ahh:RY45_07350
ko:K02197	ahh:RY45_07355
