ko:K13671	pak:HMPREF0675_5433
ko:K00147	pak:HMPREF0675_3899
ko:K00969	pak:HMPREF0675_3901
ko:K09710	pak:HMPREF0675_3902
ko:K00426	pak:HMPREF0675_3215
ko:K00425	pak:HMPREF0675_3216
ko:K04567	pak:HMPREF0675_3222
ko:K04762	pak:HMPREF0675_3245
ko:K02343	pak:HMPREF0675_3248
ko:K09747	pak:HMPREF0675_3249
ko:K06187	pak:HMPREF0675_3250
ko:K02003	pak:HMPREF0675_3252
ko:K01870	pak:HMPREF0675_3261
ko:K07048	pak:HMPREF0675_3936
ko:K00874	pak:HMPREF0675_3940
ko:K08369	pak:HMPREF0675_3941
ko:K00878	pak:HMPREF0675_3943
ko:K00788	pak:HMPREF0675_3944
ko:K00016	pak:HMPREF0675_3945
ko:K00027	pak:HMPREF0675_3946
ko:K01869	pak:HMPREF0675_3951
ko:K02237	pak:HMPREF0675_3952
ko:K02238	pak:HMPREF0675_3953
ko:K02340	pak:HMPREF0675_3955
ko:K02968	pak:HMPREF0675_3956
ko:K03596	pak:HMPREF0675_3958
ko:K02549	pak:HMPREF0675_3959
ko:K02551	pak:HMPREF0675_3960
ko:K02552	pak:HMPREF0675_3961
ko:K01911	pak:HMPREF0675_3963
ko:K01661	pak:HMPREF0675_3964
ko:K01895	pak:HMPREF0675_3968
ko:K01250	pak:HMPREF0675_5127
ko:K02081	pak:HMPREF0675_4069
ko:K13821	pak:HMPREF0675_3686
ko:K13979	pak:HMPREF0675_4135
ko:K02004	pak:HMPREF0675_3053
ko:K03078	pak:HMPREF0675_3937
ko:K02004	pak:HMPREF0675_5095
ko:K02077	pak:HMPREF0675_3683
ko:K02529	pak:HMPREF0675_5410
ko:K01835	pak:HMPREF0675_4167
ko:K02033	pak:HMPREF0675_4519
ko:K00318	pak:HMPREF0675_3358
ko:K07005	pak:HMPREF0675_4531
ko:K00972	pak:HMPREF0675_3981
ko:K05794	pak:HMPREF0675_3870
ko:K13787	pak:HMPREF0675_3801
ko:K03767	pak:HMPREF0675_3788
ko:K01792	pak:HMPREF0675_5117
ko:K03709	pak:HMPREF0675_3528
ko:K13953	pak:HMPREF0675_3591
ko:K03719	pak:HMPREF0675_4284
ko:K12308	pak:HMPREF0675_4876
ko:K13993	pak:HMPREF0675_3806
ko:K14230	pak:HMPREF0675_4030
ko:K14229	pak:HMPREF0675_5022
ko:K07052	pak:HMPREF0675_4413
ko:K03436	pak:HMPREF0675_3158
ko:K14234	pak:HMPREF0675_4952
ko:K11045	pak:HMPREF0675_5162
ko:K14228	pak:HMPREF0675_4708
ko:K06147	pak:HMPREF0675_5133
ko:K03293	pak:HMPREF0675_5329
ko:K14232	pak:HMPREF0675_5215
ko:K14225	pak:HMPREF0675_4133
ko:K02057	pak:HMPREF0675_4785
ko:K11045	pak:HMPREF0675_3756
ko:K07791	pak:HMPREF0675_3098
ko:K07791	pak:HMPREF0675_4102
ko:K14225	pak:HMPREF0675_4644
ko:K14224	pak:HMPREF0675_5025
ko:K01265	pak:HMPREF0675_3730
ko:K01915	pak:HMPREF0675_3731
ko:K00982	pak:HMPREF0675_3734
ko:K01915	pak:HMPREF0675_3740
ko:K03710	pak:HMPREF0675_3746
ko:K08996	pak:HMPREF0675_3750
ko:K03290	pak:HMPREF0675_3755
ko:K03644	pak:HMPREF0675_3758
ko:K02351	pak:HMPREF0675_3760
ko:K07245	pak:HMPREF0675_3760
ko:K03801	pak:HMPREF0675_3761
ko:K00658	pak:HMPREF0675_3762
ko:K01255	pak:HMPREF0675_3763
ko:K03969	pak:HMPREF0675_3767
ko:K02275	pak:HMPREF0675_3770
ko:K02274	pak:HMPREF0675_3771
ko:K02003	pak:HMPREF0675_3774
ko:K00088	pak:HMPREF0675_3777
ko:K03891	pak:HMPREF0675_3779
ko:K01520	pak:HMPREF0675_4114
ko:K03499	pak:HMPREF0675_4117
ko:K03499	pak:HMPREF0675_4118
ko:K01681	pak:HMPREF0675_4121
ko:K01662	pak:HMPREF0675_4122
ko:K03684	pak:HMPREF0675_4123
ko:K07305	pak:HMPREF0675_4125
ko:K01667	pak:HMPREF0675_4128
ko:K01868	pak:HMPREF0675_4139
ko:K00995	pak:HMPREF0675_4141
ko:K02437	pak:HMPREF0675_4146
ko:K08999	pak:HMPREF0675_4149
ko:K07058	pak:HMPREF0675_4151
ko:K01243	pak:HMPREF0675_4156
ko:K03768	pak:HMPREF0675_4162
ko:K02313	pak:HMPREF0675_3000
ko:K02338	pak:HMPREF0675_3001
ko:K03629	pak:HMPREF0675_3003
ko:K01809	pak:HMPREF0675_3007
ko:K02470	pak:HMPREF0675_3008
ko:K02469	pak:HMPREF0675_3009
ko:K00016	pak:HMPREF0675_3011
ko:K02529	pak:HMPREF0675_3012
ko:K10441	pak:HMPREF0675_3013
ko:K10440	pak:HMPREF0675_3014
ko:K10439	pak:HMPREF0675_3015
ko:K00852	pak:HMPREF0675_3016
ko:K06726	pak:HMPREF0675_3017
ko:K02773	pak:HMPREF0675_3020
ko:K02775	pak:HMPREF0675_3022
ko:K02774	pak:HMPREF0675_3023
ko:K00817	pak:HMPREF0675_3035
ko:K01938	pak:HMPREF0675_3049
ko:K07503	pak:HMPREF0675_4164
ko:K05838	pak:HMPREF0675_4168
ko:K02755	pak:HMPREF0675_4171
ko:K02756	pak:HMPREF0675_4171
ko:K02757	pak:HMPREF0675_4171
ko:K00700	pak:HMPREF0675_4173
ko:K02438	pak:HMPREF0675_4177
ko:K04487	pak:HMPREF0675_4178
ko:K00566	pak:HMPREF0675_4179
ko:K02435	pak:HMPREF0675_4184
ko:K02433	pak:HMPREF0675_4185
ko:K02434	pak:HMPREF0675_4186
ko:K01496	pak:HMPREF0675_4188
ko:K01609	pak:HMPREF0675_4192
ko:K01696	pak:HMPREF0675_4193
ko:K01695	pak:HMPREF0675_4194
ko:K00265	pak:HMPREF0675_4196
ko:K00266	pak:HMPREF0675_4197
ko:K07106	pak:HMPREF0675_4202
ko:K02809	pak:HMPREF0675_4203
ko:K02810	pak:HMPREF0675_4203
ko:K01223	pak:HMPREF0675_4206
ko:K02760	pak:HMPREF0675_4207
ko:K02761	pak:HMPREF0675_4208
ko:K02759	pak:HMPREF0675_4209
ko:K02003	pak:HMPREF0675_3054
ko:K02025	pak:HMPREF0675_3058
ko:K01222	pak:HMPREF0675_3061
ko:K09704	pak:HMPREF0675_3065
ko:K12373	pak:HMPREF0675_3066
ko:K06994	pak:HMPREF0675_3071
ko:K02003	pak:HMPREF0675_3074
ko:K02016	pak:HMPREF0675_3076
ko:K02015	pak:HMPREF0675_3077
ko:K02013	pak:HMPREF0675_3078
ko:K00135	pak:HMPREF0675_3079
ko:K00525	pak:HMPREF0675_4085
ko:K01727	pak:HMPREF0675_3415
ko:K03218	pak:HMPREF0675_3418
ko:K01883	pak:HMPREF0675_3419
ko:K03088	pak:HMPREF0675_3427
ko:K01752	pak:HMPREF0675_3431
ko:K02025	pak:HMPREF0675_3434
ko:K02026	pak:HMPREF0675_3435
ko:K00060	pak:HMPREF0675_3436
ko:K00639	pak:HMPREF0675_3437
ko:K05845	pak:HMPREF0675_3438
ko:K05846	pak:HMPREF0675_3439
ko:K05846	pak:HMPREF0675_3440
ko:K07119	pak:HMPREF0675_3445
ko:K07693	pak:HMPREF0675_3449
ko:K02227	pak:HMPREF0675_3451
ko:K02232	pak:HMPREF0675_3452
ko:K03394	pak:HMPREF0675_3453
ko:K05936	pak:HMPREF0675_3454
ko:K02015	pak:HMPREF0675_3460
ko:K02013	pak:HMPREF0675_3461
ko:K02016	pak:HMPREF0675_3462
ko:K07133	pak:HMPREF0675_3463
ko:K06042	pak:HMPREF0675_3464
ko:K02007	pak:HMPREF0675_3465
ko:K02009	pak:HMPREF0675_3466
ko:K02008	pak:HMPREF0675_3467
ko:K02006	pak:HMPREF0675_3468
ko:K00595	pak:HMPREF0675_3470
ko:K02224	pak:HMPREF0675_3472
ko:K05895	pak:HMPREF0675_3474
ko:K02233	pak:HMPREF0675_3476
ko:K03475	pak:HMPREF0675_3482
ko:K07173	pak:HMPREF0675_3488
ko:K01809	pak:HMPREF0675_3489
ko:K04077	pak:HMPREF0675_3491
ko:K00616	pak:HMPREF0675_3492
ko:K03338	pak:HMPREF0675_3494
ko:K03337	pak:HMPREF0675_3496
ko:K03336	pak:HMPREF0675_3497
ko:K00140	pak:HMPREF0675_3499
ko:K06605	pak:HMPREF0675_3503
ko:K03335	pak:HMPREF0675_3510
ko:K00010	pak:HMPREF0675_3511
ko:K06201	pak:HMPREF0675_3513
ko:K10843	pak:HMPREF0675_3515
ko:K02564	pak:HMPREF0675_3519
ko:K03704	pak:HMPREF0675_3520
ko:K06901	pak:HMPREF0675_3523
ko:K00831	pak:HMPREF0675_3526
ko:K01443	pak:HMPREF0675_3527
ko:K00963	pak:HMPREF0675_3534
ko:K03282	pak:HMPREF0675_3536
ko:K03750	pak:HMPREF0675_3540
ko:K03790	pak:HMPREF0675_3541
ko:K03637	pak:HMPREF0675_3545
ko:K03750	pak:HMPREF0675_3546
ko:K03635	pak:HMPREF0675_3547
ko:K03639	pak:HMPREF0675_3550
ko:K02020	pak:HMPREF0675_3552
ko:K00374	pak:HMPREF0675_3554
ko:K00373	pak:HMPREF0675_3555
ko:K00371	pak:HMPREF0675_3556
ko:K00370	pak:HMPREF0675_3557
ko:K02575	pak:HMPREF0675_3559
ko:K07307	pak:HMPREF0675_3563
ko:K07306	pak:HMPREF0675_3564
ko:K03149	pak:HMPREF0675_3567
ko:K03154	pak:HMPREF0675_3568
ko:K03153	pak:HMPREF0675_3569
ko:K07056	pak:HMPREF0675_3574
ko:K03424	pak:HMPREF0675_3575
ko:K02528	pak:HMPREF0675_3576
ko:K00919	pak:HMPREF0675_3577
ko:K04042	pak:HMPREF0675_3581
ko:K00948	pak:HMPREF0675_3582
ko:K02897	pak:HMPREF0675_3586
ko:K01056	pak:HMPREF0675_3587
ko:K03723	pak:HMPREF0675_3593
ko:K02428	pak:HMPREF0675_3595
ko:K01689	pak:HMPREF0675_3597
ko:K09009	pak:HMPREF0675_3599
ko:K07304	pak:HMPREF0675_3615
ko:K03308	pak:HMPREF0675_3616
ko:K03648	pak:HMPREF0675_3617
ko:K03624	pak:HMPREF0675_3621
ko:K06888	pak:HMPREF0675_3623
ko:K11068	pak:HMPREF0675_3625
ko:K07175	pak:HMPREF0675_3626
ko:K03602	pak:HMPREF0675_3628
ko:K03601	pak:HMPREF0675_3629
ko:K03527	pak:HMPREF0675_3632
ko:K09760	pak:HMPREF0675_3633
ko:K06942	pak:HMPREF0675_3635
ko:K03758	pak:HMPREF0675_3643
ko:K01478	pak:HMPREF0675_3644
ko:K00611	pak:HMPREF0675_3645
ko:K00926	pak:HMPREF0675_3646
ko:K11065	pak:HMPREF0675_3651
ko:K00012	pak:HMPREF0675_3654
ko:K01847	pak:HMPREF0675_3660
ko:K01847	pak:HMPREF0675_3661
ko:K07588	pak:HMPREF0675_3662
ko:K02026	pak:HMPREF0675_3671
ko:K01206	pak:HMPREF0675_3672
ko:K01818	pak:HMPREF0675_3674
ko:K01818	pak:HMPREF0675_3675
ko:K02003	pak:HMPREF0675_3678
ko:K07101	pak:HMPREF0675_3689
ko:K03823	pak:HMPREF0675_3690
ko:K00324	pak:HMPREF0675_3692
ko:K00325	pak:HMPREF0675_3693
ko:K01439	pak:HMPREF0675_3703
ko:K00975	pak:HMPREF0675_3707
ko:K01714	pak:HMPREF0675_3709
ko:K00688	pak:HMPREF0675_3081
ko:K03705	pak:HMPREF0675_3973
ko:K03686	pak:HMPREF0675_3974
ko:K09761	pak:HMPREF0675_3975
ko:K02768	pak:HMPREF0675_3977
ko:K11183	pak:HMPREF0675_3977
ko:K02798	pak:HMPREF0675_3978
ko:K02799	pak:HMPREF0675_3978
ko:K02800	pak:HMPREF0675_3978
ko:K03654	pak:HMPREF0675_3980
ko:K00773	pak:HMPREF0675_3983
ko:K10773	pak:HMPREF0675_3270
ko:K03313	pak:HMPREF0675_3274
ko:K02283	pak:HMPREF0675_3277
ko:K06877	pak:HMPREF0675_3285
ko:K03168	pak:HMPREF0675_3287
ko:K00943	pak:HMPREF0675_3289
ko:K02341	pak:HMPREF0675_3290
ko:K00274	pak:HMPREF0675_3297
ko:K08296	pak:HMPREF0675_3300
ko:K01060	pak:HMPREF0675_3301
ko:K01507	pak:HMPREF0675_3303
ko:K07259	pak:HMPREF0675_3304
ko:K04075	pak:HMPREF0675_3305
ko:K00760	pak:HMPREF0675_3306
ko:K03798	pak:HMPREF0675_3307
ko:K01495	pak:HMPREF0675_3308
ko:K09125	pak:HMPREF0675_3988
ko:K06217	pak:HMPREF0675_3992
ko:K07042	pak:HMPREF0675_3993
ko:K03595	pak:HMPREF0675_3995
ko:K01649	pak:HMPREF0675_3997
ko:K00806	pak:HMPREF0675_3998
ko:K03584	pak:HMPREF0675_4000
ko:K03711	pak:HMPREF0675_4004
ko:K01880	pak:HMPREF0675_4005
ko:K00241	pak:HMPREF0675_4007
ko:K00239	pak:HMPREF0675_4008
ko:K00240	pak:HMPREF0675_4009
ko:K01129	pak:HMPREF0675_4012
ko:K02069	pak:HMPREF0675_4013
ko:K02316	pak:HMPREF0675_4014
ko:K00697	pak:HMPREF0675_4019
ko:K01087	pak:HMPREF0675_4020
ko:K01738	pak:HMPREF0675_4021
ko:K00375	pak:HMPREF0675_4022
ko:K06215	pak:HMPREF0675_4023
ko:K08681	pak:HMPREF0675_4024
ko:K00833	pak:HMPREF0675_4025
ko:K01935	pak:HMPREF0675_4026
ko:K03924	pak:HMPREF0675_4035
ko:K00796	pak:HMPREF0675_3317
ko:K01633	pak:HMPREF0675_3318
ko:K00950	pak:HMPREF0675_3319
ko:K00333	pak:HMPREF0675_3322
ko:K03696	pak:HMPREF0675_3324
ko:K07160	pak:HMPREF0675_3328
ko:K07071	pak:HMPREF0675_3332
ko:K03488	pak:HMPREF0675_3338
ko:K02777	pak:HMPREF0675_3339
ko:K03575	pak:HMPREF0675_3343
ko:K01845	pak:HMPREF0675_3344
ko:K01698	pak:HMPREF0675_3345
ko:K01749	pak:HMPREF0675_3347
ko:K00231	pak:HMPREF0675_3348
ko:K01599	pak:HMPREF0675_3349
ko:K13950	pak:HMPREF0675_5040
ko:K03110	pak:HMPREF0675_4500
ko:K10563	pak:HMPREF0675_4507
ko:K03685	pak:HMPREF0675_4508
ko:K02911	pak:HMPREF0675_4509
ko:K07040	pak:HMPREF0675_4510
ko:K02025	pak:HMPREF0675_4512
ko:K00313	pak:HMPREF0675_5283
ko:K03522	pak:HMPREF0675_5284
ko:K03521	pak:HMPREF0675_5285
ko:K01875	pak:HMPREF0675_5291
ko:K00684	pak:HMPREF0675_5293
ko:K06153	pak:HMPREF0675_5297
ko:K02217	pak:HMPREF0675_5298
ko:K02939	pak:HMPREF0675_5301
ko:K02963	pak:HMPREF0675_5302
ko:K03111	pak:HMPREF0675_5303
ko:K02990	pak:HMPREF0675_5304
ko:K01151	pak:HMPREF0675_5311
ko:K07124	pak:HMPREF0675_5312
ko:K00655	pak:HMPREF0675_5313
ko:K02314	pak:HMPREF0675_5319
ko:K03652	pak:HMPREF0675_5322
ko:K02026	pak:HMPREF0675_4513
ko:K02034	pak:HMPREF0675_4522
ko:K02032	pak:HMPREF0675_4524
ko:K00954	pak:HMPREF0675_4529
ko:K03655	pak:HMPREF0675_4532
ko:K02902	pak:HMPREF0675_4533
ko:K12574	pak:HMPREF0675_4534
ko:K00156	pak:HMPREF0675_4535
ko:K00215	pak:HMPREF0675_4537
ko:K00962	pak:HMPREF0675_4538
ko:K02956	pak:HMPREF0675_4539
ko:K11753	pak:HMPREF0675_4540
ko:K02002	pak:HMPREF0675_4541
ko:K02000	pak:HMPREF0675_4543
ko:K03177	pak:HMPREF0675_4544
ko:K02783	pak:HMPREF0675_4549
ko:K02782	pak:HMPREF0675_4550
ko:K02783	pak:HMPREF0675_4550
ko:K02781	pak:HMPREF0675_4551
ko:K08485	pak:HMPREF0675_4552
ko:K02834	pak:HMPREF0675_4554
ko:K02519	pak:HMPREF0675_4559
ko:K07742	pak:HMPREF0675_4560
ko:K02600	pak:HMPREF0675_4561
ko:K00113	pak:HMPREF0675_5323
ko:K00112	pak:HMPREF0675_5324
ko:K00111	pak:HMPREF0675_5325
ko:K03281	pak:HMPREF0675_5328
ko:K02619	pak:HMPREF0675_5336
ko:K01950	pak:HMPREF0675_5341
ko:K00850	pak:HMPREF0675_5342
ko:K00259	pak:HMPREF0675_5343
ko:K01647	pak:HMPREF0675_5349
ko:K01488	pak:HMPREF0675_5350
ko:K01775	pak:HMPREF0675_5362
ko:K00849	pak:HMPREF0675_5364
ko:K00973	pak:HMPREF0675_5365
ko:K01679	pak:HMPREF0675_5368
ko:K02026	pak:HMPREF0675_5370
ko:K02025	pak:HMPREF0675_5371
ko:K09748	pak:HMPREF0675_4562
ko:K07090	pak:HMPREF0675_4564
ko:K01881	pak:HMPREF0675_4566
ko:K06976	pak:HMPREF0675_4572
ko:K00099	pak:HMPREF0675_4577
ko:K00262	pak:HMPREF0675_4580
ko:K06941	pak:HMPREF0675_4581
ko:K00981	pak:HMPREF0675_4584
ko:K02838	pak:HMPREF0675_4585
ko:K09903	pak:HMPREF0675_4586
ko:K02357	pak:HMPREF0675_4587
ko:K02967	pak:HMPREF0675_4588
ko:K03733	pak:HMPREF0675_4589
ko:K01462	pak:HMPREF0675_4592
ko:K00208	pak:HMPREF0675_4599
ko:K00059	pak:HMPREF0675_4600
ko:K00563	pak:HMPREF0675_4604
ko:K02348	pak:HMPREF0675_4608
ko:K00865	pak:HMPREF0675_5376
ko:K00864	pak:HMPREF0675_5382
ko:K02440	pak:HMPREF0675_5383
ko:K00384	pak:HMPREF0675_5387
ko:K03671	pak:HMPREF0675_5392
ko:K00057	pak:HMPREF0675_5393
ko:K00615	pak:HMPREF0675_5396
ko:K00853	pak:HMPREF0675_5397
ko:K01808	pak:HMPREF0675_5403
ko:K01686	pak:HMPREF0675_5407
ko:K00040	pak:HMPREF0675_5408
ko:K01812	pak:HMPREF0675_5409
ko:K01195	pak:HMPREF0675_5413
ko:K01921	pak:HMPREF0675_5417
ko:K03497	pak:HMPREF0675_5420
ko:K03496	pak:HMPREF0675_5421
ko:K02112	pak:HMPREF0675_4303
ko:K02115	pak:HMPREF0675_4304
ko:K02111	pak:HMPREF0675_4305
ko:K02113	pak:HMPREF0675_4306
ko:K02109	pak:HMPREF0675_4307
ko:K02110	pak:HMPREF0675_4309
ko:K02108	pak:HMPREF0675_4310
ko:K01788	pak:HMPREF0675_5062
ko:K01714	pak:HMPREF0675_5063
ko:K03290	pak:HMPREF0675_5065
ko:K06207	pak:HMPREF0675_5068
ko:K03776	pak:HMPREF0675_5075
ko:K01624	pak:HMPREF0675_5077
ko:K03975	pak:HMPREF0675_5079
ko:K09858	pak:HMPREF0675_5084
ko:K03695	pak:HMPREF0675_5086
ko:K03311	pak:HMPREF0675_5087
ko:K01623	pak:HMPREF0675_5089
ko:K03322	pak:HMPREF0675_5091
ko:K02003	pak:HMPREF0675_5094
ko:K07085	pak:HMPREF0675_5099
ko:K13640	pak:HMPREF0675_5102
ko:K03686	pak:HMPREF0675_5103
ko:K03687	pak:HMPREF0675_5104
ko:K04043	pak:HMPREF0675_5105
ko:K03306	pak:HMPREF0675_5107
ko:K01619	pak:HMPREF0675_5110
ko:K02493	pak:HMPREF0675_4315
ko:K02835	pak:HMPREF0675_4316
ko:K02909	pak:HMPREF0675_4317
ko:K03628	pak:HMPREF0675_4318
ko:K00872	pak:HMPREF0675_4319
ko:K01733	pak:HMPREF0675_4320
ko:K00003	pak:HMPREF0675_4321
ko:K01586	pak:HMPREF0675_4322
ko:K00164	pak:HMPREF0675_4325
ko:K03088	pak:HMPREF0675_4331
ko:K00800	pak:HMPREF0675_4333
ko:K06949	pak:HMPREF0675_4334
ko:K00058	pak:HMPREF0675_4337
ko:K02032	pak:HMPREF0675_4338
ko:K02034	pak:HMPREF0675_4340
ko:K02033	pak:HMPREF0675_4341
ko:K07177	pak:HMPREF0675_4349
ko:K07043	pak:HMPREF0675_4351
ko:K03657	pak:HMPREF0675_4354
ko:K03583	pak:HMPREF0675_4355
ko:K03582	pak:HMPREF0675_4356
ko:K03581	pak:HMPREF0675_4357
ko:K03426	pak:HMPREF0675_4358
ko:K03657	pak:HMPREF0675_4359
ko:K01006	pak:HMPREF0675_5113
ko:K09773	pak:HMPREF0675_5114
ko:K00627	pak:HMPREF0675_5143
ko:K00162	pak:HMPREF0675_5144
ko:K00161	pak:HMPREF0675_5145
ko:K00231	pak:HMPREF0675_5146
ko:K01104	pak:HMPREF0675_5164
ko:K11738	pak:HMPREF0675_4365
ko:K01867	pak:HMPREF0675_4366
ko:K07053	pak:HMPREF0675_4367
ko:K03070	pak:HMPREF0675_4372
ko:K07654	pak:HMPREF0675_4376
ko:K07670	pak:HMPREF0675_4377
ko:K07735	pak:HMPREF0675_4378
ko:K01755	pak:HMPREF0675_4391
ko:K00930	pak:HMPREF0675_4393
ko:K00620	pak:HMPREF0675_4394
ko:K00145	pak:HMPREF0675_4395
ko:K03664	pak:HMPREF0675_4396
ko:K09811	pak:HMPREF0675_4397
ko:K09812	pak:HMPREF0675_4398
ko:K02836	pak:HMPREF0675_4399
ko:K03466	pak:HMPREF0675_4402
ko:K00946	pak:HMPREF0675_4403
ko:K01921	pak:HMPREF0675_4405
ko:K01704	pak:HMPREF0675_4407
ko:K01703	pak:HMPREF0675_4408
ko:K01703	pak:HMPREF0675_4409
ko:K07669	pak:HMPREF0675_5166
ko:K07653	pak:HMPREF0675_5167
ko:K13051	pak:HMPREF0675_5169
ko:K01823	pak:HMPREF0675_5171
ko:K09780	pak:HMPREF0675_5173
ko:K03761	pak:HMPREF0675_5176
ko:K00525	pak:HMPREF0675_5178
ko:K00526	pak:HMPREF0675_5179
ko:K00886	pak:HMPREF0675_5182
ko:K02919	pak:HMPREF0675_5184
ko:K01887	pak:HMPREF0675_5188
ko:K01810	pak:HMPREF0675_5192
ko:K01625	pak:HMPREF0675_5194
ko:K04047	pak:HMPREF0675_5195
ko:K04068	pak:HMPREF0675_5197
ko:K06910	pak:HMPREF0675_5200
ko:K07089	pak:HMPREF0675_5209
ko:K03980	pak:HMPREF0675_5211
ko:K00928	pak:HMPREF0675_5212
ko:K05520	pak:HMPREF0675_5216
ko:K00826	pak:HMPREF0675_4416
ko:K00052	pak:HMPREF0675_4418
ko:K00053	pak:HMPREF0675_4420
ko:K01653	pak:HMPREF0675_4421
ko:K02503	pak:HMPREF0675_4423
ko:K02500	pak:HMPREF0675_4424
ko:K03727	pak:HMPREF0675_4425
ko:K03118	pak:HMPREF0675_4427
ko:K03116	pak:HMPREF0675_4428
ko:K13573	pak:HMPREF0675_4430
ko:K13572	pak:HMPREF0675_4431
ko:K01885	pak:HMPREF0675_4432
