ko:K19743	apu:APA07_08140
ko:K00285	apu:APA07_06230
ko:K00384	apu:APA07_06240
ko:K00031	apu:APA07_06250
ko:K04751	apu:APA07_06300
ko:K01915	apu:APA07_06310
ko:K00117	apu:APA07_06330
ko:K03596	apu:APA07_06360
ko:K00641	apu:APA07_06370
ko:K11927	apu:APA07_06390
ko:K01673	apu:APA07_06410
ko:K00950	apu:APA07_06430
ko:K03060	apu:APA07_06440
ko:K00997	apu:APA07_06460
ko:K03100	apu:APA07_06470
ko:K03685	apu:APA07_06480
ko:K09903	apu:APA07_06500
ko:K02838	apu:APA07_06510
ko:K00806	apu:APA07_06520
ko:K00981	apu:APA07_06530
ko:K00099	apu:APA07_06540
ko:K11749	apu:APA07_06550
ko:K07277	apu:APA07_06560
ko:K02536	apu:APA07_06580
ko:K02372	apu:APA07_06590
ko:K03088	apu:APA07_13660
ko:K15553	apu:APA07_13670
ko:K15554	apu:APA07_13690
ko:K03119	apu:APA07_13710
ko:K00140	apu:APA07_13920
ko:K07722	apu:APA07_13960
ko:K09967	apu:APA07_13970
ko:K09967	apu:APA07_13980
ko:K03704	apu:APA07_01430
ko:K09024	apu:APA07_14130
ko:K02231	apu:APA07_22420
ko:K00768	apu:APA07_22430
ko:K02233	apu:APA07_22440
ko:K02225	apu:APA07_22460
ko:K02227	apu:APA07_22450
ko:K04719	apu:APA07_22470
ko:K02232	apu:APA07_22480
ko:K02224	apu:APA07_22510
ko:K02230	apu:APA07_22520
ko:K02234	apu:APA07_22530
ko:K09024	apu:APA07_22600
ko:K09823	apu:APA07_22640
ko:K08963	apu:APA07_22670
ko:K01738	apu:APA07_22700
ko:K01951	apu:APA07_22710
ko:K08137	apu:APA07_22940
ko:K03303	apu:APA07_22960
ko:K01613	apu:APA07_07830
ko:K01872	apu:APA07_07840
ko:K13829	apu:APA07_07870
ko:K01962	apu:APA07_07900
ko:K04566	apu:APA07_07920
ko:K07115	apu:APA07_07950
ko:K01749	apu:APA07_07970
ko:K03071	apu:APA07_07990
ko:K00428	apu:APA07_08030
ko:K00228	apu:APA07_08060
ko:K00413	apu:APA07_08080
ko:K10679	apu:APA07_08130
ko:K00154	apu:APA07_08150
ko:K07043	apu:APA07_01830
ko:K09160	apu:APA07_01840
ko:K02931	apu:APA07_09430
ko:K02954	apu:APA07_09440
ko:K02994	apu:APA07_09450
ko:K02933	apu:APA07_09460
ko:K02881	apu:APA07_09470
ko:K02988	apu:APA07_09480
ko:K02907	apu:APA07_09490
ko:K02876	apu:APA07_09500
ko:K03076	apu:APA07_09510
ko:K02952	apu:APA07_09530
ko:K02948	apu:APA07_09540
ko:K03040	apu:APA07_09550
ko:K02879	apu:APA07_09560
ko:K07789	apu:APA07_09630
ko:K07788	apu:APA07_09640
ko:K07799	apu:APA07_09650
ko:K03470	apu:APA07_09680
ko:K03924	apu:APA07_09740
ko:K09986	apu:APA07_09750
ko:K03543	apu:APA07_09780
ko:K03446	apu:APA07_09790
ko:K08311	apu:APA07_09800
ko:K09798	apu:APA07_09810
ko:K03797	apu:APA07_09820
ko:K15633	apu:APA07_09840
ko:K01754	apu:APA07_09850
ko:K00973	apu:APA07_18070
ko:K03320	apu:APA07_18280
ko:K03733	apu:APA07_18320
ko:K04066	apu:APA07_18330
ko:K03210	apu:APA07_18340
ko:K06923	apu:APA07_18350
ko:K10764	apu:APA07_18390
ko:K06195	apu:APA07_18400
ko:K01495	apu:APA07_18410
ko:K05520	apu:APA07_18420
ko:K03638	apu:APA07_18430
ko:K07267	apu:APA07_18440
ko:K00794	apu:APA07_18550
ko:K14652	apu:APA07_18560
ko:K00793	apu:APA07_18570
ko:K11752	apu:APA07_18580
ko:K01599	apu:APA07_26790
ko:K06287	apu:APA07_26800
ko:K03530	apu:APA07_40350
ko:K08995	apu:APA07_15320
ko:K00426	apu:APA07_15380
ko:K00425	apu:APA07_15390
ko:K09758	apu:APA07_15490
ko:K13979	apu:APA07_15620
ko:K09958	apu:APA07_15640
ko:K07507	apu:APA07_15670
ko:K08169	apu:APA07_15800
ko:K08679	apu:APA07_24140
ko:K09005	apu:APA07_24150
ko:K07402	apu:APA07_24180
ko:K07141	apu:APA07_24190
ko:K00281	apu:APA07_24220
ko:K02437	apu:APA07_24230
ko:K00605	apu:APA07_24240
ko:K00797	apu:APA07_24250
ko:K01611	apu:APA07_24260
ko:K00954	apu:APA07_24310
ko:K02469	apu:APA07_24320
ko:K00962	apu:APA07_24350
ko:K02956	apu:APA07_24360
ko:K02066	apu:APA07_24380
ko:K02065	apu:APA07_24390
ko:K06192	apu:APA07_24400
ko:K09857	apu:APA07_24410
ko:K03558	apu:APA07_24510
ko:K00764	apu:APA07_24520
ko:K09857	apu:APA07_24530
ko:K06192	apu:APA07_24540
ko:K03808	apu:APA07_24550
ko:K02109	apu:APA07_24590
ko:K01696	apu:APA07_03110
ko:K01695	apu:APA07_03120
ko:K07007	apu:APA07_03130
ko:K06915	apu:APA07_03140
ko:K02502	apu:APA07_03150
ko:K01939	apu:APA07_03160
ko:K07636	apu:APA07_03180
ko:K02040	apu:APA07_03190
ko:K01093	apu:APA07_03230
ko:K00145	apu:APA07_03310
ko:K04079	apu:APA07_03340
ko:K01173	apu:APA07_03550
ko:K01720	apu:APA07_03590
ko:K01895	apu:APA07_03620
ko:K01876	apu:APA07_03690
ko:K01356	apu:APA07_10940
ko:K03750	apu:APA07_10950
ko:K02913	apu:APA07_10960
ko:K01689	apu:APA07_10980
ko:K03154	apu:APA07_11010
ko:K03149	apu:APA07_11020
ko:K00788	apu:APA07_11030
ko:K03655	apu:APA07_11040
ko:K09159	apu:APA07_11050
ko:K03723	apu:APA07_11060
ko:K14347	apu:APA07_11080
ko:K09883	apu:APA07_11100
ko:K03801	apu:APA07_11150
ko:K00963	apu:APA07_11170
ko:K03639	apu:APA07_11190
ko:K00928	apu:APA07_11270
ko:K15539	apu:APA07_11290
ko:K01892	apu:APA07_11310
ko:K02835	apu:APA07_11320
ko:K02493	apu:APA07_11340
ko:K06153	apu:APA07_11380
ko:K03642	apu:APA07_11430
ko:K00943	apu:APA07_11450
ko:K02341	apu:APA07_11460
ko:K01874	apu:APA07_11470
ko:K03424	apu:APA07_11480
ko:K00858	apu:APA07_19720
ko:K02204	apu:APA07_19760
ko:K03527	apu:APA07_19770
ko:K08602	apu:APA07_19800
ko:K00266	apu:APA07_19820
ko:K01448	apu:APA07_19860
ko:K08300	apu:APA07_19870
ko:K00765	apu:APA07_19880
ko:K00013	apu:APA07_19890
ko:K02518	apu:APA07_19900
ko:K06287	apu:APA07_19910
ko:K09862	apu:APA07_19930
ko:K07090	apu:APA07_41560
ko:K01908	apu:APA07_41600
ko:K01502	apu:APA07_41660
ko:K03581	apu:APA07_41760
ko:K01154	apu:APA07_41860
ko:K03427	apu:APA07_41890
ko:K01438	apu:APA07_41960
ko:K07146	apu:APA07_05200
ko:K00111	apu:APA07_12570
ko:K02444	apu:APA07_12580
ko:K03654	apu:APA07_12590
ko:K03088	apu:APA07_12650
ko:K03088	apu:APA07_12660
ko:K15738	apu:APA07_12680
ko:K01194	apu:APA07_12690
ko:K06193	apu:APA07_12710
ko:K00077	apu:APA07_12730
ko:K07402	apu:APA07_12880
ko:K13482	apu:APA07_12890
ko:K13481	apu:APA07_12900
ko:K07127	apu:APA07_12920
ko:K03832	apu:APA07_13020
ko:K01993	apu:APA07_13030
ko:K13926	apu:APA07_13040
ko:K14261	apu:APA07_21330
ko:K00003	apu:APA07_21340
ko:K07462	apu:APA07_21360
ko:K03089	apu:APA07_21370
ko:K06180	apu:APA07_21380
ko:K02015	apu:APA07_21390
ko:K02013	apu:APA07_21400
ko:K00826	apu:APA07_21420
ko:K07152	apu:APA07_21440
ko:K03762	apu:APA07_21460
ko:K00426	apu:APA07_21490
ko:K00425	apu:APA07_21500
ko:K07223	apu:APA07_21510
ko:K11738	apu:APA07_21530
ko:K05358	apu:APA07_21550
ko:K00822	apu:APA07_21580
ko:K01464	apu:APA07_21680
ko:K01817	apu:APA07_21730
ko:K01591	apu:APA07_21740
ko:K03071	apu:APA07_21760
ko:K00097	apu:APA07_21780
ko:K03474	apu:APA07_21790
ko:K09001	apu:APA07_21810
ko:K03919	apu:APA07_21860
ko:K01153	apu:APA07_43180
ko:K01154	apu:APA07_43200
ko:K03427	apu:APA07_43210
ko:K00133	apu:APA07_00300
ko:K00242	apu:APA07_00320
ko:K00239	apu:APA07_00330
ko:K00240	apu:APA07_00340
ko:K00927	apu:APA07_00370
ko:K00134	apu:APA07_00380
ko:K00615	apu:APA07_00390
ko:K00643	apu:APA07_00410
ko:K02019	apu:APA07_00460
ko:K03670	apu:APA07_00470
ko:K03669	apu:APA07_00480
ko:K01443	apu:APA07_00490
ko:K02343	apu:APA07_00520
ko:K09747	apu:APA07_00530
ko:K06187	apu:APA07_00540
ko:K01633	apu:APA07_00560
ko:K00800	apu:APA07_00580
ko:K00945	apu:APA07_00590
ko:K02945	apu:APA07_00600
ko:K00989	apu:APA07_00630
ko:K03705	apu:APA07_00640
ko:K05366	apu:APA07_00650
ko:K02836	apu:APA07_00660
ko:K03832	apu:APA07_00670
ko:K03561	apu:APA07_00680
ko:K05837	apu:APA07_00720
ko:K05515	apu:APA07_00730
ko:K03571	apu:APA07_00740
ko:K03570	apu:APA07_00750
ko:K03569	apu:APA07_00760
ko:K01649	apu:APA07_00770
ko:K02259	apu:APA07_00780
ko:K07552	apu:APA07_00800
ko:K00759	apu:APA07_00820
ko:K05788	apu:APA07_16930
ko:K03980	apu:APA07_16950
ko:K04764	apu:APA07_16990
ko:K00648	apu:APA07_17000
ko:K03621	apu:APA07_17010
ko:K02911	apu:APA07_17020
ko:K07638	apu:APA07_17050
ko:K07659	apu:APA07_17060
ko:K01462	apu:APA07_17090
ko:K02970	apu:APA07_17100
ko:K00052	apu:APA07_17110
ko:K01704	apu:APA07_17120
ko:K01703	apu:APA07_17130
ko:K02884	apu:APA07_17140
ko:K00554	apu:APA07_17150
ko:K02860	apu:APA07_17160
ko:K02959	apu:APA07_17170
ko:K03106	apu:APA07_17180
ko:K06006	apu:APA07_17190
ko:K07289	apu:APA07_17210
ko:K07478	apu:APA07_17230
ko:K03179	apu:APA07_17250
ko:K09761	apu:APA07_17260
ko:K01919	apu:APA07_17270
ko:K08169	apu:APA07_17280
ko:K03977	apu:APA07_17300
ko:K01953	apu:APA07_17360
ko:K06980	apu:APA07_17370
ko:K00748	apu:APA07_17390
ko:K02291	apu:APA07_17430
ko:K04564	apu:APA07_17440
ko:K03695	apu:APA07_17450
ko:K06178	apu:APA07_25700
ko:K06204	apu:APA07_25740
ko:K01866	apu:APA07_25860
ko:K03568	apu:APA07_25870
ko:K00973	apu:APA07_25910
ko:K01790	apu:APA07_25920
ko:K00067	apu:APA07_25930
ko:K03466	apu:APA07_25950
ko:K00566	apu:APA07_25990
ko:K04755	apu:APA07_26000
ko:K04487	apu:APA07_26010
ko:K04487	apu:APA07_26020
ko:K00677	apu:APA07_06600
ko:K02914	apu:APA07_06640
ko:K03536	apu:APA07_06650
ko:K03217	apu:APA07_06660
ko:K03978	apu:APA07_06670
ko:K00930	apu:APA07_06680
ko:K06173	apu:APA07_06720
ko:K00604	apu:APA07_06730
ko:K01462	apu:APA07_06740
ko:K07140	apu:APA07_06790
ko:K06861	apu:APA07_06800
ko:K09774	apu:APA07_06810
ko:K11719	apu:APA07_06820
ko:K06041	apu:APA07_06830
ko:K03684	apu:APA07_06840
ko:K03218	apu:APA07_06850
ko:K00942	apu:APA07_06880
ko:K03272	apu:APA07_06890
ko:K02065	apu:APA07_06950
ko:K02066	apu:APA07_06960
ko:K04485	apu:APA07_06980
ko:K13821	apu:APA07_07050
ko:K01895	apu:APA07_07080
ko:K06968	apu:APA07_07120
ko:K01154	apu:APA07_14250
ko:K07043	apu:APA07_14290
ko:K03701	apu:APA07_14430
ko:K03675	apu:APA07_14460
ko:K02188	apu:APA07_14480
ko:K05936	apu:APA07_14490
ko:K02189	apu:APA07_14500
ko:K05895	apu:APA07_14520
ko:K03394	apu:APA07_14540
ko:K06042	apu:APA07_14550
ko:K02229	apu:APA07_14560
ko:K00117	apu:APA07_14620
ko:K00925	apu:APA07_14700
ko:K03737	apu:APA07_14730
ko:K03274	apu:APA07_22980
ko:K13292	apu:APA07_22990
ko:K05810	apu:APA07_23010
ko:K09771	apu:APA07_23060
ko:K00817	apu:APA07_23090
ko:K00615	apu:APA07_23110
ko:K13810	apu:APA07_23120
ko:K01057	apu:APA07_23150
ko:K01807	apu:APA07_23160
ko:K02016	apu:APA07_23200
ko:K03281	apu:APA07_23210
ko:K06997	apu:APA07_23230
ko:K03549	apu:APA07_23240
ko:K03189	apu:APA07_23410
ko:K03188	apu:APA07_23420
ko:K03187	apu:APA07_23430
ko:K01428	apu:APA07_23440
ko:K01429	apu:APA07_23450
ko:K01430	apu:APA07_23460
ko:K03190	apu:APA07_23470
ko:K07241	apu:APA07_23480
ko:K07018	apu:APA07_26030
ko:K01883	apu:APA07_26050
ko:K11754	apu:APA07_26070
ko:K01963	apu:APA07_26080
ko:K03671	apu:APA07_26090
ko:K06925	apu:APA07_26120
ko:K13584	apu:APA07_26130
ko:K03431	apu:APA07_26140
ko:K00796	apu:APA07_26150
ko:K03798	apu:APA07_26160
ko:K04075	apu:APA07_26170
ko:K03640	apu:APA07_26190
ko:K03641	apu:APA07_26200
ko:K03562	apu:APA07_26230
ko:K00606	apu:APA07_08560
ko:K04775	apu:APA07_08600
ko:K01586	apu:APA07_08630
ko:K01755	apu:APA07_08650
ko:K00014	apu:APA07_08690
ko:K00859	apu:APA07_08700
ko:K01783	apu:APA07_08750
ko:K03500	apu:APA07_08760
ko:K11175	apu:APA07_08770
ko:K01933	apu:APA07_08780
ko:K00937	apu:APA07_08800
ko:K01524	apu:APA07_08810
ko:K08715	apu:APA07_08880
ko:K03088	apu:APA07_15880
ko:K11720	apu:APA07_16110
ko:K01091	apu:APA07_16140
ko:K04042	apu:APA07_16150
ko:K00820	apu:APA07_16160
ko:K00432	apu:APA07_16240
ko:K09808	apu:APA07_16260
ko:K01881	apu:APA07_16270
ko:K03525	apu:APA07_16290
ko:K03524	apu:APA07_16300
ko:K00343	apu:APA07_16310
ko:K00341	apu:APA07_16320
ko:K00340	apu:APA07_16330
ko:K00339	apu:APA07_16340
ko:K00338	apu:APA07_16350
ko:K00337	apu:APA07_16360
ko:K00334	apu:APA07_16390
ko:K00333	apu:APA07_16400
ko:K02109	apu:APA07_24600
ko:K02110	apu:APA07_24610
ko:K02108	apu:APA07_24620
ko:K03110	apu:APA07_24640
ko:K01778	apu:APA07_24660
ko:K05592	apu:APA07_24690
ko:K02996	apu:APA07_24720
ko:K02871	apu:APA07_24730
ko:K02039	apu:APA07_24760
ko:K02036	apu:APA07_24770
ko:K02038	apu:APA07_24780
ko:K02037	apu:APA07_24790
ko:K01687	apu:APA07_24800
ko:K09985	apu:APA07_24930
ko:K01676	apu:APA07_24940
ko:K00285	apu:APA07_24980
ko:K01775	apu:APA07_24990
ko:K02834	apu:APA07_25010
ko:K02519	apu:APA07_25020
ko:K07742	apu:APA07_25030
ko:K02600	apu:APA07_25040
ko:K09748	apu:APA07_25050
ko:K01681	apu:APA07_25120
ko:K02194	apu:APA07_25140
ko:K00220	apu:APA07_02020
ko:K04761	apu:APA07_02040
ko:K04756	apu:APA07_02060
ko:K04754	apu:APA07_02150
ko:K05801	apu:APA07_02160
ko:K00773	apu:APA07_02190
ko:K07568	apu:APA07_02200
ko:K00297	apu:APA07_02240
ko:K01491	apu:APA07_02250
ko:K09919	apu:APA07_02260
ko:K01087	apu:APA07_02330
ko:K00697	apu:APA07_02340
ko:K03702	apu:APA07_02400
ko:K11738	apu:APA07_02480
ko:K02346	apu:APA07_02490
ko:K03624	apu:APA07_09860
ko:K01955	apu:APA07_09870
ko:K01956	apu:APA07_09880
ko:K09117	apu:APA07_09890
ko:K03086	apu:APA07_09910
ko:K02990	apu:APA07_09930
ko:K02963	apu:APA07_09940
ko:K02939	apu:APA07_09950
ko:K00574	apu:APA07_09960
ko:K02528	apu:APA07_09970
ko:K03771	apu:APA07_09980
ko:K04744	apu:APA07_09990
ko:K11720	apu:APA07_10000
ko:K07091	apu:APA07_10010
ko:K03608	apu:APA07_10050
ko:K03609	apu:APA07_10060
ko:K03610	apu:APA07_10070
ko:K07007	apu:APA07_10090
ko:K07056	apu:APA07_10110
ko:K07736	apu:APA07_10130
ko:K01070	apu:APA07_10150
ko:K09811	apu:APA07_10170
ko:K09812	apu:APA07_10180
ko:K01419	apu:APA07_10230
ko:K03667	apu:APA07_10240
ko:K02426	apu:APA07_10250
ko:K07302	apu:APA07_10270
ko:K02916	apu:APA07_10300
ko:K02887	apu:APA07_10310
ko:K01889	apu:APA07_10320
ko:K01890	apu:APA07_10330
ko:K02040	apu:APA07_10340
ko:K00412	apu:APA07_18590
ko:K00413	apu:APA07_18600
ko:K00411	apu:APA07_18610
ko:K06901	apu:APA07_18650
ko:K02888	apu:APA07_18810
ko:K02899	apu:APA07_18820
ko:K03979	apu:APA07_18830
ko:K00931	apu:APA07_18840
ko:K00036	apu:APA07_18870
ko:K03925	apu:APA07_18900
ko:K03438	apu:APA07_18910
ko:K03587	apu:APA07_18930
ko:K01928	apu:APA07_18940
ko:K01929	apu:APA07_18950
ko:K01000	apu:APA07_18960
ko:K01925	apu:APA07_18970
ko:K03588	apu:APA07_18980
ko:K02563	apu:APA07_18990
ko:K01924	apu:APA07_19000
ko:K00075	apu:APA07_19010
ko:K01921	apu:APA07_19020
ko:K03589	apu:APA07_19030
ko:K03590	apu:APA07_19040
ko:K03531	apu:APA07_19050
ko:K02535	apu:APA07_19060
ko:K05807	apu:APA07_19070
ko:K03631	apu:APA07_19080
ko:K01972	apu:APA07_19090
ko:K09773	apu:APA07_19110
ko:K08325	apu:APA07_40430
ko:K01546	apu:APA07_40500
ko:K01547	apu:APA07_40510
ko:K01548	apu:APA07_40520
ko:K07646	apu:APA07_40530
ko:K07667	apu:APA07_40540
ko:K01126	apu:APA07_40680
ko:K06199	apu:APA07_40710
ko:K03322	apu:APA07_40840
ko:K11924	apu:APA07_40860
ko:K02471	apu:APA07_40850
ko:K01620	apu:APA07_03700
ko:K02897	apu:APA07_03710
ko:K01056	apu:APA07_03720
ko:K06942	apu:APA07_03730
ko:K00147	apu:APA07_03740
ko:K00969	apu:APA07_03750
ko:K09710	apu:APA07_03760
ko:K00783	apu:APA07_03770
ko:K01575	apu:APA07_03800
ko:K01652	apu:APA07_03810
ko:K01576	apu:APA07_03830
ko:K00782	apu:APA07_03860
ko:K00790	apu:APA07_03880
ko:K01494	apu:APA07_03890
ko:K00720	apu:APA07_03950
ko:K01662	apu:APA07_03970
ko:K00919	apu:APA07_04030
ko:K00948	apu:APA07_04120
ko:K02016	apu:APA07_04240
ko:K06167	apu:APA07_11490
ko:K00275	apu:APA07_11510
ko:K00208	apu:APA07_11520
ko:K01736	apu:APA07_11530
ko:K00116	apu:APA07_11550
ko:K01737	apu:APA07_11560
ko:K06920	apu:APA07_11570
ko:K01012	apu:APA07_11590
ko:K00390	apu:APA07_11610
ko:K00957	apu:APA07_11620
ko:K00955	apu:APA07_11630
ko:K00381	apu:APA07_11650
ko:K02527	apu:APA07_11670
ko:K00912	apu:APA07_11680
ko:K02517	apu:APA07_11690
ko:K07082	apu:APA07_11720
ko:K09458	apu:APA07_11730
ko:K02078	apu:APA07_11740
ko:K00645	apu:APA07_11760
ko:K02002	apu:APA07_11790
ko:K03704	apu:APA07_11840
ko:K03664	apu:APA07_11850
ko:K01714	apu:APA07_11860
ko:K00979	apu:APA07_11880
ko:K07391	apu:APA07_11920
ko:K06131	apu:APA07_11980
ko:K07460	apu:APA07_11970
ko:K07390	apu:APA07_12000
ko:K01952	apu:APA07_12020
ko:K01952	apu:APA07_12030
ko:K03777	apu:APA07_20440
ko:K00767	apu:APA07_20490
ko:K03517	apu:APA07_20500
ko:K03885	apu:APA07_20530
ko:K06911	apu:APA07_20580
ko:K03561	apu:APA07_20630
ko:K03832	apu:APA07_20640
ko:K07160	apu:APA07_20680
ko:K01961	apu:APA07_20730
ko:K00812	apu:APA07_20750
ko:K06044	apu:APA07_20790
ko:K00362	apu:APA07_42110
ko:K02575	apu:APA07_42150
ko:K00549	apu:APA07_42270
ko:K03576	apu:APA07_42280
ko:K07726	apu:APA07_42310
ko:K03893	apu:APA07_42350
ko:K07043	apu:APA07_42370
ko:K01153	apu:APA07_42380
ko:K01154	apu:APA07_42390
ko:K03427	apu:APA07_42400
ko:K03811	apu:APA07_05480
ko:K01433	apu:APA07_05510
ko:K13771	apu:APA07_05530
ko:K06199	apu:APA07_05550
ko:K10806	apu:APA07_05590
ko:K03521	apu:APA07_05750
ko:K03522	apu:APA07_05800
ko:K02429	apu:APA07_05830
ko:K07267	apu:APA07_05850
ko:K03306	apu:APA07_05920
ko:K00627	apu:APA07_05960
ko:K13993	apu:APA07_05970
ko:K03885	apu:APA07_05990
ko:K03313	apu:APA07_13140
ko:K10680	apu:APA07_13160
ko:K03781	apu:APA07_13180
ko:K15034	apu:APA07_13190
ko:K13688	apu:APA07_13220
ko:K00941	apu:APA07_13250
ko:K02471	apu:APA07_13300
ko:K04046	apu:APA07_13330
ko:K07290	apu:APA07_13400
ko:K03832	apu:APA07_13490
ko:K03561	apu:APA07_13510
ko:K03088	apu:APA07_13610
ko:K05916	apu:APA07_21890
ko:K02072	apu:APA07_21900
