ko:K01212	bamp:B938_19310
ko:K07560	bamp:B938_12765
ko:K00759	bamp:B938_12775
ko:K07462	bamp:B938_12780
ko:K07228	bamp:B938_12790
ko:K12257	bamp:B938_12800
ko:K06409	bamp:B938_12810
ko:K03210	bamp:B938_12825
ko:K00773	bamp:B938_12830
ko:K07568	bamp:B938_12835
ko:K03551	bamp:B938_12840
ko:K03550	bamp:B938_12845
ko:K06318	bamp:B938_12850
ko:K06370	bamp:B938_12865
ko:K03517	bamp:B938_12870
ko:K00767	bamp:B938_12875
ko:K00278	bamp:B938_12880
ko:K04487	bamp:B938_12885
ko:K03797	bamp:B938_16630
ko:K09811	bamp:B938_16640
ko:K09812	bamp:B938_16645
ko:K02836	bamp:B938_16660
ko:K03070	bamp:B938_16665
ko:K02423	bamp:B938_16680
ko:K02422	bamp:B938_16685
ko:K02407	bamp:B938_16690
ko:K02406	bamp:B938_16695
ko:K03563	bamp:B938_16700
ko:K13626	bamp:B938_16705
ko:K02397	bamp:B938_16715
ko:K02396	bamp:B938_16720
ko:K02398	bamp:B938_16730
ko:K07777	bamp:B938_16765
ko:K00012	bamp:B938_16805
ko:K01448	bamp:B938_16825
ko:K00963	bamp:B938_16850
ko:K05946	bamp:B938_16885
ko:K01770	bamp:B938_00470
ko:K00640	bamp:B938_00480
ko:K01883	bamp:B938_00485
ko:K11145	bamp:B938_00490
ko:K03218	bamp:B938_00495
ko:K06962	bamp:B938_00500
ko:K03091	bamp:B938_00505
ko:K02913	bamp:B938_00510
ko:K03073	bamp:B938_00515
ko:K02601	bamp:B938_00520
ko:K02867	bamp:B938_00525
ko:K02863	bamp:B938_00530
ko:K02864	bamp:B938_00535
ko:K02935	bamp:B938_00540
ko:K03043	bamp:B938_00550
ko:K03046	bamp:B938_00555
ko:K07590	bamp:B938_00560
ko:K02950	bamp:B938_00565
ko:K02992	bamp:B938_00570
ko:K02355	bamp:B938_00575
ko:K02358	bamp:B938_00580
ko:K02946	bamp:B938_00590
ko:K02906	bamp:B938_00595
ko:K02926	bamp:B938_00600
ko:K02892	bamp:B938_00605
ko:K02886	bamp:B938_00610
ko:K02965	bamp:B938_00615
ko:K02890	bamp:B938_00620
ko:K02982	bamp:B938_00625
ko:K02878	bamp:B938_00630
ko:K02904	bamp:B938_00635
ko:K02961	bamp:B938_00640
ko:K02874	bamp:B938_00645
ko:K02895	bamp:B938_00650
ko:K02931	bamp:B938_00655
ko:K02954	bamp:B938_00660
ko:K02994	bamp:B938_00665
ko:K02933	bamp:B938_00670
ko:K02881	bamp:B938_00675
ko:K02988	bamp:B938_00680
ko:K02907	bamp:B938_00685
ko:K02876	bamp:B938_00690
ko:K03076	bamp:B938_00695
ko:K01265	bamp:B938_00705
ko:K02518	bamp:B938_00710
ko:K02919	bamp:B938_00715
ko:K02952	bamp:B938_00720
ko:K02948	bamp:B938_00725
ko:K03040	bamp:B938_00730
ko:K02879	bamp:B938_00735
ko:K01599	bamp:B938_04980
ko:K01772	bamp:B938_04985
ko:K00231	bamp:B938_04990
ko:K01421	bamp:B938_05000
ko:K00648	bamp:B938_05005
ko:K11102	bamp:B938_05020
ko:K03800	bamp:B938_05035
ko:K02016	bamp:B938_05070
ko:K03523	bamp:B938_05090
ko:K02250	bamp:B938_05115
ko:K03100	bamp:B938_05170
ko:K03547	bamp:B938_05230
ko:K01198	bamp:B938_08985
ko:K06209	bamp:B938_12900
ko:K03979	bamp:B938_12905
ko:K06375	bamp:B938_12910
ko:K02899	bamp:B938_12920
ko:K03453	bamp:B938_09885
ko:K00658	bamp:B938_09895
ko:K00164	bamp:B938_09900
ko:K03327	bamp:B938_09945
ko:K05786	bamp:B938_09970
ko:K06999	bamp:B938_10005
ko:K15975	bamp:B938_10010
ko:K01201	bamp:B938_10025
ko:K01223	bamp:B938_10035
ko:K03489	bamp:B938_10040
ko:K03797	bamp:B938_10045
ko:K01438	bamp:B938_10125
ko:K01034	bamp:B938_10135
ko:K03439	bamp:B938_13970
ko:K01975	bamp:B938_13995
ko:K01738	bamp:B938_14000
ko:K06901	bamp:B938_14010
ko:K07007	bamp:B938_14045
ko:K02529	bamp:B938_14060
ko:K10117	bamp:B938_14065
ko:K07406	bamp:B938_14080
ko:K01869	bamp:B938_14095
ko:K11632	bamp:B938_14120
ko:K11631	bamp:B938_14125
ko:K11629	bamp:B938_14130
ko:K11630	bamp:B938_14135
ko:K07139	bamp:B938_14185
ko:K16188	bamp:B938_14195
ko:K01953	bamp:B938_14215
ko:K00789	bamp:B938_14220
ko:K01610	bamp:B938_14230
ko:K06305	bamp:B938_18020
ko:K03648	bamp:B938_18040
ko:K00868	bamp:B938_18065
ko:K01193	bamp:B938_18075
ko:K14647	bamp:B938_18095
ko:K05837	bamp:B938_18120
ko:K03829	bamp:B938_18125
ko:K02829	bamp:B938_18135
ko:K02828	bamp:B938_18140
ko:K02827	bamp:B938_18145
ko:K02826	bamp:B938_18150
ko:K00965	bamp:B938_18160
ko:K16301	bamp:B938_18205
ko:K00788	bamp:B938_18210
ko:K00878	bamp:B938_18215
ko:K06969	bamp:B938_18250
ko:K02761	bamp:B938_18260
ko:K02548	bamp:B938_18280
ko:K03367	bamp:B938_18290
ko:K14166	bamp:B938_01870
ko:K00009	bamp:B938_01895
ko:K07160	bamp:B938_01915
ko:K06350	bamp:B938_01935
ko:K03817	bamp:B938_01995
ko:K03322	bamp:B938_02090
ko:K07217	bamp:B938_02140
ko:K11692	bamp:B938_02155
ko:K03088	bamp:B938_06425
ko:K03306	bamp:B938_06585
ko:K07220	bamp:B938_06590
ko:K15975	bamp:B938_06600
ko:K16203	bamp:B938_06630
ko:K16200	bamp:B938_06635
ko:K16201	bamp:B938_06640
ko:K01083	bamp:B938_10180
ko:K07152	bamp:B938_10285
ko:K01754	bamp:B938_10295
ko:K11068	bamp:B938_10305
ko:K00655	bamp:B938_10310
ko:K01687	bamp:B938_10340
ko:K06950	bamp:B938_10350
ko:K00432	bamp:B938_10355
ko:K00651	bamp:B938_10365
ko:K03704	bamp:B938_10375
ko:K09125	bamp:B938_10400
ko:K06429	bamp:B938_10410
ko:K04047	bamp:B938_14270
ko:K07173	bamp:B938_14285
ko:K08998	bamp:B938_14290
ko:K01673	bamp:B938_14295
ko:K02909	bamp:B938_14300
ko:K00425	bamp:B938_14305
ko:K00426	bamp:B938_14310
ko:K01911	bamp:B938_14325
ko:K01661	bamp:B938_14330
ko:K02551	bamp:B938_14340
ko:K03739	bamp:B938_18295
ko:K14188	bamp:B938_18300
ko:K00826	bamp:B938_18315
ko:K02759	bamp:B938_18325
ko:K02761	bamp:B938_18330
ko:K02760	bamp:B938_18335
ko:K03652	bamp:B938_18345
ko:K02015	bamp:B938_18350
ko:K02015	bamp:B938_18355
ko:K02016	bamp:B938_18360
ko:K02888	bamp:B938_12930
ko:K06401	bamp:B938_12940
ko:K03609	bamp:B938_12945
ko:K03610	bamp:B938_12950
ko:K03571	bamp:B938_12955
ko:K03570	bamp:B938_12960
ko:K03569	bamp:B938_12965
ko:K03630	bamp:B938_12970
ko:K06287	bamp:B938_12975
ko:K11754	bamp:B938_12990
ko:K01873	bamp:B938_12995
ko:K06417	bamp:B938_13010
ko:K01845	bamp:B938_13015
ko:K01698	bamp:B938_13020
ko:K01749	bamp:B938_13030
ko:K02497	bamp:B938_13035
ko:K02492	bamp:B938_13040
ko:K03978	bamp:B938_13050
ko:K01338	bamp:B938_13055
ko:K03544	bamp:B938_13065
ko:K03545	bamp:B938_13070
ko:K01704	bamp:B938_13080
ko:K01703	bamp:B938_13085
ko:K00052	bamp:B938_13090
ko:K01649	bamp:B938_13095
ko:K00053	bamp:B938_13100
ko:K01653	bamp:B938_13105
ko:K01652	bamp:B938_13110
ko:K07095	bamp:B938_13130
ko:K00989	bamp:B938_13140
ko:K01809	bamp:B938_16900
ko:K07282	bamp:B938_16965
ko:K06295	bamp:B938_16985
ko:K02529	bamp:B938_17000
ko:K06726	bamp:B938_17010
ko:K10441	bamp:B938_17015
ko:K01575	bamp:B938_17040
ko:K01652	bamp:B938_17045
ko:K03893	bamp:B938_17060
ko:K06330	bamp:B938_17075
ko:K07240	bamp:B938_17105
ko:K07240	bamp:B938_17110
ko:K05982	bamp:B938_17115
ko:K00012	bamp:B938_17150
ko:K06173	bamp:B938_00755
ko:K02871	bamp:B938_00760
ko:K02996	bamp:B938_00765
ko:K01448	bamp:B938_00785
ko:K06294	bamp:B938_00795
ko:K06349	bamp:B938_00800
ko:K08174	bamp:B938_00810
ko:K03321	bamp:B938_00830
ko:K02015	bamp:B938_00845
ko:K02015	bamp:B938_00850
ko:K02016	bamp:B938_00855
ko:K07106	bamp:B938_00895
ko:K03088	bamp:B938_00915
ko:K03431	bamp:B938_00935
ko:K00820	bamp:B938_00940
ko:K06304	bamp:B938_05250
ko:K06303	bamp:B938_05255
ko:K06302	bamp:B938_05260
ko:K06301	bamp:B938_05265
ko:K06300	bamp:B938_05270
ko:K01953	bamp:B938_05300
ko:K02291	bamp:B938_05305
ko:K09767	bamp:B938_05340
ko:K00243	bamp:B938_05345
ko:K07335	bamp:B938_05350
ko:K11210	bamp:B938_05410
ko:K00145	bamp:B938_05425
ko:K00620	bamp:B938_05430
ko:K00930	bamp:B938_05435
ko:K01956	bamp:B938_05445
ko:K01955	bamp:B938_05450
ko:K00611	bamp:B938_05455
ko:K02254	bamp:B938_05490
ko:K00648	bamp:B938_05500
ko:K09458	bamp:B938_05505
ko:K03893	bamp:B938_18370
ko:K02760	bamp:B938_18375
ko:K02759	bamp:B938_18380
ko:K02761	bamp:B938_18385
ko:K01223	bamp:B938_18390
ko:K00847	bamp:B938_18395
ko:K01809	bamp:B938_18400
ko:K03781	bamp:B938_18410
ko:K01442	bamp:B938_18415
ko:K00426	bamp:B938_18440
ko:K00425	bamp:B938_18445
ko:K00563	bamp:B938_18515
ko:K16323	bamp:B938_18525
ko:K03781	bamp:B938_18540
ko:K03300	bamp:B938_18545
ko:K11103	bamp:B938_02160
ko:K01921	bamp:B938_02210
ko:K01929	bamp:B938_02215
ko:K05592	bamp:B938_02225
ko:K00997	bamp:B938_02245
ko:K01775	bamp:B938_02255
ko:K07723	bamp:B938_02260
ko:K06959	bamp:B938_02310
ko:K03762	bamp:B938_02415
ko:K01433	bamp:B938_06705
ko:K00931	bamp:B938_06710
ko:K00147	bamp:B938_06715
ko:K05820	bamp:B938_06755
ko:K00549	bamp:B938_06770
ko:K13275	bamp:B938_06775
ko:K06213	bamp:B938_06815
ko:K10979	bamp:B938_06850
ko:K03093	bamp:B938_06870
ko:K03799	bamp:B938_06895
ko:K13533	bamp:B938_06920
ko:K08963	bamp:B938_06935
ko:K00899	bamp:B938_06940
ko:K08965	bamp:B938_06955
ko:K07443	bamp:B938_10450
ko:K16169	bamp:B938_10475
ko:K03816	bamp:B938_10480
ko:K01299	bamp:B938_10485
ko:K07444	bamp:B938_10505
ko:K06327	bamp:B938_10520
ko:K07502	bamp:B938_10525
ko:K05366	bamp:B938_10580
ko:K10773	bamp:B938_10590
ko:K01893	bamp:B938_10600
ko:K00812	bamp:B938_10605
ko:K01579	bamp:B938_10625
ko:K01918	bamp:B938_10630
ko:K00606	bamp:B938_10635
ko:K03524	bamp:B938_10640
ko:K01734	bamp:B938_10660
ko:K00215	bamp:B938_10665
ko:K03888	bamp:B938_10695
ko:K03887	bamp:B938_10700
ko:K05916	bamp:B938_14420
ko:K06153	bamp:B938_14435
ko:K05520	bamp:B938_14450
ko:K00686	bamp:B938_14475
ko:K00459	bamp:B938_14485
ko:K06973	bamp:B938_14505
ko:K10716	bamp:B938_14520
ko:K01810	bamp:B938_14535
ko:K09779	bamp:B938_14560
ko:K10907	bamp:B938_14570
ko:K14155	bamp:B938_14590
ko:K07697	bamp:B938_14595
ko:K06347	bamp:B938_14600
ko:K06348	bamp:B938_14605
ko:K11614	bamp:B938_14630
ko:K07335	bamp:B938_14645
ko:K02057	bamp:B938_14655
ko:K02057	bamp:B938_14660
ko:K05566	bamp:B938_14675
ko:K01223	bamp:B938_18660
ko:K07458	bamp:B938_18670
ko:K09683	bamp:B938_18705
ko:K01745	bamp:B938_18710
ko:K01712	bamp:B938_18715
ko:K01468	bamp:B938_18720
ko:K00756	bamp:B938_18735
ko:K11535	bamp:B938_18740
ko:K05346	bamp:B938_18750
ko:K09772	bamp:B938_07900
ko:K02221	bamp:B938_07905
ko:K04074	bamp:B938_07915
ko:K01870	bamp:B938_07920
ko:K03101	bamp:B938_07930
ko:K06180	bamp:B938_07935
ko:K02825	bamp:B938_07940
ko:K00609	bamp:B938_07950
ko:K01465	bamp:B938_07955
ko:K01956	bamp:B938_07960
ko:K01955	bamp:B938_07965
ko:K01591	bamp:B938_07980
ko:K00762	bamp:B938_07985
ko:K00390	bamp:B938_07995
ko:K16331	bamp:B938_08000
ko:K00860	bamp:B938_08015
ko:K02304	bamp:B938_08030
ko:K09777	bamp:B938_08050
ko:K00942	bamp:B938_08055
ko:K03060	bamp:B938_08060
ko:K13038	bamp:B938_08065
ko:K04066	bamp:B938_08070
ko:K01462	bamp:B938_08075
ko:K00604	bamp:B938_08080
ko:K03500	bamp:B938_08085
ko:K06941	bamp:B938_08090
ko:K06949	bamp:B938_08105
ko:K09699	bamp:B938_11530
ko:K00167	bamp:B938_11535
ko:K00166	bamp:B938_11540
ko:K00382	bamp:B938_11545
ko:K00263	bamp:B938_11555
ko:K01720	bamp:B938_11580
ko:K01647	bamp:B938_11585
ko:K00074	bamp:B938_11595
ko:K01126	bamp:B938_11605
ko:K01448	bamp:B938_11610
ko:K01775	bamp:B938_11660
ko:K07699	bamp:B938_11665
ko:K06399	bamp:B938_11670
ko:K03631	bamp:B938_11675
ko:K03402	bamp:B938_11680
ko:K06442	bamp:B938_11685
ko:K01662	bamp:B938_11690
ko:K13789	bamp:B938_11695
ko:K03602	bamp:B938_11700
ko:K03601	bamp:B938_11705
ko:K01491	bamp:B938_11710
ko:K03625	bamp:B938_11715
ko:K01961	bamp:B938_11730
ko:K02160	bamp:B938_11735
ko:K06397	bamp:B938_11740
ko:K06396	bamp:B938_11745
ko:K06395	bamp:B938_11750
ko:K06394	bamp:B938_11755
ko:K06393	bamp:B938_11760
ko:K06392	bamp:B938_11765
ko:K06391	bamp:B938_11770
ko:K06390	bamp:B938_11775
ko:K02015	bamp:B938_15510
ko:K02016	bamp:B938_15515
ko:K02013	bamp:B938_15565
ko:K02015	bamp:B938_15570
ko:K02015	bamp:B938_15575
ko:K02016	bamp:B938_15580
ko:K03758	bamp:B938_15585
ko:K07038	bamp:B938_15600
ko:K07219	bamp:B938_15610
ko:K02020	bamp:B938_15615
ko:K02018	bamp:B938_15620
ko:K00381	bamp:B938_15665
ko:K03657	bamp:B938_15675
ko:K03611	bamp:B938_15690
ko:K01534	bamp:B938_15700
ko:K01118	bamp:B938_15730
ko:K08223	bamp:B938_03590
ko:K15738	bamp:B938_03620
ko:K01728	bamp:B938_03665
ko:K03319	bamp:B938_03670
ko:K00491	bamp:B938_03755
ko:K01512	bamp:B938_03760
ko:K01265	bamp:B938_03785
ko:K13993	bamp:B938_03810
ko:K02818	bamp:B938_03825
ko:K02819	bamp:B938_03825
ko:K05520	bamp:B938_03860
ko:K02529	bamp:B938_03865
ko:K00014	bamp:B938_03870
ko:K01783	bamp:B938_08110
ko:K03216	bamp:B938_04385
ko:K07180	bamp:B938_04410
ko:K09786	bamp:B938_04415
ko:K03809	bamp:B938_04435
ko:K03704	bamp:B938_04470
ko:K02073	bamp:B938_04475
ko:K06956	bamp:B938_04485
ko:K06180	bamp:B938_04520
ko:K02440	bamp:B938_04555
ko:K00864	bamp:B938_04560
ko:K00111	bamp:B938_04565
ko:K13771	bamp:B938_04605
ko:K01647	bamp:B938_04635
ko:K03308	bamp:B938_04655
ko:K00995	bamp:B938_08690
ko:K09769	bamp:B938_08715
ko:K06416	bamp:B938_08720
ko:K00060	bamp:B938_08725
ko:K06168	bamp:B938_08735
ko:K06328	bamp:B938_08745
ko:K03555	bamp:B938_08750
ko:K03572	bamp:B938_08755
ko:K15311	bamp:B938_08790
ko:K00791	bamp:B938_08890
ko:K03666	bamp:B938_08895
ko:K01448	bamp:B938_08930
ko:K06413	bamp:B938_08940
ko:K03665	bamp:B938_08945
ko:K01805	bamp:B938_08995
ko:K01356	bamp:B938_09140
ko:K00615	bamp:B938_09160
ko:K03413	bamp:B938_09185
ko:K06335	bamp:B938_09200
ko:K06433	bamp:B938_09205
ko:K06432	bamp:B938_09210
ko:K01681	bamp:B938_09215
ko:K06431	bamp:B938_09230
ko:K06434	bamp:B938_09235
ko:K07107	bamp:B938_09240
ko:K08591	bamp:B938_09255
ko:K02622	bamp:B938_09265
ko:K02621	bamp:B938_09270
ko:K03310	bamp:B938_09285
ko:K00874	bamp:B938_09290
ko:K08322	bamp:B938_09295
ko:K01776	bamp:B938_13150
ko:K01994	bamp:B938_13165
ko:K07107	bamp:B938_13170
ko:K00240	bamp:B938_13175
ko:K00239	bamp:B938_13180
ko:K00928	bamp:B938_13195
ko:K03703	bamp:B938_13205
ko:K03671	bamp:B938_13210
ko:K03522	bamp:B938_13220
ko:K03521	bamp:B938_13225
ko:K13767	bamp:B938_13230
ko:K13770	bamp:B938_13235
ko:K08989	bamp:B938_13250
ko:K07456	bamp:B938_13255
ko:K09888	bamp:B938_13275
ko:K01890	bamp:B938_13285
ko:K01889	bamp:B938_13290
ko:K03437	bamp:B938_13295
ko:K06426	bamp:B938_13300
ko:K02647	bamp:B938_13305
ko:K11473	bamp:B938_13315
ko:K06200	bamp:B938_13320
ko:K01804	bamp:B938_13365
ko:K02887	bamp:B938_13390
ko:K02916	bamp:B938_13395
ko:K02520	bamp:B938_13400
ko:K05339	bamp:B938_13405
ko:K05338	bamp:B938_13410
ko:K07704	bamp:B938_13420
ko:K03282	bamp:B938_17215
ko:K02372	bamp:B938_17220
ko:K02392	bamp:B938_17230
ko:K02392	bamp:B938_17235
ko:K03569	bamp:B938_17240
ko:K06283	bamp:B938_17245
ko:K03320	bamp:B938_17275
ko:K04751	bamp:B938_17280
ko:K03588	bamp:B938_17285
ko:K06386	bamp:B938_17300
ko:K03823	bamp:B938_17305
ko:K06131	bamp:B938_17325
ko:K01428	bamp:B938_17350
ko:K01429	bamp:B938_17355
ko:K01430	bamp:B938_17360
ko:K03639	bamp:B938_17380
ko:K02379	bamp:B938_17385
ko:K06381	bamp:B938_17405
ko:K00790	bamp:B938_17410
ko:K02114	bamp:B938_17430
ko:K02112	bamp:B938_17435
ko:K02115	bamp:B938_17440
ko:K02111	bamp:B938_17445
ko:K02113	bamp:B938_17450
ko:K02109	bamp:B938_17455
ko:K01126	bamp:B938_01045
ko:K02445	bamp:B938_01050
ko:K08317	bamp:B938_01090
ko:K08289	bamp:B938_01095
ko:K01613	bamp:B938_01110
ko:K07146	bamp:B938_01120
ko:K11102	bamp:B938_01125
ko:K00826	bamp:B938_01130
ko:K01425	bamp:B938_01150
ko:K07717	bamp:B938_01155
ko:K07719	bamp:B938_01160
ko:K15975	bamp:B938_01190
ko:K15977	bamp:B938_01195
ko:K01449	bamp:B938_01210
ko:K03116	bamp:B938_01220
ko:K03118	bamp:B938_01225
ko:K01304	bamp:B938_01230
ko:K02034	bamp:B938_05535
ko:K01867	bamp:B938_05545
ko:K15580	bamp:B938_05550
ko:K15581	bamp:B938_05555
ko:K16511	bamp:B938_05595
ko:K08602	bamp:B938_05605
ko:K06886	bamp:B938_05625
ko:K00858	bamp:B938_05650
ko:K06180	bamp:B938_05655
ko:K03707	bamp:B938_05670
ko:K03154	bamp:B938_05685
ko:K03149	bamp:B938_05690
ko:K00941	bamp:B938_05700
ko:K00208	bamp:B938_05705
ko:K06342	bamp:B938_05725
ko:K06341	bamp:B938_05730
ko:K03657	bamp:B938_05760
ko:K02016	bamp:B938_18785
