ko:K03602	ftc:DA46_2060
ko:K01669	ftc:DA46_1991
ko:K01785	ftc:DA46_2002
ko:K13038	ftc:DA46_2003
ko:K13821	ftc:DA46_2006
ko:K09159	ftc:DA46_2007
ko:K01735	ftc:DA46_2010
ko:K00891	ftc:DA46_2011
ko:K02666	ftc:DA46_2012
ko:K02665	ftc:DA46_2013
ko:K02664	ftc:DA46_2014
ko:K02663	ftc:DA46_2015
ko:K00939	ftc:DA46_2017
ko:K18930	ftc:DA46_2021
ko:K18930	ftc:DA46_2022
ko:K00812	ftc:DA46_2025
ko:K14742	ftc:DA46_2027
ko:K01443	ftc:DA46_2028
ko:K14540	ftc:DA46_2029
ko:K03427	ftc:DA46_2032
ko:K03427	ftc:DA46_2034
ko:K03704	ftc:DA46_2035
ko:K01154	ftc:DA46_2036
ko:K01154	ftc:DA46_2037
ko:K03704	ftc:DA46_1403
ko:K02970	ftc:DA46_1405
ko:K00963	ftc:DA46_1410
ko:K01895	ftc:DA46_1411
ko:K01895	ftc:DA46_1412
ko:K03629	ftc:DA46_1416
ko:K03424	ftc:DA46_1417
ko:K01879	ftc:DA46_1418
ko:K03305	ftc:DA46_1423
ko:K03305	ftc:DA46_1424
ko:K01079	ftc:DA46_1425
ko:K01079	ftc:DA46_1427
ko:K09799	ftc:DA46_1426
ko:K01775	ftc:DA46_1432
ko:K04518	ftc:DA46_1435
ko:K01752	ftc:DA46_1437
ko:K11717	ftc:DA46_1438
ko:K13628	ftc:DA46_1439
ko:K00954	ftc:DA46_1441
ko:K01462	ftc:DA46_223
ko:K02337	ftc:DA46_224
ko:K08309	ftc:DA46_229
ko:K18284	ftc:DA46_231
ko:K02621	ftc:DA46_233
ko:K01265	ftc:DA46_236
ko:K03704	ftc:DA46_238
ko:K02970	ftc:DA46_240
ko:K00820	ftc:DA46_241
ko:K04042	ftc:DA46_242
ko:K01613	ftc:DA46_246
ko:K01874	ftc:DA46_260
ko:K00027	ftc:DA46_268
ko:K11753	ftc:DA46_269
ko:K01870	ftc:DA46_270
ko:K03101	ftc:DA46_272
ko:K02427	ftc:DA46_273
ko:K07023	ftc:DA46_274
ko:K03497	ftc:DA46_277
ko:K03496	ftc:DA46_278
ko:K03075	ftc:DA46_946
ko:K07223	ftc:DA46_953
ko:K01681	ftc:DA46_954
ko:K02669	ftc:DA46_955
ko:K02669	ftc:DA46_956
ko:K06955	ftc:DA46_957
ko:K06955	ftc:DA46_959
ko:K00426	ftc:DA46_961
ko:K00425	ftc:DA46_962
ko:K00425	ftc:DA46_963
ko:K07071	ftc:DA46_966
ko:K07645	ftc:DA46_965
ko:K00111	ftc:DA46_973
ko:K02440	ftc:DA46_974
ko:K03442	ftc:DA46_976
ko:K02358	ftc:DA46_982
ko:K03073	ftc:DA46_984
ko:K02601	ftc:DA46_985
ko:K02867	ftc:DA46_986
ko:K02863	ftc:DA46_987
ko:K02864	ftc:DA46_988
ko:K02935	ftc:DA46_989
ko:K03043	ftc:DA46_990
ko:K03046	ftc:DA46_991
ko:K01409	ftc:DA46_993
ko:K00789	ftc:DA46_995
ko:K02959	ftc:DA46_996
ko:K02860	ftc:DA46_997
ko:K00554	ftc:DA46_998
ko:K02884	ftc:DA46_999
ko:K04763	ftc:DA46_1000
ko:K03551	ftc:DA46_1721
ko:K01662	ftc:DA46_1726
ko:K01951	ftc:DA46_1727
ko:K06173	ftc:DA46_1730
ko:K06861	ftc:DA46_1733
ko:K11719	ftc:DA46_1735
ko:K03270	ftc:DA46_1736
ko:K01507	ftc:DA46_1737
ko:K07258	ftc:DA46_1738
ko:K09158	ftc:DA46_1739
ko:K03801	ftc:DA46_1740
ko:K16210	ftc:DA46_1741
ko:K16210	ftc:DA46_1742
ko:K15922	ftc:DA46_1743
ko:K15922	ftc:DA46_1744
ko:K15922	ftc:DA46_1745
ko:K03885	ftc:DA46_1746
ko:K03086	ftc:DA46_1747
ko:K09117	ftc:DA46_1749
ko:K02970	ftc:DA46_1750
ko:K07259	ftc:DA46_1751
ko:K07107	ftc:DA46_1753
ko:K14058	ftc:DA46_1754
ko:K03773	ftc:DA46_1755
ko:K02523	ftc:DA46_1756
ko:K00860	ftc:DA46_1761
ko:K00956	ftc:DA46_1762
ko:K00956	ftc:DA46_1763
ko:K03789	ftc:DA46_1769
ko:K06178	ftc:DA46_1771
ko:K06901	ftc:DA46_390
ko:K00537	ftc:DA46_393
ko:K03574	ftc:DA46_394
ko:K00382	ftc:DA46_397
ko:K00627	ftc:DA46_398
ko:K00163	ftc:DA46_399
ko:K00859	ftc:DA46_401
ko:K01867	ftc:DA46_404
ko:K03316	ftc:DA46_406
ko:K07106	ftc:DA46_411
ko:K01962	ftc:DA46_415
ko:K03555	ftc:DA46_416
ko:K03071	ftc:DA46_417
ko:K03733	ftc:DA46_421
ko:K15984	ftc:DA46_422
ko:K00951	ftc:DA46_426
ko:K03834	ftc:DA46_428
ko:K05516	ftc:DA46_429
ko:K00567	ftc:DA46_436
ko:K01586	ftc:DA46_440
ko:K00262	ftc:DA46_444
ko:K15738	ftc:DA46_1125
ko:K03305	ftc:DA46_1126
ko:K01886	ftc:DA46_1129
ko:K01610	ftc:DA46_1130
ko:K01000	ftc:DA46_1131
ko:K01925	ftc:DA46_1132
ko:K03588	ftc:DA46_1133
ko:K11179	ftc:DA46_1140
ko:K03599	ftc:DA46_1141
ko:K04774	ftc:DA46_1142
ko:K02341	ftc:DA46_1143
ko:K07574	ftc:DA46_1144
ko:K01698	ftc:DA46_1145
ko:K03216	ftc:DA46_1146
ko:K01424	ftc:DA46_1147
ko:K01887	ftc:DA46_1149
ko:K04744	ftc:DA46_1150
ko:K03771	ftc:DA46_1151
ko:K02528	ftc:DA46_1152
ko:K01525	ftc:DA46_1153
ko:K03786	ftc:DA46_1154
ko:K02160	ftc:DA46_1155
ko:K01961	ftc:DA46_1156
ko:K16052	ftc:DA46_1158
ko:K16052	ftc:DA46_1160
ko:K04568	ftc:DA46_1161
ko:K03524	ftc:DA46_1162
ko:K07462	ftc:DA46_1163
ko:K03548	ftc:DA46_1164
ko:K11073	ftc:DA46_1166
ko:K06949	ftc:DA46_1168
ko:K03644	ftc:DA46_1879
ko:K02217	ftc:DA46_1880
ko:K03305	ftc:DA46_1881
ko:K03305	ftc:DA46_1882
ko:K03675	ftc:DA46_1883
ko:K03616	ftc:DA46_1884
ko:K10773	ftc:DA46_1885
ko:K03723	ftc:DA46_1889
ko:K00053	ftc:DA46_1890
ko:K01653	ftc:DA46_1891
ko:K01652	ftc:DA46_1892
ko:K01652	ftc:DA46_1893
ko:K01687	ftc:DA46_1895
ko:K01687	ftc:DA46_1896
ko:K01733	ftc:DA46_1899
ko:K03978	ftc:DA46_1901
ko:K01104	ftc:DA46_1902
ko:K04087	ftc:DA46_1903
ko:K04088	ftc:DA46_1904
ko:K03665	ftc:DA46_1908
ko:K03666	ftc:DA46_1909
ko:K00791	ftc:DA46_1910
ko:K03770	ftc:DA46_1911
ko:K03530	ftc:DA46_1912
ko:K01338	ftc:DA46_1913
ko:K03544	ftc:DA46_1914
ko:K01358	ftc:DA46_1915
ko:K03545	ftc:DA46_1916
ko:K06168	ftc:DA46_1921
ko:K07042	ftc:DA46_1923
ko:K06189	ftc:DA46_1924
ko:K03820	ftc:DA46_1925
ko:K17836	ftc:DA46_1929
ko:K01173	ftc:DA46_1928
ko:K01262	ftc:DA46_1930
ko:K05810	ftc:DA46_1931
ko:K03526	ftc:DA46_1932
ko:K03594	ftc:DA46_64
ko:K03040	ftc:DA46_67
ko:K07478	ftc:DA46_68
ko:K01524	ftc:DA46_69
ko:K03671	ftc:DA46_71
ko:K03628	ftc:DA46_72
ko:K01840	ftc:DA46_73
ko:K00971	ftc:DA46_74
ko:K01710	ftc:DA46_77
ko:K00973	ftc:DA46_78
ko:K01953	ftc:DA46_83
ko:K02473	ftc:DA46_86
ko:K02474	ftc:DA46_87
ko:K01784	ftc:DA46_89
ko:K13012	ftc:DA46_90
ko:K03578	ftc:DA46_93
ko:K00031	ftc:DA46_95
ko:K00537	ftc:DA46_96
ko:K01897	ftc:DA46_97
ko:K07516	ftc:DA46_99
ko:K09794	ftc:DA46_103
ko:K09859	ftc:DA46_110
ko:K07337	ftc:DA46_113
ko:K02077	ftc:DA46_783
ko:K02074	ftc:DA46_784
ko:K02075	ftc:DA46_785
ko:K00760	ftc:DA46_788
ko:K01939	ftc:DA46_789
ko:K00602	ftc:DA46_790
ko:K02221	ftc:DA46_799
ko:K02050	ftc:DA46_800
ko:K02050	ftc:DA46_801
ko:K02238	ftc:DA46_804
ko:K02238	ftc:DA46_805
ko:K07566	ftc:DA46_808
ko:K02945	ftc:DA46_809
ko:K01921	ftc:DA46_811
ko:K03589	ftc:DA46_812
ko:K03590	ftc:DA46_813
ko:K03531	ftc:DA46_814
ko:K02535	ftc:DA46_815
ko:K02343	ftc:DA46_816
ko:K02836	ftc:DA46_817
ko:K04567	ftc:DA46_818
ko:K07052	ftc:DA46_820
ko:K01425	ftc:DA46_821
ko:K01915	ftc:DA46_822
ko:K02340	ftc:DA46_823
ko:K03098	ftc:DA46_824
ko:K01703	ftc:DA46_831
ko:K01704	ftc:DA46_832
ko:K00052	ftc:DA46_833
ko:K02205	ftc:DA46_1556
ko:K03574	ftc:DA46_1561
ko:K03574	ftc:DA46_1562
ko:K07735	ftc:DA46_1563
ko:K07447	ftc:DA46_1564
ko:K01869	ftc:DA46_1567
ko:K03643	ftc:DA46_1568
ko:K16053	ftc:DA46_1571
ko:K01494	ftc:DA46_1570
ko:K03593	ftc:DA46_1572
ko:K06131	ftc:DA46_1575
ko:K06131	ftc:DA46_1576
ko:K09823	ftc:DA46_1580
ko:K01890	ftc:DA46_1581
ko:K01889	ftc:DA46_1582
ko:K06911	ftc:DA46_1586
ko:K03686	ftc:DA46_1588
ko:K04043	ftc:DA46_1589
ko:K03687	ftc:DA46_1590
ko:K08304	ftc:DA46_1591
ko:K02871	ftc:DA46_1593
ko:K02996	ftc:DA46_1594
ko:K03599	ftc:DA46_1595
ko:K03600	ftc:DA46_1597
ko:K03470	ftc:DA46_1598
ko:K02533	ftc:DA46_1599
ko:K02806	ftc:DA46_1600
ko:K05808	ftc:DA46_1601
ko:K03650	ftc:DA46_1603
ko:K07160	ftc:DA46_561
ko:K01114	ftc:DA46_564
ko:K07220	ftc:DA46_565
ko:K03306	ftc:DA46_566
ko:K12262	ftc:DA46_568
ko:K00919	ftc:DA46_574
ko:K02494	ftc:DA46_575
ko:K02049	ftc:DA46_580
ko:K02050	ftc:DA46_581
ko:K06199	ftc:DA46_586
ko:K01749	ftc:DA46_587
ko:K06999	ftc:DA46_588
ko:K01147	ftc:DA46_589
ko:K04759	ftc:DA46_596
ko:K01006	ftc:DA46_598
ko:K00826	ftc:DA46_599
ko:K01649	ftc:DA46_600
ko:K01649	ftc:DA46_601
ko:K00122	ftc:DA46_604
ko:K03701	ftc:DA46_1279
ko:K03798	ftc:DA46_1284
ko:K03784	ftc:DA46_1289
ko:K03070	ftc:DA46_1291
ko:K01246	ftc:DA46_1292
ko:K01246	ftc:DA46_1294
ko:K00865	ftc:DA46_1293
ko:K00865	ftc:DA46_1295
ko:K02888	ftc:DA46_1296
ko:K02899	ftc:DA46_1297
ko:K09966	ftc:DA46_1299
ko:K03684	ftc:DA46_1300
ko:K03703	ftc:DA46_1301
ko:K06966	ftc:DA46_1306
ko:K00208	ftc:DA46_1307
ko:K09930	ftc:DA46_1312
ko:K09930	ftc:DA46_1313
ko:K09929	ftc:DA46_1315
ko:K06041	ftc:DA46_1317
ko:K01783	ftc:DA46_1318
ko:K01784	ftc:DA46_1320
ko:K12995	ftc:DA46_1321
ko:K07025	ftc:DA46_1329
ko:K13282	ftc:DA46_1331
ko:K01424	ftc:DA46_1332
ko:K01153	ftc:DA46_2044
ko:K06207	ftc:DA46_2047
ko:K00681	ftc:DA46_2049
ko:K04754	ftc:DA46_2050
ko:K09801	ftc:DA46_2052
ko:K03664	ftc:DA46_2054
ko:K14058	ftc:DA46_2055
ko:K03762	ftc:DA46_2058
ko:K03762	ftc:DA46_2059
ko:K03601	ftc:DA46_2061
ko:K01776	ftc:DA46_2071
ko:K03702	ftc:DA46_2073
ko:K01141	ftc:DA46_2074
ko:K03495	ftc:DA46_2079
ko:K01807	ftc:DA46_2082
ko:K07386	ftc:DA46_2084
ko:K01759	ftc:DA46_2087
ko:K09125	ftc:DA46_2088
ko:K07568	ftc:DA46_2090
ko:K03168	ftc:DA46_279
ko:K01414	ftc:DA46_285
ko:K07460	ftc:DA46_286
ko:K03977	ftc:DA46_290
ko:K00790	ftc:DA46_291
ko:K00075	ftc:DA46_292
ko:K02503	ftc:DA46_297
ko:K03688	ftc:DA46_298
ko:K03690	ftc:DA46_299
ko:K03183	ftc:DA46_300
ko:K00845	ftc:DA46_302
ko:K06190	ftc:DA46_303
ko:K01589	ftc:DA46_306
ko:K01588	ftc:DA46_308
ko:K11175	ftc:DA46_309
ko:K01933	ftc:DA46_311
ko:K01491	ftc:DA46_312
ko:K03631	ftc:DA46_317
ko:K00812	ftc:DA46_319
ko:K00121	ftc:DA46_320
ko:K00121	ftc:DA46_321
ko:K00121	ftc:DA46_322
ko:K04565	ftc:DA46_326
ko:K07305	ftc:DA46_327
ko:K01736	ftc:DA46_329
ko:K04485	ftc:DA46_332
ko:K08311	ftc:DA46_1005
ko:K03806	ftc:DA46_1007
ko:K02622	ftc:DA46_1008
ko:K17713	ftc:DA46_1010
ko:K02492	ftc:DA46_1012
ko:K02835	ftc:DA46_1013
ko:K02493	ftc:DA46_1015
ko:K00783	ftc:DA46_1014
ko:K09861	ftc:DA46_1018
ko:K04078	ftc:DA46_1023
ko:K04077	ftc:DA46_1024
ko:K01153	ftc:DA46_1027
ko:K01153	ftc:DA46_1028
ko:K03607	ftc:DA46_1030
ko:K03498	ftc:DA46_1032
ko:K03634	ftc:DA46_1035
ko:K03466	ftc:DA46_1036
ko:K11733	ftc:DA46_1038
ko:K07018	ftc:DA46_1039
ko:K02446	ftc:DA46_1040
ko:K11928	ftc:DA46_1041
ko:K02672	ftc:DA46_1051
ko:K07552	ftc:DA46_1056
ko:K07320	ftc:DA46_1057
ko:K01883	ftc:DA46_1058
ko:K02656	ftc:DA46_1772
ko:K06941	ftc:DA46_1773
ko:K02939	ftc:DA46_1775
ko:K02963	ftc:DA46_1776
ko:K02990	ftc:DA46_1777
ko:K00228	ftc:DA46_1779
ko:K00831	ftc:DA46_1783
ko:K00945	ftc:DA46_1784
ko:K04761	ftc:DA46_1787
ko:K00128	ftc:DA46_1792
ko:K07260	ftc:DA46_1798
ko:K02342	ftc:DA46_1799
ko:K06193	ftc:DA46_1803
ko:K03386	ftc:DA46_1806
ko:K06134	ftc:DA46_1814
ko:K00024	ftc:DA46_1816
ko:K03674	ftc:DA46_1818
ko:K06158	ftc:DA46_1819
ko:K02346	ftc:DA46_1822
ko:K00606	ftc:DA46_2
ko:K06997	ftc:DA46_675
ko:K03501	ftc:DA46_677
ko:K03834	ftc:DA46_679
ko:K01193	ftc:DA46_685
ko:K07560	ftc:DA46_688
ko:K04517	ftc:DA46_689
ko:K00254	ftc:DA46_691
ko:K01591	ftc:DA46_692
ko:K09941	ftc:DA46_701
ko:K01465	ftc:DA46_704
ko:K00569	ftc:DA46_705
ko:K01956	ftc:DA46_708
ko:K01955	ftc:DA46_709
ko:K00609	ftc:DA46_710
ko:K03837	ftc:DA46_714
ko:K01876	ftc:DA46_718
ko:K00135	ftc:DA46_721
ko:K00135	ftc:DA46_723
ko:K00135	ftc:DA46_725
ko:K13788	ftc:DA46_726
ko:K15342	ftc:DA46_1448
ko:K09951	ftc:DA46_1450
ko:K07464	ftc:DA46_1451
ko:K01937	ftc:DA46_1459
ko:K00940	ftc:DA46_1460
ko:K01963	ftc:DA46_1461
ko:K11754	ftc:DA46_1462
ko:K06925	ftc:DA46_1463
ko:K07126	ftc:DA46_1464
ko:K03980	ftc:DA46_1465
ko:K01919	ftc:DA46_1466
ko:K02909	ftc:DA46_1467
ko:K07007	ftc:DA46_1479
ko:K12297	ftc:DA46_1485
ko:K00604	ftc:DA46_1487
ko:K01920	ftc:DA46_1488
ko:K01845	ftc:DA46_1489
ko:K01207	ftc:DA46_1490
ko:K00019	ftc:DA46_1491
ko:K01574	ftc:DA46_1493
ko:K00845	ftc:DA46_1496
ko:K03524	ftc:DA46_1497
ko:K01935	ftc:DA46_1498
ko:K02169	ftc:DA46_1499
ko:K00652	ftc:DA46_1500
ko:K04079	ftc:DA46_447
ko:K02879	ftc:DA46_454
ko:K03040	ftc:DA46_455
ko:K02986	ftc:DA46_456
ko:K02948	ftc:DA46_457
ko:K02952	ftc:DA46_458
ko:K02919	ftc:DA46_459
ko:K03076	ftc:DA46_460
ko:K02876	ftc:DA46_461
ko:K02907	ftc:DA46_462
ko:K02988	ftc:DA46_463
ko:K02881	ftc:DA46_464
ko:K02933	ftc:DA46_465
ko:K02994	ftc:DA46_466
ko:K02954	ftc:DA46_467
ko:K02931	ftc:DA46_468
ko:K02895	ftc:DA46_469
ko:K02874	ftc:DA46_470
ko:K02961	ftc:DA46_471
ko:K02904	ftc:DA46_472
ko:K02878	ftc:DA46_473
ko:K02982	ftc:DA46_474
ko:K02890	ftc:DA46_475
ko:K02965	ftc:DA46_476
ko:K02886	ftc:DA46_477
ko:K02892	ftc:DA46_478
ko:K02926	ftc:DA46_479
ko:K02906	ftc:DA46_480
ko:K02946	ftc:DA46_481
ko:K02355	ftc:DA46_482
ko:K02992	ftc:DA46_483
ko:K02950	ftc:DA46_484
ko:K00995	ftc:DA46_485
ko:K00981	ftc:DA46_487
ko:K00806	ftc:DA46_488
ko:K02838	ftc:DA46_489
ko:K09903	ftc:DA46_490
ko:K02357	ftc:DA46_491
ko:K02967	ftc:DA46_492
ko:K01885	ftc:DA46_500
ko:K01679	ftc:DA46_501
ko:K03572	ftc:DA46_1172
ko:K00384	ftc:DA46_1178
ko:K01091	ftc:DA46_1181
ko:K06201	ftc:DA46_1184
ko:K01424	ftc:DA46_1188
ko:K03305	ftc:DA46_1189
ko:K03305	ftc:DA46_1191
ko:K01902	ftc:DA46_1195
ko:K01903	ftc:DA46_1196
ko:K05539	ftc:DA46_1200
ko:K02470	ftc:DA46_1202
ko:K06215	ftc:DA46_1203
ko:K08681	ftc:DA46_1204
ko:K10563	ftc:DA46_1207
ko:K03438	ftc:DA46_1209
ko:K03586	ftc:DA46_1210
ko:K03587	ftc:DA46_1211
ko:K02956	ftc:DA46_1212
ko:K00962	ftc:DA46_1213
ko:K15724	ftc:DA46_1214
ko:K01627	ftc:DA46_1215
ko:K00876	ftc:DA46_1216
ko:K03060	ftc:DA46_1217
ko:K03215	ftc:DA46_1220
ko:K03811	ftc:DA46_1222
ko:K01689	ftc:DA46_1224
ko:K07480	ftc:DA46_1941
ko:K00820	ftc:DA46_1943
ko:K06956	ftc:DA46_1944
ko:K01673	ftc:DA46_1951
ko:K01424	ftc:DA46_1952
ko:K03469	ftc:DA46_1953
ko:K00800	ftc:DA46_1955
ko:K03089	ftc:DA46_1956
ko:K03074	ftc:DA46_1958
ko:K03072	ftc:DA46_1959
ko:K03210	ftc:DA46_1960
ko:K00773	ftc:DA46_1965
ko:K08591	ftc:DA46_1969
ko:K02071	ftc:DA46_1970
ko:K01770	ftc:DA46_1976
ko:K03802	ftc:DA46_1978
ko:K01126	ftc:DA46_1979
ko:K02652	ftc:DA46_1981
ko:K02653	ftc:DA46_1982
ko:K09701	ftc:DA46_122
ko:K00574	ftc:DA46_124
ko:K12573	ftc:DA46_129
ko:K03177	ftc:DA46_130
ko:K03685	ftc:DA46_131
ko:K03100	ftc:DA46_132
ko:K00286	ftc:DA46_136
ko:K02428	ftc:DA46_137
ko:K02527	ftc:DA46_138
ko:K00795	ftc:DA46_139
ko:K01004	ftc:DA46_140
ko:K01207	ftc:DA46_143
ko:K00748	ftc:DA46_146
ko:K00677	ftc:DA46_147
