ko:K01139	kpb:FH42_16340
ko:K16137	kpb:FH42_08305
ko:K01241	kpb:FH42_08330
ko:K03566	kpb:FH42_08370
ko:K04763	kpb:FH42_12590
ko:K03840	kpb:FH42_12595
ko:K09159	kpb:FH42_12605
ko:K06980	kpb:FH42_12610
ko:K11068	kpb:FH42_12615
ko:K09900	kpb:FH42_12620
ko:K01223	kpb:FH42_12630
ko:K08344	kpb:FH42_12645
ko:K00281	kpb:FH42_12665
ko:K02437	kpb:FH42_12670
ko:K00605	kpb:FH42_12675
ko:K03185	kpb:FH42_12685
ko:K01262	kpb:FH42_12690
ko:K09895	kpb:FH42_12695
ko:K09888	kpb:FH42_12700
ko:K01934	kpb:FH42_12705
ko:K00058	kpb:FH42_12710
ko:K01807	kpb:FH42_12715
ko:K05596	kpb:FH42_12720
ko:K09807	kpb:FH42_12725
ko:K06895	kpb:FH42_12730
ko:K03442	kpb:FH42_12735
ko:K01624	kpb:FH42_12740
ko:K00927	kpb:FH42_12745
ko:K03472	kpb:FH42_12750
ko:K00615	kpb:FH42_12755
ko:K00813	kpb:FH42_00675
ko:K09476	kpb:FH42_00680
ko:K01893	kpb:FH42_00685
ko:K01751	kpb:FH42_00695
ko:K03837	kpb:FH42_00700
ko:K06016	kpb:FH42_00705
ko:K00763	kpb:FH42_00715
ko:K01256	kpb:FH42_00720
ko:K15555	kpb:FH42_00725
ko:K15554	kpb:FH42_00730
ko:K04091	kpb:FH42_00735
ko:K15553	kpb:FH42_00740
ko:K00299	kpb:FH42_00745
ko:K00254	kpb:FH42_00750
ko:K07140	kpb:FH42_00760
ko:K12297	kpb:FH42_00765
ko:K15738	kpb:FH42_00770
ko:K03808	kpb:FH42_00775
ko:K06192	kpb:FH42_00780
ko:K09857	kpb:FH42_00785
ko:K03812	kpb:FH42_00790
ko:K01716	kpb:FH42_00795
ko:K04770	kpb:FH42_00800
ko:K09911	kpb:FH42_00805
ko:K03286	kpb:FH42_00810
ko:K13053	kpb:FH42_00815
ko:K07343	kpb:FH42_00820
ko:K03658	kpb:FH42_00835
ko:K01734	kpb:FH42_00840
ko:K06929	kpb:FH42_00845
ko:K11940	kpb:FH42_00850
ko:K06969	kpb:FH42_00855
ko:K06910	kpb:FH42_00860
ko:K01512	kpb:FH42_00870
ko:K11179	kpb:FH42_00875
ko:K15580	kpb:FH42_00885
ko:K00135	kpb:FH42_00915
ko:K03451	kpb:FH42_00925
ko:K07246	kpb:FH42_00930
ko:K16135	kpb:FH42_00935
ko:K09471	kpb:FH42_00940
ko:K14056	kpb:FH42_00950
ko:K09473	kpb:FH42_00955
ko:K00374	kpb:FH42_05490
ko:K00675	kpb:FH42_05495
ko:K02011	kpb:FH42_05500
ko:K02012	kpb:FH42_05505
ko:K02010	kpb:FH42_05510
ko:K02855	kpb:FH42_05520
ko:K16077	kpb:FH42_05535
ko:K07726	kpb:FH42_05540
ko:K01821	kpb:FH42_05545
ko:K11208	kpb:FH42_05550
ko:K02030	kpb:FH42_05555
ko:K02028	kpb:FH42_05560
ko:K02029	kpb:FH42_05565
ko:K07387	kpb:FH42_12760
ko:K01652	kpb:FH42_12770
ko:K06989	kpb:FH42_12780
ko:K01480	kpb:FH42_12845
ko:K01585	kpb:FH42_12850
ko:K00789	kpb:FH42_12860
ko:K08137	kpb:FH42_12865
ko:K02742	kpb:FH42_12870
ko:K01150	kpb:FH42_12875
ko:K03753	kpb:FH42_17175
ko:K03752	kpb:FH42_17180
ko:K09896	kpb:FH42_17185
ko:K03673	kpb:FH42_17195
ko:K03978	kpb:FH42_17210
ko:K09894	kpb:FH42_17215
ko:K07712	kpb:FH42_17225
ko:K07708	kpb:FH42_17230
ko:K01915	kpb:FH42_17235
ko:K06207	kpb:FH42_17240
ko:K07058	kpb:FH42_17250
ko:K07560	kpb:FH42_17255
ko:K02380	kpb:FH42_17280
ko:K00127	kpb:FH42_17285
ko:K00124	kpb:FH42_17290
ko:K00123	kpb:FH42_17295
ko:K00123	kpb:FH42_17300
ko:K02379	kpb:FH42_17305
ko:K00850	kpb:FH42_17315
ko:K02822	kpb:FH42_17320
ko:K03475	kpb:FH42_17325
ko:K01624	kpb:FH42_17330
ko:K02821	kpb:FH42_17340
ko:K02529	kpb:FH42_17365
ko:K07407	kpb:FH42_17370
ko:K02532	kpb:FH42_17375
ko:K03534	kpb:FH42_17380
ko:K10561	kpb:FH42_17390
ko:K10560	kpb:FH42_17395
ko:K10562	kpb:FH42_17400
ko:K10559	kpb:FH42_17405
ko:K01629	kpb:FH42_17410
ko:K01813	kpb:FH42_17415
ko:K00848	kpb:FH42_17420
ko:K02855	kpb:FH42_17425
ko:K02854	kpb:FH42_17430
ko:K02856	kpb:FH42_17435
ko:K04564	kpb:FH42_17440
ko:K00990	kpb:FH42_21745
ko:K01265	kpb:FH42_21750
ko:K02967	kpb:FH42_21755
ko:K02357	kpb:FH42_21760
ko:K09903	kpb:FH42_21765
ko:K02838	kpb:FH42_21770
ko:K00099	kpb:FH42_21775
ko:K00806	kpb:FH42_21780
ko:K00981	kpb:FH42_21785
ko:K11749	kpb:FH42_21790
ko:K07277	kpb:FH42_21795
ko:K06142	kpb:FH42_21800
ko:K02536	kpb:FH42_21805
ko:K02372	kpb:FH42_21810
ko:K00677	kpb:FH42_21815
ko:K00748	kpb:FH42_21820
ko:K03470	kpb:FH42_21825
ko:K02337	kpb:FH42_21830
ko:K01962	kpb:FH42_21835
ko:K08234	kpb:FH42_21845
ko:K04075	kpb:FH42_21850
ko:K15034	kpb:FH42_21870
ko:K06079	kpb:FH42_21875
ko:K01881	kpb:FH42_21885
ko:K06080	kpb:FH42_21895
ko:K02073	kpb:FH42_21900
ko:K02072	kpb:FH42_21905
ko:K02071	kpb:FH42_21910
ko:K03273	kpb:FH42_21915
ko:K06222	kpb:FH42_21955
ko:K08307	kpb:FH42_21980
ko:K01069	kpb:FH42_21985
ko:K03469	kpb:FH42_21995
ko:K02342	kpb:FH42_22000
ko:K11249	kpb:FH42_22015
ko:K06445	kpb:FH42_22025
ko:K02030	kpb:FH42_05575
ko:K11738	kpb:FH42_05605
ko:K02014	kpb:FH42_05620
ko:K01250	kpb:FH42_05635
ko:K03823	kpb:FH42_05650
ko:K09936	kpb:FH42_05655
ko:K00137	kpb:FH42_05710
ko:K02053	kpb:FH42_05715
ko:K02054	kpb:FH42_05720
ko:K02052	kpb:FH42_05725
ko:K02055	kpb:FH42_05730
ko:K00425	kpb:FH42_05745
ko:K00426	kpb:FH42_05750
ko:K08303	kpb:FH42_05770
ko:K05782	kpb:FH42_05780
ko:K07506	kpb:FH42_05785
ko:K04024	kpb:FH42_10060
ko:K04021	kpb:FH42_10065
ko:K04027	kpb:FH42_10075
ko:K04020	kpb:FH42_10080
ko:K04032	kpb:FH42_10085
ko:K04030	kpb:FH42_10090
ko:K04029	kpb:FH42_10095
ko:K04031	kpb:FH42_10100
ko:K00029	kpb:FH42_10105
ko:K00616	kpb:FH42_10110
ko:K00615	kpb:FH42_10115
ko:K12945	kpb:FH42_10125
ko:K18324	kpb:FH42_10135
ko:K01439	kpb:FH42_10145
ko:K06999	kpb:FH42_10155
ko:K06957	kpb:FH42_10160
ko:K07054	kpb:FH42_10165
ko:K01923	kpb:FH42_10170
ko:K07287	kpb:FH42_10175
ko:K01714	kpb:FH42_10180
ko:K03567	kpb:FH42_10185
ko:K03564	kpb:FH42_10190
ko:K03548	kpb:FH42_10195
ko:K00537	kpb:FH42_10205
ko:K10763	kpb:FH42_10215
ko:K02824	kpb:FH42_10220
ko:K00761	kpb:FH42_10225
ko:K01223	kpb:FH42_10230
ko:K18673	kpb:FH42_10235
ko:K01933	kpb:FH42_10240
ko:K11175	kpb:FH42_10245
ko:K00937	kpb:FH42_10250
ko:K01524	kpb:FH42_10255
ko:K06871	kpb:FH42_10280
ko:K01951	kpb:FH42_10290
ko:K00088	kpb:FH42_10295
ko:K03601	kpb:FH42_10300
ko:K03977	kpb:FH42_10315
ko:K17713	kpb:FH42_10320
ko:K01892	kpb:FH42_10330
ko:K01961	kpb:FH42_14650
ko:K14392	kpb:FH42_14660
ko:K02687	kpb:FH42_14665
ko:K05540	kpb:FH42_14670
ko:K03557	kpb:FH42_14675
ko:K18140	kpb:FH42_14680
ko:K18141	kpb:FH42_14685
ko:K18142	kpb:FH42_14690
ko:K00014	kpb:FH42_14735
ko:K07566	kpb:FH42_14740
ko:K07479	kpb:FH42_14745
ko:K03747	kpb:FH42_14750
ko:K04096	kpb:FH42_14755
ko:K01462	kpb:FH42_14760
ko:K00604	kpb:FH42_14765
ko:K03500	kpb:FH42_14770
ko:K03499	kpb:FH42_14775
ko:K03282	kpb:FH42_14780
ko:K09890	kpb:FH42_14785
ko:K02879	kpb:FH42_14800
ko:K03040	kpb:FH42_14805
ko:K02986	kpb:FH42_14810
ko:K02948	kpb:FH42_14815
ko:K02952	kpb:FH42_14820
ko:K03076	kpb:FH42_14825
ko:K02876	kpb:FH42_14830
ko:K02907	kpb:FH42_14835
ko:K02988	kpb:FH42_14840
ko:K02881	kpb:FH42_14845
ko:K02933	kpb:FH42_14850
ko:K02994	kpb:FH42_14855
ko:K02954	kpb:FH42_14860
ko:K02931	kpb:FH42_14865
ko:K02895	kpb:FH42_14870
ko:K02874	kpb:FH42_14875
ko:K02961	kpb:FH42_14880
ko:K02904	kpb:FH42_14885
ko:K02878	kpb:FH42_14890
ko:K02982	kpb:FH42_14895
ko:K02890	kpb:FH42_14900
ko:K02965	kpb:FH42_14905
ko:K02886	kpb:FH42_14910
ko:K02892	kpb:FH42_14915
ko:K02926	kpb:FH42_14920
ko:K01613	kpb:FH42_19155
ko:K06949	kpb:FH42_19160
ko:K13288	kpb:FH42_19165
ko:K09996	kpb:FH42_19170
ko:K17758	kpb:FH42_19195
ko:K17759	kpb:FH42_19195
ko:K06925	kpb:FH42_19200
ko:K01448	kpb:FH42_19205
ko:K03572	kpb:FH42_19210
ko:K00791	kpb:FH42_19215
ko:K03666	kpb:FH42_19220
ko:K03665	kpb:FH42_19225
ko:K04088	kpb:FH42_19230
ko:K04087	kpb:FH42_19235
ko:K09937	kpb:FH42_19245
ko:K01939	kpb:FH42_19250
ko:K13771	kpb:FH42_19255
ko:K12573	kpb:FH42_19260
ko:K03218	kpb:FH42_19265
ko:K09456	kpb:FH42_19270
ko:K06889	kpb:FH42_19285
ko:K03477	kpb:FH42_19290
ko:K03476	kpb:FH42_19295
ko:K03475	kpb:FH42_19305
ko:K02822	kpb:FH42_19310
ko:K02821	kpb:FH42_19315
ko:K03078	kpb:FH42_19320
ko:K03079	kpb:FH42_19325
ko:K03077	kpb:FH42_19330
ko:K02990	kpb:FH42_19345
ko:K02686	kpb:FH42_19350
ko:K02963	kpb:FH42_19355
ko:K02939	kpb:FH42_19360
ko:K07269	kpb:FH42_19365
ko:K03773	kpb:FH42_19370
ko:K11737	kpb:FH42_19375
ko:K07322	kpb:FH42_19380
ko:K01119	kpb:FH42_19405
ko:K01082	kpb:FH42_19410
ko:K07109	kpb:FH42_19415
ko:K02099	kpb:FH42_19425
ko:K12308	kpb:FH42_19430
ko:K02532	kpb:FH42_19435
ko:K03184	kpb:FH42_24480
ko:K01953	kpb:FH42_24520
ko:K02566	kpb:FH42_24525
ko:K02565	kpb:FH42_24530
ko:K01443	kpb:FH42_24535
ko:K02564	kpb:FH42_24540
ko:K02802	kpb:FH42_24545
ko:K02803	kpb:FH42_24545
ko:K02804	kpb:FH42_24545
ko:K01886	kpb:FH42_24550
ko:K03711	kpb:FH42_24570
ko:K03839	kpb:FH42_24575
ko:K03645	kpb:FH42_24590
ko:K01835	kpb:FH42_24595
ko:K07667	kpb:FH42_24605
ko:K07646	kpb:FH42_24610
ko:K01548	kpb:FH42_24615
ko:K01547	kpb:FH42_24620
ko:K01546	kpb:FH42_24625
ko:K01669	kpb:FH42_24635
ko:K03305	kpb:FH42_24640
ko:K07160	kpb:FH42_24660
ko:K01304	kpb:FH42_24675
ko:K05522	kpb:FH42_24680
ko:K01647	kpb:FH42_24690
ko:K00241	kpb:FH42_24695
ko:K00242	kpb:FH42_24700
ko:K00239	kpb:FH42_24705
ko:K00240	kpb:FH42_24710
ko:K00164	kpb:FH42_24715
ko:K00658	kpb:FH42_24720
ko:K01903	kpb:FH42_24725
ko:K01902	kpb:FH42_24730
ko:K00425	kpb:FH42_24740
ko:K00426	kpb:FH42_24745
ko:K07107	kpb:FH42_24760
ko:K03562	kpb:FH42_24765
ko:K03560	kpb:FH42_24770
ko:K09470	kpb:FH42_00960
ko:K14052	kpb:FH42_00965
ko:K07124	kpb:FH42_00980
ko:K01085	kpb:FH42_00990
ko:K03809	kpb:FH42_01000
ko:K09016	kpb:FH42_01015
ko:K09024	kpb:FH42_01020
ko:K09019	kpb:FH42_01025
ko:K09023	kpb:FH42_01030
ko:K09021	kpb:FH42_01035
ko:K09020	kpb:FH42_01040
ko:K09018	kpb:FH42_01045
ko:K13821	kpb:FH42_01060
ko:K11928	kpb:FH42_01065
ko:K03317	kpb:FH42_01075
ko:K07243	kpb:FH42_01080
ko:K07224	kpb:FH42_01085
ko:K16301	kpb:FH42_01090
ko:K03673	kpb:FH42_01100
ko:K06911	kpb:FH42_01115
ko:K12972	kpb:FH42_01130
ko:K04477	kpb:FH42_01135
ko:K11941	kpb:FH42_01160
ko:K03670	kpb:FH42_01165
ko:K03669	kpb:FH42_01170
ko:K12147	kpb:FH42_01180
ko:K08161	kpb:FH42_01185
ko:K02517	kpb:FH42_01190
ko:K07146	kpb:FH42_01195
ko:K02846	kpb:FH42_01205
ko:K12148	kpb:FH42_01210
ko:K12149	kpb:FH42_01215
ko:K01465	kpb:FH42_01220
ko:K08162	kpb:FH42_01230
ko:K03790	kpb:FH42_01235
ko:K09915	kpb:FH42_01240
ko:K03810	kpb:FH42_01245
ko:K03980	kpb:FH42_01250
ko:K16868	kpb:FH42_05800
ko:K03304	kpb:FH42_05805
ko:K03817	kpb:FH42_05815
ko:K00055	kpb:FH42_05825
ko:K03929	kpb:FH42_05830
ko:K00449	kpb:FH42_05840
ko:K00448	kpb:FH42_05845
ko:K05358	kpb:FH42_05855
ko:K00121	kpb:FH42_05860
ko:K12262	kpb:FH42_05870
ko:K01488	kpb:FH42_05895
ko:K01223	kpb:FH42_05905
ko:K03617	kpb:FH42_05920
ko:K03616	kpb:FH42_05925
ko:K03615	kpb:FH42_05930
ko:K03614	kpb:FH42_05935
ko:K03612	kpb:FH42_05940
ko:K03613	kpb:FH42_05945
ko:K10773	kpb:FH42_05950
ko:K03305	kpb:FH42_05960
ko:K00799	kpb:FH42_05965
ko:K00868	kpb:FH42_05970
ko:K01866	kpb:FH42_05975
ko:K00275	kpb:FH42_05980
ko:K09001	kpb:FH42_05990
ko:K06077	kpb:FH42_05995
ko:K06075	kpb:FH42_06005
ko:K06938	kpb:FH42_06035
ko:K16137	kpb:FH42_06040
ko:K10680	kpb:FH42_06045
ko:K01759	kpb:FH42_06050
ko:K03683	kpb:FH42_06055
ko:K07390	kpb:FH42_06060
ko:K13631	kpb:FH42_06070
ko:K04564	kpb:FH42_06075
ko:K15539	kpb:FH42_10340
ko:K06941	kpb:FH42_10345
ko:K00940	kpb:FH42_10350
ko:K05367	kpb:FH42_10355
ko:K06894	kpb:FH42_10360
ko:K01011	kpb:FH42_10365
ko:K07751	kpb:FH42_10380
ko:K04755	kpb:FH42_10390
ko:K04044	kpb:FH42_10395
ko:K04082	kpb:FH42_10400
ko:K13628	kpb:FH42_10405
ko:K04488	kpb:FH42_10410
ko:K04487	kpb:FH42_10415
ko:K13643	kpb:FH42_10420
ko:K15396	kpb:FH42_10425
ko:K01092	kpb:FH42_10430
ko:K05820	kpb:FH42_10455
ko:K15977	kpb:FH42_10480
ko:K00600	kpb:FH42_10485
ko:K05916	kpb:FH42_10490
ko:K04751	kpb:FH42_10495
ko:K07715	kpb:FH42_10500
ko:K07711	kpb:FH42_10510
ko:K01952	kpb:FH42_10515
ko:K18691	kpb:FH42_10525
ko:K11991	kpb:FH42_10530
ko:K18697	kpb:FH42_10535
ko:K00997	kpb:FH42_10550
ko:K03474	kpb:FH42_10555
ko:K03584	kpb:FH42_10560
ko:K03685	kpb:FH42_10570
ko:K03100	kpb:FH42_10575
ko:K03596	kpb:FH42_10580
ko:K03803	kpb:FH42_10585
ko:K03598	kpb:FH42_10590
ko:K03597	kpb:FH42_10595
ko:K03088	kpb:FH42_10600
ko:K00278	kpb:FH42_10605
ko:K02906	kpb:FH42_14925
ko:K02946	kpb:FH42_14930
ko:K02506	kpb:FH42_14935
ko:K03594	kpb:FH42_14940
ko:K02192	kpb:FH42_14945
ko:K02358	kpb:FH42_14950
ko:K02355	kpb:FH42_14955
ko:K02992	kpb:FH42_14960
ko:K02950	kpb:FH42_14965
ko:K07237	kpb:FH42_14970
ko:K07236	kpb:FH42_14975
ko:K07235	kpb:FH42_14980
ko:K03772	kpb:FH42_14990
ko:K03745	kpb:FH42_14995
ko:K03775	kpb:FH42_15000
ko:K07070	kpb:FH42_15005
ko:K11747	kpb:FH42_15010
ko:K06158	kpb:FH42_15020
ko:K07019	kpb:FH42_15025
ko:K09898	kpb:FH42_15030
ko:K00855	kpb:FH42_15035
ko:K07397	kpb:FH42_15040
ko:K10914	kpb:FH42_15045
ko:K01664	kpb:FH42_15060
ko:K04095	kpb:FH42_15065
ko:K03767	kpb:FH42_15075
ko:K06141	kpb:FH42_15080
ko:K01485	kpb:FH42_15085
ko:K00362	kpb:FH42_15090
ko:K00363	kpb:FH42_15095
ko:K02302	kpb:FH42_15100
ko:K01867	kpb:FH42_15105
ko:K01091	kpb:FH42_15110
ko:K01783	kpb:FH42_15115
ko:K03112	kpb:FH42_15125
ko:K01735	kpb:FH42_15130
ko:K00891	kpb:FH42_15135
ko:K02507	kpb:FH42_15140
ko:K12290	kpb:FH42_15145
ko:K12289	kpb:FH42_15150
ko:K12288	kpb:FH42_15155
ko:K05366	kpb:FH42_15160
ko:K08312	kpb:FH42_15165
ko:K04762	kpb:FH42_15180
ko:K04083	kpb:FH42_15185
ko:K01610	kpb:FH42_15190
ko:K07638	kpb:FH42_15195
ko:K07659	kpb:FH42_15200
ko:K07304	kpb:FH42_19445
ko:K07278	kpb:FH42_19450
ko:K09800	kpb:FH42_19455
ko:K01507	kpb:FH42_19470
ko:K02058	kpb:FH42_19475
ko:K02056	kpb:FH42_19480
ko:K02057	kpb:FH42_19485
ko:K02057	kpb:FH42_19490
ko:K03841	kpb:FH42_19495
ko:K02558	kpb:FH42_19500
ko:K09889	kpb:FH42_19515
ko:K03592	kpb:FH42_19520
ko:K15536	kpb:FH42_19525
ko:K01465	kpb:FH42_19560
ko:K01042	kpb:FH42_19565
ko:K02760	kpb:FH42_19615
ko:K01222	kpb:FH42_19620
ko:K02761	kpb:FH42_19625
ko:K01226	kpb:FH42_19630
ko:K02818	kpb:FH42_19635
ko:K02819	kpb:FH42_19635
ko:K03485	kpb:FH42_19640
ko:K01531	kpb:FH42_19645
ko:K09022	kpb:FH42_19650
ko:K00610	kpb:FH42_19655
ko:K00609	kpb:FH42_19660
ko:K03710	kpb:FH42_19690
ko:K00611	kpb:FH42_19695
ko:K09893	kpb:FH42_19700
ko:K06169	kpb:FH42_19705
ko:K03828	kpb:FH42_19710
ko:K01873	kpb:FH42_19715
ko:K02339	kpb:FH42_19720
ko:K01255	kpb:FH42_19725
ko:K02042	kpb:FH42_22335
ko:K02042	kpb:FH42_22340
ko:K02044	kpb:FH42_22345
ko:K02041	kpb:FH42_22350
ko:K02029	kpb:FH42_22385
ko:K02029	kpb:FH42_22390
ko:K02028	kpb:FH42_22395
ko:K02030	kpb:FH42_22400
ko:K01996	kpb:FH42_22410
ko:K01995	kpb:FH42_22415
ko:K01998	kpb:FH42_22420
ko:K01997	kpb:FH42_22425
ko:K01999	kpb:FH42_22430
ko:K03736	kpb:FH42_22435
ko:K03735	kpb:FH42_22440
ko:K03641	kpb:FH42_24780
ko:K03640	kpb:FH42_24785
ko:K03517	kpb:FH42_24830
ko:K03811	kpb:FH42_24835
ko:K16264	kpb:FH42_24840
ko:K01626	kpb:FH42_24850
ko:K01834	kpb:FH42_24855
ko:K01785	kpb:FH42_24860
ko:K00849	kpb:FH42_24865
ko:K00965	kpb:FH42_24870
ko:K01784	kpb:FH42_24875
ko:K05776	kpb:FH42_24880
ko:K02019	kpb:FH42_24885
ko:K02020	kpb:FH42_24895
ko:K02018	kpb:FH42_24900
ko:K02017	kpb:FH42_24905
ko:K07404	kpb:FH42_24920
ko:K01051	kpb:FH42_24975
ko:K01468	kpb:FH42_24980
ko:K01479	kpb:FH42_24985
ko:K05836	kpb:FH42_24990
ko:K01712	kpb:FH42_24995
ko:K01745	kpb:FH42_25000
ko:K16234	kpb:FH42_25005
ko:K06910	kpb:FH42_25010
ko:K00833	kpb:FH42_25015
ko:K01012	kpb:FH42_25020
ko:K00652	kpb:FH42_25025
ko:K02169	kpb:FH42_25030
ko:K01935	kpb:FH42_25035
ko:K03702	kpb:FH42_25050
ko:K13934	kpb:FH42_03690
ko:K13936	kpb:FH42_03695
