ko:K02028	spym:M1GAS476_1300
ko:K02313	spym:M1GAS476_0001
ko:K02338	spym:M1GAS476_0002
ko:K06942	spym:M1GAS476_0004
ko:K01056	spym:M1GAS476_0005
ko:K03723	spym:M1GAS476_0007
ko:K04075	spym:M1GAS476_0010
ko:K00760	spym:M1GAS476_0011
ko:K03798	spym:M1GAS476_0012
ko:K00948	spym:M1GAS476_0038
ko:K03621	spym:M1GAS476_0041
ko:K01923	spym:M1GAS476_0043
ko:K01952	spym:M1GAS476_0044
ko:K00764	spym:M1GAS476_0045
ko:K01933	spym:M1GAS476_0047
ko:K11175	spym:M1GAS476_0048
ko:K00602	spym:M1GAS476_0049
ko:K01945	spym:M1GAS476_0051
ko:K01588	spym:M1GAS476_0052
ko:K01589	spym:M1GAS476_0053
ko:K01756	spym:M1GAS476_0056
ko:K03551	spym:M1GAS476_0058
ko:K01939	spym:M1GAS476_0175
ko:K07335	spym:M1GAS476_0176
ko:K02601	spym:M1GAS476_0177
ko:K01869	spym:M1GAS476_0187
ko:K02000	spym:M1GAS476_0196
ko:K06929	spym:M1GAS476_0199
ko:K00767	spym:M1GAS476_0209
ko:K00773	spym:M1GAS476_0213
ko:K03523	spym:M1GAS476_0214
ko:K11991	spym:M1GAS476_0216
ko:K01810	spym:M1GAS476_0221
ko:K02946	spym:M1GAS476_0067
ko:K02906	spym:M1GAS476_0068
ko:K02926	spym:M1GAS476_0069
ko:K02892	spym:M1GAS476_0070
ko:K02886	spym:M1GAS476_0071
ko:K02965	spym:M1GAS476_0072
ko:K02890	spym:M1GAS476_0073
ko:K02982	spym:M1GAS476_0074
ko:K02878	spym:M1GAS476_0075
ko:K02874	spym:M1GAS476_0078
ko:K02895	spym:M1GAS476_0079
ko:K02931	spym:M1GAS476_0080
ko:K02994	spym:M1GAS476_0082
ko:K02933	spym:M1GAS476_0083
ko:K02881	spym:M1GAS476_0084
ko:K02988	spym:M1GAS476_0085
ko:K02876	spym:M1GAS476_0087
ko:K03076	spym:M1GAS476_0088
ko:K02952	spym:M1GAS476_0091
ko:K02948	spym:M1GAS476_0092
ko:K03040	spym:M1GAS476_0093
ko:K02879	spym:M1GAS476_0094
ko:K09817	spym:M1GAS476_0114
ko:K09816	spym:M1GAS476_0115
ko:K01866	spym:M1GAS476_0117
ko:K02034	spym:M1GAS476_0230
ko:K07478	spym:M1GAS476_0239
ko:K02687	spym:M1GAS476_0243
ko:K09761	spym:M1GAS476_0244
ko:K07560	spym:M1GAS476_0251
ko:K03210	spym:M1GAS476_0258
ko:K00806	spym:M1GAS476_0259
ko:K00981	spym:M1GAS476_0260
ko:K11749	spym:M1GAS476_0261
ko:K03763	spym:M1GAS476_0264
ko:K01462	spym:M1GAS476_0267
ko:K00962	spym:M1GAS476_0277
ko:K00640	spym:M1GAS476_0279
ko:K01883	spym:M1GAS476_0281
ko:K00761	spym:M1GAS476_0395
ko:K01358	spym:M1GAS476_0396
ko:K00943	spym:M1GAS476_0398
ko:K02341	spym:M1GAS476_0399
ko:K07056	spym:M1GAS476_0402
ko:K01142	spym:M1GAS476_0406
ko:K01874	spym:M1GAS476_0411
ko:K02445	spym:M1GAS476_0425
ko:K04042	spym:M1GAS476_0426
ko:K03466	spym:M1GAS476_0436
ko:K02867	spym:M1GAS476_0438
ko:K02863	spym:M1GAS476_0439
ko:K09903	spym:M1GAS476_0440
ko:K02838	spym:M1GAS476_0441
ko:K00243	spym:M1GAS476_0442
ko:K01595	spym:M1GAS476_0559
ko:K03588	spym:M1GAS476_0560
ko:K02358	spym:M1GAS476_0561
ko:K01803	spym:M1GAS476_0562
ko:K06885	spym:M1GAS476_0567
ko:K02747	spym:M1GAS476_0573
ko:K02746	spym:M1GAS476_0574
ko:K00874	spym:M1GAS476_0580
ko:K01625	spym:M1GAS476_0581
ko:K02836	spym:M1GAS476_0584
ko:K09812	spym:M1GAS476_0585
ko:K09811	spym:M1GAS476_0586
ko:K01893	spym:M1GAS476_0592
ko:K06958	spym:M1GAS476_0593
ko:K08659	spym:M1GAS476_0596
ko:K03710	spym:M1GAS476_0598
ko:K02082	spym:M1GAS476_0599
ko:K02884	spym:M1GAS476_0605
ko:K02470	spym:M1GAS476_0609
ko:K03043	spym:M1GAS476_0119
ko:K03046	spym:M1GAS476_0120
ko:K00925	spym:M1GAS476_0131
ko:K00286	spym:M1GAS476_0133
ko:K06878	spym:M1GAS476_0137
ko:K04083	spym:M1GAS476_0141
ko:K03100	spym:M1GAS476_0144
ko:K08600	spym:M1GAS476_0146
ko:K11145	spym:M1GAS476_0282
ko:K03218	spym:M1GAS476_0284
ko:K06962	spym:M1GAS476_0285
ko:K02871	spym:M1GAS476_0289
ko:K02996	spym:M1GAS476_0290
ko:K02787	spym:M1GAS476_0300
ko:K02788	spym:M1GAS476_0300
ko:K02003	spym:M1GAS476_0305
ko:K03427	spym:M1GAS476_0311
ko:K01154	spym:M1GAS476_0312
ko:K01153	spym:M1GAS476_0313
ko:K00865	spym:M1GAS476_0314
ko:K07015	spym:M1GAS476_0324
ko:K07574	spym:M1GAS476_0326
ko:K00969	spym:M1GAS476_0327
ko:K09710	spym:M1GAS476_0329
ko:K02073	spym:M1GAS476_0334
ko:K02071	spym:M1GAS476_0335
ko:K02072	spym:M1GAS476_0336
ko:K07042	spym:M1GAS476_0449
ko:K03595	spym:M1GAS476_0451
ko:K00859	spym:M1GAS476_0465
ko:K06915	spym:M1GAS476_0466
ko:K03664	spym:M1GAS476_0471
ko:K01304	spym:M1GAS476_0473
ko:K02529	spym:M1GAS476_0480
ko:K01868	spym:M1GAS476_0483
ko:K03685	spym:M1GAS476_0495
ko:K00014	spym:M1GAS476_0500
ko:K01689	spym:M1GAS476_0612
ko:K01972	spym:M1GAS476_0631
ko:K02108	spym:M1GAS476_0634
ko:K02109	spym:M1GAS476_0635
ko:K02113	spym:M1GAS476_0636
ko:K02111	spym:M1GAS476_0637
ko:K02115	spym:M1GAS476_0638
ko:K02112	spym:M1GAS476_0639
ko:K02114	spym:M1GAS476_0640
ko:K00790	spym:M1GAS476_0641
ko:K01889	spym:M1GAS476_0644
ko:K01890	spym:M1GAS476_0645
ko:K02003	spym:M1GAS476_0649
ko:K03282	spym:M1GAS476_0656
ko:K03086	spym:M1GAS476_0658
ko:K00067	spym:M1GAS476_0660
ko:K02622	spym:M1GAS476_0774
ko:K02621	spym:M1GAS476_0775
ko:K00826	spym:M1GAS476_0776
ko:K02945	spym:M1GAS476_0780
ko:K07146	spym:M1GAS476_0783
ko:K00791	spym:M1GAS476_0787
ko:K03665	spym:M1GAS476_0788
ko:K07124	spym:M1GAS476_0791
ko:K07462	spym:M1GAS476_0792
ko:K00759	spym:M1GAS476_0793
ko:K10773	spym:M1GAS476_0795
ko:K06967	spym:M1GAS476_0796
ko:K00973	spym:M1GAS476_0799
ko:K01790	spym:M1GAS476_0800
ko:K06158	spym:M1GAS476_0813
ko:K00161	spym:M1GAS476_0814
ko:K00627	spym:M1GAS476_0817
ko:K00382	spym:M1GAS476_0818
ko:K03800	spym:M1GAS476_0820
ko:K01928	spym:M1GAS476_0822
ko:K03431	spym:M1GAS476_0825
ko:K11068	spym:M1GAS476_0937
ko:K14540	spym:M1GAS476_0939
ko:K03470	spym:M1GAS476_0940
ko:K04096	spym:M1GAS476_0941
ko:K03778	spym:M1GAS476_0946
ko:K04094	spym:M1GAS476_0949
ko:K03300	spym:M1GAS476_0956
ko:K01646	spym:M1GAS476_0960
ko:K01643	spym:M1GAS476_0963
ko:K05964	spym:M1GAS476_0964
ko:K01910	spym:M1GAS476_0966
ko:K03106	spym:M1GAS476_0970
ko:K03710	spym:M1GAS476_0972
ko:K01951	spym:M1GAS476_0974
ko:K00868	spym:M1GAS476_0978
ko:K03800	spym:M1GAS476_0986
ko:K03311	spym:M1GAS476_0337
ko:K07862	spym:M1GAS476_0338
ko:K03501	spym:M1GAS476_0342
ko:K03744	spym:M1GAS476_0343
ko:K03799	spym:M1GAS476_0344
ko:K07040	spym:M1GAS476_0345
ko:K07738	spym:M1GAS476_0348
ko:K03977	spym:M1GAS476_0351
ko:K01924	spym:M1GAS476_0356
ko:K07082	spym:M1GAS476_0358
ko:K03624	spym:M1GAS476_0359
ko:K03217	spym:M1GAS476_0360
ko:K01512	spym:M1GAS476_0361
ko:K03437	spym:M1GAS476_0364
ko:K06950	spym:M1GAS476_0365
ko:K06890	spym:M1GAS476_0366
ko:K01776	spym:M1GAS476_0368
ko:K07095	spym:M1GAS476_0370
ko:K05896	spym:M1GAS476_0373
ko:K06024	spym:M1GAS476_0374
ko:K06178	spym:M1GAS476_0375
ko:K03216	spym:M1GAS476_0379
ko:K07139	spym:M1GAS476_0382
ko:K04069	spym:M1GAS476_0385
ko:K02015	spym:M1GAS476_0388
ko:K02015	spym:M1GAS476_0389
ko:K02016	spym:M1GAS476_0390
ko:K02013	spym:M1GAS476_0391
ko:K00789	spym:M1GAS476_0504
ko:K00012	spym:M1GAS476_0508
ko:K01893	spym:M1GAS476_0522
ko:K03110	spym:M1GAS476_0531
ko:K01223	spym:M1GAS476_0535
ko:K06959	spym:M1GAS476_0540
ko:K13292	spym:M1GAS476_0543
ko:K08303	spym:M1GAS476_0548
ko:K04567	spym:M1GAS476_0550
ko:K00432	spym:M1GAS476_0557
ko:K00945	spym:M1GAS476_0675
ko:K02520	spym:M1GAS476_0676
ko:K02887	spym:M1GAS476_0678
ko:K06969	spym:M1GAS476_0680
ko:K03785	spym:M1GAS476_0681
ko:K01736	spym:M1GAS476_0682
ko:K04487	spym:M1GAS476_0689
ko:K03151	spym:M1GAS476_0690
ko:K07282	spym:M1GAS476_0691
ko:K02899	spym:M1GAS476_0694
ko:K03101	spym:M1GAS476_0696
ko:K06180	spym:M1GAS476_0697
ko:K02825	spym:M1GAS476_0698
ko:K00609	spym:M1GAS476_0700
ko:K01956	spym:M1GAS476_0701
ko:K02003	spym:M1GAS476_0705
ko:K07006	spym:M1GAS476_0712
ko:K02860	spym:M1GAS476_0715
ko:K00554	spym:M1GAS476_0716
ko:K03596	spym:M1GAS476_0835
ko:K02012	spym:M1GAS476_0846
ko:K06940	spym:M1GAS476_0847
ko:K03703	spym:M1GAS476_0851
ko:K03650	spym:M1GAS476_0854
ko:K02864	spym:M1GAS476_0855
ko:K02935	spym:M1GAS476_0856
ko:K01495	spym:M1GAS476_0877
ko:K00796	spym:M1GAS476_0878
ko:K01633	spym:M1GAS476_0879
ko:K00950	spym:M1GAS476_0880
ko:K00075	spym:M1GAS476_0881
ko:K02057	spym:M1GAS476_0997
ko:K02057	spym:M1GAS476_0998
ko:K07335	spym:M1GAS476_1000
ko:K01256	spym:M1GAS476_1007
ko:K02039	spym:M1GAS476_1008
ko:K02036	spym:M1GAS476_1009
ko:K02036	spym:M1GAS476_1010
ko:K02037	spym:M1GAS476_1012
ko:K02040	spym:M1GAS476_1013
ko:K11753	spym:M1GAS476_1018
ko:K02003	spym:M1GAS476_1024
ko:K03657	spym:M1GAS476_1033
ko:K03310	spym:M1GAS476_1034
ko:K00688	spym:M1GAS476_1114
ko:K00705	spym:M1GAS476_1115
ko:K02529	spym:M1GAS476_1116
ko:K15771	spym:M1GAS476_1118
ko:K15772	spym:M1GAS476_1119
ko:K15772	spym:M1GAS476_1122
ko:K15771	spym:M1GAS476_1123
ko:K03740	spym:M1GAS476_1129
ko:K03739	spym:M1GAS476_1131
ko:K03367	spym:M1GAS476_1132
ko:K03702	spym:M1GAS476_1134
ko:K02761	spym:M1GAS476_1138
ko:K02759	spym:M1GAS476_1140
ko:K02760	spym:M1GAS476_1141
ko:K01223	spym:M1GAS476_1144
ko:K08177	spym:M1GAS476_1198
ko:K08602	spym:M1GAS476_1199
ko:K07568	spym:M1GAS476_1203
ko:K04564	spym:M1GAS476_1208
ko:K02340	spym:M1GAS476_1209
ko:K02237	spym:M1GAS476_1211
ko:K00655	spym:M1GAS476_1212
ko:K03549	spym:M1GAS476_1215
ko:K05592	spym:M1GAS476_1216
ko:K02837	spym:M1GAS476_1217
ko:K01929	spym:M1GAS476_1219
ko:K01921	spym:M1GAS476_1220
ko:K06187	spym:M1GAS476_1221
ko:K00077	spym:M1GAS476_0719
ko:K02768	spym:M1GAS476_0722
ko:K02769	spym:M1GAS476_0722
ko:K02770	spym:M1GAS476_0722
ko:K15738	spym:M1GAS476_0733
ko:K01462	spym:M1GAS476_0736
ko:K03544	spym:M1GAS476_0751
ko:K01807	spym:M1GAS476_0756
ko:K01839	spym:M1GAS476_0757
ko:K01591	spym:M1GAS476_0765
ko:K00762	spym:M1GAS476_0766
ko:K03648	spym:M1GAS476_0770
ko:K08591	spym:M1GAS476_0773
ko:K03788	spym:M1GAS476_0892
ko:K03630	spym:M1GAS476_0898
ko:K01926	spym:M1GAS476_0901
ko:K04487	spym:M1GAS476_0903
ko:K00948	spym:M1GAS476_0904
ko:K00858	spym:M1GAS476_0907
ko:K06180	spym:M1GAS476_0908
ko:K05847	spym:M1GAS476_0912
ko:K00364	spym:M1GAS476_0914
ko:K03816	spym:M1GAS476_0915
ko:K16169	spym:M1GAS476_0916
ko:K03734	spym:M1GAS476_0917
ko:K02835	spym:M1GAS476_0920
ko:K02493	spym:M1GAS476_0921
ko:K07566	spym:M1GAS476_0922
ko:K00600	spym:M1GAS476_0924
ko:K02469	spym:M1GAS476_0932
ko:K02029	spym:M1GAS476_1039
ko:K06193	spym:M1GAS476_1040
ko:K00820	spym:M1GAS476_1041
ko:K03100	spym:M1GAS476_1042
ko:K00873	spym:M1GAS476_1043
ko:K00850	spym:M1GAS476_1044
ko:K02337	spym:M1GAS476_1045
ko:K03215	spym:M1GAS476_1157
ko:K00800	spym:M1GAS476_1161
ko:K07058	spym:M1GAS476_1162
ko:K01265	spym:M1GAS476_1163
ko:K00790	spym:M1GAS476_1169
ko:K00789	spym:M1GAS476_1170
ko:K03524	spym:M1GAS476_1172
ko:K02343	spym:M1GAS476_1173
ko:K00876	spym:M1GAS476_1176
ko:K01872	spym:M1GAS476_1194
ko:K03631	spym:M1GAS476_1291
ko:K03402	spym:M1GAS476_1292
ko:K06442	spym:M1GAS476_1293
ko:K13789	spym:M1GAS476_1294
ko:K03601	spym:M1GAS476_1296
ko:K01491	spym:M1GAS476_1297
ko:K01669	spym:M1GAS476_1299
ko:K01870	spym:M1GAS476_1306
ko:K04074	spym:M1GAS476_1307
ko:K09772	spym:M1GAS476_1310
ko:K06997	spym:M1GAS476_1311
ko:K03531	spym:M1GAS476_1312
ko:K02563	spym:M1GAS476_1318
ko:K01925	spym:M1GAS476_1319
ko:K06207	spym:M1GAS476_1321
ko:K04047	spym:M1GAS476_1325
ko:K06941	spym:M1GAS476_1326
ko:K02529	spym:M1GAS476_1328
ko:K00954	spym:M1GAS476_1331
ko:K01914	spym:M1GAS476_1333
ko:K00926	spym:M1GAS476_1334
ko:K00611	spym:M1GAS476_1337
ko:K03402	spym:M1GAS476_1342
ko:K07718	spym:M1GAS476_1345
ko:K12267	spym:M1GAS476_1347
ko:K15342	spym:M1GAS476_1351
ko:K01873	spym:M1GAS476_1359
ko:K00014	spym:M1GAS476_1370
ko:K07718	spym:M1GAS476_1373
ko:K03565	spym:M1GAS476_1387
ko:K01738	spym:M1GAS476_1405
ko:K11070	spym:M1GAS476_0885
ko:K08316	spym:M1GAS476_1332
ko:K14232	spym:M1GAS476_0027
ko:K14234	spym:M1GAS476_0023
ko:K14234	spym:M1GAS476_1391
ko:K14237	spym:M1GAS476_0019
ko:K14237	spym:M1GAS476_0099
ko:K14237	spym:M1GAS476_1395
ko:K14228	spym:M1GAS476_0110
ko:K03574	spym:M1GAS476_1304
ko:K14218	spym:M1GAS476_0016
ko:K14218	spym:M1GAS476_1398
ko:K14218	spym:M1GAS476_0316
ko:K14218	spym:M1GAS476_1702
ko:K14218	spym:M1GAS476_0096
ko:K01980	spym:M1GAS476_0017
ko:K01980	spym:M1GAS476_1397
ko:K01980	spym:M1GAS476_0317
ko:K01980	spym:M1GAS476_0097
ko:K01980	spym:M1GAS476_1701
ko:K01985	spym:M1GAS476_0018
ko:K01985	spym:M1GAS476_0098
ko:K01985	spym:M1GAS476_0318
ko:K01985	spym:M1GAS476_1700
ko:K01985	spym:M1GAS476_1396
ko:K14225	spym:M1GAS476_0024
ko:K02029	spym:M1GAS476_1301
ko:K02029	spym:M1GAS476_1135
ko:K02030	spym:M1GAS476_1135
ko:K01990	spym:M1GAS476_0664
ko:K17319	spym:M1GAS476_1378
ko:K17318	spym:M1GAS476_1376
ko:K14228	spym:M1GAS476_0025
ko:K01992	spym:M1GAS476_0487
ko:K01992	spym:M1GAS476_0663
ko:K01992	spym:M1GAS476_1450
ko:K01992	spym:M1GAS476_1549
ko:K01992	spym:M1GAS476_1595
ko:K01977	spym:M1GAS476_0015
ko:K01977	spym:M1GAS476_0315
ko:K01977	spym:M1GAS476_1399
ko:K01977	spym:M1GAS476_1703
ko:K01977	spym:M1GAS476_0095
ko:K01990	spym:M1GAS476_1550
ko:K01990	spym:M1GAS476_1451
ko:K14988	spym:M1GAS476_0308
ko:K14235	spym:M1GAS476_0107
ko:K14226	spym:M1GAS476_0108
ko:K14229	spym:M1GAS476_0238
ko:K14219	spym:M1GAS476_0606
ko:K14219	spym:M1GAS476_0781
ko:K14234	spym:M1GAS476_1364
ko:K14233	spym:M1GAS476_1546
ko:K14228	spym:M1GAS476_1687
ko:K01897	spym:M1GAS476_0490
ko:K02028	spym:M1GAS476_1136
ko:K00951	spym:M1GAS476_0250
ko:K01598	spym:M1GAS476_0994
ko:K02028	spym:M1GAS476_1440
ko:K02028	spym:M1GAS476_1038
ko:K17320	spym:M1GAS476_1377
ko:K14224	spym:M1GAS476_0102
ko:K14224	spym:M1GAS476_1915
ko:K14224	spym:M1GAS476_1389
ko:K14220	spym:M1GAS476_0319
ko:K14220	spym:M1GAS476_1699
ko:K14220	spym:M1GAS476_1914
ko:K14223	spym:M1GAS476_0109
ko:K14223	spym:M1GAS476_0779
ko:K14233	spym:M1GAS476_0036
ko:K14227	spym:M1GAS476_0035
ko:K14227	spym:M1GAS476_0101
ko:K14227	spym:M1GAS476_1390
ko:K14225	spym:M1GAS476_0034
ko:K14225	spym:M1GAS476_0100
ko:K14231	spym:M1GAS476_0033
ko:K14231	spym:M1GAS476_0105
ko:K14233	spym:M1GAS476_0031
ko:K14233	spym:M1GAS476_0103
ko:K14230	spym:M1GAS476_0029
ko:K14228	spym:M1GAS476_0022
ko:K14228	spym:M1GAS476_1392
ko:K14229	spym:M1GAS476_0021
ko:K14229	spym:M1GAS476_1393
ko:K14221	spym:M1GAS476_0020
ko:K14221	spym:M1GAS476_1394
ko:K14222	spym:M1GAS476_1815
ko:K14219	spym:M1GAS476_1918
ko:K14230	spym:M1GAS476_0030
ko:K14230	spym:M1GAS476_0032
ko:K14230	spym:M1GAS476_0104
ko:K14236	spym:M1GAS476_0106
ko:K14236	spym:M1GAS476_0778
ko:K01537	spym:M1GAS476_0569
ko:K03584	spym:M1GAS476_0039
ko:K04072	spym:M1GAS476_0062
ko:K02106	spym:M1GAS476_0153
ko:K11754	spym:M1GAS476_0687
ko:K01955	spym:M1GAS476_0702
ko:K01126	spym:M1GAS476_0707
ko:K16264	spym:M1GAS476_0713
ko:K00162	spym:M1GAS476_0815
ko:K06131	spym:M1GAS476_0983
ko:K01938	spym:M1GAS476_0985
ko:K02038	spym:M1GAS476_1011
ko:K03979	spym:M1GAS476_1148
ko:K01534	spym:M1GAS476_122
ko:K01735	spym:M1GAS476_1366
ko:K07742	spym:M1GAS476_149
ko:K16786	spym:M1GAS476_159
ko:K16787	spym:M1GAS476_159
ko:K16785	spym:M1GAS476_1945
ko:K03701	spym:M1GAS476_1628
ko:K03581	spym:M1GAS476_1644
ko:K00656	spym:M1GAS476_1792
ko:K00012	spym:M1GAS476_1902
ko:K03590	spym:M1GAS476_1314
ko:K03589	spym:M1GAS476_1315
ko:K05808	spym:M1GAS476_1401
ko:K03687	spym:M1GAS476_1579
ko:K02346	spym:M1GAS476_1648
ko:K01881	spym:M1GAS476_0263
ko:K09014	spym:M1GAS476_171
ko:K09760	spym:M1GAS476_173
ko:K01246	spym:M1GAS476_1850
ko:K12573	spym:M1GAS476_0469
ko:K03529	spym:M1GAS476_0496
ko:K07089	spym:M1GAS476_0538
ko:K16898	spym:M1GAS476_0652
ko:K03978	spym:M1GAS476_1935
ko:K01465	spym:M1GAS476_0771
ko:K03168	spym:M1GAS476_0942
ko:K01644	spym:M1GAS476_0962
ko:K02030	spym:M1GAS476_0654
ko:K11754	spym:M1GAS476_0875
ko:K07010	spym:M1GAS476_0900
ko:K00891	spym:M1GAS476_1160
ko:K01035	spym:M1GAS476_0159
ko:K01992	spym:M1GAS476_0486
ko:K01992	spym:M1GAS476_0627
ko:K01992	spym:M1GAS476_0628
ko:K15035	spym:M1GAS476_1051
ko:K01190	spym:M1GAS476_1371
ko:K01035	spym:M1GAS476_1424
ko:K03697	spym:M1GAS476_1303
ko:K00845	spym:M1GAS476_1323
ko:K02236	spym:M1GAS476_1941
ko:K07177	spym:M1GAS476_1330
ko:K01478	spym:M1GAS476_1339
ko:K02242	spym:M1GAS476_1402
ko:K02240	spym:M1GAS476_1403
ko:K07570	spym:M1GAS476_1406
ko:K03768	spym:M1GAS476_1407
ko:K11618	spym:M1GAS476_1408
ko:K11617	spym:M1GAS476_1409
ko:K00626	spym:M1GAS476_1422
ko:K03700	spym:M1GAS476_1432
ko:K01372	spym:M1GAS476_1434
ko:K01916	spym:M1GAS476_1435
ko:K12556	spym:M1GAS476_1444
ko:K02793	spym:M1GAS476_1558
