ko:K03602	ftd:AS84_1349
ko:K03106	ftd:AS84_1697
ko:K01626	ftd:AS84_1698
ko:K03923	ftd:AS84_1700
ko:K06987	ftd:AS84_1701
ko:K01142	ftd:AS84_1702
ko:K00383	ftd:AS84_1706
ko:K03305	ftd:AS84_1709
ko:K11927	ftd:AS84_1708
ko:K01495	ftd:AS84_1710
ko:K01658	ftd:AS84_1717
ko:K03342	ftd:AS84_1718
ko:K00031	ftd:AS84_1071
ko:K03578	ftd:AS84_1073
ko:K13012	ftd:AS84_1075
ko:K01784	ftd:AS84_1076
ko:K17716	ftd:AS84_1078
ko:K19068	ftd:AS84_1079
ko:K01791	ftd:AS84_1080
ko:K00973	ftd:AS84_1089
ko:K01710	ftd:AS84_1091
ko:K00971	ftd:AS84_1092
ko:K01840	ftd:AS84_1093
ko:K03628	ftd:AS84_1094
ko:K03671	ftd:AS84_1095
ko:K01524	ftd:AS84_1096
ko:K07478	ftd:AS84_1097
ko:K03040	ftd:AS84_1098
ko:K03594	ftd:AS84_1101
ko:K03424	ftd:AS84_1103
ko:K11312	ftd:AS84_1104
ko:K11312	ftd:AS84_1105
ko:K01990	ftd:AS84_1106
ko:K01992	ftd:AS84_1107
ko:K00858	ftd:AS84_1110
ko:K03439	ftd:AS84_1111
ko:K07090	ftd:AS84_1122
ko:K07394	ftd:AS84_1121
ko:K09160	ftd:AS84_1123
ko:K01669	ftd:AS84_1398
ko:K01772	ftd:AS84_1399
ko:K02653	ftd:AS84_1403
ko:K02652	ftd:AS84_1404
ko:K01126	ftd:AS84_1406
ko:K03802	ftd:AS84_1407
ko:K01770	ftd:AS84_1410
ko:K02071	ftd:AS84_1414
ko:K08591	ftd:AS84_1415
ko:K00773	ftd:AS84_1420
ko:K03210	ftd:AS84_1425
ko:K03072	ftd:AS84_1426
ko:K03074	ftd:AS84_1427
ko:K03089	ftd:AS84_1429
ko:K00800	ftd:AS84_1430
ko:K03469	ftd:AS84_1432
ko:K01424	ftd:AS84_1433
ko:K01673	ftd:AS84_1434
ko:K07481	ftd:AS84_1435
ko:K06956	ftd:AS84_1441
ko:K00820	ftd:AS84_1442
ko:K09474	ftd:AS84_1445
ko:K03526	ftd:AS84_1446
ko:K05810	ftd:AS84_1447
ko:K01262	ftd:AS84_1448
ko:K01173	ftd:AS84_1450
ko:K17836	ftd:AS84_1449
ko:K07390	ftd:AS84_847
ko:K04564	ftd:AS84_848
ko:K08218	ftd:AS84_849
ko:K01647	ftd:AS84_850
ko:K00241	ftd:AS84_851
ko:K00242	ftd:AS84_852
ko:K00239	ftd:AS84_853
ko:K00240	ftd:AS84_854
ko:K00164	ftd:AS84_855
ko:K00658	ftd:AS84_856
ko:K00759	ftd:AS84_857
ko:K03431	ftd:AS84_858
ko:K01803	ftd:AS84_859
ko:K03075	ftd:AS84_860
ko:K07223	ftd:AS84_866
ko:K01681	ftd:AS84_867
ko:K02669	ftd:AS84_868
ko:K06955	ftd:AS84_869
ko:K07481	ftd:AS84_870
ko:K00426	ftd:AS84_874
ko:K00425	ftd:AS84_875
ko:K07071	ftd:AS84_877
ko:K07645	ftd:AS84_876
ko:K18138	ftd:AS84_883
ko:K03585	ftd:AS84_884
ko:K03611	ftd:AS84_885
ko:K00974	ftd:AS84_886
ko:K11085	ftd:AS84_887
ko:K00912	ftd:AS84_888
ko:K03525	ftd:AS84_890
ko:K01839	ftd:AS84_891
ko:K01619	ftd:AS84_892
ko:K03317	ftd:AS84_893
ko:K11535	ftd:AS84_894
ko:K00943	ftd:AS84_895
ko:K02837	ftd:AS84_896
ko:K03110	ftd:AS84_898
ko:K03657	ftd:AS84_899
ko:K07481	ftd:AS84_901
ko:K15580	ftd:AS84_902
ko:K01633	ftd:AS84_1720
ko:K13941	ftd:AS84_1721
ko:K00833	ftd:AS84_1724
ko:K01012	ftd:AS84_1725
ko:K00652	ftd:AS84_1726
ko:K02169	ftd:AS84_1727
ko:K01935	ftd:AS84_1729
ko:K03524	ftd:AS84_1728
ko:K00845	ftd:AS84_1730
ko:K01574	ftd:AS84_1732
ko:K00019	ftd:AS84_1733
ko:K01207	ftd:AS84_1734
ko:K01845	ftd:AS84_1735
ko:K01920	ftd:AS84_1736
ko:K00604	ftd:AS84_1737
ko:K12297	ftd:AS84_1739
ko:K03554	ftd:AS84_1747
ko:K07146	ftd:AS84_1748
ko:K00243	ftd:AS84_1749
ko:K03656	ftd:AS84_1750
ko:K06980	ftd:AS84_1751
ko:K07481	ftd:AS84_1752
ko:K00616	ftd:AS84_1757
ko:K01255	ftd:AS84_1758
ko:K01872	ftd:AS84_1760
ko:K09710	ftd:AS84_1765
ko:K18979	ftd:AS84_1766
ko:K12267	ftd:AS84_1769
ko:K03437	ftd:AS84_1774
ko:K03625	ftd:AS84_1127
ko:K14287	ftd:AS84_1130
ko:K01881	ftd:AS84_1133
ko:K02426	ftd:AS84_1136
ko:K01719	ftd:AS84_1137
ko:K01069	ftd:AS84_1140
ko:K04758	ftd:AS84_1142
ko:K03583	ftd:AS84_1151
ko:K03582	ftd:AS84_1155
ko:K03581	ftd:AS84_1156
ko:K07481	ftd:AS84_1157
ko:K03525	ftd:AS84_1158
ko:K01579	ftd:AS84_1159
ko:K01918	ftd:AS84_1160
ko:K00606	ftd:AS84_1161
ko:K01972	ftd:AS84_1163
ko:K03500	ftd:AS84_1165
ko:K01092	ftd:AS84_1167
ko:K06141	ftd:AS84_1169
ko:K09458	ftd:AS84_1172
ko:K02078	ftd:AS84_1173
ko:K00059	ftd:AS84_1174
ko:K00645	ftd:AS84_1175
ko:K00648	ftd:AS84_1176
ko:K03621	ftd:AS84_1177
ko:K06925	ftd:AS84_433
ko:K02933	ftd:AS84_455
ko:K02904	ftd:AS84_462
ko:K07481	ftd:AS84_1454
ko:K03820	ftd:AS84_1455
ko:K06189	ftd:AS84_1456
ko:K07042	ftd:AS84_1457
ko:K06168	ftd:AS84_1459
ko:K03545	ftd:AS84_1464
ko:K01358	ftd:AS84_1465
ko:K03544	ftd:AS84_1466
ko:K01338	ftd:AS84_1467
ko:K03530	ftd:AS84_1468
ko:K03770	ftd:AS84_1469
ko:K00791	ftd:AS84_1470
ko:K03666	ftd:AS84_1471
ko:K03665	ftd:AS84_1472
ko:K04088	ftd:AS84_1474
ko:K04087	ftd:AS84_1475
ko:K01104	ftd:AS84_1476
ko:K03978	ftd:AS84_1477
ko:K01733	ftd:AS84_1478
ko:K01687	ftd:AS84_1479
ko:K01652	ftd:AS84_1480
ko:K01653	ftd:AS84_1481
ko:K00053	ftd:AS84_1482
ko:K07481	ftd:AS84_1484
ko:K03723	ftd:AS84_1485
ko:K10773	ftd:AS84_1489
ko:K03616	ftd:AS84_1490
ko:K03675	ftd:AS84_1491
ko:K03305	ftd:AS84_1492
ko:K02217	ftd:AS84_1493
ko:K03644	ftd:AS84_1494
ko:K01159	ftd:AS84_1497
ko:K03550	ftd:AS84_1499
ko:K09760	ftd:AS84_1500
ko:K09903	ftd:AS84_480
ko:K01304	ftd:AS84_499
ko:K03924	ftd:AS84_506
ko:K01939	ftd:AS84_535
ko:K00602	ftd:AS84_536
ko:K02340	ftd:AS84_540
ko:K02535	ftd:AS84_549
ko:K00925	ftd:AS84_589
ko:K00794	ftd:AS84_603
ko:K07305	ftd:AS84_296
ko:K00989	ftd:AS84_314
ko:K03641	ftd:AS84_335
ko:K04096	ftd:AS84_345
ko:K07323	ftd:AS84_366
ko:K00568	ftd:AS84_380
ko:K02357	ftd:AS84_481
ko:K01885	ftd:AS84_489
ko:K01915	ftd:AS84_541
ko:K04567	ftd:AS84_546
ko:K03531	ftd:AS84_550
ko:K02945	ftd:AS84_555
ko:K06999	ftd:AS84_580
ko:K03111	ftd:AS84_590
ko:K01462	ftd:AS84_604
ko:K06997	ftd:AS84_613
ko:K07023	ftd:AS84_260
ko:K01588	ftd:AS84_276
ko:K03631	ftd:AS84_288
ko:K03453	ftd:AS84_326
ko:K03646	ftd:AS84_336
ko:K01676	ftd:AS84_354
ko:K07122	ftd:AS84_367
ko:K01154	ftd:AS84_422
ko:K02909	ftd:AS84_429
ko:K02946	ftd:AS84_471
ko:K02967	ftd:AS84_482
ko:K00868	ftd:AS84_508
ko:K00425	ftd:AS84_519
ko:K00760	ftd:AS84_534
ko:K02050	ftd:AS84_562
ko:K01414	ftd:AS84_273
ko:K03181	ftd:AS84_315
ko:K03560	ftd:AS84_337
ko:K09758	ftd:AS84_347
ko:K07481	ftd:AS84_355
ko:K02878	ftd:AS84_463
ko:K07058	ftd:AS84_526
ko:K03098	ftd:AS84_539
ko:K01425	ftd:AS84_542
ko:K07052	ftd:AS84_543
ko:K03590	ftd:AS84_551
ko:K07566	ftd:AS84_556
ko:K00919	ftd:AS84_568
ko:K03565	ftd:AS84_591
ko:K00027	ftd:AS84_254
ko:K03168	ftd:AS84_265
ko:K07460	ftd:AS84_275
ko:K11175	ftd:AS84_277
ko:K03744	ftd:AS84_310
ko:K03179	ftd:AS84_316
ko:K07481	ftd:AS84_319
ko:K03562	ftd:AS84_338
ko:K03655	ftd:AS84_356
ko:K02446	ftd:AS84_406
ko:K11754	ftd:AS84_434
ko:K04079	ftd:AS84_443
ko:K02536	ftd:AS84_510
ko:K03809	ftd:AS84_527
ko:K02221	ftd:AS84_563
ko:K02494	ftd:AS84_569
ko:K02050	ftd:AS84_574
ko:K01147	ftd:AS84_581
ko:K00566	ftd:AS84_606
ko:K01465	ftd:AS84_673
ko:K00569	ftd:AS84_674
ko:K00812	ftd:AS84_290
ko:K01736	ftd:AS84_298
ko:K00057	ftd:AS84_303
ko:K07481	ftd:AS84_322
ko:K07552	ftd:AS84_390
ko:K03427	ftd:AS84_424
ko:K02879	ftd:AS84_444
ko:K02982	ftd:AS84_464
ko:K02355	ftd:AS84_472
ko:K01679	ftd:AS84_490
ko:K00426	ftd:AS84_520
ko:K02836	ftd:AS84_547
ko:K03596	ftd:AS84_607
ko:K01956	ftd:AS84_676
ko:K11175	ftd:AS84_278
ko:K03799	ftd:AS84_311
ko:K06901	ftd:AS84_348
ko:K02902	ftd:AS84_358
ko:K07320	ftd:AS84_391
ko:K03498	ftd:AS84_414
ko:K01963	ftd:AS84_435
ko:K03040	ftd:AS84_445
ko:K02994	ftd:AS84_456
ko:K02890	ftd:AS84_465
ko:K01873	ftd:AS84_496
ko:K06077	ftd:AS84_528
ko:K02343	ftd:AS84_548
ko:K03589	ftd:AS84_552
ko:K02968	ftd:AS84_608
ko:K01704	ftd:AS84_655
ko:K00052	ftd:AS84_656
ko:K01193	ftd:AS84_657
ko:K07560	ftd:AS84_659
ko:K11753	ftd:AS84_255
ko:K00121	ftd:AS84_291
ko:K01736	ftd:AS84_299
ko:K01883	ftd:AS84_392
ko:K07018	ftd:AS84_407
ko:K00940	ftd:AS84_436
ko:K03076	ftd:AS84_450
ko:K02954	ftd:AS84_457
ko:K02992	ftd:AS84_473
ko:K02300	ftd:AS84_512
ko:K01921	ftd:AS84_553
ko:K02238	ftd:AS84_559
ko:K06186	ftd:AS84_609
ko:K00254	ftd:AS84_661
ko:K01591	ftd:AS84_662
ko:K01870	ftd:AS84_256
ko:K02913	ftd:AS84_359
ko:K01919	ftd:AS84_430
ko:K01937	ftd:AS84_437
ko:K02986	ftd:AS84_446
ko:K02931	ftd:AS84_458
ko:K02965	ftd:AS84_466
ko:K02950	ftd:AS84_474
ko:K02299	ftd:AS84_513
ko:K03071	ftd:AS84_593
ko:K03834	ftd:AS84_617
ko:K17103	ftd:AS84_340
ko:K00537	ftd:AS84_351
ko:K11733	ftd:AS84_408
ko:K03607	ftd:AS84_416
ko:K02948	ftd:AS84_447
ko:K07114	ftd:AS84_501
ko:K02298	ftd:AS84_514
ko:K02049	ftd:AS84_573
ko:K06199	ftd:AS84_578
ko:K01876	ftd:AS84_585
ko:K01011	ftd:AS84_594
ko:K03316	ftd:AS84_599
ko:K03501	ftd:AS84_615
ko:K12262	ftd:AS84_621
ko:K03497	ftd:AS84_263
ko:K01933	ftd:AS84_280
ko:K06876	ftd:AS84_328
ko:K06208	ftd:AS84_341
ko:K03610	ftd:AS84_360
ko:K07481	ftd:AS84_386
ko:K11928	ftd:AS84_404
ko:K03980	ftd:AS84_431
ko:K02876	ftd:AS84_451
ko:K02886	ftd:AS84_467
ko:K00995	ftd:AS84_475
ko:K07114	ftd:AS84_502
ko:K01749	ftd:AS84_579
ko:K11752	ftd:AS84_600
ko:K03306	ftd:AS84_622
ko:K01114	ftd:AS84_624
ko:K07160	ftd:AS84_626
ko:K07015	ftd:AS84_633
ko:K03101	ftd:AS84_258
ko:K07461	ftd:AS84_281
ko:K01669	ftd:AS84_329
ko:K03574	ftd:AS84_352
ko:K03609	ftd:AS84_361
ko:K02672	ftd:AS84_395
ko:K07481	ftd:AS84_405
ko:K02907	ftd:AS84_452
ko:K02895	ftd:AS84_459
ko:K02892	ftd:AS84_468
ko:K02297	ftd:AS84_515
ko:K01713	ftd:AS84_522
ko:K00135	ftd:AS84_587
ko:K00793	ftd:AS84_601
ko:K07220	ftd:AS84_623
ko:K03762	ftd:AS84_628
ko:K07056	ftd:AS84_635
ko:K00014	ftd:AS84_637
ko:K04485	ftd:AS84_302
ko:K03527	ftd:AS84_342
ko:K03608	ftd:AS84_362
ko:K03466	ftd:AS84_410
ko:K07126	ftd:AS84_432
ko:K02874	ftd:AS84_460
ko:K07114	ftd:AS84_503
ko:K02077	ftd:AS84_530
ko:K13788	ftd:AS84_588
ko:K04773	ftd:AS84_596
ko:K14652	ftd:AS84_602
ko:K03536	ftd:AS84_640
ko:K02517	ftd:AS84_643
ko:K00075	ftd:AS84_249
ko:K01589	ftd:AS84_274
ko:K01534	ftd:AS84_307
ko:K02065	ftd:AS84_363
ko:K03634	ftd:AS84_411
ko:K01153	ftd:AS84_418
ko:K02952	ftd:AS84_448
ko:K02926	ftd:AS84_469
ko:K00981	ftd:AS84_477
ko:K10679	ftd:AS84_492
ko:K02339	ftd:AS84_497
ko:K02074	ftd:AS84_531
ko:K01924	ftd:AS84_636
ko:K02914	ftd:AS84_639
ko:K03217	ftd:AS84_641
ko:K13288	ftd:AS84_646
ko:K01006	ftd:AS84_651
ko:K00790	ftd:AS84_250
ko:K03496	ftd:AS84_264
ko:K14441	ftd:AS84_332
ko:K02919	ftd:AS84_449
ko:K02988	ftd:AS84_453
ko:K02906	ftd:AS84_470
ko:K00806	ftd:AS84_478
ko:K00101	ftd:AS84_494
ko:K02075	ftd:AS84_532
ko:K02517	ftd:AS84_642
ko:K02655	ftd:AS84_644
ko:K00826	ftd:AS84_652
ko:K03977	ftd:AS84_251
ko:K03640	ftd:AS84_333
ko:K03774	ftd:AS84_343
ko:K02066	ftd:AS84_364
ko:K01775	ftd:AS84_388
ko:K02881	ftd:AS84_454
ko:K02961	ftd:AS84_461
ko:K02838	ftd:AS84_479
ko:K04066	ftd:AS84_524
ko:K02356	ftd:AS84_645
ko:K04759	ftd:AS84_648
ko:K07481	ftd:AS84_650
ko:K15581	ftd:AS84_903
ko:K15582	ftd:AS84_904
ko:K15583	ftd:AS84_905
ko:K10823	ftd:AS84_906
ko:K00864	ftd:AS84_910
ko:K00111	ftd:AS84_911
ko:K02440	ftd:AS84_913
ko:K03442	ftd:AS84_915
ko:K02358	ftd:AS84_921
ko:K03073	ftd:AS84_923
ko:K02601	ftd:AS84_924
ko:K02867	ftd:AS84_925
ko:K02863	ftd:AS84_926
ko:K02864	ftd:AS84_927
ko:K02935	ftd:AS84_928
ko:K03043	ftd:AS84_929
ko:K03046	ftd:AS84_930
ko:K01409	ftd:AS84_932
ko:K00789	ftd:AS84_934
ko:K02959	ftd:AS84_935
ko:K02860	ftd:AS84_936
ko:K00554	ftd:AS84_938
ko:K02884	ftd:AS84_939
ko:K04763	ftd:AS84_940
ko:K08311	ftd:AS84_945
ko:K03806	ftd:AS84_947
ko:K02622	ftd:AS84_948
ko:K17713	ftd:AS84_950
ko:K02492	ftd:AS84_952
ko:K02835	ftd:AS84_953
ko:K02493	ftd:AS84_955
ko:K00783	ftd:AS84_954
ko:K09861	ftd:AS84_956
