ko:K00020	cpsf:CPTC_00383
ko:K11991	cpsf:CPTC_00533
ko:K04517	cpsf:CPTC_00535
ko:K08681	cpsf:CPTC_00536
ko:K06215	cpsf:CPTC_00537
ko:K00375	cpsf:CPTC_00538
ko:K04561	cpsf:CPTC_00540
ko:K06996	cpsf:CPTC_00541
ko:K02803	cpsf:CPTC_00543
ko:K02804	cpsf:CPTC_00543
ko:K03480	cpsf:CPTC_00544
ko:K14445	cpsf:CPTC_00545
ko:K00817	cpsf:CPTC_00546
ko:K11707	cpsf:CPTC_00552
ko:K11709	cpsf:CPTC_00553
ko:K11708	cpsf:CPTC_00554
ko:K11710	cpsf:CPTC_00555
ko:K11707	cpsf:CPTC_00556
ko:K16649	cpsf:CPTC_00558
ko:K00014	cpsf:CPTC_01346
ko:K03929	cpsf:CPTC_01347
ko:K03307	cpsf:CPTC_01352
ko:K00965	cpsf:CPTC_01354
ko:K00849	cpsf:CPTC_01355
ko:K05592	cpsf:CPTC_01356
ko:K04750	cpsf:CPTC_01358
ko:K11928	cpsf:CPTC_01362
ko:K00782	cpsf:CPTC_01373
ko:K03303	cpsf:CPTC_01376
ko:K01887	cpsf:CPTC_01377
ko:K01586	cpsf:CPTC_01378
ko:K00003	cpsf:CPTC_01379
ko:K00872	cpsf:CPTC_01380
ko:K00666	cpsf:CPTC_01382
ko:K03628	cpsf:CPTC_01383
ko:K02835	cpsf:CPTC_01384
ko:K02493	cpsf:CPTC_01385
ko:K02851	cpsf:CPTC_01387
ko:K02108	cpsf:CPTC_01390
ko:K02110	cpsf:CPTC_01391
ko:K02109	cpsf:CPTC_01392
ko:K02113	cpsf:CPTC_01393
ko:K02111	cpsf:CPTC_01394
ko:K02115	cpsf:CPTC_01395
ko:K02112	cpsf:CPTC_01396
ko:K02114	cpsf:CPTC_01397
ko:K07503	cpsf:CPTC_01398
ko:K00820	cpsf:CPTC_02098
ko:K01129	cpsf:CPTC_02101
ko:K01880	cpsf:CPTC_02107
ko:K03711	cpsf:CPTC_02109
ko:K00806	cpsf:CPTC_02111
ko:K03584	cpsf:CPTC_02112
ko:K00868	cpsf:CPTC_02114
ko:K07042	cpsf:CPTC_02116
ko:K09761	cpsf:CPTC_02118
ko:K03686	cpsf:CPTC_02119
ko:K03705	cpsf:CPTC_02120
ko:K01897	cpsf:CPTC_02125
ko:K00705	cpsf:CPTC_02126
ko:K01284	cpsf:CPTC_02129
ko:K01823	cpsf:CPTC_02131
ko:K01823	cpsf:CPTC_02132
ko:K06147	cpsf:CPTC_02137
ko:K06147	cpsf:CPTC_02138
ko:K03311	cpsf:CPTC_02139
ko:K02077	cpsf:CPTC_00209
ko:K02073	cpsf:CPTC_00213
ko:K02073	cpsf:CPTC_00215
ko:K02071	cpsf:CPTC_00216
ko:K02072	cpsf:CPTC_00217
ko:K01951	cpsf:CPTC_00225
ko:K00088	cpsf:CPTC_00228
ko:K00088	cpsf:CPTC_00229
ko:K03088	cpsf:CPTC_00233
ko:K04077	cpsf:CPTC_00234
ko:K04078	cpsf:CPTC_00235
ko:K01409	cpsf:CPTC_00236
ko:K03789	cpsf:CPTC_00237
ko:K07085	cpsf:CPTC_00240
ko:K06925	cpsf:CPTC_00241
ko:K01775	cpsf:CPTC_00242
ko:K03431	cpsf:CPTC_00248
ko:K02996	cpsf:CPTC_00249
ko:K02871	cpsf:CPTC_00250
ko:K03466	cpsf:CPTC_00254
ko:K14743	cpsf:CPTC_00256
ko:K06173	cpsf:CPTC_00260
ko:K03696	cpsf:CPTC_01046
ko:K03575	cpsf:CPTC_01049
ko:K01673	cpsf:CPTC_01050
ko:K04485	cpsf:CPTC_01052
ko:K07736	cpsf:CPTC_01057
ko:K00991	cpsf:CPTC_01058
ko:K01770	cpsf:CPTC_01059
ko:K01883	cpsf:CPTC_01060
ko:K03218	cpsf:CPTC_01061
ko:K01087	cpsf:CPTC_01063
ko:K00697	cpsf:CPTC_01065
ko:K00156	cpsf:CPTC_01069
ko:K08167	cpsf:CPTC_01074
ko:K08167	cpsf:CPTC_01075
ko:K02484	cpsf:CPTC_01077
ko:K01945	cpsf:CPTC_01080
ko:K03499	cpsf:CPTC_01082
ko:K01756	cpsf:CPTC_01083
ko:K01923	cpsf:CPTC_01084
ko:K01354	cpsf:CPTC_01086
ko:K00432	cpsf:CPTC_01087
ko:K01952	cpsf:CPTC_01088
ko:K01952	cpsf:CPTC_01089
ko:K01952	cpsf:CPTC_01090
ko:K11068	cpsf:CPTC_01091
ko:K03647	cpsf:CPTC_01093
ko:K03578	cpsf:CPTC_01797
ko:K07738	cpsf:CPTC_01798
ko:K01356	cpsf:CPTC_01800
ko:K03436	cpsf:CPTC_01801
ko:K08483	cpsf:CPTC_01802
ko:K03436	cpsf:CPTC_01803
ko:K00882	cpsf:CPTC_01804
ko:K02768	cpsf:CPTC_01805
ko:K02769	cpsf:CPTC_01805
ko:K02770	cpsf:CPTC_01805
ko:K11189	cpsf:CPTC_01806
ko:K00299	cpsf:CPTC_01808
ko:K03665	cpsf:CPTC_01810
ko:K01778	cpsf:CPTC_01813
ko:K00791	cpsf:CPTC_01814
ko:K06168	cpsf:CPTC_01821
ko:K03565	cpsf:CPTC_01822
ko:K03523	cpsf:CPTC_01825
ko:K16784	cpsf:CPTC_01826
ko:K03743	cpsf:CPTC_01830
ko:K00995	cpsf:CPTC_01831
ko:K09780	cpsf:CPTC_01832
ko:K05794	cpsf:CPTC_01833
ko:K03466	cpsf:CPTC_01834
ko:K12574	cpsf:CPTC_01836
ko:K01714	cpsf:CPTC_01837
ko:K00215	cpsf:CPTC_01840
ko:K00962	cpsf:CPTC_01841
ko:K02956	cpsf:CPTC_01842
ko:K11753	cpsf:CPTC_01844
ko:K16653	cpsf:CPTC_00564
ko:K16652	cpsf:CPTC_00565
ko:K13686	cpsf:CPTC_00566
ko:K11387	cpsf:CPTC_00567
ko:K05845	cpsf:CPTC_00568
ko:K07386	cpsf:CPTC_00571
ko:K02440	cpsf:CPTC_00573
ko:K00864	cpsf:CPTC_00574
ko:K06996	cpsf:CPTC_00578
ko:K01246	cpsf:CPTC_00582
ko:K03919	cpsf:CPTC_00583
ko:K03579	cpsf:CPTC_00584
ko:K03475	cpsf:CPTC_00585
ko:K07090	cpsf:CPTC_00587
ko:K07120	cpsf:CPTC_00589
ko:K06966	cpsf:CPTC_00594
ko:K01858	cpsf:CPTC_00602
ko:K01241	cpsf:CPTC_00605
ko:K01012	cpsf:CPTC_00609
ko:K05847	cpsf:CPTC_00612
ko:K05846	cpsf:CPTC_00613
ko:K05846	cpsf:CPTC_00614
ko:K05606	cpsf:CPTC_01400
ko:K05838	cpsf:CPTC_01402
ko:K00700	cpsf:CPTC_01403
ko:K16147	cpsf:CPTC_01404
ko:K02013	cpsf:CPTC_01405
ko:K03521	cpsf:CPTC_01408
ko:K03522	cpsf:CPTC_01409
ko:K04487	cpsf:CPTC_01410
ko:K00566	cpsf:CPTC_01413
ko:K02342	cpsf:CPTC_01415
ko:K01972	cpsf:CPTC_01416
ko:K02435	cpsf:CPTC_01419
ko:K02433	cpsf:CPTC_01420
ko:K02015	cpsf:CPTC_01425
ko:K02015	cpsf:CPTC_01426
ko:K02013	cpsf:CPTC_01427
ko:K02016	cpsf:CPTC_01428
ko:K02434	cpsf:CPTC_01432
ko:K06895	cpsf:CPTC_01434
ko:K05596	cpsf:CPTC_01435
ko:K01687	cpsf:CPTC_01438
ko:K01687	cpsf:CPTC_01439
ko:K01652	cpsf:CPTC_01443
ko:K01653	cpsf:CPTC_01445
ko:K00053	cpsf:CPTC_01446
ko:K16264	cpsf:CPTC_01447
ko:K00058	cpsf:CPTC_01450
ko:K07088	cpsf:CPTC_02144
ko:K02035	cpsf:CPTC_02145
ko:K02033	cpsf:CPTC_02146
ko:K02034	cpsf:CPTC_02147
ko:K02031	cpsf:CPTC_02148
ko:K02032	cpsf:CPTC_02148
ko:K06997	cpsf:CPTC_02151
ko:K07112	cpsf:CPTC_02152
ko:K02035	cpsf:CPTC_02155
ko:K02035	cpsf:CPTC_02156
ko:K03596	cpsf:CPTC_02161
ko:K02968	cpsf:CPTC_02163
ko:K05835	cpsf:CPTC_02164
ko:K02340	cpsf:CPTC_02166
ko:K02238	cpsf:CPTC_02167
ko:K02237	cpsf:CPTC_02168
ko:K09710	cpsf:CPTC_02171
ko:K00969	cpsf:CPTC_02172
ko:K00147	cpsf:CPTC_02173
ko:K09790	cpsf:CPTC_02175
ko:K07085	cpsf:CPTC_02176
ko:K00931	cpsf:CPTC_02177
ko:K03979	cpsf:CPTC_02178
ko:K02899	cpsf:CPTC_02179
ko:K02888	cpsf:CPTC_02180
ko:K00940	cpsf:CPTC_02184
ko:K11754	cpsf:CPTC_02187
ko:K01873	cpsf:CPTC_02188
ko:K00024	cpsf:CPTC_02189
ko:K03544	cpsf:CPTC_02191
ko:K13950	cpsf:CPTC_02192
ko:K01358	cpsf:CPTC_02193
ko:K02879	cpsf:CPTC_00262
ko:K03040	cpsf:CPTC_00263
ko:K02986	cpsf:CPTC_00264
ko:K02948	cpsf:CPTC_00265
ko:K02952	cpsf:CPTC_00266
ko:K02518	cpsf:CPTC_00267
ko:K01186	cpsf:CPTC_00270
ko:K01265	cpsf:CPTC_00272
ko:K01265	cpsf:CPTC_00273
ko:K00939	cpsf:CPTC_00274
ko:K03076	cpsf:CPTC_00275
ko:K10112	cpsf:CPTC_00277
ko:K15772	cpsf:CPTC_00281
ko:K15771	cpsf:CPTC_00282
ko:K15770	cpsf:CPTC_00283
ko:K02876	cpsf:CPTC_00285
ko:K02907	cpsf:CPTC_00286
ko:K02988	cpsf:CPTC_00287
ko:K02881	cpsf:CPTC_00288
ko:K02933	cpsf:CPTC_00289
ko:K02994	cpsf:CPTC_00290
ko:K01424	cpsf:CPTC_00292
ko:K01752	cpsf:CPTC_00294
ko:K03837	cpsf:CPTC_00295
ko:K02931	cpsf:CPTC_00297
ko:K02895	cpsf:CPTC_00298
ko:K02874	cpsf:CPTC_00299
ko:K02033	cpsf:CPTC_00302
ko:K02034	cpsf:CPTC_00303
ko:K02031	cpsf:CPTC_00304
ko:K03088	cpsf:CPTC_00619
ko:K05343	cpsf:CPTC_00623
ko:K06213	cpsf:CPTC_00625
ko:K02015	cpsf:CPTC_00626
ko:K02013	cpsf:CPTC_00627
ko:K02016	cpsf:CPTC_00628
ko:K07052	cpsf:CPTC_00631
ko:K02016	cpsf:CPTC_00640
ko:K02015	cpsf:CPTC_00641
ko:K02015	cpsf:CPTC_00642
ko:K02013	cpsf:CPTC_00643
ko:K03767	cpsf:CPTC_00655
ko:K02056	cpsf:CPTC_00657
ko:K02057	cpsf:CPTC_00658
ko:K02058	cpsf:CPTC_00659
ko:K02469	cpsf:CPTC_00664
ko:K00052	cpsf:CPTC_01452
ko:K07182	cpsf:CPTC_01453
ko:K02342	cpsf:CPTC_01454
ko:K02361	cpsf:CPTC_01457
ko:K01885	cpsf:CPTC_01458
ko:K03932	cpsf:CPTC_01459
ko:K01012	cpsf:CPTC_01463
ko:K01703	cpsf:CPTC_01466
ko:K01704	cpsf:CPTC_01467
ko:K03574	cpsf:CPTC_01468
ko:K00057	cpsf:CPTC_01470
ko:K01921	cpsf:CPTC_01471
ko:K00946	cpsf:CPTC_01473
ko:K03648	cpsf:CPTC_01474
ko:K07030	cpsf:CPTC_01475
ko:K03655	cpsf:CPTC_01476
ko:K08316	cpsf:CPTC_01478
ko:K00954	cpsf:CPTC_01479
ko:K07090	cpsf:CPTC_01480
ko:K02028	cpsf:CPTC_01482
ko:K14231	cpsf:CPTC_tRNA00026
ko:K14227	cpsf:CPTC_tRNA00019
ko:K14232	cpsf:CPTC_tRNA00009
ko:K14230	cpsf:CPTC_tRNA00005
ko:K14225	cpsf:CPTC_tRNA00038
ko:K14225	cpsf:CPTC_tRNA00041
ko:K14230	cpsf:CPTC_tRNA00043
ko:K01990	cpsf:CPTC_00774
ko:K06177	cpsf:CPTC_00777
ko:K09125	cpsf:CPTC_00781
ko:K03217	cpsf:CPTC_00783
ko:K07146	cpsf:CPTC_00786
ko:K13671	cpsf:CPTC_00792
ko:K07784	cpsf:CPTC_00794
ko:K08224	cpsf:CPTC_00798
ko:K04564	cpsf:CPTC_00801
ko:K07304	cpsf:CPTC_00803
ko:K00016	cpsf:CPTC_00804
ko:K00758	cpsf:CPTC_00805
ko:K01489	cpsf:CPTC_00806
ko:K03317	cpsf:CPTC_00807
ko:K01126	cpsf:CPTC_00808
ko:K03310	cpsf:CPTC_00810
ko:K03310	cpsf:CPTC_00811
ko:K04518	cpsf:CPTC_00819
ko:K03710	cpsf:CPTC_00824
ko:K01875	cpsf:CPTC_00825
ko:K09858	cpsf:CPTC_01553
ko:K06889	cpsf:CPTC_01554
ko:K07397	cpsf:CPTC_01554
ko:K03070	cpsf:CPTC_01556
ko:K08999	cpsf:CPTC_01559
ko:K00033	cpsf:CPTC_01566
ko:K03284	cpsf:CPTC_01568
ko:K03885	cpsf:CPTC_01570
ko:K00574	cpsf:CPTC_01571
ko:K00721	cpsf:CPTC_01577
ko:K03820	cpsf:CPTC_01578
ko:K07113	cpsf:CPTC_01579
ko:K02230	cpsf:CPTC_01580
ko:K02229	cpsf:CPTC_01581
ko:K06042	cpsf:CPTC_01582
ko:K13540	cpsf:CPTC_01583
ko:K05895	cpsf:CPTC_01584
ko:K05936	cpsf:CPTC_01585
ko:K00595	cpsf:CPTC_01586
ko:K03727	cpsf:CPTC_01590
ko:K03118	cpsf:CPTC_01591
ko:K03116	cpsf:CPTC_01592
ko:K13573	cpsf:CPTC_01593
ko:K13571	cpsf:CPTC_01595
ko:K13570	cpsf:CPTC_01596
ko:K13527	cpsf:CPTC_01598
ko:K07442	cpsf:CPTC_01599
ko:K01267	cpsf:CPTC_01600
ko:K02032	cpsf:CPTC_00304
ko:K02035	cpsf:CPTC_00305
ko:K02961	cpsf:CPTC_00306
ko:K02904	cpsf:CPTC_00307
ko:K02878	cpsf:CPTC_00308
ko:K02982	cpsf:CPTC_00309
ko:K02890	cpsf:CPTC_00310
ko:K02965	cpsf:CPTC_00311
ko:K02886	cpsf:CPTC_00312
ko:K00764	cpsf:CPTC_01095
ko:K01933	cpsf:CPTC_01096
ko:K06980	cpsf:CPTC_01098
ko:K02619	cpsf:CPTC_01100
ko:K15520	cpsf:CPTC_01104
ko:K02040	cpsf:CPTC_01105
ko:K02037	cpsf:CPTC_01106
ko:K02038	cpsf:CPTC_01107
ko:K02036	cpsf:CPTC_01109
ko:K02039	cpsf:CPTC_01111
ko:K18118	cpsf:CPTC_01113
ko:K16012	cpsf:CPTC_01114
ko:K16013	cpsf:CPTC_01115
ko:K00426	cpsf:CPTC_01116
ko:K00425	cpsf:CPTC_01117
ko:K00005	cpsf:CPTC_01118
ko:K06975	cpsf:CPTC_01119
ko:K00640	cpsf:CPTC_01120
ko:K01738	cpsf:CPTC_01121
ko:K00790	cpsf:CPTC_01125
ko:K14267	cpsf:CPTC_01127
ko:K14267	cpsf:CPTC_01128
ko:K10843	cpsf:CPTC_01130
ko:K03704	cpsf:CPTC_01135
ko:K06901	cpsf:CPTC_01139
ko:K03177	cpsf:CPTC_01845
ko:K02834	cpsf:CPTC_01850
ko:K02519	cpsf:CPTC_01851
ko:K07742	cpsf:CPTC_01852
ko:K02600	cpsf:CPTC_01853
ko:K09748	cpsf:CPTC_01854
ko:K01881	cpsf:CPTC_01856
ko:K09861	cpsf:CPTC_01857
ko:K02303	cpsf:CPTC_01858
ko:K00567	cpsf:CPTC_01861
ko:K02224	cpsf:CPTC_01862
ko:K13580	cpsf:CPTC_01864
ko:K03404	cpsf:CPTC_01865
ko:K00116	cpsf:CPTC_01866
ko:K17883	cpsf:CPTC_01868
ko:K02232	cpsf:CPTC_01871
ko:K01265	cpsf:CPTC_01872
ko:K00099	cpsf:CPTC_01876
ko:K06941	cpsf:CPTC_01879
ko:K06941	cpsf:CPTC_01880
ko:K00981	cpsf:CPTC_01882
ko:K02838	cpsf:CPTC_01884
ko:K09903	cpsf:CPTC_01885
ko:K02357	cpsf:CPTC_01886
ko:K02967	cpsf:CPTC_01887
ko:K03733	cpsf:CPTC_01889
ko:K04096	cpsf:CPTC_01890
ko:K07391	cpsf:CPTC_01891
ko:K03470	cpsf:CPTC_01893
ko:K02029	cpsf:CPTC_01483
ko:K02030	cpsf:CPTC_01484
ko:K08974	cpsf:CPTC_01485
ko:K02945	cpsf:CPTC_01489
ko:K02755	cpsf:CPTC_01490
ko:K02756	cpsf:CPTC_01490
ko:K02757	cpsf:CPTC_01490
ko:K00859	cpsf:CPTC_01491
ko:K03702	cpsf:CPTC_01493
ko:K03701	cpsf:CPTC_01498
ko:K02520	cpsf:CPTC_01499
ko:K02916	cpsf:CPTC_01500
ko:K01358	cpsf:CPTC_02194
ko:K03545	cpsf:CPTC_02195
ko:K06911	cpsf:CPTC_02199
ko:K01808	cpsf:CPTC_02200
ko:K01256	cpsf:CPTC_02203
ko:K01256	cpsf:CPTC_02204
ko:K06886	cpsf:CPTC_02207
ko:K09936	cpsf:CPTC_02208
ko:K07107	cpsf:CPTC_02210
ko:K09136	cpsf:CPTC_02216
ko:K09136	cpsf:CPTC_02223
ko:K01992	cpsf:CPTC_02224
ko:K01990	cpsf:CPTC_02225
ko:K02351	cpsf:CPTC_02226
ko:K07245	cpsf:CPTC_02226
ko:K06200	cpsf:CPTC_02227
ko:K14645	cpsf:CPTC_02228
ko:K07124	cpsf:CPTC_02230
ko:K13288	cpsf:CPTC_02231
ko:K01714	cpsf:CPTC_02233
ko:K08281	cpsf:CPTC_02236
ko:K03564	cpsf:CPTC_02239
ko:K00997	cpsf:CPTC_02241
ko:K02892	cpsf:CPTC_00313
ko:K02926	cpsf:CPTC_00314
ko:K02906	cpsf:CPTC_00315
ko:K02946	cpsf:CPTC_00316
ko:K02358	cpsf:CPTC_00325
ko:K02355	cpsf:CPTC_00327
ko:K02992	cpsf:CPTC_00328
ko:K02950	cpsf:CPTC_00329
ko:K04069	cpsf:CPTC_00332
ko:K07089	cpsf:CPTC_00333
ko:K01992	cpsf:CPTC_00335
ko:K02470	cpsf:CPTC_00669
ko:K03629	cpsf:CPTC_00671
ko:K02338	cpsf:CPTC_00672
ko:K02313	cpsf:CPTC_00673
ko:K02914	cpsf:CPTC_00675
ko:K03536	cpsf:CPTC_00676
ko:K03217	cpsf:CPTC_00677
ko:K03501	cpsf:CPTC_00678
ko:K01448	cpsf:CPTC_00682
ko:K03671	cpsf:CPTC_00683
ko:K00384	cpsf:CPTC_00684
ko:K03088	cpsf:CPTC_00686
ko:K03980	cpsf:CPTC_00688
ko:K00970	cpsf:CPTC_00692
ko:K07735	cpsf:CPTC_00693
ko:K14347	cpsf:CPTC_00697
ko:K01695	cpsf:CPTC_00699
ko:K01696	cpsf:CPTC_00700
ko:K13498	cpsf:CPTC_00702
ko:K00766	cpsf:CPTC_00703
ko:K01658	cpsf:CPTC_00704
ko:K01657	cpsf:CPTC_00705
ko:K09946	cpsf:CPTC_00713
ko:K01792	cpsf:CPTC_00716
ko:K07052	cpsf:CPTC_00717
ko:K01714	cpsf:CPTC_00720
ko:K02887	cpsf:CPTC_01501
ko:K01990	cpsf:CPTC_00336
ko:K03046	cpsf:CPTC_00340
ko:K03043	cpsf:CPTC_00341
ko:K02935	cpsf:CPTC_00349
ko:K02864	cpsf:CPTC_00350
ko:K01372	cpsf:CPTC_00352
ko:K01372	cpsf:CPTC_00353
ko:K01372	cpsf:CPTC_00354
ko:K02863	cpsf:CPTC_00355
ko:K02867	cpsf:CPTC_00356
ko:K02601	cpsf:CPTC_00357
ko:K03073	cpsf:CPTC_00358
ko:K00805	cpsf:CPTC_00359
ko:K00831	cpsf:CPTC_01143
ko:K01647	cpsf:CPTC_01144
ko:K01962	cpsf:CPTC_01146
ko:K01963	cpsf:CPTC_01146
ko:K01692	cpsf:CPTC_01150
ko:K14393	cpsf:CPTC_01152
ko:K03327	cpsf:CPTC_01159
ko:K01697	cpsf:CPTC_01160
ko:K01586	cpsf:CPTC_01161
ko:K02035	cpsf:CPTC_01165
ko:K02033	cpsf:CPTC_01166
ko:K02034	cpsf:CPTC_01167
ko:K02031	cpsf:CPTC_01168
ko:K02032	cpsf:CPTC_01168
ko:K02228	cpsf:CPTC_01171
ko:K01082	cpsf:CPTC_01175
ko:K03724	cpsf:CPTC_01177
ko:K03649	cpsf:CPTC_01178
ko:K05522	cpsf:CPTC_01179
ko:K01810	cpsf:CPTC_01181
ko:K00135	cpsf:CPTC_01182
ko:K04093	cpsf:CPTC_01183
ko:K03657	cpsf:CPTC_01184
ko:K11175	cpsf:CPTC_01187
ko:K00602	cpsf:CPTC_01188
ko:K10008	cpsf:CPTC_01189
ko:K10005	cpsf:CPTC_01190
ko:K03100	cpsf:CPTC_01894
ko:K02884	cpsf:CPTC_01895
ko:K06959	cpsf:CPTC_01896
ko:K02768	cpsf:CPTC_01897
ko:K02769	cpsf:CPTC_01897
ko:K02770	cpsf:CPTC_01897
ko:K00554	cpsf:CPTC_01899
ko:K02860	cpsf:CPTC_01900
ko:K02959	cpsf:CPTC_01902
ko:K03106	cpsf:CPTC_01903
ko:K00990	cpsf:CPTC_01904
ko:K04751	cpsf:CPTC_01906
ko:K03110	cpsf:CPTC_01907
ko:K03529	cpsf:CPTC_01910
ko:K01512	cpsf:CPTC_01911
ko:K03310	cpsf:CPTC_01912
ko:K10563	cpsf:CPTC_01913
ko:K03685	cpsf:CPTC_01914
ko:K07040	cpsf:CPTC_01915
ko:K00259	cpsf:CPTC_01918
ko:K00262	cpsf:CPTC_01919
ko:K00865	cpsf:CPTC_01920
ko:K00688	cpsf:CPTC_01924
ko:K00873	cpsf:CPTC_01927
ko:K01609	cpsf:CPTC_01929
ko:K01496	cpsf:CPTC_01931
ko:K02500	cpsf:CPTC_01933
ko:K01092	cpsf:CPTC_01934
ko:K01814	cpsf:CPTC_01935
ko:K01817	cpsf:CPTC_01935
ko:K02501	cpsf:CPTC_01936
ko:K01693	cpsf:CPTC_01939
ko:K00817	cpsf:CPTC_01940
ko:K00013	cpsf:CPTC_01941
ko:K03437	cpsf:CPTC_01503
ko:K01889	cpsf:CPTC_01504
ko:K01890	cpsf:CPTC_01505
ko:K00145	cpsf:CPTC_01506
ko:K00620	cpsf:CPTC_01507
ko:K00930	cpsf:CPTC_01508
ko:K00611	cpsf:CPTC_01510
ko:K03402	cpsf:CPTC_01511
ko:K01940	cpsf:CPTC_01512
ko:K01755	cpsf:CPTC_01513
ko:K09791	cpsf:CPTC_01514
ko:K01866	cpsf:CPTC_01515
ko:K06442	cpsf:CPTC_01520
ko:K00858	cpsf:CPTC_01521
ko:K03631	cpsf:CPTC_01522
ko:K01515	cpsf:CPTC_01525
ko:K04763	cpsf:CPTC_01526
ko:K05896	cpsf:CPTC_01528
ko:K01935	cpsf:CPTC_01529
ko:K03305	cpsf:CPTC_01530
ko:K00833	cpsf:CPTC_01532
ko:K01935	cpsf:CPTC_01533
ko:K06024	cpsf:CPTC_01534
ko:K06178	cpsf:CPTC_01535
ko:K00945	cpsf:CPTC_01536
ko:K03977	cpsf:CPTC_01537
ko:K07792	cpsf:CPTC_01538
ko:K02016	cpsf:CPTC_01542
ko:K02015	cpsf:CPTC_01544
ko:K02013	cpsf:CPTC_01545
ko:K07052	cpsf:CPTC_00007
ko:K02428	cpsf:CPTC_00010
ko:K00989	cpsf:CPTC_00011
ko:K01776	cpsf:CPTC_00013
ko:K06891	cpsf:CPTC_00016
ko:K00763	cpsf:CPTC_00017
