ko:K06896	spnn:T308_03550
ko:K03500	spnn:T308_07920
ko:K00604	spnn:T308_07925
ko:K04066	spnn:T308_07930
ko:K03060	spnn:T308_07935
ko:K00942	spnn:T308_07940
ko:K09710	spnn:T308_07965
ko:K00969	spnn:T308_07980
ko:K07574	spnn:T308_07985
ko:K00688	spnn:T308_10075
ko:K00705	spnn:T308_10080
ko:K15770	spnn:T308_10085
ko:K15771	spnn:T308_10090
ko:K15772	spnn:T308_10095
ko:K02529	spnn:T308_10105
ko:K01876	spnn:T308_10120
ko:K07052	spnn:T308_10135
ko:K07729	spnn:T308_10150
ko:K01892	spnn:T308_10165
ko:K01687	spnn:T308_10190
ko:K00615	spnn:T308_10195
ko:K00615	spnn:T308_10200
ko:K14225	spnn:T308_08710
ko:K14225	spnn:T308_09455
ko:K02371	spnn:T308_02035
ko:K00645	spnn:T308_02040
ko:K00059	spnn:T308_02045
ko:K09458	spnn:T308_02050
ko:K02160	spnn:T308_02055
ko:K02372	spnn:T308_02060
ko:K01961	spnn:T308_02065
ko:K01963	spnn:T308_02070
ko:K01962	spnn:T308_02075
ko:K03625	spnn:T308_02090
ko:K02356	spnn:T308_02100
ko:K02864	spnn:T308_04255
ko:K02935	spnn:T308_04260
ko:K00262	spnn:T308_04270
ko:K02909	spnn:T308_04285
ko:K04516	spnn:T308_04300
ko:K06199	spnn:T308_04305
ko:K06199	spnn:T308_04310
ko:K02884	spnn:T308_04315
ko:K06885	spnn:T308_04335
ko:K09787	spnn:T308_04345
ko:K03106	spnn:T308_04350
ko:K02824	spnn:T308_04355
ko:K03744	spnn:T308_04365
ko:K03799	spnn:T308_04370
ko:K07040	spnn:T308_04385
ko:K01839	spnn:T308_06485
ko:K01807	spnn:T308_06490
ko:K01491	spnn:T308_06500
ko:K02028	spnn:T308_06505
ko:K02029	spnn:T308_06510
ko:K03697	spnn:T308_06525
ko:K03574	spnn:T308_06535
ko:K06286	spnn:T308_06565
ko:K02470	spnn:T308_06570
ko:K03152	spnn:T308_06580
ko:K05837	spnn:T308_06585
ko:K14982	spnn:T308_06610
ko:K14983	spnn:T308_06615
ko:K10117	spnn:T308_08635
ko:K07407	spnn:T308_08640
ko:K03524	spnn:T308_08650
ko:K03565	spnn:T308_08775
ko:K07586	spnn:T308_08780
ko:K04075	spnn:T308_10850
ko:K02806	spnn:T308_07375
ko:K00655	spnn:T308_07390
ko:K02956	spnn:T308_07400
ko:K07118	spnn:T308_07405
ko:K01868	spnn:T308_07415
ko:K03709	spnn:T308_07450
ko:K02601	spnn:T308_09515
ko:K03073	spnn:T308_09520
ko:K12555	spnn:T308_09525
ko:K06180	spnn:T308_09530
ko:K00134	spnn:T308_09535
ko:K00767	spnn:T308_09550
ko:K03492	spnn:T308_09565
ko:K05350	spnn:T308_09570
ko:K02761	spnn:T308_09575
ko:K02760	spnn:T308_09580
ko:K02759	spnn:T308_09585
ko:K04072	spnn:T308_09590
ko:K01104	spnn:T308_09600
ko:K03210	spnn:T308_09605
ko:K00615	spnn:T308_09610
ko:K03476	spnn:T308_09615
ko:K03493	spnn:T308_09620
ko:K10682	spnn:T308_00325
ko:K10681	spnn:T308_00330
ko:K02986	spnn:T308_00335
ko:K17319	spnn:T308_00345
ko:K17320	spnn:T308_00350
ko:K07146	spnn:T308_00360
ko:K10947	spnn:T308_00410
ko:K03449	spnn:T308_00415
ko:K01091	spnn:T308_00435
ko:K01752	spnn:T308_00440
ko:K01752	spnn:T308_00445
ko:K02003	spnn:T308_00465
ko:K02030	spnn:T308_00470
ko:K01940	spnn:T308_00475
ko:K00566	spnn:T308_00575
ko:K03495	spnn:T308_00585
ko:K00789	spnn:T308_03560
ko:K02340	spnn:T308_03570
ko:K04564	spnn:T308_03575
ko:K06941	spnn:T308_03585
ko:K02959	spnn:T308_03615
ko:K06960	spnn:T308_03620
ko:K01878	spnn:T308_03670
ko:K01879	spnn:T308_03675
ko:K07042	spnn:T308_05785
ko:K02823	spnn:T308_05805
ko:K01759	spnn:T308_05810
ko:K02887	spnn:T308_05815
ko:K02916	spnn:T308_05820
ko:K02520	spnn:T308_05825
ko:K02238	spnn:T308_05845
ko:K02237	spnn:T308_05850
ko:K00243	spnn:T308_05885
ko:K02838	spnn:T308_05890
ko:K09903	spnn:T308_05895
ko:K04094	spnn:T308_05900
ko:K07056	spnn:T308_05905
ko:K06948	spnn:T308_07990
ko:K07015	spnn:T308_07995
ko:K03671	spnn:T308_08030
ko:K09457	spnn:T308_08035
ko:K06188	spnn:T308_08045
ko:K09761	spnn:T308_08065
ko:K02687	spnn:T308_08070
ko:K03574	spnn:T308_08090
ko:K07478	spnn:T308_08125
ko:K03475	spnn:T308_10205
ko:K02822	spnn:T308_10210
ko:K02911	spnn:T308_10230
ko:K02913	spnn:T308_10235
ko:K01191	spnn:T308_10270
ko:K09704	spnn:T308_10275
ko:K01206	spnn:T308_10285
ko:K01478	spnn:T308_10290
ko:K00611	spnn:T308_10295
ko:K00926	spnn:T308_10300
ko:K01818	spnn:T308_10345
ko:K02434	spnn:T308_02115
ko:K02433	spnn:T308_02120
ko:K02435	spnn:T308_02125
ko:K02837	spnn:T308_02130
ko:K02902	spnn:T308_02140
ko:K02867	spnn:T308_02975
ko:K02863	spnn:T308_02980
ko:K01990	spnn:T308_03000
ko:K01992	spnn:T308_03005
ko:K01992	spnn:T308_03010
ko:K03316	spnn:T308_03090
ko:K07058	spnn:T308_03100
ko:K12267	spnn:T308_03115
ko:K07718	spnn:T308_03125
ko:K00790	spnn:T308_05245
ko:K01265	spnn:T308_05260
ko:K03657	spnn:T308_05275
ko:K03630	spnn:T308_05280
ko:K07010	spnn:T308_05285
ko:K01926	spnn:T308_05290
ko:K04487	spnn:T308_05305
ko:K00948	spnn:T308_05310
ko:K07816	spnn:T308_05320
ko:K00858	spnn:T308_05325
ko:K06180	spnn:T308_05330
ko:K00625	spnn:T308_05335
ko:K09747	spnn:T308_05350
ko:K02888	spnn:T308_05360
ko:K07584	spnn:T308_05365
ko:K07560	spnn:T308_07475
ko:K00951	spnn:T308_07480
ko:K07386	spnn:T308_07500
ko:K11065	spnn:T308_07520
ko:K02004	spnn:T308_07525
ko:K02003	spnn:T308_07530
ko:K15923	spnn:T308_07535
ko:K01834	spnn:T308_07540
ko:K01870	spnn:T308_07555
ko:K04074	spnn:T308_07565
ko:K02221	spnn:T308_07575
ko:K09772	spnn:T308_07580
ko:K06997	spnn:T308_07585
ko:K02821	spnn:T308_09640
ko:K02822	spnn:T308_09645
ko:K03475	spnn:T308_09650
ko:K06346	spnn:T308_09660
ko:K03217	spnn:T308_09665
ko:K03536	spnn:T308_09670
ko:K00925	spnn:T308_09680
ko:K02248	spnn:T308_09700
ko:K02245	spnn:T308_09715
ko:K02244	spnn:T308_09720
ko:K02243	spnn:T308_09725
ko:K01443	spnn:T308_09740
ko:K00773	spnn:T308_09750
ko:K01304	spnn:T308_09760
ko:K08987	spnn:T308_09765
ko:K07030	spnn:T308_02150
ko:K01652	spnn:T308_02155
ko:K01653	spnn:T308_02160
ko:K00053	spnn:T308_02165
ko:K01754	spnn:T308_02180
ko:K17076	spnn:T308_02190
ko:K17073	spnn:T308_02195
ko:K17074	spnn:T308_02195
ko:K06153	spnn:T308_02210
ko:K02346	spnn:T308_02215
ko:K00656	spnn:T308_02220
ko:K03501	spnn:T308_04360
ko:K10773	spnn:T308_04390
ko:K02825	spnn:T308_04395
ko:K00609	spnn:T308_04400
ko:K01956	spnn:T308_04405
ko:K01955	spnn:T308_04410
ko:K07271	spnn:T308_04420
ko:K05352	spnn:T308_04435
ko:K04096	spnn:T308_04455
ko:K03168	spnn:T308_04465
ko:K09790	spnn:T308_04470
ko:K06201	spnn:T308_04475
ko:K00052	spnn:T308_04490
ko:K01704	spnn:T308_04500
ko:K01256	spnn:T308_06620
ko:K00059	spnn:T308_06640
ko:K10947	spnn:T308_06660
ko:K01874	spnn:T308_06670
ko:K02004	spnn:T308_06675
ko:K02003	spnn:T308_06680
ko:K02005	spnn:T308_06685
ko:K00383	spnn:T308_06690
ko:K03523	spnn:T308_06695
ko:K00554	spnn:T308_06720
ko:K02860	spnn:T308_06725
ko:K02358	spnn:T308_06745
ko:K02440	spnn:T308_06750
ko:K04077	spnn:T308_08800
ko:K04078	spnn:T308_08805
ko:K06878	spnn:T308_08820
ko:K06147	spnn:T308_08860
ko:K11031	spnn:T308_08880
ko:K01126	spnn:T308_08910
ko:K02012	spnn:T308_08915
ko:K02010	spnn:T308_08920
ko:K02011	spnn:T308_08925
ko:K07507	spnn:T308_08930
ko:K03789	spnn:T308_00625
ko:K01409	spnn:T308_00630
ko:K07052	spnn:T308_00695
ko:K02030	spnn:T308_00720
ko:K02073	spnn:T308_00725
ko:K01439	spnn:T308_00730
ko:K02071	spnn:T308_00735
ko:K02072	spnn:T308_00740
ko:K16926	spnn:T308_00745
ko:K07718	spnn:T308_00755
ko:K07720	spnn:T308_00760
ko:K03647	spnn:T308_00770
ko:K03572	spnn:T308_00795
ko:K00794	spnn:T308_00800
ko:K14652	spnn:T308_00805
ko:K00793	spnn:T308_00810
ko:K11752	spnn:T308_00815
ko:K03550	spnn:T308_00820
ko:K01246	spnn:T308_00825
ko:K07052	spnn:T308_00830
ko:K03284	spnn:T308_00845
ko:K03734	spnn:T308_03695
ko:K06215	spnn:T308_03710
ko:K08681	spnn:T308_03715
ko:K11068	spnn:T308_03720
ko:K00567	spnn:T308_03735
ko:K02029	spnn:T308_03745
ko:K02028	spnn:T308_03750
ko:K00384	spnn:T308_03760
ko:K03218	spnn:T308_03765
ko:K01462	spnn:T308_03770
ko:K03710	spnn:T308_03805
ko:K01951	spnn:T308_03810
ko:K02341	spnn:T308_05920
ko:K00943	spnn:T308_05925
ko:K00286	spnn:T308_05930
ko:K00147	spnn:T308_05935
ko:K00931	spnn:T308_05940
ko:K06180	spnn:T308_05950
ko:K03101	spnn:T308_05955
ko:K07052	spnn:T308_05965
ko:K12251	spnn:T308_05980
ko:K10536	spnn:T308_05985
ko:K13747	spnn:T308_05990
ko:K00797	spnn:T308_06000
ko:K02004	spnn:T308_06030
ko:K02003	spnn:T308_06035
ko:K01193	spnn:T308_08135
ko:K17318	spnn:T308_08140
ko:K17320	spnn:T308_08145
ko:K17319	spnn:T308_08150
ko:K02529	spnn:T308_08155
ko:K02236	spnn:T308_08200
ko:K01695	spnn:T308_08215
ko:K01696	spnn:T308_08220
ko:K01817	spnn:T308_08225
ko:K01609	spnn:T308_08230
ko:K00766	spnn:T308_08235
ko:K01657	spnn:T308_08245
ko:K02793	spnn:T308_10375
ko:K02431	spnn:T308_10380
ko:K01628	spnn:T308_10385
ko:K00848	spnn:T308_10390
ko:K09815	spnn:T308_10410
ko:K09816	spnn:T308_10415
ko:K09817	spnn:T308_10420
ko:K03740	spnn:T308_10430
ko:K03739	spnn:T308_10440
ko:K03367	spnn:T308_10445
ko:K02440	spnn:T308_10475
ko:K00864	spnn:T308_10485
ko:K02786	spnn:T308_02300
ko:K01220	spnn:T308_02305
ko:K02787	spnn:T308_02310
ko:K02788	spnn:T308_02310
ko:K03498	spnn:T308_02315
ko:K03499	spnn:T308_02320
ko:K16924	spnn:T308_02330
ko:K16786	spnn:T308_02340
ko:K16787	spnn:T308_02340
ko:K16785	spnn:T308_02345
ko:K03216	spnn:T308_02350
ko:K03048	spnn:T308_02375
ko:K01937	spnn:T308_02385
ko:K03324	spnn:T308_02390
ko:K00927	spnn:T308_02400
ko:K03685	spnn:T308_04540
ko:K03529	spnn:T308_04545
ko:K03110	spnn:T308_04560
ko:K00036	spnn:T308_04565
ko:K02028	spnn:T308_04570
ko:K02029	spnn:T308_04575
ko:K02030	spnn:T308_04575
ko:K07052	spnn:T308_04580
ko:K03702	spnn:T308_04585
ko:K03574	spnn:T308_04600
ko:K07105	spnn:T308_04605
ko:K16788	spnn:T308_04610
ko:K01598	spnn:T308_04620
ko:K01938	spnn:T308_04630
ko:K03575	spnn:T308_04635
ko:K07668	spnn:T308_04640
ko:K07652	spnn:T308_04645
ko:K03342	spnn:T308_03140
ko:K00845	spnn:T308_03155
ko:K00791	spnn:T308_03170
ko:K03665	spnn:T308_03175
ko:K00784	spnn:T308_03185
ko:K07124	spnn:T308_03190
ko:K06183	spnn:T308_03215
ko:K06207	spnn:T308_03220
ko:K02004	spnn:T308_03235
ko:K02003	spnn:T308_03240
ko:K01925	spnn:T308_03245
ko:K02563	spnn:T308_03250
ko:K03589	spnn:T308_03255
ko:K01591	spnn:T308_03260
ko:K00762	spnn:T308_03265
ko:K11753	spnn:T308_05385
ko:K03530	spnn:T308_05400
ko:K06158	spnn:T308_05405
ko:K01972	spnn:T308_05420
ko:K00700	spnn:T308_05435
ko:K00975	spnn:T308_05440
ko:K00975	spnn:T308_05445
ko:K00703	spnn:T308_05450
ko:K00865	spnn:T308_05460
ko:K01689	spnn:T308_05470
ko:K16899	spnn:T308_05485
ko:K16898	spnn:T308_05490
ko:K03531	spnn:T308_07590
ko:K03590	spnn:T308_07595
ko:K01929	spnn:T308_07610
ko:K01921	spnn:T308_07615
ko:K00687	spnn:T308_07625
ko:K01639	spnn:T308_07640
ko:K02026	spnn:T308_07665
ko:K02025	spnn:T308_07670
ko:K02778	spnn:T308_07680
ko:K02779	spnn:T308_07680
ko:K01788	spnn:T308_07685
ko:K01186	spnn:T308_07695
ko:K02026	spnn:T308_07700
ko:K02025	spnn:T308_07705
ko:K01186	spnn:T308_07725
ko:K01733	spnn:T308_09795
ko:K09698	spnn:T308_09890
ko:K01810	spnn:T308_09895
ko:K07010	spnn:T308_09905
ko:K12574	spnn:T308_02890
ko:K01835	spnn:T308_06785
ko:K02030	spnn:T308_06800
ko:K02028	spnn:T308_06805
ko:K02029	spnn:T308_06810
ko:K07404	spnn:T308_06825
ko:K02114	spnn:T308_06830
ko:K02112	spnn:T308_06835
ko:K02115	spnn:T308_06840
ko:K02111	spnn:T308_06845
ko:K02113	spnn:T308_06850
ko:K02109	spnn:T308_06855
ko:K02108	spnn:T308_06860
ko:K02110	spnn:T308_06865
ko:K03624	spnn:T308_06885
ko:K07082	spnn:T308_06890
ko:K07025	spnn:T308_08935
ko:K06925	spnn:T308_09010
ko:K03701	spnn:T308_00935
ko:K01262	spnn:T308_00940
ko:K07447	spnn:T308_00960
ko:K11754	spnn:T308_00970
ko:K06131	spnn:T308_00980
ko:K02946	spnn:T308_01020
ko:K02906	spnn:T308_01025
ko:K02926	spnn:T308_01030
ko:K02892	spnn:T308_01035
ko:K02886	spnn:T308_01040
ko:K02965	spnn:T308_01045
ko:K02890	spnn:T308_01050
ko:K02982	spnn:T308_01055
ko:K02878	spnn:T308_01060
ko:K02904	spnn:T308_01065
ko:K02961	spnn:T308_01070
ko:K02874	spnn:T308_01075
ko:K02895	spnn:T308_01080
ko:K02931	spnn:T308_01085
ko:K02954	spnn:T308_01090
ko:K02994	spnn:T308_01095
ko:K02933	spnn:T308_01100
ko:K02881	spnn:T308_01105
ko:K02988	spnn:T308_01110
ko:K02907	spnn:T308_01115
ko:K02876	spnn:T308_01120
ko:K03076	spnn:T308_01125
ko:K00939	spnn:T308_01130
ko:K02518	spnn:T308_01135
ko:K02952	spnn:T308_01140
ko:K02948	spnn:T308_01145
ko:K03040	spnn:T308_01150
ko:K02879	spnn:T308_01155
ko:K09157	spnn:T308_01165
ko:K02010	spnn:T308_01180
ko:K04069	spnn:T308_01195
ko:K02759	spnn:T308_01210
ko:K06147	spnn:T308_03835
ko:K06147	spnn:T308_03840
ko:K16926	spnn:T308_03845
ko:K16785	spnn:T308_03850
ko:K16786	spnn:T308_03855
ko:K16787	spnn:T308_03855
ko:K08303	spnn:T308_03885
ko:K01990	spnn:T308_03895
ko:K01992	spnn:T308_03900
ko:K07729	spnn:T308_03905
ko:K00763	spnn:T308_03915
ko:K01916	spnn:T308_03920
ko:K07568	spnn:T308_03950
ko:K02564	spnn:T308_03955
ko:K02970	spnn:T308_03960
ko:K06023	spnn:T308_03965
ko:K03095	spnn:T308_06060
ko:K06959	spnn:T308_06065
ko:K07089	spnn:T308_06075
ko:K08986	spnn:T308_06080
ko:K00873	spnn:T308_06115
ko:K00850	spnn:T308_06120
ko:K02337	spnn:T308_06125
ko:K01281	spnn:T308_06130
ko:K03402	spnn:T308_06135
ko:K01153	spnn:T308_06145
ko:K01154	spnn:T308_06150
ko:K07341	spnn:T308_06160
ko:K07341	spnn:T308_06180
ko:K03427	spnn:T308_06195
ko:K07507	spnn:T308_08270
ko:K02011	spnn:T308_08275
ko:K02010	spnn:T308_08280
ko:K02012	spnn:T308_08285
ko:K01784	spnn:T308_08295
ko:K00965	spnn:T308_08300
ko:K02039	spnn:T308_08305
ko:K03816	spnn:T308_08370
ko:K16169	spnn:T308_08375
ko:K00965	spnn:T308_08395
ko:K00849	spnn:T308_08400
ko:K14188	spnn:T308_10435
ko:K04083	spnn:T308_10500
ko:K03713	spnn:T308_02410
ko:K01915	spnn:T308_02415
ko:K01154	spnn:T308_02425
ko:K03427	spnn:T308_02440
ko:K01153	spnn:T308_02445
ko:K03705	spnn:T308_02455
ko:K01990	spnn:T308_03290
ko:K02028	spnn:T308_03300
ko:K02029	spnn:T308_03320
ko:K02029	spnn:T308_03325
ko:K04567	spnn:T308_03335
ko:K10530	spnn:T308_03345
ko:K00878	spnn:T308_03355
ko:K00788	spnn:T308_03360
ko:K16925	spnn:T308_03365
ko:K16786	spnn:T308_03370
ko:K16787	spnn:T308_03370
ko:K16785	spnn:T308_03375
ko:K03707	spnn:T308_03380
ko:K00878	spnn:T308_03390
ko:K00788	spnn:T308_03395
ko:K00941	spnn:T308_03400
ko:K14540	spnn:T308_05510
ko:K03470	spnn:T308_05515
ko:K03800	spnn:T308_05530
ko:K03696	spnn:T308_10560
ko:K03708	spnn:T308_10565
ko:K02939	spnn:T308_10605
ko:K05808	spnn:T308_10615
ko:K03687	spnn:T308_02460
ko:K04043	spnn:T308_02465
ko:K03686	spnn:T308_02475
ko:K02503	spnn:T308_02490
ko:K01990	spnn:T308_02495
ko:K01992	spnn:T308_02500
ko:K07707	spnn:T308_02515
ko:K07706	spnn:T308_02520
ko:K00364	spnn:T308_04530
ko:K10716	spnn:T308_04665
ko:K00016	spnn:T308_04675
ko:K02469	spnn:T308_04680
ko:K01740	spnn:T308_04700
ko:K03177	spnn:T308_04710
ko:K00876	spnn:T308_04725
ko:K03601	spnn:T308_04730
ko:K03602	spnn:T308_04735
ko:K13789	spnn:T308_04740
ko:K06442	spnn:T308_04745
ko:K03402	spnn:T308_04750
ko:K03631	spnn:T308_04755
ko:K01819	spnn:T308_04800
ko:K01924	spnn:T308_06905
ko:K14155	spnn:T308_06920
ko:K15580	spnn:T308_06940
ko:K05362	spnn:T308_06950
ko:K15986	spnn:T308_06970
ko:K07461	spnn:T308_06975
ko:K07570	spnn:T308_06985
ko:K03768	spnn:T308_06990
ko:K02963	spnn:T308_06995
ko:K02990	spnn:T308_07005
ko:K01893	spnn:T308_07010
ko:K08217	spnn:T308_09145
ko:K02003	spnn:T308_09190
ko:K00940	spnn:T308_09200
ko:K03046	spnn:T308_09205
ko:K03043	spnn:T308_09210
ko:K03699	spnn:T308_09220
ko:K15051	spnn:T308_09225
ko:K00382	spnn:T308_05535
ko:K00627	spnn:T308_05540
ko:K00162	spnn:T308_05545
ko:K00161	spnn:T308_05550
ko:K01465	spnn:T308_05565
ko:K03574	spnn:T308_05570
ko:K03648	spnn:T308_05575
ko:K07025	spnn:T308_05585
ko:K09815	spnn:T308_05600
ko:K03294	spnn:T308_05605
ko:K06196	spnn:T308_05615
ko:K06187	spnn:T308_07620
ko:K03655	spnn:T308_07740
ko:K01775	spnn:T308_07745
ko:K00997	spnn:T308_07750
ko:K01626	spnn:T308_07755
ko:K01626	spnn:T308_07760
ko:K03070	spnn:T308_07765
ko:K03977	spnn:T308_07800
ko:K11144	spnn:T308_07810
ko:K03346	spnn:T308_07815
ko:K07738	spnn:T308_07820
ko:K01990	spnn:T308_07830
ko:K01992	spnn:T308_07840
ko:K01990	spnn:T308_07845
ko:K03555	spnn:T308_09925
ko:K03402	spnn:T308_09930
ko:K01887	spnn:T308_09935
ko:K09705	spnn:T308_09950
ko:K07658	spnn:T308_09955
ko:K07636	spnn:T308_09960
ko:K02040	spnn:T308_09965
ko:K02037	spnn:T308_09970
ko:K02038	spnn:T308_09975
ko:K02036	spnn:T308_09980
ko:K02039	spnn:T308_09985
ko:K00057	spnn:T308_10000
ko:K00963	spnn:T308_10005
ko:K01934	spnn:T308_10015
ko:K05823	spnn:T308_10020
ko:K00674	spnn:T308_10025
ko:K03693	spnn:T308_10035
ko:K01866	spnn:T308_10040
ko:K00563	spnn:T308_10055
ko:K02760	spnn:T308_01215
ko:K02761	spnn:T308_01220
ko:K00656	spnn:T308_01225
ko:K00005	spnn:T308_01235
ko:K01869	spnn:T308_01240
ko:K03551	spnn:T308_01265
ko:K00806	spnn:T308_01275
