ko:K22213	mabo:NF82_01505
ko:K02834	mabo:NF82_15650
ko:K02519	mabo:NF82_15655
ko:K05916	mabo:NF82_15670
ko:K13771	mabo:NF82_15675
ko:K02600	mabo:NF82_15680
ko:K09748	mabo:NF82_15685
ko:K01881	mabo:NF82_15705
ko:K02302	mabo:NF82_15720
ko:K16786	mabo:NF82_15725
ko:K16787	mabo:NF82_15725
ko:K16785	mabo:NF82_15730
ko:K12433	mabo:NF82_15745
ko:K06994	mabo:NF82_15755
ko:K02224	mabo:NF82_15785
ko:K03404	mabo:NF82_15795
ko:K02348	mabo:NF82_15800
ko:K00116	mabo:NF82_15805
ko:K02232	mabo:NF82_15825
ko:K01265	mabo:NF82_15830
ko:K06976	mabo:NF82_15850
ko:K00099	mabo:NF82_15865
ko:K06941	mabo:NF82_15885
ko:K07044	mabo:NF82_20155
ko:K07044	mabo:NF82_20175
ko:K02066	mabo:NF82_20190
ko:K02066	mabo:NF82_20195
ko:K02067	mabo:NF82_20205
ko:K02067	mabo:NF82_20210
ko:K02067	mabo:NF82_20225
ko:K07776	mabo:NF82_20285
ko:K07768	mabo:NF82_20290
ko:K01834	mabo:NF82_20295
ko:K15521	mabo:NF82_20335
ko:K14953	mabo:NF82_20410
ko:K03088	mabo:NF82_24720
ko:K00384	mabo:NF82_24730
ko:K03671	mabo:NF82_24735
ko:K05337	mabo:NF82_24745
ko:K03501	mabo:NF82_24785
ko:K06346	mabo:NF82_24790
ko:K03217	mabo:NF82_24795
ko:K03536	mabo:NF82_24805
ko:K02914	mabo:NF82_24810
ko:K10773	mabo:NF82_02105
ko:K01895	mabo:NF82_02140
ko:K15580	mabo:NF82_02145
ko:K15581	mabo:NF82_02150
ko:K15582	mabo:NF82_02155
ko:K02031	mabo:NF82_02160
ko:K02032	mabo:NF82_02160
ko:K02283	mabo:NF82_02180
ko:K01533	mabo:NF82_02270
ko:K01738	mabo:NF82_02280
ko:K01673	mabo:NF82_02365
ko:K12510	mabo:NF82_02380
ko:K00674	mabo:NF82_06725
ko:K01439	mabo:NF82_06730
ko:K08223	mabo:NF82_06740
ko:K06966	mabo:NF82_06750
ko:K06966	mabo:NF82_06755
ko:K00666	mabo:NF82_06760
ko:K00796	mabo:NF82_06775
ko:K13693	mabo:NF82_06780
ko:K01246	mabo:NF82_06795
ko:K16148	mabo:NF82_06805
ko:K00975	mabo:NF82_06810
ko:K01992	mabo:NF82_06840
ko:K01990	mabo:NF82_06845
ko:K03088	mabo:NF82_06860
ko:K03117	mabo:NF82_06875
ko:K03593	mabo:NF82_06880
ko:K01644	mabo:NF82_06895
ko:K02027	mabo:NF82_06910
ko:K02025	mabo:NF82_06915
ko:K02026	mabo:NF82_06920
ko:K10112	mabo:NF82_06925
ko:K03284	mabo:NF82_06940
ko:K05595	mabo:NF82_06965
ko:K00027	mabo:NF82_06970
ko:K06994	mabo:NF82_11375
ko:K09251	mabo:NF82_11395
ko:K14257	mabo:NF82_11420
ko:K02945	mabo:NF82_11480
ko:K00859	mabo:NF82_11490
ko:K06994	mabo:NF82_11505
ko:K06994	mabo:NF82_11515
ko:K09146	mabo:NF82_11535
ko:K03702	mabo:NF82_11540
ko:K13639	mabo:NF82_11545
ko:K03701	mabo:NF82_11575
ko:K04567	mabo:NF82_11595
ko:K02520	mabo:NF82_11605
ko:K02916	mabo:NF82_11610
ko:K02887	mabo:NF82_11615
ko:K03437	mabo:NF82_11620
ko:K14956	mabo:NF82_11635
ko:K00567	mabo:NF82_11665
ko:K01061	mabo:NF82_15925
ko:K00981	mabo:NF82_15940
ko:K02838	mabo:NF82_15945
ko:K09903	mabo:NF82_15950
ko:K03811	mabo:NF82_15960
ko:K05350	mabo:NF82_15970
ko:K02357	mabo:NF82_15985
ko:K02967	mabo:NF82_15990
ko:K06994	mabo:NF82_16015
ko:K03733	mabo:NF82_16025
ko:K01673	mabo:NF82_16060
ko:K04096	mabo:NF82_16065
ko:K07391	mabo:NF82_16070
ko:K07460	mabo:NF82_16075
ko:K03470	mabo:NF82_16115
ko:K03100	mabo:NF82_16120
ko:K02884	mabo:NF82_16125
ko:K00554	mabo:NF82_16135
ko:K02860	mabo:NF82_16140
ko:K06960	mabo:NF82_16145
ko:K02959	mabo:NF82_16150
ko:K07258	mabo:NF82_16175
ko:K03106	mabo:NF82_16190
ko:K01619	mabo:NF82_20430
ko:K16645	mabo:NF82_20455
ko:K00574	mabo:NF82_20480
ko:K09967	mabo:NF82_20495
ko:K09967	mabo:NF82_20500
ko:K01941	mabo:NF82_20505
ko:K00074	mabo:NF82_20510
ko:K01637	mabo:NF82_20515
ko:K05303	mabo:NF82_20580
ko:K17947	mabo:NF82_20595
ko:K00973	mabo:NF82_20605
ko:K06994	mabo:NF82_20615
ko:K06994	mabo:NF82_20620
ko:K07110	mabo:NF82_20630
ko:K01673	mabo:NF82_20670
ko:K00382	mabo:NF82_20675
ko:K01322	mabo:NF82_20690
ko:K06994	mabo:NF82_02415
ko:K06877	mabo:NF82_02455
ko:K03704	mabo:NF82_02460
ko:K03168	mabo:NF82_02470
ko:K02341	mabo:NF82_02480
ko:K06978	mabo:NF82_02535
ko:K01784	mabo:NF82_02545
ko:K09153	mabo:NF82_02550
ko:K05794	mabo:NF82_02585
ko:K01507	mabo:NF82_02620
ko:K07259	mabo:NF82_02625
ko:K04075	mabo:NF82_02635
ko:K00760	mabo:NF82_02645
ko:K09807	mabo:NF82_02650
ko:K09807	mabo:NF82_02655
ko:K14733	mabo:NF82_02665
ko:K01616	mabo:NF82_07015
ko:K07552	mabo:NF82_07025
ko:K05592	mabo:NF82_07065
ko:K00104	mabo:NF82_07085
ko:K06147	mabo:NF82_07120
ko:K06147	mabo:NF82_07125
ko:K08296	mabo:NF82_07145
ko:K01887	mabo:NF82_07220
ko:K01586	mabo:NF82_07225
ko:K00003	mabo:NF82_07230
ko:K01733	mabo:NF82_07235
ko:K00872	mabo:NF82_07240
ko:K03628	mabo:NF82_07245
ko:K02909	mabo:NF82_07265
ko:K02835	mabo:NF82_07270
ko:K02493	mabo:NF82_07275
ko:K02851	mabo:NF82_07285
ko:K02108	mabo:NF82_07295
ko:K13529	mabo:NF82_11670
ko:K01889	mabo:NF82_11675
ko:K01890	mabo:NF82_11680
ko:K00145	mabo:NF82_11685
ko:K00620	mabo:NF82_11690
ko:K00930	mabo:NF82_11695
ko:K00611	mabo:NF82_11705
ko:K03402	mabo:NF82_11710
ko:K01940	mabo:NF82_11715
ko:K05708	mabo:NF82_21895
ko:K01755	mabo:NF82_11720
ko:K03652	mabo:NF82_11765
ko:K01866	mabo:NF82_11775
ko:K06442	mabo:NF82_11800
ko:K00858	mabo:NF82_11805
ko:K03631	mabo:NF82_11810
ko:K01937	mabo:NF82_11825
ko:K01515	mabo:NF82_11830
ko:K04763	mabo:NF82_11835
ko:K05896	mabo:NF82_11845
ko:K06024	mabo:NF82_11850
ko:K06178	mabo:NF82_11855
ko:K03977	mabo:NF82_11865
ko:K14953	mabo:NF82_11905
ko:K07006	mabo:NF82_11920
ko:K00990	mabo:NF82_16195
ko:K04751	mabo:NF82_16200
ko:K03320	mabo:NF82_16205
ko:K03110	mabo:NF82_16210
ko:K01823	mabo:NF82_16215
ko:K03529	mabo:NF82_16235
ko:K07667	mabo:NF82_16255
ko:K07646	mabo:NF82_16260
ko:K01548	mabo:NF82_16265
ko:K01547	mabo:NF82_16270
ko:K01546	mabo:NF82_16275
ko:K10563	mabo:NF82_16285
ko:K03685	mabo:NF82_16290
ko:K07040	mabo:NF82_16295
ko:K00954	mabo:NF82_16305
ko:K14953	mabo:NF82_16315
ko:K01061	mabo:NF82_16335
ko:K08316	mabo:NF82_16340
ko:K01958	mabo:NF82_16345
ko:K03655	mabo:NF82_16400
ko:K07030	mabo:NF82_16405
ko:K02902	mabo:NF82_16410
ko:K15866	mabo:NF82_16415
ko:K03648	mabo:NF82_16425
ko:K00946	mabo:NF82_16430
ko:K01921	mabo:NF82_16440
ko:K01758	mabo:NF82_16445
ko:K00057	mabo:NF82_16450
ko:K14941	mabo:NF82_16455
ko:K00937	mabo:NF82_16460
ko:K03574	mabo:NF82_16465
ko:K03530	mabo:NF82_16470
ko:K00697	mabo:NF82_20765
ko:K18481	mabo:NF82_20770
ko:K18481	mabo:NF82_20775
ko:K02067	mabo:NF82_20780
ko:K02067	mabo:NF82_20785
ko:K02067	mabo:NF82_20790
ko:K02067	mabo:NF82_20795
ko:K02067	mabo:NF82_20800
ko:K02067	mabo:NF82_20805
ko:K02066	mabo:NF82_20810
ko:K02066	mabo:NF82_20815
ko:K00059	mabo:NF82_20820
ko:K05337	mabo:NF82_20825
ko:K00666	mabo:NF82_20840
ko:K18688	mabo:NF82_20855
ko:K01692	mabo:NF82_20860
ko:K07157	mabo:NF82_20865
ko:K07068	mabo:NF82_20875
ko:K00626	mabo:NF82_20885
ko:K00528	mabo:NF82_20895
ko:K15982	mabo:NF82_20905
ko:K07560	mabo:NF82_20915
ko:K00957	mabo:NF82_20945
ko:K00955	mabo:NF82_20950
ko:K06048	mabo:NF82_20955
ko:K01462	mabo:NF82_20975
ko:K01142	mabo:NF82_20985
ko:K03798	mabo:NF82_02695
ko:K01495	mabo:NF82_02700
ko:K00796	mabo:NF82_02705
ko:K01633	mabo:NF82_02710
ko:K00950	mabo:NF82_02715
ko:K01918	mabo:NF82_02735
ko:K01579	mabo:NF82_02740
ko:K03525	mabo:NF82_02745
ko:K04567	mabo:NF82_02750
ko:K03696	mabo:NF82_02760
ko:K02016	mabo:NF82_02765
ko:K02013	mabo:NF82_02770
ko:K02015	mabo:NF82_02775
ko:K01114	mabo:NF82_02805
ko:K03575	mabo:NF82_02820
ko:K01673	mabo:NF82_02825
ko:K07067	mabo:NF82_02840
ko:K04485	mabo:NF82_02850
ko:K07736	mabo:NF82_02870
ko:K00991	mabo:NF82_02875
ko:K01770	mabo:NF82_02880
ko:K01883	mabo:NF82_02885
ko:K03218	mabo:NF82_02890
ko:K01126	mabo:NF82_02895
ko:K07160	mabo:NF82_02900
ko:K02075	mabo:NF82_02905
ko:K02074	mabo:NF82_02910
ko:K02077	mabo:NF82_02915
ko:K15983	mabo:NF82_02945
ko:K16047	mabo:NF82_02950
ko:K16049	mabo:NF82_02955
ko:K01455	mabo:NF82_02965
ko:K02110	mabo:NF82_07300
ko:K02109	mabo:NF82_07305
ko:K02111	mabo:NF82_07315
ko:K02115	mabo:NF82_07320
ko:K02112	mabo:NF82_07325
ko:K02114	mabo:NF82_07330
ko:K00790	mabo:NF82_07345
ko:K07503	mabo:NF82_07375
ko:K05606	mabo:NF82_07385
ko:K00626	mabo:NF82_07390
ko:K05838	mabo:NF82_07400
ko:K00700	mabo:NF82_07410
ko:K16147	mabo:NF82_07415
ko:K00688	mabo:NF82_07420
ko:K08281	mabo:NF82_07435
ko:K00763	mabo:NF82_07445
ko:K06891	mabo:NF82_07450
ko:K01776	mabo:NF82_07485
ko:K00989	mabo:NF82_07495
ko:K02428	mabo:NF82_07500
ko:K00666	mabo:NF82_07525
ko:K03710	mabo:NF82_07570
ko:K03070	mabo:NF82_11995
ko:K02437	mabo:NF82_12020
ko:K08999	mabo:NF82_12035
ko:K00281	mabo:NF82_12045
ko:K01638	mabo:NF82_12055
ko:K00088	mabo:NF82_12070
ko:K00033	mabo:NF82_12075
ko:K01430	mabo:NF82_12125
ko:K01429	mabo:NF82_12130
ko:K01428	mabo:NF82_12135
ko:K03188	mabo:NF82_12140
ko:K03189	mabo:NF82_12145
ko:K03190	mabo:NF82_12150
ko:K03885	mabo:NF82_12155
ko:K02020	mabo:NF82_12175
ko:K02018	mabo:NF82_12180
ko:K02017	mabo:NF82_12185
ko:K06199	mabo:NF82_12205
ko:K06199	mabo:NF82_12210
ko:K03742	mabo:NF82_12225
ko:K06911	mabo:NF82_12240
ko:K01704	mabo:NF82_16475
ko:K01703	mabo:NF82_16480
ko:K01885	mabo:NF82_16510
ko:K00052	mabo:NF82_16535
ko:K00058	mabo:NF82_16540
ko:K10679	mabo:NF82_16570
ko:K00053	mabo:NF82_16625
ko:K01653	mabo:NF82_16630
ko:K01652	mabo:NF82_16635
ko:K03718	mabo:NF82_16655
ko:K00480	mabo:NF82_16670
ko:K15977	mabo:NF82_16680
ko:K02434	mabo:NF82_16690
ko:K03929	mabo:NF82_16700
ko:K02433	mabo:NF82_16730
ko:K02435	mabo:NF82_16735
ko:K01972	mabo:NF82_16750
ko:K03147	mabo:NF82_21020
ko:K00941	mabo:NF82_21025
ko:K07020	mabo:NF82_21030
ko:K03885	mabo:NF82_21035
ko:K03088	mabo:NF82_21040
ko:K09684	mabo:NF82_21050
ko:K00276	mabo:NF82_21060
ko:K07250	mabo:NF82_21075
ko:K00135	mabo:NF82_21080
ko:K03149	mabo:NF82_21120
ko:K03154	mabo:NF82_21125
ko:K03153	mabo:NF82_21130
ko:K00788	mabo:NF82_21135
ko:K03574	mabo:NF82_21145
ko:K02030	mabo:NF82_21155
ko:K14949	mabo:NF82_21160
ko:K00925	mabo:NF82_21165
ko:K13788	mabo:NF82_21170
ko:K01191	mabo:NF82_21175
ko:K02030	mabo:NF82_21220
ko:K02028	mabo:NF82_21225
ko:K02029	mabo:NF82_21230
ko:K06994	mabo:NF82_21240
ko:K10764	mabo:NF82_21250
ko:K08289	mabo:NF82_21265
ko:K03316	mabo:NF82_21270
ko:K10536	mabo:NF82_02970
ko:K06188	mabo:NF82_02975
ko:K18687	mabo:NF82_03010
ko:K00059	mabo:NF82_03020
ko:K00626	mabo:NF82_03030
ko:K01692	mabo:NF82_03060
ko:K15981	mabo:NF82_03085
ko:K00626	mabo:NF82_03090
ko:K15981	mabo:NF82_03095
ko:K16051	mabo:NF82_03145
ko:K02554	mabo:NF82_03150
ko:K04073	mabo:NF82_03155
ko:K01666	mabo:NF82_03160
ko:K05571	mabo:NF82_03180
ko:K05570	mabo:NF82_03185
ko:K05569	mabo:NF82_03190
ko:K05568	mabo:NF82_03195
ko:K05567	mabo:NF82_03200
ko:K05565	mabo:NF82_03205
ko:K13525	mabo:NF82_03210
ko:K17103	mabo:NF82_03215
ko:K01613	mabo:NF82_03220
ko:K03750	mabo:NF82_03225
ko:K11081	mabo:NF82_07590
ko:K11084	mabo:NF82_07595
ko:K11083	mabo:NF82_07600
ko:K11082	mabo:NF82_07605
ko:K11533	mabo:NF82_07645
ko:K00997	mabo:NF82_07650
ko:K03564	mabo:NF82_07660
ko:K06994	mabo:NF82_07685
ko:K14237	mabo:NF82_09420
ko:K06221	mabo:NF82_07725
ko:K13288	mabo:NF82_07755
ko:K06915	mabo:NF82_07760
ko:K07124	mabo:NF82_07775
ko:K06902	mabo:NF82_07780
ko:K11103	mabo:NF82_07790
ko:K00955	mabo:NF82_07810
ko:K00957	mabo:NF82_07815
ko:K06959	mabo:NF82_07835
ko:K02351	mabo:NF82_07875
ko:K07245	mabo:NF82_07875
ko:K06153	mabo:NF82_12265
ko:K02045	mabo:NF82_12320
ko:K02051	mabo:NF82_12325
ko:K02050	mabo:NF82_12330
ko:K03891	mabo:NF82_12350
ko:K03782	mabo:NF82_12365
ko:K07225	mabo:NF82_12435
ko:K00380	mabo:NF82_12440
ko:K00265	mabo:NF82_12445
ko:K00380	mabo:NF82_12475
ko:K01692	mabo:NF82_16775
ko:K04719	mabo:NF82_16780
ko:K06901	mabo:NF82_16790
ko:K03921	mabo:NF82_16795
ko:K00566	mabo:NF82_16805
ko:K04487	mabo:NF82_16810
ko:K03522	mabo:NF82_16835
ko:K03521	mabo:NF82_16840
ko:K16149	mabo:NF82_16850
ko:K16150	mabo:NF82_16855
ko:K12421	mabo:NF82_16860
ko:K07044	mabo:NF82_16890
ko:K07044	mabo:NF82_16895
ko:K01692	mabo:NF82_16935
ko:K02013	mabo:NF82_16945
ko:K01079	mabo:NF82_16965
ko:K02274	mabo:NF82_16970
ko:K02016	mabo:NF82_16975
ko:K11939	mabo:NF82_17005
ko:K02471	mabo:NF82_17020
ko:K13979	mabo:NF82_17025
ko:K01939	mabo:NF82_21285
ko:K01624	mabo:NF82_21310
ko:K03975	mabo:NF82_21315
ko:K07107	mabo:NF82_21320
ko:K00762	mabo:NF82_21340
ko:K07124	mabo:NF82_21345
ko:K06994	mabo:NF82_21355
ko:K03695	mabo:NF82_21365
ko:K13640	mabo:NF82_21390
ko:K03686	mabo:NF82_21395
ko:K03687	mabo:NF82_21400
ko:K04043	mabo:NF82_21405
ko:K15977	mabo:NF82_21490
ko:K14260	mabo:NF82_21515
ko:K00012	mabo:NF82_21520
ko:K01494	mabo:NF82_21530
ko:K07407	mabo:NF82_21560
ko:K04077	mabo:NF82_03275
ko:K03924	mabo:NF82_03290
ko:K12422	mabo:NF82_03330
ko:K00389	mabo:NF82_03380
ko:K02484	mabo:NF82_03400
ko:K15268	mabo:NF82_03410
ko:K01945	mabo:NF82_03435
ko:K01756	mabo:NF82_03460
ko:K01923	mabo:NF82_03470
ko:K01354	mabo:NF82_03475
ko:K00432	mabo:NF82_03490
ko:K06986	mabo:NF82_03495
ko:K07077	mabo:NF82_03500
ko:K01952	mabo:NF82_03510
ko:K01952	mabo:NF82_03515
ko:K07223	mabo:NF82_03525
ko:K15371	mabo:NF82_07895
ko:K07107	mabo:NF82_07900
ko:K06911	mabo:NF82_07910
ko:K01187	mabo:NF82_07915
ko:K06886	mabo:NF82_07920
ko:K01256	mabo:NF82_07945
ko:K01808	mabo:NF82_07960
ko:K05522	mabo:NF82_07965
ko:K18851	mabo:NF82_07985
ko:K03545	mabo:NF82_08000
ko:K01358	mabo:NF82_08005
ko:K01358	mabo:NF82_08010
ko:K03544	mabo:NF82_08015
ko:K02379	mabo:NF82_08060
ko:K00174	mabo:NF82_08070
ko:K00175	mabo:NF82_08075
ko:K03752	mabo:NF82_08090
ko:K01873	mabo:NF82_08115
ko:K11754	mabo:NF82_08120
ko:K00940	mabo:NF82_08130
ko:K02888	mabo:NF82_08150
ko:K02899	mabo:NF82_08155
ko:K03979	mabo:NF82_08160
ko:K00931	mabo:NF82_08165
ko:K02493	mabo:NF82_12560
ko:K03090	mabo:NF82_12565
ko:K02039	mabo:NF82_12635
ko:K03781	mabo:NF82_12660
ko:K16234	mabo:NF82_12680
ko:K00156	mabo:NF82_12685
ko:K10536	mabo:NF82_12720
ko:K12251	mabo:NF82_12725
ko:K03921	mabo:NF82_12745
ko:K06048	mabo:NF82_12785
ko:K01596	mabo:NF82_12800
ko:K01673	mabo:NF82_12815
ko:K03647	mabo:NF82_17100
ko:K01916	mabo:NF82_17125
ko:K03088	mabo:NF82_17170
ko:K10974	mabo:NF82_17190
ko:K12410	mabo:NF82_17235
ko:K01835	mabo:NF82_17285
ko:K03929	mabo:NF82_17295
ko:K03929	mabo:NF82_17300
ko:K01130	mabo:NF82_21575
ko:K09956	mabo:NF82_21580
ko:K08372	mabo:NF82_21585
ko:K00135	mabo:NF82_21655
ko:K00666	mabo:NF82_21745
ko:K03574	mabo:NF82_21755
ko:K15371	mabo:NF82_21765
ko:K15372	mabo:NF82_21770
ko:K00140	mabo:NF82_21775
ko:K09684	mabo:NF82_21780
ko:K09967	mabo:NF82_21790
ko:K09019	mabo:NF82_21815
ko:K04090	mabo:NF82_21825
ko:K00666	mabo:NF82_21850
ko:K01952	mabo:NF82_03555
ko:K07052	mabo:NF82_03565
ko:K00764	mabo:NF82_03585
ko:K02035	mabo:NF82_03615
ko:K02033	mabo:NF82_03620
ko:K02034	mabo:NF82_03625
ko:K02031	mabo:NF82_03630
ko:K02032	mabo:NF82_03630
ko:K01426	mabo:NF82_03640
ko:K00215	mabo:NF82_03655
ko:K01933	mabo:NF82_03660
ko:K06980	mabo:NF82_03670
ko:K02619	mabo:NF82_03675
ko:K01011	mabo:NF82_03725
ko:K15520	mabo:NF82_03750
ko:K02040	mabo:NF82_03755
ko:K02037	mabo:NF82_03760
ko:K02038	mabo:NF82_03765
ko:K02036	mabo:NF82_03770
ko:K02039	mabo:NF82_03780
ko:K03921	mabo:NF82_03795
ko:K00074	mabo:NF82_03820
ko:K00852	mabo:NF82_08185
ko:K00147	mabo:NF82_08190
ko:K07161	mabo:NF82_08200
ko:K00969	mabo:NF82_08205
ko:K09710	mabo:NF82_08210
ko:K02237	mabo:NF82_08230
ko:K02238	mabo:NF82_08235
ko:K02340	mabo:NF82_08265
ko:K02968	mabo:NF82_08270
ko:K03596	mabo:NF82_08300
ko:K00459	mabo:NF82_08305
ko:K02048	mabo:NF82_08360
ko:K02046	mabo:NF82_08365
ko:K02047	mabo:NF82_08370
ko:K02045	mabo:NF82_08375
ko:K00956	mabo:NF82_08395
ko:K00957	mabo:NF82_08400
ko:K00390	mabo:NF82_08405
ko:K00392	mabo:NF82_08410
ko:K03705	mabo:NF82_08425
ko:K03686	mabo:NF82_08430
ko:K09761	mabo:NF82_08435
ko:K07042	mabo:NF82_08445
ko:K03325	mabo:NF82_12830
ko:K02069	mabo:NF82_12840
ko:K05712	mabo:NF82_12855
ko:K00666	mabo:NF82_12860
ko:K02484	mabo:NF82_12900
ko:K06720	mabo:NF82_12915
ko:K09771	mabo:NF82_12970
ko:K03294	mabo:NF82_12975
ko:K00666	mabo:NF82_13020
ko:K18653	mabo:NF82_13025
ko:K18654	mabo:NF82_13030
ko:K08174	mabo:NF82_13040
ko:K02274	mabo:NF82_13060
ko:K01996	mabo:NF82_13080
ko:K01995	mabo:NF82_13085
ko:K01998	mabo:NF82_13090
ko:K01997	mabo:NF82_13095
ko:K01999	mabo:NF82_13100
ko:K13993	mabo:NF82_17365
ko:K01652	mabo:NF82_17380
ko:K00135	mabo:NF82_17385
ko:K03664	mabo:NF82_17395
ko:K09811	mabo:NF82_17400
ko:K09812	mabo:NF82_17405
ko:K02836	mabo:NF82_17420
ko:K00528	mabo:NF82_17440
ko:K05602	mabo:NF82_17455
ko:K03696	mabo:NF82_17490
ko:K09118	mabo:NF82_17530
ko:K07177	mabo:NF82_17535
ko:K03657	mabo:NF82_17595
ko:K03426	mabo:NF82_17605
ko:K16050	mabo:NF82_21875
ko:K05713	mabo:NF82_21905
ko:K02554	mabo:NF82_21910
ko:K04073	mabo:NF82_21915
ko:K01666	mabo:NF82_21920
ko:K01907	mabo:NF82_21925
ko:K00666	mabo:NF82_21930
ko:K01644	mabo:NF82_21935
ko:K05596	mabo:NF82_21950
ko:K06994	mabo:NF82_21955
ko:K06895	mabo:NF82_21975
ko:K00055	mabo:NF82_21985
ko:K02016	mabo:NF82_21995
ko:K09125	mabo:NF82_22005
ko:K03921	mabo:NF82_22050
ko:K04756	mabo:NF82_22065
ko:K03386	mabo:NF82_22070
ko:K04761	mabo:NF82_22075
ko:K01799	mabo:NF82_22095
ko:K02433	mabo:NF82_22105
ko:K00823	mabo:NF82_22115
ko:K00135	mabo:NF82_22120
ko:K07246	mabo:NF82_22125
ko:K08369	mabo:NF82_03880
ko:K00466	mabo:NF82_04135
ko:K15371	mabo:NF82_04145
ko:K01426	mabo:NF82_08470
ko:K03584	mabo:NF82_08475
ko:K03711	mabo:NF82_08490
ko:K00836	mabo:NF82_08520
ko:K13745	mabo:NF82_08525
ko:K01990	mabo:NF82_08545
ko:K01992	mabo:NF82_08550
ko:K02078	mabo:NF82_08555
ko:K00666	mabo:NF82_08560
ko:K02066	mabo:NF82_08565
ko:K02066	mabo:NF82_08570
ko:K02067	mabo:NF82_08580
ko:K07044	mabo:NF82_08605
ko:K01880	mabo:NF82_08610
ko:K15372	mabo:NF82_08615
ko:K01129	mabo:NF82_08635
ko:K06889	mabo:NF82_08655
ko:K07397	mabo:NF82_08655
ko:K16786	mabo:NF82_08670
ko:K16787	mabo:NF82_08670
ko:K16785	mabo:NF82_08675
ko:K02027	mabo:NF82_08680
ko:K02026	mabo:NF82_08685
ko:K02025	mabo:NF82_08690
ko:K03568	mabo:NF82_08695
ko:K00425	mabo:NF82_13125
ko:K00426	mabo:NF82_13130
ko:K16013	mabo:NF82_13135
ko:K16012	mabo:NF82_13140
ko:K10805	mabo:NF82_13165
ko:K00873	mabo:NF82_13170
ko:K01695	mabo:NF82_13190
ko:K01696	mabo:NF82_13195
ko:K01609	mabo:NF82_13200
ko:K01657	mabo:NF82_13210
ko:K06994	mabo:NF82_13225
ko:K01673	mabo:NF82_13255
ko:K00274	mabo:NF82_13270
ko:K02503	mabo:NF82_13275
ko:K03564	mabo:NF82_13285
ko:K01496	mabo:NF82_13290
ko:K02500	mabo:NF82_13295
ko:K01092	mabo:NF82_13300
ko:K01814	mabo:NF82_13305
ko:K01817	mabo:NF82_13305
ko:K02501	mabo:NF82_13310
ko:K01693	mabo:NF82_13315
ko:K00817	mabo:NF82_13320
ko:K00013	mabo:NF82_13325
ko:K00767	mabo:NF82_13335
ko:K00278	mabo:NF82_13340
ko:K03517	mabo:NF82_13345
ko:K10716	mabo:NF82_17610
ko:K03657	mabo:NF82_17615
ko:K01719	mabo:NF82_17640
ko:K00363	mabo:NF82_17645
ko:K00362	mabo:NF82_17650
ko:K02575	mabo:NF82_17655
ko:K02361	mabo:NF82_17715
ko:K03088	mabo:NF82_17755
ko:K00800	mabo:NF82_17770
ko:K06949	mabo:NF82_17775
ko:K00508	mabo:NF82_17780
ko:K01649	mabo:NF82_17805
ko:K00077	mabo:NF82_17810
ko:K06994	mabo:NF82_17845
ko:K06133	mabo:NF82_17885
ko:K00239	mabo:NF82_22140
ko:K00240	mabo:NF82_22145
ko:K00626	mabo:NF82_22240
ko:K00059	mabo:NF82_22245
ko:K02048	mabo:NF82_22260
ko:K07044	mabo:NF82_22280
ko:K01207	mabo:NF82_22315
ko:K03088	mabo:NF82_22320
ko:K16648	mabo:NF82_22385
ko:K21672	mabo:NF82_23195
ko:K14234	mabo:NF82_19540
ko:K14224	mabo:NF82_03955
