ko:K09796	mak:LH56_12580
ko:K07250	mak:LH56_03150
ko:K00276	mak:LH56_03165
ko:K09684	mak:LH56_03175
ko:K03088	mak:LH56_03185
ko:K03885	mak:LH56_03190
ko:K07020	mak:LH56_03195
ko:K00941	mak:LH56_03200
ko:K03147	mak:LH56_03205
ko:K01142	mak:LH56_03240
ko:K01462	mak:LH56_03250
ko:K06048	mak:LH56_03270
ko:K00955	mak:LH56_03275
ko:K00957	mak:LH56_03280
ko:K07560	mak:LH56_03310
ko:K15982	mak:LH56_03320
ko:K00528	mak:LH56_03330
ko:K00626	mak:LH56_03340
ko:K07068	mak:LH56_03350
ko:K07157	mak:LH56_03360
ko:K01692	mak:LH56_03365
ko:K00666	mak:LH56_03385
ko:K05337	mak:LH56_03400
ko:K00059	mak:LH56_03405
ko:K02066	mak:LH56_03410
ko:K02066	mak:LH56_03415
ko:K03320	mak:LH56_07925
ko:K04751	mak:LH56_07930
ko:K00990	mak:LH56_07935
ko:K03106	mak:LH56_07940
ko:K07258	mak:LH56_07955
ko:K02959	mak:LH56_07980
ko:K06960	mak:LH56_07985
ko:K02860	mak:LH56_07990
ko:K00554	mak:LH56_07995
ko:K02884	mak:LH56_08005
ko:K03100	mak:LH56_08010
ko:K03470	mak:LH56_08015
ko:K07460	mak:LH56_08055
ko:K07391	mak:LH56_08060
ko:K04096	mak:LH56_08065
ko:K01673	mak:LH56_08070
ko:K03733	mak:LH56_08105
ko:K06994	mak:LH56_08115
ko:K02967	mak:LH56_08140
ko:K02357	mak:LH56_08145
ko:K05350	mak:LH56_08160
ko:K03811	mak:LH56_08170
ko:K09903	mak:LH56_08180
ko:K02838	mak:LH56_08185
ko:K00981	mak:LH56_08190
ko:K01061	mak:LH56_08205
ko:K06994	mak:LH56_12425
ko:K06994	mak:LH56_12435
ko:K00859	mak:LH56_12450
ko:K02945	mak:LH56_12455
ko:K14257	mak:LH56_12515
ko:K09251	mak:LH56_12540
ko:K06994	mak:LH56_12560
ko:K03449	mak:LH56_12570
ko:K06718	mak:LH56_12605
ko:K00836	mak:LH56_12610
ko:K06720	mak:LH56_12615
ko:K10674	mak:LH56_12620
ko:K03762	mak:LH56_12625
ko:K14698	mak:LH56_12630
ko:K14699	mak:LH56_12635
ko:K04793	mak:LH56_12660
ko:K04789	mak:LH56_12665
ko:K04787	mak:LH56_12670
ko:K04781	mak:LH56_12680
ko:K02049	mak:LH56_12690
ko:K02050	mak:LH56_12695
ko:K02051	mak:LH56_12700
ko:K06200	mak:LH56_16780
ko:K03527	mak:LH56_16795
ko:K03601	mak:LH56_16805
ko:K03602	mak:LH56_16810
ko:K02446	mak:LH56_16825
ko:K01679	mak:LH56_16830
ko:K03088	mak:LH56_16840
ko:K07175	mak:LH56_16880
ko:K03922	mak:LH56_16885
ko:K00600	mak:LH56_16890
ko:K00867	mak:LH56_16900
ko:K03333	mak:LH56_16910
ko:K05845	mak:LH56_16930
ko:K05846	mak:LH56_16935
ko:K05847	mak:LH56_16940
ko:K05846	mak:LH56_16945
ko:K03929	mak:LH56_16955
ko:K01607	mak:LH56_16965
ko:K00128	mak:LH56_16980
ko:K05917	mak:LH56_17000
ko:K15981	mak:LH56_17015
ko:K12503	mak:LH56_17025
ko:K11068	mak:LH56_17030
ko:K06888	mak:LH56_17045
ko:K18455	mak:LH56_17055
ko:K00817	mak:LH56_21250
ko:K11717	mak:LH56_21265
ko:K16649	mak:LH56_21340
ko:K00375	mak:LH56_21370
ko:K16653	mak:LH56_21395
ko:K16652	mak:LH56_21400
ko:K13686	mak:LH56_21405
ko:K11387	mak:LH56_21410
ko:K11385	mak:LH56_21425
ko:K11386	mak:LH56_21430
ko:K16264	mak:LH56_21440
ko:K12437	mak:LH56_21455
ko:K12428	mak:LH56_21460
ko:K13687	mak:LH56_21485
ko:K14136	mak:LH56_21490
ko:K02067	mak:LH56_03420
ko:K02067	mak:LH56_03425
ko:K02067	mak:LH56_03430
ko:K02067	mak:LH56_03435
ko:K02067	mak:LH56_03440
ko:K02067	mak:LH56_03445
ko:K18481	mak:LH56_03450
ko:K18481	mak:LH56_03455
ko:K00697	mak:LH56_03460
ko:K01322	mak:LH56_03530
ko:K00382	mak:LH56_03545
ko:K01673	mak:LH56_03550
ko:K07110	mak:LH56_03590
ko:K06994	mak:LH56_03600
ko:K06994	mak:LH56_03605
ko:K00973	mak:LH56_03615
ko:K17947	mak:LH56_03630
ko:K05303	mak:LH56_03645
ko:K01637	mak:LH56_03715
ko:K00074	mak:LH56_03720
ko:K01941	mak:LH56_03725
ko:K09967	mak:LH56_03730
ko:K06941	mak:LH56_08245
ko:K00099	mak:LH56_08265
ko:K06976	mak:LH56_08280
ko:K01265	mak:LH56_08300
ko:K02232	mak:LH56_08305
ko:K00116	mak:LH56_08325
ko:K02348	mak:LH56_08330
ko:K03404	mak:LH56_08335
ko:K02224	mak:LH56_08345
ko:K06994	mak:LH56_08375
ko:K12433	mak:LH56_08385
ko:K16785	mak:LH56_08400
ko:K16786	mak:LH56_08405
ko:K16787	mak:LH56_08405
ko:K02302	mak:LH56_08410
ko:K01881	mak:LH56_08425
ko:K09748	mak:LH56_08445
ko:K02600	mak:LH56_08450
ko:K13771	mak:LH56_08455
ko:K05916	mak:LH56_08460
ko:K02519	mak:LH56_08480
ko:K02834	mak:LH56_08485
ko:K01692	mak:LH56_08515
ko:K03710	mak:LH56_12710
ko:K06978	mak:LH56_12795
ko:K04091	mak:LH56_12810
ko:K15553	mak:LH56_12815
ko:K15555	mak:LH56_12820
ko:K15554	mak:LH56_12825
ko:K06994	mak:LH56_12855
ko:K00721	mak:LH56_12875
ko:K03820	mak:LH56_12880
ko:K07113	mak:LH56_12890
ko:K07006	mak:LH56_12895
ko:K07006	mak:LH56_12900
ko:K02230	mak:LH56_12905
ko:K02229	mak:LH56_12910
ko:K06042	mak:LH56_12915
ko:K13540	mak:LH56_12920
ko:K05895	mak:LH56_12925
ko:K05936	mak:LH56_12930
ko:K00595	mak:LH56_12935
ko:K03727	mak:LH56_12965
ko:K03118	mak:LH56_12970
ko:K03116	mak:LH56_12975
ko:K13573	mak:LH56_12980
ko:K03624	mak:LH56_17065
ko:K01754	mak:LH56_17075
ko:K01739	mak:LH56_17085
ko:K01697	mak:LH56_17095
ko:K00626	mak:LH56_17110
ko:K08289	mak:LH56_17115
ko:K00140	mak:LH56_17125
ko:K01692	mak:LH56_17135
ko:K01692	mak:LH56_17145
ko:K07090	mak:LH56_17240
ko:K01524	mak:LH56_17250
ko:K09009	mak:LH56_17255
ko:K01689	mak:LH56_17265
ko:K07243	mak:LH56_17275
ko:K07224	mak:LH56_17280
ko:K16301	mak:LH56_17285
ko:K16301	mak:LH56_17290
ko:K07243	mak:LH56_17295
ko:K02428	mak:LH56_17300
ko:K03723	mak:LH56_17305
ko:K01586	mak:LH56_17310
ko:K04042	mak:LH56_17355
ko:K16650	mak:LH56_21500
ko:K01854	mak:LH56_21505
ko:K00459	mak:LH56_21560
ko:K14952	mak:LH56_21575
ko:K01875	mak:LH56_21590
ko:K07507	mak:LH56_21625
ko:K00156	mak:LH56_21675
ko:K04518	mak:LH56_21690
ko:K01126	mak:LH56_21740
ko:K07304	mak:LH56_21755
ko:K04564	mak:LH56_21765
ko:K07156	mak:LH56_21805
ko:K02553	mak:LH56_21820
ko:K09967	mak:LH56_03735
ko:K00574	mak:LH56_03750
ko:K16645	mak:LH56_03775
ko:K01619	mak:LH56_03800
ko:K14953	mak:LH56_03820
ko:K00075	mak:LH56_03860
ko:K15521	mak:LH56_03900
ko:K01834	mak:LH56_03940
ko:K07768	mak:LH56_03945
ko:K07776	mak:LH56_03950
ko:K02067	mak:LH56_04010
ko:K02067	mak:LH56_04025
ko:K02067	mak:LH56_04030
ko:K03177	mak:LH56_08555
ko:K03709	mak:LH56_08570
ko:K11753	mak:LH56_08575
ko:K02956	mak:LH56_08580
ko:K00962	mak:LH56_08590
ko:K00259	mak:LH56_08620
ko:K01673	mak:LH56_08630
ko:K00215	mak:LH56_08640
ko:K09927	mak:LH56_08680
ko:K01714	mak:LH56_08695
ko:K12574	mak:LH56_08700
ko:K03466	mak:LH56_08745
ko:K00619	mak:LH56_08755
ko:K00995	mak:LH56_08760
ko:K10533	mak:LH56_08795
ko:K10533	mak:LH56_08800
ko:K13571	mak:LH56_12995
ko:K10831	mak:LH56_13020
ko:K15551	mak:LH56_13025
ko:K15552	mak:LH56_13030
ko:K03432	mak:LH56_13045
ko:K03433	mak:LH56_13050
ko:K13570	mak:LH56_13055
ko:K00817	mak:LH56_13070
ko:K00648	mak:LH56_13075
ko:K01652	mak:LH56_13085
ko:K03088	mak:LH56_13095
ko:K13527	mak:LH56_13100
ko:K07442	mak:LH56_13115
ko:K03921	mak:LH56_13125
ko:K06978	mak:LH56_13130
ko:K02066	mak:LH56_13175
ko:K00508	mak:LH56_13180
ko:K00343	mak:LH56_13185
ko:K00342	mak:LH56_13190
ko:K00341	mak:LH56_13195
ko:K00340	mak:LH56_13200
ko:K00339	mak:LH56_13205
ko:K00338	mak:LH56_13210
ko:K00337	mak:LH56_13215
ko:K00334	mak:LH56_13230
ko:K00333	mak:LH56_13235
ko:K00332	mak:LH56_13240
ko:K00331	mak:LH56_13245
ko:K00330	mak:LH56_13250
ko:K00765	mak:LH56_13260
ko:K01523	mak:LH56_13265
ko:K00948	mak:LH56_17360
ko:K02897	mak:LH56_17380
ko:K01056	mak:LH56_17385
ko:K11608	mak:LH56_17390
ko:K00666	mak:LH56_17395
ko:K00919	mak:LH56_17400
ko:K06994	mak:LH56_17420
ko:K11738	mak:LH56_17430
ko:K02528	mak:LH56_17435
ko:K03424	mak:LH56_17445
ko:K01874	mak:LH56_17450
ko:K03088	mak:LH56_17460
ko:K01665	mak:LH56_17470
ko:K07056	mak:LH56_17475
ko:K01478	mak:LH56_17485
ko:K07044	mak:LH56_17510
ko:K12343	mak:LH56_17515
ko:K07006	mak:LH56_17530
ko:K07090	mak:LH56_17540
ko:K03790	mak:LH56_17570
ko:K03750	mak:LH56_17575
ko:K00963	mak:LH56_17580
ko:K01934	mak:LH56_17585
ko:K03282	mak:LH56_17600
ko:K08372	mak:LH56_17615
ko:K07653	mak:LH56_17620
ko:K07669	mak:LH56_17625
ko:K02911	mak:LH56_17630
ko:K10215	mak:LH56_21840
ko:K15981	mak:LH56_21850
ko:K04477	mak:LH56_21870
ko:K13671	mak:LH56_21875
ko:K01265	mak:LH56_21885
ko:K00266	mak:LH56_21895
ko:K00265	mak:LH56_21900
ko:K07044	mak:LH56_21910
ko:K01077	mak:LH56_21920
ko:K01011	mak:LH56_22000
ko:K08987	mak:LH56_22005
ko:K17883	mak:LH56_22045
ko:K03578	mak:LH56_22065
ko:K11921	mak:LH56_22070
ko:K01725	mak:LH56_22075
ko:K02066	mak:LH56_04040
ko:K02066	mak:LH56_04045
ko:K07044	mak:LH56_04060
ko:K07044	mak:LH56_04075
ko:K18455	mak:LH56_04105
ko:K01524	mak:LH56_04115
ko:K00286	mak:LH56_04155
ko:K01784	mak:LH56_04165
ko:K02371	mak:LH56_04175
ko:K02492	mak:LH56_04215
ko:K01749	mak:LH56_04220
ko:K13542	mak:LH56_04225
ko:K01698	mak:LH56_04230
ko:K17686	mak:LH56_04260
ko:K07090	mak:LH56_04270
ko:K07386	mak:LH56_04275
ko:K01845	mak:LH56_04285
ko:K06196	mak:LH56_04300
ko:K07399	mak:LH56_04305
ko:K10215	mak:LH56_04340
ko:K03565	mak:LH56_08820
ko:K07006	mak:LH56_08840
ko:K09958	mak:LH56_08845
ko:K10007	mak:LH56_08850
ko:K10006	mak:LH56_08855
ko:K10005	mak:LH56_08860
ko:K10008	mak:LH56_08865
ko:K06168	mak:LH56_08880
ko:K00791	mak:LH56_08900
ko:K01778	mak:LH56_08905
ko:K03665	mak:LH56_08910
ko:K08351	mak:LH56_08915
ko:K03823	mak:LH56_08925
ko:K01356	mak:LH56_08930
ko:K07738	mak:LH56_08940
ko:K00322	mak:LH56_08960
ko:K03709	mak:LH56_08975
ko:K03087	mak:LH56_08980
ko:K07058	mak:LH56_08995
ko:K09930	mak:LH56_09010
ko:K00567	mak:LH56_09060
ko:K03086	mak:LH56_09075
ko:K00886	mak:LH56_09080
ko:K01092	mak:LH56_09085
ko:K00548	mak:LH56_13275
ko:K04788	mak:LH56_13300
ko:K04792	mak:LH56_13305
ko:K04789	mak:LH56_13310
ko:K04790	mak:LH56_13320
ko:K04791	mak:LH56_13325
ko:K15526	mak:LH56_13340
ko:K01082	mak:LH56_13345
ko:K06153	mak:LH56_13380
ko:K00254	mak:LH56_13400
ko:K06910	mak:LH56_13405
ko:K08224	mak:LH56_13425
ko:K06994	mak:LH56_13430
ko:K00645	mak:LH56_13445
ko:K00059	mak:LH56_13455
ko:K09458	mak:LH56_13465
ko:K09458	mak:LH56_13475
ko:K02221	mak:LH56_13515
ko:K09772	mak:LH56_13535
ko:K06997	mak:LH56_13540
ko:K05810	mak:LH56_13545
ko:K03531	mak:LH56_13550
ko:K03589	mak:LH56_13555
ko:K01924	mak:LH56_13560
ko:K01965	mak:LH56_17650
ko:K01692	mak:LH56_17660
ko:K02471	mak:LH56_17680
ko:K00602	mak:LH56_17685
ko:K11175	mak:LH56_17690
ko:K17228	mak:LH56_17705
ko:K01902	mak:LH56_17720
ko:K01903	mak:LH56_17725
ko:K03657	mak:LH56_17735
ko:K04093	mak:LH56_17740
ko:K01810	mak:LH56_17750
ko:K01628	mak:LH56_17760
ko:K01714	mak:LH56_17765
ko:K02274	mak:LH56_17775
ko:K10563	mak:LH56_17795
ko:K02228	mak:LH56_17800
ko:K10979	mak:LH56_17825
ko:K03322	mak:LH56_17830
ko:K01725	mak:LH56_17850
ko:K01664	mak:LH56_22190
ko:K03767	mak:LH56_22225
ko:K02469	mak:LH56_22255
ko:K00675	mak:LH56_22285
ko:K02470	mak:LH56_22320
ko:K03629	mak:LH56_22330
ko:K00033	mak:LH56_22335
ko:K02338	mak:LH56_22340
ko:K02548	mak:LH56_04385
ko:K04564	mak:LH56_04390
ko:K00772	mak:LH56_04395
ko:K01911	mak:LH56_04415
ko:K03306	mak:LH56_04425
ko:K01661	mak:LH56_04450
ko:K06975	mak:LH56_04465
ko:K06911	mak:LH56_04470
ko:K02549	mak:LH56_04495
ko:K02551	mak:LH56_04505
ko:K12583	mak:LH56_04515
ko:K03183	mak:LH56_04520
ko:K00805	mak:LH56_04530
ko:K03799	mak:LH56_04535
ko:K15983	mak:LH56_04580
ko:K00057	mak:LH56_04595
ko:K09767	mak:LH56_04610
ko:K07028	mak:LH56_04665
ko:K05520	mak:LH56_04670
ko:K04047	mak:LH56_04675
ko:K02913	mak:LH56_04690
ko:K03073	mak:LH56_04715
ko:K02601	mak:LH56_04720
ko:K02867	mak:LH56_04725
ko:K02863	mak:LH56_04730
ko:K03088	mak:LH56_04750
ko:K00803	mak:LH56_04770
ko:K00111	mak:LH56_04780
ko:K00574	mak:LH56_04785
ko:K02864	mak:LH56_04810
ko:K02935	mak:LH56_04815
ko:K11159	mak:LH56_04825
ko:K02065	mak:LH56_04840
ko:K03043	mak:LH56_04850
ko:K03046	mak:LH56_04855
ko:K09456	mak:LH56_04895
ko:K01692	mak:LH56_04900
ko:K02616	mak:LH56_04905
ko:K01692	mak:LH56_04910
ko:K03088	mak:LH56_09125
ko:K03499	mak:LH56_09145
ko:K03499	mak:LH56_09150
ko:K03313	mak:LH56_09165
ko:K01662	mak:LH56_09170
ko:K03684	mak:LH56_09180
ko:K01599	mak:LH56_09190
ko:K00231	mak:LH56_09195
ko:K07305	mak:LH56_09220
ko:K16647	mak:LH56_09225
ko:K06916	mak:LH56_09240
ko:K07044	mak:LH56_09280
ko:K15983	mak:LH56_09285
ko:K08167	mak:LH56_09320
ko:K09117	mak:LH56_09330
ko:K01477	mak:LH56_09360
ko:K11103	mak:LH56_09370
ko:K03457	mak:LH56_09380
ko:K16841	mak:LH56_09390
ko:K02563	mak:LH56_13565
ko:K03588	mak:LH56_13570
ko:K01925	mak:LH56_13575
ko:K01000	mak:LH56_13580
ko:K01929	mak:LH56_13585
ko:K01928	mak:LH56_13590
ko:K03587	mak:LH56_13595
ko:K03438	mak:LH56_13605
ko:K03925	mak:LH56_13610
ko:K00297	mak:LH56_13630
ko:K13787	mak:LH56_13635
ko:K14337	mak:LH56_13640
ko:K01626	mak:LH56_13660
ko:K13671	mak:LH56_13670
ko:K00655	mak:LH56_13675
ko:K01897	mak:LH56_13705
ko:K13668	mak:LH56_13715
ko:K02342	mak:LH56_13740
ko:K00766	mak:LH56_13745
ko:K02276	mak:LH56_13750
ko:K03889	mak:LH56_13755
ko:K03890	mak:LH56_13760
ko:K03891	mak:LH56_13765
ko:K02275	mak:LH56_13790
ko:K01953	mak:LH56_13795
ko:K00856	mak:LH56_13800
ko:K00865	mak:LH56_13815
ko:K02231	mak:LH56_13825
ko:K00768	mak:LH56_13830
ko:K02233	mak:LH56_13835
ko:K02066	mak:LH56_17960
ko:K02067	mak:LH56_17975
ko:K18481	mak:LH56_18000
ko:K00122	mak:LH56_18025
ko:K00537	mak:LH56_18055
ko:K06994	mak:LH56_18070
ko:K07107	mak:LH56_18095
ko:K02346	mak:LH56_18120
ko:K06996	mak:LH56_18125
ko:K09861	mak:LH56_18130
ko:K09959	mak:LH56_18140
ko:K00138	mak:LH56_18145
ko:K01692	mak:LH56_18205
ko:K07671	mak:LH56_18220
ko:K03710	mak:LH56_18235
ko:K00059	mak:LH56_18240
ko:K02950	mak:LH56_04940
ko:K03088	mak:LH56_00095
ko:K03980	mak:LH56_00100
ko:K00970	mak:LH56_00115
ko:K07090	mak:LH56_00120
ko:K07735	mak:LH56_00145
ko:K01869	mak:LH56_00170
ko:K07148	mak:LH56_00180
ko:K00161	mak:LH56_00195
ko:K00162	mak:LH56_00200
ko:K00627	mak:LH56_00205
ko:K11735	mak:LH56_00240
ko:K01858	mak:LH56_00250
ko:K02990	mak:LH56_00290
ko:K02963	mak:LH56_00300
ko:K02939	mak:LH56_00305
ko:K02992	mak:LH56_04945
ko:K02355	mak:LH56_04950
ko:K02358	mak:LH56_04955
ko:K00819	mak:LH56_04990
ko:K00101	mak:LH56_05030
ko:K03735	mak:LH56_05055
ko:K03736	mak:LH56_05060
ko:K00626	mak:LH56_05065
ko:K00275	mak:LH56_05080
ko:K02946	mak:LH56_05085
ko:K02906	mak:LH56_05090
ko:K02926	mak:LH56_05095
ko:K02892	mak:LH56_05100
ko:K02886	mak:LH56_05105
ko:K02965	mak:LH56_05110
ko:K02890	mak:LH56_05115
ko:K02982	mak:LH56_05120
ko:K02878	mak:LH56_05125
ko:K02904	mak:LH56_05130
ko:K02961	mak:LH56_05135
ko:K02874	mak:LH56_05155
ko:K02895	mak:LH56_05160
ko:K02931	mak:LH56_05165
ko:K02954	mak:LH56_05170
ko:K03929	mak:LH56_05175
ko:K00262	mak:LH56_05195
ko:K02994	mak:LH56_05205
ko:K02933	mak:LH56_05210
ko:K02881	mak:LH56_05215
ko:K02988	mak:LH56_05220
ko:K02907	mak:LH56_05225
ko:K02876	mak:LH56_05230
ko:K16840	mak:LH56_09405
ko:K07127	mak:LH56_09410
ko:K00365	mak:LH56_09415
ko:K01487	mak:LH56_09420
ko:K07402	mak:LH56_09440
ko:K11159	mak:LH56_09540
ko:K11738	mak:LH56_09545
ko:K00077	mak:LH56_09555
ko:K01868	mak:LH56_09610
ko:K00995	mak:LH56_09620
ko:K06215	mak:LH56_09640
ko:K10805	mak:LH56_09645
ko:K08681	mak:LH56_09650
ko:K01159	mak:LH56_09680
ko:K03550	mak:LH56_09685
ko:K03551	mak:LH56_09690
ko:K03210	mak:LH56_09695
ko:K03072	mak:LH56_09700
ko:K03074	mak:LH56_09705
ko:K02035	mak:LH56_09710
ko:K00826	mak:LH56_13845
ko:K00605	mak:LH56_13850
ko:K01255	mak:LH56_13855
ko:K09131	mak:LH56_13865
ko:K00658	mak:LH56_13870
ko:K07071	mak:LH56_13875
ko:K03801	mak:LH56_13880
ko:K03644	mak:LH56_13885
ko:K01915	mak:LH56_13930
ko:K05523	mak:LH56_13955
ko:K15977	mak:LH56_13960
ko:K15977	mak:LH56_13965
ko:K00982	mak:LH56_14010
ko:K01915	mak:LH56_14015
ko:K00606	mak:LH56_14035
ko:K03924	mak:LH56_14075
ko:K07226	mak:LH56_14095
ko:K07164	mak:LH56_14105
ko:K00817	mak:LH56_14115
ko:K01104	mak:LH56_14125
ko:K01647	mak:LH56_18280
ko:K06994	mak:LH56_18315
ko:K12423	mak:LH56_18325
ko:K00275	mak:LH56_18335
ko:K01647	mak:LH56_18340
ko:K04750	mak:LH56_18345
ko:K00528	mak:LH56_18350
ko:K00831	mak:LH56_18360
ko:K06889	mak:LH56_18385
ko:K02616	mak:LH56_18395
ko:K00389	mak:LH56_18405
ko:K14953	mak:LH56_18415
ko:K03704	mak:LH56_18480
ko:K03639	mak:LH56_18485
ko:K03635	mak:LH56_18510
ko:K03637	mak:LH56_18520
ko:K10843	mak:LH56_18540
ko:K06994	mak:LH56_00520
ko:K01569	mak:LH56_00530
ko:K01421	mak:LH56_00555
ko:K07001	mak:LH56_00570
ko:K07001	mak:LH56_00605
ko:K06994	mak:LH56_00630
ko:K17218	mak:LH56_00645
ko:K01644	mak:LH56_00680
ko:K04047	mak:LH56_00690
ko:K03088	mak:LH56_00700
ko:K04773	mak:LH56_05250
ko:K03076	mak:LH56_05275
ko:K00939	mak:LH56_05280
ko:K01265	mak:LH56_05285
ko:K01790	mak:LH56_05295
ko:K07192	mak:LH56_05310
ko:K02518	mak:LH56_05325
ko:K02919	mak:LH56_05330
ko:K02952	mak:LH56_05335
ko:K02948	mak:LH56_05340
ko:K02986	mak:LH56_05345
ko:K03040	mak:LH56_05350
ko:K02879	mak:LH56_05355
ko:K06173	mak:LH56_05360
ko:K14743	mak:LH56_05410
ko:K03466	mak:LH56_05420
ko:K02871	mak:LH56_05440
ko:K02996	mak:LH56_05445
ko:K03431	mak:LH56_05450
ko:K01113	mak:LH56_05455
ko:K00820	mak:LH56_05485
ko:K01580	mak:LH56_05500
ko:K01775	mak:LH56_05505
ko:K06925	mak:LH56_05515
ko:K03789	mak:LH56_05525
ko:K01409	mak:LH56_05530
ko:K04078	mak:LH56_05540
ko:K00759	mak:LH56_09715
ko:K00951	mak:LH56_09720
ko:K17836	mak:LH56_09725
ko:K03768	mak:LH56_09730
ko:K01892	mak:LH56_09740
ko:K07032	mak:LH56_09755
ko:K07054	mak:LH56_09765
ko:K03929	mak:LH56_09770
ko:K01876	mak:LH56_09775
ko:K01560	mak:LH56_09785
ko:K07089	mak:LH56_09795
ko:K07478	mak:LH56_09835
ko:K01872	mak:LH56_09845
ko:K07447	mak:LH56_09850
ko:K07082	mak:LH56_09855
ko:K00014	mak:LH56_09860
ko:K00598	mak:LH56_09875
ko:K02654	mak:LH56_09880
ko:K01736	mak:LH56_09885
ko:K00891	mak:LH56_09890
ko:K01735	mak:LH56_09895
ko:K03786	mak:LH56_09900
ko:K02356	mak:LH56_09915
ko:K03625	mak:LH56_09920
ko:K02825	mak:LH56_09940
ko:K00609	mak:LH56_09945
ko:K01465	mak:LH56_09950
ko:K01956	mak:LH56_09960
ko:K01955	mak:LH56_09965
ko:K01591	mak:LH56_09970
