ko:K19744	paeb:NCGM1900_1111
ko:K03587	paeb:NCGM1900_4258
ko:K06151	paeb:NCGM1900_4265
ko:K06152	paeb:NCGM1900_4266
ko:K00032	paeb:NCGM1900_4267
ko:K11441	paeb:NCGM1900_4269
ko:K02525	paeb:NCGM1900_4271
ko:K13482	paeb:NCGM1900_5058
ko:K07402	paeb:NCGM1900_5059
ko:K01487	paeb:NCGM1900_5060
ko:K06901	paeb:NCGM1900_5063
ko:K07127	paeb:NCGM1900_5064
ko:K01477	paeb:NCGM1900_5067
ko:K01483	paeb:NCGM1900_5068
ko:K11903	paeb:NCGM1900_5070
ko:K11904	paeb:NCGM1900_5071
ko:K03639	paeb:NCGM1900_5079
ko:K01608	paeb:NCGM1900_5082
ko:K00873	paeb:NCGM1900_5086
ko:K08717	paeb:NCGM1900_5087
ko:K10716	paeb:NCGM1900_5088
ko:K02048	paeb:NCGM1900_5091
ko:K04023	paeb:NCGM1900_5093
ko:K02444	paeb:NCGM1900_5094
ko:K00111	paeb:NCGM1900_5095
ko:K00864	paeb:NCGM1900_5097
ko:K01266	paeb:NCGM1900_5098
ko:K02200	paeb:NCGM1900_5102
ko:K02200	paeb:NCGM1900_5103
ko:K02199	paeb:NCGM1900_5104
ko:K02198	paeb:NCGM1900_5105
ko:K02197	paeb:NCGM1900_5106
ko:K02196	paeb:NCGM1900_5107
ko:K02195	paeb:NCGM1900_5108
ko:K02194	paeb:NCGM1900_5109
ko:K02193	paeb:NCGM1900_5110
ko:K07052	paeb:NCGM1900_5890
ko:K03797	paeb:NCGM1900_5892
ko:K09798	paeb:NCGM1900_5893
ko:K02030	paeb:NCGM1900_5895
ko:K02030	paeb:NCGM1900_5896
ko:K02030	paeb:NCGM1900_5897
ko:K02500	paeb:NCGM1900_5898
ko:K01814	paeb:NCGM1900_5899
ko:K02501	paeb:NCGM1900_5901
ko:K01693	paeb:NCGM1900_5902
ko:K03575	paeb:NCGM1900_5906
ko:K02028	paeb:NCGM1900_5930
ko:K02030	paeb:NCGM1900_5931
ko:K02029	paeb:NCGM1900_5932
ko:K02029	paeb:NCGM1900_5933
ko:K03543	paeb:NCGM1900_5937
ko:K03446	paeb:NCGM1900_5938
ko:K01579	paeb:NCGM1900_5461
ko:K01810	paeb:NCGM1900_5462
ko:K01895	paeb:NCGM1900_5463
ko:K04065	paeb:NCGM1900_5469
ko:K00962	paeb:NCGM1900_5470
ko:K02956	paeb:NCGM1900_5472
ko:K03177	paeb:NCGM1900_5473
ko:K02834	paeb:NCGM1900_5474
ko:K02519	paeb:NCGM1900_5475
ko:K02600	paeb:NCGM1900_5476
ko:K09748	paeb:NCGM1900_5477
ko:K00479	paeb:NCGM1900_6261
ko:K01620	paeb:NCGM1900_6264
ko:K00600	paeb:NCGM1900_6266
ko:K00303	paeb:NCGM1900_6267
ko:K00305	paeb:NCGM1900_6270
ko:K01433	paeb:NCGM1900_6271
ko:K00148	paeb:NCGM1900_6272
ko:K01792	paeb:NCGM1900_6273
ko:K09950	paeb:NCGM1900_6274
ko:K01589	paeb:NCGM1900_6276
ko:K01588	paeb:NCGM1900_6277
ko:K13953	paeb:NCGM1900_6279
ko:K01744	paeb:NCGM1900_6281
ko:K07112	paeb:NCGM1900_6283
ko:K00375	paeb:NCGM1900_6284
ko:K03835	paeb:NCGM1900_6287
ko:K01960	paeb:NCGM1900_6288
ko:K01959	paeb:NCGM1900_6289
ko:K00036	paeb:NCGM1900_6293
ko:K08303	paeb:NCGM1900_6294
ko:K03657	paeb:NCGM1900_6298
ko:K08978	paeb:NCGM1900_6299
ko:K18118	paeb:NCGM1900_6300
ko:K12995	paeb:NCGM1900_6302
ko:K12994	paeb:NCGM1900_6303
ko:K03086	paeb:NCGM1900_0590
ko:K09117	paeb:NCGM1900_0593
ko:K02970	paeb:NCGM1900_0594
ko:K01409	paeb:NCGM1900_0595
ko:K08591	paeb:NCGM1900_0596
ko:K01633	paeb:NCGM1900_0597
ko:K00950	paeb:NCGM1900_0598
ko:K00974	paeb:NCGM1900_0599
ko:K09786	paeb:NCGM1900_0602
ko:K07180	paeb:NCGM1900_0603
ko:K02439	paeb:NCGM1900_0605
ko:K01525	paeb:NCGM1900_0606
ko:K06195	paeb:NCGM1900_0607
ko:K02528	paeb:NCGM1900_0608
ko:K00097	paeb:NCGM1900_0609
ko:K03771	paeb:NCGM1900_0610
ko:K04744	paeb:NCGM1900_0611
ko:K07102	paeb:NCGM1900_0612
ko:K05801	paeb:NCGM1900_0614
ko:K02055	paeb:NCGM1900_0618
ko:K02052	paeb:NCGM1900_0619
ko:K02055	paeb:NCGM1900_0620
ko:K02054	paeb:NCGM1900_0621
ko:K02053	paeb:NCGM1900_0622
ko:K01783	paeb:NCGM1900_0623
ko:K01091	paeb:NCGM1900_0624
ko:K01657	paeb:NCGM1900_0625
ko:K07491	paeb:NCGM1900_1440
ko:K07483	paeb:NCGM1900_1441
ko:K14977	paeb:NCGM1900_1455
ko:K05523	paeb:NCGM1900_1460
ko:K08151	paeb:NCGM1900_1464
ko:K12990	paeb:NCGM1900_1465
ko:K12410	paeb:NCGM1900_1470
ko:K01129	paeb:NCGM1900_1471
ko:K01462	paeb:NCGM1900_1475
ko:K00243	paeb:NCGM1900_1481
ko:K06147	paeb:NCGM1900_1484
ko:K06182	paeb:NCGM1900_1491
ko:K06991	paeb:NCGM1900_1959
ko:K01560	paeb:NCGM1900_1966
ko:K03322	paeb:NCGM1900_1967
ko:K03417	paeb:NCGM1900_1980
ko:K01659	paeb:NCGM1900_1981
ko:K01720	paeb:NCGM1900_1984
ko:K07090	paeb:NCGM1900_1986
ko:K11741	paeb:NCGM1900_1992
ko:K01118	paeb:NCGM1900_1993
ko:K11928	paeb:NCGM1900_1995
ko:K13821	paeb:NCGM1900_1996
ko:K02014	paeb:NCGM1900_1997
ko:K01039	paeb:NCGM1900_0217
ko:K01040	paeb:NCGM1900_0218
ko:K07823	paeb:NCGM1900_0219
ko:K01857	paeb:NCGM1900_0221
ko:K01055	paeb:NCGM1900_0222
ko:K01607	paeb:NCGM1900_0223
ko:K08195	paeb:NCGM1900_0226
ko:K08191	paeb:NCGM1900_0232
ko:K00457	paeb:NCGM1900_0233
ko:K00014	paeb:NCGM1900_0235
ko:K03786	paeb:NCGM1900_0236
ko:K00481	paeb:NCGM1900_0238
ko:K18954	paeb:NCGM1900_0239
ko:K03827	paeb:NCGM1900_0240
ko:K03182	paeb:NCGM1900_0245
ko:K11904	paeb:NCGM1900_0254
ko:K11903	paeb:NCGM1900_0255
ko:K00135	paeb:NCGM1900_0258
ko:K14268	paeb:NCGM1900_0260
ko:K00375	paeb:NCGM1900_0263
ko:K03449	paeb:NCGM1900_0268
ko:K02837	paeb:NCGM1900_1069
ko:K16091	paeb:NCGM1900_1071
ko:K07165	paeb:NCGM1900_1072
ko:K03088	paeb:NCGM1900_1073
ko:K07506	paeb:NCGM1900_1074
ko:K00090	paeb:NCGM1900_1076
ko:K05847	paeb:NCGM1900_1082
ko:K05846	paeb:NCGM1900_1083
ko:K05845	paeb:NCGM1900_1084
ko:K05846	paeb:NCGM1900_1085
ko:K03316	paeb:NCGM1900_1086
ko:K07684	paeb:NCGM1900_1095
ko:K07673	paeb:NCGM1900_1096
ko:K02575	paeb:NCGM1900_1097
ko:K02575	paeb:NCGM1900_1098
ko:K00370	paeb:NCGM1900_1100
ko:K00371	paeb:NCGM1900_1101
ko:K00373	paeb:NCGM1900_1102
ko:K00374	paeb:NCGM1900_1103
ko:K03769	paeb:NCGM1900_1104
ko:K03639	paeb:NCGM1900_1105
ko:K02014	paeb:NCGM1900_1107
ko:K10022	paeb:NCGM1900_1108
ko:K03732	paeb:NCGM1900_1112
ko:K00666	paeb:NCGM1900_1114
ko:K06999	paeb:NCGM1900_1115
ko:K09969	paeb:NCGM1900_1116
ko:K01004	paeb:NCGM1900_1117
ko:K01974	paeb:NCGM1900_2425
ko:K00428	paeb:NCGM1900_2427
ko:K00262	paeb:NCGM1900_2428
ko:K06076	paeb:NCGM1900_2430
ko:K02004	paeb:NCGM1900_2434
ko:K02003	paeb:NCGM1900_2435
ko:K08721	paeb:NCGM1900_2439
ko:K18296	paeb:NCGM1900_2440
ko:K18295	paeb:NCGM1900_2441
ko:K18294	paeb:NCGM1900_2442
ko:K00600	paeb:NCGM1900_2444
ko:K06200	paeb:NCGM1900_2449
ko:K04485	paeb:NCGM1900_2452
ko:K09794	paeb:NCGM1900_2454
ko:K03781	paeb:NCGM1900_2456
ko:K03781	paeb:NCGM1900_2457
ko:K03282	paeb:NCGM1900_2458
ko:K00528	paeb:NCGM1900_2459
ko:K11688	paeb:NCGM1900_2460
ko:K07141	paeb:NCGM1900_2462
ko:K07402	paeb:NCGM1900_2463
ko:K00018	paeb:NCGM1900_2472
ko:K00564	paeb:NCGM1900_2473
ko:K11733	paeb:NCGM1900_2474
ko:K03752	paeb:NCGM1900_3273
ko:K03638	paeb:NCGM1900_3274
ko:K03750	paeb:NCGM1900_3275
ko:K00803	paeb:NCGM1900_3277
ko:K00111	paeb:NCGM1900_3278
ko:K07140	paeb:NCGM1900_3281
ko:K08309	paeb:NCGM1900_3283
ko:K15738	paeb:NCGM1900_3285
ko:K06149	paeb:NCGM1900_3287
ko:K01825	paeb:NCGM1900_3291
ko:K03168	paeb:NCGM1900_3294
ko:K13053	paeb:NCGM1900_3297
ko:K01356	paeb:NCGM1900_3298
ko:K01207	paeb:NCGM1900_3300
ko:K03723	paeb:NCGM1900_3303
ko:K00134	paeb:NCGM1900_3304
ko:K11734	paeb:NCGM1900_3305
ko:K00346	paeb:NCGM1900_3306
ko:K00347	paeb:NCGM1900_3307
ko:K00348	paeb:NCGM1900_3308
ko:K00349	paeb:NCGM1900_3309
ko:K00350	paeb:NCGM1900_3310
ko:K00351	paeb:NCGM1900_3311
ko:K03734	paeb:NCGM1900_3312
ko:K05952	paeb:NCGM1900_3313
ko:K00322	paeb:NCGM1900_3314
ko:K01126	paeb:NCGM1900_3315
ko:K09808	paeb:NCGM1900_3318
ko:K09810	paeb:NCGM1900_3319
ko:K09808	paeb:NCGM1900_3320
ko:K09928	paeb:NCGM1900_3321
ko:K00836	paeb:NCGM1900_4117
ko:K09816	paeb:NCGM1900_4121
ko:K09817	paeb:NCGM1900_4122
ko:K09815	paeb:NCGM1900_4123
ko:K05685	paeb:NCGM1900_4139
ko:K13888	paeb:NCGM1900_4140
ko:K07165	paeb:NCGM1900_4141
ko:K03088	paeb:NCGM1900_4142
ko:K10531	paeb:NCGM1900_4143
ko:K07116	paeb:NCGM1900_4144
ko:K00101	paeb:NCGM1900_4147
ko:K07302	paeb:NCGM1900_4150
ko:K07303	paeb:NCGM1900_4151
ko:K11904	paeb:NCGM1900_4156
ko:K11907	paeb:NCGM1900_4159
ko:K11895	paeb:NCGM1900_4160
ko:K11896	paeb:NCGM1900_4161
ko:K11903	paeb:NCGM1900_4163
ko:K11900	paeb:NCGM1900_4164
ko:K11901	paeb:NCGM1900_4165
ko:K11918	paeb:NCGM1900_4166
ko:K11893	paeb:NCGM1900_4168
ko:K08296	paeb:NCGM1900_4958
ko:K00057	paeb:NCGM1900_4960
ko:K02014	paeb:NCGM1900_4961
ko:K01716	paeb:NCGM1900_4964
ko:K00647	paeb:NCGM1900_4965
ko:K03406	paeb:NCGM1900_4966
ko:K18029	paeb:NCGM1900_4972
ko:K00606	paeb:NCGM1900_4976
ko:K04079	paeb:NCGM1900_4978
ko:K03311	paeb:NCGM1900_4985
ko:K01902	paeb:NCGM1900_4986
ko:K01903	paeb:NCGM1900_4987
ko:K00382	paeb:NCGM1900_4988
ko:K00658	paeb:NCGM1900_4989
ko:K00164	paeb:NCGM1900_4990
ko:K00240	paeb:NCGM1900_4991
ko:K00239	paeb:NCGM1900_4992
ko:K00242	paeb:NCGM1900_4993
ko:K00241	paeb:NCGM1900_4994
ko:K01647	paeb:NCGM1900_4995
ko:K06940	paeb:NCGM1900_4997
ko:K09922	paeb:NCGM1900_4999
ko:K09913	paeb:NCGM1900_5002
ko:K09974	paeb:NCGM1900_5003
ko:K01599	paeb:NCGM1900_5789
ko:K00266	paeb:NCGM1900_5790
ko:K00265	paeb:NCGM1900_5791
ko:K03112	paeb:NCGM1900_5792
ko:K01735	paeb:NCGM1900_5793
ko:K00891	paeb:NCGM1900_5794
ko:K02666	paeb:NCGM1900_5795
ko:K02665	paeb:NCGM1900_5796
ko:K02664	paeb:NCGM1900_5797
ko:K02663	paeb:NCGM1900_5798
ko:K02662	paeb:NCGM1900_5799
ko:K05366	paeb:NCGM1900_5800
ko:K00029	paeb:NCGM1900_5801
ko:K02909	paeb:NCGM1900_5804
ko:K04066	paeb:NCGM1900_5805
ko:K01887	paeb:NCGM1900_5806
ko:K01419	paeb:NCGM1900_5808
ko:K03667	paeb:NCGM1900_5809
ko:K03821	paeb:NCGM1900_5812
ko:K03821	paeb:NCGM1900_5814
ko:K03183	paeb:NCGM1900_5819
ko:K03690	paeb:NCGM1900_5820
ko:K03688	paeb:NCGM1900_5821
ko:K01496	paeb:NCGM1900_5822
ko:K01523	paeb:NCGM1900_5823
ko:K03116	paeb:NCGM1900_5824
ko:K03117	paeb:NCGM1900_5825
ko:K03118	paeb:NCGM1900_5826
ko:K03406	paeb:NCGM1900_5829
ko:K02028	paeb:NCGM1900_5831
ko:K02029	paeb:NCGM1900_5832
ko:K02030	paeb:NCGM1900_5833
ko:K03669	paeb:NCGM1900_5834
ko:K03670	paeb:NCGM1900_5835
ko:K07560	paeb:NCGM1900_5836
ko:K01259	paeb:NCGM1900_5837
ko:K01338	paeb:NCGM1900_1999
ko:K14475	paeb:NCGM1900_2000
ko:K02030	paeb:NCGM1900_2001
ko:K15256	paeb:NCGM1900_2003
ko:K15257	paeb:NCGM1900_2004
ko:K05786	paeb:NCGM1900_2795
ko:K00027	paeb:NCGM1900_2798
ko:K16053	paeb:NCGM1900_2801
ko:K08369	paeb:NCGM1900_2802
ko:K09898	paeb:NCGM1900_2806
ko:K01953	paeb:NCGM1900_2810
ko:K07090	paeb:NCGM1900_2812
ko:K15461	paeb:NCGM1900_2813
ko:K09915	paeb:NCGM1900_2817
ko:K00116	paeb:NCGM1900_2818
ko:K15553	paeb:NCGM1900_2821
ko:K15554	paeb:NCGM1900_2822
ko:K15555	paeb:NCGM1900_2823
ko:K00299	paeb:NCGM1900_2824
ko:K15553	paeb:NCGM1900_2825
ko:K04091	paeb:NCGM1900_2826
ko:K15554	paeb:NCGM1900_2827
ko:K15555	paeb:NCGM1900_2828
ko:K09948	paeb:NCGM1900_2831
ko:K07589	paeb:NCGM1900_2832
ko:K01495	paeb:NCGM1900_2833
ko:K13938	paeb:NCGM1900_2834
ko:K09932	paeb:NCGM1900_2835
ko:K06205	paeb:NCGM1900_2836
ko:K06518	paeb:NCGM1900_2838
ko:K01692	paeb:NCGM1900_2844
ko:K06995	paeb:NCGM1900_2845
ko:K09471	paeb:NCGM1900_3640
ko:K03574	paeb:NCGM1900_3650
ko:K07223	paeb:NCGM1900_3654
ko:K06995	paeb:NCGM1900_3659
ko:K08276	paeb:NCGM1900_3666
ko:K07058	paeb:NCGM1900_3673
ko:K01150	paeb:NCGM1900_3677
ko:K18974	paeb:NCGM1900_3682
ko:K18975	paeb:NCGM1900_3683
ko:K18782	paeb:NCGM1900_3685
ko:K00019	paeb:NCGM1900_4484
ko:K02106	paeb:NCGM1900_4485
ko:K00626	paeb:NCGM1900_4486
ko:K01029	paeb:NCGM1900_4487
ko:K01028	paeb:NCGM1900_4488
ko:K17737	paeb:NCGM1900_4489
ko:K01907	paeb:NCGM1900_4490
ko:K03769	paeb:NCGM1900_4491
ko:K09957	paeb:NCGM1900_4493
ko:K06139	paeb:NCGM1900_4498
ko:K06138	paeb:NCGM1900_4499
ko:K06137	paeb:NCGM1900_4500
ko:K06136	paeb:NCGM1900_4501
ko:K06135	paeb:NCGM1900_4502
ko:K00138	paeb:NCGM1900_4503
ko:K03760	paeb:NCGM1900_4516
ko:K03311	paeb:NCGM1900_4517
ko:K01826	paeb:NCGM1900_4522
ko:K01118	paeb:NCGM1900_4526
ko:K06153	paeb:NCGM1900_4529
ko:K03811	paeb:NCGM1900_4530
ko:K00761	paeb:NCGM1900_5356
ko:K02824	paeb:NCGM1900_5357
ko:K07346	paeb:NCGM1900_5361
ko:K07347	paeb:NCGM1900_5362
ko:K01772	paeb:NCGM1900_5365
ko:K07071	paeb:NCGM1900_5366
ko:K06955	paeb:NCGM1900_5367
ko:K01669	paeb:NCGM1900_5370
ko:K01776	paeb:NCGM1900_5372
ko:K12254	paeb:NCGM1900_6154
ko:K00822	paeb:NCGM1900_6156
ko:K06995	paeb:NCGM1900_6157
ko:K02913	paeb:NCGM1900_6158
ko:K02902	paeb:NCGM1900_6159
ko:K02035	paeb:NCGM1900_6160
ko:K03630	paeb:NCGM1900_6162
ko:K13038	paeb:NCGM1900_6163
ko:K15778	paeb:NCGM1900_6165
ko:K00930	paeb:NCGM1900_6166
ko:K07107	paeb:NCGM1900_6172
ko:K00762	paeb:NCGM1900_6174
ko:K01142	paeb:NCGM1900_6175
ko:K09940	paeb:NCGM1900_6176
ko:K00989	paeb:NCGM1900_6177
ko:K00942	paeb:NCGM1900_6179
ko:K03060	paeb:NCGM1900_6180
ko:K04761	paeb:NCGM1900_6188
ko:K03655	paeb:NCGM1900_6189
ko:K05787	paeb:NCGM1900_6192
ko:K05297	paeb:NCGM1900_6194
ko:K11477	paeb:NCGM1900_6197
ko:K11473	paeb:NCGM1900_6198
ko:K11472	paeb:NCGM1900_6199
ko:K00104	paeb:NCGM1900_6200
ko:K11474	paeb:NCGM1900_6201
ko:K03181	paeb:NCGM1900_6202
ko:K03179	paeb:NCGM1900_6203
ko:K12349	paeb:NCGM1900_1881
ko:K02014	paeb:NCGM1900_0482
ko:K03088	paeb:NCGM1900_0484
ko:K03457	paeb:NCGM1900_0488
ko:K01055	paeb:NCGM1900_0492
ko:K01638	paeb:NCGM1900_0494
ko:K05786	paeb:NCGM1900_0497
ko:K02019	paeb:NCGM1900_0499
ko:K05811	paeb:NCGM1900_0500
ko:K07160	paeb:NCGM1900_0504
ko:K01961	paeb:NCGM1900_0506
ko:K01012	paeb:NCGM1900_0511
ko:K00652	paeb:NCGM1900_0512
ko:K02170	paeb:NCGM1900_0513
ko:K02169	paeb:NCGM1900_0514
ko:K01935	paeb:NCGM1900_0515
ko:K02303	paeb:NCGM1900_0522
ko:K08738	paeb:NCGM1900_0529
ko:K15864	paeb:NCGM1900_0530
ko:K04748	paeb:NCGM1900_0531
ko:K02164	paeb:NCGM1900_0532
ko:K03543	paeb:NCGM1900_1342
ko:K00355	paeb:NCGM1900_1354
ko:K10536	paeb:NCGM1900_1355
ko:K11073	paeb:NCGM1900_1356
ko:K12251	paeb:NCGM1900_1357
ko:K10536	paeb:NCGM1900_1358
ko:K08304	paeb:NCGM1900_1362
ko:K01649	paeb:NCGM1900_1367
ko:K06911	paeb:NCGM1900_1374
ko:K11747	paeb:NCGM1900_1377
ko:K06911	paeb:NCGM1900_1379
ko:K07397	paeb:NCGM1900_1381
ko:K12410	paeb:NCGM1900_1387
ko:K03721	paeb:NCGM1900_1851
ko:K00500	paeb:NCGM1900_1852
ko:K01724	paeb:NCGM1900_1853
ko:K00832	paeb:NCGM1900_1854
ko:K07262	paeb:NCGM1900_1855
ko:K15034	paeb:NCGM1900_1856
ko:K11734	paeb:NCGM1900_1858
ko:K00457	paeb:NCGM1900_1859
ko:K07396	paeb:NCGM1900_1867
ko:K07146	paeb:NCGM1900_1868
ko:K05527	paeb:NCGM1900_1869
ko:K09924	paeb:NCGM1900_1870
ko:K01679	paeb:NCGM1900_1872
ko:K01754	paeb:NCGM1900_1875
ko:K03386	paeb:NCGM1900_1878
ko:K06203	paeb:NCGM1900_1880
ko:K01114	paeb:NCGM1900_1882
ko:K16137	paeb:NCGM1900_1887
ko:K00432	paeb:NCGM1900_1888
ko:K03775	paeb:NCGM1900_1889
ko:K00925	paeb:NCGM1900_1891
ko:K13788	paeb:NCGM1900_1892
ko:K03576	paeb:NCGM1900_2691
ko:K02442	paeb:NCGM1900_2693
ko:K00111	paeb:NCGM1900_2694
ko:K02444	paeb:NCGM1900_2696
ko:K00864	paeb:NCGM1900_2698
ko:K02440	paeb:NCGM1900_2699
ko:K03976	paeb:NCGM1900_2700
ko:K00864	paeb:NCGM1900_2701
ko:K07213	paeb:NCGM1900_2706
ko:K18135	paeb:NCGM1900_2707
ko:K07552	paeb:NCGM1900_2708
ko:K00140	paeb:NCGM1900_2712
ko:K01908	paeb:NCGM1900_2714
