ko:K12978	fty:CH70_1787
ko:K01647	fty:CH70_271
ko:K00241	fty:CH70_272
ko:K00242	fty:CH70_273
ko:K00239	fty:CH70_274
ko:K00240	fty:CH70_275
ko:K00164	fty:CH70_276
ko:K00658	fty:CH70_277
ko:K00759	fty:CH70_278
ko:K03431	fty:CH70_279
ko:K01803	fty:CH70_280
ko:K03075	fty:CH70_281
ko:K09823	fty:CH70_1127
ko:K01890	fty:CH70_1129
ko:K01889	fty:CH70_1130
ko:K03305	fty:CH70_1132
ko:K07727	fty:CH70_1136
ko:K03551	fty:CH70_1138
ko:K01662	fty:CH70_1143
ko:K01951	fty:CH70_1144
ko:K06173	fty:CH70_1146
ko:K06861	fty:CH70_1149
ko:K11719	fty:CH70_1151
ko:K03270	fty:CH70_1152
ko:K01507	fty:CH70_1153
ko:K07258	fty:CH70_1154
ko:K09158	fty:CH70_1155
ko:K03801	fty:CH70_1156
ko:K07481	fty:CH70_1157
ko:K02205	fty:CH70_1160
ko:K03671	fty:CH70_1164
ko:K09015	fty:CH70_1167
ko:K09013	fty:CH70_1168
ko:K09014	fty:CH70_1169
ko:K03499	fty:CH70_1171
ko:K02518	fty:CH70_1174
ko:K07090	fty:CH70_1175
ko:K03106	fty:CH70_1177
ko:K01626	fty:CH70_1178
ko:K01069	fty:CH70_570
ko:K04758	fty:CH70_572
ko:K03583	fty:CH70_581
ko:K03582	fty:CH70_585
ko:K03581	fty:CH70_586
ko:K07481	fty:CH70_587
ko:K03525	fty:CH70_588
ko:K01579	fty:CH70_589
ko:K01918	fty:CH70_590
ko:K00606	fty:CH70_591
ko:K01972	fty:CH70_593
ko:K03500	fty:CH70_595
ko:K01092	fty:CH70_597
ko:K06141	fty:CH70_599
ko:K09458	fty:CH70_602
ko:K02078	fty:CH70_603
ko:K00059	fty:CH70_604
ko:K00645	fty:CH70_605
ko:K00648	fty:CH70_606
ko:K03621	fty:CH70_607
ko:K02911	fty:CH70_608
ko:K07040	fty:CH70_609
ko:K00615	fty:CH70_610
ko:K00134	fty:CH70_611
ko:K00927	fty:CH70_612
ko:K00873	fty:CH70_613
ko:K01624	fty:CH70_614
ko:K01697	fty:CH70_623
ko:K01442	fty:CH70_624
ko:K03060	fty:CH70_1445
ko:K00876	fty:CH70_1446
ko:K01627	fty:CH70_1447
ko:K15724	fty:CH70_1448
ko:K00962	fty:CH70_1449
ko:K02956	fty:CH70_1450
ko:K03587	fty:CH70_1451
ko:K03586	fty:CH70_1452
ko:K03438	fty:CH70_1453
ko:K10563	fty:CH70_1455
ko:K08681	fty:CH70_1456
ko:K06215	fty:CH70_1457
ko:K02470	fty:CH70_1458
ko:K05539	fty:CH70_1460
ko:K01903	fty:CH70_1464
ko:K01902	fty:CH70_1465
ko:K03305	fty:CH70_1470
ko:K01424	fty:CH70_1471
ko:K06201	fty:CH70_1473
ko:K01091	fty:CH70_1476
ko:K00384	fty:CH70_1478
ko:K03572	fty:CH70_1481
ko:K06949	fty:CH70_1484
ko:K11073	fty:CH70_1487
ko:K03548	fty:CH70_1489
ko:K07462	fty:CH70_1490
ko:K03524	fty:CH70_1491
ko:K04568	fty:CH70_1492
ko:K16052	fty:CH70_1493
ko:K01961	fty:CH70_1495
ko:K02160	fty:CH70_1496
ko:K03786	fty:CH70_1497
ko:K00925	fty:CH70_1
ko:K03111	fty:CH70_2
ko:K03565	fty:CH70_3
ko:K03071	fty:CH70_5
ko:K03210	fty:CH70_847
ko:K03072	fty:CH70_848
ko:K03074	fty:CH70_849
ko:K03089	fty:CH70_851
ko:K00800	fty:CH70_852
ko:K03469	fty:CH70_854
ko:K01424	fty:CH70_855
ko:K01673	fty:CH70_856
ko:K06956	fty:CH70_862
ko:K00820	fty:CH70_863
ko:K09474	fty:CH70_866
ko:K03526	fty:CH70_867
ko:K05810	fty:CH70_868
ko:K01262	fty:CH70_869
ko:K01173	fty:CH70_871
ko:K17836	fty:CH70_870
ko:K07481	fty:CH70_875
ko:K03820	fty:CH70_876
ko:K06189	fty:CH70_877
ko:K07042	fty:CH70_878
ko:K06168	fty:CH70_880
ko:K03545	fty:CH70_885
ko:K01358	fty:CH70_886
ko:K03544	fty:CH70_887
ko:K01338	fty:CH70_888
ko:K03530	fty:CH70_889
ko:K03770	fty:CH70_890
ko:K00791	fty:CH70_891
ko:K03666	fty:CH70_892
ko:K03665	fty:CH70_893
ko:K04088	fty:CH70_895
ko:K04087	fty:CH70_896
ko:K01104	fty:CH70_897
ko:K03978	fty:CH70_898
ko:K01733	fty:CH70_899
ko:K01687	fty:CH70_900
ko:K01652	fty:CH70_901
ko:K01653	fty:CH70_902
ko:K01669	fty:CH70_1706
ko:K14441	fty:CH70_1709
ko:K03640	fty:CH70_1710
ko:K03641	fty:CH70_1712
ko:K03646	fty:CH70_1713
ko:K03560	fty:CH70_1714
ko:K03562	fty:CH70_1715
ko:K17103	fty:CH70_1717
ko:K06208	fty:CH70_1718
ko:K03527	fty:CH70_1719
ko:K03774	fty:CH70_1720
ko:K04096	fty:CH70_1722
ko:K09758	fty:CH70_1724
ko:K06901	fty:CH70_1725
ko:K00537	fty:CH70_1728
ko:K03574	fty:CH70_1729
ko:K01676	fty:CH70_1731
ko:K07481	fty:CH70_1732
ko:K03655	fty:CH70_1734
ko:K02902	fty:CH70_1736
ko:K02913	fty:CH70_1737
ko:K03610	fty:CH70_1738
ko:K03609	fty:CH70_1739
ko:K03608	fty:CH70_1740
ko:K02065	fty:CH70_1741
ko:K02066	fty:CH70_1742
ko:K02067	fty:CH70_1743
ko:K07323	fty:CH70_1744
ko:K07122	fty:CH70_1745
ko:K07481	fty:CH70_1750
ko:K04754	fty:CH70_1757
ko:K00568	fty:CH70_1758
ko:K07481	fty:CH70_1764
ko:K01775	fty:CH70_1766
ko:K07552	fty:CH70_1768
ko:K07320	fty:CH70_1769
ko:K01883	fty:CH70_1770
ko:K02672	fty:CH70_1774
ko:K11928	fty:CH70_1782
ko:K07481	fty:CH70_1783
ko:K02446	fty:CH70_1784
ko:K07018	fty:CH70_1785
ko:K11733	fty:CH70_1786
ko:K03466	fty:CH70_1788
ko:K03634	fty:CH70_1789
ko:K03498	fty:CH70_1792
ko:K03607	fty:CH70_1794
ko:K01153	fty:CH70_1796
ko:K01154	fty:CH70_1798
ko:K07481	fty:CH70_1800
ko:K03427	fty:CH70_1801
ko:K02909	fty:CH70_1806
ko:K01919	fty:CH70_1807
ko:K03980	fty:CH70_1808
ko:K07126	fty:CH70_1809
ko:K06925	fty:CH70_1810
ko:K11754	fty:CH70_1811
ko:K01963	fty:CH70_1812
ko:K00940	fty:CH70_1813
ko:K01937	fty:CH70_1814
ko:K01679	fty:CH70_1867
ko:K10679	fty:CH70_1869
ko:K00101	fty:CH70_1871
ko:K01873	fty:CH70_1873
ko:K02339	fty:CH70_1874
ko:K01304	fty:CH70_1876
ko:K07114	fty:CH70_1878
ko:K07114	fty:CH70_1879
ko:K07114	fty:CH70_1880
ko:K03924	fty:CH70_1883
ko:K00868	fty:CH70_1885
ko:K02536	fty:CH70_1887
ko:K02300	fty:CH70_1889
ko:K02299	fty:CH70_1890
ko:K02298	fty:CH70_1891
ko:K02297	fty:CH70_1892
ko:K00425	fty:CH70_1896
ko:K00426	fty:CH70_1897
ko:K01713	fty:CH70_1899
ko:K04066	fty:CH70_1902
ko:K07058	fty:CH70_1904
ko:K03809	fty:CH70_1905
ko:K06077	fty:CH70_1906
ko:K02077	fty:CH70_1908
ko:K02074	fty:CH70_1909
ko:K02075	fty:CH70_1910
ko:K00760	fty:CH70_1912
ko:K01939	fty:CH70_1913
ko:K00602	fty:CH70_1914
ko:K03098	fty:CH70_1916
ko:K02340	fty:CH70_1917
ko:K07223	fty:CH70_287
ko:K01681	fty:CH70_288
ko:K02669	fty:CH70_289
ko:K00426	fty:CH70_293
ko:K00425	fty:CH70_294
ko:K07071	fty:CH70_295
ko:K07645	fty:CH70_296
ko:K18138	fty:CH70_303
ko:K03585	fty:CH70_304
ko:K03611	fty:CH70_305
ko:K00974	fty:CH70_306
ko:K11085	fty:CH70_307
ko:K00912	fty:CH70_308
ko:K03525	fty:CH70_310
ko:K01839	fty:CH70_311
ko:K01619	fty:CH70_312
ko:K03317	fty:CH70_313
ko:K11535	fty:CH70_314
ko:K00943	fty:CH70_315
ko:K02837	fty:CH70_316
ko:K03110	fty:CH70_318
ko:K03657	fty:CH70_319
ko:K15580	fty:CH70_320
ko:K15581	fty:CH70_321
ko:K15582	fty:CH70_322
ko:K15583	fty:CH70_323
ko:K10823	fty:CH70_324
ko:K00864	fty:CH70_328
ko:K00111	fty:CH70_329
ko:K02440	fty:CH70_330
ko:K03442	fty:CH70_332
ko:K02358	fty:CH70_338
ko:K03073	fty:CH70_340
ko:K02601	fty:CH70_341
ko:K02867	fty:CH70_342
ko:K02863	fty:CH70_343
ko:K02864	fty:CH70_344
ko:K03923	fty:CH70_1180
ko:K06987	fty:CH70_1181
ko:K07481	fty:CH70_1182
ko:K01142	fty:CH70_1183
ko:K00383	fty:CH70_1187
ko:K07481	fty:CH70_1189
ko:K03305	fty:CH70_1191
ko:K11927	fty:CH70_1190
ko:K01495	fty:CH70_1192
ko:K01658	fty:CH70_1198
ko:K03342	fty:CH70_1200
ko:K01633	fty:CH70_1202
ko:K13941	fty:CH70_1203
ko:K00833	fty:CH70_1206
ko:K01012	fty:CH70_1207
ko:K00652	fty:CH70_1208
ko:K02169	fty:CH70_1209
ko:K01935	fty:CH70_1211
ko:K03524	fty:CH70_1210
ko:K00845	fty:CH70_1212
ko:K01574	fty:CH70_1214
ko:K00019	fty:CH70_1215
ko:K01207	fty:CH70_1216
ko:K01845	fty:CH70_1217
ko:K01920	fty:CH70_1218
ko:K00604	fty:CH70_1219
ko:K12297	fty:CH70_1221
ko:K12297	fty:CH70_1222
ko:K07481	fty:CH70_1226
ko:K03650	fty:CH70_627
ko:K05808	fty:CH70_629
ko:K02806	fty:CH70_630
ko:K02533	fty:CH70_631
ko:K03470	fty:CH70_632
ko:K03600	fty:CH70_633
ko:K03599	fty:CH70_635
ko:K02996	fty:CH70_636
ko:K02871	fty:CH70_637
ko:K08304	fty:CH70_639
ko:K03687	fty:CH70_640
ko:K04043	fty:CH70_641
ko:K03686	fty:CH70_642
ko:K06911	fty:CH70_644
ko:K01916	fty:CH70_647
ko:K03543	fty:CH70_649
ko:K03446	fty:CH70_650
ko:K01897	fty:CH70_651
ko:K03305	fty:CH70_653
ko:K09761	fty:CH70_654
ko:K02067	fty:CH70_657
ko:K02065	fty:CH70_658
ko:K07481	fty:CH70_659
ko:K02065	fty:CH70_660
ko:K02066	fty:CH70_661
ko:K06180	fty:CH70_663
ko:K05807	fty:CH70_664
ko:K00600	fty:CH70_669
ko:K09889	fty:CH70_670
ko:K01442	fty:CH70_676
ko:K03305	fty:CH70_677
ko:K04075	fty:CH70_678
ko:K00058	fty:CH70_679
ko:K01525	fty:CH70_1498
ko:K02528	fty:CH70_1499
ko:K03771	fty:CH70_1500
ko:K04744	fty:CH70_1501
ko:K01887	fty:CH70_1502
ko:K01424	fty:CH70_1504
ko:K03216	fty:CH70_1505
ko:K01698	fty:CH70_1506
ko:K07574	fty:CH70_1507
ko:K02341	fty:CH70_1508
ko:K04774	fty:CH70_1509
ko:K03599	fty:CH70_1510
ko:K11179	fty:CH70_1511
ko:K03588	fty:CH70_1516
ko:K01925	fty:CH70_1517
ko:K01000	fty:CH70_1518
ko:K01610	fty:CH70_1519
ko:K01886	fty:CH70_1520
ko:K03305	fty:CH70_1522
ko:K15738	fty:CH70_1523
ko:K03218	fty:CH70_1528
ko:K02558	fty:CH70_1529
ko:K00762	fty:CH70_1530
ko:K03269	fty:CH70_1531
ko:K12251	fty:CH70_1533
ko:K10536	fty:CH70_1534
ko:K01585	fty:CH70_1535
ko:K00797	fty:CH70_1536
ko:K01611	fty:CH70_1537
ko:K12308	fty:CH70_1538
ko:K01733	fty:CH70_1539
ko:K00872	fty:CH70_1540
ko:K12524	fty:CH70_1541
ko:K00133	fty:CH70_1542
ko:K01929	fty:CH70_1543
ko:K01928	fty:CH70_1545
ko:K01878	fty:CH70_1546
ko:K00705	fty:CH70_1547
ko:K01011	fty:CH70_6
ko:K04773	fty:CH70_8
ko:K03316	fty:CH70_11
ko:K11752	fty:CH70_12
ko:K00793	fty:CH70_13
ko:K14652	fty:CH70_14
ko:K00794	fty:CH70_15
ko:K01462	fty:CH70_16
ko:K00566	fty:CH70_18
ko:K03596	fty:CH70_19
ko:K02968	fty:CH70_20
ko:K06186	fty:CH70_21
ko:K07481	fty:CH70_23
ko:K07481	fty:CH70_27
ko:K06997	fty:CH70_28
ko:K03501	fty:CH70_29
ko:K03834	fty:CH70_31
ko:K12262	fty:CH70_35
ko:K03306	fty:CH70_36
ko:K07220	fty:CH70_37
ko:K01114	fty:CH70_38
ko:K07160	fty:CH70_40
ko:K07481	fty:CH70_42
ko:K03762	fty:CH70_44
ko:K07015	fty:CH70_48
ko:K07056	fty:CH70_50
ko:K01924	fty:CH70_51
ko:K00014	fty:CH70_52
ko:K02914	fty:CH70_54
ko:K03536	fty:CH70_55
ko:K03217	fty:CH70_56
ko:K02517	fty:CH70_57
ko:K02517	fty:CH70_58
ko:K02655	fty:CH70_59
ko:K02356	fty:CH70_60
ko:K13288	fty:CH70_61
ko:K00053	fty:CH70_903
ko:K03723	fty:CH70_905
ko:K10773	fty:CH70_909
ko:K03616	fty:CH70_910
ko:K03675	fty:CH70_911
ko:K03305	fty:CH70_912
ko:K02217	fty:CH70_913
ko:K03644	fty:CH70_914
ko:K01159	fty:CH70_917
ko:K03550	fty:CH70_919
ko:K09760	fty:CH70_920
ko:K01590	fty:CH70_924
ko:K03652	fty:CH70_927
ko:K03811	fty:CH70_930
ko:K03455	fty:CH70_931
ko:K07481	fty:CH70_932
ko:K06987	fty:CH70_936
ko:K00948	fty:CH70_937
ko:K02897	fty:CH70_938
ko:K06942	fty:CH70_941
ko:K01056	fty:CH70_942
ko:K17836	fty:CH70_943
ko:K02654	fty:CH70_945
ko:K00322	fty:CH70_946
ko:K10716	fty:CH70_947
ko:K03305	fty:CH70_948
ko:K03667	fty:CH70_949
ko:K01419	fty:CH70_950
ko:K03800	fty:CH70_952
ko:K01866	fty:CH70_953
ko:K00101	fty:CH70_955
ko:K18930	fty:CH70_957
ko:K04079	fty:CH70_1820
ko:K02879	fty:CH70_1821
ko:K03040	fty:CH70_1822
ko:K02986	fty:CH70_1823
ko:K02948	fty:CH70_1824
ko:K02952	fty:CH70_1825
ko:K02919	fty:CH70_1826
ko:K03076	fty:CH70_1827
ko:K02876	fty:CH70_1828
ko:K02907	fty:CH70_1829
ko:K02988	fty:CH70_1830
ko:K02881	fty:CH70_1831
ko:K02933	fty:CH70_1832
ko:K02994	fty:CH70_1833
ko:K02954	fty:CH70_1834
ko:K02931	fty:CH70_1835
ko:K02895	fty:CH70_1836
ko:K02874	fty:CH70_1837
ko:K02961	fty:CH70_1838
ko:K02904	fty:CH70_1839
ko:K02878	fty:CH70_1840
ko:K02982	fty:CH70_1841
ko:K02890	fty:CH70_1842
ko:K02965	fty:CH70_1843
ko:K02886	fty:CH70_1844
ko:K02892	fty:CH70_1845
ko:K02926	fty:CH70_1846
ko:K02906	fty:CH70_1847
ko:K02946	fty:CH70_1848
ko:K02355	fty:CH70_1849
ko:K02992	fty:CH70_1850
ko:K02950	fty:CH70_1851
ko:K00995	fty:CH70_1852
ko:K00981	fty:CH70_1854
ko:K00806	fty:CH70_1855
ko:K02838	fty:CH70_1856
ko:K09903	fty:CH70_1857
ko:K02357	fty:CH70_1858
ko:K02967	fty:CH70_1859
ko:K01885	fty:CH70_1866
ko:K01915	fty:CH70_1918
ko:K01425	fty:CH70_1919
ko:K07052	fty:CH70_1920
ko:K04567	fty:CH70_1923
ko:K02836	fty:CH70_1924
ko:K02343	fty:CH70_1925
ko:K02535	fty:CH70_1926
ko:K03531	fty:CH70_1927
ko:K03590	fty:CH70_1928
ko:K03589	fty:CH70_1929
ko:K01921	fty:CH70_1930
ko:K02945	fty:CH70_1932
ko:K07566	fty:CH70_1933
ko:K02238	fty:CH70_1937
ko:K02050	fty:CH70_1940
ko:K02221	fty:CH70_1941
ko:K00919	fty:CH70_1946
ko:K02494	fty:CH70_1947
ko:K02049	fty:CH70_1951
ko:K02050	fty:CH70_1952
ko:K06199	fty:CH70_1956
ko:K01749	fty:CH70_1957
ko:K06999	fty:CH70_1958
ko:K01147	fty:CH70_1959
ko:K01876	fty:CH70_1963
ko:K00135	fty:CH70_1965
ko:K02935	fty:CH70_345
ko:K03043	fty:CH70_346
ko:K03046	fty:CH70_347
ko:K01409	fty:CH70_349
ko:K00789	fty:CH70_351
ko:K02959	fty:CH70_352
ko:K02860	fty:CH70_353
ko:K00554	fty:CH70_355
ko:K02884	fty:CH70_356
ko:K04763	fty:CH70_357
ko:K08311	fty:CH70_362
ko:K03806	fty:CH70_364
ko:K02622	fty:CH70_365
ko:K17713	fty:CH70_367
ko:K02492	fty:CH70_369
ko:K02835	fty:CH70_370
ko:K02493	fty:CH70_372
ko:K00783	fty:CH70_371
ko:K09861	fty:CH70_373
ko:K04078	fty:CH70_377
ko:K04077	fty:CH70_378
ko:K07007	fty:CH70_383
