ko:K19744	paei:N296_3988
ko:K03809	paei:N296_982
ko:K00537	paei:N296_983
ko:K07058	paei:N296_984
ko:K01512	paei:N296_988
ko:K01881	paei:N296_990
ko:K18093	paei:N296_992
ko:K03745	paei:N296_994
ko:K03704	paei:N296_995
ko:K01692	paei:N296_1796
ko:K06975	paei:N296_1797
ko:K01626	paei:N296_1798
ko:K00077	paei:N296_1800
ko:K13634	paei:N296_1802
ko:K00390	paei:N296_1804
ko:K02203	paei:N296_1805
ko:K01665	paei:N296_1806
ko:K03556	paei:N296_1807
ko:K03556	paei:N296_1808
ko:K09773	paei:N296_1817
ko:K02553	paei:N296_1820
ko:K16074	paei:N296_1821
ko:K03088	paei:N296_1824
ko:K03286	paei:N296_1825
ko:K02303	paei:N296_1826
ko:K00372	paei:N296_1827
ko:K00363	paei:N296_1828
ko:K00362	paei:N296_1829
ko:K02575	paei:N296_1831
ko:K01682	paei:N296_1835
ko:K06938	paei:N296_1836
ko:K06169	paei:N296_1838
ko:K13931	paei:N296_216
ko:K13932	paei:N296_217
ko:K13933	paei:N296_218
ko:K13934	paei:N296_219
ko:K13935	paei:N296_220
ko:K13928	paei:N296_223
ko:K08196	paei:N296_1054
ko:K00459	paei:N296_1060
ko:K00128	paei:N296_1063
ko:K09760	paei:N296_1067
ko:K07116	paei:N296_1068
ko:K09858	paei:N296_1075
ko:K08993	paei:N296_1078
ko:K00275	paei:N296_1085
ko:K02647	paei:N296_1086
ko:K03299	paei:N296_1087
ko:K00865	paei:N296_1089
ko:K06077	paei:N296_1090
ko:K05559	paei:N296_1091
ko:K05560	paei:N296_1092
ko:K05561	paei:N296_1093
ko:K05562	paei:N296_1094
ko:K05563	paei:N296_1095
ko:K05564	paei:N296_1096
ko:K01738	paei:N296_1098
ko:K08985	paei:N296_1101
ko:K04079	paei:N296_1105
ko:K00381	paei:N296_1893
ko:K06941	paei:N296_1896
ko:K00548	paei:N296_1900
ko:K07400	paei:N296_1904
ko:K09984	paei:N296_1906
ko:K07168	paei:N296_1910
ko:K00404	paei:N296_1913
ko:K09781	paei:N296_1914
ko:K02017	paei:N296_1919
ko:K02018	paei:N296_1920
ko:K02020	paei:N296_1921
ko:K02452	paei:N296_1926
ko:K02453	paei:N296_1927
ko:K16074	paei:N296_1932
ko:K12543	paei:N296_1934
ko:K12541	paei:N296_1935
ko:K12542	paei:N296_1936
ko:K07023	paei:N296_1937
ko:K07303	paei:N296_1939
ko:K07302	paei:N296_1940
ko:K00330	paei:N296_1943
ko:K02336	paei:N296_1945
ko:K07084	paei:N296_2733
ko:K03406	paei:N296_2734
ko:K07234	paei:N296_2743
ko:K05916	paei:N296_2745
ko:K12266	paei:N296_2746
ko:K01737	paei:N296_2747
ko:K02459	paei:N296_2753
ko:K02458	paei:N296_2754
ko:K02456	paei:N296_2755
ko:K02456	paei:N296_2756
ko:K02455	paei:N296_2757
ko:K02454	paei:N296_2758
ko:K01061	paei:N296_2763
ko:K11904	paei:N296_2767
ko:K07017	paei:N296_2771
ko:K03885	paei:N296_2773
ko:K03671	paei:N296_2776
ko:K01953	paei:N296_3582
ko:K09898	paei:N296_3586
ko:K08369	paei:N296_3590
ko:K16053	paei:N296_3591
ko:K00027	paei:N296_3594
ko:K05786	paei:N296_3596
ko:K01713	paei:N296_3598
ko:K18101	paei:N296_3601
ko:K18100	paei:N296_3602
ko:K01494	paei:N296_3603
ko:K03593	paei:N296_3604
ko:K01874	paei:N296_3605
ko:K11904	paei:N296_3609
ko:K03617	paei:N296_3612
ko:K03616	paei:N296_3613
ko:K03615	paei:N296_3614
ko:K03614	paei:N296_3615
ko:K03612	paei:N296_3616
ko:K03613	paei:N296_3617
ko:K10773	paei:N296_3618
ko:K06989	paei:N296_3628
ko:K01652	paei:N296_3629
ko:K03524	paei:N296_4416
ko:K03547	paei:N296_4422
ko:K03581	paei:N296_4424
ko:K03582	paei:N296_4425
ko:K03583	paei:N296_4426
ko:K07240	paei:N296_4431
ko:K03406	paei:N296_4430
ko:K16322	paei:N296_4433
ko:K02278	paei:N296_4436
ko:K12511	paei:N296_4441
ko:K12510	paei:N296_4442
ko:K02283	paei:N296_4443
ko:K02282	paei:N296_4444
ko:K02280	paei:N296_4445
ko:K02279	paei:N296_4446
ko:K02651	paei:N296_4447
ko:K03406	paei:N296_4448
ko:K06915	paei:N296_4449
ko:K03406	paei:N296_4450
ko:K03406	paei:N296_4451
ko:K14335	paei:N296_4452
ko:K06986	paei:N296_4453
ko:K01433	paei:N296_4456
ko:K01141	paei:N296_4458
ko:K03924	paei:N296_4464
ko:K07126	paei:N296_5260
ko:K11904	paei:N296_5263
ko:K01479	paei:N296_5264
ko:K01468	paei:N296_5265
ko:K01745	paei:N296_5266
ko:K02000	paei:N296_5267
ko:K02001	paei:N296_5268
ko:K02002	paei:N296_5269
ko:K16234	paei:N296_5270
ko:K01745	paei:N296_5271
ko:K03457	paei:N296_5272
ko:K01712	paei:N296_5273
ko:K02002	paei:N296_5276
ko:K09975	paei:N296_5277
ko:K05836	paei:N296_5278
ko:K05603	paei:N296_5279
ko:K03098	paei:N296_5280
ko:K03841	paei:N296_5283
ko:K01759	paei:N296_5284
ko:K12686	paei:N296_5285
ko:K06207	paei:N296_5290
ko:K03151	paei:N296_5291
ko:K01915	paei:N296_5292
ko:K07708	paei:N296_5297
ko:K07712	paei:N296_5298
ko:K03216	paei:N296_5300
ko:K03071	paei:N296_5301
ko:K15633	paei:N296_5304
ko:K07052	paei:N296_5305
ko:K03797	paei:N296_5307
ko:K09798	paei:N296_5308
ko:K03269	paei:N296_1840
ko:K00666	paei:N296_2630
ko:K07507	paei:N296_2631
ko:K03406	paei:N296_2636
ko:K03321	paei:N296_2638
ko:K00598	paei:N296_2639
ko:K17218	paei:N296_2641
ko:K03406	paei:N296_2650
ko:K00496	paei:N296_2651
ko:K07078	paei:N296_2652
ko:K03719	paei:N296_2654
ko:K00453	paei:N296_2656
ko:K03923	paei:N296_2657
ko:K03607	paei:N296_2660
ko:K07679	paei:N296_2661
ko:K03703	paei:N296_2664
ko:K02014	paei:N296_2669
ko:K11073	paei:N296_2671
ko:K15553	paei:N296_2673
ko:K15553	paei:N296_2674
ko:K15553	paei:N296_2675
ko:K04091	paei:N296_2677
ko:K02051	paei:N296_2678
ko:K04091	paei:N296_2679
ko:K01999	paei:N296_3483
ko:K01426	paei:N296_3485
ko:K06167	paei:N296_3492
ko:K05774	paei:N296_3493
ko:K06162	paei:N296_3494
ko:K05780	paei:N296_3495
ko:K05781	paei:N296_3496
ko:K06163	paei:N296_3497
ko:K06164	paei:N296_3498
ko:K06165	paei:N296_3499
ko:K06166	paei:N296_3500
ko:K02043	paei:N296_3501
ko:K02042	paei:N296_3502
ko:K02044	paei:N296_3503
ko:K02041	paei:N296_3504
ko:K00376	paei:N296_3512
ko:K07218	paei:N296_3513
ko:K00528	paei:N296_3517
ko:K01992	paei:N296_3521
ko:K01993	paei:N296_3522
ko:K12538	paei:N296_3524
ko:K12537	paei:N296_3526
ko:K12536	paei:N296_3527
ko:K01652	paei:N296_4312
ko:K07734	paei:N296_4314
ko:K08368	paei:N296_4319
ko:K01714	paei:N296_4320
ko:K02028	paei:N296_4324
ko:K02029	paei:N296_4325
ko:K02029	paei:N296_4326
ko:K02030	paei:N296_4327
ko:K00666	paei:N296_4330
ko:K01921	paei:N296_4333
ko:K00459	paei:N296_4334
ko:K18306	paei:N296_4338
ko:K18307	paei:N296_4339
ko:K01626	paei:N296_4344
ko:K13063	paei:N296_4346
ko:K06998	paei:N296_4347
ko:K16088	paei:N296_4353
ko:K06147	paei:N296_4354
ko:K12243	paei:N296_4359
ko:K02055	paei:N296_5158
ko:K02527	paei:N296_5161
ko:K03272	paei:N296_5169
ko:K11085	paei:N296_5170
ko:K00612	paei:N296_5178
ko:K02848	paei:N296_5182
ko:K02844	paei:N296_5183
ko:K02841	paei:N296_5184
ko:K02843	paei:N296_5185
ko:K00826	paei:N296_5186
ko:K00982	paei:N296_5187
ko:K00163	paei:N296_5188
ko:K00627	paei:N296_5189
ko:K07304	paei:N296_5191
ko:K07115	paei:N296_5192
ko:K11105	paei:N296_5194
ko:K05802	paei:N296_5195
ko:K07090	paei:N296_5197
ko:K01740	paei:N296_5198
ko:K08224	paei:N296_5203
ko:K01599	paei:N296_5207
ko:K07120	paei:N296_776
ko:K07793	paei:N296_777
ko:K07795	paei:N296_779
ko:K07774	paei:N296_781
ko:K07649	paei:N296_782
ko:K06980	paei:N296_784
ko:K09159	paei:N296_785
ko:K00278	paei:N296_786
ko:K03088	paei:N296_788
ko:K03597	paei:N296_789
ko:K03598	paei:N296_790
ko:K03803	paei:N296_791
ko:K03596	paei:N296_793
ko:K03100	paei:N296_794
ko:K03685	paei:N296_796
ko:K03584	paei:N296_798
ko:K03474	paei:N296_799
ko:K15257	paei:N296_800
ko:K15256	paei:N296_801
ko:K02030	paei:N296_803
ko:K14475	paei:N296_804
ko:K01338	paei:N296_805
ko:K02014	paei:N296_807
ko:K13821	paei:N296_808
ko:K11928	paei:N296_809
ko:K01118	paei:N296_811
ko:K07090	paei:N296_817
ko:K01720	paei:N296_818
ko:K01659	paei:N296_822
ko:K03417	paei:N296_823
ko:K00164	paei:N296_1630
ko:K00658	paei:N296_1631
ko:K00382	paei:N296_1632
ko:K01903	paei:N296_1633
ko:K01902	paei:N296_1634
ko:K03311	paei:N296_1635
ko:K04079	paei:N296_1641
ko:K00606	paei:N296_1643
ko:K18029	paei:N296_1647
ko:K03406	paei:N296_1653
ko:K00647	paei:N296_1654
ko:K01716	paei:N296_1655
ko:K02014	paei:N296_1658
ko:K00057	paei:N296_1659
ko:K08296	paei:N296_1661
ko:K03449	paei:N296_1671
ko:K00074	paei:N296_1673
ko:K06446	paei:N296_1676
ko:K01545	paei:N296_1677
ko:K01546	paei:N296_1678
ko:K01547	paei:N296_1679
ko:K01548	paei:N296_1680
ko:K07646	paei:N296_1681
ko:K09815	paei:N296_2479
ko:K09817	paei:N296_2480
ko:K09816	paei:N296_2481
ko:K00836	paei:N296_2485
ko:K11927	paei:N296_439
ko:K00297	paei:N296_441
ko:K01251	paei:N296_443
ko:K02014	paei:N296_445
ko:K01485	paei:N296_448
ko:K10974	paei:N296_449
ko:K17723	paei:N296_450
ko:K01464	paei:N296_452
ko:K03457	paei:N296_453
ko:K06016	paei:N296_454
ko:K00252	paei:N296_457
ko:K03306	paei:N296_460
ko:K07403	paei:N296_461
ko:K02030	paei:N296_464
ko:K05591	paei:N296_465
ko:K03704	paei:N296_466
ko:K03696	paei:N296_470
ko:K07663	paei:N296_474
ko:K07641	paei:N296_475
ko:K06143	paei:N296_476
ko:K18235	paei:N296_480
ko:K02014	paei:N296_482
ko:K03088	paei:N296_484
ko:K03457	paei:N296_488
ko:K01055	paei:N296_492
ko:K02225	paei:N296_1316
ko:K02232	paei:N296_1317
ko:K02231	paei:N296_1318
ko:K00768	paei:N296_1319
ko:K02226	paei:N296_1320
ko:K02233	paei:N296_1322
ko:K08167	paei:N296_1321
ko:K00432	paei:N296_1327
ko:K06076	paei:N296_1328
ko:K01011	paei:N296_1332
ko:K03684	paei:N296_1334
ko:K09902	paei:N296_1335
ko:K09160	paei:N296_1339
ko:K03088	paei:N296_1340
ko:K07165	paei:N296_1341
ko:K16087	paei:N296_1342
ko:K03100	paei:N296_1343
ko:K01354	paei:N296_1344
ko:K03430	paei:N296_1350
ko:K05306	paei:N296_1351
ko:K02297	paei:N296_1357
ko:K02298	paei:N296_1358
ko:K02299	paei:N296_1359
ko:K02300	paei:N296_1360
ko:K16090	paei:N296_1362
ko:K01754	paei:N296_1366
ko:K01173	paei:N296_1368
ko:K03088	paei:N296_2158
ko:K01738	paei:N296_2169
ko:K00640	paei:N296_2170
ko:K00156	paei:N296_2173
ko:K07160	paei:N296_2177
ko:K10778	paei:N296_2183
ko:K07345	paei:N296_2194
ko:K07346	paei:N296_2195
ko:K07347	paei:N296_2196
ko:K08995	paei:N296_2200
ko:K03394	paei:N296_3007
ko:K06042	paei:N296_3008
ko:K02229	paei:N296_3009
ko:K00595	paei:N296_3010
ko:K02188	paei:N296_3011
ko:K05895	paei:N296_3012
ko:K02014	paei:N296_3014
ko:K02013	paei:N296_3015
ko:K02016	paei:N296_3016
ko:K02015	paei:N296_3018
ko:K03406	paei:N296_3023
ko:K10014	paei:N296_3026
ko:K10016	paei:N296_3027
ko:K10015	paei:N296_3028
ko:K10017	paei:N296_3029
ko:K10680	paei:N296_3035
ko:K13580	paei:N296_3045
ko:K03405	paei:N296_3046
ko:K01626	paei:N296_3047
ko:K02230	paei:N296_3048
ko:K02234	paei:N296_3049
ko:K02189	paei:N296_3052
ko:K05936	paei:N296_3053
ko:K00209	paei:N296_3055
ko:K03522	paei:N296_3056
ko:K03521	paei:N296_3057
ko:K00316	paei:N296_3837
ko:K07687	paei:N296_3838
ko:K07462	paei:N296_3848
ko:K09980	paei:N296_3855
ko:K01733	paei:N296_3859
ko:K00003	paei:N296_3860
ko:K03981	paei:N296_3861
ko:K04763	paei:N296_3862
ko:K02884	paei:N296_3866
ko:K00554	paei:N296_3867
ko:K02860	paei:N296_3868
ko:K02959	paei:N296_3869
ko:K03106	paei:N296_3870
ko:K08289	paei:N296_3875
ko:K06938	paei:N296_3876
ko:K03710	paei:N296_3881
ko:K01443	paei:N296_3882
ko:K00820	paei:N296_3883
ko:K11189	paei:N296_3884
ko:K02803	paei:N296_3885
ko:K02804	paei:N296_3885
ko:K01952	paei:N296_3887
ko:K09965	paei:N296_3889
ko:K03885	paei:N296_4684
ko:K06916	paei:N296_4685
ko:K03695	paei:N296_4691
ko:K05810	paei:N296_4692
ko:K06180	paei:N296_4693
ko:K05807	paei:N296_4694
ko:K06950	paei:N296_4695
ko:K02668	paei:N296_4696
ko:K02667	paei:N296_4697
ko:K03153	paei:N296_4698
ko:K08084	paei:N296_4699
ko:K02671	paei:N296_4701
ko:K02672	paei:N296_4702
ko:K02673	paei:N296_4703
ko:K02674	paei:N296_4704
ko:K02655	paei:N296_4706
ko:K03527	paei:N296_4707
ko:K03774	paei:N296_4708
ko:K03101	paei:N296_4709
ko:K01870	paei:N296_4710
ko:K11753	paei:N296_4711
ko:K03980	paei:N296_4712
ko:K02968	paei:N296_4713
ko:K05805	paei:N296_4714
ko:K00931	paei:N296_4715
ko:K03979	paei:N296_4716
ko:K02899	paei:N296_4717
ko:K02888	paei:N296_4718
ko:K02523	paei:N296_4719
ko:K03773	paei:N296_4722
ko:K14414	paei:N296_4731
ko:K14415	paei:N296_4734
ko:K03060	paei:N296_5517
ko:K04761	paei:N296_5524
ko:K03655	paei:N296_5525
ko:K05787	paei:N296_5528
ko:K05297	paei:N296_5529
ko:K11477	paei:N296_5532
ko:K11473	paei:N296_5533
ko:K11472	paei:N296_5534
ko:K00104	paei:N296_5535
ko:K11474	paei:N296_5536
ko:K03181	paei:N296_5537
ko:K03179	paei:N296_5538
ko:K07657	paei:N296_5540
ko:K07636	paei:N296_5541
ko:K02039	paei:N296_5545
ko:K02036	paei:N296_5546
ko:K02038	paei:N296_5547
ko:K02037	paei:N296_5548
ko:K02040	paei:N296_5549
ko:K10806	paei:N296_5556
ko:K02167	paei:N296_5559
ko:K02168	paei:N296_5560
ko:K02000	paei:N296_5561
ko:K02001	paei:N296_5562
ko:K02002	paei:N296_5563
ko:K01752	paei:N296_5564
ko:K01658	paei:N296_663
ko:K00766	paei:N296_664
ko:K01609	paei:N296_665
ko:K10914	paei:N296_666
ko:K07397	paei:N296_667
ko:K01611	paei:N296_668
ko:K06134	paei:N296_669
ko:K02503	paei:N296_670
ko:K07124	paei:N296_672
ko:K00459	paei:N296_674
ko:K08973	paei:N296_675
ko:K00145	paei:N296_676
ko:K15724	paei:N296_679
ko:K09001	paei:N296_680
ko:K01866	paei:N296_682
ko:K14162	paei:N296_688
ko:K14161	paei:N296_689
ko:K03088	paei:N296_694
ko:K02459	paei:N296_696
ko:K02457	paei:N296_697
ko:K02452	paei:N296_698
ko:K02458	paei:N296_699
ko:K02456	paei:N296_700
ko:K02460	paei:N296_701
ko:K02462	paei:N296_704
ko:K02453	paei:N296_705
ko:K02454	paei:N296_706
ko:K02455	paei:N296_707
ko:K03561	paei:N296_713
ko:K03559	paei:N296_714
ko:K01266	paei:N296_1528
ko:K00864	paei:N296_1529
ko:K00111	paei:N296_1531
ko:K02444	paei:N296_1532
ko:K04023	paei:N296_1533
ko:K02048	paei:N296_1535
ko:K10716	paei:N296_1538
ko:K08717	paei:N296_1539
ko:K00873	paei:N296_1540
ko:K01608	paei:N296_1544
ko:K03639	paei:N296_1547
ko:K11904	paei:N296_1553
ko:K11903	paei:N296_1554
ko:K01483	paei:N296_1556
ko:K01477	paei:N296_1557
ko:K07127	paei:N296_1560
ko:K06901	paei:N296_1561
ko:K01487	paei:N296_1563
ko:K07402	paei:N296_1564
ko:K13482	paei:N296_1565
ko:K13481	paei:N296_1566
ko:K00496	paei:N296_1567
ko:K03529	paei:N296_1569
ko:K03528	paei:N296_1570
ko:K01972	paei:N296_1571
ko:K02343	paei:N296_1574
ko:K09747	paei:N296_1575
ko:K06187	paei:N296_1576
ko:K09925	paei:N296_1578
ko:K03710	paei:N296_2372
ko:K02050	paei:N296_2380
ko:K02049	paei:N296_2381
ko:K02051	paei:N296_2382
ko:K03119	paei:N296_2383
ko:K09471	paei:N296_2390
ko:K06995	paei:N296_2391
ko:K01194	paei:N296_2488
ko:K06911	paei:N296_2490
ko:K03088	paei:N296_2498
ko:K04087	paei:N296_2511
ko:K00605	paei:N296_2515
ko:K01752	paei:N296_2516
ko:K00600	paei:N296_2517
ko:K00281	paei:N296_2518
ko:K02437	paei:N296_2519
ko:K06940	paei:N296_3321
ko:K03498	paei:N296_3322
ko:K02066	paei:N296_3323
ko:K02065	paei:N296_3324
ko:K02067	paei:N296_3325
ko:K18480	paei:N296_3326
ko:K06878	paei:N296_3333
ko:K01118	paei:N296_3335
ko:K03767	paei:N296_3339
ko:K09919	paei:N296_3342
ko:K02342	paei:N296_3344
ko:K07182	paei:N296_3345
ko:K14393	paei:N296_3346
ko:K02002	paei:N296_3348
ko:K04754	paei:N296_3351
ko:K06911	paei:N296_3352
ko:K07001	paei:N296_3353
ko:K02517	paei:N296_3354
ko:K03610	paei:N296_3355
ko:K03609	paei:N296_3356
ko:K03608	paei:N296_3357
ko:K06177	paei:N296_3358
ko:K01267	paei:N296_3359
ko:K03817	paei:N296_3360
ko:K02055	paei:N296_3362
ko:K02054	paei:N296_3364
ko:K02053	paei:N296_3365
ko:K02052	paei:N296_3366
ko:K00138	paei:N296_4151
ko:K03735	paei:N296_4153
ko:K03736	paei:N296_4154
ko:K02030	paei:N296_4157
ko:K03975	paei:N296_4158
ko:K09933	paei:N296_4159
ko:K01507	paei:N296_4160
ko:K06188	paei:N296_4163
ko:K01990	paei:N296_4166
ko:K01992	paei:N296_4167
ko:K03602	paei:N296_4171
ko:K13789	paei:N296_4172
ko:K01662	paei:N296_4173
ko:K01497	paei:N296_4176
ko:K06985	paei:N296_4177
ko:K01095	paei:N296_4179
ko:K00946	paei:N296_4180
ko:K03625	paei:N296_4181
ko:K00794	paei:N296_4182
ko:K14652	paei:N296_4183
ko:K00793	paei:N296_4184
ko:K11752	paei:N296_4185
ko:K07738	paei:N296_4186
ko:K05838	paei:N296_4190
ko:K02003	paei:N296_4193
ko:K02004	paei:N296_4194
ko:K09950	paei:N296_4195
ko:K07275	paei:N296_4196
ko:K01784	paei:N296_4197
ko:K00067	paei:N296_4199
ko:K07124	paei:N296_5001
ko:K11068	paei:N296_5002
ko:K02014	paei:N296_5006
ko:K01585	paei:N296_5008
ko:K03113	paei:N296_5009
ko:K04084	paei:N296_5015
ko:K03786	paei:N296_5016
ko:K02160	paei:N296_5017
ko:K01961	paei:N296_5018
ko:K02687	paei:N296_5020
ko:K05540	paei:N296_5022
ko:K03557	paei:N296_5023
ko:K00602	paei:N296_5024
ko:K01945	paei:N296_5025
ko:K05595	paei:N296_5027
ko:K11959	paei:N296_5028
ko:K11960	paei:N296_5029
ko:K11961	paei:N296_5030
ko:K11962	paei:N296_5031
ko:K11963	paei:N296_5032
ko:K03190	paei:N296_5034
ko:K01430	paei:N296_5035
ko:K03823	paei:N296_5036
ko:K01429	paei:N296_5037
ko:K01428	paei:N296_5038
ko:K04046	paei:N296_5043
ko:K04064	paei:N296_5046
ko:K07290	paei:N296_5049
ko:K03594	paei:N296_5050
ko:K11069	paei:N296_331
ko:K11070	paei:N296_332
ko:K11071	paei:N296_333
ko:K11072	paei:N296_334
ko:K09946	paei:N296_337
ko:K01807	paei:N296_338
ko:K01754	paei:N296_339
ko:K08311	paei:N296_345
ko:K08484	paei:N296_346
ko:K07090	paei:N296_349
ko:K13292	paei:N296_350
ko:K01126	paei:N296_356
ko:K07095	paei:N296_360
ko:K16345	paei:N296_361
ko:K01687	paei:N296_362
ko:K06969	paei:N296_363
ko:K05520	paei:N296_364
ko:K10563	paei:N296_366
ko:K07126	paei:N296_369
ko:K00954	paei:N296_372
ko:K00154	paei:N296_375
ko:K07019	paei:N296_378
ko:K08316	paei:N296_380
ko:K07263	paei:N296_381
ko:K07263	paei:N296_382
ko:K02567	paei:N296_1212
ko:K02570	paei:N296_1213
ko:K02572	paei:N296_1214
ko:K02571	paei:N296_1215
ko:K07660	paei:N296_1217
ko:K07637	paei:N296_1218
ko:K11103	paei:N296_1221
ko:K03566	paei:N296_1222
ko:K02742	paei:N296_1227
ko:K14058	paei:N296_1230
ko:K03758	paei:N296_1232
ko:K01482	paei:N296_1233
ko:K06714	paei:N296_1234
ko:K12410	paei:N296_1235
ko:K07397	paei:N296_1241
ko:K06911	paei:N296_1243
ko:K11747	paei:N296_1245
ko:K06911	paei:N296_1248
ko:K01649	paei:N296_1255
ko:K08304	paei:N296_1260
ko:K00355	paei:N296_1262
ko:K00355	paei:N296_1263
ko:K09957	paei:N296_2057
ko:K03769	paei:N296_2059
ko:K01907	paei:N296_2060
ko:K17737	paei:N296_2061
ko:K01028	paei:N296_2062
ko:K01029	paei:N296_2063
ko:K00626	paei:N296_2064
ko:K02106	paei:N296_2065
ko:K00019	paei:N296_2066
ko:K08195	paei:N296_2069
ko:K01555	paei:N296_2071
ko:K00451	paei:N296_2072
ko:K01640	paei:N296_2074
ko:K01968	paei:N296_2075
ko:K13766	paei:N296_2076
ko:K01969	paei:N296_2077
ko:K00253	paei:N296_2078
ko:K18095	paei:N296_2082
ko:K18094	paei:N296_2083
ko:K18129	paei:N296_2084
ko:K00012	paei:N296_2086
ko:K00963	paei:N296_2087
ko:K00383	paei:N296_2089
ko:K14347	paei:N296_2090
ko:K05800	paei:N296_2092
ko:K15256	paei:N296_2098
ko:K01652	paei:N296_2099
ko:K01915	paei:N296_2104
ko:K04754	paei:N296_2900
ko:K07107	paei:N296_2901
ko:K06879	paei:N296_2906
ko:K07644	paei:N296_2910
ko:K01992	paei:N296_2911
ko:K01990	paei:N296_2912
ko:K06445	paei:N296_2915
ko:K06923	paei:N296_2925
ko:K00432	paei:N296_2928
ko:K07305	paei:N296_2929
ko:K14260	paei:N296_2930
ko:K03799	paei:N296_2932
ko:K00569	paei:N296_2934
ko:K03543	paei:N296_2938
ko:K05592	paei:N296_2942
ko:K01626	paei:N296_2945
ko:K09927	paei:N296_2946
ko:K07090	paei:N296_2949
ko:K09954	paei:N296_3736
ko:K07576	paei:N296_3738
ko:K06966	paei:N296_3739
ko:K03565	paei:N296_3740
ko:K03743	paei:N296_3742
ko:K03555	paei:N296_3744
ko:K05524	paei:N296_3745
ko:K03087	paei:N296_3746
ko:K06194	paei:N296_3747
ko:K00573	paei:N296_3748
ko:K03787	paei:N296_3749
ko:K06176	paei:N296_3750
ko:K01770	paei:N296_3751
ko:K01070	paei:N296_3752
ko:K00121	paei:N296_3753
ko:K07112	paei:N296_3755
ko:K00991	paei:N296_3757
ko:K05589	paei:N296_3758
ko:K01689	paei:N296_3759
ko:K01627	paei:N296_3760
ko:K01937	paei:N296_3761
ko:K04075	paei:N296_3762
ko:K01962	paei:N296_3763
ko:K02337	paei:N296_3764
ko:K03310	paei:N296_3765
ko:K03470	paei:N296_3766
ko:K00748	paei:N296_3767
ko:K00677	paei:N296_3768
ko:K02372	paei:N296_3769
