ko:K02035	spx:SPG_0777
ko:K02895	spx:SPG_0206
ko:K02931	spx:SPG_0207
ko:K02954	spx:SPG_0208
ko:K02994	spx:SPG_0209
ko:K02933	spx:SPG_0210
ko:K02881	spx:SPG_0211
ko:K02988	spx:SPG_0212
ko:K02907	spx:SPG_0213
ko:K02876	spx:SPG_0214
ko:K03076	spx:SPG_0215
ko:K00939	spx:SPG_0216
ko:K02518	spx:SPG_0217
ko:K02952	spx:SPG_0218
ko:K02948	spx:SPG_0219
ko:K03040	spx:SPG_0220
ko:K02879	spx:SPG_0221
ko:K07166	spx:SPG_0222
ko:K09157	spx:SPG_0223
ko:K02011	spx:SPG_0226
ko:K02011	spx:SPG_0227
ko:K02012	spx:SPG_0229
ko:K02012	spx:SPG_0230
ko:K04069	spx:SPG_0232
ko:K02759	spx:SPG_0235
ko:K02761	spx:SPG_0237
ko:K00656	spx:SPG_0238
ko:K00005	spx:SPG_0240
ko:K01869	spx:SPG_0241
ko:K03551	spx:SPG_0244
ko:K09962	spx:SPG_0245
ko:K00806	spx:SPG_0246
ko:K00981	spx:SPG_0247
ko:K11041	spx:SPG_0376
ko:K01875	spx:SPG_0377
ko:K00928	spx:SPG_0379
ko:K00648	spx:SPG_0383
ko:K02078	spx:SPG_0384
ko:K02371	spx:SPG_0385
ko:K00645	spx:SPG_0386
ko:K09458	spx:SPG_0388
ko:K02372	spx:SPG_0390
ko:K01963	spx:SPG_0392
ko:K01962	spx:SPG_0393
ko:K03625	spx:SPG_0396
ko:K02356	spx:SPG_0398
ko:K02434	spx:SPG_0399
ko:K02433	spx:SPG_0400
ko:K02435	spx:SPG_0401
ko:K02837	spx:SPG_0402
ko:K02902	spx:SPG_0403
ko:K07030	spx:SPG_0405
ko:K01652	spx:SPG_0407
ko:K01653	spx:SPG_0408
ko:K00053	spx:SPG_0409
ko:K01754	spx:SPG_0412
ko:K06153	spx:SPG_0421
ko:K02346	spx:SPG_0423
ko:K00656	spx:SPG_0424
ko:K02761	spx:SPG_0429
ko:K01220	spx:SPG_0433
ko:K02787	spx:SPG_0434
ko:K02788	spx:SPG_0434
ko:K03498	spx:SPG_0435
ko:K03499	spx:SPG_0436
ko:K02036	spx:SPG_1338
ko:K02038	spx:SPG_1339
ko:K02037	spx:SPG_1340
ko:K02040	spx:SPG_1341
ko:K06023	spx:SPG_1354
ko:K02970	spx:SPG_1355
ko:K02564	spx:SPG_1356
ko:K07568	spx:SPG_1357
ko:K00763	spx:SPG_1361
ko:K08303	spx:SPG_1369
ko:K01951	spx:SPG_1373
ko:K03710	spx:SPG_1374
ko:K07282	spx:SPG_1380
ko:K07282	spx:SPG_1381
ko:K01462	spx:SPG_1382
ko:K03218	spx:SPG_1383
ko:K00384	spx:SPG_1384
ko:K11068	spx:SPG_1392
ko:K08681	spx:SPG_1393
ko:K06215	spx:SPG_1394
ko:K00789	spx:SPG_0694
ko:K00226	spx:SPG_0695
ko:K02340	spx:SPG_0696
ko:K06941	spx:SPG_0699
ko:K00942	spx:SPG_1644
ko:K09710	spx:SPG_1649
ko:K00969	spx:SPG_1652
ko:K07574	spx:SPG_1653
ko:K07015	spx:SPG_1655
ko:K07862	spx:SPG_1659
ko:K03671	spx:SPG_1663
ko:K06188	spx:SPG_1665
ko:K09761	spx:SPG_1669
ko:K02687	spx:SPG_1671
ko:K07478	spx:SPG_1679
ko:K01695	spx:SPG_1707
ko:K06024	spx:SPG_1760
ko:K02787	spx:SPG_1082
ko:K02788	spx:SPG_1082
ko:K01961	spx:SPG_0391
ko:K01657	spx:SPG_1713
ko:K07507	spx:SPG_1715
ko:K02011	spx:SPG_1716
ko:K02012	spx:SPG_1718
ko:K01142	spx:SPG_1728
ko:K06223	spx:SPG_1735
ko:K00849	spx:SPG_1738
ko:K03811	spx:SPG_1745
ko:K05845	spx:SPG_1746
ko:K05846	spx:SPG_1746
ko:K02015	spx:SPG_1754
ko:K02015	spx:SPG_1755
ko:K02013	spx:SPG_1756
ko:K02016	spx:SPG_1757
ko:K08998	spx:SPG_1758
ko:K07313	spx:SPG_1095
ko:K00057	spx:SPG_2029
ko:K00963	spx:SPG_2030
ko:K05823	spx:SPG_2033
ko:K01866	spx:SPG_2037
ko:K00563	spx:SPG_2040
ko:K00688	spx:SPG_2043
ko:K00705	spx:SPG_2044
ko:K01876	spx:SPG_2051
ko:K01892	spx:SPG_2058
ko:K01687	spx:SPG_2063
ko:K00615	spx:SPG_2064
ko:K00615	spx:SPG_2065
ko:K03475	spx:SPG_2066
ko:K02822	spx:SPG_2067
ko:K02911	spx:SPG_2072
ko:K02913	spx:SPG_2073
ko:K09704	spx:SPG_2084
ko:K01206	spx:SPG_2086
ko:K01478	spx:SPG_2088
ko:K00611	spx:SPG_2089
ko:K00926	spx:SPG_2090
ko:K08602	spx:SPG_0902
ko:K07533	spx:SPG_0904
ko:K03976	spx:SPG_0910
ko:K08974	spx:SPG_0911
ko:K02342	spx:SPG_0918
ko:K01126	spx:SPG_0919
ko:K06196	spx:SPG_0924
ko:K09815	spx:SPG_0927
ko:K01258	spx:SPG_0934
ko:K01772	spx:SPG_0935
ko:K03282	spx:SPG_0936
ko:K00133	spx:SPG_0940
ko:K01714	spx:SPG_0941
ko:K03650	spx:SPG_0942
ko:K01821	spx:SPG_0943
ko:K00857	spx:SPG_0944
ko:K02835	spx:SPG_0945
ko:K02493	spx:SPG_0946
ko:K07566	spx:SPG_0947
ko:K00600	spx:SPG_0949
ko:K02016	spx:SPG_0956
ko:K02015	spx:SPG_0957
ko:K02015	spx:SPG_0958
ko:K02013	spx:SPG_0959
ko:K07778	spx:SPG_1903
ko:K03168	spx:SPG_1156
ko:K04096	spx:SPG_1160
ko:K01955	spx:SPG_1169
ko:K01956	spx:SPG_1170
ko:K00609	spx:SPG_1171
ko:K10773	spx:SPG_1173
ko:K07040	spx:SPG_1174
ko:K03799	spx:SPG_1177
ko:K03744	spx:SPG_1178
ko:K03501	spx:SPG_1179
ko:K03106	spx:SPG_1181
ko:K09787	spx:SPG_1182
ko:K06885	spx:SPG_1184
ko:K02884	spx:SPG_1187
ko:K06199	spx:SPG_1188
ko:K06199	spx:SPG_1189
ko:K04516	spx:SPG_1190
ko:K02909	spx:SPG_1193
ko:K02120	spx:SPG_1208
ko:K02118	spx:SPG_1209
ko:K02117	spx:SPG_1210
ko:K02122	spx:SPG_1211
ko:K03596	spx:SPG_1094
ko:K06178	spx:SPG_1759
ko:K02621	spx:SPG_0775
ko:K02119	spx:SPG_1212
ko:K07095	spx:SPG_1764
ko:K01776	spx:SPG_1766
ko:K08591	spx:SPG_0772
ko:K00826	spx:SPG_0776
ko:K01304	spx:SPG_0780
ko:K02945	spx:SPG_0784
ko:K02343	spx:SPG_0788
ko:K09013	spx:SPG_0790
ko:K09015	spx:SPG_0791
ko:K04488	spx:SPG_0793
ko:K09014	spx:SPG_0794
ko:K07258	spx:SPG_0795
ko:K00882	spx:SPG_0800
ko:K03151	spx:SPG_0806
ko:K03427	spx:SPG_0812
ko:K01153	spx:SPG_0818
ko:K03402	spx:SPG_0819
ko:K02337	spx:SPG_0821
ko:K00850	spx:SPG_0822
ko:K00873	spx:SPG_0824
ko:K07089	spx:SPG_0831
ko:K06959	spx:SPG_0833
ko:K09976	spx:SPG_1767
ko:K01226	spx:SPG_1768
ko:K03486	spx:SPG_1770
ko:K00690	spx:SPG_1781
ko:K03565	spx:SPG_1811
ko:K07586	spx:SPG_1812
ko:K09765	spx:SPG_1816
ko:K04077	spx:SPG_1818
ko:K04078	spx:SPG_1819
ko:K03111	spx:SPG_1820
ko:K06878	spx:SPG_1822
ko:K09155	spx:SPG_0509
ko:K01873	spx:SPG_0516
ko:K03488	spx:SPG_0524
ko:K01223	spx:SPG_0526
ko:K01889	spx:SPG_0527
ko:K00549	spx:SPG_0534
ko:K00962	spx:SPG_0536
ko:K00640	spx:SPG_0537
ko:K01883	spx:SPG_0539
ko:K11145	spx:SPG_0540
ko:K02003	spx:SPG_0545
ko:K01624	spx:SPG_0549
ko:K03205	spx:SPG_1280
ko:K02003	spx:SPG_1283
ko:K02935	spx:SPG_1294
ko:K02864	spx:SPG_1295
ko:K00872	spx:SPG_1301
ko:K00003	spx:SPG_1302
ko:K00891	spx:SPG_1311
ko:K00800	spx:SPG_1312
ko:K01736	spx:SPG_1315
ko:K01735	spx:SPG_1316
ko:K00014	spx:SPG_1317
ko:K03785	spx:SPG_1318
ko:K02160	spx:SPG_0389
ko:K06969	spx:SPG_1319
ko:K01872	spx:SPG_1323
ko:K11069	spx:SPG_1325
ko:K11070	spx:SPG_1326
ko:K11071	spx:SPG_1327
ko:K00075	spx:SPG_1329
ko:K01575	spx:SPG_1332
ko:K02039	spx:SPG_1336
ko:K02036	spx:SPG_1337
ko:K02563	spx:SPG_0629
ko:K03589	spx:SPG_0630
ko:K01591	spx:SPG_0631
ko:K00762	spx:SPG_0632
ko:K04567	spx:SPG_0647
ko:K00878	spx:SPG_0650
ko:K00788	spx:SPG_0651
ko:K03707	spx:SPG_0655
ko:K00878	spx:SPG_0657
ko:K00788	spx:SPG_0658
ko:K00158	spx:SPG_0663
ko:K01223	spx:SPG_0667
ko:K03308	spx:SPG_0669
ko:K07007	spx:SPG_0672
ko:K01493	spx:SPG_0675
ko:K00761	spx:SPG_0676
ko:K01999	spx:SPG_0680
ko:K01997	spx:SPG_0681
ko:K01998	spx:SPG_0682
ko:K01995	spx:SPG_0683
ko:K01996	spx:SPG_0684
ko:K02836	spx:SPG_0686
ko:K00973	spx:SPG_0325
ko:K01790	spx:SPG_0326
ko:K00067	spx:SPG_0328
ko:K02035	spx:SPG_0332
ko:K03700	spx:SPG_0335
ko:K07444	spx:SPG_0339
ko:K00033	spx:SPG_0341
ko:K00869	spx:SPG_0346
ko:K01597	spx:SPG_0347
ko:K00938	spx:SPG_0348
ko:K01823	spx:SPG_0349
ko:K00009	spx:SPG_0365
ko:K03545	spx:SPG_0367
ko:K03581	spx:SPG_0368
ko:K03100	spx:SPG_0369
ko:K03471	spx:SPG_0370
ko:K07456	spx:SPG_0373
ko:K03310	spx:SPG_0374
ko:K01881	spx:SPG_0249
ko:K00820	spx:SPG_0251
ko:K02950	spx:SPG_0254
ko:K02992	spx:SPG_0255
ko:K02355	spx:SPG_0256
ko:K03763	spx:SPG_0257
ko:K01372	spx:SPG_0264
ko:K02796	spx:SPG_0265
ko:K06901	spx:SPG_0272
ko:K00796	spx:SPG_0274
ko:K01495	spx:SPG_0276
ko:K02871	spx:SPG_0279
ko:K02996	spx:SPG_0280
ko:K00432	spx:SPG_0284
ko:K01727	spx:SPG_0285
ko:K00874	spx:SPG_0288
ko:K02744	spx:SPG_0291
ko:K02745	spx:SPG_0293
ko:K02746	spx:SPG_0294
ko:K02747	spx:SPG_0295
ko:K03210	spx:SPG_0296
ko:K03438	spx:SPG_0303
ko:K01000	spx:SPG_0306
ko:K04086	spx:SPG_0308
ko:K07173	spx:SPG_0309
ko:K03216	spx:SPG_0441
ko:K03048	spx:SPG_0446
ko:K01937	spx:SPG_0448
ko:K00927	spx:SPG_0452
ko:K03713	spx:SPG_0457
ko:K01915	spx:SPG_0458
ko:K03427	spx:SPG_0462
ko:K01153	spx:SPG_0463
ko:K03705	spx:SPG_0466
ko:K03687	spx:SPG_0467
ko:K04043	spx:SPG_0468
ko:K07707	spx:SPG_0476
ko:K07706	spx:SPG_0477
ko:K03439	spx:SPG_0497
ko:K09748	spx:SPG_0498
ko:K02600	spx:SPG_0499
ko:K07742	spx:SPG_0500
ko:K02519	spx:SPG_0502
ko:K02834	spx:SPG_0503
ko:K03734	spx:SPG_1398
ko:K01879	spx:SPG_1402
ko:K01878	spx:SPG_1403
ko:K02358	spx:SPG_1413
ko:K02440	spx:SPG_1415
ko:K02114	spx:SPG_1429
ko:K02112	spx:SPG_1430
ko:K02115	spx:SPG_1432
ko:K02111	spx:SPG_1433
ko:K02113	spx:SPG_1434
ko:K02109	spx:SPG_1435
ko:K02108	spx:SPG_1436
ko:K02110	spx:SPG_1437
ko:K03624	spx:SPG_1441
ko:K07082	spx:SPG_1442
ko:K01924	spx:SPG_1445
ko:K07462	spx:SPG_0555
ko:K07570	spx:SPG_1463
ko:K02963	spx:SPG_1465
ko:K03111	spx:SPG_1466
ko:K02990	spx:SPG_1467
ko:K01893	spx:SPG_1468
ko:K09861	spx:SPG_1474
ko:K01462	spx:SPG_1477
ko:K03431	spx:SPG_1486
ko:K09762	spx:SPG_1490
ko:K03978	spx:SPG_1494
ko:K03544	spx:SPG_1495
ko:K00287	spx:SPG_1497
ko:K04047	spx:SPG_1498
ko:K01803	spx:SPG_1500
ko:K02086	spx:SPG_1501
ko:K00651	spx:SPG_1502
ko:K00759	spx:SPG_1503
ko:K10112	spx:SPG_1505
ko:K03706	spx:SPG_1509
ko:K05592	spx:SPG_1510
ko:K01928	spx:SPG_1513
ko:K07009	spx:SPG_1514
ko:K03703	spx:SPG_0561
ko:K03311	spx:SPG_0570
ko:K02867	spx:SPG_0574
ko:K02863	spx:SPG_0575
ko:K07139	spx:SPG_0593
ko:K07058	spx:SPG_0598
ko:K06196	spx:SPG_0599
ko:K00845	spx:SPG_0609
ko:K00560	spx:SPG_0610
ko:K00791	spx:SPG_0612
ko:K03665	spx:SPG_0613
ko:K00784	spx:SPG_0615
ko:K06207	spx:SPG_0623
ko:K02003	spx:SPG_0627
ko:K01925	spx:SPG_0628
ko:K06173	spx:SPG_1522
ko:K06193	spx:SPG_1526
ko:K00945	spx:SPG_1527
ko:K06967	spx:SPG_1534
ko:K00655	spx:SPG_1536
ko:K02956	spx:SPG_1538
ko:K07118	spx:SPG_1539
ko:K01868	spx:SPG_1542
ko:K07560	spx:SPG_1554
ko:K07386	spx:SPG_1557
ko:K11065	spx:SPG_1561
ko:K02003	spx:SPG_1563
ko:K01870	spx:SPG_1568
ko:K04074	spx:SPG_1570
ko:K02221	spx:SPG_1572
ko:K09772	spx:SPG_1573
ko:K06997	spx:SPG_1574
ko:K03531	spx:SPG_1575
ko:K03590	spx:SPG_1576
ko:K01929	spx:SPG_1579
ko:K01921	spx:SPG_1580
ko:K06187	spx:SPG_1581
ko:K09812	spx:SPG_0687
ko:K09811	spx:SPG_0688
ko:K01639	spx:SPG_1585
ko:K02026	spx:SPG_1589
ko:K02025	spx:SPG_1590
ko:K01788	spx:SPG_1593
ko:K02026	spx:SPG_1596
ko:K02025	spx:SPG_1597
ko:K03655	spx:SPG_1603
ko:K01775	spx:SPG_1604
ko:K00997	spx:SPG_1605
ko:K01626	spx:SPG_1606
ko:K01626	spx:SPG_1607
ko:K03070	spx:SPG_1608
ko:K03977	spx:SPG_1615
ko:K11144	spx:SPG_1617
ko:K03346	spx:SPG_1618
ko:K07738	spx:SPG_1619
ko:K00847	spx:SPG_1626
ko:K01641	spx:SPG_1632
ko:K03500	spx:SPG_1640
ko:K00604	spx:SPG_1641
ko:K04066	spx:SPG_1642
ko:K03060	spx:SPG_1643
ko:K02601	spx:SPG_1923
ko:K03073	spx:SPG_1924
ko:K06180	spx:SPG_1926
ko:K00134	spx:SPG_1927
ko:K00767	spx:SPG_1930
ko:K05350	spx:SPG_1934
ko:K02761	spx:SPG_1935
ko:K02759	spx:SPG_1937
ko:K03210	spx:SPG_1942
ko:K00615	spx:SPG_1943
ko:K03476	spx:SPG_1944
ko:K02821	spx:SPG_1950
ko:K02822	spx:SPG_1951
ko:K03475	spx:SPG_1952
ko:K06346	spx:SPG_1954
ko:K03217	spx:SPG_1955
ko:K03536	spx:SPG_1956
ko:K00925	spx:SPG_1958
ko:K03588	spx:SPG_0988
ko:K01595	spx:SPG_0989
ko:K01989	spx:SPG_0990
ko:K05832	spx:SPG_0991
ko:K05833	spx:SPG_0992
ko:K02316	spx:SPG_0993
ko:K03086	spx:SPG_0994
ko:K03979	spx:SPG_1000
ko:K00790	spx:SPG_1002
ko:K01265	spx:SPG_1005
ko:K03657	spx:SPG_1008
ko:K03630	spx:SPG_1010
ko:K07010	spx:SPG_1009
ko:K02313	spx:SPG_0001
ko:K02338	spx:SPG_0002
ko:K06942	spx:SPG_0004
ko:K01056	spx:SPG_0005
ko:K03723	spx:SPG_0006
ko:K04075	spx:SPG_0011
ko:K00760	spx:SPG_0012
ko:K03798	spx:SPG_0013
ko:K01939	spx:SPG_0025
ko:K01520	spx:SPG_0028
ko:K04485	spx:SPG_0030
ko:K00948	spx:SPG_0034
ko:K02335	spx:SPG_0038
ko:K06929	spx:SPG_0039
ko:K03584	spx:SPG_0042
ko:K03621	spx:SPG_0043
ko:K02078	spx:SPG_0044
ko:K02529	spx:SPG_1739
ko:K02529	spx:SPG_2049
ko:K02529	spx:SPG_1685
ko:K02529	spx:SPG_1901
ko:K03466	spx:SPG_0803
ko:K02622	spx:SPG_0773
ko:K01874	spx:SPG_0718
ko:K01890	spx:SPG_0529
ko:K09698	spx:SPG_2008
ko:K01916	spx:SPG_1360
ko:K06958	spx:SPG_1492
ko:K03767	spx:SPG_0702
ko:K07090	spx:SPG_1693
ko:K04518	spx:SPG_1310
ko:K00567	spx:SPG_1389
ko:K01104	spx:SPG_1941
ko:K01104	spx:SPG_0315
ko:K01635	spx:SPG_1085
ko:K07052	spx:SPG_1130
ko:K03709	spx:SPG_1549
ko:K10681	spx:SPG_0085
ko:K03574	spx:SPG_1068
ko:K01091	spx:SPG_0101
ko:K10682	spx:SPG_0084
ko:K00703	spx:SPG_1042
ko:K02242	spx:SPG_2153
ko:K00625	spx:SPG_1020
ko:K12308	spx:SPG_0064
ko:K02236	spx:SPG_1704
ko:K01923	spx:SPG_0050
ko:K01952	spx:SPG_0051
ko:K00764	spx:SPG_0052
ko:K01933	spx:SPG_0053
ko:K11175	spx:SPG_0054
ko:K01945	spx:SPG_0057
ko:K01588	spx:SPG_0058
ko:K01589	spx:SPG_0059
ko:K01756	spx:SPG_0061
ko:K02795	spx:SPG_0066
ko:K02796	spx:SPG_0067
ko:K02082	spx:SPG_0069
ko:K07104	spx:SPG_0076
ko:K03498	spx:SPG_0079
ko:K03499	spx:SPG_0080
ko:K02986	spx:SPG_0086
ko:K07146	spx:SPG_0092
ko:K03449	spx:SPG_0098
ko:K01752	spx:SPG_0102
ko:K01752	spx:SPG_0103
ko:K02003	spx:SPG_0106
ko:K01940	spx:SPG_0108
ko:K12251	spx:SPG_0848
ko:K07105	spx:SPG_1126
ko:K11753	spx:SPG_1028
ko:K11752	spx:SPG_0169
ko:K12292	spx:SPG_0048
ko:K12267	spx:SPG_1300
ko:K02121	spx:SPG_1213
ko:K02825	spx:SPG_1172
ko:K03686	spx:SPG_0469
ko:K02795	spx:SPG_0266
ko:K02768	spx:SPG_0801
ko:K02769	spx:SPG_0801
ko:K02770	spx:SPG_0801
ko:K02798	spx:SPG_0364
ko:K11189	spx:SPG_1075
ko:K02760	spx:SPG_1936
ko:K02755	spx:SPG_0525
ko:K02756	spx:SPG_0525
ko:K02757	spx:SPG_0525
ko:K03497	spx:SPG_2189
ko:K04564	spx:SPG_0697
ko:K05896	spx:SPG_1761
ko:K02761	spx:SPG_1701
ko:K04763	spx:SPG_1258
ko:K01673	spx:SPG_0031
ko:K01809	spx:SPG_0668
ko:K11072	spx:SPG_1328
ko:K01154	spx:SPG_0460
ko:K01154	spx:SPG_0461
ko:K01834	spx:SPG_1565
ko:K01625	spx:SPG_0287
ko:K01154	spx:SPG_0817
ko:K00016	spx:SPG_1112
ko:K02824	spx:SPG_1180
ko:K12574	spx:SPG_0126
ko:K06148	spx:SPG_0138
ko:K07052	spx:SPG_0146
ko:K02030	spx:SPG_0150
ko:K01992	spx:SPG_1623
ko:K00602	spx:SPG_0056
ko:K00262	spx:SPG_1197
ko:K11717	spx:SPG_0792
ko:K13292	spx:SPG_1353
ko:K03484	spx:SPG_1630
ko:K00841	spx:SPG_0041
ko:K04517	spx:SPG_1314
ko:K01176	spx:SPG_1322
