ko:K00666	coe:Cp258_0235
ko:K06959	coe:Cp258_1340
ko:K00554	coe:Cp258_1343
ko:K02860	coe:Cp258_1344
ko:K02959	coe:Cp258_1346
ko:K03106	coe:Cp258_1347
ko:K00990	coe:Cp258_1348
ko:K04751	coe:Cp258_1349
ko:K03110	coe:Cp258_1350
ko:K02016	coe:Cp258_0035
ko:K02016	coe:Cp258_0047
ko:K06213	coe:Cp258_0053
ko:K05343	coe:Cp258_0055
ko:K03088	coe:Cp258_0060
ko:K05846	coe:Cp258_0065
ko:K05846	coe:Cp258_0066
ko:K05847	coe:Cp258_0067
ko:K01012	coe:Cp258_0071
ko:K01241	coe:Cp258_0074
ko:K01858	coe:Cp258_0078
ko:K06966	coe:Cp258_0086
ko:K01921	coe:Cp258_0922
ko:K00946	coe:Cp258_0924
ko:K03655	coe:Cp258_0927
ko:K00954	coe:Cp258_0930
ko:K07090	coe:Cp258_0931
ko:K02029	coe:Cp258_0934
ko:K02945	coe:Cp258_0947
ko:K00859	coe:Cp258_0949
ko:K03702	coe:Cp258_0951
ko:K03701	coe:Cp258_0956
ko:K02520	coe:Cp258_0957
ko:K02916	coe:Cp258_0958
ko:K02887	coe:Cp258_0959
ko:K03437	coe:Cp258_0961
ko:K01889	coe:Cp258_0962
ko:K01890	coe:Cp258_0963
ko:K00145	coe:Cp258_0964
ko:K00620	coe:Cp258_0965
ko:K00930	coe:Cp258_0966
ko:K00611	coe:Cp258_0968
ko:K03402	coe:Cp258_0969
ko:K01940	coe:Cp258_0970
ko:K01755	coe:Cp258_0971
ko:K09791	coe:Cp258_0972
ko:K01866	coe:Cp258_0973
ko:K03218	coe:Cp258_1775
ko:K01883	coe:Cp258_1776
ko:K01770	coe:Cp258_1777
ko:K00991	coe:Cp258_1778
ko:K07736	coe:Cp258_1779
ko:K04485	coe:Cp258_1782
ko:K01673	coe:Cp258_1784
ko:K03575	coe:Cp258_1785
ko:K03696	coe:Cp258_1788
ko:K04567	coe:Cp258_1794
ko:K02168	coe:Cp258_1799
ko:K01918	coe:Cp258_1801
ko:K00950	coe:Cp258_1805
ko:K01633	coe:Cp258_1806
ko:K00796	coe:Cp258_1807
ko:K01495	coe:Cp258_1808
ko:K03798	coe:Cp258_1809
ko:K00760	coe:Cp258_1810
ko:K04075	coe:Cp258_1811
ko:K07259	coe:Cp258_1812
ko:K11103	coe:Cp258_1815
ko:K04077	coe:Cp258_1823
ko:K03073	coe:Cp258_0309
ko:K02601	coe:Cp258_0310
ko:K02867	coe:Cp258_0311
ko:K02863	coe:Cp258_0312
ko:K02864	coe:Cp258_0316
ko:K02935	coe:Cp258_0317
ko:K03043	coe:Cp258_0325
ko:K03046	coe:Cp258_0326
ko:K07089	coe:Cp258_0332
ko:K04069	coe:Cp258_0333
ko:K02950	coe:Cp258_0336
ko:K02992	coe:Cp258_0337
ko:K02355	coe:Cp258_0338
ko:K02358	coe:Cp258_0339
ko:K02946	coe:Cp258_0349
ko:K02906	coe:Cp258_0350
ko:K02926	coe:Cp258_0351
ko:K02892	coe:Cp258_0352
ko:K02886	coe:Cp258_0353
ko:K02965	coe:Cp258_0354
ko:K02890	coe:Cp258_0355
ko:K02982	coe:Cp258_0356
ko:K02878	coe:Cp258_0357
ko:K02904	coe:Cp258_0358
ko:K02961	coe:Cp258_0359
ko:K02034	coe:Cp258_0362
ko:K01159	coe:Cp258_1193
ko:K10805	coe:Cp258_1196
ko:K00995	coe:Cp258_1203
ko:K01868	coe:Cp258_1205
ko:K07156	coe:Cp258_1208
ko:K03684	coe:Cp258_1215
ko:K01662	coe:Cp258_1216
ko:K00886	coe:Cp258_1224
ko:K03086	coe:Cp258_1225
ko:K07560	coe:Cp258_1231
ko:K04756	coe:Cp258_1238
ko:K04761	coe:Cp258_1241
ko:K03578	coe:Cp258_1243
ko:K08369	coe:Cp258_2048
ko:K02939	coe:Cp258_2052
ko:K02990	coe:Cp258_2054
ko:K07146	coe:Cp258_2064
ko:K03975	coe:Cp258_2065
ko:K04047	coe:Cp258_2066
ko:K01421	coe:Cp258_2070
ko:K01869	coe:Cp258_2072
ko:K02003	coe:Cp258_2074
ko:K01443	coe:Cp258_2081
ko:K01714	coe:Cp258_2090
ko:K01792	coe:Cp258_2095
ko:K09946	coe:Cp258_2098
ko:K15733	coe:Cp258_1206
ko:K02837	coe:Cp258_0702
ko:K01056	coe:Cp258_0704
ko:K01056	coe:Cp258_0707
ko:K02897	coe:Cp258_0708
ko:K00948	coe:Cp258_0710
ko:K04042	coe:Cp258_0711
ko:K03723	coe:Cp258_0715
ko:K03758	coe:Cp258_0716
ko:K01689	coe:Cp258_0719
ko:K01524	coe:Cp258_0722
ko:K03624	coe:Cp258_0726
ko:K00600	coe:Cp258_0733
ko:K03823	coe:Cp258_0739
ko:K03602	coe:Cp258_0745
ko:K03601	coe:Cp258_0746
ko:K03527	coe:Cp258_0747
ko:K06942	coe:Cp258_0750
ko:K06193	coe:Cp258_0753
ko:K03596	coe:Cp258_1570
ko:K02968	coe:Cp258_1572
ko:K02340	coe:Cp258_1575
ko:K02237	coe:Cp258_1577
ko:K09710	coe:Cp258_1580
ko:K00969	coe:Cp258_1581
ko:K00147	coe:Cp258_1582
ko:K09790	coe:Cp258_1584
ko:K07085	coe:Cp258_1585
ko:K00931	coe:Cp258_1586
ko:K03979	coe:Cp258_1587
ko:K02899	coe:Cp258_1588
ko:K00940	coe:Cp258_1592
ko:K11754	coe:Cp258_1595
ko:K01873	coe:Cp258_1596
ko:K00024	coe:Cp258_1597
ko:K03544	coe:Cp258_1599
ko:K13950	coe:Cp258_1600
ko:K01358	coe:Cp258_1601
ko:K01358	coe:Cp258_1602
ko:K03545	coe:Cp258_1603
ko:K06911	coe:Cp258_1607
ko:K01808	coe:Cp258_1608
ko:K01256	coe:Cp258_1611
ko:K06886	coe:Cp258_1614
ko:K09936	coe:Cp258_1615
ko:K07107	coe:Cp258_1617
ko:K02013	coe:Cp258_0592
ko:K03704	coe:Cp258_0601
ko:K06901	coe:Cp258_0605
ko:K00831	coe:Cp258_0609
ko:K01647	coe:Cp258_0610
ko:K14393	coe:Cp258_0618
ko:K03327	coe:Cp258_0624
ko:K01697	coe:Cp258_0625
ko:K01586	coe:Cp258_0626
ko:K02034	coe:Cp258_0631
ko:K03724	coe:Cp258_0640
ko:K01810	coe:Cp258_0644
ko:K00826	coe:Cp258_1458
ko:K01255	coe:Cp258_1459
ko:K00658	coe:Cp258_1461
ko:K00281	coe:Cp258_1462
ko:K00605	coe:Cp258_1463
ko:K02437	coe:Cp258_1464
ko:K03801	coe:Cp258_1466
ko:K03644	coe:Cp258_1467
ko:K01915	coe:Cp258_1470
ko:K07084	coe:Cp258_1478
ko:K01733	coe:Cp258_1481
ko:K00982	coe:Cp258_1486
ko:K01915	coe:Cp258_1487
ko:K00849	coe:Cp258_1491
ko:K07164	coe:Cp258_1494
ko:K00817	coe:Cp258_1496
ko:K02227	coe:Cp258_1500
ko:K00163	coe:Cp258_1502
ko:K02078	coe:Cp258_1504
ko:K05567	coe:Cp258_0200
ko:K09117	coe:Cp258_0205
ko:K10773	coe:Cp258_0213
ko:K02283	coe:Cp258_0222
ko:K12510	coe:Cp258_0223
ko:K03704	coe:Cp258_0229
ko:K03168	coe:Cp258_0230
ko:K02341	coe:Cp258_0233
ko:K00973	coe:Cp258_0237
ko:K00382	coe:Cp258_0244
ko:K07110	coe:Cp258_0245
ko:K00239	coe:Cp258_0247
ko:K00240	coe:Cp258_0248
ko:K04069	coe:Cp258_0254
ko:K01772	coe:Cp258_1090
ko:K01681	coe:Cp258_1093
ko:K01951	coe:Cp258_1095
ko:K07166	coe:Cp258_1096
ko:K09157	coe:Cp258_1097
ko:K11717	coe:Cp258_1104
ko:K09013	coe:Cp258_1105
ko:K09015	coe:Cp258_1106
ko:K09014	coe:Cp258_1107
ko:K02259	coe:Cp258_1112
ko:K00615	coe:Cp258_1114
ko:K00036	coe:Cp258_1116
ko:K01057	coe:Cp258_1118
ko:K03075	coe:Cp258_1119
ko:K01595	coe:Cp258_1120
ko:K01803	coe:Cp258_1121
ko:K00927	coe:Cp258_1122
ko:K00134	coe:Cp258_1123
ko:K06958	coe:Cp258_1126
ko:K03703	coe:Cp258_1127
ko:K00794	coe:Cp258_1129
ko:K14652	coe:Cp258_1130
ko:K00793	coe:Cp258_1131
ko:K11752	coe:Cp258_1132
ko:K01783	coe:Cp258_1133
ko:K03500	coe:Cp258_1134
ko:K00604	coe:Cp258_1135
ko:K01462	coe:Cp258_1136
ko:K04066	coe:Cp258_1137
ko:K00789	coe:Cp258_1138
ko:K01429	coe:Cp258_1938
ko:K01430	coe:Cp258_1939
ko:K14260	coe:Cp258_1941
ko:K04567	coe:Cp258_1943
ko:K00012	coe:Cp258_1947
ko:K01494	coe:Cp258_1948
ko:K01207	coe:Cp258_1952
ko:K03439	coe:Cp258_1961
ko:K01126	coe:Cp258_1984
ko:K02445	coe:Cp258_1985
ko:K02013	coe:Cp258_1987
ko:K02015	coe:Cp258_1988
ko:K02016	coe:Cp258_1989
ko:K18955	coe:Cp258_0513
ko:K09781	coe:Cp258_0757
ko:K00077	coe:Cp258_0758
ko:K06207	coe:Cp258_0772
ko:K06966	coe:Cp258_0785
ko:K00796	coe:Cp258_0786
ko:K00563	coe:Cp258_0790
ko:K01193	coe:Cp258_0791
ko:K01575	coe:Cp258_0792
ko:K00975	coe:Cp258_0794
ko:K03088	coe:Cp258_0796
ko:K03117	coe:Cp258_0798
ko:K00014	coe:Cp258_0806
ko:K09136	coe:Cp258_1624
ko:K09136	coe:Cp258_1630
ko:K06200	coe:Cp258_1634
ko:K14645	coe:Cp258_1635
ko:K07124	coe:Cp258_1637
ko:K13288	coe:Cp258_1638
ko:K01714	coe:Cp258_1639
ko:K08281	coe:Cp258_1647
ko:K03564	coe:Cp258_1650
ko:K00997	coe:Cp258_1652
ko:K11533	coe:Cp258_1653
ko:K00989	coe:Cp258_1664
ko:K01776	coe:Cp258_1666
ko:K06891	coe:Cp258_1669
ko:K00763	coe:Cp258_1670
ko:K00965	coe:Cp258_0814
ko:K00849	coe:Cp258_0815
ko:K05592	coe:Cp258_0816
ko:K00782	coe:Cp258_0832
ko:K03303	coe:Cp258_0835
ko:K01887	coe:Cp258_0836
ko:K01586	coe:Cp258_0837
ko:K00003	coe:Cp258_0838
ko:K00872	coe:Cp258_0839
ko:K03628	coe:Cp258_0842
ko:K02835	coe:Cp258_0843
ko:K02493	coe:Cp258_0844
ko:K02108	coe:Cp258_0850
ko:K02110	coe:Cp258_0851
ko:K02109	coe:Cp258_0852
ko:K02113	coe:Cp258_0853
ko:K02111	coe:Cp258_0854
ko:K02115	coe:Cp258_0855
ko:K02112	coe:Cp258_0856
ko:K02114	coe:Cp258_0857
ko:K05606	coe:Cp258_0859
ko:K05838	coe:Cp258_0861
ko:K02013	coe:Cp258_0864
ko:K03521	coe:Cp258_0867
ko:K03522	coe:Cp258_0868
ko:K01079	coe:Cp258_1673
ko:K15342	coe:Cp258_1677
ko:K02217	coe:Cp258_1687
ko:K02919	coe:Cp258_1691
ko:K06199	coe:Cp258_1705
ko:K06199	coe:Cp258_1706
ko:K02003	coe:Cp258_1708
ko:K00790	coe:Cp258_1711
ko:K01738	coe:Cp258_1715
ko:K00640	coe:Cp258_1716
ko:K06975	coe:Cp258_1717
ko:K00005	coe:Cp258_1718
ko:K00425	coe:Cp258_1719
ko:K01840	coe:Cp258_0176
ko:K01840	coe:Cp258_0480
ko:K01834	coe:Cp258_0262
ko:K01840	coe:Cp258_0516
ko:K01977	coe:Cp258_r01
ko:K01977	coe:Cp258_r12
ko:K01977	coe:Cp258_r09
ko:K01977	coe:Cp258_r04
ko:K07177	coe:Cp258_0556
ko:K09118	coe:Cp258_0559
ko:K00368	coe:Cp258_0563
ko:K05602	coe:Cp258_0576
ko:K12942	coe:Cp258_0580
ko:K13787	coe:Cp258_1432
ko:K00845	coe:Cp258_1440
ko:K13668	coe:Cp258_1441
ko:K03891	coe:Cp258_1445
ko:K03475	coe:Cp258_0096
