ko:K00986	bant:A16_59740
ko:K02892	bant:A16_01230
ko:K02926	bant:A16_01220
ko:K02886	bant:A16_01240
ko:K02965	bant:A16_01250
ko:K02890	bant:A16_01260
ko:K02982	bant:A16_01270
ko:K02878	bant:A16_01280
ko:K02904	bant:A16_01290
ko:K02961	bant:A16_01300
ko:K02874	bant:A16_01310
ko:K02895	bant:A16_01320
ko:K02931	bant:A16_01330
ko:K02954	bant:A16_01340
ko:K02994	bant:A16_01350
ko:K02933	bant:A16_01360
ko:K02881	bant:A16_01370
ko:K02988	bant:A16_01380
ko:K02907	bant:A16_01390
ko:K02876	bant:A16_01400
ko:K03076	bant:A16_01410
ko:K00939	bant:A16_01420
ko:K01265	bant:A16_01430
ko:K02518	bant:A16_01440
ko:K02919	bant:A16_01450
ko:K02952	bant:A16_01460
ko:K02948	bant:A16_01470
ko:K03040	bant:A16_01480
ko:K02879	bant:A16_01490
ko:K16786	bant:A16_01500
ko:K16787	bant:A16_01510
ko:K16785	bant:A16_01520
ko:K06173	bant:A16_01530
ko:K02871	bant:A16_01540
ko:K02996	bant:A16_01550
ko:K01448	bant:A16_01570
ko:K03593	bant:A16_01580
ko:K06294	bant:A16_01590
ko:K06349	bant:A16_01600
ko:K01476	bant:A16_01770
ko:K03431	bant:A16_01810
ko:K00820	bant:A16_01820
ko:K11476	bant:A16_01840
ko:K03299	bant:A16_01870
ko:K00033	bant:A16_01880
ko:K16937	bant:A16_01910
ko:K00865	bant:A16_01760
ko:K00059	bant:A16_01970
ko:K02072	bant:A16_01980
ko:K02071	bant:A16_01990
ko:K02073	bant:A16_02000
ko:K07552	bant:A16_02060
ko:K02033	bant:A16_02090
ko:K02034	bant:A16_02100
ko:K15580	bant:A16_02130
ko:K15580	bant:A16_02180
ko:K02035	bant:A16_02190
ko:K00286	bant:A16_02210
ko:K03811	bant:A16_02220
ko:K05340	bant:A16_02230
ko:K02018	bant:A16_02240
ko:K02020	bant:A16_02260
ko:K07219	bant:A16_02270
ko:K00655	bant:A16_02310
ko:K03424	bant:A16_02380
ko:K01091	bant:A16_03610
ko:K07250	bant:A16_03620
ko:K00135	bant:A16_03640
ko:K03317	bant:A16_03690
ko:K03215	bant:A16_03700
ko:K02035	bant:A16_02480
ko:K02033	bant:A16_02490
ko:K02034	bant:A16_02500
ko:K00457	bant:A16_02570
ko:K00451	bant:A16_02590
ko:K01921	bant:A16_02610
ko:K01921	bant:A16_02620
ko:K01929	bant:A16_02630
ko:K05592	bant:A16_02640
ko:K00997	bant:A16_02670
ko:K01775	bant:A16_02690
ko:K07723	bant:A16_02700
ko:K06959	bant:A16_02720
ko:K03095	bant:A16_02730
ko:K06925	bant:A16_02900
ko:K03789	bant:A16_02920
ko:K01409	bant:A16_02930
ko:K06158	bant:A16_02940
ko:K01926	bant:A16_02950
ko:K07052	bant:A16_02970
ko:K04078	bant:A16_02980
ko:K04077	bant:A16_02990
ko:K01951	bant:A16_03000
ko:K06901	bant:A16_03010
ko:K07043	bant:A16_03740
ko:K03315	bant:A16_03780
ko:K14665	bant:A16_03790
ko:K03387	bant:A16_03810
ko:K03386	bant:A16_03820
ko:K08963	bant:A16_03850
ko:K01628	bant:A16_03860
ko:K02015	bant:A16_03870
ko:K02015	bant:A16_03880
ko:K02016	bant:A16_03890
ko:K06325	bant:A16_03930
ko:K06325	bant:A16_03940
ko:K07074	bant:A16_04030
ko:K05548	bant:A16_04040
ko:K02029	bant:A16_04070
ko:K02030	bant:A16_04080
ko:K02028	bant:A16_04090
ko:K03406	bant:A16_04100
ko:K03406	bant:A16_04110
ko:K01187	bant:A16_04120
ko:K01421	bant:A16_04160
ko:K00878	bant:A16_04180
ko:K00788	bant:A16_04190
ko:K07791	bant:A16_04200
ko:K03406	bant:A16_04210
ko:K02049	bant:A16_04250
ko:K06173	bant:A16_05270
ko:K06714	bant:A16_05290
ko:K01425	bant:A16_05370
ko:K02803	bant:A16_05390
ko:K02804	bant:A16_05390
ko:K01784	bant:A16_05460
ko:K00656	bant:A16_05480
ko:K04069	bant:A16_05490
ko:K07071	bant:A16_05540
ko:K06428	bant:A16_05580
ko:K07038	bant:A16_05600
ko:K03575	bant:A16_05610
ko:K10040	bant:A16_07030
ko:K02205	bant:A16_07040
ko:K03088	bant:A16_07070
ko:K03321	bant:A16_07150
ko:K02035	bant:A16_07180
ko:K02034	bant:A16_07190
ko:K02033	bant:A16_07200
ko:K02445	bant:A16_07230
ko:K00852	bant:A16_07290
ko:K06726	bant:A16_07300
ko:K10441	bant:A16_07310
ko:K10440	bant:A16_07320
ko:K10439	bant:A16_07330
ko:K08221	bant:A16_56300
ko:K00616	bant:A16_07340
ko:K09607	bant:A16_07350
ko:K00004	bant:A16_07380
ko:K01114	bant:A16_07400
ko:K06153	bant:A16_07460
ko:K03406	bant:A16_07470
ko:K07284	bant:A16_07510
ko:K03305	bant:A16_07520
ko:K03311	bant:A16_07530
ko:K07729	bant:A16_07580
ko:K03499	bant:A16_07620
ko:K02829	bant:A16_07630
ko:K02828	bant:A16_07640
ko:K03294	bant:A16_09030
ko:K07106	bant:A16_09070
ko:K02809	bant:A16_09080
ko:K02810	bant:A16_09080
ko:K09963	bant:A16_09090
ko:K00619	bant:A16_09150
ko:K03923	bant:A16_09220
ko:K08152	bant:A16_09240
ko:K05520	bant:A16_09260
ko:K03781	bant:A16_09270
ko:K01992	bant:A16_09280
ko:K01776	bant:A16_09300
ko:K00131	bant:A16_09320
ko:K02424	bant:A16_09360
ko:K10009	bant:A16_09370
ko:K10010	bant:A16_09380
ko:K01652	bant:A16_09470
ko:K01575	bant:A16_09480
ko:K03652	bant:A16_09500
ko:K02012	bant:A16_13800
ko:K02011	bant:A16_13830
ko:K05306	bant:A16_13840
ko:K03430	bant:A16_13850
ko:K09798	bant:A16_13950
ko:K13532	bant:A16_13970
ko:K15973	bant:A16_13980
ko:K07697	bant:A16_14020
ko:K06920	bant:A16_14030
ko:K01737	bant:A16_14040
ko:K10026	bant:A16_14050
ko:K09457	bant:A16_14070
ko:K03647	bant:A16_14140
ko:K01990	bant:A16_14200
ko:K07052	bant:A16_14240
ko:K03719	bant:A16_14260
ko:K01297	bant:A16_14300
ko:K00459	bant:A16_14310
ko:K02406	bant:A16_17480
ko:K02417	bant:A16_17530
ko:K02419	bant:A16_17550
ko:K02420	bant:A16_17560
ko:K02421	bant:A16_17570
ko:K02401	bant:A16_17580
ko:K02400	bant:A16_17590
ko:K02392	bant:A16_17620
ko:K06425	bant:A16_17720
ko:K02010	bant:A16_17770
ko:K02012	bant:A16_17780
ko:K02011	bant:A16_17790
ko:K01834	bant:A16_17870
ko:K01953	bant:A16_17940
ko:K00928	bant:A16_18500
ko:K03574	bant:A16_18550
ko:K01448	bant:A16_18560
ko:K00648	bant:A16_18650
ko:K03665	bant:A16_18670
ko:K08223	bant:A16_18700
ko:K01738	bant:A16_18710
ko:K03308	bant:A16_18750
ko:K07304	bant:A16_18850
ko:K00826	bant:A16_18870
ko:K01652	bant:A16_18880
ko:K01653	bant:A16_18890
ko:K00053	bant:A16_18900
ko:K01687	bant:A16_18910
ko:K01754	bant:A16_18920
ko:K07282	bant:A16_18930
ko:K07150	bant:A16_18940
ko:K12960	bant:A16_19030
ko:K03321	bant:A16_09580
ko:K03070	bant:A16_09630
ko:K01448	bant:A16_09770
ko:K02035	bant:A16_09870
ko:K02033	bant:A16_09880
ko:K02034	bant:A16_09890
ko:K11637	bant:A16_09990
ko:K09124	bant:A16_10040
ko:K03740	bant:A16_14320
ko:K03088	bant:A16_17950
ko:K16264	bant:A16_17980
ko:K03315	bant:A16_18070
ko:K01679	bant:A16_18080
ko:K05995	bant:A16_18140
ko:K06196	bant:A16_18180
ko:K01753	bant:A16_18240
ko:K01992	bant:A16_18330
ko:K09903	bant:A16_18370
ko:K11102	bant:A16_18380
ko:K01744	bant:A16_18390
ko:K00027	bant:A16_18400
ko:K07717	bant:A16_18410
ko:K07719	bant:A16_18420
ko:K01914	bant:A16_18460
ko:K15580	bant:A16_19050
ko:K01994	bant:A16_47180
ko:K02035	bant:A16_47230
ko:K02034	bant:A16_47240
ko:K02033	bant:A16_47250
ko:K06188	bant:A16_47350
ko:K01992	bant:A16_47370
ko:K01990	bant:A16_47380
ko:K02556	bant:A16_47420
ko:K07107	bant:A16_47440
ko:K00240	bant:A16_47450
ko:K00239	bant:A16_47460
ko:K00241	bant:A16_47470
ko:K03703	bant:A16_47490
ko:K03671	bant:A16_47500
ko:K03522	bant:A16_47510
ko:K03521	bant:A16_47520
ko:K13767	bant:A16_47530
ko:K13770	bant:A16_47540
ko:K01897	bant:A16_47550
ko:K02016	bant:A16_47580
ko:K02015	bant:A16_47590
ko:K06969	bant:A16_47710
ko:K07145	bant:A16_47730
ko:K08600	bant:A16_47740
ko:K02013	bant:A16_47750
ko:K02015	bant:A16_47760
ko:K02016	bant:A16_47770
ko:K03311	bant:A16_47810
ko:K06182	bant:A16_47820
ko:K07456	bant:A16_47830
ko:K02347	bant:A16_47840
ko:K09888	bant:A16_47860
ko:K03471	bant:A16_47870
ko:K01889	bant:A16_47940
ko:K03437	bant:A16_47950
ko:K06426	bant:A16_47960
ko:K06950	bant:A16_47970
ko:K07052	bant:A16_47980
ko:K07052	bant:A16_47990
ko:K02887	bant:A16_48070
ko:K02916	bant:A16_48080
ko:K01868	bant:A16_48110
ko:K11144	bant:A16_48130
ko:K03346	bant:A16_48140
ko:K07738	bant:A16_48150
ko:K01869	bant:A16_49870
ko:K03455	bant:A16_49890
ko:K07228	bant:A16_49900
ko:K02003	bant:A16_49940
ko:K07139	bant:A16_49980
ko:K01779	bant:A16_50020
ko:K16188	bant:A16_50060
ko:K01048	bant:A16_50070
ko:K03752	bant:A16_50110
ko:K03638	bant:A16_50120
ko:K00789	bant:A16_50150
ko:K01610	bant:A16_50170
ko:K02116	bant:A16_50180
ko:K02051	bant:A16_50300
ko:K02049	bant:A16_50310
ko:K02050	bant:A16_50320
ko:K07173	bant:A16_50410
ko:K08998	bant:A16_50420
ko:K01673	bant:A16_50430
ko:K00425	bant:A16_50440
ko:K00426	bant:A16_50450
ko:K03969	bant:A16_50540
ko:K04759	bant:A16_50570
ko:K04758	bant:A16_50580
ko:K16789	bant:A16_50590
ko:K07284	bant:A16_50620
ko:K00760	bant:A16_50660
ko:K00064	bant:A16_50710
ko:K02004	bant:A16_50760
ko:K02003	bant:A16_50770
ko:K13653	bant:A16_50780
ko:K07090	bant:A16_10160
ko:K17103	bant:A16_10320
ko:K01118	bant:A16_10390
ko:K04757	bant:A16_10600
ko:K03090	bant:A16_10610
ko:K03594	bant:A16_10620
ko:K00575	bant:A16_10640
ko:K03407	bant:A16_10650
ko:K03702	bant:A16_54090
ko:K07729	bant:A16_54170
ko:K06147	bant:A16_54240
ko:K03797	bant:A16_54260
ko:K09811	bant:A16_54270
ko:K09812	bant:A16_54280
ko:K12263	bant:A16_54290
ko:K02836	bant:A16_54310
ko:K03070	bant:A16_54340
ko:K05808	bant:A16_54350
ko:K03704	bant:A16_54370
ko:K02242	bant:A16_54380
ko:K01791	bant:A16_54460
ko:K00012	bant:A16_54470
ko:K02851	bant:A16_54480
ko:K07240	bant:A16_54520
ko:K03478	bant:A16_54530
ko:K01222	bant:A16_54540
ko:K02759	bant:A16_54550
ko:K02761	bant:A16_54560
ko:K02760	bant:A16_54570
ko:K00797	bant:A16_54580
ko:K01611	bant:A16_54590
ko:K02759	bant:A16_54600
ko:K02761	bant:A16_54610
ko:K02760	bant:A16_54620
ko:K01421	bant:A16_54660
ko:K00425	bant:A16_54730
ko:K00426	bant:A16_54740
ko:K03893	bant:A16_54750
ko:K03147	bant:A16_54760
ko:K03303	bant:A16_54770
ko:K00824	bant:A16_54820
ko:K03317	bant:A16_54860
ko:K05020	bant:A16_54910
ko:K02250	bant:A16_55030
ko:K02004	bant:A16_55060
ko:K02003	bant:A16_55070
ko:K02005	bant:A16_55080
ko:K02445	bant:A16_55110
ko:K02012	bant:A16_55120
ko:K01784	bant:A16_55160
ko:K02372	bant:A16_55180
ko:K01791	bant:A16_55200
ko:K09693	bant:A16_55210
ko:K02472	bant:A16_55230
ko:K03569	bant:A16_55310
ko:K06386	bant:A16_55350
ko:K01990	bant:A16_55380
ko:K01990	bant:A16_55390
ko:K06381	bant:A16_55400
ko:K00790	bant:A16_55410
ko:K00343	bant:A16_55440
ko:K00342	bant:A16_55450
ko:K00341	bant:A16_55460
ko:K00340	bant:A16_55470
ko:K00339	bant:A16_55480
ko:K00338	bant:A16_55490
ko:K00337	bant:A16_55500
ko:K00333	bant:A16_55510
ko:K00332	bant:A16_55520
ko:K00331	bant:A16_55530
ko:K00330	bant:A16_55540
ko:K02114	bant:A16_55580
ko:K02112	bant:A16_55590
ko:K02115	bant:A16_55600
ko:K21472	bant:A16_52250
ko:K02111	bant:A16_55610
ko:K02113	bant:A16_55620
ko:K02109	bant:A16_55630
ko:K02110	bant:A16_55640
ko:K02108	bant:A16_55650
ko:K02116	bant:A16_55660
ko:K00761	bant:A16_55690
ko:K00600	bant:A16_55700
ko:K01808	bant:A16_55720
ko:K15977	bant:A16_55750
ko:K07566	bant:A16_55790
ko:K06387	bant:A16_55810
ko:K02493	bant:A16_55820
ko:K02835	bant:A16_55830
ko:K02909	bant:A16_55850
ko:K03628	bant:A16_55860
ko:K02446	bant:A16_55870
ko:K00790	bant:A16_55880
ko:K01624	bant:A16_55890
ko:K02490	bant:A16_55900
ko:K01937	bant:A16_55920
ko:K03048	bant:A16_55930
ko:K00074	bant:A16_55970
ko:K00626	bant:A16_55980
ko:K06131	bant:A16_56000
ko:K07693	bant:A16_56060
ko:K07778	bant:A16_56070
ko:K01992	bant:A16_56080
ko:K01990	bant:A16_56090
ko:K01265	bant:A16_56100
ko:K03088	bant:A16_56200
ko:K01480	bant:A16_56280
ko:K00797	bant:A16_56290
ko:K01126	bant:A16_56330
ko:K01821	bant:A16_56370
ko:K06885	bant:A16_56380
ko:K02016	bant:A16_56390
ko:K02013	bant:A16_56400
ko:K02015	bant:A16_56410
ko:K06314	bant:A16_56450
ko:K16869	bant:A16_56470
ko:K00625	bant:A16_56480
ko:K01449	bant:A16_56510
ko:K06305	bant:A16_56520
ko:K03648	bant:A16_56600
ko:K00003	bant:A16_56660
ko:K00651	bant:A16_56670
ko:K01740	bant:A16_56680
ko:K01560	bant:A16_56700
ko:K01118	bant:A16_56720
ko:K00868	bant:A16_56760
ko:K06200	bant:A16_56790
ko:K08369	bant:A16_56820
ko:K05946	bant:A16_56830
ko:K12267	bant:A16_57010
ko:K05339	bant:A16_57040
ko:K05338	bant:A16_57050
ko:K07704	bant:A16_57070
ko:K00491	bant:A16_57100
ko:K04564	bant:A16_57110
ko:K01784	bant:A16_57150
ko:K11068	bant:A16_57160
ko:K00364	bant:A16_57200
ko:K00783	bant:A16_57230
ko:K07652	bant:A16_57300
ko:K07668	bant:A16_57310
ko:K01939	bant:A16_57360
ko:K02939	bant:A16_57380
ko:K02963	bant:A16_57410
ko:K02990	bant:A16_57430
ko:K06942	bant:A16_57440
ko:K03501	bant:A16_57510
ko:K03495	bant:A16_57520
ko:K03650	bant:A16_57530
ko:K06346	bant:A16_57540
ko:K03217	bant:A16_57550
ko:K03536	bant:A16_57560
ko:K02914	bant:A16_57570
ko:K03698	bant:A16_10810
ko:K16137	bant:A16_10820
ko:K15975	bant:A16_10840
ko:K15975	bant:A16_10850
ko:K02443	bant:A16_10920
ko:K02440	bant:A16_10930
ko:K00864	bant:A16_10940
ko:K00111	bant:A16_10950
ko:K03088	bant:A16_10980
ko:K03657	bant:A16_11060
ko:K07533	bant:A16_11070
ko:K09682	bant:A16_11100
ko:K02503	bant:A16_11120
ko:K01990	bant:A16_11130
ko:K01992	bant:A16_11140
ko:K09167	bant:A16_11190
ko:K08981	bant:A16_11210
ko:K08987	bant:A16_11240
ko:K09167	bant:A16_11290
ko:K08981	bant:A16_11300
ko:K01599	bant:A16_11330
ko:K01772	bant:A16_11340
ko:K00231	bant:A16_11350
ko:K07004	bant:A16_11370
ko:K01421	bant:A16_11430
ko:K03800	bant:A16_11510
ko:K01897	bant:A16_11530
ko:K07098	bant:A16_11690
ko:K06885	bant:A16_11700
ko:K03088	bant:A16_11720
ko:K13653	bant:A16_11730
ko:K07052	bant:A16_11780
ko:K03406	bant:A16_11830
ko:K11636	bant:A16_50840
ko:K11635	bant:A16_50850
ko:K00874	bant:A16_50910
ko:K01042	bant:A16_50930
ko:K01465	bant:A16_50940
ko:K02549	bant:A16_51020
ko:K01911	bant:A16_51030
ko:K01661	bant:A16_51040
ko:K02551	bant:A16_51070
ko:K02552	bant:A16_51080
ko:K02548	bant:A16_51090
ko:K03704	bant:A16_51110
ko:K00688	bant:A16_51150
ko:K00703	bant:A16_51160
ko:K00975	bant:A16_51170
ko:K00975	bant:A16_51180
ko:K00700	bant:A16_51190
ko:K00016	bant:A16_51200
ko:K07507	bant:A16_51460
ko:K10716	bant:A16_51470
ko:K01810	bant:A16_51490
ko:K09779	bant:A16_51500
ko:K07570	bant:A16_51510
ko:K10907	bant:A16_51520
ko:K00090	bant:A16_51540
ko:K14155	bant:A16_51570
ko:K06347	bant:A16_51600
ko:K06348	bant:A16_51610
ko:K01880	bant:A16_51660
ko:K03523	bant:A16_51690
ko:K00963	bant:A16_51710
ko:K01835	bant:A16_51720
ko:K03885	bant:A16_51790
ko:K01778	bant:A16_51900
ko:K03885	bant:A16_51920
ko:K02068	bant:A16_51940
ko:K02069	bant:A16_51950
ko:K06193	bant:A16_51960
ko:K07052	bant:A16_52020
ko:K00355	bant:A16_52100
ko:K02446	bant:A16_52140
ko:K01834	bant:A16_52220
ko:K03644	bant:A16_52240
ko:K09014	bant:A16_52330
ko:K04488	bant:A16_52340
ko:K11717	bant:A16_52350
ko:K09013	bant:A16_52380
ko:K02073	bant:A16_52390
ko:K02073	bant:A16_52400
ko:K02072	bant:A16_52410
ko:K02071	bant:A16_52420
ko:K07476	bant:A16_52460
ko:K02437	bant:A16_52470
ko:K00537	bant:A16_52480
ko:K07035	bant:A16_52550
ko:K00016	bant:A16_52560
ko:K07052	bant:A16_52590
ko:K07516	bant:A16_52650
ko:K00318	bant:A16_52680
ko:K03406	bant:A16_52710
ko:K03294	bant:A16_52770
ko:K03217	bant:A16_52790
ko:K07729	bant:A16_52860
ko:K01874	bant:A16_52940
ko:K03406	bant:A16_52960
ko:K08777	bant:A16_52980
ko:K06911	bant:A16_52990
ko:K01611	bant:A16_48160
ko:K00134	bant:A16_48180
ko:K00859	bant:A16_48190
ko:K07636	bant:A16_48240
ko:K07658	bant:A16_48250
ko:K00024	bant:A16_48290
ko:K00031	bant:A16_48300
ko:K01647	bant:A16_48310
ko:K07113	bant:A16_48350
ko:K00873	bant:A16_48360
ko:K00850	bant:A16_48370
ko:K01962	bant:A16_48380
ko:K01963	bant:A16_48390
ko:K00027	bant:A16_48410
ko:K02337	bant:A16_48420
ko:K07729	bant:A16_48630
ko:K00259	bant:A16_48650
ko:K00059	bant:A16_48660
ko:K03322	bant:A16_19160
ko:K07146	bant:A16_19170
ko:K00077	bant:A16_19190
ko:K11033	bant:A16_19230
