ko:K07489	ypr:BZ20_2878
ko:K06179	ypr:BZ20_3730
ko:K07040	ypr:BZ20_3732
ko:K02911	ypr:BZ20_3733
ko:K03621	ypr:BZ20_3734
ko:K00648	ypr:BZ20_3735
ko:K00645	ypr:BZ20_3736
ko:K00059	ypr:BZ20_3737
ko:K02078	ypr:BZ20_3738
ko:K09458	ypr:BZ20_3739
ko:K02619	ypr:BZ20_3740
ko:K07082	ypr:BZ20_3741
ko:K00943	ypr:BZ20_3742
ko:K02341	ypr:BZ20_3743
ko:K03424	ypr:BZ20_3744
ko:K02778	ypr:BZ20_3745
ko:K02779	ypr:BZ20_3745
ko:K00014	ypr:BZ20_3746
ko:K02503	ypr:BZ20_3747
ko:K07337	ypr:BZ20_3749
ko:K07251	ypr:BZ20_3750
ko:K01207	ypr:BZ20_3751
ko:K07000	ypr:BZ20_3752
ko:K03885	ypr:BZ20_3753
ko:K03723	ypr:BZ20_3757
ko:K09808	ypr:BZ20_3758
ko:K09810	ypr:BZ20_3759
ko:K09808	ypr:BZ20_3760
ko:K00884	ypr:BZ20_3761
ko:K12410	ypr:BZ20_3762
ko:K01258	ypr:BZ20_3763
ko:K18850	ypr:BZ20_3764
ko:K07637	ypr:BZ20_3765
ko:K07660	ypr:BZ20_3766
ko:K01756	ypr:BZ20_3768
ko:K07153	ypr:BZ20_3769
ko:K00566	ypr:BZ20_3770
ko:K12152	ypr:BZ20_3771
ko:K06181	ypr:BZ20_3772
ko:K00031	ypr:BZ20_3773
ko:K03776	ypr:BZ20_3776
ko:K06915	ypr:BZ20_2362
ko:K01664	ypr:BZ20_2363
ko:K10914	ypr:BZ20_2366
ko:K07397	ypr:BZ20_2367
ko:K00855	ypr:BZ20_2369
ko:K09898	ypr:BZ20_2370
ko:K07019	ypr:BZ20_2371
ko:K15551	ypr:BZ20_2373
ko:K10831	ypr:BZ20_2374
ko:K15552	ypr:BZ20_2375
ko:K03119	ypr:BZ20_2376
ko:K06158	ypr:BZ20_2379
ko:K11747	ypr:BZ20_2381
ko:K07070	ypr:BZ20_2382
ko:K03775	ypr:BZ20_2383
ko:K03745	ypr:BZ20_2384
ko:K03772	ypr:BZ20_2385
ko:K07235	ypr:BZ20_2387
ko:K07236	ypr:BZ20_2388
ko:K07237	ypr:BZ20_2389
ko:K02950	ypr:BZ20_2390
ko:K02992	ypr:BZ20_2391
ko:K02355	ypr:BZ20_2392
ko:K02358	ypr:BZ20_2393
ko:K02192	ypr:BZ20_2394
ko:K03594	ypr:BZ20_2395
ko:K02946	ypr:BZ20_2396
ko:K02906	ypr:BZ20_2397
ko:K02926	ypr:BZ20_2398
ko:K02892	ypr:BZ20_2399
ko:K02886	ypr:BZ20_2400
ko:K02965	ypr:BZ20_2401
ko:K02890	ypr:BZ20_2402
ko:K02982	ypr:BZ20_2403
ko:K02878	ypr:BZ20_2404
ko:K02904	ypr:BZ20_2405
ko:K02961	ypr:BZ20_2406
ko:K02874	ypr:BZ20_2407
ko:K02895	ypr:BZ20_2408
ko:K02931	ypr:BZ20_2409
ko:K02954	ypr:BZ20_2410
ko:K02994	ypr:BZ20_2411
ko:K06199	ypr:BZ20_3239
ko:K06199	ypr:BZ20_3240
ko:K02760	ypr:BZ20_3241
ko:K02761	ypr:BZ20_3242
ko:K02759	ypr:BZ20_3243
ko:K03490	ypr:BZ20_3244
ko:K03478	ypr:BZ20_3245
ko:K03645	ypr:BZ20_3248
ko:K01835	ypr:BZ20_3249
ko:K08978	ypr:BZ20_3251
ko:K07667	ypr:BZ20_3252
ko:K07646	ypr:BZ20_3253
ko:K01548	ypr:BZ20_3254
ko:K01547	ypr:BZ20_3255
ko:K01546	ypr:BZ20_3256
ko:K01669	ypr:BZ20_3259
ko:K07160	ypr:BZ20_3265
ko:K01304	ypr:BZ20_3268
ko:K03648	ypr:BZ20_3269
ko:K05590	ypr:BZ20_3275
ko:K15460	ypr:BZ20_3276
ko:K00278	ypr:BZ20_3277
ko:K03088	ypr:BZ20_3278
ko:K03597	ypr:BZ20_3279
ko:K03598	ypr:BZ20_3280
ko:K03803	ypr:BZ20_3281
ko:K03596	ypr:BZ20_3283
ko:K03100	ypr:BZ20_3284
ko:K03685	ypr:BZ20_3285
ko:K03584	ypr:BZ20_3287
ko:K03474	ypr:BZ20_3288
ko:K00997	ypr:BZ20_3289
ko:K04774	ypr:BZ20_4113
ko:K06178	ypr:BZ20_4116
ko:K07053	ypr:BZ20_4118
ko:K01657	ypr:BZ20_4119
ko:K01658	ypr:BZ20_4120
ko:K00766	ypr:BZ20_4121
ko:K13498	ypr:BZ20_4122
ko:K01696	ypr:BZ20_4123
ko:K01695	ypr:BZ20_4124
ko:K07275	ypr:BZ20_4126
ko:K06190	ypr:BZ20_4129
ko:K10806	ypr:BZ20_4130
ko:K03832	ypr:BZ20_4131
ko:K09780	ypr:BZ20_4133
ko:K09981	ypr:BZ20_4134
ko:K06131	ypr:BZ20_4137
ko:K09901	ypr:BZ20_4138
ko:K10823	ypr:BZ20_4140
ko:K08599	ypr:BZ20_4144
ko:K07483	ypr:BZ20_4147
ko:K03496	ypr:BZ20_4150
ko:K03497	ypr:BZ20_4151
ko:K07746	ypr:BZ20_4154
ko:K02387	ypr:BZ20_303
ko:K02386	ypr:BZ20_304
ko:K02398	ypr:BZ20_305
ko:K02399	ypr:BZ20_306
ko:K03516	ypr:BZ20_308
ko:K02400	ypr:BZ20_309
ko:K02401	ypr:BZ20_310
ko:K07245	ypr:BZ20_314
ko:K07156	ypr:BZ20_315
ko:K02217	ypr:BZ20_316
ko:K02345	ypr:BZ20_317
ko:K01259	ypr:BZ20_318
ko:K01354	ypr:BZ20_319
ko:K09900	ypr:BZ20_321
ko:K09918	ypr:BZ20_322
ko:K05591	ypr:BZ20_323
ko:K08289	ypr:BZ20_324
ko:K09917	ypr:BZ20_325
ko:K01665	ypr:BZ20_326
ko:K01752	ypr:BZ20_328
ko:K00484	ypr:BZ20_329
ko:K00483	ypr:BZ20_330
ko:K02511	ypr:BZ20_331
ko:K02510	ypr:BZ20_332
ko:K02509	ypr:BZ20_333
ko:K01826	ypr:BZ20_334
ko:K00455	ypr:BZ20_335
ko:K00151	ypr:BZ20_336
ko:K05921	ypr:BZ20_337
ko:K05921	ypr:BZ20_338
ko:K02793	ypr:BZ20_341
ko:K02794	ypr:BZ20_341
ko:K02795	ypr:BZ20_342
ko:K02014	ypr:BZ20_346
ko:K00563	ypr:BZ20_349
ko:K03704	ypr:BZ20_351
ko:K12973	ypr:BZ20_353
ko:K11734	ypr:BZ20_354
ko:K01875	ypr:BZ20_573
ko:K07478	ypr:BZ20_574
ko:K03634	ypr:BZ20_576
ko:K03466	ypr:BZ20_577
ko:K03719	ypr:BZ20_578
ko:K00384	ypr:BZ20_579
ko:K07491	ypr:BZ20_580
ko:K16013	ypr:BZ20_581
ko:K16012	ypr:BZ20_582
ko:K00684	ypr:BZ20_583
ko:K02518	ypr:BZ20_584
ko:K03694	ypr:BZ20_585
ko:K06891	ypr:BZ20_586
ko:K03704	ypr:BZ20_587
ko:K05685	ypr:BZ20_588
ko:K13888	ypr:BZ20_589
ko:K09824	ypr:BZ20_590
ko:K07459	ypr:BZ20_591
ko:K17204	ypr:BZ20_1244
ko:K17203	ypr:BZ20_1243
ko:K17202	ypr:BZ20_1246
ko:K03782	ypr:BZ20_1247
ko:K15536	ypr:BZ20_1248
ko:K12262	ypr:BZ20_1249
ko:K07308	ypr:BZ20_1251
ko:K07307	ypr:BZ20_1252
ko:K07306	ypr:BZ20_1253
ko:K02430	ypr:BZ20_1255
ko:K02058	ypr:BZ20_1256
ko:K02056	ypr:BZ20_1257
ko:K02057	ypr:BZ20_1258
ko:K02057	ypr:BZ20_1259
ko:K00880	ypr:BZ20_1261
ko:K01676	ypr:BZ20_1262
ko:K01265	ypr:BZ20_1264
ko:K16089	ypr:BZ20_1266
ko:K00428	ypr:BZ20_1268
ko:K01713	ypr:BZ20_1269
ko:K03893	ypr:BZ20_1272
ko:K05879	ypr:BZ20_1274
ko:K05878	ypr:BZ20_1275
ko:K01808	ypr:BZ20_1278
ko:K01154	ypr:BZ20_1283
ko:K03427	ypr:BZ20_1284
ko:K01153	ypr:BZ20_1285
ko:K07733	ypr:BZ20_1288
ko:K03630	ypr:BZ20_1291
ko:K07724	ypr:BZ20_1295
ko:K01803	ypr:BZ20_2040
ko:K16516	ypr:BZ20_2041
ko:K16515	ypr:BZ20_2042
ko:K10218	ypr:BZ20_2043
ko:K03319	ypr:BZ20_2044
ko:K02020	ypr:BZ20_2045
ko:K02048	ypr:BZ20_2046
ko:K00850	ypr:BZ20_2048
ko:K13283	ypr:BZ20_2049
ko:K06006	ypr:BZ20_2051
ko:K07640	ypr:BZ20_2053
ko:K10778	ypr:BZ20_2054
ko:K03216	ypr:BZ20_2055
ko:K00640	ypr:BZ20_2056
ko:K00057	ypr:BZ20_2057
ko:K03071	ypr:BZ20_2058
ko:K15633	ypr:BZ20_2061
ko:K09798	ypr:BZ20_2063
ko:K00060	ypr:BZ20_2064
ko:K00639	ypr:BZ20_2065
ko:K03274	ypr:BZ20_2066
ko:K02843	ypr:BZ20_2067
ko:K02841	ypr:BZ20_2068
ko:K02527	ypr:BZ20_2069
ko:K12984	ypr:BZ20_2070
ko:K00954	ypr:BZ20_2071
ko:K10563	ypr:BZ20_2072
ko:K02913	ypr:BZ20_2073
ko:K02902	ypr:BZ20_2074
ko:K03630	ypr:BZ20_2075
ko:K13038	ypr:BZ20_2076
ko:K05501	ypr:BZ20_2078
ko:K00762	ypr:BZ20_2079
ko:K00989	ypr:BZ20_2080
ko:K01972	ypr:BZ20_2083
ko:K00942	ypr:BZ20_2084
ko:K03060	ypr:BZ20_2085
ko:K00556	ypr:BZ20_2087
ko:K03655	ypr:BZ20_2088
ko:K03312	ypr:BZ20_2089
ko:K11900	ypr:BZ20_2910
ko:K11893	ypr:BZ20_2911
ko:K11892	ypr:BZ20_2912
ko:K11903	ypr:BZ20_2914
ko:K11907	ypr:BZ20_2915
ko:K11904	ypr:BZ20_2916
ko:K11896	ypr:BZ20_2923
ko:K11895	ypr:BZ20_2924
ko:K11906	ypr:BZ20_2925
ko:K11905	ypr:BZ20_2926
ko:K11911	ypr:BZ20_2929
ko:K11895	ypr:BZ20_2935
ko:K11911	ypr:BZ20_2936
ko:K11905	ypr:BZ20_2958
ko:K01581	ypr:BZ20_2963
ko:K10439	ypr:BZ20_2964
ko:K10441	ypr:BZ20_2965
ko:K10440	ypr:BZ20_2966
ko:K02014	ypr:BZ20_2967
ko:K02016	ypr:BZ20_2968
ko:K08306	ypr:BZ20_2969
ko:K01093	ypr:BZ20_3780
ko:K03719	ypr:BZ20_3783
ko:K01190	ypr:BZ20_3787
ko:K03704	ypr:BZ20_3788
ko:K05876	ypr:BZ20_3790
ko:K07507	ypr:BZ20_3791
ko:K01531	ypr:BZ20_3792
ko:K02403	ypr:BZ20_3793
ko:K02402	ypr:BZ20_3794
ko:K02556	ypr:BZ20_3795
ko:K02557	ypr:BZ20_3796
ko:K03407	ypr:BZ20_3797
ko:K03408	ypr:BZ20_3798
ko:K05877	ypr:BZ20_3802
ko:K00575	ypr:BZ20_3803
ko:K03412	ypr:BZ20_3804
ko:K03413	ypr:BZ20_3805
ko:K03414	ypr:BZ20_3806
ko:K01775	ypr:BZ20_3811
ko:K07347	ypr:BZ20_3820
ko:K07346	ypr:BZ20_3821
ko:K03808	ypr:BZ20_3826
ko:K03607	ypr:BZ20_3828
ko:K03797	ypr:BZ20_3829
ko:K07491	ypr:BZ20_3830
ko:K03799	ypr:BZ20_3831
ko:K07491	ypr:BZ20_3832
ko:K07345	ypr:BZ20_3833
ko:K15540	ypr:BZ20_3834
ko:K07347	ypr:BZ20_3835
ko:K07345	ypr:BZ20_3836
ko:K05601	ypr:BZ20_593
ko:K11933	ypr:BZ20_594
ko:K00156	ypr:BZ20_595
ko:K01620	ypr:BZ20_596
ko:K04093	ypr:BZ20_600
ko:K10000	ypr:BZ20_601
ko:K09997	ypr:BZ20_602
ko:K09999	ypr:BZ20_603
ko:K09998	ypr:BZ20_604
ko:K02013	ypr:BZ20_608
ko:K09996	ypr:BZ20_612
ko:K03212	ypr:BZ20_613
ko:K11074	ypr:BZ20_615
ko:K11075	ypr:BZ20_616
ko:K11076	ypr:BZ20_617
ko:K11073	ypr:BZ20_618
ko:K03674	ypr:BZ20_621
ko:K07085	ypr:BZ20_622
ko:K01619	ypr:BZ20_625
ko:K11537	ypr:BZ20_790
ko:K07803	ypr:BZ20_789
ko:K03815	ypr:BZ20_791
ko:K02168	ypr:BZ20_794
ko:K02167	ypr:BZ20_795
ko:K07491	ypr:BZ20_798
ko:K06890	ypr:BZ20_799
ko:K03635	ypr:BZ20_800
ko:K03636	ypr:BZ20_801
ko:K03637	ypr:BZ20_802
ko:K03639	ypr:BZ20_803
ko:K03702	ypr:BZ20_807
ko:K01935	ypr:BZ20_809
ko:K02169	ypr:BZ20_810
ko:K00652	ypr:BZ20_811
ko:K01012	ypr:BZ20_812
ko:K00833	ypr:BZ20_813
ko:K07404	ypr:BZ20_814
ko:K02017	ypr:BZ20_816
ko:K02018	ypr:BZ20_817
ko:K02020	ypr:BZ20_818
ko:K02019	ypr:BZ20_820
ko:K05776	ypr:BZ20_821
ko:K07052	ypr:BZ20_823
ko:K01784	ypr:BZ20_824
ko:K00965	ypr:BZ20_825
ko:K00849	ypr:BZ20_826
ko:K01785	ypr:BZ20_827
ko:K01834	ypr:BZ20_829
ko:K01626	ypr:BZ20_830
ko:K16264	ypr:BZ20_832
ko:K03811	ypr:BZ20_833
ko:K03517	ypr:BZ20_834
ko:K03640	ypr:BZ20_841
ko:K03641	ypr:BZ20_842
ko:K03336	ypr:BZ20_954
ko:K00140	ypr:BZ20_955
ko:K06894	ypr:BZ20_958
ko:K05367	ypr:BZ20_959
ko:K07724	ypr:BZ20_960
ko:K06887	ypr:BZ20_964
ko:K18850	ypr:BZ20_969
ko:K06182	ypr:BZ20_970
ko:K05349	ypr:BZ20_973
ko:K06221	ypr:BZ20_975
ko:K00981	ypr:BZ20_983
ko:K01153	ypr:BZ20_1565
ko:K03427	ypr:BZ20_1566
ko:K01154	ypr:BZ20_1568
ko:K11720	ypr:BZ20_1573
ko:K07091	ypr:BZ20_1574
ko:K01255	ypr:BZ20_1575
ko:K02339	ypr:BZ20_1576
ko:K01873	ypr:BZ20_1577
ko:K03828	ypr:BZ20_1578
ko:K09893	ypr:BZ20_1579
ko:K00611	ypr:BZ20_1580
ko:K02035	ypr:BZ20_1582
ko:K02033	ypr:BZ20_1583
ko:K02034	ypr:BZ20_1584
ko:K02043	ypr:BZ20_1589
ko:K06166	ypr:BZ20_1590
ko:K06165	ypr:BZ20_1591
ko:K06164	ypr:BZ20_1592
ko:K06163	ypr:BZ20_1593
ko:K05781	ypr:BZ20_1594
ko:K05780	ypr:BZ20_1595
ko:K06162	ypr:BZ20_1596
ko:K05774	ypr:BZ20_1597
ko:K06167	ypr:BZ20_1598
ko:K09979	ypr:BZ20_1600
ko:K10112	ypr:BZ20_1602
ko:K02026	ypr:BZ20_1603
ko:K02025	ypr:BZ20_1604
ko:K02027	ypr:BZ20_1605
ko:K07461	ypr:BZ20_1608
ko:K03824	ypr:BZ20_1609
ko:K08303	ypr:BZ20_1611
ko:K18139	ypr:BZ20_1613
ko:K02933	ypr:BZ20_2412
ko:K02881	ypr:BZ20_2413
ko:K02988	ypr:BZ20_2414
ko:K02907	ypr:BZ20_2415
ko:K02876	ypr:BZ20_2416
ko:K03076	ypr:BZ20_2417
ko:K02919	ypr:BZ20_2418
ko:K02952	ypr:BZ20_2419
ko:K02948	ypr:BZ20_2420
ko:K02986	ypr:BZ20_2421
ko:K03040	ypr:BZ20_2422
ko:K02879	ypr:BZ20_2423
ko:K09890	ypr:BZ20_2425
ko:K03282	ypr:BZ20_2426
ko:K03499	ypr:BZ20_2427
ko:K03500	ypr:BZ20_2428
ko:K00604	ypr:BZ20_2429
ko:K01462	ypr:BZ20_2430
ko:K03747	ypr:BZ20_2433
ko:K07479	ypr:BZ20_2434
ko:K07566	ypr:BZ20_2435
ko:K00014	ypr:BZ20_2436
ko:K00651	ypr:BZ20_2449
ko:K01638	ypr:BZ20_2450
ko:K01637	ypr:BZ20_2451
ko:K00906	ypr:BZ20_2452
ko:K13641	ypr:BZ20_2453
ko:K00548	ypr:BZ20_2454
ko:K11016	ypr:BZ20_2455
ko:K11017	ypr:BZ20_2456
ko:K00928	ypr:BZ20_2457
ko:K01810	ypr:BZ20_2458
ko:K13256	ypr:BZ20_2459
ko:K10110	ypr:BZ20_2460
ko:K10109	ypr:BZ20_2461
ko:K10108	ypr:BZ20_2462
ko:K10111	ypr:BZ20_2464
ko:K02024	ypr:BZ20_2465
ko:K05775	ypr:BZ20_2466
ko:K11903	ypr:BZ20_2468
ko:K11901	ypr:BZ20_2469
ko:K07341	ypr:BZ20_3316
ko:K07106	ypr:BZ20_3326
ko:K18697	ypr:BZ20_3327
ko:K11991	ypr:BZ20_3328
ko:K18691	ypr:BZ20_3329
ko:K01952	ypr:BZ20_3330
ko:K07491	ypr:BZ20_3333
ko:K07711	ypr:BZ20_3334
ko:K07715	ypr:BZ20_3336
ko:K01950	ypr:BZ20_3337
ko:K04751	ypr:BZ20_3338
ko:K05916	ypr:BZ20_3340
ko:K00600	ypr:BZ20_3341
ko:K05820	ypr:BZ20_3344
ko:K01092	ypr:BZ20_3347
ko:K15396	ypr:BZ20_3348
ko:K13643	ypr:BZ20_3349
ko:K04487	ypr:BZ20_3350
ko:K07483	ypr:BZ20_4172
ko:K07483	ypr:BZ20_4174
ko:K07483	ypr:BZ20_4185
ko:K08598	ypr:BZ20_4188
ko:K08598	ypr:BZ20_4189
ko:K03223	ypr:BZ20_4196
ko:K04054	ypr:BZ20_4197
ko:K03222	ypr:BZ20_4198
ko:K04053	ypr:BZ20_4199
ko:K04052	ypr:BZ20_4200
ko:K04051	ypr:BZ20_4201
ko:K03221	ypr:BZ20_4202
ko:K03220	ypr:BZ20_4204
ko:K03219	ypr:BZ20_4205
ko:K04049	ypr:BZ20_4206
ko:K03229	ypr:BZ20_4209
ko:K03228	ypr:BZ20_4210
ko:K03227	ypr:BZ20_4211
ko:K03226	ypr:BZ20_4212
ko:K03225	ypr:BZ20_4213
ko:K04056	ypr:BZ20_4215
ko:K03224	ypr:BZ20_4216
ko:K04058	ypr:BZ20_4217
ko:K04059	ypr:BZ20_4220
ko:K06147	ypr:BZ20_363
ko:K07178	ypr:BZ20_364
ko:K09933	ypr:BZ20_366
ko:K02529	ypr:BZ20_368
ko:K02532	ypr:BZ20_369
ko:K07407	ypr:BZ20_370
ko:K09912	ypr:BZ20_379
ko:K01940	ypr:BZ20_384
ko:K00101	ypr:BZ20_385
ko:K18334	ypr:BZ20_387
ko:K18335	ypr:BZ20_389
ko:K09802	ypr:BZ20_393
ko:K01141	ypr:BZ20_395
ko:K08317	ypr:BZ20_398
ko:K02056	ypr:BZ20_399
ko:K02057	ypr:BZ20_400
ko:K00765	ypr:BZ20_403
ko:K00013	ypr:BZ20_404
ko:K00817	ypr:BZ20_405
ko:K01089	ypr:BZ20_406
ko:K02501	ypr:BZ20_407
ko:K01814	ypr:BZ20_408
ko:K02500	ypr:BZ20_409
ko:K03837	ypr:BZ20_627
ko:K11534	ypr:BZ20_626
ko:K07258	ypr:BZ20_628
ko:K02072	ypr:BZ20_629
ko:K02071	ypr:BZ20_630
ko:K02073	ypr:BZ20_631
ko:K16089	ypr:BZ20_635
ko:K02013	ypr:BZ20_636
ko:K02015	ypr:BZ20_637
ko:K02016	ypr:BZ20_638
ko:K11733	ypr:BZ20_639
ko:K01151	ypr:BZ20_643
ko:K07347	ypr:BZ20_644
ko:K07491	ypr:BZ20_649
ko:K02769	ypr:BZ20_650
ko:K02770	ypr:BZ20_650
ko:K00882	ypr:BZ20_651
ko:K02768	ypr:BZ20_652
ko:K11183	ypr:BZ20_652
ko:K02057	ypr:BZ20_654
ko:K02056	ypr:BZ20_655
ko:K02058	ypr:BZ20_656
ko:K01807	ypr:BZ20_657
ko:K00854	ypr:BZ20_658
ko:K00135	ypr:BZ20_659
ko:K00058	ypr:BZ20_661
ko:K06940	ypr:BZ20_663
ko:K03835	ypr:BZ20_664
ko:K02356	ypr:BZ20_665
ko:K01686	ypr:BZ20_666
ko:K00040	ypr:BZ20_667
ko:K13637	ypr:BZ20_668
ko:K13694	ypr:BZ20_672
ko:K13893	ypr:BZ20_674
ko:K13894	ypr:BZ20_675
ko:K13895	ypr:BZ20_676
ko:K13896	ypr:BZ20_677
ko:K03555	ypr:BZ20_1308
ko:K03087	ypr:BZ20_1309
ko:K06194	ypr:BZ20_1310
ko:K00573	ypr:BZ20_1311
ko:K03787	ypr:BZ20_1312
ko:K06176	ypr:BZ20_1313
ko:K01770	ypr:BZ20_1314
ko:K00991	ypr:BZ20_1315
ko:K05589	ypr:BZ20_1316
ko:K00860	ypr:BZ20_1318
ko:K00956	ypr:BZ20_1319
ko:K00957	ypr:BZ20_1320
ko:K02302	ypr:BZ20_1321
ko:K07491	ypr:BZ20_1324
ko:K00390	ypr:BZ20_1325
ko:K00381	ypr:BZ20_1326
ko:K00380	ypr:BZ20_1327
ko:K01737	ypr:BZ20_1328
ko:K10026	ypr:BZ20_1329
ko:K04565	ypr:BZ20_1330
ko:K01689	ypr:BZ20_1331
ko:K01937	ypr:BZ20_1332
ko:K04765	ypr:BZ20_1333
ko:K00951	ypr:BZ20_1334
ko:K07678	ypr:BZ20_1335
ko:K01129	ypr:BZ20_1337
ko:K01243	ypr:BZ20_1338
ko:K06858	ypr:BZ20_1339
ko:K15724	ypr:BZ20_1341
ko:K03281	ypr:BZ20_1342
ko:K01845	ypr:BZ20_1343
ko:K02015	ypr:BZ20_1344
ko:K02016	ypr:BZ20_1345
ko:K02013	ypr:BZ20_1346
ko:K05365	ypr:BZ20_1347
ko:K16345	ypr:BZ20_2090
ko:K07560	ypr:BZ20_2093
