ko:K18917	cpk:Cp1002_0630
ko:K05896	cpk:Cp1002_0967
ko:K01935	cpk:Cp1002_0969
ko:K03305	cpk:Cp1002_0970
ko:K00833	cpk:Cp1002_0971
ko:K01935	cpk:Cp1002_0972
ko:K06024	cpk:Cp1002_0973
ko:K06178	cpk:Cp1002_0974
ko:K00945	cpk:Cp1002_0975
ko:K03977	cpk:Cp1002_0976
ko:K03218	cpk:Cp1002_1757
ko:K01883	cpk:Cp1002_1758
ko:K01770	cpk:Cp1002_1759
ko:K00991	cpk:Cp1002_1760
ko:K07736	cpk:Cp1002_1761
ko:K04485	cpk:Cp1002_1767
ko:K01673	cpk:Cp1002_1769
ko:K03575	cpk:Cp1002_1770
ko:K03696	cpk:Cp1002_1773
ko:K04567	cpk:Cp1002_1779
ko:K02168	cpk:Cp1002_1784
ko:K01918	cpk:Cp1002_1786
ko:K00950	cpk:Cp1002_1790
ko:K01633	cpk:Cp1002_1791
ko:K00796	cpk:Cp1002_1792
ko:K01495	cpk:Cp1002_1793
ko:K03798	cpk:Cp1002_1794
ko:K00760	cpk:Cp1002_1795
ko:K04075	cpk:Cp1002_1796
ko:K07259	cpk:Cp1002_1797
ko:K11103	cpk:Cp1002_1800
ko:K04077	cpk:Cp1002_1808
ko:K02016	cpk:Cp1002_0981
ko:K02015	cpk:Cp1002_0983
ko:K02013	cpk:Cp1002_0984
ko:K09858	cpk:Cp1002_0992
ko:K03070	cpk:Cp1002_0995
ko:K08999	cpk:Cp1002_0998
ko:K03284	cpk:Cp1002_1007
ko:K03885	cpk:Cp1002_1009
ko:K00574	cpk:Cp1002_1010
ko:K03820	cpk:Cp1002_1017
ko:K07113	cpk:Cp1002_1018
ko:K02230	cpk:Cp1002_1019
ko:K02229	cpk:Cp1002_1020
ko:K06042	cpk:Cp1002_1021
ko:K05895	cpk:Cp1002_1023
ko:K05936	cpk:Cp1002_1024
ko:K03118	cpk:Cp1002_1029
ko:K03116	cpk:Cp1002_1030
ko:K05567	cpk:Cp1002_1813
ko:K05569	cpk:Cp1002_1815
ko:K05571	cpk:Cp1002_1817
ko:K06048	cpk:Cp1002_1819
ko:K01462	cpk:Cp1002_1822
ko:K01142	cpk:Cp1002_1824
ko:K06131	cpk:Cp1002_1825
ko:K00925	cpk:Cp1002_1831
ko:K13788	cpk:Cp1002_1832
ko:K00528	cpk:Cp1002_1833
ko:K08289	cpk:Cp1002_1836
ko:K07101	cpk:Cp1002_1837
ko:K07399	cpk:Cp1002_1845
ko:K03385	cpk:Cp1002_1847
ko:K15876	cpk:Cp1002_1848
ko:K01939	cpk:Cp1002_1849
ko:K01624	cpk:Cp1002_1860
ko:K01938	cpk:Cp1002_1041
ko:K01744	cpk:Cp1002_1042
ko:K07791	cpk:Cp1002_1043
ko:K00765	cpk:Cp1002_1044
ko:K06153	cpk:Cp1002_1050
ko:K05881	cpk:Cp1002_1057
ko:K05879	cpk:Cp1002_1058
ko:K05878	cpk:Cp1002_1059
ko:K01772	cpk:Cp1002_1072
ko:K01681	cpk:Cp1002_1075
ko:K01951	cpk:Cp1002_1077
ko:K07166	cpk:Cp1002_1078
ko:K09157	cpk:Cp1002_1079
ko:K00762	cpk:Cp1002_1863
ko:K00111	cpk:Cp1002_1866
ko:K03695	cpk:Cp1002_1875
ko:K03312	cpk:Cp1002_1879
ko:K02003	cpk:Cp1002_1886
ko:K03686	cpk:Cp1002_1896
ko:K03687	cpk:Cp1002_1897
ko:K04043	cpk:Cp1002_1898
ko:K03306	cpk:Cp1002_1907
ko:K02013	cpk:Cp1002_1912
ko:K02015	cpk:Cp1002_1913
ko:K02016	cpk:Cp1002_1914
ko:K03190	cpk:Cp1002_1915
ko:K02313	cpk:Cp1002_0001
ko:K01524	cpk:Cp1002_0262
ko:K00286	cpk:Cp1002_0264
ko:K02492	cpk:Cp1002_0273
ko:K01749	cpk:Cp1002_0274
ko:K13542	cpk:Cp1002_0275
ko:K01698	cpk:Cp1002_0276
ko:K01599	cpk:Cp1002_0279
ko:K00231	cpk:Cp1002_0280
ko:K11717	cpk:Cp1002_1087
ko:K09013	cpk:Cp1002_1088
ko:K09015	cpk:Cp1002_1089
ko:K09014	cpk:Cp1002_1090
ko:K02259	cpk:Cp1002_1095
ko:K00615	cpk:Cp1002_1097
ko:K00036	cpk:Cp1002_1099
ko:K01057	cpk:Cp1002_1101
ko:K03075	cpk:Cp1002_1102
ko:K01595	cpk:Cp1002_1103
ko:K01803	cpk:Cp1002_1104
ko:K00927	cpk:Cp1002_1105
ko:K00134	cpk:Cp1002_1106
ko:K06958	cpk:Cp1002_1109
ko:K03703	cpk:Cp1002_1110
ko:K00794	cpk:Cp1002_1112
ko:K14652	cpk:Cp1002_1113
ko:K00793	cpk:Cp1002_1114
ko:K11752	cpk:Cp1002_1115
ko:K01783	cpk:Cp1002_1116
ko:K03500	cpk:Cp1002_1117
ko:K00604	cpk:Cp1002_1118
ko:K01462	cpk:Cp1002_1119
ko:K04066	cpk:Cp1002_1120
ko:K00789	cpk:Cp1002_1121
ko:K13038	cpk:Cp1002_1122
ko:K03060	cpk:Cp1002_1123
ko:K00942	cpk:Cp1002_1124
ko:K01591	cpk:Cp1002_1127
ko:K01955	cpk:Cp1002_1128
ko:K01956	cpk:Cp1002_1129
ko:K01465	cpk:Cp1002_1130
ko:K00609	cpk:Cp1002_1131
ko:K02825	cpk:Cp1002_1132
ko:K07071	cpk:Cp1002_1133
ko:K03189	cpk:Cp1002_1916
ko:K03188	cpk:Cp1002_1917
ko:K03187	cpk:Cp1002_1918
ko:K01428	cpk:Cp1002_1919
ko:K01429	cpk:Cp1002_1920
ko:K01430	cpk:Cp1002_1921
ko:K14260	cpk:Cp1002_1924
ko:K04567	cpk:Cp1002_1926
ko:K00012	cpk:Cp1002_1930
ko:K01494	cpk:Cp1002_1931
ko:K01207	cpk:Cp1002_1934
ko:K03439	cpk:Cp1002_1943
ko:K01126	cpk:Cp1002_1965
ko:K02445	cpk:Cp1002_1966
ko:K02013	cpk:Cp1002_1968
ko:K01845	cpk:Cp1002_0282
ko:K07399	cpk:Cp1002_0286
ko:K02013	cpk:Cp1002_0288
ko:K02016	cpk:Cp1002_0289
ko:K02015	cpk:Cp1002_0290
ko:K02548	cpk:Cp1002_0294
ko:K01911	cpk:Cp1002_0295
ko:K01661	cpk:Cp1002_0296
ko:K02551	cpk:Cp1002_0299
ko:K03183	cpk:Cp1002_0302
ko:K03073	cpk:Cp1002_0306
ko:K02601	cpk:Cp1002_0307
ko:K02867	cpk:Cp1002_0308
ko:K02863	cpk:Cp1002_0309
ko:K02864	cpk:Cp1002_0313
ko:K02935	cpk:Cp1002_0314
ko:K03043	cpk:Cp1002_0323
ko:K03046	cpk:Cp1002_0324
ko:K07089	cpk:Cp1002_0331
ko:K04069	cpk:Cp1002_0332
ko:K03625	cpk:Cp1002_1135
ko:K02356	cpk:Cp1002_1136
ko:K03786	cpk:Cp1002_1138
ko:K01735	cpk:Cp1002_1139
ko:K00891	cpk:Cp1002_1140
ko:K01736	cpk:Cp1002_1141
ko:K00014	cpk:Cp1002_1143
ko:K07082	cpk:Cp1002_1144
ko:K07447	cpk:Cp1002_1145
ko:K01872	cpk:Cp1002_1147
ko:K07478	cpk:Cp1002_1148
ko:K01876	cpk:Cp1002_1150
ko:K01421	cpk:Cp1002_1153
ko:K01752	cpk:Cp1002_1157
ko:K01892	cpk:Cp1002_1161
ko:K11065	cpk:Cp1002_1163
ko:K00759	cpk:Cp1002_1167
ko:K03074	cpk:Cp1002_1169
ko:K03072	cpk:Cp1002_1170
ko:K03210	cpk:Cp1002_1171
ko:K03551	cpk:Cp1002_1172
ko:K03550	cpk:Cp1002_1173
ko:K01159	cpk:Cp1002_1174
ko:K10805	cpk:Cp1002_1177
ko:K00995	cpk:Cp1002_1184
ko:K02015	cpk:Cp1002_1969
ko:K02016	cpk:Cp1002_1970
ko:K01875	cpk:Cp1002_1974
ko:K03710	cpk:Cp1002_1975
ko:K01126	cpk:Cp1002_1987
ko:K04564	cpk:Cp1002_1993
ko:K08224	cpk:Cp1002_1995
ko:K07146	cpk:Cp1002_2005
ko:K03217	cpk:Cp1002_2008
ko:K09125	cpk:Cp1002_2010
ko:K02950	cpk:Cp1002_0335
ko:K02992	cpk:Cp1002_0336
ko:K02355	cpk:Cp1002_0337
ko:K02358	cpk:Cp1002_0338
ko:K02946	cpk:Cp1002_0346
ko:K02906	cpk:Cp1002_0347
ko:K02926	cpk:Cp1002_0348
ko:K02892	cpk:Cp1002_0349
ko:K02886	cpk:Cp1002_0350
ko:K02965	cpk:Cp1002_0351
ko:K02890	cpk:Cp1002_0352
ko:K02982	cpk:Cp1002_0353
ko:K02878	cpk:Cp1002_0354
ko:K02904	cpk:Cp1002_0355
ko:K02961	cpk:Cp1002_0356
ko:K02034	cpk:Cp1002_0359
ko:K02874	cpk:Cp1002_0363
ko:K02895	cpk:Cp1002_0364
ko:K02931	cpk:Cp1002_0365
ko:K03837	cpk:Cp1002_0366
ko:K01752	cpk:Cp1002_0367
ko:K02994	cpk:Cp1002_0370
ko:K02933	cpk:Cp1002_0371
ko:K02881	cpk:Cp1002_0372
ko:K02988	cpk:Cp1002_0373
ko:K02907	cpk:Cp1002_0374
ko:K02876	cpk:Cp1002_0375
ko:K03076	cpk:Cp1002_0384
ko:K02518	cpk:Cp1002_0389
ko:K01868	cpk:Cp1002_1186
ko:K07156	cpk:Cp1002_1189
ko:K03684	cpk:Cp1002_1195
ko:K01662	cpk:Cp1002_1196
ko:K00886	cpk:Cp1002_1204
ko:K03086	cpk:Cp1002_1205
ko:K07560	cpk:Cp1002_1211
ko:K04756	cpk:Cp1002_1218
ko:K04761	cpk:Cp1002_1220
ko:K03578	cpk:Cp1002_1222
ko:K07738	cpk:Cp1002_1223
ko:K01356	cpk:Cp1002_1225
ko:K02768	cpk:Cp1002_1230
ko:K02769	cpk:Cp1002_1230
ko:K02770	cpk:Cp1002_1230
ko:K08369	cpk:Cp1002_2023
ko:K02939	cpk:Cp1002_2028
ko:K02990	cpk:Cp1002_2030
ko:K07146	cpk:Cp1002_2040
ko:K03975	cpk:Cp1002_2042
ko:K04047	cpk:Cp1002_2043
ko:K01421	cpk:Cp1002_2047
ko:K01869	cpk:Cp1002_2048
ko:K02003	cpk:Cp1002_2052
ko:K01443	cpk:Cp1002_2060
ko:K01714	cpk:Cp1002_2068
ko:K02952	cpk:Cp1002_0390
ko:K02948	cpk:Cp1002_0391
ko:K02986	cpk:Cp1002_0392
ko:K03040	cpk:Cp1002_0393
ko:K02879	cpk:Cp1002_0394
ko:K06173	cpk:Cp1002_0395
ko:K03466	cpk:Cp1002_0401
ko:K02871	cpk:Cp1002_0405
ko:K02996	cpk:Cp1002_0406
ko:K03431	cpk:Cp1002_0407
ko:K01775	cpk:Cp1002_0412
ko:K06925	cpk:Cp1002_0413
ko:K03789	cpk:Cp1002_0417
ko:K04078	cpk:Cp1002_0419
ko:K04077	cpk:Cp1002_0420
ko:K03088	cpk:Cp1002_0421
ko:K01951	cpk:Cp1002_0427
ko:K02072	cpk:Cp1002_0434
ko:K02071	cpk:Cp1002_0435
ko:K02073	cpk:Cp1002_0436
ko:K03671	cpk:Cp1002_2101
ko:K02073	cpk:Cp1002_0437
ko:K00299	cpk:Cp1002_1234
ko:K03665	cpk:Cp1002_1236
ko:K01778	cpk:Cp1002_1239
ko:K00791	cpk:Cp1002_1240
ko:K06168	cpk:Cp1002_1245
ko:K03565	cpk:Cp1002_1246
ko:K03523	cpk:Cp1002_1249
ko:K00995	cpk:Cp1002_1255
ko:K09780	cpk:Cp1002_1257
ko:K03466	cpk:Cp1002_1260
ko:K01714	cpk:Cp1002_1263
ko:K00215	cpk:Cp1002_1265
ko:K00962	cpk:Cp1002_1266
ko:K02956	cpk:Cp1002_1268
ko:K11753	cpk:Cp1002_1270
ko:K02834	cpk:Cp1002_1276
ko:K02519	cpk:Cp1002_1277
ko:K07742	cpk:Cp1002_1278
ko:K02600	cpk:Cp1002_1279
ko:K09748	cpk:Cp1002_1280
ko:K01881	cpk:Cp1002_1282
ko:K09861	cpk:Cp1002_1283
ko:K02224	cpk:Cp1002_1288
ko:K01792	cpk:Cp1002_2072
ko:K09946	cpk:Cp1002_2075
ko:K01657	cpk:Cp1002_2083
ko:K00766	cpk:Cp1002_2085
ko:K13498	cpk:Cp1002_2086
ko:K01696	cpk:Cp1002_2087
ko:K01695	cpk:Cp1002_2088
ko:K14347	cpk:Cp1002_2090
ko:K07735	cpk:Cp1002_2094
ko:K03980	cpk:Cp1002_2098
ko:K03088	cpk:Cp1002_2099
ko:K00384	cpk:Cp1002_2100
ko:K02016	cpk:Cp1002_0451
ko:K02015	cpk:Cp1002_0452
ko:K02013	cpk:Cp1002_0453
ko:K00031	cpk:Cp1002_0456
ko:K01142	cpk:Cp1002_0459
ko:K01867	cpk:Cp1002_0461
ko:K07058	cpk:Cp1002_0462
ko:K00761	cpk:Cp1002_0468
ko:K00382	cpk:Cp1002_0472
ko:K06287	cpk:Cp1002_0482
ko:K02529	cpk:Cp1002_0484
ko:K03524	cpk:Cp1002_0488
ko:K01589	cpk:Cp1002_0490
ko:K01588	cpk:Cp1002_0491
ko:K01448	cpk:Cp1002_2102
ko:K03501	cpk:Cp1002_2106
ko:K03217	cpk:Cp1002_2107
ko:K08998	cpk:Cp1002_2108
ko:K03536	cpk:Cp1002_2109
ko:K02914	cpk:Cp1002_2110
ko:K13580	cpk:Cp1002_1290
ko:K00116	cpk:Cp1002_1292
ko:K02232	cpk:Cp1002_1296
ko:K01265	cpk:Cp1002_1297
ko:K00099	cpk:Cp1002_1301
ko:K00981	cpk:Cp1002_1305
ko:K02838	cpk:Cp1002_1306
ko:K09903	cpk:Cp1002_1307
ko:K02357	cpk:Cp1002_1308
ko:K02967	cpk:Cp1002_1309
ko:K03733	cpk:Cp1002_1311
ko:K04096	cpk:Cp1002_1312
ko:K07391	cpk:Cp1002_1313
ko:K03470	cpk:Cp1002_1315
ko:K03100	cpk:Cp1002_1316
ko:K02884	cpk:Cp1002_1317
ko:K06959	cpk:Cp1002_1318
ko:K00554	cpk:Cp1002_1321
ko:K02860	cpk:Cp1002_1322
ko:K02959	cpk:Cp1002_1324
ko:K03106	cpk:Cp1002_1325
ko:K00990	cpk:Cp1002_1326
ko:K04751	cpk:Cp1002_1327
ko:K03110	cpk:Cp1002_1328
ko:K03529	cpk:Cp1002_1330
ko:K03216	cpk:Cp1002_0444
ko:K01491	cpk:Cp1002_0445
ko:K01512	cpk:Cp1002_1331
ko:K03310	cpk:Cp1002_1332
ko:K03685	cpk:Cp1002_1334
ko:K07040	cpk:Cp1002_1335
ko:K00259	cpk:Cp1002_1338
ko:K00262	cpk:Cp1002_1339
ko:K00865	cpk:Cp1002_1340
ko:K01809	cpk:Cp1002_0509
ko:K01251	cpk:Cp1002_0513
ko:K00943	cpk:Cp1002_0514
ko:K03070	cpk:Cp1002_0520
ko:K06949	cpk:Cp1002_0526
ko:K00800	cpk:Cp1002_0527
ko:K03088	cpk:Cp1002_0530
ko:K03657	cpk:Cp1002_0542
ko:K03426	cpk:Cp1002_0544
ko:K03657	cpk:Cp1002_0545
ko:K07043	cpk:Cp1002_0547
ko:K00688	cpk:Cp1002_1344
ko:K00873	cpk:Cp1002_1346
ko:K01609	cpk:Cp1002_1348
ko:K02500	cpk:Cp1002_1351
ko:K02501	cpk:Cp1002_1354
ko:K01693	cpk:Cp1002_1357
ko:K00817	cpk:Cp1002_1358
ko:K00013	cpk:Cp1002_1359
ko:K04762	cpk:Cp1002_1369
ko:K01754	cpk:Cp1002_1372
ko:K02337	cpk:Cp1002_1373
ko:K05786	cpk:Cp1002_1374
ko:K06180	cpk:Cp1002_1376
ko:K03101	cpk:Cp1002_1377
ko:K02346	cpk:Cp1002_1381
ko:K01870	cpk:Cp1002_1382
ko:K02221	cpk:Cp1002_1385
ko:K09772	cpk:Cp1002_1386
ko:K05810	cpk:Cp1002_1387
ko:K03531	cpk:Cp1002_1388
ko:K03589	cpk:Cp1002_1389
ko:K01924	cpk:Cp1002_1390
ko:K02563	cpk:Cp1002_1391
ko:K03588	cpk:Cp1002_1392
ko:K01925	cpk:Cp1002_1393
ko:K01000	cpk:Cp1002_1394
ko:K11738	cpk:Cp1002_0568
ko:K02836	cpk:Cp1002_0576
ko:K09812	cpk:Cp1002_0580
ko:K09811	cpk:Cp1002_0581
ko:K03664	cpk:Cp1002_0582
ko:K01673	cpk:Cp1002_0584
ko:K02016	cpk:Cp1002_0585
ko:K02015	cpk:Cp1002_0586
ko:K02015	cpk:Cp1002_0587
ko:K02013	cpk:Cp1002_0588
ko:K03704	cpk:Cp1002_0595
ko:K06901	cpk:Cp1002_0599
ko:K00831	cpk:Cp1002_0603
ko:K01929	cpk:Cp1002_1395
ko:K01928	cpk:Cp1002_1396
ko:K03587	cpk:Cp1002_1397
ko:K03438	cpk:Cp1002_1399
ko:K03925	cpk:Cp1002_1400
ko:K00297	cpk:Cp1002_1405
ko:K01626	cpk:Cp1002_1410
ko:K00655	cpk:Cp1002_1413
ko:K02276	cpk:Cp1002_1423
ko:K02275	cpk:Cp1002_1425
ko:K01953	cpk:Cp1002_1426
ko:K02231	cpk:Cp1002_1429
ko:K00768	cpk:Cp1002_1430
ko:K02233	cpk:Cp1002_1431
ko:K00826	cpk:Cp1002_1432
ko:K01255	cpk:Cp1002_1433
ko:K00281	cpk:Cp1002_1436
ko:K00605	cpk:Cp1002_1437
ko:K02437	cpk:Cp1002_1438
ko:K03801	cpk:Cp1002_1440
ko:K03644	cpk:Cp1002_1441
ko:K01915	cpk:Cp1002_1444
ko:K01647	cpk:Cp1002_0604
ko:K14393	cpk:Cp1002_0612
ko:K03327	cpk:Cp1002_0618
ko:K01697	cpk:Cp1002_0619
ko:K01586	cpk:Cp1002_0620
ko:K02034	cpk:Cp1002_0625
ko:K03724	cpk:Cp1002_0635
ko:K01810	cpk:Cp1002_0639
ko:K03657	cpk:Cp1002_0642
ko:K11175	cpk:Cp1002_0645
ko:K00602	cpk:Cp1002_0646
ko:K10008	cpk:Cp1002_0647
ko:K10005	cpk:Cp1002_0648
ko:K10006	cpk:Cp1002_0649
ko:K10007	cpk:Cp1002_0650
ko:K01644	cpk:Cp1002_0651
ko:K02963	cpk:Cp1002_0654
ko:K02954	cpk:Cp1002_0655
ko:K02913	cpk:Cp1002_0656
ko:K03427	cpk:Cp1002_1460b
ko:K02003	cpk:Cp1002_1464
ko:K07084	cpk:Cp1002_1472
ko:K01733	cpk:Cp1002_1475
ko:K00982	cpk:Cp1002_1479
ko:K01915	cpk:Cp1002_1480
ko:K00849	cpk:Cp1002_1484
ko:K07164	cpk:Cp1002_1487
ko:K00817	cpk:Cp1002_1489
ko:K02227	cpk:Cp1002_1493
ko:K00163	cpk:Cp1002_1496
ko:K02078	cpk:Cp1002_1497a
ko:K02902	cpk:Cp1002_0657
ko:K02909	cpk:Cp1002_0658
ko:K02911	cpk:Cp1002_0659
ko:K03282	cpk:Cp1002_0665
ko:K00963	cpk:Cp1002_0668
ko:K03750	cpk:Cp1002_0669
ko:K03790	cpk:Cp1002_0670
ko:K15977	cpk:Cp1002_0672
ko:K07056	cpk:Cp1002_0678
ko:K01874	cpk:Cp1002_0679
ko:K03424	cpk:Cp1002_0680
ko:K02528	cpk:Cp1002_0682
ko:K00919	cpk:Cp1002_0683
ko:K03811	cpk:Cp1002_0688
ko:K00134	cpk:Cp1002_0692
ko:K02837	cpk:Cp1002_0695
ko:K01056	cpk:Cp1002_0698
ko:K00459	cpk:Cp1002_0699
ko:K01056	cpk:Cp1002_0701
ko:K02897	cpk:Cp1002_0702
ko:K00948	cpk:Cp1002_0704
ko:K04042	cpk:Cp1002_0705
ko:K03723	cpk:Cp1002_0710
ko:K00820	cpk:Cp1002_1505
ko:K01129	cpk:Cp1002_1508
ko:K01880	cpk:Cp1002_1513
ko:K00806	cpk:Cp1002_1518
ko:K03584	cpk:Cp1002_1519
ko:K00868	cpk:Cp1002_1521
ko:K07042	cpk:Cp1002_1523
ko:K09761	cpk:Cp1002_1525
ko:K03686	cpk:Cp1002_1526
ko:K03705	cpk:Cp1002_1527
ko:K00705	cpk:Cp1002_1531
ko:K01284	cpk:Cp1002_1534
ko:K03311	cpk:Cp1002_1543
ko:K07088	cpk:Cp1002_1548
ko:K02034	cpk:Cp1002_1551
ko:K03758	cpk:Cp1002_0711
ko:K01689	cpk:Cp1002_0714
ko:K01524	cpk:Cp1002_0717
ko:K03624	cpk:Cp1002_0721
ko:K00600	cpk:Cp1002_0728
ko:K03823	cpk:Cp1002_0735
ko:K03601	cpk:Cp1002_0741
ko:K03527	cpk:Cp1002_0742
ko:K06942	cpk:Cp1002_0745
ko:K06193	cpk:Cp1002_0748
ko:K09781	cpk:Cp1002_0752
ko:K00077	cpk:Cp1002_0753
ko:K06997	cpk:Cp1002_1555
ko:K07112	cpk:Cp1002_1556
ko:K03596	cpk:Cp1002_1566
ko:K02968	cpk:Cp1002_1568
ko:K02340	cpk:Cp1002_1571
ko:K02237	cpk:Cp1002_1573
ko:K09710	cpk:Cp1002_1576
ko:K00969	cpk:Cp1002_1577
ko:K00147	cpk:Cp1002_1578
ko:K09790	cpk:Cp1002_1580
ko:K07085	cpk:Cp1002_1581
ko:K00931	cpk:Cp1002_1582
ko:K03979	cpk:Cp1002_1583
ko:K02899	cpk:Cp1002_1584
ko:K02888	cpk:Cp1002_1585
ko:K00940	cpk:Cp1002_1589
ko:K11754	cpk:Cp1002_1592
ko:K01873	cpk:Cp1002_1593
ko:K00024	cpk:Cp1002_1594
ko:K03544	cpk:Cp1002_1597
ko:K13950	cpk:Cp1002_1598
ko:K01358	cpk:Cp1002_1599
ko:K01358	cpk:Cp1002_1600
ko:K03545	cpk:Cp1002_1601
ko:K18926	cpk:Cp1002_0474
ko:K01897	cpk:Cp1002_1530
ko:K02077	cpk:Cp1002_0439
ko:K03709	cpk:Cp1002_0443
ko:K03743	cpk:Cp1002_1254
ko:K05794	cpk:Cp1002_1258
ko:K03177	cpk:Cp1002_1271
ko:K00567	cpk:Cp1002_1287
ko:K00970	cpk:Cp1002_2095
ko:K07258	cpk:Cp1002_0463
ko:K01488	cpk:Cp1002_0464
