ko:K19744	paeo:M801_3854
ko:K01649	paeo:M801_1255
ko:K08304	paeo:M801_1260
ko:K00355	paeo:M801_1262
ko:K00355	paeo:M801_1263
ko:K03543	paeo:M801_1275
ko:K01640	paeo:M801_2073
ko:K01968	paeo:M801_2074
ko:K13766	paeo:M801_2075
ko:K01969	paeo:M801_2076
ko:K00253	paeo:M801_2077
ko:K18095	paeo:M801_2081
ko:K18094	paeo:M801_2082
ko:K18129	paeo:M801_2083
ko:K00012	paeo:M801_2085
ko:K00963	paeo:M801_2086
ko:K00383	paeo:M801_2088
ko:K14347	paeo:M801_2089
ko:K05800	paeo:M801_2091
ko:K15256	paeo:M801_2097
ko:K01652	paeo:M801_2098
ko:K01915	paeo:M801_2103
ko:K14052	paeo:M801_2104
ko:K07862	paeo:M801_2105
ko:K06177	paeo:M801_2106
ko:K08998	paeo:M801_2108
ko:K03088	paeo:M801_2113
ko:K01725	paeo:M801_2115
ko:K01673	paeo:M801_2116
ko:K11921	paeo:M801_2117
ko:K13893	paeo:M801_2121
ko:K13894	paeo:M801_2122
ko:K13895	paeo:M801_2123
ko:K09810	paeo:M801_2957
ko:K09808	paeo:M801_2958
ko:K01126	paeo:M801_2961
ko:K00322	paeo:M801_2962
ko:K05952	paeo:M801_2963
ko:K03734	paeo:M801_2964
ko:K00351	paeo:M801_2965
ko:K00350	paeo:M801_2966
ko:K00349	paeo:M801_2967
ko:K00348	paeo:M801_2968
ko:K00347	paeo:M801_2969
ko:K00346	paeo:M801_2970
ko:K11734	paeo:M801_2971
ko:K00134	paeo:M801_2972
ko:K17686	paeo:M801_3915
ko:K03556	paeo:M801_3916
ko:K00666	paeo:M801_3919
ko:K00626	paeo:M801_3920
ko:K00426	paeo:M801_3924
ko:K00425	paeo:M801_3925
ko:K02073	paeo:M801_3926
ko:K02168	paeo:M801_3928
ko:K03119	paeo:M801_3930
ko:K15552	paeo:M801_3931
ko:K10831	paeo:M801_3932
ko:K15551	paeo:M801_3933
ko:K03530	paeo:M801_3935
ko:K10805	paeo:M801_3937
ko:K07679	paeo:M801_3941
ko:K07690	paeo:M801_3943
ko:K07007	paeo:M801_3944
ko:K16087	paeo:M801_4738
ko:K14261	paeo:M801_4743
ko:K07054	paeo:M801_4745
ko:K06901	paeo:M801_4747
ko:K06206	paeo:M801_4749
ko:K06204	paeo:M801_4751
ko:K01894	paeo:M801_4752
ko:K00970	paeo:M801_4756
ko:K00950	paeo:M801_4757
ko:K00606	paeo:M801_4758
ko:K01918	paeo:M801_4759
ko:K01579	paeo:M801_4760
ko:K01810	paeo:M801_4761
ko:K01895	paeo:M801_4762
ko:K00962	paeo:M801_4769
ko:K02956	paeo:M801_4770
ko:K03177	paeo:M801_4771
ko:K02834	paeo:M801_4772
ko:K02519	paeo:M801_4773
ko:K02600	paeo:M801_4774
ko:K09748	paeo:M801_4775
ko:K01803	paeo:M801_4778
ko:K03431	paeo:M801_4779
ko:K00796	paeo:M801_4780
ko:K03798	paeo:M801_4781
ko:K02427	paeo:M801_4782
ko:K07574	paeo:M801_4783
ko:K03624	paeo:M801_4785
ko:K01955	paeo:M801_4786
ko:K11250	paeo:M801_4787
ko:K01956	paeo:M801_4788
ko:K00215	paeo:M801_4789
ko:K03686	paeo:M801_4790
ko:K01845	paeo:M801_5575
ko:K00059	paeo:M801_5576
ko:K03455	paeo:M801_5581
ko:K03832	paeo:M801_5583
ko:K06204	paeo:M801_5588
ko:K01448	paeo:M801_5589
ko:K09007	paeo:M801_5591
ko:K01465	paeo:M801_5593
ko:K07080	paeo:M801_5597
ko:K00574	paeo:M801_5598
ko:K00820	paeo:M801_5601
ko:K04042	paeo:M801_5604
ko:K02114	paeo:M801_5605
ko:K02112	paeo:M801_5606
ko:K02115	paeo:M801_5607
ko:K02111	paeo:M801_5608
ko:K02113	paeo:M801_5609
ko:K02109	paeo:M801_5610
ko:K02110	paeo:M801_5611
ko:K02108	paeo:M801_5612
ko:K02116	paeo:M801_5613
ko:K03501	paeo:M801_5616
ko:K03495	paeo:M801_5617
ko:K03650	paeo:M801_5619
ko:K03217	paeo:M801_5620
ko:K03536	paeo:M801_5621
ko:K02914	paeo:M801_5622
ko:K08191	paeo:M801_247
ko:K00457	paeo:M801_248
ko:K00014	paeo:M801_250
ko:K03786	paeo:M801_251
ko:K00481	paeo:M801_253
ko:K03827	paeo:M801_254
ko:K03182	paeo:M801_260
ko:K11904	paeo:M801_268
ko:K11903	paeo:M801_269
ko:K00135	paeo:M801_271
ko:K14268	paeo:M801_272
ko:K00375	paeo:M801_274
ko:K03449	paeo:M801_279
ko:K07387	paeo:M801_283
ko:K07090	paeo:M801_284
ko:K02045	paeo:M801_286
ko:K02047	paeo:M801_287
ko:K02046	paeo:M801_288
ko:K02048	paeo:M801_289
ko:K03307	paeo:M801_293
ko:K18459	paeo:M801_294
ko:K02396	paeo:M801_1123
ko:K02397	paeo:M801_1124
ko:K02406	paeo:M801_1129
ko:K06603	paeo:M801_1130
ko:K02407	paeo:M801_1131
ko:K02422	paeo:M801_1132
ko:K10941	paeo:M801_1134
ko:K10942	paeo:M801_1135
ko:K10943	paeo:M801_1136
ko:K02408	paeo:M801_1137
ko:K02409	paeo:M801_1138
ko:K02410	paeo:M801_1139
ko:K02411	paeo:M801_1140
ko:K02412	paeo:M801_1141
ko:K02413	paeo:M801_1142
ko:K06182	paeo:M801_1147
ko:K06147	paeo:M801_1152
ko:K00243	paeo:M801_1155
ko:K01462	paeo:M801_1161
ko:K01129	paeo:M801_1164
ko:K12410	paeo:M801_1165
ko:K12990	paeo:M801_1169
ko:K05523	paeo:M801_1175
ko:K02014	paeo:M801_1970
ko:K07165	paeo:M801_1971
ko:K03088	paeo:M801_1972
ko:K09684	paeo:M801_1975
ko:K06995	paeo:M801_1977
ko:K16089	paeo:M801_1983
ko:K02230	paeo:M801_1984
ko:K09136	paeo:M801_1987
ko:K00549	paeo:M801_1988
ko:K03790	paeo:M801_1989
ko:K03406	paeo:M801_1991
ko:K13483	paeo:M801_1992
ko:K11178	paeo:M801_1993
ko:K11177	paeo:M801_1994
ko:K03657	paeo:M801_1996
ko:K10439	paeo:M801_2007
ko:K10441	paeo:M801_2008
ko:K10440	paeo:M801_2009
ko:K02529	paeo:M801_2010
ko:K00852	paeo:M801_2011
ko:K03811	paeo:M801_2019
ko:K13774	paeo:M801_2855
ko:K13778	paeo:M801_2856
ko:K11731	paeo:M801_2857
ko:K13779	paeo:M801_2858
ko:K13777	paeo:M801_2859
ko:K13776	paeo:M801_2861
ko:K03088	paeo:M801_2864
ko:K02030	paeo:M801_2870
ko:K13541	paeo:M801_2871
ko:K03394	paeo:M801_2872
ko:K06042	paeo:M801_2873
ko:K02229	paeo:M801_2874
ko:K00595	paeo:M801_2875
ko:K02188	paeo:M801_2876
ko:K05895	paeo:M801_2877
ko:K02014	paeo:M801_2879
ko:K02013	paeo:M801_2880
ko:K02016	paeo:M801_2881
ko:K02015	paeo:M801_2883
ko:K03406	paeo:M801_2888
ko:K10014	paeo:M801_2891
ko:K10016	paeo:M801_2892
ko:K10015	paeo:M801_2893
ko:K10017	paeo:M801_2894
ko:K10680	paeo:M801_2900
ko:K06889	paeo:M801_3684
ko:K04567	paeo:M801_3689
ko:K02836	paeo:M801_3690
ko:K11444	paeo:M801_3691
ko:K13491	paeo:M801_3692
ko:K13490	paeo:M801_3693
ko:K13489	paeo:M801_3694
ko:K13486	paeo:M801_3695
ko:K13488	paeo:M801_3696
ko:K13487	paeo:M801_3697
ko:K00316	paeo:M801_3702
ko:K07687	paeo:M801_3703
ko:K07462	paeo:M801_3713
ko:K09980	paeo:M801_3720
ko:K01733	paeo:M801_3724
ko:K00003	paeo:M801_3725
ko:K03981	paeo:M801_3726
ko:K04763	paeo:M801_3727
ko:K02884	paeo:M801_3731
ko:K00554	paeo:M801_3732
ko:K02860	paeo:M801_3733
ko:K02959	paeo:M801_3734
ko:K03106	paeo:M801_3735
ko:K16090	paeo:M801_4525
ko:K07126	paeo:M801_4527
ko:K07032	paeo:M801_4529
ko:K01581	paeo:M801_4530
ko:K03406	paeo:M801_4531
ko:K03807	paeo:M801_4532
ko:K03806	paeo:M801_4533
ko:K00767	paeo:M801_4535
ko:K02652	paeo:M801_4537
ko:K02653	paeo:M801_4538
ko:K02654	paeo:M801_4539
ko:K00859	paeo:M801_4540
ko:K09862	paeo:M801_4541
ko:K03885	paeo:M801_4549
ko:K06916	paeo:M801_4550
ko:K03695	paeo:M801_4556
ko:K05810	paeo:M801_4557
ko:K06180	paeo:M801_4558
ko:K05807	paeo:M801_4559
ko:K06950	paeo:M801_4560
ko:K02668	paeo:M801_4561
ko:K02667	paeo:M801_4562
ko:K03153	paeo:M801_4563
ko:K08084	paeo:M801_4564
ko:K02671	paeo:M801_4566
ko:K02672	paeo:M801_4567
ko:K02673	paeo:M801_4568
ko:K02674	paeo:M801_4569
ko:K03723	paeo:M801_2973
ko:K01207	paeo:M801_2976
ko:K01356	paeo:M801_2978
ko:K03168	paeo:M801_2982
ko:K01825	paeo:M801_2985
ko:K06149	paeo:M801_2988
ko:K15738	paeo:M801_2990
ko:K08309	paeo:M801_2991
ko:K07140	paeo:M801_2993
ko:K00111	paeo:M801_2996
ko:K00803	paeo:M801_2997
ko:K03750	paeo:M801_2999
ko:K03638	paeo:M801_3000
ko:K03752	paeo:M801_3001
ko:K00799	paeo:M801_3007
ko:K07006	paeo:M801_3008
ko:K14287	paeo:M801_3789
ko:K03977	paeo:M801_3790
ko:K17713	paeo:M801_3791
ko:K01892	paeo:M801_3793
ko:K15539	paeo:M801_3795
ko:K02656	paeo:M801_3796
ko:K06941	paeo:M801_3797
ko:K00940	paeo:M801_3798
ko:K04755	paeo:M801_3800
ko:K04044	paeo:M801_3801
ko:K04082	paeo:M801_3802
ko:K13628	paeo:M801_3803
ko:K04488	paeo:M801_3804
ko:K04487	paeo:M801_3805
ko:K13643	paeo:M801_3806
ko:K00640	paeo:M801_3807
ko:K15396	paeo:M801_3808
ko:K01092	paeo:M801_3809
ko:K03074	paeo:M801_3811
ko:K03072	paeo:M801_3812
ko:K03210	paeo:M801_3813
ko:K00773	paeo:M801_3814
ko:K07568	paeo:M801_3815
ko:K11720	paeo:M801_3819
ko:K07091	paeo:M801_3820
ko:K06889	paeo:M801_3821
ko:K01255	paeo:M801_3823
ko:K02339	paeo:M801_3824
ko:K01873	paeo:M801_3826
ko:K01989	paeo:M801_3828
ko:K05832	paeo:M801_3829
ko:K05833	paeo:M801_3830
ko:K06970	paeo:M801_3832
ko:K03566	paeo:M801_3838
ko:K00528	paeo:M801_4632
ko:K11688	paeo:M801_4633
ko:K07141	paeo:M801_4634
ko:K07402	paeo:M801_4636
ko:K00018	paeo:M801_4644
ko:K00564	paeo:M801_4645
ko:K11733	paeo:M801_4646
ko:K03406	paeo:M801_4651
ko:K07507	paeo:M801_4653
ko:K07286	paeo:M801_4659
ko:K00116	paeo:M801_4660
ko:K04750	paeo:M801_4661
ko:K00760	paeo:M801_4665
ko:K00761	paeo:M801_4666
ko:K02824	paeo:M801_4667
ko:K07346	paeo:M801_4671
ko:K07347	paeo:M801_4672
ko:K01772	paeo:M801_4675
ko:K07071	paeo:M801_4676
ko:K06955	paeo:M801_4677
ko:K01669	paeo:M801_4680
ko:K01776	paeo:M801_4682
ko:K02493	paeo:M801_4684
ko:K01433	paeo:M801_5471
ko:K01792	paeo:M801_5473
ko:K09950	paeo:M801_5474
ko:K01589	paeo:M801_5476
ko:K01588	paeo:M801_5477
ko:K13953	paeo:M801_5478
ko:K01744	paeo:M801_5480
ko:K07112	paeo:M801_5481
ko:K00375	paeo:M801_5482
ko:K03835	paeo:M801_5485
ko:K01960	paeo:M801_5486
ko:K01959	paeo:M801_5487
ko:K00036	paeo:M801_5491
ko:K08303	paeo:M801_5493
ko:K03657	paeo:M801_5496
ko:K08978	paeo:M801_5497
ko:K18118	paeo:M801_5498
ko:K12995	paeo:M801_5500
ko:K01711	paeo:M801_5506
ko:K07088	paeo:M801_5519
ko:K03300	paeo:M801_5521
ko:K02655	paeo:M801_4571
ko:K03527	paeo:M801_4572
ko:K03774	paeo:M801_4573
ko:K03101	paeo:M801_4574
ko:K01870	paeo:M801_4575
ko:K11753	paeo:M801_4576
ko:K03980	paeo:M801_4577
ko:K13038	paeo:M801_5365
ko:K15778	paeo:M801_5367
ko:K00930	paeo:M801_5368
ko:K07107	paeo:M801_5375
ko:K00762	paeo:M801_5376
ko:K01142	paeo:M801_5377
ko:K09940	paeo:M801_5378
ko:K00989	paeo:M801_5379
ko:K00942	paeo:M801_5381
ko:K03060	paeo:M801_5382
ko:K04761	paeo:M801_5389
ko:K03655	paeo:M801_5390
ko:K05787	paeo:M801_5393
ko:K05297	paeo:M801_5394
ko:K11477	paeo:M801_5397
ko:K11473	paeo:M801_5398
ko:K11472	paeo:M801_5399
ko:K00104	paeo:M801_5400
ko:K11474	paeo:M801_5401
ko:K03181	paeo:M801_5402
ko:K03179	paeo:M801_5403
ko:K07657	paeo:M801_5405
ko:K07636	paeo:M801_5406
ko:K02039	paeo:M801_5410
ko:K02036	paeo:M801_5411
ko:K02038	paeo:M801_5412
ko:K02037	paeo:M801_5413
ko:K02040	paeo:M801_5414
ko:K01091	paeo:M801_623
ko:K01657	paeo:M801_624
ko:K01658	paeo:M801_663
ko:K00766	paeo:M801_664
ko:K01609	paeo:M801_665
ko:K10914	paeo:M801_666
ko:K07397	paeo:M801_667
ko:K01611	paeo:M801_668
ko:K06134	paeo:M801_669
ko:K02503	paeo:M801_670
ko:K07124	paeo:M801_672
ko:K00459	paeo:M801_674
ko:K08973	paeo:M801_675
ko:K00145	paeo:M801_676
ko:K15724	paeo:M801_679
ko:K04562	paeo:M801_1494
ko:K02405	paeo:M801_1495
ko:K03413	paeo:M801_1496
ko:K03414	paeo:M801_1497
ko:K03407	paeo:M801_1498
ko:K03412	paeo:M801_1499
ko:K02556	paeo:M801_1500
ko:K02557	paeo:M801_1501
ko:K11912	paeo:M801_80
ko:K11890	paeo:M801_82
ko:K11891	paeo:M801_83
ko:K11892	paeo:M801_84
ko:K11893	paeo:M801_85
ko:K11906	paeo:M801_86
ko:K11913	paeo:M801_87
ko:K11902	paeo:M801_88
ko:K11901	paeo:M801_89
ko:K11900	paeo:M801_90
ko:K11903	paeo:M801_91
ko:K11898	paeo:M801_92
ko:K11897	paeo:M801_93
ko:K11896	paeo:M801_94
ko:K11895	paeo:M801_95
ko:K11907	paeo:M801_96
ko:K11904	paeo:M801_97
ko:K11904	paeo:M801_101
ko:K00647	paeo:M801_104
ko:K01673	paeo:M801_108
ko:K02275	paeo:M801_111
ko:K02274	paeo:M801_112
ko:K02258	paeo:M801_113
ko:K02276	paeo:M801_114
ko:K02259	paeo:M801_118
ko:K07152	paeo:M801_120
ko:K02348	paeo:M801_121
ko:K11103	paeo:M801_125
ko:K06193	paeo:M801_134
ko:K11735	paeo:M801_135
ko:K00140	paeo:M801_136
ko:K03778	paeo:M801_959
ko:K07678	paeo:M801_960
ko:K12339	paeo:M801_964
ko:K03215	paeo:M801_965
ko:K00951	paeo:M801_966
ko:K04765	paeo:M801_967
ko:K09912	paeo:M801_969
ko:K11175	paeo:M801_977
ko:K01933	paeo:M801_978
ko:K09938	paeo:M801_979
ko:K10763	paeo:M801_980
ko:K03809	paeo:M801_982
ko:K00537	paeo:M801_983
ko:K07058	paeo:M801_984
ko:K01512	paeo:M801_988
ko:K01881	paeo:M801_990
ko:K18093	paeo:M801_992
ko:K03745	paeo:M801_994
ko:K03704	paeo:M801_995
ko:K04047	paeo:M801_996
ko:K01876	paeo:M801_997
ko:K01159	paeo:M801_999
ko:K03550	paeo:M801_1000
ko:K03551	paeo:M801_1001
ko:K01075	paeo:M801_1002
ko:K03562	paeo:M801_1003
ko:K03560	paeo:M801_1004
ko:K03641	paeo:M801_1006
ko:K03640	paeo:M801_1007
ko:K10026	paeo:M801_1009
ko:K06920	paeo:M801_1010
ko:K09773	paeo:M801_1816
ko:K02553	paeo:M801_1819
ko:K16074	paeo:M801_1820
ko:K03088	paeo:M801_1823
ko:K03286	paeo:M801_1824
ko:K02303	paeo:M801_1825
ko:K00372	paeo:M801_1826
ko:K00363	paeo:M801_1827
ko:K00362	paeo:M801_1828
ko:K02575	paeo:M801_1830
ko:K01682	paeo:M801_1834
ko:K06938	paeo:M801_1835
ko:K06169	paeo:M801_1837
ko:K03269	paeo:M801_1839
ko:K03768	paeo:M801_1840
ko:K01886	paeo:M801_1841
ko:K01883	paeo:M801_1842
ko:K01491	paeo:M801_1843
ko:K03545	paeo:M801_1853
ko:K01358	paeo:M801_1854
ko:K03544	paeo:M801_1855
ko:K01338	paeo:M801_1856
ko:K03530	paeo:M801_1857
ko:K03770	paeo:M801_1859
ko:K00208	paeo:M801_1860
ko:K13896	paeo:M801_1861
ko:K02887	paeo:M801_2690
ko:K02916	paeo:M801_2691
ko:K02520	paeo:M801_2692
ko:K01868	paeo:M801_2693
ko:K01265	paeo:M801_2700
ko:K01150	paeo:M801_2702
ko:K07058	paeo:M801_2707
ko:K08276	paeo:M801_2713
ko:K06995	paeo:M801_2720
ko:K07223	paeo:M801_2725
ko:K03574	paeo:M801_2730
ko:K09471	paeo:M801_2740
ko:K07806	paeo:M801_3540
ko:K10012	paeo:M801_3541
ko:K10011	paeo:M801_3542
ko:K13014	paeo:M801_3543
ko:K07264	paeo:M801_3544
ko:K12962	paeo:M801_3545
ko:K12963	paeo:M801_3546
ko:K00012	paeo:M801_3547
ko:K02769	paeo:M801_3548
ko:K02770	paeo:M801_3548
ko:K00882	paeo:M801_3549
ko:K02768	paeo:M801_3550
ko:K08483	paeo:M801_3550
ko:K11183	paeo:M801_3550
ko:K03435	paeo:M801_3551
ko:K03424	paeo:M801_3552
ko:K01908	paeo:M801_3557
ko:K00140	paeo:M801_3559
ko:K07552	paeo:M801_3562
ko:K07213	paeo:M801_3563
ko:K00864	paeo:M801_3568
ko:K02440	paeo:M801_3570
ko:K00864	paeo:M801_3571
ko:K02444	paeo:M801_3572
ko:K00111	paeo:M801_3573
ko:K02442	paeo:M801_3574
ko:K03576	paeo:M801_3576
ko:K00626	paeo:M801_3578
ko:K00074	paeo:M801_3579
ko:K05596	paeo:M801_4371
ko:K09964	paeo:M801_4373
ko:K06895	paeo:M801_4374
ko:K04564	paeo:M801_4375
ko:K03744	paeo:M801_4378
ko:K07231	paeo:M801_4379
ko:K03408	paeo:M801_1503
ko:K03408	paeo:M801_1504
ko:K00799	paeo:M801_1506
ko:K05810	paeo:M801_1509
ko:K00059	paeo:M801_1510
ko:K04061	paeo:M801_1513
ko:K02193	paeo:M801_1515
ko:K02194	paeo:M801_1516
ko:K02195	paeo:M801_1517
ko:K02196	paeo:M801_1518
ko:K02197	paeo:M801_1519
ko:K02198	paeo:M801_1520
ko:K02199	paeo:M801_1521
ko:K02200	paeo:M801_1522
ko:K02200	paeo:M801_1523
ko:K01266	paeo:M801_1527
ko:K00864	paeo:M801_1528
ko:K02444	paeo:M801_1531
ko:K04023	paeo:M801_1532
ko:K02048	paeo:M801_1534
ko:K10716	paeo:M801_1537
ko:K08717	paeo:M801_1538
ko:K00873	paeo:M801_1539
ko:K01608	paeo:M801_1543
ko:K03639	paeo:M801_1546
ko:K06151	paeo:M801_2337
ko:K03587	paeo:M801_2344
ko:K13639	paeo:M801_2345
ko:K13979	paeo:M801_2347
ko:K03893	paeo:M801_2350
ko:K02014	paeo:M801_2361
ko:K00117	paeo:M801_2362
ko:K07267	paeo:M801_2363
ko:K02049	paeo:M801_2366
ko:K02050	paeo:M801_2367
ko:K02051	paeo:M801_2368
ko:K03710	paeo:M801_2371
ko:K02050	paeo:M801_2379
ko:K02049	paeo:M801_2380
ko:K02051	paeo:M801_2381
ko:K03119	paeo:M801_2382
ko:K06911	paeo:M801_3217
ko:K07001	paeo:M801_3218
ko:K02517	paeo:M801_3219
ko:K03610	paeo:M801_3220
ko:K03609	paeo:M801_3221
ko:K03608	paeo:M801_3222
ko:K06177	paeo:M801_3223
ko:K01267	paeo:M801_3224
ko:K03817	paeo:M801_3225
ko:K02055	paeo:M801_3227
ko:K02054	paeo:M801_3229
ko:K02053	paeo:M801_3230
ko:K02052	paeo:M801_3231
ko:K03797	paeo:M801_3234
ko:K03773	paeo:M801_3241
ko:K03554	paeo:M801_3244
ko:K03453	paeo:M801_3245
ko:K03704	paeo:M801_3247
ko:K16091	paeo:M801_3249
ko:K03724	paeo:M801_3253
ko:K09771	paeo:M801_3256
ko:K07221	paeo:M801_3260
ko:K07221	paeo:M801_3261
ko:K09929	paeo:M801_3263
ko:K09930	paeo:M801_3264
ko:K03088	paeo:M801_3267
ko:K16872	paeo:M801_3268
ko:K11752	paeo:M801_4051
ko:K07738	paeo:M801_4052
ko:K05838	paeo:M801_4056
ko:K02003	paeo:M801_4059
ko:K02004	paeo:M801_4060
ko:K09950	paeo:M801_4061
ko:K07275	paeo:M801_4062
ko:K01784	paeo:M801_4063
ko:K00067	paeo:M801_4065
ko:K07729	paeo:M801_4073
ko:K07687	paeo:M801_4076
ko:K07347	paeo:M801_4080
ko:K07345	paeo:M801_4082
ko:K01845	paeo:M801_4084
ko:K00059	paeo:M801_4085
ko:K09956	paeo:M801_4086
ko:K00483	paeo:M801_4087
ko:K00484	paeo:M801_4088
ko:K00004	paeo:M801_4093
ko:K07267	paeo:M801_4095
ko:K15977	paeo:M801_4101
ko:K09929	paeo:M801_4102
ko:K09930	paeo:M801_4103
ko:K11963	paeo:M801_4897
ko:K03190	paeo:M801_4899
ko:K01430	paeo:M801_4900
ko:K03823	paeo:M801_4901
ko:K01429	paeo:M801_4902
ko:K01428	paeo:M801_4903
ko:K04046	paeo:M801_4908
ko:K04064	paeo:M801_4911
ko:K07290	paeo:M801_4914
ko:K03594	paeo:M801_4915
ko:K07665	paeo:M801_4920
ko:K07644	paeo:M801_4922
ko:K00508	paeo:M801_4923
ko:K03187	paeo:M801_4926
ko:K03188	paeo:M801_4927
ko:K03189	paeo:M801_4928
ko:K03192	paeo:M801_4929
ko:K07165	paeo:M801_4930
ko:K03088	paeo:M801_4931
ko:K16087	paeo:M801_4932
ko:K00128	paeo:M801_4934
ko:K05548	paeo:M801_4935
ko:K01576	paeo:M801_4936
ko:K11475	paeo:M801_4940
ko:K01996	paeo:M801_4944
ko:K01995	paeo:M801_4945
ko:K01998	paeo:M801_4946
ko:K01997	paeo:M801_4947
ko:K01999	paeo:M801_4948
ko:K02313	paeo:M801_1
ko:K02338	paeo:M801_2
ko:K03629	paeo:M801_3
ko:K02470	paeo:M801_4
ko:K00655	paeo:M801_5
ko:K03273	paeo:M801_6
ko:K01879	paeo:M801_8
ko:K01878	paeo:M801_9
ko:K01246	paeo:M801_10
ko:K02517	paeo:M801_11
ko:K09125	paeo:M801_13
ko:K03499	paeo:M801_16
ko:K03500	paeo:M801_17
ko:K00604	paeo:M801_18
ko:K01462	paeo:M801_19
ko:K07044	paeo:M801_857
ko:K13788	paeo:M801_862
ko:K00925	paeo:M801_863
ko:K03775	paeo:M801_864
ko:K00432	paeo:M801_865
ko:K16137	paeo:M801_866
ko:K01114	paeo:M801_871
ko:K06203	paeo:M801_873
ko:K03386	paeo:M801_875
ko:K01754	paeo:M801_878
ko:K01679	paeo:M801_881
ko:K09924	paeo:M801_883
ko:K05527	paeo:M801_884
ko:K07146	paeo:M801_885
ko:K07396	paeo:M801_886
ko:K00457	paeo:M801_893
ko:K11734	paeo:M801_894
ko:K15034	paeo:M801_896
ko:K07262	paeo:M801_897
ko:K00832	paeo:M801_898
ko:K01724	paeo:M801_899
ko:K00500	paeo:M801_900
ko:K03721	paeo:M801_901
ko:K11901	paeo:M801_1702
ko:K11900	paeo:M801_1703
ko:K11905	paeo:M801_1704
ko:K11896	paeo:M801_1705
ko:K11895	paeo:M801_1706
ko:K11907	paeo:M801_1707
ko:K11914	paeo:M801_1708
ko:K11906	paeo:M801_1711
ko:K11893	paeo:M801_1712
ko:K11892	paeo:M801_1713
ko:K11891	paeo:M801_1714
ko:K11915	paeo:M801_1715
ko:K11916	paeo:M801_1716
ko:K06996	paeo:M801_1717
ko:K01495	paeo:M801_1719
ko:K07320	paeo:M801_1723
ko:K06889	paeo:M801_1725
ko:K01736	paeo:M801_1726
ko:K05820	paeo:M801_1727
ko:K08964	paeo:M801_1728
ko:K08967	paeo:M801_1729
ko:K09880	paeo:M801_1730
ko:K01247	paeo:M801_1732
ko:K00797	paeo:M801_1733
ko:K03229	paeo:M801_1736
