ko:K18929	cjer:H730_00395
ko:K00175	cjer:H730_03560
ko:K00177	cjer:H730_03565
ko:K02523	cjer:H730_03580
ko:K02492	cjer:H730_03585
ko:K01881	cjer:H730_03590
ko:K01649	cjer:H730_03595
ko:K01749	cjer:H730_03600
ko:K03182	cjer:H730_03605
ko:K06603	cjer:H730_03610
ko:K02407	cjer:H730_03615
ko:K02422	cjer:H730_03620
ko:K02356	cjer:H730_03630
ko:K07265	cjer:H730_08020
ko:K07266	cjer:H730_08025
ko:K00860	cjer:H730_08030
ko:K07010	cjer:H730_08040
ko:K00059	cjer:H730_08115
ko:K03271	cjer:H730_08140
ko:K07031	cjer:H730_08145
ko:K01711	cjer:H730_08150
ko:K02377	cjer:H730_08155
ko:K02377	cjer:H730_08160
ko:K01790	cjer:H730_08175
ko:K06041	cjer:H730_08205
ko:K10107	cjer:H730_08215
ko:K09689	cjer:H730_08220
ko:K09688	cjer:H730_08225
ko:K09979	cjer:H730_08230
ko:K04075	cjer:H730_08250
ko:K02836	cjer:H730_08260
ko:K06176	cjer:H730_08270
ko:K00946	cjer:H730_08275
ko:K02394	cjer:H730_08295
ko:K00826	cjer:H730_01640
ko:K01821	cjer:H730_01645
ko:K03564	cjer:H730_01650
ko:K09765	cjer:H730_01655
ko:K02372	cjer:H730_01660
ko:K00677	cjer:H730_01665
ko:K03544	cjer:H730_01670
ko:K03569	cjer:H730_01675
ko:K03570	cjer:H730_01680
ko:K01955	cjer:H730_01685
ko:K00616	cjer:H730_01695
ko:K01079	cjer:H730_01700
ko:K03408	cjer:H730_01705
ko:K03407	cjer:H730_01710
ko:K03415	cjer:H730_01715
ko:K03269	cjer:H730_01720
ko:K03624	cjer:H730_01725
ko:K00748	cjer:H730_01730
ko:K03787	cjer:H730_01750
ko:K01579	cjer:H730_01765
ko:K01918	cjer:H730_01770
ko:K00606	cjer:H730_01775
ko:K02017	cjer:H730_01780
ko:K02018	cjer:H730_01785
ko:K02020	cjer:H730_01795
ko:K02169	cjer:H730_01800
ko:K09789	cjer:H730_01805
ko:K00652	cjer:H730_01810
ko:K00833	cjer:H730_01815
ko:K01935	cjer:H730_01820
ko:K02897	cjer:H730_01835
ko:K01056	cjer:H730_01840
ko:K11720	cjer:H730_01845
ko:K01586	cjer:H730_01850
ko:K02566	cjer:H730_01855
ko:K14170	cjer:H730_01860
ko:K00817	cjer:H730_01865
ko:K02409	cjer:H730_01870
ko:K02410	cjer:H730_01875
ko:K02411	cjer:H730_01880
ko:K01662	cjer:H730_01885
ko:K09825	cjer:H730_01890
ko:K02990	cjer:H730_06320
ko:K02963	cjer:H730_06330
ko:K01338	cjer:H730_06335
ko:K05807	cjer:H730_06340
ko:K13626	cjer:H730_06345
ko:K00286	cjer:H730_06350
ko:K01719	cjer:H730_06370
ko:K00788	cjer:H730_06375
ko:K00941	cjer:H730_06380
ko:K07457	cjer:H730_06385
ko:K06923	cjer:H730_06390
ko:K11754	cjer:H730_06415
ko:K01869	cjer:H730_06430
ko:K03074	cjer:H730_06435
ko:K03072	cjer:H730_06440
ko:K03210	cjer:H730_06445
ko:K03820	cjer:H730_06450
ko:K00789	cjer:H730_06455
ko:K07862	cjer:H730_06460
ko:K00609	cjer:H730_06465
ko:K08602	cjer:H730_06470
ko:K03657	cjer:H730_06480
ko:K03177	cjer:H730_06485
ko:K03563	cjer:H730_06490
ko:K00919	cjer:H730_06495
ko:K03664	cjer:H730_06500
ko:K06891	cjer:H730_06510
ko:K03694	cjer:H730_06515
ko:K00684	cjer:H730_06520
ko:K03406	cjer:H730_06525
ko:K05595	cjer:H730_06530
ko:K07305	cjer:H730_06535
ko:K17103	cjer:H730_06545
ko:K01613	cjer:H730_06550
ko:K03798	cjer:H730_06555
ko:K02687	cjer:H730_06560
ko:K03413	cjer:H730_06565
ko:K00147	cjer:H730_03665
ko:K00384	cjer:H730_03670
ko:K14652	cjer:H730_03735
ko:K09117	cjer:H730_03740
ko:K01652	cjer:H730_03745
ko:K01653	cjer:H730_03750
ko:K02536	cjer:H730_03755
ko:K07568	cjer:H730_03760
ko:K03118	cjer:H730_03765
ko:K03117	cjer:H730_03770
ko:K08311	cjer:H730_03780
ko:K00928	cjer:H730_03785
ko:K02341	cjer:H730_03795
ko:K00796	cjer:H730_03800
ko:K01972	cjer:H730_03805
ko:K06442	cjer:H730_03815
ko:K11753	cjer:H730_03820
ko:K15256	cjer:H730_03825
ko:K01173	cjer:H730_03845
ko:K10773	cjer:H730_03850
ko:K01624	cjer:H730_03860
ko:K02557	cjer:H730_03870
ko:K03308	cjer:H730_03880
ko:K04084	cjer:H730_03890
ko:K13888	cjer:H730_03905
ko:K05685	cjer:H730_03910
ko:K02396	cjer:H730_08315
ko:K07090	cjer:H730_08325
ko:K01150	cjer:H730_08545
ko:K07738	cjer:H730_02085
ko:K03183	cjer:H730_02170
ko:K03601	cjer:H730_02175
ko:K00831	cjer:H730_02180
ko:K01784	cjer:H730_06625
ko:K07501	cjer:H730_06630
ko:K02841	cjer:H730_06635
ko:K02517	cjer:H730_06640
ko:K02843	cjer:H730_06685
ko:K03271	cjer:H730_06695
ko:K03272	cjer:H730_06700
ko:K03274	cjer:H730_06705
ko:K03273	cjer:H730_06710
ko:K08738	cjer:H730_06715
ko:K17686	cjer:H730_06725
ko:K03628	cjer:H730_06730
ko:K02343	cjer:H730_06735
ko:K01533	cjer:H730_06745
ko:K16264	cjer:H730_06755
ko:K09981	cjer:H730_06760
ko:K00016	cjer:H730_06775
ko:K03768	cjer:H730_06795
ko:K11743	cjer:H730_06805
ko:K11742	cjer:H730_06810
ko:K01887	cjer:H730_06815
ko:K03116	cjer:H730_06820
ko:K00942	cjer:H730_06825
ko:K02421	cjer:H730_06835
ko:K02003	cjer:H730_06840
ko:K02357	cjer:H730_06845
ko:K02967	cjer:H730_06850
ko:K02217	cjer:H730_03940
ko:K02040	cjer:H730_03945
ko:K02037	cjer:H730_03950
ko:K02038	cjer:H730_03955
ko:K02036	cjer:H730_03960
ko:K07043	cjer:H730_03980
ko:K04656	cjer:H730_03990
ko:K04652	cjer:H730_03995
ko:K04653	cjer:H730_04000
ko:K04654	cjer:H730_04005
ko:K04655	cjer:H730_04010
ko:K04651	cjer:H730_04015
ko:K02340	cjer:H730_04030
ko:K12573	cjer:H730_04035
ko:K00053	cjer:H730_04040
ko:K09798	cjer:H730_04045
ko:K04096	cjer:H730_04050
ko:K07447	cjer:H730_04055
ko:K07304	cjer:H730_04065
ko:K01507	cjer:H730_04070
ko:K00939	cjer:H730_04075
ko:K01876	cjer:H730_04080
ko:K00858	cjer:H730_04085
ko:K03631	cjer:H730_04090
ko:K03424	cjer:H730_04100
ko:K08307	cjer:H730_04105
ko:K03642	cjer:H730_04110
ko:K03270	cjer:H730_04115
ko:K09774	cjer:H730_04125
ko:K03978	cjer:H730_04130
ko:K05515	cjer:H730_04140
ko:K01262	cjer:H730_04145
ko:K03305	cjer:H730_04150
ko:K03667	cjer:H730_04190
ko:K01419	cjer:H730_04195
ko:K02939	cjer:H730_04200
ko:K01940	cjer:H730_04205
ko:K06925	cjer:H730_04220
ko:K06861	cjer:H730_04225
ko:K03092	cjer:H730_04230
ko:K07792	cjer:H730_04235
ko:K01547	cjer:H730_04265
ko:K02455	cjer:H730_08640
ko:K02454	cjer:H730_08645
ko:K02454	cjer:H730_08650
ko:K01714	cjer:H730_08660
ko:K02453	cjer:H730_08665
ko:K03737	cjer:H730_08675
ko:K01091	cjer:H730_08680
ko:K03286	cjer:H730_08685
ko:K02996	cjer:H730_08690
ko:K02871	cjer:H730_08695
ko:K03582	cjer:H730_08700
ko:K00406	cjer:H730_08730
ko:K00407	cjer:H730_08735
ko:K00405	cjer:H730_08740
ko:K00404	cjer:H730_08745
ko:K09792	cjer:H730_08760
ko:K01956	cjer:H730_08765
ko:K09804	cjer:H730_08770
ko:K01939	cjer:H730_08785
ko:K07112	cjer:H730_08790
ko:K11928	cjer:H730_08800
ko:K13821	cjer:H730_08805
ko:K01008	cjer:H730_08810
ko:K03406	cjer:H730_08820
ko:K02379	cjer:H730_08830
ko:K00127	cjer:H730_08835
ko:K00124	cjer:H730_08840
ko:K00123	cjer:H730_08845
ko:K00648	cjer:H730_02190
ko:K03621	cjer:H730_02195
ko:K02911	cjer:H730_02200
ko:K00940	cjer:H730_02210
ko:K03386	cjer:H730_02220
ko:K02401	cjer:H730_02225
ko:K02557	cjer:H730_02230
ko:K02556	cjer:H730_02235
ko:K08173	cjer:H730_02245
ko:K03701	cjer:H730_02275
ko:K07090	cjer:H730_02280
ko:K01657	cjer:H730_02285
ko:K13497	cjer:H730_02290
ko:K01817	cjer:H730_02295
ko:K01696	cjer:H730_02300
ko:K01695	cjer:H730_02305
ko:K02417	cjer:H730_02315
ko:K01524	cjer:H730_02325
ko:K01633	cjer:H730_02340
ko:K08591	cjer:H730_02345
ko:K00428	cjer:H730_02350
ko:K03431	cjer:H730_02360
ko:K03101	cjer:H730_02365
ko:K08973	cjer:H730_02370
ko:K03585	cjer:H730_02395
ko:K02970	cjer:H730_02410
ko:K09767	cjer:H730_02430
ko:K00574	cjer:H730_06855
ko:K00413	cjer:H730_06860
ko:K00412	cjer:H730_06865
ko:K00411	cjer:H730_06870
ko:K03495	cjer:H730_06885
ko:K03306	cjer:H730_06920
ko:K01465	cjer:H730_06925
ko:K00057	cjer:H730_06930
ko:K02434	cjer:H730_06935
ko:K07173	cjer:H730_06940
ko:K02073	cjer:H730_06950
ko:K00549	cjer:H730_06955
ko:K00297	cjer:H730_06960
ko:K02108	cjer:H730_06970
ko:K04485	cjer:H730_06975
ko:K03110	cjer:H730_06980
ko:K01934	cjer:H730_06990
ko:K02238	cjer:H730_07005
ko:K07058	cjer:H730_07010
ko:K00104	cjer:H730_07015
ko:K05810	cjer:H730_07040
ko:K00793	cjer:H730_07045
ko:K04078	cjer:H730_07055
ko:K04077	cjer:H730_07060
ko:K02484	cjer:H730_07090
ko:K05516	cjer:H730_07105
ko:K13640	cjer:H730_07110
ko:K03455	cjer:H730_07115
ko:K01091	cjer:H730_07125
ko:K01879	cjer:H730_07130
ko:K03702	cjer:H730_04310
ko:K02456	cjer:H730_04325
ko:K04066	cjer:H730_04330
ko:K02393	cjer:H730_04345
ko:K13788	cjer:H730_04350
ko:K00925	cjer:H730_04355
ko:K03438	cjer:H730_04375
ko:K03770	cjer:H730_04380
ko:K03590	cjer:H730_04385
ko:K03531	cjer:H730_04390
ko:K02392	cjer:H730_04395
ko:K02392	cjer:H730_04400
ko:K01915	cjer:H730_04405
ko:K08303	cjer:H730_04415
ko:K01588	cjer:H730_04420
ko:K01878	cjer:H730_04430
ko:K07164	cjer:H730_04440
ko:K02527	cjer:H730_04445
ko:K06180	cjer:H730_04450
ko:K03106	cjer:H730_04455
ko:K02959	cjer:H730_04460
ko:K06960	cjer:H730_04465
ko:K02860	cjer:H730_04470
ko:K00554	cjer:H730_04475
ko:K02884	cjer:H730_04480
ko:K07127	cjer:H730_04485
ko:K01626	cjer:H730_04490
ko:K02337	cjer:H730_04500
ko:K06997	cjer:H730_04505
ko:K02406	cjer:H730_04510
ko:K02493	cjer:H730_04520
ko:K06013	cjer:H730_04525
ko:K03831	cjer:H730_04535
ko:K03284	cjer:H730_04540
ko:K02055	cjer:H730_04545
ko:K02054	cjer:H730_04560
ko:K02053	cjer:H730_04565
ko:K02052	cjer:H730_04570
ko:K00123	cjer:H730_08850
ko:K13747	cjer:H730_08865
ko:K03636	cjer:H730_08875
ko:K03635	cjer:H730_08880
ko:K03750	cjer:H730_08885
ko:K01933	cjer:H730_08935
ko:K00859	cjer:H730_08940
ko:K01778	cjer:H730_08945
ko:K03796	cjer:H730_08950
ko:K07133	cjer:H730_08955
ko:K04047	cjer:H730_08960
ko:K01810	cjer:H730_08965
ko:K00963	cjer:H730_08970
ko:K01895	cjer:H730_08975
ko:K06857	cjer:H730_08980
ko:K05773	cjer:H730_08985
ko:K05772	cjer:H730_08990
ko:K07160	cjer:H730_08995
ko:K03923	cjer:H730_09015
ko:K03098	cjer:H730_09025
ko:K03098	cjer:H730_09030
ko:K13979	cjer:H730_09035
ko:K01153	cjer:H730_09040
ko:K01154	cjer:H730_09050
ko:K07089	cjer:H730_09105
ko:K03325	cjer:H730_09120
ko:K03406	cjer:H730_09130
ko:K00343	cjer:H730_09140
ko:K00342	cjer:H730_09145
ko:K00341	cjer:H730_09150
ko:K00340	cjer:H730_09155
ko:K00339	cjer:H730_09160
ko:K01591	cjer:H730_02470
ko:K03625	cjer:H730_02475
ko:K00794	cjer:H730_02480
ko:K01627	cjer:H730_02485
ko:K03977	cjer:H730_02495
ko:K00891	cjer:H730_02500
ko:K01867	cjer:H730_02505
ko:K01875	cjer:H730_02510
ko:K00873	cjer:H730_02525
ko:K00116	cjer:H730_02530
ko:K03525	cjer:H730_02535
ko:K02435	cjer:H730_02555
ko:K03558	cjer:H730_02560
ko:K03711	cjer:H730_02565
ko:K04567	cjer:H730_02570
ko:K00600	cjer:H730_02575
ko:K03749	cjer:H730_02585
ko:K00014	cjer:H730_02590
ko:K13292	cjer:H730_02600
ko:K00246	cjer:H730_02605
ko:K00244	cjer:H730_02610
ko:K00245	cjer:H730_02615
ko:K07126	cjer:H730_02630
ko:K06152	cjer:H730_02635
ko:K06151	cjer:H730_02640
ko:K01925	cjer:H730_02735
ko:K01000	cjer:H730_02740
ko:K01524	cjer:H730_07145
ko:K03474	cjer:H730_07150
ko:K00097	cjer:H730_07155
ko:K01599	cjer:H730_07175
ko:K03703	cjer:H730_07190
ko:K01951	cjer:H730_07200
ko:K01945	cjer:H730_07210
ko:K04744	cjer:H730_07220
ko:K00962	cjer:H730_07225
ko:K01104	cjer:H730_07245
ko:K03686	cjer:H730_07255
ko:K02484	cjer:H730_07265
ko:K06187	cjer:H730_07270
ko:K03605	cjer:H730_07275
ko:K03620	cjer:H730_07280
ko:K05922	cjer:H730_07285
ko:K05927	cjer:H730_07290
ko:K01448	cjer:H730_07300
ko:K00459	cjer:H730_07305
ko:K01866	cjer:H730_07310
ko:K03060	cjer:H730_07320
ko:K09903	cjer:H730_07325
ko:K09811	cjer:H730_07335
ko:K09812	cjer:H730_07340
ko:K03439	cjer:H730_07345
ko:K06180	cjer:H730_07355
ko:K05837	cjer:H730_07360
ko:K03498	cjer:H730_07365
ko:K03499	cjer:H730_07370
ko:K11782	cjer:H730_07375
ko:K00761	cjer:H730_07380
ko:K00029	cjer:H730_07385
ko:K01885	cjer:H730_07390
ko:K02313	cjer:H730_00005
ko:K02338	cjer:H730_00010
ko:K02470	cjer:H730_00015
ko:K07084	cjer:H730_00030
ko:K00266	cjer:H730_00040
ko:K03470	cjer:H730_00045
ko:K02237	cjer:H730_00050
ko:K01687	cjer:H730_00060
ko:K07023	cjer:H730_00075
ko:K06920	cjer:H730_00080
ko:K03406	cjer:H730_00095
ko:K00428	cjer:H730_00100
ko:K06180	cjer:H730_00110
ko:K06956	cjer:H730_00130
ko:K01937	cjer:H730_00140
ko:K02030	cjer:H730_04580
ko:K03832	cjer:H730_04640
ko:K16089	cjer:H730_04645
ko:K03705	cjer:H730_04650
ko:K03687	cjer:H730_04655
ko:K04043	cjer:H730_04660
ko:K00812	cjer:H730_04675
ko:K00640	cjer:H730_04680
ko:K01585	cjer:H730_04685
ko:K01892	cjer:H730_04690
ko:K00943	cjer:H730_04695
ko:K00954	cjer:H730_04700
ko:K03186	cjer:H730_04705
ko:K02386	cjer:H730_04710
ko:K02073	cjer:H730_04715
ko:K02073	cjer:H730_04730
ko:K02072	cjer:H730_04735
ko:K02071	cjer:H730_04740
ko:K01873	cjer:H730_04745
ko:K11065	cjer:H730_04770
ko:K02567	cjer:H730_04775
ko:K02573	cjer:H730_04780
ko:K02574	cjer:H730_04785
ko:K02568	cjer:H730_04790
ko:K02570	cjer:H730_04800
ko:K00974	cjer:H730_04820
ko:K06921	cjer:H730_04850
ko:K01929	cjer:H730_04870
ko:K01921	cjer:H730_04885
ko:K03550	cjer:H730_04890
ko:K01883	cjer:H730_04910
ko:K11085	cjer:H730_04915
ko:K00338	cjer:H730_09165
ko:K00337	cjer:H730_09170
ko:K00334	cjer:H730_09185
ko:K00333	cjer:H730_09190
ko:K00332	cjer:H730_09195
ko:K00331	cjer:H730_09200
ko:K00330	cjer:H730_09205
ko:K02034	cjer:H730_09220
ko:K02033	cjer:H730_09225
ko:K02035	cjer:H730_09230
ko:K06159	cjer:H730_09245
ko:K02518	cjer:H730_09265
ko:K02919	cjer:H730_09270
ko:K02952	cjer:H730_09275
ko:K02948	cjer:H730_09280
ko:K02986	cjer:H730_09285
ko:K03040	cjer:H730_09290
ko:K02879	cjer:H730_09295
ko:K00765	cjer:H730_09300
ko:K00013	cjer:H730_09305
ko:K01089	cjer:H730_09310
ko:K02501	cjer:H730_09315
ko:K01814	cjer:H730_09320
ko:K09805	cjer:H730_09325
ko:K02500	cjer:H730_09330
ko:K11755	cjer:H730_09335
ko:K00674	cjer:H730_09340
ko:K03593	cjer:H730_09345
ko:K12506	cjer:H730_09350
ko:K00958	cjer:H730_09360
ko:K01095	cjer:H730_09365
ko:K02968	cjer:H730_09370
ko:K02835	cjer:H730_09375
ko:K07226	cjer:H730_09380
ko:K02014	cjer:H730_09385
ko:K02014	cjer:H730_09390
ko:K02015	cjer:H730_09395
ko:K02013	cjer:H730_09400
ko:K02016	cjer:H730_09405
ko:K15633	cjer:H730_02745
ko:K00059	cjer:H730_02750
ko:K00239	cjer:H730_02760
ko:K00240	cjer:H730_02765
ko:K03707	cjer:H730_02775
ko:K02078	cjer:H730_02780
ko:K09458	cjer:H730_02785
ko:K01962	cjer:H730_02790
ko:K08077	cjer:H730_02815
ko:K09794	cjer:H730_02825
ko:K02902	cjer:H730_02830
ko:K01783	cjer:H730_02835
ko:K02342	cjer:H730_02840
ko:K03147	cjer:H730_02845
ko:K09778	cjer:H730_02865
ko:K06168	cjer:H730_02870
ko:K02600	cjer:H730_02880
ko:K11784	cjer:H730_02890
ko:K03655	cjer:H730_02900
ko:K06886	cjer:H730_02905
ko:K02029	cjer:H730_02915
ko:K02029	cjer:H730_02920
ko:K02028	cjer:H730_02925
ko:K02358	cjer:H730_02930
ko:K02913	cjer:H730_02935
ko:K03073	cjer:H730_02940
ko:K02601	cjer:H730_02945
ko:K02867	cjer:H730_02950
ko:K02863	cjer:H730_02955
ko:K02864	cjer:H730_02960
ko:K02935	cjer:H730_02965
ko:K03043	cjer:H730_02970
ko:K01714	cjer:H730_02985
ko:K16849	cjer:H730_02990
ko:K16850	cjer:H730_02995
ko:K18333	cjer:H730_03005
ko:K02429	cjer:H730_03010
ko:K01961	cjer:H730_07400
ko:K02160	cjer:H730_07405
ko:K01494	cjer:H730_07410
ko:K15894	cjer:H730_07415
ko:K15895	cjer:H730_07420
ko:K00648	cjer:H730_07455
ko:K00604	cjer:H730_07505
ko:K15896	cjer:H730_07515
ko:K02500	cjer:H730_07520
ko:K02501	cjer:H730_07525
ko:K15898	cjer:H730_07535
ko:K18430	cjer:H730_07590
ko:K18429	cjer:H730_07595
ko:K02406	cjer:H730_07640
ko:K02406	cjer:H730_07645
ko:K02456	cjer:H730_07665
ko:K01409	cjer:H730_07670
ko:K00099	cjer:H730_07680
ko:K00981	cjer:H730_07685
ko:K03752	cjer:H730_07700
ko:K01058	cjer:H730_07705
ko:K07462	cjer:H730_00145
ko:K01424	cjer:H730_00150
ko:K07552	cjer:H730_00190
ko:K06207	cjer:H730_00210
ko:K02389	cjer:H730_00225
ko:K02390	cjer:H730_00230
ko:K03319	cjer:H730_00250
ko:K03319	cjer:H730_00265
ko:K00566	cjer:H730_00270
ko:K06966	cjer:H730_00275
ko:K02417	cjer:H730_00315
ko:K02416	cjer:H730_00320
ko:K02405	cjer:H730_00325
ko:K04562	cjer:H730_00335
ko:K02404	cjer:H730_00340
ko:K00950	cjer:H730_00345
ko:K03786	cjer:H730_00350
ko:K04773	cjer:H730_00365
ko:K01985	cjer:H730_r10080
ko:K01985	cjer:H730_r10084
ko:K01985	cjer:H730_r10082
ko:K14222	cjer:H730_t10058
ko:K14228	cjer:H730_t10056
ko:K14228	cjer:H730_t10026
ko:K14225	cjer:H730_t10054
ko:K14225	cjer:H730_t10024
ko:K14225	cjer:H730_t10006
ko:K14231	cjer:H730_t10048
ko:K14230	cjer:H730_t10014
ko:K14230	cjer:H730_t10046
ko:K14223	cjer:H730_t10016
ko:K14220	cjer:H730_t10044
ko:K14224	cjer:H730_t10032
ko:K14229	cjer:H730_t10034
ko:K14229	cjer:H730_t10040
ko:K14218	cjer:H730_t09992
ko:K14218	cjer:H730_t10018
ko:K14218	cjer:H730_t09998
ko:K14233	cjer:H730_t10060
ko:K14234	cjer:H730_t10008
ko:K14218	cjer:H730_t10076
