ko:K04042	bmc:BAbS19_II06140
ko:K03453	bmc:BAbS19_I15900
ko:K03431	bmc:BAbS19_I15920
ko:K07708	bmc:BAbS19_I10590
ko:K03743	bmc:BAbS19_I10620
ko:K03644	bmc:BAbS19_I10650
ko:K00382	bmc:BAbS19_I10670
ko:K00627	bmc:BAbS19_I10680
ko:K01689	bmc:BAbS19_I10730
ko:K01627	bmc:BAbS19_I10740
ko:K01937	bmc:BAbS19_I10750
ko:K01803	bmc:BAbS19_I10780
ko:K03770	bmc:BAbS19_I10790
ko:K00766	bmc:BAbS19_I10800
ko:K01609	bmc:BAbS19_I10810
ko:K03637	bmc:BAbS19_I10820
ko:K03750	bmc:BAbS19_I10830
ko:K01356	bmc:BAbS19_I10840
ko:K01885	bmc:BAbS19_I10870
ko:K01647	bmc:BAbS19_I10880
ko:K09949	bmc:BAbS19_I10900
ko:K00677	bmc:BAbS19_I10910
ko:K02372	bmc:BAbS19_I10920
ko:K02536	bmc:BAbS19_I10930
ko:K07277	bmc:BAbS19_I10940
ko:K00981	bmc:BAbS19_I10960
ko:K00806	bmc:BAbS19_I10970
ko:K02838	bmc:BAbS19_I10980
ko:K09903	bmc:BAbS19_I10990
ko:K02357	bmc:BAbS19_I11000
ko:K02967	bmc:BAbS19_I11010
ko:K01586	bmc:BAbS19_I18620
ko:K00012	bmc:BAbS19_II06470
ko:K03885	bmc:BAbS19_II07030
ko:K03919	bmc:BAbS19_II06570
ko:K08369	bmc:BAbS19_II06600
ko:K00382	bmc:BAbS19_II06640
ko:K11077	bmc:BAbS19_II09900
ko:K11079	bmc:BAbS19_II09920
ko:K11080	bmc:BAbS19_II09930
ko:K03710	bmc:BAbS19_II06750
ko:K00426	bmc:BAbS19_II06770
ko:K00425	bmc:BAbS19_II06780
ko:K05563	bmc:BAbS19_II06830
ko:K05562	bmc:BAbS19_II06840
ko:K05561	bmc:BAbS19_II06850
ko:K05560	bmc:BAbS19_II06860
ko:K07078	bmc:BAbS19_II06890
ko:K03831	bmc:BAbS19_II06900
ko:K01012	bmc:BAbS19_II06920
ko:K01935	bmc:BAbS19_II06940
ko:K02431	bmc:BAbS19_I12670
ko:K01962	bmc:BAbS19_I19040
ko:K03466	bmc:BAbS19_II06620
ko:K03466	bmc:BAbS19_I17770
ko:K02622	bmc:BAbS19_II06060
ko:K00564	bmc:BAbS19_I20310
ko:K04047	bmc:BAbS19_I20110
ko:K01756	bmc:BAbS19_I08090
ko:K03760	bmc:BAbS19_I18270
ko:K03760	bmc:BAbS19_I18280
ko:K02057	bmc:BAbS19_II06280
ko:K02057	bmc:BAbS19_II06290
ko:K01759	bmc:BAbS19_I12000
ko:K01759	bmc:BAbS19_I00510
ko:K01874	bmc:BAbS19_I09400
ko:K00029	bmc:BAbS19_I01370
ko:K00029	bmc:BAbS19_I01360
ko:K04518	bmc:BAbS19_I00330
ko:K03543	bmc:BAbS19_I10020
ko:K01907	bmc:BAbS19_I00180
ko:K01847	bmc:BAbS19_I11280
ko:K00029	bmc:BAbS19_I09620
ko:K00598	bmc:BAbS19_I13770
ko:K00020	bmc:BAbS19_I12460
ko:K02619	bmc:BAbS19_II00730
ko:K07090	bmc:BAbS19_I17900
ko:K07090	bmc:BAbS19_II05360
ko:K07090	bmc:BAbS19_I12360
ko:K01895	bmc:BAbS19_I17000
ko:K02488	bmc:BAbS19_II05880
ko:K03574	bmc:BAbS19_I18190
ko:K00812	bmc:BAbS19_I14120
ko:K01091	bmc:BAbS19_I09460
ko:K02529	bmc:BAbS19_I19200
ko:K02529	bmc:BAbS19_II08300
ko:K02529	bmc:BAbS19_I05340
ko:K08738	bmc:BAbS19_II01600
ko:K11357	bmc:BAbS19_I05620
ko:K03561	bmc:BAbS19_I15710
ko:K02116	bmc:BAbS19_I03790
ko:K02529	bmc:BAbS19_I01940
ko:K01631	bmc:BAbS19_II02810
ko:K02017	bmc:BAbS19_II00830
ko:K01091	bmc:BAbS19_I02880
ko:K01091	bmc:BAbS19_I09520
ko:K07657	bmc:BAbS19_I20070
ko:K00868	bmc:BAbS19_I17180
ko:K11443	bmc:BAbS19_II05870
ko:K12340	bmc:BAbS19_I09000
ko:K02362	bmc:BAbS19_II00100
ko:K01875	bmc:BAbS19_I08440
ko:K00573	bmc:BAbS19_I08460
ko:K06923	bmc:BAbS19_I08480
ko:K03210	bmc:BAbS19_I08490
ko:K02291	bmc:BAbS19_I08520
ko:K04094	bmc:BAbS19_I08530
ko:K03545	bmc:BAbS19_I08570
ko:K02434	bmc:BAbS19_I08580
ko:K01908	bmc:BAbS19_I16290
ko:K09987	bmc:BAbS19_I16350
ko:K01494	bmc:BAbS19_I03060
ko:K09919	bmc:BAbS19_I11070
ko:K03694	bmc:BAbS19_I11090
ko:K06891	bmc:BAbS19_I11100
ko:K01752	bmc:BAbS19_I11140
ko:K07080	bmc:BAbS19_I11320
ko:K01776	bmc:BAbS19_I11330
ko:K02533	bmc:BAbS19_I11340
ko:K01872	bmc:BAbS19_I11390
ko:K03553	bmc:BAbS19_I11400
ko:K07478	bmc:BAbS19_I11440
ko:K02879	bmc:BAbS19_I11460
ko:K03040	bmc:BAbS19_I11470
ko:K02948	bmc:BAbS19_I11480
ko:K02952	bmc:BAbS19_I11490
ko:K00939	bmc:BAbS19_I11500
ko:K02876	bmc:BAbS19_I11520
ko:K02907	bmc:BAbS19_I11530
ko:K02988	bmc:BAbS19_I11540
ko:K02881	bmc:BAbS19_I11550
ko:K02933	bmc:BAbS19_I11560
ko:K02994	bmc:BAbS19_I11570
ko:K03435	bmc:BAbS19_II08690
ko:K00845	bmc:BAbS19_II09360
ko:K04719	bmc:BAbS19_II09410
ko:K00154	bmc:BAbS19_II09450
ko:K06131	bmc:BAbS19_II09470
ko:K02837	bmc:BAbS19_II09510
ko:K03688	bmc:BAbS19_II09530
ko:K03183	bmc:BAbS19_II09540
ko:K00761	bmc:BAbS19_II09550
ko:K07230	bmc:BAbS19_II07780
ko:K03745	bmc:BAbS19_II09560
ko:K02031	bmc:BAbS19_II09650
ko:K02034	bmc:BAbS19_II09660
ko:K02033	bmc:BAbS19_II09670
ko:K03781	bmc:BAbS19_II07850
ko:K04761	bmc:BAbS19_II07860
ko:K01425	bmc:BAbS19_II07970
ko:K03585	bmc:BAbS19_II08020
ko:K03820	bmc:BAbS19_I20190
ko:K03474	bmc:BAbS19_I13120
ko:K01653	bmc:BAbS19_I13150
ko:K01652	bmc:BAbS19_I13160
ko:K00791	bmc:BAbS19_I13170
ko:K07007	bmc:BAbS19_I13190
ko:K09937	bmc:BAbS19_I13210
ko:K04087	bmc:BAbS19_I13220
ko:K04088	bmc:BAbS19_I13230
ko:K00287	bmc:BAbS19_I13240
ko:K00560	bmc:BAbS19_I13250
ko:K09985	bmc:BAbS19_I13300
ko:K03657	bmc:BAbS19_I13390
ko:K01153	bmc:BAbS19_II03710
ko:K03427	bmc:BAbS19_II03730
ko:K03724	bmc:BAbS19_II03840
ko:K06953	bmc:BAbS19_II03850
ko:K09137	bmc:BAbS19_II03900
ko:K06199	bmc:BAbS19_II03910
ko:K06199	bmc:BAbS19_II03920
ko:K01686	bmc:BAbS19_II03970
ko:K01812	bmc:BAbS19_II03990
ko:K01812	bmc:BAbS19_II04000
ko:K07722	bmc:BAbS19_II04070
ko:K01923	bmc:BAbS19_I08040
ko:K07002	bmc:BAbS19_I08070
ko:K07104	bmc:BAbS19_I08080
ko:K01783	bmc:BAbS19_I08100
ko:K02517	bmc:BAbS19_I08110
ko:K09458	bmc:BAbS19_I08130
ko:K09458	bmc:BAbS19_I08140
ko:K09862	bmc:BAbS19_I02550
ko:K06287	bmc:BAbS19_I02560
ko:K02518	bmc:BAbS19_I02570
ko:K00790	bmc:BAbS19_I02620
ko:K01430	bmc:BAbS19_I02700
ko:K01429	bmc:BAbS19_I02710
ko:K01428	bmc:BAbS19_I02720
ko:K01810	bmc:BAbS19_I02860
ko:K06987	bmc:BAbS19_I02870
ko:K03577	bmc:BAbS19_I02910
ko:K03585	bmc:BAbS19_I02920
ko:K07636	bmc:BAbS19_I02980
ko:K04083	bmc:BAbS19_I03030
ko:K06195	bmc:BAbS19_I03040
ko:K10764	bmc:BAbS19_I03050
ko:K00526	bmc:BAbS19_II08170
ko:K00525	bmc:BAbS19_II08180
ko:K03647	bmc:BAbS19_II08190
ko:K06191	bmc:BAbS19_II08200
ko:K02575	bmc:BAbS19_II08320
ko:K00370	bmc:BAbS19_II08330
ko:K00371	bmc:BAbS19_II08340
ko:K00373	bmc:BAbS19_II08350
ko:K00374	bmc:BAbS19_II08360
ko:K03186	bmc:BAbS19_II08390
ko:K08303	bmc:BAbS19_II08430
ko:K02049	bmc:BAbS19_II08460
ko:K02050	bmc:BAbS19_II08470
ko:K02051	bmc:BAbS19_II08480
ko:K07234	bmc:BAbS19_II08490
ko:K03734	bmc:BAbS19_II08520
ko:K07218	bmc:BAbS19_II08560
ko:K00376	bmc:BAbS19_II08570
ko:K00874	bmc:BAbS19_I08180
ko:K06162	bmc:BAbS19_I08200
ko:K05539	bmc:BAbS19_I08230
ko:K06985	bmc:BAbS19_I08240
ko:K06938	bmc:BAbS19_I08250
ko:K02233	bmc:BAbS19_I08260
ko:K00768	bmc:BAbS19_I08270
ko:K05800	bmc:BAbS19_I08280
ko:K01142	bmc:BAbS19_I08320
ko:K01129	bmc:BAbS19_I08350
ko:K01887	bmc:BAbS19_I08360
ko:K03116	bmc:BAbS19_I08410
ko:K03117	bmc:BAbS19_I08420
ko:K03118	bmc:BAbS19_I08430
ko:K09386	bmc:BAbS19_I02850
ko:K03560	bmc:BAbS19_I15990
ko:K08300	bmc:BAbS19_I08700
ko:K07304	bmc:BAbS19_II09570
ko:K11749	bmc:BAbS19_I10950
ko:K22617	bmc:BAbS19_I20140
ko:K00262	bmc:BAbS19_I02150
ko:K00108	bmc:BAbS19_I05380
ko:K00130	bmc:BAbS19_I05370
ko:K12262	bmc:BAbS19_II01860
ko:K03497	bmc:BAbS19_I19270
ko:K03733	bmc:BAbS19_I17970
ko:K02035	bmc:BAbS19_II09700
ko:K00627	bmc:BAbS19_II09690
ko:K01588	bmc:BAbS19_I16420
ko:K01589	bmc:BAbS19_I16430
ko:K02919	bmc:BAbS19_I16440
ko:K00873	bmc:BAbS19_I16460
ko:K02064	bmc:BAbS19_I16530
ko:K02063	bmc:BAbS19_I16540
ko:K03089	bmc:BAbS19_I16580
ko:K07736	bmc:BAbS19_I16600
ko:K04762	bmc:BAbS19_I16630
ko:K02911	bmc:BAbS19_I16680
ko:K03814	bmc:BAbS19_I16690
ko:K00795	bmc:BAbS19_I16700
ko:K11078	bmc:BAbS19_II09910
ko:K03686	bmc:BAbS19_I19920
ko:K01894	bmc:BAbS19_I15550
ko:K04092	bmc:BAbS19_I17140
ko:K00265	bmc:BAbS19_II00470
ko:K00821	bmc:BAbS19_I03010
ko:K01476	bmc:BAbS19_II03190
ko:K00957	bmc:BAbS19_I01820
ko:K03189	bmc:BAbS19_I02750
ko:K02335	bmc:BAbS19_I01140
ko:K03551	bmc:BAbS19_I16020
ko:K02337	bmc:BAbS19_I07870
ko:K03092	bmc:BAbS19_I01500
ko:K02316	bmc:BAbS19_I14000
ko:K01159	bmc:BAbS19_I16040
ko:K03655	bmc:BAbS19_II06160
ko:K03111	bmc:BAbS19_I10450
ko:K03168	bmc:BAbS19_II05940
ko:K03188	bmc:BAbS19_I02740
ko:K03188	bmc:BAbS19_I12880
ko:K04043	bmc:BAbS19_I19910
ko:K01890	bmc:BAbS19_I19890
ko:K01673	bmc:BAbS19_II04240
ko:K03190	bmc:BAbS19_I02690
ko:K03187	bmc:BAbS19_I02730
ko:K00658	bmc:BAbS19_I18030
ko:K03070	bmc:BAbS19_I18240
ko:K03198	bmc:BAbS19_II00610
ko:K00166	bmc:BAbS19_II06670
ko:K04485	bmc:BAbS19_I04390
ko:K00826	bmc:BAbS19_II05380
ko:K02109	bmc:BAbS19_I03830
ko:K01951	bmc:BAbS19_II07790
ko:K00074	bmc:BAbS19_II09730
ko:K00167	bmc:BAbS19_II06660
ko:K01056	bmc:BAbS19_I14510
ko:K00762	bmc:BAbS19_I06300
ko:K11068	bmc:BAbS19_I00620
ko:K02563	bmc:BAbS19_I13560
ko:K00341	bmc:BAbS19_I07770
ko:K02501	bmc:BAbS19_I19520
ko:K01814	bmc:BAbS19_I19530
ko:K01580	bmc:BAbS19_II07990
ko:K01580	bmc:BAbS19_II08000
ko:K00343	bmc:BAbS19_I07790
ko:K02500	bmc:BAbS19_I19540
ko:K01507	bmc:BAbS19_I18710
ko:K03555	bmc:BAbS19_I01380
ko:K00013	bmc:BAbS19_I02600
ko:K00088	bmc:BAbS19_II07880
ko:K02435	bmc:BAbS19_II06030
ko:K01424	bmc:BAbS19_I18390
ko:K01424	bmc:BAbS19_I18410
ko:K01755	bmc:BAbS19_I18600
ko:K05896	bmc:BAbS19_I08390
ko:K01744	bmc:BAbS19_I18370
ko:K02806	bmc:BAbS19_I01520
ko:K00760	bmc:BAbS19_I18640
ko:K03075	bmc:BAbS19_I10770
ko:K04564	bmc:BAbS19_I05520
ko:K05936	bmc:BAbS19_I12330
ko:K04075	bmc:BAbS19_I15940
ko:K07716	bmc:BAbS19_I06000
ko:K01256	bmc:BAbS19_I06010
ko:K00311	bmc:BAbS19_I06050
ko:K01241	bmc:BAbS19_I06070
ko:K02510	bmc:BAbS19_II10390
ko:K03088	bmc:BAbS19_I15650
ko:K04566	bmc:BAbS19_II04220
ko:K02035	bmc:BAbS19_II04260
ko:K02033	bmc:BAbS19_II04270
ko:K02031	bmc:BAbS19_II04290
ko:K02032	bmc:BAbS19_II04300
ko:K00286	bmc:BAbS19_II04310
ko:K01690	bmc:BAbS19_II04330
ko:K01057	bmc:BAbS19_II04340
ko:K00036	bmc:BAbS19_II04350
ko:K09471	bmc:BAbS19_II04430
ko:K01915	bmc:BAbS19_II04450
ko:K01919	bmc:BAbS19_II04500
ko:K09761	bmc:BAbS19_II04510
ko:K02433	bmc:BAbS19_I05590
ko:K02426	bmc:BAbS19_I05600
ko:K06904	bmc:BAbS19_I05730
ko:K02200	bmc:BAbS19_I05910
ko:K02197	bmc:BAbS19_I05920
ko:K02198	bmc:BAbS19_I05930
ko:K02200	bmc:BAbS19_I05940
ko:K00982	bmc:BAbS19_I05980
ko:K01928	bmc:BAbS19_I13610
ko:K03438	bmc:BAbS19_I13640
ko:K03322	bmc:BAbS19_I13650
ko:K05801	bmc:BAbS19_I13680
ko:K07088	bmc:BAbS19_I13720
ko:K03761	bmc:BAbS19_I13760
ko:K06193	bmc:BAbS19_I13860
ko:K09799	bmc:BAbS19_I13880
ko:K01442	bmc:BAbS19_I13900
ko:K09807	bmc:BAbS19_I13950
ko:K09160	bmc:BAbS19_I13970
ko:K01246	bmc:BAbS19_II01700
ko:K05805	bmc:BAbS19_I13400
ko:K03543	bmc:BAbS19_II01070
ko:K02401	bmc:BAbS19_II01110
ko:K02556	bmc:BAbS19_II01170
ko:K02391	bmc:BAbS19_II01190
ko:K02387	bmc:BAbS19_II01390
ko:K02388	bmc:BAbS19_II01400
ko:K02408	bmc:BAbS19_II01410
ko:K02392	bmc:BAbS19_II01420
ko:K02386	bmc:BAbS19_II01430
ko:K02393	bmc:BAbS19_II01470
ko:K02415	bmc:BAbS19_II01480
ko:K02419	bmc:BAbS19_II01490
ko:K09709	bmc:BAbS19_II01550
ko:K09794	bmc:BAbS19_II01610
ko:K00035	bmc:BAbS19_II02780
ko:K01687	bmc:BAbS19_II02790
ko:K00883	bmc:BAbS19_II02800
ko:K10546	bmc:BAbS19_II02820
ko:K10548	bmc:BAbS19_II02830
ko:K10547	bmc:BAbS19_II02840
ko:K00824	bmc:BAbS19_II02850
ko:K09975	bmc:BAbS19_II02860
ko:K01712	bmc:BAbS19_II02870
ko:K01745	bmc:BAbS19_II02890
ko:K01468	bmc:BAbS19_II02900
ko:K01714	bmc:BAbS19_I06230
ko:K03664	bmc:BAbS19_I06240
ko:K03060	bmc:BAbS19_I06280
ko:K08223	bmc:BAbS19_I06330
ko:K09928	bmc:BAbS19_I06350
ko:K00997	bmc:BAbS19_I06360
ko:K03100	bmc:BAbS19_I06370
ko:K09970	bmc:BAbS19_I07150
ko:K09971	bmc:BAbS19_I07170
ko:K09972	bmc:BAbS19_I07180
ko:K00937	bmc:BAbS19_I07210
ko:K03684	bmc:BAbS19_I07230
ko:K01876	bmc:BAbS19_I07240
ko:K01698	bmc:BAbS19_I07290
ko:K00600	bmc:BAbS19_I07360
ko:K00566	bmc:BAbS19_I15030
ko:K06975	bmc:BAbS19_I15060
ko:K05836	bmc:BAbS19_II02920
ko:K00822	bmc:BAbS19_II02930
ko:K00285	bmc:BAbS19_II02950
ko:K01775	bmc:BAbS19_II02960
ko:K00101	bmc:BAbS19_II02990
ko:K03710	bmc:BAbS19_II03050
ko:K01443	bmc:BAbS19_II03070
ko:K01433	bmc:BAbS19_II03090
ko:K10680	bmc:BAbS19_II03170
ko:K01750	bmc:BAbS19_II03200
ko:K06886	bmc:BAbS19_II03210
ko:K02535	bmc:BAbS19_I13490
ko:K03531	bmc:BAbS19_I13500
ko:K03590	bmc:BAbS19_I13510
ko:K03589	bmc:BAbS19_I13520
ko:K01921	bmc:BAbS19_I13530
ko:K00075	bmc:BAbS19_I13540
ko:K01924	bmc:BAbS19_I13550
ko:K03588	bmc:BAbS19_I13570
ko:K01925	bmc:BAbS19_I13580
ko:K01000	bmc:BAbS19_I13590
ko:K00479	bmc:BAbS19_I13840
ko:K09803	bmc:BAbS19_I09230
ko:K02112	bmc:BAbS19_I16880
ko:K02115	bmc:BAbS19_I16890
ko:K02111	bmc:BAbS19_I16900
ko:K02113	bmc:BAbS19_I16910
ko:K04066	bmc:BAbS19_I16930
ko:K00616	bmc:BAbS19_I16940
ko:K01869	bmc:BAbS19_I16960
ko:K06997	bmc:BAbS19_I16970
ko:K03799	bmc:BAbS19_I17020
ko:K03500	bmc:BAbS19_I17030
ko:K06902	bmc:BAbS19_I17070
ko:K08988	bmc:BAbS19_I17090
ko:K06872	bmc:BAbS19_I17100
ko:K03744	bmc:BAbS19_I17110
ko:K02959	bmc:BAbS19_I17130
ko:K03106	bmc:BAbS19_I17150
ko:K00140	bmc:BAbS19_I17200
ko:K08311	bmc:BAbS19_I17240
ko:K03797	bmc:BAbS19_I17250
ko:K00783	bmc:BAbS19_I17280
ko:K09710	bmc:BAbS19_I17290
ko:K00969	bmc:BAbS19_I17300
ko:K00147	bmc:BAbS19_I17310
ko:K00931	bmc:BAbS19_I17320
ko:K07462	bmc:BAbS19_I12030
ko:K01921	bmc:BAbS19_I12040
ko:K00003	bmc:BAbS19_I12070
ko:K09956	bmc:BAbS19_I12110
ko:K06206	bmc:BAbS19_I12120
ko:K01265	bmc:BAbS19_I12130
ko:K03630	bmc:BAbS19_I12140
ko:K02229	bmc:BAbS19_I12170
ko:K06042	bmc:BAbS19_I12180
ko:K01696	bmc:BAbS19_I19750
ko:K01817	bmc:BAbS19_I19760
ko:K07043	bmc:BAbS19_I19780
ko:K05782	bmc:BAbS19_I19810
ko:K02520	bmc:BAbS19_I19830
ko:K02916	bmc:BAbS19_I19850
ko:K02887	bmc:BAbS19_I19860
ko:K01591	bmc:BAbS19_I19940
ko:K01920	bmc:BAbS19_I19970
ko:K03642	bmc:BAbS19_I20000
ko:K09790	bmc:BAbS19_I20010
ko:K02040	bmc:BAbS19_I20020
ko:K02037	bmc:BAbS19_I20030
ko:K02038	bmc:BAbS19_I20040
ko:K02036	bmc:BAbS19_I20050
ko:K02039	bmc:BAbS19_I20060
ko:K02049	bmc:BAbS19_II10700
ko:K02050	bmc:BAbS19_II10710
ko:K01999	bmc:BAbS19_II10750
ko:K01998	bmc:BAbS19_II10780
ko:K01995	bmc:BAbS19_II10790
ko:K01996	bmc:BAbS19_II10800
ko:K02899	bmc:BAbS19_I17370
ko:K02888	bmc:BAbS19_I17380
ko:K01940	bmc:BAbS19_I00670
ko:K06941	bmc:BAbS19_I00700
ko:K01724	bmc:BAbS19_I00730
ko:K01975	bmc:BAbS19_I00750
ko:K02003	bmc:BAbS19_I00770
ko:K06890	bmc:BAbS19_I00790
ko:K01681	bmc:BAbS19_I00850
ko:K02193	bmc:BAbS19_I00860
ko:K02194	bmc:BAbS19_I00870
ko:K02195	bmc:BAbS19_I00880
ko:K02199	bmc:BAbS19_I00900
ko:K01687	bmc:BAbS19_I00910
ko:K02048	bmc:BAbS19_I00990
ko:K02046	bmc:BAbS19_I01000
ko:K02047	bmc:BAbS19_I01010
ko:K02045	bmc:BAbS19_I01020
ko:K00763	bmc:BAbS19_I01040
ko:K00847	bmc:BAbS19_I01070
ko:K03789	bmc:BAbS19_I20130
ko:K06217	bmc:BAbS19_I20160
ko:K07042	bmc:BAbS19_I20170
ko:K00789	bmc:BAbS19_I20210
ko:K03439	bmc:BAbS19_I20220
ko:K09748	bmc:BAbS19_I20230
ko:K07742	bmc:BAbS19_I20250
ko:K02519	bmc:BAbS19_I20260
ko:K02834	bmc:BAbS19_I20270
ko:K03177	bmc:BAbS19_I20280
ko:K02956	bmc:BAbS19_I20290
ko:K00962	bmc:BAbS19_I20300
ko:K00208	bmc:BAbS19_I20330
ko:K03977	bmc:BAbS19_I03750
ko:K04046	bmc:BAbS19_I03760
ko:K02108	bmc:BAbS19_I03800
ko:K02110	bmc:BAbS19_I03810
ko:K02109	bmc:BAbS19_I03820
ko:K03470	bmc:BAbS19_I03840
ko:K00919	bmc:BAbS19_I03890
ko:K03313	bmc:BAbS19_I03910
ko:K02523	bmc:BAbS19_I03940
ko:K01878	bmc:BAbS19_I03960
ko:K01879	bmc:BAbS19_I03980
ko:K07566	bmc:BAbS19_I03990
ko:K01996	bmc:BAbS19_II10590
ko:K03710	bmc:BAbS19_II10620
ko:K02025	bmc:BAbS19_II10650
ko:K02051	bmc:BAbS19_II10690
ko:K03076	bmc:BAbS19_I11510
ko:K03685	bmc:BAbS19_I06380
ko:K03595	bmc:BAbS19_I06390
ko:K03584	bmc:BAbS19_I06400
