ko:K03219	cmx:DNC_00230
ko:K00350	cmx:DNC_02805
ko:K02437	cmx:DNC_02810
ko:K03800	cmx:DNC_02825
ko:K03696	cmx:DNC_02830
ko:K00566	cmx:DNC_02835
ko:K02806	cmx:DNC_02850
ko:K02806	cmx:DNC_02855
ko:K01963	cmx:DNC_02865
ko:K04564	cmx:DNC_02870
ko:K01840	cmx:DNC_02875
ko:K03685	cmx:DNC_02885
ko:K04485	cmx:DNC_02890
ko:K01749	cmx:DNC_02895
ko:K01873	cmx:DNC_02915
ko:K02124	cmx:DNC_02925
ko:K02123	cmx:DNC_02930
ko:K02120	cmx:DNC_02935
ko:K02118	cmx:DNC_02940
ko:K02117	cmx:DNC_02945
ko:K02121	cmx:DNC_02955
ko:K00616	cmx:DNC_02970
ko:K03046	cmx:DNC_02975
ko:K03043	cmx:DNC_02980
ko:K02935	cmx:DNC_02985
ko:K02864	cmx:DNC_02990
ko:K02863	cmx:DNC_02995
ko:K02867	cmx:DNC_03000
ko:K02601	cmx:DNC_03005
ko:K03073	cmx:DNC_03010
ko:K02358	cmx:DNC_03020
ko:K02518	cmx:DNC_03030
ko:K00240	cmx:DNC_04470
ko:K00239	cmx:DNC_04475
ko:K00241	cmx:DNC_04480
ko:K03424	cmx:DNC_04485
ko:K04084	cmx:DNC_04490
ko:K03562	cmx:DNC_04495
ko:K03559	cmx:DNC_04500
ko:K03641	cmx:DNC_04510
ko:K03640	cmx:DNC_04515
ko:K03386	cmx:DNC_04530
ko:K02428	cmx:DNC_04550
ko:K03648	cmx:DNC_04560
ko:K03657	cmx:DNC_04565
ko:K03092	cmx:DNC_04570
ko:K06137	cmx:DNC_04575
ko:K13941	cmx:DNC_04590
ko:K01633	cmx:DNC_04595
ko:K03086	cmx:DNC_04600
ko:K02968	cmx:DNC_04615
ko:K03980	cmx:DNC_04650
ko:K01151	cmx:DNC_04655
ko:K02986	cmx:DNC_04660
ko:K07146	cmx:DNC_04665
ko:K13789	cmx:DNC_04670
ko:K08719	cmx:DNC_00455
ko:K00057	cmx:DNC_00460
ko:K00972	cmx:DNC_00465
ko:K00791	cmx:DNC_00775
ko:K09710	cmx:DNC_00790
ko:K09458	cmx:DNC_00795
ko:K01507	cmx:DNC_00805
ko:K00263	cmx:DNC_00810
ko:K01082	cmx:DNC_00815
ko:K00655	cmx:DNC_00820
ko:K01909	cmx:DNC_00825
ko:K00652	cmx:DNC_00830
ko:K04066	cmx:DNC_00835
ko:K04567	cmx:DNC_00850
ko:K01883	cmx:DNC_00855
ko:K03536	cmx:DNC_00865
ko:K02919	cmx:DNC_00870
ko:K02954	cmx:DNC_00875
ko:K03703	cmx:DNC_00890
ko:K03555	cmx:DNC_00895
ko:K14164	cmx:DNC_00915
ko:K01872	cmx:DNC_00665
ko:K00615	cmx:DNC_00690
ko:K01241	cmx:DNC_00695
ko:K02356	cmx:DNC_00700
ko:K01929	cmx:DNC_00725
ko:K01000	cmx:DNC_00730
ko:K01925	cmx:DNC_00735
ko:K03588	cmx:DNC_00745
ko:K02563	cmx:DNC_00750
ko:K01921	cmx:DNC_00755
ko:K01924	cmx:DNC_00755
ko:K06960	cmx:DNC_00760
ko:K06972	cmx:DNC_01065
ko:K09760	cmx:DNC_01070
ko:K17103	cmx:DNC_01075
ko:K00075	cmx:DNC_01100
ko:K03625	cmx:DNC_01105
ko:K02520	cmx:DNC_01110
ko:K02916	cmx:DNC_01115
ko:K02887	cmx:DNC_01120
ko:K01889	cmx:DNC_01125
ko:K11720	cmx:DNC_01140
ko:K07091	cmx:DNC_01145
ko:K04075	cmx:DNC_01150
ko:K03798	cmx:DNC_01155
ko:K00962	cmx:DNC_01160
ko:K02956	cmx:DNC_01165
ko:K01265	cmx:DNC_01210
ko:K01679	cmx:DNC_01230
ko:K03321	cmx:DNC_01235
ko:K03527	cmx:DNC_01255
ko:K04763	cmx:DNC_01290
ko:K00700	cmx:DNC_01300
ko:K09779	cmx:DNC_01360
ko:K02400	cmx:DNC_01665
ko:K02405	cmx:DNC_01670
ko:K01866	cmx:DNC_01675
ko:K00033	cmx:DNC_01680
ko:K03596	cmx:DNC_01685
ko:K03301	cmx:DNC_01690
ko:K11707	cmx:DNC_01710
ko:K11710	cmx:DNC_01715
ko:K11708	cmx:DNC_01720
ko:K11709	cmx:DNC_01725
ko:K00099	cmx:DNC_01730
ko:K03629	cmx:DNC_01745
ko:K02338	cmx:DNC_01750
ko:K02412	cmx:DNC_00475
ko:K02411	cmx:DNC_00480
ko:K02409	cmx:DNC_00485
ko:K13819	cmx:DNC_00490
ko:K04487	cmx:DNC_00495
ko:K01834	cmx:DNC_00500
ko:K06178	cmx:DNC_00505
ko:K03524	cmx:DNC_00515
ko:K05837	cmx:DNC_00520
ko:K01875	cmx:DNC_00535
ko:K11752	cmx:DNC_00540
ko:K14652	cmx:DNC_00545
ko:K00794	cmx:DNC_00550
ko:K03310	cmx:DNC_00565
ko:K06910	cmx:DNC_00570
ko:K07117	cmx:DNC_00575
ko:K03466	cmx:DNC_00585
ko:K01599	cmx:DNC_00655
ko:K03723	cmx:DNC_00660
ko:K00351	cmx:DNC_00620
ko:K03210	cmx:DNC_00625
ko:K00231	cmx:DNC_00645
ko:K02881	cmx:DNC_04070
ko:K12573	cmx:DNC_03435
ko:K07164	cmx:DNC_03440
ko:K06041	cmx:DNC_03445
ko:K00658	cmx:DNC_03450
ko:K00912	cmx:DNC_03460
ko:K03437	cmx:DNC_03465
ko:K06969	cmx:DNC_03470
ko:K00793	cmx:DNC_03475
ko:K07738	cmx:DNC_03480
ko:K06204	cmx:DNC_03485
ko:K03101	cmx:DNC_03490
ko:K03310	cmx:DNC_03495
ko:K00970	cmx:DNC_03500
ko:K00748	cmx:DNC_03505
ko:K09815	cmx:DNC_03530
ko:K09817	cmx:DNC_03535
ko:K09816	cmx:DNC_03540
ko:K03979	cmx:DNC_03545
ko:K02899	cmx:DNC_03550
ko:K02888	cmx:DNC_03555
ko:K07042	cmx:DNC_03570
ko:K07081	cmx:DNC_03595
ko:K03183	cmx:DNC_03600
ko:K01778	cmx:DNC_03610
ko:K01358	cmx:DNC_03615
ko:K00600	cmx:DNC_03620
ko:K01719	cmx:DNC_03625
ko:K01770	cmx:DNC_03630
ko:K00380	cmx:DNC_03635
ko:K02946	cmx:DNC_03640
ko:K02355	cmx:DNC_03645
ko:K02992	cmx:DNC_03650
ko:K02950	cmx:DNC_03655
ko:K03797	cmx:DNC_03665
ko:K01885	cmx:DNC_03695
ko:K07462	cmx:DNC_03705
ko:K12257	cmx:DNC_03710
ko:K00806	cmx:DNC_03720
ko:K00981	cmx:DNC_03725
ko:K00945	cmx:DNC_03730
ko:K00655	cmx:DNC_03735
ko:K01887	cmx:DNC_03740
ko:K00790	cmx:DNC_03745
ko:K02952	cmx:DNC_04050
ko:K03076	cmx:DNC_04055
ko:K02876	cmx:DNC_04060
ko:K02988	cmx:DNC_04065
ko:K01803	cmx:DNC_03065
ko:K03601	cmx:DNC_03070
ko:K03602	cmx:DNC_03075
ko:K01662	cmx:DNC_03085
ko:K00873	cmx:DNC_03090
ko:K03701	cmx:DNC_03095
ko:K02343	cmx:DNC_03100
ko:K09747	cmx:DNC_03105
ko:K08483	cmx:DNC_03110
ko:K11189	cmx:DNC_03115
ko:K11381	cmx:DNC_03135
ko:K03686	cmx:DNC_03140
ko:K02970	cmx:DNC_03145
ko:K01338	cmx:DNC_03155
ko:K00784	cmx:DNC_03165
ko:K03733	cmx:DNC_03170
ko:K06287	cmx:DNC_03180
ko:K03075	cmx:DNC_03195
ko:K01462	cmx:DNC_03200
ko:K02528	cmx:DNC_03205
ko:K06888	cmx:DNC_03215
ko:K03523	cmx:DNC_03235
ko:K01714	cmx:DNC_03245
ko:K00928	cmx:DNC_03250
ko:K00133	cmx:DNC_03255
ko:K00215	cmx:DNC_03260
ko:K00800	cmx:DNC_03270
ko:K00891	cmx:DNC_03275
ko:K01736	cmx:DNC_03280
ko:K01735	cmx:DNC_03285
ko:K13832	cmx:DNC_03290
ko:K03758	cmx:DNC_03310
ko:K00024	cmx:DNC_03320
ko:K08274	cmx:DNC_03325
ko:K01810	cmx:DNC_03330
ko:K03665	cmx:DNC_03335
ko:K06167	cmx:DNC_03340
ko:K09996	cmx:DNC_03345
ko:K03856	cmx:DNC_03350
ko:K06966	cmx:DNC_03385
ko:K09131	cmx:DNC_03390
ko:K10206	cmx:DNC_03400
ko:K01881	cmx:DNC_03415
ko:K03705	cmx:DNC_03420
ko:K03687	cmx:DNC_03425
ko:K04043	cmx:DNC_03430
ko:K03230	cmx:DNC_01820
ko:K03664	cmx:DNC_01755
ko:K03734	cmx:DNC_01760
ko:K01491	cmx:DNC_01765
ko:K08275	cmx:DNC_01775
ko:K02902	cmx:DNC_01800
ko:K00705	cmx:DNC_01805
ko:K03229	cmx:DNC_01825
ko:K06942	cmx:DNC_01830
ko:K11753	cmx:DNC_01835
ko:K03177	cmx:DNC_01840
ko:K02834	cmx:DNC_01845
ko:K02519	cmx:DNC_01850
ko:K02600	cmx:DNC_01855
ko:K02945	cmx:DNC_01860
ko:K00384	cmx:DNC_01865
ko:K00997	cmx:DNC_01870
ko:K00208	cmx:DNC_01890
ko:K06179	cmx:DNC_01900
ko:K03575	cmx:DNC_01905
ko:K04077	cmx:DNC_01920
ko:K04078	cmx:DNC_01925
ko:K08602	cmx:DNC_01930
ko:K03695	cmx:DNC_01935
ko:K01783	cmx:DNC_01975
ko:K02356	cmx:DNC_01980
ko:K02160	cmx:DNC_01985
ko:K01961	cmx:DNC_01990
ko:K02871	cmx:DNC_01995
ko:K02996	cmx:DNC_02000
ko:K00939	cmx:DNC_02010
ko:K02029	cmx:DNC_02015
ko:K02028	cmx:DNC_02020
ko:K07058	cmx:DNC_02030
ko:K06999	cmx:DNC_02050
ko:K07566	cmx:DNC_02055
ko:K02035	cmx:DNC_02065
ko:K09125	cmx:DNC_02070
ko:K07039	cmx:DNC_02075
ko:K01972	cmx:DNC_02110
ko:K06889	cmx:DNC_02125
ko:K02913	cmx:DNC_02135
ko:K09808	cmx:DNC_02140
ko:K09810	cmx:DNC_02145
ko:K01951	cmx:DNC_02205
ko:K00088	cmx:DNC_02210
ko:K02933	cmx:DNC_04075
ko:K02994	cmx:DNC_04080
ko:K02931	cmx:DNC_04085
ko:K02895	cmx:DNC_04090
ko:K02874	cmx:DNC_04095
ko:K02961	cmx:DNC_04100
ko:K02904	cmx:DNC_04105
ko:K02878	cmx:DNC_04110
ko:K02982	cmx:DNC_04115
ko:K02890	cmx:DNC_04120
ko:K02965	cmx:DNC_04125
ko:K02886	cmx:DNC_04130
ko:K02892	cmx:DNC_04135
ko:K02926	cmx:DNC_04140
ko:K02906	cmx:DNC_04145
ko:K00604	cmx:DNC_04155
ko:K00677	cmx:DNC_04160
ko:K02372	cmx:DNC_04165
ko:K01868	cmx:DNC_04420
ko:K02535	cmx:DNC_04170
ko:K03820	cmx:DNC_04175
ko:K02342	cmx:DNC_04185
ko:K06925	cmx:DNC_04190
ko:K03671	cmx:DNC_04205
ko:K03216	cmx:DNC_04210
ko:K01876	cmx:DNC_04220
ko:K01892	cmx:DNC_04225
ko:K07783	cmx:DNC_04230
ko:K02337	cmx:DNC_04235
ko:K01867	cmx:DNC_04440
ko:K00761	cmx:DNC_04240
ko:K07258	cmx:DNC_04270
ko:K03311	cmx:DNC_04285
ko:K00382	cmx:DNC_04300
ko:K03644	cmx:DNC_04305
ko:K03222	cmx:DNC_04310
ko:K03223	cmx:DNC_04320
ko:K03226	cmx:DNC_04325
ko:K03227	cmx:DNC_04330
ko:K03228	cmx:DNC_04335
ko:K02455	cmx:DNC_04365
ko:K02454	cmx:DNC_04370
ko:K03702	cmx:DNC_04445
ko:K01689	cmx:DNC_04450
ko:K02453	cmx:DNC_04375
ko:K01262	cmx:DNC_04385
ko:K03572	cmx:DNC_04390
ko:K07315	cmx:DNC_04455
ko:K02035	cmx:DNC_02225
ko:K03611	cmx:DNC_02235
ko:K02049	cmx:DNC_02255
ko:K00688	cmx:DNC_02635
ko:K00979	cmx:DNC_02275
ko:K01937	cmx:DNC_02280
ko:K07447	cmx:DNC_02285
ko:K00036	cmx:DNC_02290
ko:K01057	cmx:DNC_02295
ko:K02343	cmx:DNC_02300
ko:K00943	cmx:DNC_02305
ko:K02469	cmx:DNC_02310
ko:K02470	cmx:DNC_02315
ko:K00773	cmx:DNC_02330
ko:K06213	cmx:DNC_02335
ko:K01409	cmx:DNC_02350
ko:K15580	cmx:DNC_02355
ko:K15581	cmx:DNC_02360
ko:K15582	cmx:DNC_02365
ko:K10823	cmx:DNC_02370
ko:K15583	cmx:DNC_02375
ko:K03319	cmx:DNC_02385
ko:K00850	cmx:DNC_02390
ko:K06889	cmx:DNC_02395
ko:K00895	cmx:DNC_02400
ko:K02527	cmx:DNC_02415
ko:K01869	cmx:DNC_02420
ko:K01845	cmx:DNC_02425
ko:K07735	cmx:DNC_02430
ko:K08999	cmx:DNC_02435
ko:K01807	cmx:DNC_02440
ko:K03658	cmx:DNC_02470
ko:K03787	cmx:DNC_02475
ko:K03179	cmx:DNC_02480
ko:K03186	cmx:DNC_02485
ko:K03308	cmx:DNC_02550
ko:K02078	cmx:DNC_02575
ko:K00059	cmx:DNC_02580
ko:K00645	cmx:DNC_02585
ko:K00648	cmx:DNC_02590
ko:K06187	cmx:DNC_02595
ko:K07277	cmx:DNC_02600
ko:K06142	cmx:DNC_02605
ko:K02536	cmx:DNC_02610
ko:K00161	cmx:DNC_02620
ko:K00162	cmx:DNC_02625
ko:K00627	cmx:DNC_02630
ko:K00658	cmx:DNC_01635
ko:K05810	cmx:DNC_01640
ko:K03526	cmx:DNC_01645
ko:K03825	cmx:DNC_03760
ko:K02836	cmx:DNC_03765
ko:K07098	cmx:DNC_03775
ko:K00991	cmx:DNC_03780
ko:K06173	cmx:DNC_03785
ko:K07710	cmx:DNC_03810
ko:K07714	cmx:DNC_03815
ko:K03584	cmx:DNC_03830
ko:K08998	cmx:DNC_03855
ko:K01890	cmx:DNC_03865
ko:K00567	cmx:DNC_03875
ko:K02034	cmx:DNC_03880
ko:K02033	cmx:DNC_03885
ko:K02035	cmx:DNC_03890
ko:K01772	cmx:DNC_03915
ko:K02030	cmx:DNC_03920
ko:K07099	cmx:DNC_03930
ko:K00975	cmx:DNC_03935
ko:K03628	cmx:DNC_03945
ko:K00859	cmx:DNC_03950
ko:K03301	cmx:DNC_03965
ko:K00995	cmx:DNC_03970
ko:K03495	cmx:DNC_03990
ko:K03800	cmx:DNC_03995
ko:K00940	cmx:DNC_04000
ko:K03550	cmx:DNC_04005
ko:K01159	cmx:DNC_04010
ko:K00134	cmx:DNC_04030
ko:K02879	cmx:DNC_04035
ko:K03040	cmx:DNC_04040
ko:K02948	cmx:DNC_04045
ko:K00995	cmx:DNC_00920
ko:K00703	cmx:DNC_00925
ko:K02897	cmx:DNC_00935
ko:K01056	cmx:DNC_00940
ko:K02990	cmx:DNC_00945
ko:K02963	cmx:DNC_00950
ko:K02939	cmx:DNC_00955
ko:K00919	cmx:DNC_00960
ko:K01408	cmx:DNC_00975
ko:K00630	cmx:DNC_00980
ko:K08301	cmx:DNC_00985
ko:K03621	cmx:DNC_00995
ko:K03431	cmx:DNC_01020
ko:K00820	cmx:DNC_01025
ko:K03834	cmx:DNC_01030
ko:K03834	cmx:DNC_01035
ko:K06890	cmx:DNC_01040
ko:K03110	cmx:DNC_01045
ko:K01903	cmx:DNC_01050
ko:K01902	cmx:DNC_01055
ko:K02435	cmx:DNC_01365
ko:K02433	cmx:DNC_01370
ko:K02434	cmx:DNC_01375
ko:K03471	cmx:DNC_01395
ko:K02517	cmx:DNC_01405
ko:K00425	cmx:DNC_01420
ko:K00426	cmx:DNC_01425
ko:K07175	cmx:DNC_01430
ko:K01870	cmx:DNC_01450
ko:K03100	cmx:DNC_01455
ko:K02909	cmx:DNC_01465
ko:K02835	cmx:DNC_01470
ko:K02493	cmx:DNC_01475
ko:K03106	cmx:DNC_01480
ko:K02959	cmx:DNC_01485
ko:K00554	cmx:DNC_01490
ko:K02884	cmx:DNC_01495
ko:K03470	cmx:DNC_01500
ko:K00942	cmx:DNC_01505
ko:K01874	cmx:DNC_01515
ko:K03581	cmx:DNC_01520
ko:K01494	cmx:DNC_01550
ko:K03551	cmx:DNC_01555
ko:K01255	cmx:DNC_01580
ko:K02340	cmx:DNC_01590
ko:K07056	cmx:DNC_01595
ko:K00164	cmx:DNC_01630
ko:K03111	cmx:DNC_01575
ko:K03496	cmx:DNC_04425
ko:K03497	cmx:DNC_00320
ko:K02626	cmx:DNC_03305
ko:K21053	cmx:DNC_02200
ko:K01985	cmx:DNC_00610
ko:K01985	cmx:DNC_00685
ko:K11991	cmx:DNC_01170
ko:K04771	cmx:DNC_01060
ko:K02031	cmx:DNC_00330
ko:K11749	cmx:DNC_01735
ko:K11645	cmx:DNC_02455
ko:K19405	cmx:DNC_00240
ko:K19411	cmx:DNC_00245
ko:K07125	cmx:DNC_03040
ko:K02032	cmx:DNC_00325
ko:K14237	cmx:DNC_01090
ko:K01977	cmx:DNC_00600
ko:K01977	cmx:DNC_00675
ko:K12132	cmx:DNC_02910
ko:K20074	cmx:DNC_02690
ko:K20265	cmx:DNC_02460
ko:K14234	cmx:DNC_00235
ko:K14225	cmx:DNC_00280
ko:K14225	cmx:DNC_00425
ko:K14233	cmx:DNC_01130
ko:K14232	cmx:DNC_01660
ko:K14237	cmx:DNC_02500
ko:K14227	cmx:DNC_02260
ko:K14230	cmx:DNC_02410
ko:K14220	cmx:DNC_01540
ko:K01980	cmx:DNC_00605
ko:K01980	cmx:DNC_00680
ko:K14234	cmx:DNC_02080
ko:K01978	cmx:DNC_04700
ko:K22100	cmx:DNC_03060
ko:K22099	cmx:DNC_04580
ko:K00526	cmx:DNC_01085
ko:K01520	cmx:DNC_02860
ko:K00287	cmx:DNC_04585
ko:K02316	cmx:DNC_00900
ko:K02314	cmx:DNC_03985
ko:K02335	cmx:DNC_03955
ko:K03553	cmx:DNC_00100
ko:K00525	cmx:DNC_01080
ko:K02050	cmx:DNC_01225
ko:K02051	cmx:DNC_01225
ko:K03309	cmx:DNC_03455
ko:K01829	cmx:DNC_00860
ko:K14236	cmx:DNC_02085
ko:K14226	cmx:DNC_00590
ko:K01534	cmx:DNC_00525
ko:K16239	cmx:DNC_01795
ko:K04058	cmx:DNC_01815
