ko:K10563	ypp:YPDSF_3853
ko:K01190	ypp:YPDSF_1792
ko:K01485	ypp:YPDSF_0089
ko:K10537	ypp:YPDSF_0879
ko:K03608	ypp:YPDSF_1045
ko:K01895	ypp:YPDSF_3718
ko:K02016	ypp:YPDSF_3689
ko:K03549	ypp:YPDSF_3899
ko:K07497	ypp:YPDSF_3956
ko:K07483	ypp:YPDSF_4004
ko:K07085	ypp:YPDSF_0014
ko:K00123	ypp:YPDSF_0035
ko:K10440	ypp:YPDSF_0557
ko:K10440	ypp:YPDSF_1910
ko:K10440	ypp:YPDSF_3327
ko:K05366	ypp:YPDSF_0071
ko:K07491	ypp:YPDSF_0129
ko:K02024	ypp:YPDSF_0189
ko:K06901	ypp:YPDSF_0236
ko:K03281	ypp:YPDSF_0863
ko:K00853	ypp:YPDSF_0880
ko:K08320	ypp:YPDSF_0967
ko:K06889	ypp:YPDSF_1118
ko:K07673	ypp:YPDSF_1163
ko:K06217	ypp:YPDSF_1165
ko:K04781	ypp:YPDSF_1209
ko:K05374	ypp:YPDSF_1217
ko:K06147	ypp:YPDSF_1387
ko:K07148	ypp:YPDSF_1471
ko:K10716	ypp:YPDSF_1600
ko:K02032	ypp:YPDSF_1612
ko:K03457	ypp:YPDSF_1629
ko:K01766	ypp:YPDSF_1685
ko:K07396	ypp:YPDSF_1718
ko:K10038	ypp:YPDSF_1926
ko:K07345	ypp:YPDSF_2053
ko:K02010	ypp:YPDSF_2068
ko:K06887	ypp:YPDSF_2070
ko:K03290	ypp:YPDSF_2123
ko:K01639	ypp:YPDSF_2129
ko:K07685	ypp:YPDSF_2146
ko:K02492	ypp:YPDSF_1102
ko:K00627	ypp:YPDSF_2936
ko:K07088	ypp:YPDSF_2219
ko:K08303	ypp:YPDSF_2205
ko:K03217	ypp:YPDSF_3932
ko:K01142	ypp:YPDSF_0966
ko:K07000	ypp:YPDSF_1831
ko:K01207	ypp:YPDSF_1832
ko:K07082	ypp:YPDSF_1843
ko:K10036	ypp:YPDSF_1924
ko:K10037	ypp:YPDSF_1925
ko:K06970	ypp:YPDSF_1929
ko:K00046	ypp:YPDSF_1949
ko:K09161	ypp:YPDSF_1971
ko:K10015	ypp:YPDSF_1985
ko:K06205	ypp:YPDSF_3904
ko:K03281	ypp:YPDSF_2969
ko:K00826	ypp:YPDSF_3511
ko:K04759	ypp:YPDSF_0059
ko:K06199	ypp:YPDSF_2658
ko:K01665	ypp:YPDSF_1350
ko:K02412	ypp:YPDSF_1297
ko:K02992	ypp:YPDSF_0126
ko:K00484	ypp:YPDSF_1353
ko:K01429	ypp:YPDSF_1610
ko:K01428	ypp:YPDSF_1609
ko:K03500	ypp:YPDSF_0162
ko:K02553	ypp:YPDSF_3803
ko:K01876	ypp:YPDSF_1069
ko:K05851	ypp:YPDSF_3465
ko:K07462	ypp:YPDSF_0626
ko:K01095	ypp:YPDSF_2814
ko:K02687	ypp:YPDSF_0262
ko:K03594	ypp:YPDSF_0131
ko:K02501	ypp:YPDSF_1431
ko:K02500	ypp:YPDSF_1433
ko:K05349	ypp:YPDSF_0401
ko:K00813	ypp:YPDSF_2285
ko:K03602	ypp:YPDSF_2810
ko:K03746	ypp:YPDSF_0958
ko:K03658	ypp:YPDSF_1534
ko:K00483	ypp:YPDSF_1354
ko:K01664	ypp:YPDSF_0097
ko:K00111	ypp:YPDSF_3443
ko:K08722	ypp:YPDSF_1968
ko:K01585	ypp:YPDSF_0586
ko:K01430	ypp:YPDSF_1611
ko:K02423	ypp:YPDSF_1287
ko:K03557	ypp:YPDSF_0260
ko:K03654	ypp:YPDSF_3450
ko:K02408	ypp:YPDSF_1293
ko:K02413	ypp:YPDSF_1298
ko:K02414	ypp:YPDSF_1299
ko:K02415	ypp:YPDSF_1300
ko:K02416	ypp:YPDSF_1301
ko:K02417	ypp:YPDSF_1302
ko:K02418	ypp:YPDSF_1303
ko:K02395	ypp:YPDSF_1317
ko:K03574	ypp:YPDSF_3077
ko:K02846	ypp:YPDSF_1863
ko:K02906	ypp:YPDSF_0133
ko:K02419	ypp:YPDSF_1304
ko:K00325	ypp:YPDSF_0841
ko:K03186	ypp:YPDSF_1988
ko:K02759	ypp:YPDSF_1594
ko:K01586	ypp:YPDSF_1713
ko:K00108	ypp:YPDSF_2532
ko:K06190	ypp:YPDSF_0938
ko:K03183	ypp:YPDSF_3398
ko:K00266	ypp:YPDSF_0339
ko:K02669	ypp:YPDSF_0575
ko:K01870	ypp:YPDSF_3157
ko:K02337	ypp:YPDSF_1653
ko:K03562	ypp:YPDSF_2575
ko:K08300	ypp:YPDSF_1856
ko:K03641	ypp:YPDSF_2572
ko:K03631	ypp:YPDSF_2592
ko:K08309	ypp:YPDSF_3182
ko:K03893	ypp:YPDSF_3014
ko:K02477	ypp:YPDSF_3073
ko:K02446	ypp:YPDSF_3814
ko:K00610	ypp:YPDSF_0308
ko:K03407	ypp:YPDSF_1781
ko:K07678	ypp:YPDSF_2977
ko:K07641	ypp:YPDSF_0621
ko:K03666	ypp:YPDSF_3601
ko:K02057	ypp:YPDSF_1309
ko:K02056	ypp:YPDSF_1310
ko:K01834	ypp:YPDSF_2564
ko:K00794	ypp:YPDSF_2817
ko:K07644	ypp:YPDSF_1123
ko:K03841	ypp:YPDSF_3569
ko:K02058	ypp:YPDSF_0240
ko:K02056	ypp:YPDSF_0241
ko:K02057	ypp:YPDSF_0242
ko:K02057	ypp:YPDSF_0243
ko:K08484	ypp:YPDSF_1704
ko:K00970	ypp:YPDSF_2957
ko:K02041	ypp:YPDSF_2513
ko:K02036	ypp:YPDSF_3921
ko:K02040	ypp:YPDSF_3918
ko:K07042	ypp:YPDSF_2634
ko:K02015	ypp:YPDSF_3767
ko:K02042	ypp:YPDSF_2511
ko:K02044	ypp:YPDSF_2512
ko:K02042	ypp:YPDSF_2510
ko:K02410	ypp:YPDSF_1295
ko:K04565	ypp:YPDSF_2984
ko:K00134	ypp:YPDSF_0977
ko:K02058	ypp:YPDSF_1311
ko:K02057	ypp:YPDSF_1312
ko:K02057	ypp:YPDSF_3517
ko:K02057	ypp:YPDSF_3518
ko:K02056	ypp:YPDSF_3519
ko:K02058	ypp:YPDSF_3520
ko:K02796	ypp:YPDSF_1368
ko:K02795	ypp:YPDSF_1367
ko:K02793	ypp:YPDSF_1366
ko:K02794	ypp:YPDSF_1366
ko:K01995	ypp:YPDSF_3422
ko:K03979	ypp:YPDSF_3558
ko:K02856	ypp:YPDSF_3637
ko:K02854	ypp:YPDSF_3639
ko:K02855	ypp:YPDSF_3640
ko:K05795	ypp:YPDSF_3670
ko:K05793	ypp:YPDSF_3673
ko:K03665	ypp:YPDSF_3600
ko:K02478	ypp:YPDSF_3308
ko:K02017	ypp:YPDSF_2550
ko:K00658	ypp:YPDSF_2583
ko:K07497	ypp:YPDSF_2614
ko:K01175	ypp:YPDSF_2616
ko:K05837	ypp:YPDSF_2650
ko:K00010	ypp:YPDSF_2674
ko:K00140	ypp:YPDSF_2677
ko:K03455	ypp:YPDSF_2733
ko:K00523	ypp:YPDSF_2752
ko:K02853	ypp:YPDSF_3474
ko:K05790	ypp:YPDSF_3483
ko:K02851	ypp:YPDSF_3484
ko:K07269	ypp:YPDSF_3582
ko:K09456	ypp:YPDSF_3592
ko:K07480	ypp:YPDSF_3635
ko:K03184	ypp:YPDSF_2631
ko:K03924	ypp:YPDSF_3900
ko:K07560	ypp:YPDSF_3876
ko:K01652	ypp:YPDSF_3513
ko:K00867	ypp:YPDSF_3379
ko:K02388	ypp:YPDSF_1324
ko:K02387	ypp:YPDSF_1325
ko:K07258	ypp:YPDSF_2652
ko:K00244	ypp:YPDSF_3614
ko:K07259	ypp:YPDSF_3555
ko:K04069	ypp:YPDSF_2314
ko:K02386	ypp:YPDSF_1326
ko:K02399	ypp:YPDSF_1328
ko:K03516	ypp:YPDSF_1332
ko:K03414	ypp:YPDSF_1767
ko:K03408	ypp:YPDSF_1780
ko:K02557	ypp:YPDSF_1782
ko:K02556	ypp:YPDSF_1783
ko:K07507	ypp:YPDSF_1787
ko:K02769	ypp:YPDSF_2397
ko:K02770	ypp:YPDSF_2397
ko:K02356	ypp:YPDSF_2412
ko:K08351	ypp:YPDSF_1711
ko:K02345	ypp:YPDSF_1341
ko:K06153	ypp:YPDSF_0433
ko:K06221	ypp:YPDSF_0460
ko:K00027	ypp:YPDSF_1463
ko:K01448	ypp:YPDSF_1689
ko:K10545	ypp:YPDSF_3778
ko:K10555	ypp:YPDSF_3222
ko:K10540	ypp:YPDSF_1470
ko:K10541	ypp:YPDSF_1468
ko:K10542	ypp:YPDSF_1469
ko:K10543	ypp:YPDSF_3779
ko:K10556	ypp:YPDSF_3220
ko:K10557	ypp:YPDSF_3221
ko:K10558	ypp:YPDSF_3219
ko:K10539	ypp:YPDSF_0878
ko:K02572	ypp:YPDSF_2145
ko:K03113	ypp:YPDSF_0906
ko:K01599	ypp:YPDSF_3732
ko:K00788	ypp:YPDSF_3737
ko:K01745	ypp:YPDSF_3759
ko:K01712	ypp:YPDSF_3760
ko:K01805	ypp:YPDSF_3780
ko:K00297	ypp:YPDSF_3790
ko:K01803	ypp:YPDSF_3818
ko:K00850	ypp:YPDSF_3826
ko:K00640	ypp:YPDSF_3836
ko:K00057	ypp:YPDSF_3837
ko:K00639	ypp:YPDSF_3846
ko:K02952	ypp:YPDSF_0153
ko:K02948	ypp:YPDSF_0154
ko:K02986	ypp:YPDSF_0155
ko:K02879	ypp:YPDSF_0157
ko:K00556	ypp:YPDSF_3868
ko:K01915	ypp:YPDSF_3880
ko:K01914	ypp:YPDSF_3902
ko:K03733	ypp:YPDSF_3460
ko:K01520	ypp:YPDSF_3858
ko:K00762	ypp:YPDSF_3860
ko:K01945	ypp:YPDSF_3727
ko:K00989	ypp:YPDSF_3861
ko:K00942	ypp:YPDSF_3865
ko:K10441	ypp:YPDSF_0556
ko:K10441	ypp:YPDSF_3328
ko:K02876	ypp:YPDSF_0151
ko:K03076	ypp:YPDSF_0152
ko:K05982	ypp:YPDSF_3731
ko:K03274	ypp:YPDSF_3847
ko:K03273	ypp:YPDSF_1637
ko:K03781	ypp:YPDSF_2486
ko:K10763	ypp:YPDSF_2175
ko:K10108	ypp:YPDSF_0186
ko:K10109	ypp:YPDSF_0185
ko:K10110	ypp:YPDSF_0184
ko:K02058	ypp:YPDSF_2403
ko:K02056	ypp:YPDSF_2402
ko:K02057	ypp:YPDSF_2401
ko:K02518	ypp:YPDSF_2325
ko:K06204	ypp:YPDSF_2959
ko:K02072	ypp:YPDSF_2377
ko:K10536	ypp:YPDSF_0576
ko:K03074	ypp:YPDSF_2823
ko:K07390	ypp:YPDSF_0763
ko:K04758	ypp:YPDSF_0060
ko:K03583	ypp:YPDSF_1697
ko:K03582	ypp:YPDSF_1695
ko:K01881	ypp:YPDSF_1643
ko:K06158	ypp:YPDSF_0114
ko:K03814	ypp:YPDSF_0345
ko:K03974	ypp:YPDSF_0790
ko:K16301	ypp:YPDSF_1269
ko:K01649	ypp:YPDSF_3106
ko:K03973	ypp:YPDSF_0793
ko:K02314	ypp:YPDSF_3652
ko:K06941	ypp:YPDSF_2227
ko:K05589	ypp:YPDSF_2998
ko:K02864	ypp:YPDSF_3747
ko:K02863	ypp:YPDSF_3748
ko:K03316	ypp:YPDSF_0237
ko:K04485	ypp:YPDSF_3191
ko:K04761	ypp:YPDSF_3527
ko:K02990	ypp:YPDSF_3587
ko:K02963	ypp:YPDSF_3586
ko:K05874	ypp:YPDSF_1772
ko:K02622	ypp:YPDSF_0450
ko:K03688	ypp:YPDSF_3396
ko:K03977	ypp:YPDSF_2220
ko:K03089	ypp:YPDSF_3428
ko:K06193	ypp:YPDSF_2030
ko:K03070	ypp:YPDSF_3078
ko:K03784	ypp:YPDSF_3194
ko:K06916	ypp:YPDSF_0333
ko:K02834	ypp:YPDSF_3544
ko:K02519	ypp:YPDSF_3545
ko:K02600	ypp:YPDSF_3546
ko:K00350	ypp:YPDSF_2863
ko:K00351	ypp:YPDSF_2862
ko:K07091	ypp:YPDSF_3250
ko:K00322	ypp:YPDSF_3526
ko:K03667	ypp:YPDSF_3801
ko:K01419	ypp:YPDSF_3800
ko:K02470	ypp:YPDSF_0004
ko:K03664	ypp:YPDSF_2596
ko:K06207	ypp:YPDSF_3879
ko:K03179	ypp:YPDSF_3660
ko:K03169	ypp:YPDSF_0969
ko:K02946	ypp:YPDSF_0132
ko:K02888	ypp:YPDSF_3561
ko:K03624	ypp:YPDSF_3554
ko:K03701	ypp:YPDSF_3648
ko:K03723	ypp:YPDSF_1824
ko:K01126	ypp:YPDSF_3444
ko:K00060	ypp:YPDSF_3845
ko:K00991	ypp:YPDSF_2999
ko:K01955	ypp:YPDSF_3151
ko:K02601	ypp:YPDSF_3750
ko:K03722	ypp:YPDSF_2487
ko:K00525	ypp:YPDSF_2479
ko:K00799	ypp:YPDSF_0779
ko:K04088	ypp:YPDSF_3599
ko:K02358	ypp:YPDSF_3752
ko:K02071	ypp:YPDSF_1638
ko:K08591	ypp:YPDSF_0431
ko:K04087	ypp:YPDSF_3598
ko:K02841	ypp:YPDSF_3849
ko:K09979	ypp:YPDSF_3277
ko:K01673	ypp:YPDSF_2948
ko:K02472	ypp:YPDSF_3481
ko:K01956	ypp:YPDSF_3152
ko:K00957	ypp:YPDSF_2994
ko:K03546	ypp:YPDSF_2840
ko:K03569	ypp:YPDSF_0272
ko:K15770	ypp:YPDSF_0656
ko:K08296	ypp:YPDSF_2012
ko:K10805	ypp:YPDSF_2776
ko:K02078	ypp:YPDSF_1847
ko:K07461	ypp:YPDSF_3285
ko:K02405	ypp:YPDSF_1283
ko:K01897	ypp:YPDSF_3104
ko:K06206	ypp:YPDSF_2960
ko:K00525	ypp:YPDSF_1623
ko:K19092	ypp:YPDSF_4012
ko:K03835	ypp:YPDSF_2411
ko:K03312	ypp:YPDSF_3870
ko:K08305	ypp:YPDSF_2065
ko:K02549	ypp:YPDSF_1934
ko:K04754	ypp:YPDSF_2017
ko:K06076	ypp:YPDSF_2016
ko:K10806	ypp:YPDSF_0939
ko:K00648	ypp:YPDSF_1850
ko:K02401	ypp:YPDSF_1334
ko:K03413	ypp:YPDSF_1768
ko:K02238	ypp:YPDSF_2301
ko:K02302	ypp:YPDSF_2993
ko:K11209	ypp:YPDSF_0246
ko:K00526	ypp:YPDSF_1624
ko:K02400	ypp:YPDSF_1333
ko:K03808	ypp:YPDSF_1746
ko:K01821	ypp:YPDSF_3355
ko:K01007	ypp:YPDSF_0740
ko:K00790	ypp:YPDSF_0328
ko:K06968	ypp:YPDSF_1682
ko:K10680	ypp:YPDSF_0767
ko:K07639	ypp:YPDSF_0835
ko:K03923	ypp:YPDSF_0452
ko:K02037	ypp:YPDSF_3919
ko:K06192	ypp:YPDSF_2274
ko:K01641	ypp:YPDSF_1517
ko:K09811	ypp:YPDSF_3429
ko:K07788	ypp:YPDSF_2198
ko:K07711	ypp:YPDSF_2260
ko:K08219	ypp:YPDSF_2315
ko:K09824	ypp:YPDSF_2334
ko:K07459	ypp:YPDSF_2335
ko:K07085	ypp:YPDSF_2370
ko:K02013	ypp:YPDSF_2384
ko:K07014	ypp:YPDSF_2434
ko:K07676	ypp:YPDSF_2473
ko:K05776	ypp:YPDSF_2555
ko:K06147	ypp:YPDSF_2666
ko:K03338	ypp:YPDSF_2669
ko:K07724	ypp:YPDSF_2681
ko:K02040	ypp:YPDSF_2836
ko:K00847	ypp:YPDSF_2841
ko:K06445	ypp:YPDSF_2872
ko:K00839	ypp:YPDSF_2889
ko:K02028	ypp:YPDSF_2890
ko:K02030	ypp:YPDSF_2893
ko:K09181	ypp:YPDSF_2908
ko:K02038	ypp:YPDSF_3920
ko:K06073	ypp:YPDSF_0725
ko:K06074	ypp:YPDSF_0727
ko:K03610	ypp:YPDSF_1043
ko:K03695	ypp:YPDSF_2911
ko:K03579	ypp:YPDSF_2962
ko:K09823	ypp:YPDSF_3656
ko:K00974	ypp:YPDSF_0434
ko:K10748	ypp:YPDSF_0868
ko:K01869	ypp:YPDSF_2643
ko:K07447	ypp:YPDSF_0578
ko:K03106	ypp:YPDSF_3064
ko:K00383	ypp:YPDSF_3342
ko:K10111	ypp:YPDSF_0188
ko:K09889	ypp:YPDSF_0298
ko:K08234	ypp:YPDSF_1651
ko:K02335	ypp:YPDSF_3886
ko:K01873	ypp:YPDSF_3253
ko:K00101	ypp:YPDSF_1407
ko:K01885	ypp:YPDSF_2092
ko:K02967	ypp:YPDSF_1669
ko:K02357	ypp:YPDSF_1668
ko:K02838	ypp:YPDSF_1665
ko:K08302	ypp:YPDSF_0670
ko:K09981	ypp:YPDSF_0943
ko:K06173	ypp:YPDSF_1995
ko:K00239	ypp:YPDSF_2586
ko:K02970	ypp:YPDSF_0429
ko:K01633	ypp:YPDSF_0432
ko:K09768	ypp:YPDSF_2138
ko:K02316	ypp:YPDSF_0428
ko:K03703	ypp:YPDSF_1260
ko:K03684	ypp:YPDSF_1046
ko:K02899	ypp:YPDSF_3560
ko:K06189	ypp:YPDSF_2636
ko:K02337	ypp:YPDSF_4091
ko:K05799	ypp:YPDSF_2934
ko:K03896	ypp:YPDSF_0527
ko:K03572	ypp:YPDSF_3603
ko:K03573	ypp:YPDSF_1706
ko:K00954	ypp:YPDSF_3852
ko:K07497	ypp:YPDSF_4015
ko:K06889	ypp:YPDSF_3588
ko:K05792	ypp:YPDSF_3674
ko:K00759	ypp:YPDSF_3762
ko:K02016	ypp:YPDSF_3765
ko:K02020	ypp:YPDSF_3824
ko:K02029	ypp:YPDSF_3926
ko:K03470	ypp:YPDSF_1654
ko:K01889	ypp:YPDSF_0721
ko:K02420	ypp:YPDSF_1305
ko:K01972	ypp:YPDSF_3864
ko:K00241	ypp:YPDSF_2588
ko:K01704	ypp:YPDSF_3109
ko:K00575	ypp:YPDSF_1770
ko:K04564	ypp:YPDSF_0761
ko:K02112	ypp:YPDSF_3914
ko:K03571	ypp:YPDSF_0274
ko:K02510	ypp:YPDSF_1356
ko:K02003	ypp:YPDSF_1176
ko:K07040	ypp:YPDSF_1853
ko:K00615	ypp:YPDSF_0589
ko:K00525	ypp:YPDSF_4071
ko:K00526	ypp:YPDSF_4070
ko:K00526	ypp:YPDSF_2480
ko:K07230	ypp:YPDSF_1180
ko:K02004	ypp:YPDSF_1178
ko:K02004	ypp:YPDSF_1177
ko:K03760	ypp:YPDSF_0769
ko:K00901	ypp:YPDSF_3658
ko:K01893	ypp:YPDSF_2283
ko:K02313	ypp:YPDSF_0001
ko:K05834	ypp:YPDSF_3448
ko:K03566	ypp:YPDSF_1684
ko:K06202	ypp:YPDSF_3464
ko:K00112	ypp:YPDSF_3442
ko:K00113	ypp:YPDSF_3441
ko:K06155	ypp:YPDSF_3319
ko:K03271	ypp:YPDSF_2871
ko:K04044	ypp:YPDSF_2237
ko:K03224	ypp:YPDSF_3977
ko:K03560	ypp:YPDSF_2574
ko:K02019	ypp:YPDSF_2554
ko:K02169	ypp:YPDSF_2544
ko:K03639	ypp:YPDSF_2538
ko:K03637	ypp:YPDSF_2537
ko:K02939	ypp:YPDSF_3585
ko:K03547	ypp:YPDSF_2839
ko:K03717	ypp:YPDSF_3160
ko:K06195	ypp:YPDSF_3143
ko:K06075	ypp:YPDSF_0772
ko:K00344	ypp:YPDSF_3653
ko:K03981	ypp:YPDSF_0625
ko:K05596	ypp:YPDSF_0597
ko:K03803	ypp:YPDSF_1557
ko:K03598	ypp:YPDSF_1558
ko:K03647	ypp:YPDSF_1622
ko:K03543	ypp:YPDSF_2903
ko:K02111	ypp:YPDSF_3912
ko:K02110	ypp:YPDSF_3909
ko:K08368	ypp:YPDSF_1874
ko:K03117	ypp:YPDSF_3394
ko:K03775	ypp:YPDSF_0118
ko:K03640	ypp:YPDSF_2571
ko:K03614	ypp:YPDSF_0893
ko:K03969	ypp:YPDSF_0791
ko:K03311	ypp:YPDSF_2835
ko:K02656	ypp:YPDSF_2226
ko:K04082	ypp:YPDSF_2238
ko:K02358	ypp:YPDSF_0128
ko:K03154	ypp:YPDSF_3739
ko:K03148	ypp:YPDSF_3738
ko:K03147	ypp:YPDSF_3736
ko:K07740	ypp:YPDSF_3735
ko:K03926	ypp:YPDSF_3627
ko:K00247	ypp:YPDSF_3617
ko:K00246	ypp:YPDSF_3616
ko:K03402	ypp:YPDSF_3566
ko:K03672	ypp:YPDSF_2906
ko:K03617	ypp:YPDSF_0889
ko:K03613	ypp:YPDSF_0895
ko:K02822	ypp:YPDSF_1977
ko:K02569	ypp:YPDSF_2141
ko:K02568	ypp:YPDSF_2142
ko:K02567	ypp:YPDSF_2143
ko:K07287	ypp:YPDSF_2166
ko:K03567	ypp:YPDSF_2168
ko:K02380	ypp:YPDSF_0038
ko:K02956	ypp:YPDSF_3542
ko:K05803	ypp:YPDSF_3298
ko:K07308	ypp:YPDSF_3037
ko:K03734	ypp:YPDSF_2861
ko:K03563	ypp:YPDSF_3057
ko:K03632	ypp:YPDSF_2290
ko:K02778	ypp:YPDSF_1839
ko:K02779	ypp:YPDSF_1839
ko:K03607	ypp:YPDSF_1744
ko:K03799	ypp:YPDSF_1742
ko:K02520	ypp:YPDSF_0718
ko:K02426	ypp:YPDSF_0749
ko:K03612	ypp:YPDSF_0894
ko:K01997	ypp:YPDSF_3424
ko:K06223	ypp:YPDSF_0081
ko:K03645	ypp:YPDSF_1590
ko:K03683	ypp:YPDSF_0764
ko:K06911	ypp:YPDSF_3321
ko:K02116	ypp:YPDSF_3907
ko:K03650	ypp:YPDSF_3931
ko:K04080	ypp:YPDSF_0012
ko:K04081	ypp:YPDSF_0013
ko:K00835	ypp:YPDSF_0015
ko:K01878	ypp:YPDSF_0022
ko:K02798	ypp:YPDSF_0025
ko:K02799	ypp:YPDSF_0025
ko:K02800	ypp:YPDSF_0025
ko:K02496	ypp:YPDSF_3469
ko:K03536	ypp:YPDSF_3934
ko:K01879	ypp:YPDSF_0023
ko:K00973	ypp:YPDSF_3479
ko:K03686	ypp:YPDSF_3162
ko:K03118	ypp:YPDSF_3393
ko:K00537	ypp:YPDSF_2174
ko:K03642	ypp:YPDSF_2651
ko:K03643	ypp:YPDSF_2644
ko:K02221	ypp:YPDSF_0572
ko:K03086	ypp:YPDSF_0427
ko:K01096	ypp:YPDSF_0911
ko:K04774	ypp:YPDSF_0919
ko:K03599	ypp:YPDSF_0336
ko:K03588	ypp:YPDSF_3088
ko:K02945	ypp:YPDSF_2303
ko:K00864	ypp:YPDSF_3813
ko:K03657	ypp:YPDSF_3458
ko:K03110	ypp:YPDSF_3431
ko:K02837	ypp:YPDSF_3203
ko:K04066	ypp:YPDSF_3797
ko:K01256	ypp:YPDSF_2281
ko:K03720	ypp:YPDSF_3181
ko:K08301	ypp:YPDSF_0276
ko:K03554	ypp:YPDSF_2842
ko:K01092	ypp:YPDSF_2244
ko:K06949	ypp:YPDSF_3609
ko:K03498	ypp:YPDSF_3383
ko:K04077	ypp:YPDSF_3622
ko:K09861	ypp:YPDSF_3171
ko:K00783	ypp:YPDSF_2648
ko:K02493	ypp:YPDSF_1100
ko:K02160	ypp:YPDSF_0266
ko:K02528	ypp:YPDSF_3142
ko:K03771	ypp:YPDSF_3140
ko:K04744	ypp:YPDSF_3139
ko:K04568	ypp:YPDSF_3613
ko:K04763	ypp:YPDSF_0624
ko:K02884	ypp:YPDSF_3069
ko:K02860	ypp:YPDSF_3067
ko:K02959	ypp:YPDSF_3066
ko:K02935	ypp:YPDSF_3746
ko:K06041	ypp:YPDSF_0320
ko:K06077	ypp:YPDSF_0773
ko:K03600	ypp:YPDSF_0337
ko:K02871	ypp:YPDSF_0334
ko:K02054	ypp:YPDSF_1092
ko:K03466	ypp:YPDSF_2319
ko:K03634	ypp:YPDSF_2318
ko:K03517	ypp:YPDSF_2569
ko:K00793	ypp:YPDSF_0756
ko:K02835	ypp:YPDSF_1101
ko:K09158	ypp:YPDSF_2653
ko:K01902	ypp:YPDSF_2581
ko:K06201	ypp:YPDSF_1074
ko:K03687	ypp:YPDSF_2590
ko:K04043	ypp:YPDSF_3163
ko:K03270	ypp:YPDSF_0319
ko:K06861	ypp:YPDSF_0316
ko:K01662	ypp:YPDSF_2812
ko:K03551	ypp:YPDSF_1064
ko:K03980	ypp:YPDSF_1080
ko:K01091	ypp:YPDSF_0083
ko:K00384	ypp:YPDSF_2321
ko:K02056	ypp:YPDSF_1423
ko:K01695	ypp:YPDSF_0930
ko:K01696	ypp:YPDSF_0929
ko:K01223	ypp:YPDSF_2439
ko:K02108	ypp:YPDSF_3908
ko:K01247	ypp:YPDSF_1290
ko:K07637	ypp:YPDSF_1815
ko:K01963	ypp:YPDSF_1993
ko:K01845	ypp:YPDSF_2968
ko:K00604	ypp:YPDSF_0163
ko:K07566	ypp:YPDSF_0168
ko:K02909	ypp:YPDSF_3796
ko:K05592	ypp:YPDSF_3297
ko:K03060	ypp:YPDSF_3866
ko:K00876	ypp:YPDSF_1452
ko:K07507	ypp:YPDSF_0814
ko:K06141	ypp:YPDSF_0090
ko:K03656	ypp:YPDSF_3489
ko:K03769	ypp:YPDSF_3490
ko:K00849	ypp:YPDSF_2560
ko:K09791	ypp:YPDSF_2296
ko:K02887	ypp:YPDSF_0720
ko:K02916	ypp:YPDSF_0719
ko:K07320	ypp:YPDSF_2010
ko:K06866	ypp:YPDSF_1566
ko:K10026	ypp:YPDSF_2985
ko:K06194	ypp:YPDSF_3004
ko:K01808	ypp:YPDSF_3008
ko:K00615	ypp:YPDSF_3046
ko:K02062	ypp:YPDSF_3114
ko:K05801	ypp:YPDSF_3138
ko:K07773	ypp:YPDSF_3176
ko:K03317	ypp:YPDSF_3198
ko:K09978	ypp:YPDSF_0820
ko:K03425	ypp:YPDSF_2656
