ko:K08744	mtn:ERDMAN_2012
ko:K01142	mtn:ERDMAN_0470
ko:K01462	mtn:ERDMAN_0472
ko:K06048	mtn:ERDMAN_0476
ko:K07157	mtn:ERDMAN_0477
ko:K13525	mtn:ERDMAN_0478
ko:K01613	mtn:ERDMAN_0480
ko:K03750	mtn:ERDMAN_0481
ko:K04077	mtn:ERDMAN_0483
ko:K03088	mtn:ERDMAN_0488
ko:K00574	mtn:ERDMAN_0490
ko:K09701	mtn:ERDMAN_0491
ko:K12410	mtn:ERDMAN_1291
ko:K00370	mtn:ERDMAN_1304
ko:K00371	mtn:ERDMAN_1305
ko:K00373	mtn:ERDMAN_1306
ko:K06207	mtn:ERDMAN_1308
ko:K00318	mtn:ERDMAN_1330
ko:K03088	mtn:ERDMAN_1331
ko:K09166	mtn:ERDMAN_2122
ko:K11065	mtn:ERDMAN_2129
ko:K14652	mtn:ERDMAN_2137
ko:K02066	mtn:ERDMAN_2163
ko:K02066	mtn:ERDMAN_2164
ko:K01599	mtn:ERDMAN_2940
ko:K03684	mtn:ERDMAN_2943
ko:K01662	mtn:ERDMAN_2944
ko:K00886	mtn:ERDMAN_2965
ko:K03086	mtn:ERDMAN_2966
ko:K07058	mtn:ERDMAN_2969
ko:K00322	mtn:ERDMAN_2975
ko:K07738	mtn:ERDMAN_2980
ko:K01356	mtn:ERDMAN_2982
ko:K03665	mtn:ERDMAN_2986
ko:K01778	mtn:ERDMAN_2987
ko:K00791	mtn:ERDMAN_2988
ko:K00820	mtn:ERDMAN_3764
ko:K03431	mtn:ERDMAN_3769
ko:K02996	mtn:ERDMAN_3770
ko:K02871	mtn:ERDMAN_3771
ko:K03466	mtn:ERDMAN_3775
ko:K06173	mtn:ERDMAN_3783
ko:K02879	mtn:ERDMAN_3784
ko:K03040	mtn:ERDMAN_3785
ko:K02986	mtn:ERDMAN_3786
ko:K02948	mtn:ERDMAN_3787
ko:K02952	mtn:ERDMAN_3788
ko:K02518	mtn:ERDMAN_3789
ko:K01790	mtn:ERDMAN_3792
ko:K09959	mtn:ERDMAN_0504
ko:K00382	mtn:ERDMAN_0507
ko:K07110	mtn:ERDMAN_0510
ko:K01637	mtn:ERDMAN_0512
ko:K00074	mtn:ERDMAN_0513
ko:K00574	mtn:ERDMAN_0514
ko:K00574	mtn:ERDMAN_0515
ko:K00075	mtn:ERDMAN_0528
ko:K06895	mtn:ERDMAN_0534
ko:K01524	mtn:ERDMAN_0543
ko:K00286	mtn:ERDMAN_0547
ko:K06966	mtn:ERDMAN_1349
ko:K00796	mtn:ERDMAN_1352
ko:K01246	mtn:ERDMAN_1355
ko:K00975	mtn:ERDMAN_1358
ko:K06978	mtn:ERDMAN_1360
ko:K03088	mtn:ERDMAN_1366
ko:K03117	mtn:ERDMAN_1369
ko:K03284	mtn:ERDMAN_1385
ko:K00024	mtn:ERDMAN_1386
ko:K09131	mtn:ERDMAN_2185
ko:K05596	mtn:ERDMAN_2186
ko:K06895	mtn:ERDMAN_2187
ko:K01194	mtn:ERDMAN_2210
ko:K07133	mtn:ERDMAN_2212
ko:K06168	mtn:ERDMAN_2994
ko:K03565	mtn:ERDMAN_2997
ko:K00995	mtn:ERDMAN_3011
ko:K03466	mtn:ERDMAN_3013
ko:K01714	mtn:ERDMAN_3018
ko:K03427	mtn:ERDMAN_3021
ko:K09927	mtn:ERDMAN_3027
ko:K01061	mtn:ERDMAN_3030
ko:K00215	mtn:ERDMAN_3039
ko:K07044	mtn:ERDMAN_3043
ko:K00259	mtn:ERDMAN_3046
ko:K00459	mtn:ERDMAN_3047
ko:K01666	mtn:ERDMAN_3810
ko:K01652	mtn:ERDMAN_3811
ko:K00697	mtn:ERDMAN_3831
ko:K02066	mtn:ERDMAN_3841
ko:K02066	mtn:ERDMAN_3842
ko:K01652	mtn:ERDMAN_3851
ko:K00574	mtn:ERDMAN_0552
ko:K02492	mtn:ERDMAN_0559
ko:K01749	mtn:ERDMAN_0560
ko:K13542	mtn:ERDMAN_0561
ko:K01698	mtn:ERDMAN_0562
ko:K11735	mtn:ERDMAN_0573
ko:K01845	mtn:ERDMAN_0575
ko:K07399	mtn:ERDMAN_0579
ko:K02548	mtn:ERDMAN_0586
ko:K01911	mtn:ERDMAN_0594
ko:K03306	mtn:ERDMAN_0597
ko:K01661	mtn:ERDMAN_0600
ko:K05592	mtn:ERDMAN_1400
ko:K08296	mtn:ERDMAN_1425
ko:K02034	mtn:ERDMAN_1431
ko:K01673	mtn:ERDMAN_1434
ko:K00957	mtn:ERDMAN_1435
ko:K00955	mtn:ERDMAN_1436
ko:K01887	mtn:ERDMAN_1444
ko:K07001	mtn:ERDMAN_2250
ko:K08281	mtn:ERDMAN_2256
ko:K03820	mtn:ERDMAN_2264
ko:K07113	mtn:ERDMAN_2266
ko:K01061	mtn:ERDMAN_2267
ko:K02963	mtn:ERDMAN_2269
ko:K02954	mtn:ERDMAN_2270
ko:K02913	mtn:ERDMAN_2271
ko:K02902	mtn:ERDMAN_2272
ko:K07006	mtn:ERDMAN_2275
ko:K02230	mtn:ERDMAN_2276
ko:K02229	mtn:ERDMAN_2279
ko:K06042	mtn:ERDMAN_2280
ko:K00962	mtn:ERDMAN_3049
ko:K02956	mtn:ERDMAN_3051
ko:K11753	mtn:ERDMAN_3052
ko:K06978	mtn:ERDMAN_3066
ko:K15342	mtn:ERDMAN_3085
ko:K01666	mtn:ERDMAN_3878
ko:K02551	mtn:ERDMAN_0608
ko:K03183	mtn:ERDMAN_0611
ko:K03799	mtn:ERDMAN_0616
ko:K00057	mtn:ERDMAN_0617
ko:K09767	mtn:ERDMAN_0619
ko:K00763	mtn:ERDMAN_0629
ko:K07282	mtn:ERDMAN_0630
ko:K06996	mtn:ERDMAN_0633
ko:K09122	mtn:ERDMAN_0636
ko:K02066	mtn:ERDMAN_0645
ko:K02066	mtn:ERDMAN_0646
ko:K07133	mtn:ERDMAN_0656
ko:K01586	mtn:ERDMAN_1445
ko:K00003	mtn:ERDMAN_1446
ko:K01733	mtn:ERDMAN_1447
ko:K00872	mtn:ERDMAN_1449
ko:K03628	mtn:ERDMAN_1450
ko:K02909	mtn:ERDMAN_1451
ko:K02835	mtn:ERDMAN_1452
ko:K02493	mtn:ERDMAN_1453
ko:K02108	mtn:ERDMAN_1457
ko:K02110	mtn:ERDMAN_1458
ko:K02109	mtn:ERDMAN_1459
ko:K02111	mtn:ERDMAN_1461
ko:K02115	mtn:ERDMAN_1462
ko:K02112	mtn:ERDMAN_1463
ko:K02114	mtn:ERDMAN_1464
ko:K00790	mtn:ERDMAN_1468
ko:K13529	mtn:ERDMAN_1474
ko:K05838	mtn:ERDMAN_1484
ko:K16147	mtn:ERDMAN_1487
ko:K00688	mtn:ERDMAN_1488
ko:K00763	mtn:ERDMAN_1490
ko:K06891	mtn:ERDMAN_1491
ko:K03088	mtn:ERDMAN_2284
ko:K05895	mtn:ERDMAN_2285
ko:K05936	mtn:ERDMAN_2286
ko:K03118	mtn:ERDMAN_2311
ko:K03116	mtn:ERDMAN_2312
ko:K03432	mtn:ERDMAN_2325
ko:K03433	mtn:ERDMAN_2326
ko:K05813	mtn:ERDMAN_3106
ko:K02834	mtn:ERDMAN_3112
ko:K02519	mtn:ERDMAN_3113
ko:K07742	mtn:ERDMAN_3115
ko:K02600	mtn:ERDMAN_3116
ko:K09748	mtn:ERDMAN_3117
ko:K01881	mtn:ERDMAN_3120
ko:K02302	mtn:ERDMAN_3122
ko:K02224	mtn:ERDMAN_3123
ko:K00116	mtn:ERDMAN_3127
ko:K07241	mtn:ERDMAN_3131
ko:K07010	mtn:ERDMAN_3136
ko:K01915	mtn:ERDMAN_3137
ko:K01265	mtn:ERDMAN_3138
ko:K00099	mtn:ERDMAN_3147
ko:K03893	mtn:ERDMAN_3926
ko:K03218	mtn:ERDMAN_3927
ko:K01883	mtn:ERDMAN_3928
ko:K01770	mtn:ERDMAN_3929
ko:K00991	mtn:ERDMAN_3930
ko:K07736	mtn:ERDMAN_3931
ko:K04485	mtn:ERDMAN_3933
ko:K01673	mtn:ERDMAN_3936
ko:K03575	mtn:ERDMAN_3937
ko:K03696	mtn:ERDMAN_3944
ko:K04567	mtn:ERDMAN_3946
ko:K03525	mtn:ERDMAN_3947
ko:K01579	mtn:ERDMAN_3948
ko:K01918	mtn:ERDMAN_3949
ko:K00950	mtn:ERDMAN_3953
ko:K01633	mtn:ERDMAN_3954
ko:K00796	mtn:ERDMAN_3955
ko:K01495	mtn:ERDMAN_3956
ko:K03798	mtn:ERDMAN_3957
ko:K09807	mtn:ERDMAN_3967
ko:K00760	mtn:ERDMAN_3968
ko:K04075	mtn:ERDMAN_3969
ko:K00965	mtn:ERDMAN_0681
ko:K00965	mtn:ERDMAN_0682
ko:K00849	mtn:ERDMAN_0683
ko:K03581	mtn:ERDMAN_0693
ko:K03582	mtn:ERDMAN_0694
ko:K03583	mtn:ERDMAN_0695
ko:K02913	mtn:ERDMAN_0702
ko:K03073	mtn:ERDMAN_0707
ko:K02601	mtn:ERDMAN_0708
ko:K02867	mtn:ERDMAN_0709
ko:K02863	mtn:ERDMAN_0710
ko:K00574	mtn:ERDMAN_0711
ko:K00574	mtn:ERDMAN_0712
ko:K00574	mtn:ERDMAN_0713
ko:K00574	mtn:ERDMAN_0714
ko:K00645	mtn:ERDMAN_0718
ko:K02864	mtn:ERDMAN_0721
ko:K01776	mtn:ERDMAN_1498
ko:K00989	mtn:ERDMAN_1500
ko:K02078	mtn:ERDMAN_1504
ko:K09136	mtn:ERDMAN_1534
ko:K02825	mtn:ERDMAN_1537
ko:K00609	mtn:ERDMAN_1538
ko:K01465	mtn:ERDMAN_1539
ko:K01956	mtn:ERDMAN_1541
ko:K01955	mtn:ERDMAN_1542
ko:K01591	mtn:ERDMAN_1543
ko:K00942	mtn:ERDMAN_1547
ko:K03060	mtn:ERDMAN_1548
ko:K13038	mtn:ERDMAN_1549
ko:K00789	mtn:ERDMAN_1550
ko:K00765	mtn:ERDMAN_2337
ko:K11738	mtn:ERDMAN_2344
ko:K06153	mtn:ERDMAN_2353
ko:K02221	mtn:ERDMAN_2365
ko:K09772	mtn:ERDMAN_2366
ko:K06997	mtn:ERDMAN_2367
ko:K05810	mtn:ERDMAN_2368
ko:K03531	mtn:ERDMAN_2369
ko:K03589	mtn:ERDMAN_2370
ko:K01924	mtn:ERDMAN_2371
ko:K02563	mtn:ERDMAN_2372
ko:K03588	mtn:ERDMAN_2373
ko:K01925	mtn:ERDMAN_2374
ko:K01000	mtn:ERDMAN_2375
ko:K01929	mtn:ERDMAN_2376
ko:K01928	mtn:ERDMAN_2377
ko:K03587	mtn:ERDMAN_2382
ko:K03438	mtn:ERDMAN_2384
ko:K03925	mtn:ERDMAN_2385
ko:K06941	mtn:ERDMAN_3157
ko:K00981	mtn:ERDMAN_3158
ko:K02838	mtn:ERDMAN_3159
ko:K09903	mtn:ERDMAN_3161
ko:K02357	mtn:ERDMAN_3168
ko:K02967	mtn:ERDMAN_3169
ko:K03733	mtn:ERDMAN_3175
ko:K04096	mtn:ERDMAN_3177
ko:K07391	mtn:ERDMAN_3178
ko:K07460	mtn:ERDMAN_3179
ko:K02379	mtn:ERDMAN_3180
ko:K03470	mtn:ERDMAN_3183
ko:K03100	mtn:ERDMAN_3184
ko:K02884	mtn:ERDMAN_3185
ko:K00554	mtn:ERDMAN_3187
ko:K02860	mtn:ERDMAN_3188
ko:K06960	mtn:ERDMAN_3189
ko:K02959	mtn:ERDMAN_3190
ko:K03106	mtn:ERDMAN_3197
ko:K00990	mtn:ERDMAN_3199
ko:K04751	mtn:ERDMAN_3200
ko:K03320	mtn:ERDMAN_3201
ko:K03110	mtn:ERDMAN_3202
ko:K03529	mtn:ERDMAN_3203
ko:K01512	mtn:ERDMAN_3204
ko:K03685	mtn:ERDMAN_3207
ko:K07040	mtn:ERDMAN_3208
ko:K07259	mtn:ERDMAN_3971
ko:K09799	mtn:ERDMAN_3973
ko:K04095	mtn:ERDMAN_3985
ko:K02341	mtn:ERDMAN_3990
ko:K03168	mtn:ERDMAN_3992
ko:K03704	mtn:ERDMAN_3994
ko:K12510	mtn:ERDMAN_4004
ko:K02283	mtn:ERDMAN_4005
ko:K01895	mtn:ERDMAN_4014
ko:K10773	mtn:ERDMAN_4022
ko:K02935	mtn:ERDMAN_0722
ko:K02065	mtn:ERDMAN_0725
ko:K03043	mtn:ERDMAN_0736
ko:K03046	mtn:ERDMAN_0737
ko:K01151	mtn:ERDMAN_0741
ko:K09456	mtn:ERDMAN_0743
ko:K02616	mtn:ERDMAN_0745
ko:K02950	mtn:ERDMAN_0753
ko:K02992	mtn:ERDMAN_0754
ko:K02355	mtn:ERDMAN_0755
ko:K02358	mtn:ERDMAN_0756
ko:K02946	mtn:ERDMAN_0772
ko:K02906	mtn:ERDMAN_0773
ko:K02926	mtn:ERDMAN_0774
ko:K02892	mtn:ERDMAN_0775
ko:K02886	mtn:ERDMAN_0776
ko:K02965	mtn:ERDMAN_0777
ko:K02890	mtn:ERDMAN_0778
ko:K02982	mtn:ERDMAN_0779
ko:K04066	mtn:ERDMAN_1560
ko:K00604	mtn:ERDMAN_1565
ko:K03500	mtn:ERDMAN_1566
ko:K01783	mtn:ERDMAN_1567
ko:K11752	mtn:ERDMAN_1568
ko:K00793	mtn:ERDMAN_1571
ko:K14652	mtn:ERDMAN_1574
ko:K00794	mtn:ERDMAN_1575
ko:K03703	mtn:ERDMAN_1579
ko:K06958	mtn:ERDMAN_1580
ko:K00134	mtn:ERDMAN_1594
ko:K00927	mtn:ERDMAN_1595
ko:K01803	mtn:ERDMAN_1596
ko:K03075	mtn:ERDMAN_1599
ko:K01057	mtn:ERDMAN_1607
ko:K01626	mtn:ERDMAN_2395
ko:K00655	mtn:ERDMAN_2399
ko:K02276	mtn:ERDMAN_2411
ko:K02275	mtn:ERDMAN_2418
ko:K01953	mtn:ERDMAN_2419
ko:K00865	mtn:ERDMAN_2423
ko:K00768	mtn:ERDMAN_2425
ko:K02233	mtn:ERDMAN_2426
ko:K00826	mtn:ERDMAN_2428
ko:K00605	mtn:ERDMAN_2429
ko:K01255	mtn:ERDMAN_2431
ko:K00658	mtn:ERDMAN_2433
ko:K07071	mtn:ERDMAN_2434
ko:K03801	mtn:ERDMAN_2435
ko:K03644	mtn:ERDMAN_2436
ko:K01915	mtn:ERDMAN_2439
ko:K00982	mtn:ERDMAN_2440
ko:K01915	mtn:ERDMAN_2441
ko:K07089	mtn:ERDMAN_3246
ko:K01433	mtn:ERDMAN_3247
ko:K00954	mtn:ERDMAN_3249
ko:K03655	mtn:ERDMAN_3258
ko:K02902	mtn:ERDMAN_3261
ko:K03648	mtn:ERDMAN_3262
ko:K01738	mtn:ERDMAN_4034
ko:K09117	mtn:ERDMAN_4039
ko:K03924	mtn:ERDMAN_4044
ko:K00864	mtn:ERDMAN_4048
ko:K07008	mtn:ERDMAN_4055
ko:K01919	mtn:ERDMAN_4057
ko:K00133	mtn:ERDMAN_4062
ko:K00928	mtn:ERDMAN_4063
ko:K01649	mtn:ERDMAN_4064
ko:K06187	mtn:ERDMAN_4069
ko:K09747	mtn:ERDMAN_4070
ko:K01448	mtn:ERDMAN_4071
ko:K00574	mtn:ERDMAN_4074
ko:K02343	mtn:ERDMAN_4075
ko:K02878	mtn:ERDMAN_0780
ko:K02904	mtn:ERDMAN_0781
ko:K02961	mtn:ERDMAN_0782
ko:K02874	mtn:ERDMAN_0787
ko:K02895	mtn:ERDMAN_0788
ko:K02931	mtn:ERDMAN_0789
ko:K02954	mtn:ERDMAN_0790
ko:K02994	mtn:ERDMAN_0791
ko:K02933	mtn:ERDMAN_0792
ko:K02881	mtn:ERDMAN_0793
ko:K02988	mtn:ERDMAN_0794
ko:K02907	mtn:ERDMAN_0795
ko:K02876	mtn:ERDMAN_0796
ko:K04773	mtn:ERDMAN_0797
ko:K01628	mtn:ERDMAN_0800
ko:K03076	mtn:ERDMAN_0805
ko:K01265	mtn:ERDMAN_0807
ko:K03088	mtn:ERDMAN_0808
ko:K00140	mtn:ERDMAN_0833
ko:K00036	mtn:ERDMAN_1609
ko:K00615	mtn:ERDMAN_1612
ko:K02259	mtn:ERDMAN_1622
ko:K09014	mtn:ERDMAN_1627
ko:K09015	mtn:ERDMAN_1628
ko:K09013	mtn:ERDMAN_1629
ko:K11717	mtn:ERDMAN_1630
ko:K01681	mtn:ERDMAN_1643
ko:K03924	mtn:ERDMAN_1647
ko:K01772	mtn:ERDMAN_1653
ko:K00606	mtn:ERDMAN_2445
ko:K09990	mtn:ERDMAN_2448
ko:K07164	mtn:ERDMAN_2450
ko:K00817	mtn:ERDMAN_2452
ko:K02227	mtn:ERDMAN_2459
ko:K00163	mtn:ERDMAN_2466
ko:K00645	mtn:ERDMAN_2468
ko:K02078	mtn:ERDMAN_2469
ko:K00111	mtn:ERDMAN_2474
ko:K03306	mtn:ERDMAN_2497
ko:K00946	mtn:ERDMAN_3263
ko:K01921	mtn:ERDMAN_3267
ko:K00057	mtn:ERDMAN_3268
ko:K00937	mtn:ERDMAN_3270
ko:K03530	mtn:ERDMAN_3272
ko:K01704	mtn:ERDMAN_3273
ko:K01703	mtn:ERDMAN_3274
ko:K00052	mtn:ERDMAN_3282
ko:K02069	mtn:ERDMAN_3289
ko:K00053	mtn:ERDMAN_3290
ko:K01653	mtn:ERDMAN_3291
ko:K01652	mtn:ERDMAN_3292
ko:K15977	mtn:ERDMAN_3294
ko:K02434	mtn:ERDMAN_3298
ko:K02435	mtn:ERDMAN_3301
ko:K01972	mtn:ERDMAN_3303
ko:K00566	mtn:ERDMAN_3310
ko:K04487	mtn:ERDMAN_3311
ko:K03522	mtn:ERDMAN_3314
