ko:K18925	bcef:BcrFT9_00768
ko:K01358	bcef:BcrFT9_00353
ko:K03315	bcef:BcrFT9_00374
ko:K14665	bcef:BcrFT9_00375
ko:K03387	bcef:BcrFT9_00376
ko:K03386	bcef:BcrFT9_00377
ko:K00899	bcef:BcrFT9_00378
ko:K08963	bcef:BcrFT9_00379
ko:K21113	bcef:BcrFT9_02073
ko:K02475	bcef:BcrFT9_00530
ko:K07149	bcef:BcrFT9_02516
ko:K07149	bcef:BcrFT9_04336
ko:K07149	bcef:BcrFT9_02884
ko:K03043	bcef:BcrFT9_00107
ko:K03046	bcef:BcrFT9_00108
ko:K02950	bcef:BcrFT9_00109
ko:K02992	bcef:BcrFT9_00110
ko:K02355	bcef:BcrFT9_00111
ko:K02358	bcef:BcrFT9_00112
ko:K02946	bcef:BcrFT9_00113
ko:K02906	bcef:BcrFT9_00114
ko:K02926	bcef:BcrFT9_00115
ko:K02892	bcef:BcrFT9_00116
ko:K02886	bcef:BcrFT9_00117
ko:K02965	bcef:BcrFT9_00118
ko:K02890	bcef:BcrFT9_00119
ko:K02982	bcef:BcrFT9_00120
ko:K02878	bcef:BcrFT9_00121
ko:K02904	bcef:BcrFT9_00122
ko:K02961	bcef:BcrFT9_00123
ko:K02874	bcef:BcrFT9_00124
ko:K02895	bcef:BcrFT9_00125
ko:K02931	bcef:BcrFT9_00126
ko:K02954	bcef:BcrFT9_00127
ko:K02994	bcef:BcrFT9_00128
ko:K02933	bcef:BcrFT9_00129
ko:K02881	bcef:BcrFT9_00130
ko:K02988	bcef:BcrFT9_00131
ko:K02907	bcef:BcrFT9_00132
ko:K02876	bcef:BcrFT9_00133
ko:K03076	bcef:BcrFT9_00134
ko:K00939	bcef:BcrFT9_00135
ko:K01265	bcef:BcrFT9_00136
ko:K02518	bcef:BcrFT9_00137
ko:K02919	bcef:BcrFT9_00138
ko:K02952	bcef:BcrFT9_00139
ko:K02948	bcef:BcrFT9_00140
ko:K03040	bcef:BcrFT9_00141
ko:K02879	bcef:BcrFT9_00142
ko:K16786	bcef:BcrFT9_00143
ko:K16787	bcef:BcrFT9_00144
ko:K16785	bcef:BcrFT9_00145
ko:K06173	bcef:BcrFT9_00146
ko:K02871	bcef:BcrFT9_00147
ko:K02996	bcef:BcrFT9_00148
ko:K01448	bcef:BcrFT9_00150
ko:K03593	bcef:BcrFT9_00151
ko:K06294	bcef:BcrFT9_00152
ko:K06349	bcef:BcrFT9_00153
ko:K01187	bcef:BcrFT9_00405
ko:K06896	bcef:BcrFT9_00407
ko:K01421	bcef:BcrFT9_00408
ko:K01421	bcef:BcrFT9_00409
ko:K00878	bcef:BcrFT9_00410
ko:K00788	bcef:BcrFT9_00411
ko:K07791	bcef:BcrFT9_00412
ko:K03406	bcef:BcrFT9_00413
ko:K02049	bcef:BcrFT9_00417
ko:K01183	bcef:BcrFT9_00419
ko:K07729	bcef:BcrFT9_00423
ko:K06902	bcef:BcrFT9_00425
ko:K01881	bcef:BcrFT9_00426
ko:K05795	bcef:BcrFT9_00428
ko:K05795	bcef:BcrFT9_00429
ko:K01104	bcef:BcrFT9_00433
ko:K07058	bcef:BcrFT9_00435
ko:K01534	bcef:BcrFT9_00436
ko:K03100	bcef:BcrFT9_00439
ko:K08978	bcef:BcrFT9_00443
ko:K07300	bcef:BcrFT9_00446
ko:K01676	bcef:BcrFT9_00449
ko:K01247	bcef:BcrFT9_00451
ko:K03784	bcef:BcrFT9_01242
ko:K14205	bcef:BcrFT9_01244
ko:K04564	bcef:BcrFT9_01247
ko:K06373	bcef:BcrFT9_01249
ko:K06374	bcef:BcrFT9_01250
ko:K06178	bcef:BcrFT9_01251
ko:K07399	bcef:BcrFT9_01253
ko:K07775	bcef:BcrFT9_01255
ko:K07651	bcef:BcrFT9_01256
ko:K05337	bcef:BcrFT9_01261
ko:K03654	bcef:BcrFT9_01263
ko:K07052	bcef:BcrFT9_01264
ko:K16511	bcef:BcrFT9_01269
ko:K00260	bcef:BcrFT9_01270
ko:K00384	bcef:BcrFT9_01273
ko:K01424	bcef:BcrFT9_01274
ko:K00945	bcef:BcrFT9_01276
ko:K01823	bcef:BcrFT9_01277
ko:K03977	bcef:BcrFT9_01280
ko:K00057	bcef:BcrFT9_01281
ko:K06398	bcef:BcrFT9_01284
ko:K03530	bcef:BcrFT9_01285
ko:K01495	bcef:BcrFT9_01286
ko:K00805	bcef:BcrFT9_01287
ko:K03183	bcef:BcrFT9_01288
ko:K00805	bcef:BcrFT9_01289
ko:K00940	bcef:BcrFT9_01290
ko:K01736	bcef:BcrFT9_01291
ko:K00951	bcef:BcrFT9_01947
ko:K02760	bcef:BcrFT9_01953
ko:K02761	bcef:BcrFT9_01954
ko:K01754	bcef:BcrFT9_01959
ko:K05592	bcef:BcrFT9_01965
ko:K02004	bcef:BcrFT9_01969
ko:K02003	bcef:BcrFT9_01970
ko:K02003	bcef:BcrFT9_02382
ko:K02004	bcef:BcrFT9_02383
ko:K02004	bcef:BcrFT9_02384
ko:K13652	bcef:BcrFT9_02385
ko:K03574	bcef:BcrFT9_02387
ko:K09768	bcef:BcrFT9_02390
ko:K00876	bcef:BcrFT9_02393
ko:K07090	bcef:BcrFT9_02397
ko:K11733	bcef:BcrFT9_02399
ko:K03100	bcef:BcrFT9_02406
ko:K06196	bcef:BcrFT9_02812
ko:K01992	bcef:BcrFT9_02814
ko:K01990	bcef:BcrFT9_02815
ko:K06518	bcef:BcrFT9_02818
ko:K07090	bcef:BcrFT9_02821
ko:K09976	bcef:BcrFT9_02828
ko:K00615	bcef:BcrFT9_02830
ko:K02042	bcef:BcrFT9_02831
ko:K02042	bcef:BcrFT9_02832
ko:K02041	bcef:BcrFT9_02833
ko:K02044	bcef:BcrFT9_02834
ko:K01119	bcef:BcrFT9_02835
ko:K00784	bcef:BcrFT9_03244
ko:K01531	bcef:BcrFT9_03246
ko:K07507	bcef:BcrFT9_03247
ko:K02346	bcef:BcrFT9_03248
ko:K03790	bcef:BcrFT9_03250
ko:K02028	bcef:BcrFT9_03253
ko:K02029	bcef:BcrFT9_03254
ko:K02030	bcef:BcrFT9_03255
ko:K09699	bcef:BcrFT9_03259
ko:K00167	bcef:BcrFT9_03261
ko:K00166	bcef:BcrFT9_03262
ko:K00382	bcef:BcrFT9_03263
ko:K00929	bcef:BcrFT9_03264
ko:K00263	bcef:BcrFT9_03265
ko:K01126	bcef:BcrFT9_03269
ko:K11065	bcef:BcrFT9_03678
ko:K00858	bcef:BcrFT9_03681
ko:K01895	bcef:BcrFT9_03682
ko:K03151	bcef:BcrFT9_03684
ko:K04487	bcef:BcrFT9_03685
ko:K06286	bcef:BcrFT9_03686
ko:K01761	bcef:BcrFT9_03690
ko:K02986	bcef:BcrFT9_03691
ko:K01866	bcef:BcrFT9_03694
ko:K03088	bcef:BcrFT9_03696
ko:K01895	bcef:BcrFT9_03698
ko:K04766	bcef:BcrFT9_03699
ko:K04767	bcef:BcrFT9_03700
ko:K05808	bcef:BcrFT9_04151
ko:K03704	bcef:BcrFT9_04153
ko:K00012	bcef:BcrFT9_04159
ko:K02851	bcef:BcrFT9_04160
ko:K03478	bcef:BcrFT9_04164
ko:K01222	bcef:BcrFT9_04165
ko:K02759	bcef:BcrFT9_04166
ko:K02761	bcef:BcrFT9_04167
ko:K02760	bcef:BcrFT9_04168
ko:K02760	bcef:BcrFT9_04170
ko:K01421	bcef:BcrFT9_04177
ko:K01628	bcef:BcrFT9_00380
ko:K02015	bcef:BcrFT9_00382
ko:K02016	bcef:BcrFT9_00383
ko:K07074	bcef:BcrFT9_00390
ko:K05548	bcef:BcrFT9_00391
ko:K02029	bcef:BcrFT9_00394
ko:K02030	bcef:BcrFT9_00395
ko:K02028	bcef:BcrFT9_00396
ko:K03406	bcef:BcrFT9_00397
ko:K01478	bcef:BcrFT9_00398
ko:K00611	bcef:BcrFT9_00399
ko:K03758	bcef:BcrFT9_00400
ko:K00926	bcef:BcrFT9_00401
ko:K01704	bcef:BcrFT9_01188
ko:K02502	bcef:BcrFT9_01189
ko:K00765	bcef:BcrFT9_01190
ko:K00013	bcef:BcrFT9_01191
ko:K01693	bcef:BcrFT9_01192
ko:K02501	bcef:BcrFT9_01193
ko:K01814	bcef:BcrFT9_01194
ko:K02500	bcef:BcrFT9_01195
ko:K01496	bcef:BcrFT9_01196
ko:K01523	bcef:BcrFT9_01197
ko:K04486	bcef:BcrFT9_01198
ko:K17103	bcef:BcrFT9_01200
ko:K00390	bcef:BcrFT9_01204
ko:K00958	bcef:BcrFT9_01205
ko:K00860	bcef:BcrFT9_01206
ko:K00366	bcef:BcrFT9_01207
ko:K02303	bcef:BcrFT9_01209
ko:K02304	bcef:BcrFT9_01211
ko:K03308	bcef:BcrFT9_01212
ko:K11102	bcef:BcrFT9_01217
ko:K11622	bcef:BcrFT9_01221
ko:K11617	bcef:BcrFT9_01222
ko:K11618	bcef:BcrFT9_01223
ko:K03311	bcef:BcrFT9_01225
ko:K05916	bcef:BcrFT9_01230
ko:K07090	bcef:BcrFT9_01231
ko:K03306	bcef:BcrFT9_01232
ko:K07220	bcef:BcrFT9_01233
ko:K12555	bcef:BcrFT9_01234
ko:K00231	bcef:BcrFT9_01922
ko:K03704	bcef:BcrFT9_01926
ko:K00133	bcef:BcrFT9_01934
ko:K02035	bcef:BcrFT9_00225
ko:K02035	bcef:BcrFT9_00226
ko:K02033	bcef:BcrFT9_00227
ko:K02034	bcef:BcrFT9_00228
ko:K00457	bcef:BcrFT9_00235
ko:K00451	bcef:BcrFT9_00236
ko:K03294	bcef:BcrFT9_00237
ko:K01921	bcef:BcrFT9_00239
ko:K01929	bcef:BcrFT9_00240
ko:K05592	bcef:BcrFT9_00241
ko:K00997	bcef:BcrFT9_00243
ko:K01775	bcef:BcrFT9_00245
ko:K06959	bcef:BcrFT9_00247
ko:K03095	bcef:BcrFT9_00248
ko:K06925	bcef:BcrFT9_00268
ko:K03789	bcef:BcrFT9_00270
ko:K01409	bcef:BcrFT9_00271
ko:K06158	bcef:BcrFT9_00272
ko:K01926	bcef:BcrFT9_00273
ko:K07052	bcef:BcrFT9_00275
ko:K04078	bcef:BcrFT9_00276
ko:K04077	bcef:BcrFT9_00277
ko:K01951	bcef:BcrFT9_00278
ko:K07180	bcef:BcrFT9_00517
ko:K09786	bcef:BcrFT9_00518
ko:K02030	bcef:BcrFT9_00521
ko:K02028	bcef:BcrFT9_00522
ko:K02029	bcef:BcrFT9_00523
ko:K01387	bcef:BcrFT9_00524
ko:K07192	bcef:BcrFT9_00526
ko:K03406	bcef:BcrFT9_00528
ko:K03300	bcef:BcrFT9_00532
ko:K02443	bcef:BcrFT9_00536
ko:K05816	bcef:BcrFT9_00537
ko:K05815	bcef:BcrFT9_00538
ko:K05813	bcef:BcrFT9_00539
ko:K11614	bcef:BcrFT9_00546
ko:K11616	bcef:BcrFT9_00548
ko:K00027	bcef:BcrFT9_00549
ko:K00375	bcef:BcrFT9_00551
ko:K00123	bcef:BcrFT9_00555
ko:K01126	bcef:BcrFT9_00557
ko:K00259	bcef:BcrFT9_00558
ko:K03294	bcef:BcrFT9_00559
ko:K01534	bcef:BcrFT9_00561
ko:K00763	bcef:BcrFT9_00562
ko:K03469	bcef:BcrFT9_01348
ko:K03704	bcef:BcrFT9_01351
ko:K09190	bcef:BcrFT9_01352
ko:K14393	bcef:BcrFT9_01356
ko:K12574	bcef:BcrFT9_01360
ko:K07023	bcef:BcrFT9_01371
ko:K02556	bcef:BcrFT9_01372
ko:K03407	bcef:BcrFT9_01373
ko:K02417	bcef:BcrFT9_01374
ko:K02417	bcef:BcrFT9_01375
ko:K00575	bcef:BcrFT9_01378
ko:K09770	bcef:BcrFT9_01379
ko:K02396	bcef:BcrFT9_01381
ko:K02397	bcef:BcrFT9_01382
ko:K02407	bcef:BcrFT9_01383
ko:K02422	bcef:BcrFT9_01385
ko:K02388	bcef:BcrFT9_01387
ko:K02408	bcef:BcrFT9_01388
ko:K02409	bcef:BcrFT9_01389
ko:K02410	bcef:BcrFT9_01390
ko:K02411	bcef:BcrFT9_01391
ko:K02412	bcef:BcrFT9_01392
ko:K03415	bcef:BcrFT9_01395
ko:K02406	bcef:BcrFT9_01397
ko:K01895	bcef:BcrFT9_02002
ko:K01243	bcef:BcrFT9_02009
ko:K01990	bcef:BcrFT9_02026
ko:K01669	bcef:BcrFT9_02458
ko:K01183	bcef:BcrFT9_02864
ko:K07098	bcef:BcrFT9_02865
ko:K03530	bcef:BcrFT9_02867
ko:K03830	bcef:BcrFT9_02868
ko:K17686	bcef:BcrFT9_02869
ko:K16264	bcef:BcrFT9_02871
ko:K05337	bcef:BcrFT9_02872
ko:K01834	bcef:BcrFT9_02873
ko:K07017	bcef:BcrFT9_02875
ko:K02013	bcef:BcrFT9_02876
ko:K02015	bcef:BcrFT9_02877
ko:K02015	bcef:BcrFT9_02878
ko:K02016	bcef:BcrFT9_02879
ko:K13530	bcef:BcrFT9_02880
ko:K01247	bcef:BcrFT9_02881
ko:K01258	bcef:BcrFT9_02883
ko:K03786	bcef:BcrFT9_03297
ko:K07025	bcef:BcrFT9_03301
ko:K03716	bcef:BcrFT9_03303
ko:K10947	bcef:BcrFT9_03304
ko:K03800	bcef:BcrFT9_03306
ko:K01992	bcef:BcrFT9_03313
ko:K01992	bcef:BcrFT9_03314
ko:K01992	bcef:BcrFT9_03315
ko:K01992	bcef:BcrFT9_03316
ko:K07979	bcef:BcrFT9_03317
ko:K00283	bcef:BcrFT9_03320
ko:K03439	bcef:BcrFT9_03733
ko:K01975	bcef:BcrFT9_03737
ko:K01439	bcef:BcrFT9_03738
ko:K06183	bcef:BcrFT9_03740
ko:K07007	bcef:BcrFT9_03742
ko:K05340	bcef:BcrFT9_03748
ko:K03636	bcef:BcrFT9_03750
ko:K03635	bcef:BcrFT9_03751
ko:K03637	bcef:BcrFT9_03752
ko:K02012	bcef:BcrFT9_04206
ko:K01784	bcef:BcrFT9_04210
ko:K01784	bcef:BcrFT9_04211
ko:K08679	bcef:BcrFT9_04213
ko:K00012	bcef:BcrFT9_04214
ko:K16698	bcef:BcrFT9_04221
ko:K00963	bcef:BcrFT9_04225
ko:K01104	bcef:BcrFT9_04226
ko:K02372	bcef:BcrFT9_04229
ko:K06283	bcef:BcrFT9_04230
ko:K06386	bcef:BcrFT9_04232
ko:K06901	bcef:BcrFT9_00279
ko:K01779	bcef:BcrFT9_00292
ko:K01589	bcef:BcrFT9_00303
ko:K01756	bcef:BcrFT9_00304
ko:K01923	bcef:BcrFT9_00305
ko:K01952	bcef:BcrFT9_00306
ko:K01952	bcef:BcrFT9_00307
ko:K01952	bcef:BcrFT9_00308
ko:K00764	bcef:BcrFT9_00309
ko:K01933	bcef:BcrFT9_00310
ko:K11175	bcef:BcrFT9_00311
ko:K00602	bcef:BcrFT9_00312
ko:K01945	bcef:BcrFT9_00313
ko:K07094	bcef:BcrFT9_00316
ko:K03657	bcef:BcrFT9_00317
ko:K01972	bcef:BcrFT9_00318
ko:K07090	bcef:BcrFT9_00319
ko:K02071	bcef:BcrFT9_00321
ko:K02435	bcef:BcrFT9_00324
ko:K02433	bcef:BcrFT9_00325
ko:K02434	bcef:BcrFT9_00326
ko:K07250	bcef:BcrFT9_00327
ko:K00135	bcef:BcrFT9_00328
ko:K09702	bcef:BcrFT9_01938
ko:K06304	bcef:BcrFT9_01940
ko:K07706	bcef:BcrFT9_02352
ko:K00876	bcef:BcrFT9_02353
ko:K01759	bcef:BcrFT9_02355
ko:K03924	bcef:BcrFT9_02358
ko:K03762	bcef:BcrFT9_02361
ko:K03781	bcef:BcrFT9_02363
ko:K02050	bcef:BcrFT9_02364
ko:K02049	bcef:BcrFT9_02365
ko:K03924	bcef:BcrFT9_02375
ko:K03187	bcef:BcrFT9_02783
ko:K01429	bcef:BcrFT9_02784
ko:K01430	bcef:BcrFT9_02785
ko:K06999	bcef:BcrFT9_02792
ko:K15975	bcef:BcrFT9_02793
ko:K03307	bcef:BcrFT9_02794
ko:K01479	bcef:BcrFT9_02796
ko:K01712	bcef:BcrFT9_02797
ko:K01745	bcef:BcrFT9_02798
ko:K09683	bcef:BcrFT9_02799
ko:K14652	bcef:BcrFT9_03219
ko:K00794	bcef:BcrFT9_03220
ko:K01012	bcef:BcrFT9_03222
ko:K02169	bcef:BcrFT9_03223
ko:K01935	bcef:BcrFT9_03224
ko:K00833	bcef:BcrFT9_03225
ko:K03315	bcef:BcrFT9_03227
ko:K01119	bcef:BcrFT9_03228
ko:K00930	bcef:BcrFT9_03235
ko:K00620	bcef:BcrFT9_03236
ko:K00145	bcef:BcrFT9_03237
ko:K07124	bcef:BcrFT9_03239
ko:K00286	bcef:BcrFT9_03241
ko:K01752	bcef:BcrFT9_03242
ko:K00027	bcef:BcrFT9_03648
ko:K00259	bcef:BcrFT9_03667
ko:K00059	bcef:BcrFT9_03668
ko:K01940	bcef:BcrFT9_03672
ko:K01358	bcef:BcrFT9_04124
ko:K09762	bcef:BcrFT9_04125
ko:K06958	bcef:BcrFT9_04127
ko:K03574	bcef:BcrFT9_04128
ko:K08974	bcef:BcrFT9_04129
ko:K06019	bcef:BcrFT9_04132
ko:K13292	bcef:BcrFT9_04133
ko:K06023	bcef:BcrFT9_04134
ko:K08972	bcef:BcrFT9_04135
ko:K03701	bcef:BcrFT9_04137
ko:K03702	bcef:BcrFT9_04138
ko:K03797	bcef:BcrFT9_04145
ko:K09811	bcef:BcrFT9_04146
ko:K09812	bcef:BcrFT9_04147
ko:K02836	bcef:BcrFT9_04148
ko:K03070	bcef:BcrFT9_04150
ko:K11535	bcef:BcrFT9_00570
ko:K08234	bcef:BcrFT9_00571
ko:K01744	bcef:BcrFT9_00573
ko:K03303	bcef:BcrFT9_00574
ko:K06425	bcef:BcrFT9_00576
ko:K02015	bcef:BcrFT9_00577
ko:K02015	bcef:BcrFT9_00578
ko:K02013	bcef:BcrFT9_00579
ko:K00639	bcef:BcrFT9_00581
ko:K00762	bcef:BcrFT9_00583
ko:K04748	bcef:BcrFT9_00585
ko:K06131	bcef:BcrFT9_00586
ko:K03486	bcef:BcrFT9_00588
ko:K02818	bcef:BcrFT9_00589
ko:K02819	bcef:BcrFT9_00589
ko:K01226	bcef:BcrFT9_00590
ko:K06295	bcef:BcrFT9_00592
ko:K03310	bcef:BcrFT9_00593
ko:K10040	bcef:BcrFT9_00594
ko:K03321	bcef:BcrFT9_00598
ko:K03321	bcef:BcrFT9_00599
ko:K02445	bcef:BcrFT9_00602
ko:K02529	bcef:BcrFT9_00605
ko:K00852	bcef:BcrFT9_00606
ko:K06726	bcef:BcrFT9_00607
ko:K10441	bcef:BcrFT9_00608
ko:K10440	bcef:BcrFT9_00609
ko:K10439	bcef:BcrFT9_00610
ko:K00616	bcef:BcrFT9_00611
ko:K09607	bcef:BcrFT9_00612
ko:K00004	bcef:BcrFT9_00613
ko:K01114	bcef:BcrFT9_00615
ko:K02406	bcef:BcrFT9_01398
ko:K02416	bcef:BcrFT9_01400
ko:K02417	bcef:BcrFT9_01401
ko:K02419	bcef:BcrFT9_01403
ko:K02420	bcef:BcrFT9_01404
ko:K02421	bcef:BcrFT9_01405
ko:K02401	bcef:BcrFT9_01406
ko:K02404	bcef:BcrFT9_01407
ko:K02404	bcef:BcrFT9_01408
ko:K02392	bcef:BcrFT9_01409
ko:K07284	bcef:BcrFT9_01420
ko:K06425	bcef:BcrFT9_01421
ko:K02010	bcef:BcrFT9_01424
ko:K02012	bcef:BcrFT9_01425
ko:K02011	bcef:BcrFT9_01426
ko:K01834	bcef:BcrFT9_01434
ko:K01834	bcef:BcrFT9_01435
ko:K01953	bcef:BcrFT9_01440
ko:K03088	bcef:BcrFT9_01441
ko:K16264	bcef:BcrFT9_01444
ko:K03315	bcef:BcrFT9_01453
ko:K08602	bcef:BcrFT9_02030
ko:K00483	bcef:BcrFT9_02035
ko:K04566	bcef:BcrFT9_02044
ko:K11635	bcef:BcrFT9_02050
ko:K11636	bcef:BcrFT9_02051
ko:K03325	bcef:BcrFT9_02474
ko:K02004	bcef:BcrFT9_02479
ko:K02003	bcef:BcrFT9_02480
ko:K16922	bcef:BcrFT9_02481
ko:K06871	bcef:BcrFT9_02483
ko:K01771	bcef:BcrFT9_02892
ko:K01449	bcef:BcrFT9_02894
ko:K01442	bcef:BcrFT9_02896
ko:K03572	bcef:BcrFT9_02897
ko:K03555	bcef:BcrFT9_02898
ko:K06328	bcef:BcrFT9_02899
ko:K06168	bcef:BcrFT9_02901
ko:K00175	bcef:BcrFT9_02902
ko:K00174	bcef:BcrFT9_02903
ko:K01273	bcef:BcrFT9_02904
ko:K06416	bcef:BcrFT9_02905
ko:K09769	bcef:BcrFT9_02906
ko:K18682	bcef:BcrFT9_02907
ko:K03742	bcef:BcrFT9_02908
ko:K00995	bcef:BcrFT9_02909
ko:K00059	bcef:BcrFT9_02913
ko:K07335	bcef:BcrFT9_02916
ko:K00605	bcef:BcrFT9_03321
ko:K00472	bcef:BcrFT9_03325
ko:K02249	bcef:BcrFT9_03326
ko:K02246	bcef:BcrFT9_03327
ko:K02245	bcef:BcrFT9_03328
ko:K02244	bcef:BcrFT9_03329
ko:K06956	bcef:BcrFT9_03333
ko:K02563	bcef:BcrFT9_03339
ko:K00548	bcef:BcrFT9_03340
ko:K01739	bcef:BcrFT9_03342
ko:K00641	bcef:BcrFT9_03759
ko:K01869	bcef:BcrFT9_03763
ko:K03455	bcef:BcrFT9_03765
ko:K07228	bcef:BcrFT9_03766
ko:K02004	bcef:BcrFT9_03769
ko:K02003	bcef:BcrFT9_03770
ko:K07139	bcef:BcrFT9_03774
ko:K01992	bcef:BcrFT9_04233
ko:K01990	bcef:BcrFT9_04235
ko:K06381	bcef:BcrFT9_04237
ko:K00790	bcef:BcrFT9_04238
ko:K00790	bcef:BcrFT9_04239
ko:K00343	bcef:BcrFT9_04242
ko:K00342	bcef:BcrFT9_04243
ko:K00341	bcef:BcrFT9_04244
ko:K00340	bcef:BcrFT9_04245
ko:K00339	bcef:BcrFT9_04246
ko:K00338	bcef:BcrFT9_04247
ko:K00337	bcef:BcrFT9_04248
ko:K00333	bcef:BcrFT9_04249
ko:K00332	bcef:BcrFT9_04250
ko:K00331	bcef:BcrFT9_04251
ko:K00330	bcef:BcrFT9_04252
ko:K02114	bcef:BcrFT9_04255
ko:K02112	bcef:BcrFT9_04256
ko:K02115	bcef:BcrFT9_04257
ko:K02111	bcef:BcrFT9_04258
ko:K02113	bcef:BcrFT9_04259
ko:K01985	bcef:BcrFT9_00009
ko:K01985	bcef:BcrFT9_00031
ko:K01985	bcef:BcrFT9_00283
ko:K01985	bcef:BcrFT9_00291
ko:K01985	bcef:BcrFT9_00296
ko:K01985	bcef:BcrFT9_00084
ko:K01985	bcef:BcrFT9_00262
ko:K01985	bcef:BcrFT9_00496
ko:K01985	bcef:BcrFT9_00656
ko:K01985	bcef:BcrFT9_00157
ko:K01985	bcef:BcrFT9_03902
ko:K01980	bcef:BcrFT9_03903
ko:K01980	bcef:BcrFT9_00083
ko:K01980	bcef:BcrFT9_00290
ko:K00865	bcef:BcrFT9_00167
ko:K01476	bcef:BcrFT9_00168
ko:K18672	bcef:BcrFT9_00169
ko:K00820	bcef:BcrFT9_00171
ko:K00059	bcef:BcrFT9_00191
ko:K02071	bcef:BcrFT9_00192
ko:K02073	bcef:BcrFT9_00193
ko:K07552	bcef:BcrFT9_00196
ko:K02033	bcef:BcrFT9_00198
ko:K15580	bcef:BcrFT9_00199
ko:K15580	bcef:BcrFT9_00204
ko:K02035	bcef:BcrFT9_00205
ko:K00286	bcef:BcrFT9_00207
ko:K03811	bcef:BcrFT9_00208
ko:K07219	bcef:BcrFT9_00209
ko:K00655	bcef:BcrFT9_00213
ko:K03424	bcef:BcrFT9_00217
ko:K01977	bcef:BcrFT9_03904
ko:K01977	bcef:BcrFT9_00654
ko:K01977	bcef:BcrFT9_00082
ko:K01977	bcef:BcrFT9_00289
ko:K01977	bcef:BcrFT9_00260
ko:K01977	bcef:BcrFT9_00494
ko:K01977	bcef:BcrFT9_00005
ko:K01977	bcef:BcrFT9_00027
ko:K01977	bcef:BcrFT9_00281
ko:K01977	bcef:BcrFT9_00301
ko:K01977	bcef:BcrFT9_00155
ko:K01980	bcef:BcrFT9_00156
ko:K01980	bcef:BcrFT9_00030
ko:K01980	bcef:BcrFT9_00261
ko:K01980	bcef:BcrFT9_00495
ko:K01980	bcef:BcrFT9_00008
ko:K01980	bcef:BcrFT9_00282
ko:K01980	bcef:BcrFT9_00655
ko:K01980	bcef:BcrFT9_00295
ko:K01980	bcef:BcrFT9_00302
ko:K01425	bcef:BcrFT9_00459
ko:K00656	bcef:BcrFT9_00468
ko:K04069	bcef:BcrFT9_00469
ko:K07071	bcef:BcrFT9_00474
ko:K03565	bcef:BcrFT9_00475
ko:K06428	bcef:BcrFT9_00478
ko:K07038	bcef:BcrFT9_00480
ko:K03575	bcef:BcrFT9_00481
ko:K06422	bcef:BcrFT9_00483
ko:K07586	bcef:BcrFT9_00485
ko:K00265	bcef:BcrFT9_00487
ko:K01845	bcef:BcrFT9_00488
ko:K01990	bcef:BcrFT9_00489
ko:K01992	bcef:BcrFT9_00490
ko:K01992	bcef:BcrFT9_00491
ko:K08713	bcef:BcrFT9_00492
ko:K03564	bcef:BcrFT9_00493
ko:K00817	bcef:BcrFT9_01292
ko:K03886	bcef:BcrFT9_01295
ko:K03888	bcef:BcrFT9_01296
ko:K00215	bcef:BcrFT9_01302
