ko:K07016	sthe:T303_05865
ko:K01992	sthe:T303_08210
ko:K12997	sthe:T303_08215
ko:K12996	sthe:T303_08220
ko:K09153	sthe:T303_08240
ko:K00067	sthe:T303_08250
ko:K12999	sthe:T303_08260
ko:K03086	sthe:T303_08270
ko:K03282	sthe:T303_08280
ko:K02970	sthe:T303_08285
ko:K02030	sthe:T303_08290
ko:K02030	sthe:T303_08300
ko:K02030	sthe:T303_08305
ko:K03574	sthe:T303_08310
ko:K03702	sthe:T303_08315
ko:K07052	sthe:T303_08325
ko:K07052	sthe:T303_08330
ko:K02029	sthe:T303_08335
ko:K02030	sthe:T303_08335
ko:K02028	sthe:T303_08340
ko:K03979	sthe:T303_08350
ko:K06183	sthe:T303_08360
ko:K02614	sthe:T303_08375
ko:K09952	sthe:T303_08415
ko:K01079	sthe:T303_08420
ko:K06286	sthe:T303_08425
ko:K02470	sthe:T303_08430
ko:K06518	sthe:T303_08445
ko:K00567	sthe:T303_08460
ko:K00058	sthe:T303_08465
ko:K00831	sthe:T303_08475
ko:K01759	sthe:T303_08485
ko:K11069	sthe:T303_08495
ko:K11070	sthe:T303_08500
ko:K11071	sthe:T303_08505
ko:K11072	sthe:T303_08510
ko:K00075	sthe:T303_08515
ko:K00950	sthe:T303_08520
ko:K01633	sthe:T303_08525
ko:K01176	sthe:T303_08530
ko:K00796	sthe:T303_08535
ko:K01495	sthe:T303_08540
ko:K11754	sthe:T303_08550
ko:K06960	sthe:T303_08555
ko:K02959	sthe:T303_08560
ko:K16868	sthe:T303_08565
ko:K01142	sthe:T303_08580
ko:K01972	sthe:T303_08600
ko:K07058	sthe:T303_08610
ko:K01265	sthe:T303_08615
ko:K00790	sthe:T303_08630
ko:K02238	sthe:T303_08635
ko:K02237	sthe:T303_08640
ko:K00655	sthe:T303_08645
ko:K07461	sthe:T303_08660
ko:K05592	sthe:T303_08665
ko:K16789	sthe:T303_08680
ko:K01876	sthe:T303_00810
ko:K02911	sthe:T303_00835
ko:K02837	sthe:T303_08695
ko:K01929	sthe:T303_08705
ko:K02030	sthe:T303_08720
ko:K02028	sthe:T303_08725
ko:K02029	sthe:T303_08730
ko:K02029	sthe:T303_08735
ko:K01921	sthe:T303_08740
ko:K17686	sthe:T303_08750
ko:K01695	sthe:T303_08760
ko:K01696	sthe:T303_08765
ko:K01817	sthe:T303_08770
ko:K01609	sthe:T303_08775
ko:K00766	sthe:T303_08780
ko:K01658	sthe:T303_08785
ko:K01657	sthe:T303_08790
ko:K09747	sthe:T303_08815
ko:K02342	sthe:T303_08830
ko:K01687	sthe:T303_08845
ko:K07007	sthe:T303_08850
ko:K03439	sthe:T303_08860
ko:K01992	sthe:T303_08870
ko:K01990	sthe:T303_08875
ko:K02503	sthe:T303_08880
ko:K04086	sthe:T303_08905
ko:K09710	sthe:T303_08920
ko:K00969	sthe:T303_08930
ko:K07574	sthe:T303_08935
ko:K06948	sthe:T303_08940
ko:K07015	sthe:T303_08945
ko:K02434	sthe:T303_08960
ko:K02433	sthe:T303_08965
ko:K02435	sthe:T303_08970
ko:K01223	sthe:T303_08980
ko:K07304	sthe:T303_08990
ko:K02073	sthe:T303_08995
ko:K03706	sthe:T303_09005
ko:K14260	sthe:T303_09010
ko:K04069	sthe:T303_09035
ko:K03699	sthe:T303_09040
ko:K02013	sthe:T303_09045
ko:K03316	sthe:T303_09050
ko:K07139	sthe:T303_09065
ko:K07177	sthe:T303_09070
ko:K00954	sthe:T303_09075
ko:K00384	sthe:T303_09085
ko:K02028	sthe:T303_09095
ko:K02029	sthe:T303_09100
ko:K02030	sthe:T303_09105
ko:K02346	sthe:T303_09115
ko:K00656	sthe:T303_09120
ko:K01674	sthe:T303_09125
ko:K01154	sthe:T303_09135
ko:K02069	sthe:T303_09145
ko:K02068	sthe:T303_09150
ko:K07052	sthe:T303_09170
ko:K02440	sthe:T303_09175
ko:K01281	sthe:T303_09180
ko:K07707	sthe:T303_09260
ko:K07706	sthe:T303_09265
ko:K06941	sthe:T303_09315
ko:K18692	sthe:T303_09335
ko:K01000	sthe:T303_09340
ko:K12556	sthe:T303_09345
ko:K03438	sthe:T303_09355
ko:K00147	sthe:T303_09380
ko:K00931	sthe:T303_09385
ko:K01992	sthe:T303_09390
ko:K01990	sthe:T303_09395
ko:K07150	sthe:T303_09400
ko:K16898	sthe:T303_09405
ko:K16899	sthe:T303_09410
ko:K01424	sthe:T303_09450
ko:K03655	sthe:T303_09460
ko:K01775	sthe:T303_09465
ko:K00997	sthe:T303_09470
ko:K01626	sthe:T303_09475
ko:K01626	sthe:T303_09480
ko:K03070	sthe:T303_09485
ko:K01809	sthe:T303_09495
ko:K00847	sthe:T303_09500
ko:K02808	sthe:T303_09505
ko:K02809	sthe:T303_09505
ko:K02810	sthe:T303_09505
ko:K01193	sthe:T303_09510
ko:K03484	sthe:T303_09515
ko:K03625	sthe:T303_09520
ko:K02356	sthe:T303_09530
ko:K01262	sthe:T303_09540
ko:K03701	sthe:T303_09565
ko:K03284	sthe:T303_09570
ko:K02963	sthe:T303_09585
ko:K02990	sthe:T303_09595
ko:K03575	sthe:T303_09605
ko:K07456	sthe:T303_09640
ko:K03471	sthe:T303_09655
ko:K03100	sthe:T303_09660
ko:K03581	sthe:T303_09665
ko:K01409	sthe:T303_09680
ko:K03789	sthe:T303_09685
ko:K12574	sthe:T303_09700
ko:K01915	sthe:T303_09710
ko:K03713	sthe:T303_09715
ko:K00927	sthe:T303_09735
ko:K07491	sthe:T303_09740
ko:K00134	sthe:T303_09765
ko:K02355	sthe:T303_09770
ko:K02992	sthe:T303_09775
ko:K02950	sthe:T303_09780
ko:K09685	sthe:T303_09785
ko:K03698	sthe:T303_09790
ko:K09760	sthe:T303_09795
ko:K00949	sthe:T303_09800
ko:K01783	sthe:T303_09805
ko:K06949	sthe:T303_09810
ko:K02528	sthe:T303_09820
ko:K05985	sthe:T303_09825
ko:K03424	sthe:T303_09830
ko:K06929	sthe:T303_09835
ko:K03671	sthe:T303_09840
ko:K00773	sthe:T303_09890
ko:K07491	sthe:T303_09895
ko:K02914	sthe:T303_09900
ko:K02986	sthe:T303_00935
ko:K00566	sthe:T303_00970
ko:K01586	sthe:T303_02465
ko:K09976	sthe:T303_02475
ko:K01776	sthe:T303_02480
ko:K02428	sthe:T303_02485
ko:K07095	sthe:T303_02490
ko:K05896	sthe:T303_02505
ko:K06024	sthe:T303_02510
ko:K06178	sthe:T303_02515
ko:K08998	sthe:T303_02520
ko:K03498	sthe:T303_02525
ko:K03499	sthe:T303_02530
ko:K03216	sthe:T303_02535
ko:K03191	sthe:T303_02575
ko:K01430	sthe:T303_02580
ko:K01429	sthe:T303_02585
ko:K01428	sthe:T303_02590
ko:K03187	sthe:T303_02595
ko:K03188	sthe:T303_02600
ko:K03189	sthe:T303_02605
ko:K03190	sthe:T303_02610
ko:K02007	sthe:T303_02615
ko:K02008	sthe:T303_02620
ko:K02006	sthe:T303_02625
ko:K02030	sthe:T303_02630
ko:K02030	sthe:T303_02655
ko:K02073	sthe:T303_02660
ko:K02071	sthe:T303_02670
ko:K02072	sthe:T303_02675
ko:K07862	sthe:T303_02680
ko:K16924	sthe:T303_02690
ko:K16786	sthe:T303_02695
ko:K16787	sthe:T303_02695
ko:K16785	sthe:T303_02700
ko:K00615	sthe:T303_02705
ko:K03499	sthe:T303_02710
ko:K03501	sthe:T303_02720
ko:K07040	sthe:T303_02725
ko:K07738	sthe:T303_02740
ko:K03346	sthe:T303_02745
ko:K11144	sthe:T303_02750
ko:K03977	sthe:T303_02755
ko:K01875	sthe:T303_02785
ko:K02795	sthe:T303_02800
ko:K02793	sthe:T303_02805
ko:K02794	sthe:T303_02805
ko:K06901	sthe:T303_02820
ko:K06925	sthe:T303_02825
ko:K09748	sthe:T303_02840
ko:K02600	sthe:T303_02845
ko:K07742	sthe:T303_02850
ko:K02519	sthe:T303_02860
ko:K02834	sthe:T303_02865
ko:K05362	sthe:T303_02880
ko:K01739	sthe:T303_02895
ko:K14155	sthe:T303_02900
ko:K00761	sthe:T303_02910
ko:K01358	sthe:T303_02915
ko:K01999	sthe:T303_02930
ko:K01997	sthe:T303_02935
ko:K01998	sthe:T303_02940
ko:K01995	sthe:T303_02945
ko:K01996	sthe:T303_02950
ko:K01738	sthe:T303_02960
ko:K02240	sthe:T303_02970
ko:K02242	sthe:T303_02975
ko:K15986	sthe:T303_03025
ko:K07586	sthe:T303_03035
ko:K03565	sthe:T303_03040
ko:K01914	sthe:T303_03050
ko:K00928	sthe:T303_03055
ko:K18474	sthe:T303_03065
ko:K00648	sthe:T303_03075
ko:K02078	sthe:T303_03080
ko:K02371	sthe:T303_03085
ko:K00645	sthe:T303_03090
ko:K00059	sthe:T303_03095
ko:K09458	sthe:T303_03100
ko:K02160	sthe:T303_03105
ko:K02372	sthe:T303_03110
ko:K01961	sthe:T303_03115
ko:K01963	sthe:T303_03120
ko:K01962	sthe:T303_03125
ko:K07173	sthe:T303_03130
ko:K18682	sthe:T303_03140
ko:K03436	sthe:T303_03150
ko:K00882	sthe:T303_03155
ko:K00383	sthe:T303_03165
ko:K11754	sthe:T303_03170
ko:K04487	sthe:T303_03180
ko:K03151	sthe:T303_03185
ko:K02888	sthe:T303_03205
ko:K02899	sthe:T303_03210
ko:K00215	sthe:T303_03230
ko:K00974	sthe:T303_03235
ko:K15738	sthe:T303_03240
ko:K00262	sthe:T303_03260
ko:K01462	sthe:T303_03265
ko:K06147	sthe:T303_03280
ko:K09903	sthe:T303_03295
ko:K02838	sthe:T303_03300
ko:K00243	sthe:T303_03305
ko:K01874	sthe:T303_03350
ko:K06198	sthe:T303_03365
ko:K08602	sthe:T303_03370
ko:K07533	sthe:T303_03385
ko:K01872	sthe:T303_03390
ko:K08969	sthe:T303_03420
ko:K00145	sthe:T303_03425
ko:K00620	sthe:T303_03430
ko:K00930	sthe:T303_03435
ko:K00003	sthe:T303_03450
ko:K00872	sthe:T303_03455
ko:K05786	sthe:T303_03460
ko:K01873	sthe:T303_03485
ko:K02110	sthe:T303_03495
ko:K02108	sthe:T303_03500
ko:K02109	sthe:T303_03505
ko:K02113	sthe:T303_03510
ko:K02111	sthe:T303_03515
ko:K02115	sthe:T303_03520
ko:K02112	sthe:T303_03525
ko:K02114	sthe:T303_03530
ko:K03588	sthe:T303_03535
ko:K02358	sthe:T303_03540
ko:K01803	sthe:T303_03545
ko:K00943	sthe:T303_03550
ko:K02341	sthe:T303_03555
ko:K07056	sthe:T303_03570
ko:K03320	sthe:T303_03575
ko:K04751	sthe:T303_03580
ko:K01443	sthe:T303_03610
ko:K02005	sthe:T303_03750
ko:K02004	sthe:T303_03770
ko:K02004	sthe:T303_03775
ko:K02864	sthe:T303_03780
ko:K02935	sthe:T303_03785
ko:K02003	sthe:T303_03795
ko:K02004	sthe:T303_03800
ko:K07568	sthe:T303_03840
ko:K02564	sthe:T303_03845
ko:K01878	sthe:T303_03630
ko:K01879	sthe:T303_03635
ko:K03767	sthe:T303_03660
ko:K03101	sthe:T303_03700
ko:K06180	sthe:T303_03705
ko:K02825	sthe:T303_03710
ko:K02824	sthe:T303_03715
ko:K00609	sthe:T303_03720
ko:K01956	sthe:T303_03725
ko:K01955	sthe:T303_03730
ko:K01990	sthe:T303_03865
ko:K01992	sthe:T303_03870
ko:K07146	sthe:T303_03875
ko:K07729	sthe:T303_03880
ko:K06183	sthe:T303_03900
ko:K00259	sthe:T303_03915
ko:K09962	sthe:T303_03925
ko:K00869	sthe:T303_03930
ko:K01597	sthe:T303_03935
ko:K00938	sthe:T303_03940
ko:K01823	sthe:T303_03945
ko:K04042	sthe:T303_03955
ko:K01515	sthe:T303_03960
ko:K01243	sthe:T303_03970
ko:K01868	sthe:T303_04005
ko:K11068	sthe:T303_04025
ko:K00054	sthe:T303_04035
ko:K01641	sthe:T303_04040
ko:K03544	sthe:T303_04060
ko:K03978	sthe:T303_04065
ko:K16235	sthe:T303_04070
ko:K00547	sthe:T303_04075
ko:K08591	sthe:T303_04090
ko:K02622	sthe:T303_04095
ko:K02621	sthe:T303_04100
ko:K00826	sthe:T303_04105
ko:K02945	sthe:T303_04125
ko:K12554	sthe:T303_04145
ko:K03574	sthe:T303_04160
ko:K03697	sthe:T303_04165
ko:K00611	sthe:T303_04170
ko:K02029	sthe:T303_04180
ko:K02028	sthe:T303_04185
ko:K04758	sthe:T303_04190
ko:K04759	sthe:T303_04195
ko:K01790	sthe:T303_04205
ko:K01491	sthe:T303_04230
ko:K00687	sthe:T303_04240
ko:K06187	sthe:T303_04245
ko:K07042	sthe:T303_04255
ko:K03595	sthe:T303_04265
ko:K10563	sthe:T303_04270
ko:K00859	sthe:T303_04275
ko:K02913	sthe:T303_04285
ko:K03075	sthe:T303_04290
ko:K12573	sthe:T303_04295
ko:K03664	sthe:T303_04300
ko:K03768	sthe:T303_04305
ko:K07570	sthe:T303_04310
ko:K02529	sthe:T303_04320
ko:K00865	sthe:T303_04335
ko:K01689	sthe:T303_04345
ko:K06969	sthe:T303_04360
ko:K03785	sthe:T303_04365
ko:K00014	sthe:T303_04370
ko:K01735	sthe:T303_04375
ko:K01736	sthe:T303_04380
ko:K04517	sthe:T303_04385
ko:K00016	sthe:T303_04395
ko:K00800	sthe:T303_04400
ko:K00891	sthe:T303_04405
ko:K04518	sthe:T303_04410
ko:K11041	sthe:T303_04420
ko:K03215	sthe:T303_04435
ko:K09952	sthe:T303_04530
ko:K08986	sthe:T303_04550
ko:K07089	sthe:T303_04555
ko:K06959	sthe:T303_04565
ko:K03095	sthe:T303_04570
ko:K06023	sthe:T303_04580
ko:K13292	sthe:T303_04585
ko:K08303	sthe:T303_04610
ko:K03322	sthe:T303_04640
ko:K03574	sthe:T303_04650
ko:K04567	sthe:T303_04665
ko:K07025	sthe:T303_04680
ko:K03976	sthe:T303_04695
ko:K07273	sthe:T303_04700
ko:K01153	sthe:T303_04740
ko:K01154	sthe:T303_04765
ko:K03427	sthe:T303_04780
ko:K03744	sthe:T303_04795
ko:K03799	sthe:T303_04800
ko:K01595	sthe:T303_04815
ko:K02340	sthe:T303_04820
ko:K04564	sthe:T303_04825
ko:K04047	sthe:T303_04835
ko:K09825	sthe:T303_04840
ko:K00845	sthe:T303_04850
ko:K06207	sthe:T303_04855
ko:K01925	sthe:T303_04865
ko:K02563	sthe:T303_04870
ko:K03590	sthe:T303_04880
ko:K03531	sthe:T303_04885
ko:K06997	sthe:T303_04890
ko:K09772	sthe:T303_04895
ko:K02221	sthe:T303_04900
ko:K04074	sthe:T303_04910
ko:K01870	sthe:T303_04915
ko:K02909	sthe:T303_04930
ko:K03734	sthe:T303_04935
ko:K11209	sthe:T303_04945
ko:K01488	sthe:T303_04950
ko:K02835	sthe:T303_04960
ko:K02493	sthe:T303_04965
ko:K07566	sthe:T303_04970
ko:K00600	sthe:T303_04975
ko:K06147	sthe:T303_04995
ko:K03367	sthe:T303_05005
ko:K03739	sthe:T303_05010
ko:K14188	sthe:T303_05015
ko:K03740	sthe:T303_05020
ko:K03342	sthe:T303_05045
ko:K00549	sthe:T303_05130
ko:K00297	sthe:T303_05135
ko:K01835	sthe:T303_05140
ko:K01598	sthe:T303_05150
ko:K01938	sthe:T303_05160
ko:K11070	sthe:T303_05190
ko:K11069	sthe:T303_05195
ko:K01361	sthe:T303_05205
ko:K02968	sthe:T303_05225
ko:K00867	sthe:T303_05230
ko:K00564	sthe:T303_05235
ko:K01489	sthe:T303_05250
ko:K07335	sthe:T303_05255
ko:K02056	sthe:T303_05260
ko:K02057	sthe:T303_05265
ko:K02057	sthe:T303_05270
ko:K01893	sthe:T303_05295
ko:K06920	sthe:T303_05315
ko:K01737	sthe:T303_05320
ko:K10026	sthe:T303_05325
ko:K09457	sthe:T303_05330
ko:K06958	sthe:T303_05350
ko:K09762	sthe:T303_05360
ko:K03704	sthe:T303_05375
ko:K03704	sthe:T303_05380
ko:K01533	sthe:T303_05405
ko:K01738	sthe:T303_05420
ko:K01760	sthe:T303_05425
ko:K03427	sthe:T303_05450
ko:K05340	sthe:T303_05455
ko:K09815	sthe:T303_05475
ko:K00820	sthe:T303_05515
ko:K06193	sthe:T303_05520
ko:K02029	sthe:T303_05525
ko:K02028	sthe:T303_05530
ko:K01951	sthe:T303_05575
ko:K03710	sthe:T303_05580
ko:K09787	sthe:T303_05585
ko:K03106	sthe:T303_05590
ko:K16788	sthe:T303_05595
ko:K07105	sthe:T303_05600
ko:K14540	sthe:T303_05610
ko:K03470	sthe:T303_05615
ko:K04096	sthe:T303_05625
ko:K03168	sthe:T303_05630
ko:K04094	sthe:T303_05650
ko:K00940	sthe:T303_05660
ko:K03596	sthe:T303_05680
ko:K16785	sthe:T303_00990
ko:K16787	sthe:T303_00995
ko:K16786	sthe:T303_01000
ko:K00995	sthe:T303_01005
ko:K03629	sthe:T303_01030
ko:K00088	sthe:T303_01035
ko:K01867	sthe:T303_01040
ko:K00783	sthe:T303_01080
ko:K02313	sthe:T303_01095
ko:K02338	sthe:T303_01100
ko:K06942	sthe:T303_01110
ko:K01056	sthe:T303_01115
ko:K03723	sthe:T303_01120
ko:K01467	sthe:T303_01140
ko:K04075	sthe:T303_01145
ko:K00760	sthe:T303_01150
ko:K03798	sthe:T303_01155
ko:K03570	sthe:T303_01285
ko:K03571	sthe:T303_01290
ko:K00948	sthe:T303_01300
ko:K00841	sthe:T303_01310
ko:K03584	sthe:T303_01315
ko:K03621	sthe:T303_01320
ko:K02078	sthe:T303_01325
ko:K01923	sthe:T303_01330
ko:K01952	sthe:T303_01335
ko:K00764	sthe:T303_01340
ko:K01933	sthe:T303_01345
ko:K11175	sthe:T303_01350
ko:K00602	sthe:T303_01355
ko:K01945	sthe:T303_01380
ko:K01589	sthe:T303_01390
ko:K01756	sthe:T303_01405
ko:K01887	sthe:T303_01415
ko:K03402	sthe:T303_01420
ko:K03555	sthe:T303_01430
ko:K03572	sthe:T303_01450
ko:K03550	sthe:T303_01460
ko:K01246	sthe:T303_01465
ko:K03742	sthe:T303_01470
ko:K03763	sthe:T303_01565
ko:K16926	sthe:T303_00095
ko:K00057	sthe:T303_00100
ko:K00963	sthe:T303_00105
ko:K01934	sthe:T303_00115
ko:K05823	sthe:T303_00120
ko:K00674	sthe:T303_00125
ko:K00563	sthe:T303_00140
ko:K11991	sthe:T303_00155
ko:K07112	sthe:T303_00170
ko:K06878	sthe:T303_00175
ko:K04485	sthe:T303_00070
ko:K00925	sthe:T303_00220
ko:K02248	sthe:T303_00235
ko:K03693	sthe:T303_00280
ko:K00053	sthe:T303_00290
ko:K03486	sthe:T303_00385
ko:K03040	sthe:T303_00495
ko:K00939	sthe:T303_00520
ko:K02874	sthe:T303_00575
ko:K02892	sthe:T303_00615
ko:K01653	sthe:T303_00295
ko:K07030	sthe:T303_00310
ko:K07386	sthe:T303_00350
ko:K01226	sthe:T303_00365
ko:K02948	sthe:T303_00500
ko:K03076	sthe:T303_00525
ko:K02881	sthe:T303_00545
ko:K02961	sthe:T303_00580
ko:K02926	sthe:T303_00620
ko:K01733	sthe:T303_00325
ko:K01226	sthe:T303_00355
ko:K01534	sthe:T303_00425
ko:K01624	sthe:T303_00465
ko:K02952	sthe:T303_00505
ko:K02933	sthe:T303_00550
ko:K02904	sthe:T303_00585
ko:K02906	sthe:T303_00625
ko:K01652	sthe:T303_00300
ko:K01226	sthe:T303_00360
ko:K02919	sthe:T303_00510
ko:K02876	sthe:T303_00530
ko:K02994	sthe:T303_00555
ko:K02878	sthe:T303_00590
ko:K02946	sthe:T303_00630
ko:K01939	sthe:T303_00655
ko:K03486	sthe:T303_00380
ko:K03427	sthe:T303_00435
ko:K02518	sthe:T303_00515
ko:K02954	sthe:T303_00560
ko:K02982	sthe:T303_00595
ko:K07478	sthe:T303_00750
ko:K02902	sthe:T303_00755
ko:K02931	sthe:T303_00565
ko:K02890	sthe:T303_00600
ko:K03551	sthe:T303_00635
ko:K07447	sthe:T303_00765
ko:K02879	sthe:T303_00490
ko:K02907	sthe:T303_00535
ko:K02965	sthe:T303_00605
ko:K02988	sthe:T303_00540
ko:K02895	sthe:T303_00570
ko:K02886	sthe:T303_00610
ko:K01104	sthe:T303_00650
ko:K01261	sthe:T303_00190
ko:K02246	sthe:T303_00245
ko:K02243	sthe:T303_00260
ko:K00286	sthe:T303_00195
ko:K07052	sthe:T303_00200
ko:K02245	sthe:T303_00250
ko:K02244	sthe:T303_00255
ko:K03046	sthe:T303_00270
ko:K03043	sthe:T303_00275
ko:K02913	sthe:T303_00840
ko:K01421	sthe:T303_00915
ko:K01892	sthe:T303_00820
ko:K03495	sthe:T303_00960
ko:K02967	sthe:T303_01620
ko:K02357	sthe:T303_01625
ko:K03708	sthe:T303_01635
ko:K03696	sthe:T303_01640
ko:K07258	sthe:T303_01650
ko:K00962	sthe:T303_01655
ko:K00640	sthe:T303_01665
ko:K01883	sthe:T303_01675
ko:K11145	sthe:T303_01680
ko:K03218	sthe:T303_01700
ko:K06962	sthe:T303_01705
ko:K00077	sthe:T303_01725
ko:K02871	sthe:T303_01730
ko:K02996	sthe:T303_01735
ko:K07282	sthe:T303_01810
ko:K07166	sthe:T303_01815
ko:K09157	sthe:T303_01820
ko:K07260	sthe:T303_01830
ko:K03705	sthe:T303_01840
ko:K03687	sthe:T303_01845
ko:K04043	sthe:T303_01850
ko:K03686	sthe:T303_01855
ko:K06173	sthe:T303_01860
ko:K00868	sthe:T303_01865
ko:K00574	sthe:T303_01915
ko:K12296	sthe:T303_01925
ko:K03545	sthe:T303_01935
ko:K03048	sthe:T303_01940
ko:K01937	sthe:T303_01945
ko:K03574	sthe:T303_01955
ko:K02687	sthe:T303_01960
ko:K09761	sthe:T303_01965
ko:K01119	sthe:T303_01970
ko:K03647	sthe:T303_01975
ko:K00951	sthe:T303_01980
ko:K07560	sthe:T303_01985
ko:K01754	sthe:T303_02005
ko:K01462	sthe:T303_02010
ko:K02956	sthe:T303_02025
ko:K17076	sthe:T303_02050
ko:K17073	sthe:T303_02055
ko:K17074	sthe:T303_02055
ko:K06153	sthe:T303_02060
ko:K16511	sthe:T303_02065
ko:K09013	sthe:T303_02075
ko:K09015	sthe:T303_02080
ko:K11717	sthe:T303_02085
ko:K04488	sthe:T303_02090
ko:K09014	sthe:T303_02095
ko:K15580	sthe:T303_02105
ko:K15581	sthe:T303_02110
ko:K15582	sthe:T303_02120
ko:K15582	sthe:T303_02125
ko:K15583	sthe:T303_02130
ko:K04083	sthe:T303_02150
ko:K09817	sthe:T303_02170
ko:K09816	sthe:T303_02175
ko:K07088	sthe:T303_02180
ko:K06896	sthe:T303_02190
ko:K01810	sthe:T303_02195
ko:K03210	sthe:T303_02205
ko:K00806	sthe:T303_02210
ko:K00981	sthe:T303_02215
ko:K11749	sthe:T303_02220
ko:K01881	sthe:T303_02225
ko:K05833	sthe:T303_02235
ko:K04078	sthe:T303_02240
ko:K04077	sthe:T303_02245
ko:K06180	sthe:T303_02280
ko:K12555	sthe:T303_02285
ko:K03073	sthe:T303_02290
ko:K02601	sthe:T303_02295
ko:K01869	sthe:T303_02315
ko:K00763	sthe:T303_02330
ko:K01916	sthe:T303_02335
ko:K01372	sthe:T303_02345
ko:K05366	sthe:T303_02350
ko:K03700	sthe:T303_02355
ko:K07444	sthe:T303_02375
ko:K01924	sthe:T303_02395
ko:K07082	sthe:T303_02405
ko:K03624	sthe:T303_02410
ko:K03217	sthe:T303_02430
ko:K01512	sthe:T303_02435
ko:K03437	sthe:T303_02440
ko:K06890	sthe:T303_02450
ko:K02939	sthe:T303_00950
