ko:K01980	tpas:TPSea814_00r05413
ko:K00655	tpas:TPSea814_000361
ko:K02902	tpas:TPSea814_000362
ko:K03407	tpas:TPSea814_000363
ko:K03408	tpas:TPSea814_000364
ko:K03409	tpas:TPSea814_000365
ko:K03413	tpas:TPSea814_000366
ko:K03529	tpas:TPSea814_000367
ko:K00919	tpas:TPSea814_000371
ko:K02897	tpas:TPSea814_000372
ko:K04075	tpas:TPSea814_000373
ko:K03070	tpas:TPSea814_000379
ko:K10843	tpas:TPSea814_000380
ko:K03925	tpas:TPSea814_000383
ko:K03438	tpas:TPSea814_000384
ko:K01929	tpas:TPSea814_000386
ko:K03588	tpas:TPSea814_000387
ko:K03589	tpas:TPSea814_000388
ko:K03590	tpas:TPSea814_000389
ko:K03531	tpas:TPSea814_000390
ko:K04763	tpas:TPSea814_000391
ko:K04096	tpas:TPSea814_000393
ko:K03168	tpas:TPSea814_000394
ko:K02387	tpas:TPSea814_000396
ko:K02388	tpas:TPSea814_000397
ko:K02408	tpas:TPSea814_000398
ko:K02410	tpas:TPSea814_000400
ko:K02411	tpas:TPSea814_000401
ko:K02412	tpas:TPSea814_000402
ko:K02413	tpas:TPSea814_000403
ko:K01776	tpas:TPSea814_000406
ko:K07025	tpas:TPSea814_000407
ko:K03210	tpas:TPSea814_000408a
ko:K03072	tpas:TPSea814_000410
ko:K03074	tpas:TPSea814_000411
ko:K03310	tpas:TPSea814_000414
ko:K03106	tpas:TPSea814_000416
ko:K03820	tpas:TPSea814_000417
ko:K03787	tpas:TPSea814_000419
ko:K02121	tpas:TPSea814_000424
ko:K02117	tpas:TPSea814_000426
ko:K02118	tpas:TPSea814_000427
ko:K02120	tpas:TPSea814_000428
ko:K02123	tpas:TPSea814_000429
ko:K02124	tpas:TPSea814_000430
ko:K03525	tpas:TPSea814_000431
ko:K02428	tpas:TPSea814_000438
ko:K03408	tpas:TPSea814_000439
ko:K00858	tpas:TPSea814_000441
ko:K03631	tpas:TPSea814_000442
ko:K03152	tpas:TPSea814_000445
ko:K00761	tpas:TPSea814_000448
ko:K02355	tpas:TPSea814_000450
ko:K01870	tpas:TPSea814_000452
ko:K06024	tpas:TPSea814_000458
ko:K06178	tpas:TPSea814_000459
ko:K03439	tpas:TPSea814_000464
ko:K03703	tpas:TPSea814_000472
ko:K01810	tpas:TPSea814_000475
ko:K00925	tpas:TPSea814_000476
ko:K01057	tpas:TPSea814_000477
ko:K00036	tpas:TPSea814_000478
ko:K03406	tpas:TPSea814_000488
ko:K03086	tpas:TPSea814_000493
ko:K07164	tpas:TPSea814_000494
ko:K03569	tpas:TPSea814_000497
ko:K03570	tpas:TPSea814_000498
ko:K03571	tpas:TPSea814_000499
ko:K05837	tpas:TPSea814_000501
ko:K00844	tpas:TPSea814_000505
ko:K03545	tpas:TPSea814_000506
ko:K01358	tpas:TPSea814_000507
ko:K03544	tpas:TPSea814_000508
ko:K03386	tpas:TPSea814_000509
ko:K03596	tpas:TPSea814_000510
ko:K07736	tpas:TPSea814_000511
ko:K12506	tpas:TPSea814_000512
ko:K03499	tpas:TPSea814_000513
ko:K03980	tpas:TPSea814_000516
ko:K01159	tpas:TPSea814_000517
ko:K00949	tpas:TPSea814_000518
ko:K02343	tpas:TPSea814_000521
ko:K03558	tpas:TPSea814_000522
ko:K02563	tpas:TPSea814_000523
ko:K01338	tpas:TPSea814_000524
ko:K02356	tpas:TPSea814_000525
ko:K02120	tpas:TPSea814_000527
ko:K02118	tpas:TPSea814_000528
ko:K02117	tpas:TPSea814_000529
ko:K02121	tpas:TPSea814_000530
ko:K02122	tpas:TPSea814_000531
ko:K02124	tpas:TPSea814_000531a
ko:K02123	tpas:TPSea814_000533
ko:K03075	tpas:TPSea814_000536
ko:K01803	tpas:TPSea814_000537
ko:K00927	tpas:TPSea814_000538
ko:K00895	tpas:TPSea814_000542
ko:K03550	tpas:TPSea814_000543
ko:K07004	tpas:TPSea814_000544
ko:K10540	tpas:TPSea814_000545
ko:K03527	tpas:TPSea814_000547
ko:K03696	tpas:TPSea814_000549
ko:K03650	tpas:TPSea814_000550
ko:K01091	tpas:TPSea814_000554
ko:K01914	tpas:TPSea814_000556
ko:K03151	tpas:TPSea814_000559
ko:K00615	tpas:TPSea814_000560
ko:K06872	tpas:TPSea814_000561
ko:K09795	tpas:TPSea814_000565
ko:K01625	tpas:TPSea814_000568
ko:K01262	tpas:TPSea814_000569
ko:K08988	tpas:TPSea814_000570
ko:K03744	tpas:TPSea814_000571
ko:K08483	tpas:TPSea814_000574b
ko:K02836	tpas:TPSea814_000576
ko:K03110	tpas:TPSea814_000578
ko:K09808	tpas:TPSea814_000580
ko:K09810	tpas:TPSea814_000581
ko:K09808	tpas:TPSea814_000582
ko:K01869	tpas:TPSea814_000586
ko:K02340	tpas:TPSea814_000588
ko:K11189	tpas:TPSea814_000589
ko:K06023	tpas:TPSea814_000591
ko:K00939	tpas:TPSea814_000595
ko:K00970	tpas:TPSea814_000596
ko:K11749	tpas:TPSea814_000600
ko:K00099	tpas:TPSea814_000601
ko:K00981	tpas:TPSea814_000602
ko:K00806	tpas:TPSea814_000603
ko:K02838	tpas:TPSea814_000604
ko:K02357	tpas:TPSea814_000605
ko:K02967	tpas:TPSea814_000606
ko:K01893	tpas:TPSea814_000609
ko:K09013	tpas:TPSea814_000611
ko:K09014	tpas:TPSea814_000612
ko:K11717	tpas:TPSea814_000614
ko:K04488	tpas:TPSea814_000615
ko:K01807	tpas:TPSea814_000616
ko:K08307	tpas:TPSea814_000623
ko:K00763	tpas:TPSea814_000628
ko:K00575	tpas:TPSea814_000630
ko:K03412	tpas:TPSea814_000631
ko:K01867	tpas:TPSea814_000632
ko:K12267	tpas:TPSea814_000633
ko:K01972	tpas:TPSea814_000634
ko:K00791	tpas:TPSea814_000637
ko:K03406	tpas:TPSea814_000639
ko:K03406	tpas:TPSea814_000640
ko:K01892	tpas:TPSea814_000641
ko:K01835	tpas:TPSea814_000642
ko:K02342	tpas:TPSea814_000643
ko:K04566	tpas:TPSea814_000644
ko:K01875	tpas:TPSea814_000647
ko:K07042	tpas:TPSea814_000650
ko:K11072	tpas:TPSea814_000652
ko:K11071	tpas:TPSea814_000653
ko:K11070	tpas:TPSea814_000645
ko:K11069	tpas:TPSea814_000655
ko:K03563	tpas:TPSea814_000657
ko:K13626	tpas:TPSea814_000658
ko:K02397	tpas:TPSea814_000659
ko:K02396	tpas:TPSea814_000660
ko:K01624	tpas:TPSea814_000662
ko:K00876	tpas:TPSea814_000667
ko:K02221	tpas:TPSea814_000668
ko:K02337	tpas:TPSea814_000669
ko:K01921	tpas:TPSea814_000670
ko:K01880	tpas:TPSea814_000672
ko:K01885	tpas:TPSea814_000673
ko:K01409	tpas:TPSea814_000680
ko:K01775	tpas:TPSea814_000681
ko:K02427	tpas:TPSea814_000682
ko:K02523	tpas:TPSea814_000683
ko:K10540	tpas:TPSea814_000684
ko:K10542	tpas:TPSea814_000685
ko:K10541	tpas:TPSea814_000686
ko:K03655	tpas:TPSea814_000687
ko:K03977	tpas:TPSea814_000689
ko:K05896	tpas:TPSea814_000691
ko:K01934	tpas:TPSea814_000694
ko:K07462	tpas:TPSea814_000704
ko:K05366	tpas:TPSea814_000705
ko:K02405	tpas:TPSea814_000709
ko:K09749	tpas:TPSea814_000710
ko:K04562	tpas:TPSea814_000712
ko:K02400	tpas:TPSea814_000714
ko:K02401	tpas:TPSea814_000715
ko:K02420	tpas:TPSea814_000717
ko:K02419	tpas:TPSea814_000718
ko:K02418	tpas:TPSea814_000719
ko:K02417	tpas:TPSea814_000720
ko:K02416	tpas:TPSea814_000721
ko:K02415	tpas:TPSea814_000722
ko:K02557	tpas:TPSea814_000724
ko:K02556	tpas:TPSea814_000725
ko:K02385	tpas:TPSea814_000726
ko:K02390	tpas:TPSea814_000727
ko:K02389	tpas:TPSea814_000728
ko:K00995	tpas:TPSea814_000730
ko:K01491	tpas:TPSea814_000732
ko:K03784	tpas:TPSea814_000734
ko:K00266	tpas:TPSea814_000735
ko:K00528	tpas:TPSea814_000736
ko:K09710	tpas:TPSea814_000738
ko:K00969	tpas:TPSea814_000741
ko:K02899	tpas:TPSea814_000743
ko:K07584	tpas:TPSea814_000744
ko:K02888	tpas:TPSea814_000745
ko:K01006	tpas:TPSea814_000746
ko:K06168	tpas:TPSea814_000754
ko:K02806	tpas:TPSea814_000755
ko:K00604	tpas:TPSea814_000756
ko:K01462	tpas:TPSea814_000757
ko:K02970	tpas:TPSea814_000758
ko:K03587	tpas:TPSea814_000760
ko:K03798	tpas:TPSea814_000765
ko:K02355	tpas:TPSea814_000767
ko:K03324	tpas:TPSea814_000771
ko:K03060	tpas:TPSea814_000701
ko:K01768	tpas:TPSea814_000485
ko:K01985	tpas:TPSea814_00r05407
ko:K01985	tpas:TPSea814_00r05409
ko:K18707	tpas:TPSea814_000269
ko:K18682	tpas:TPSea814_001018
ko:K01977	tpas:TPSea814_00r05411
ko:K01977	tpas:TPSea814_00r05415
ko:K03497	tpas:TPSea814_000271
ko:K03496	tpas:TPSea814_000272
ko:K03111	tpas:TPSea814_000310
ko:K03111	tpas:TPSea814_000062
ko:K00849	tpas:TPSea814_000418
ko:K14742	tpas:TPSea814_000876
ko:K03526	tpas:TPSea814_000446
ko:K06867	tpas:TPSea814_000502
ko:K06867	tpas:TPSea814_000835
ko:K04749	tpas:TPSea814_000540
ko:K02806	tpas:TPSea814_000085
ko:K03087	tpas:TPSea814_001012
ko:K02035	tpas:TPSea814_000585
ko:K11751	tpas:TPSea814_000104
ko:K00525	tpas:TPSea814_001008
ko:K18672	tpas:TPSea814_000826
ko:K03498	tpas:TPSea814_000140
ko:K02335	tpas:TPSea814_000105
ko:K01493	tpas:TPSea814_000274
ko:K02316	tpas:TPSea814_000492
ko:K03553	tpas:TPSea814_000692
ko:K06223	tpas:TPSea814_000810
ko:K01520	tpas:TPSea814_000885
ko:K02314	tpas:TPSea814_000058
ko:K03465	tpas:TPSea814_001007
ko:K02027	tpas:TPSea814_000737
ko:K16783	tpas:TPSea814_000226
ko:K02383	tpas:TPSea814_000567
ko:K00526	tpas:TPSea814_000053
ko:K21929	tpas:TPSea814_000229
ko:K14230	tpas:TPSea814_00t05389
ko:K03595	tpas:TPSea814_000541
