ko:K06896	efd:EFD32_0770
ko:K03046	efd:EFD32_2791
ko:K03043	efd:EFD32_2792
ko:K03524	efd:EFD32_2796
ko:K03734	efd:EFD32_2804
ko:K03885	efd:EFD32_2806
ko:K00796	efd:EFD32_2813
ko:K01495	efd:EFD32_2815
ko:K00950	efd:EFD32_2816
ko:K01633	efd:EFD32_2817
ko:K08303	efd:EFD32_2833
ko:K03696	efd:EFD32_2836
ko:K02761	efd:EFD32_2839
ko:K01875	efd:EFD32_2843
ko:K06942	efd:EFD32_2847
ko:K03501	efd:EFD32_2851
ko:K09703	efd:EFD32_2830
ko:K02781	efd:EFD32_2855
ko:K03495	efd:EFD32_2861
ko:K03650	efd:EFD32_2862
ko:K05964	efd:EFD32_2869
ko:K01643	efd:EFD32_2870
ko:K01644	efd:EFD32_2871
ko:K01646	efd:EFD32_2872
ko:K01910	efd:EFD32_2873
ko:K03300	efd:EFD32_2878
ko:K06915	efd:EFD32_2886
ko:K03217	efd:EFD32_2888
ko:K03536	efd:EFD32_2889
ko:K02914	efd:EFD32_2890
ko:K03210	efd:EFD32_pB0068
ko:K02313	efd:EFD32_0001
ko:K02338	efd:EFD32_0002
ko:K03629	efd:EFD32_0004
ko:K02470	efd:EFD32_0005
ko:K02469	efd:EFD32_0006
ko:K02990	efd:EFD32_0007
ko:K02939	efd:EFD32_0011
ko:K01223	efd:EFD32_0013
ko:K01939	efd:EFD32_0016
ko:K14155	efd:EFD32_0029
ko:K14205	efd:EFD32_0031
ko:K00147	efd:EFD32_0037
ko:K00931	efd:EFD32_0038
ko:K04485	efd:EFD32_0040
ko:K01770	efd:EFD32_0042
ko:K00640	efd:EFD32_0044
ko:K01883	efd:EFD32_0045
ko:K11145	efd:EFD32_0046
ko:K03218	efd:EFD32_0047
ko:K06962	efd:EFD32_0048
ko:K03091	efd:EFD32_0049
ko:K00919	efd:EFD32_0051
ko:K09817	efd:EFD32_0053
ko:K09816	efd:EFD32_0054
ko:K04042	efd:EFD32_0056
ko:K15580	efd:EFD32_0060
ko:K03550	efd:EFD32_0064
ko:K03551	efd:EFD32_0065
ko:K02963	efd:EFD32_0009
ko:K03931	efd:EFD32_0067
ko:K01752	efd:EFD32_0091
ko:K01752	efd:EFD32_0092
ko:K01875	efd:EFD32_0093
ko:K03402	efd:EFD32_0095
ko:K03402	efd:EFD32_0096
ko:K00611	efd:EFD32_0098
ko:K00926	efd:EFD32_0099
ko:K01951	efd:EFD32_0117
ko:K02529	efd:EFD32_0122
ko:K00756	efd:EFD32_0123
ko:K07335	efd:EFD32_0126
ko:K07335	efd:EFD32_0127
ko:K02057	efd:EFD32_0129
ko:K02057	efd:EFD32_0130
ko:K01839	efd:EFD32_0132
ko:K02016	efd:EFD32_0135
ko:K02013	efd:EFD32_0136
ko:K02015	efd:EFD32_0137
ko:K02015	efd:EFD32_0138
ko:K01807	efd:EFD32_0142
ko:K02950	efd:EFD32_0143
ko:K02992	efd:EFD32_0144
ko:K02355	efd:EFD32_0145
ko:K02358	efd:EFD32_0146
ko:K00868	efd:EFD32_0147
ko:K00574	efd:EFD32_0148
ko:K02946	efd:EFD32_0150
ko:K02906	efd:EFD32_0151
ko:K02926	efd:EFD32_0152
ko:K02892	efd:EFD32_0153
ko:K02886	efd:EFD32_0154
ko:K02965	efd:EFD32_0155
ko:K02890	efd:EFD32_0156
ko:K02982	efd:EFD32_0157
ko:K02878	efd:EFD32_0158
ko:K02904	efd:EFD32_0159
ko:K02961	efd:EFD32_0160
ko:K02874	efd:EFD32_0161
ko:K02895	efd:EFD32_0162
ko:K02931	efd:EFD32_0163
ko:K02954	efd:EFD32_0164
ko:K02994	efd:EFD32_0165
ko:K02933	efd:EFD32_0166
ko:K02881	efd:EFD32_0167
ko:K02988	efd:EFD32_0168
ko:K02907	efd:EFD32_0169
ko:K02876	efd:EFD32_0170
ko:K03076	efd:EFD32_0171
ko:K02518	efd:EFD32_0173
ko:K02952	efd:EFD32_0174
ko:K02948	efd:EFD32_0175
ko:K03040	efd:EFD32_0176
ko:K02879	efd:EFD32_0177
ko:K06173	efd:EFD32_0183
ko:K03311	efd:EFD32_0185
ko:K06966	efd:EFD32_0187
ko:K12410	efd:EFD32_0191
ko:K01056	efd:EFD32_0197
ko:K03723	efd:EFD32_0198
ko:K07571	efd:EFD32_0203
ko:K04075	efd:EFD32_0204
ko:K00760	efd:EFD32_0205
ko:K03798	efd:EFD32_0206
ko:K04083	efd:EFD32_0207
ko:K04567	efd:EFD32_0209
ko:K01223	efd:EFD32_0212
ko:K13530	efd:EFD32_0215
ko:K13531	efd:EFD32_0216
ko:K01246	efd:EFD32_0217
ko:K06950	efd:EFD32_0218
ko:K00208	efd:EFD32_0221
ko:K09458	efd:EFD32_0222
ko:K02372	efd:EFD32_0223
ko:K02356	efd:EFD32_0226
ko:K01223	efd:EFD32_0230
ko:K02761	efd:EFD32_0231
ko:K15975	efd:EFD32_0293
ko:K00928	efd:EFD32_0302
ko:K04487	efd:EFD32_0305
ko:K07341	efd:EFD32_0313
ko:K00926	efd:EFD32_0320
ko:K00549	efd:EFD32_0327
ko:K07090	efd:EFD32_0385
ko:K07106	efd:EFD32_0390
ko:K04564	efd:EFD32_0394
ko:K01778	efd:EFD32_0395
ko:K07507	efd:EFD32_0398
ko:K03744	efd:EFD32_0399
ko:K06872	efd:EFD32_0400
ko:K04758	efd:EFD32_0405
ko:K04759	efd:EFD32_0406
ko:K02787	efd:EFD32_0428
ko:K02788	efd:EFD32_0428
ko:K01223	efd:EFD32_0211
ko:K01304	efd:EFD32_0334
ko:K03315	efd:EFD32_0335
ko:K00009	efd:EFD32_0344
ko:K02003	efd:EFD32_0348
ko:K01625	efd:EFD32_0355
ko:K00874	efd:EFD32_0356
ko:K01815	efd:EFD32_0357
ko:K15532	efd:EFD32_0359
ko:K00848	efd:EFD32_0364
ko:K03534	efd:EFD32_0367
ko:K03305	efd:EFD32_0371
ko:K01661	efd:EFD32_0376
ko:K01911	efd:EFD32_0377
ko:K02551	efd:EFD32_0379
ko:K06131	efd:EFD32_0446
ko:K01866	efd:EFD32_0447
ko:K03315	efd:EFD32_0450
ko:K03800	efd:EFD32_0463
ko:K07078	efd:EFD32_0468
ko:K01442	efd:EFD32_0436
ko:K15975	efd:EFD32_0479
ko:K06999	efd:EFD32_0480
ko:K05847	efd:EFD32_0493
ko:K03402	efd:EFD32_0495
ko:K06180	efd:EFD32_0498
ko:K02503	efd:EFD32_0506
ko:K03439	efd:EFD32_0510
ko:K02769	efd:EFD32_0513
ko:K02770	efd:EFD32_0513
ko:K02837	efd:EFD32_0520
ko:K03545	efd:EFD32_0533
ko:K02768	efd:EFD32_0535
ko:K02769	efd:EFD32_0535
ko:K02770	efd:EFD32_0535
ko:K03657	efd:EFD32_0539
ko:K01972	efd:EFD32_0540
ko:K02435	efd:EFD32_0542
ko:K02434	efd:EFD32_0544
ko:K03215	efd:EFD32_0546
ko:K13252	efd:EFD32_0550
ko:K10536	efd:EFD32_0552
ko:K00926	efd:EFD32_0553
ko:K03811	efd:EFD32_0555
ko:K06956	efd:EFD32_0560
ko:K07146	efd:EFD32_0564
ko:K01534	efd:EFD32_0573
ko:K07507	efd:EFD32_0574
ko:K03702	efd:EFD32_0577
ko:K03701	efd:EFD32_0578
ko:K06958	efd:EFD32_0580
ko:K01358	efd:EFD32_0585
ko:K01126	efd:EFD32_0591
ko:K03704	efd:EFD32_0593
ko:K03092	efd:EFD32_0594
ko:K00789	efd:EFD32_0596
ko:K02003	efd:EFD32_0604
ko:K07139	efd:EFD32_0606
ko:K01869	efd:EFD32_0611
ko:K02029	efd:EFD32_0618
ko:K15580	efd:EFD32_0619
ko:K12308	efd:EFD32_0624
ko:K02897	efd:EFD32_0631
ko:K00876	efd:EFD32_0635
ko:K02761	efd:EFD32_0650
ko:K01465	efd:EFD32_0652
ko:K01042	efd:EFD32_0653
ko:K00874	efd:EFD32_0655
ko:K09768	efd:EFD32_0657
ko:K01929	efd:EFD32_0659
ko:K05592	efd:EFD32_0660
ko:K00997	efd:EFD32_0661
ko:K01775	efd:EFD32_0662
ko:K03100	efd:EFD32_0666
ko:K01421	efd:EFD32_0671
ko:K05846	efd:EFD32_0675
ko:K05845	efd:EFD32_0676
ko:K05846	efd:EFD32_0677
ko:K05847	efd:EFD32_0678
ko:K07568	efd:EFD32_0680
ko:K03549	efd:EFD32_0684
ko:K00859	efd:EFD32_0691
ko:K07738	efd:EFD32_0692
ko:K08317	efd:EFD32_0707
ko:K00773	efd:EFD32_0708
ko:K03210	efd:EFD32_0709
ko:K04072	efd:EFD32_0711
ko:K00286	efd:EFD32_0771
ko:K02888	efd:EFD32_0783
ko:K02899	efd:EFD32_0785
ko:K13256	efd:EFD32_0786
ko:K03625	efd:EFD32_0792
ko:K01491	efd:EFD32_0793
ko:K03601	efd:EFD32_0794
ko:K03602	efd:EFD32_0795
ko:K13789	efd:EFD32_0796
ko:K06442	efd:EFD32_0797
ko:K03402	efd:EFD32_0798
ko:K03631	efd:EFD32_0799
ko:K03284	efd:EFD32_0801
ko:K03925	efd:EFD32_0802
ko:K03438	efd:EFD32_0803
ko:K01000	efd:EFD32_0806
ko:K01925	efd:EFD32_0807
ko:K02563	efd:EFD32_0808
ko:K03589	efd:EFD32_0809
ko:K03590	efd:EFD32_0810
ko:K03531	efd:EFD32_0811
ko:K06997	efd:EFD32_0812
ko:K09772	efd:EFD32_0813
ko:K04074	efd:EFD32_0816
ko:K01870	efd:EFD32_0817
ko:K00036	efd:EFD32_0818
ko:K06206	efd:EFD32_0821
ko:K01921	efd:EFD32_0658
ko:K15580	efd:EFD32_0718
ko:K15581	efd:EFD32_0720
ko:K02520	efd:EFD32_0725
ko:K02916	efd:EFD32_0726
ko:K02887	efd:EFD32_0727
ko:K08987	efd:EFD32_0729
ko:K03827	efd:EFD32_0730
ko:K01874	efd:EFD32_0741
ko:K03657	efd:EFD32_0744
ko:K03424	efd:EFD32_0745
ko:K05985	efd:EFD32_0746
ko:K02528	efd:EFD32_0747
ko:K01734	efd:EFD32_0750
ko:K03648	efd:EFD32_0759
ko:K06925	efd:EFD32_0761
ko:K02529	efd:EFD32_0765
ko:K02760	efd:EFD32_0825
ko:K02761	efd:EFD32_0826
ko:K02760	efd:EFD32_0830
ko:K02759	efd:EFD32_0831
ko:K02761	efd:EFD32_0832
ko:K09773	efd:EFD32_0839
ko:K14205	efd:EFD32_0840
ko:K00940	efd:EFD32_0848
ko:K09758	efd:EFD32_0849
ko:K06901	efd:EFD32_0854
ko:K02337	efd:EFD32_0857
ko:K00850	efd:EFD32_0858
ko:K00873	efd:EFD32_0859
ko:K07040	efd:EFD32_0860
ko:K02911	efd:EFD32_0861
ko:K15580	efd:EFD32_0872
ko:K00849	efd:EFD32_0880
ko:K00965	efd:EFD32_0882
ko:K02529	efd:EFD32_0883
ko:K09779	efd:EFD32_0903
ko:K00782	efd:EFD32_0918
ko:K03100	efd:EFD32_0919
ko:K01890	efd:EFD32_0924
ko:K10040	efd:EFD32_0926
ko:K10039	efd:EFD32_0927
ko:K01776	efd:EFD32_0929
ko:K07095	efd:EFD32_0931
ko:K05823	efd:EFD32_0942
ko:K07010	efd:EFD32_0947
ko:K06885	efd:EFD32_0951
ko:K01937	efd:EFD32_0955
ko:K05366	efd:EFD32_0956
ko:K07444	efd:EFD32_0960
ko:K01299	efd:EFD32_0961
ko:K10773	efd:EFD32_0963
ko:K03710	efd:EFD32_0964
ko:K02760	efd:EFD32_0967
ko:K02761	efd:EFD32_0968
ko:K09767	efd:EFD32_0973
ko:K01624	efd:EFD32_0975
ko:K00790	efd:EFD32_0976
ko:K03628	efd:EFD32_0977
ko:K00847	efd:EFD32_0981
ko:K07173	efd:EFD32_0984
ko:K00133	efd:EFD32_0985
ko:K01714	efd:EFD32_0986
ko:K06188	efd:EFD32_0994
ko:K07089	efd:EFD32_1000
ko:K07447	efd:EFD32_1005
ko:K01652	efd:EFD32_1014
ko:K01575	efd:EFD32_1015
ko:K02053	efd:EFD32_1020
ko:K01486	efd:EFD32_1023
ko:K03734	efd:EFD32_1026
ko:K01060	efd:EFD32_1037
ko:K05349	efd:EFD32_1039
ko:K02529	efd:EFD32_1041
ko:K06969	efd:EFD32_1067
ko:K09748	efd:EFD32_1071
ko:K02600	efd:EFD32_1072
ko:K07742	efd:EFD32_1073
ko:K02519	efd:EFD32_1075
ko:K02834	efd:EFD32_1076
ko:K00384	efd:EFD32_1152
ko:K01531	efd:EFD32_1164
ko:K00161	efd:EFD32_1165
ko:K00162	efd:EFD32_1166
ko:K00627	efd:EFD32_1167
ko:K00382	efd:EFD32_1168
ko:K00005	efd:EFD32_1170
ko:K05878	efd:EFD32_1172
ko:K05879	efd:EFD32_1173
ko:K03704	efd:EFD32_1180
ko:K06193	efd:EFD32_1188
ko:K01872	efd:EFD32_1192
ko:K06967	efd:EFD32_1193
ko:K03752	efd:EFD32_1198
ko:K01889	efd:EFD32_0923
ko:K02909	efd:EFD32_0978
ko:K11753	efd:EFD32_1096
ko:K05837	efd:EFD32_1103
ko:K01531	efd:EFD32_1107
ko:K03705	efd:EFD32_1109
ko:K03687	efd:EFD32_1110
ko:K04043	efd:EFD32_1111
ko:K03686	efd:EFD32_1113
ko:K06959	efd:EFD32_1115
ko:K14260	efd:EFD32_1117
ko:K01443	efd:EFD32_1120
ko:K02003	efd:EFD32_1123
ko:K03710	efd:EFD32_1131
ko:K03466	efd:EFD32_1138
ko:K00334	efd:EFD32_1201
ko:K03750	efd:EFD32_1204
ko:K03637	efd:EFD32_1205
ko:K03639	efd:EFD32_1206
ko:K02020	efd:EFD32_1210
ko:K02018	efd:EFD32_1211
ko:K01534	efd:EFD32_1213
ko:K09888	efd:EFD32_1215
ko:K07456	efd:EFD32_1217
ko:K03671	efd:EFD32_1218
ko:K03703	efd:EFD32_1219
ko:K07007	efd:EFD32_1227
ko:K00262	efd:EFD32_1228
ko:K01810	efd:EFD32_1229
ko:K03088	efd:EFD32_1242
ko:K04041	efd:EFD32_1245
ko:K01586	efd:EFD32_1246
ko:K15580	efd:EFD32_1254
ko:K02802	efd:EFD32_1257
ko:K02803	efd:EFD32_1257
ko:K02804	efd:EFD32_1257
ko:K03086	efd:EFD32_1268
ko:K00243	efd:EFD32_1270
ko:K00134	efd:EFD32_1272
ko:K03979	efd:EFD32_1273
ko:K02761	efd:EFD32_1275
ko:K05896	efd:EFD32_1282
ko:K06024	efd:EFD32_1283
ko:K06178	efd:EFD32_1284
ko:K03654	efd:EFD32_1288
ko:K00945	efd:EFD32_1290
ko:K02945	efd:EFD32_1291
ko:K03977	efd:EFD32_1292
ko:K03530	efd:EFD32_1293
ko:K00215	efd:EFD32_1299
ko:K00014	efd:EFD32_1304
ko:K01735	efd:EFD32_1306
ko:K01736	efd:EFD32_1307
ko:K00800	efd:EFD32_1309
ko:K00891	efd:EFD32_1310
ko:K15738	efd:EFD32_1318
ko:K01356	efd:EFD32_1322
ko:K00615	efd:EFD32_1324
ko:K01738	efd:EFD32_1327
ko:K03781	efd:EFD32_1337
ko:K01669	efd:EFD32_1338
ko:K01193	efd:EFD32_1342
ko:K03484	efd:EFD32_1343
ko:K06131	efd:EFD32_1347
ko:K04069	efd:EFD32_1351
ko:K00656	efd:EFD32_1352
ko:K02621	efd:EFD32_1353
ko:K02622	efd:EFD32_1354
ko:K06929	efd:EFD32_1355
ko:K04030	efd:EFD32_1356
ko:K04023	efd:EFD32_1357
ko:K03736	efd:EFD32_1366
ko:K03735	efd:EFD32_1367
ko:K04019	efd:EFD32_1368
ko:K04031	efd:EFD32_1371
ko:K04029	efd:EFD32_1374
ko:K02013	efd:EFD32_1375
ko:K02015	efd:EFD32_1376
ko:K02016	efd:EFD32_1377
ko:K08591	efd:EFD32_1378
ko:K03706	efd:EFD32_1380
ko:K03667	efd:EFD32_1381
ko:K01419	efd:EFD32_1382
ko:K03733	efd:EFD32_1383
ko:K04094	efd:EFD32_1384
ko:K03168	efd:EFD32_1385
ko:K04096	efd:EFD32_1387
ko:K03470	efd:EFD32_1388
ko:K14540	efd:EFD32_1389
ko:K00077	efd:EFD32_1390
ko:K09699	efd:EFD32_1393
ko:K00167	efd:EFD32_1394
ko:K00166	efd:EFD32_1395
ko:K00382	efd:EFD32_1396
ko:K04026	efd:EFD32_1365
ko:K15973	efd:EFD32_1403
ko:K15975	efd:EFD32_1404
ko:K06999	efd:EFD32_1405
ko:K02003	efd:EFD32_1408
ko:K03100	efd:EFD32_1413
ko:K11068	efd:EFD32_1421
ko:K00759	efd:EFD32_1423
ko:K07462	efd:EFD32_1424
ko:K07124	efd:EFD32_1426
ko:K06960	efd:EFD32_1429
ko:K02959	efd:EFD32_1430
ko:K03106	efd:EFD32_1434
ko:K07636	efd:EFD32_1438
ko:K02040	efd:EFD32_1439
ko:K00762	efd:EFD32_1446
ko:K01591	efd:EFD32_1447
ko:K01955	efd:EFD32_1450
ko:K01956	efd:EFD32_1451
ko:K01465	efd:EFD32_1452
ko:K00609	efd:EFD32_1453
ko:K02825	efd:EFD32_1455
ko:K06180	efd:EFD32_1456
ko:K03101	efd:EFD32_1457
ko:K01938	efd:EFD32_1459
ko:K03704	efd:EFD32_1460
ko:K03785	efd:EFD32_1464
ko:K01952	efd:EFD32_1517
ko:K01923	efd:EFD32_1518
ko:K01589	efd:EFD32_1519
ko:K01588	efd:EFD32_1520
ko:K00826	efd:EFD32_1525
ko:K12308	efd:EFD32_1535
ko:K02082	efd:EFD32_1538
ko:K03710	efd:EFD32_1539
ko:K06167	efd:EFD32_1545
ko:K07813	efd:EFD32_1549
ko:K07707	efd:EFD32_1550
ko:K02884	efd:EFD32_1561
ko:K00554	efd:EFD32_1562
ko:K02860	efd:EFD32_1563
ko:K03322	efd:EFD32_1564
ko:K01126	efd:EFD32_1567
ko:K03797	efd:EFD32_1414
ko:K01151	efd:EFD32_1468
ko:K01866	efd:EFD32_1471
ko:K02529	efd:EFD32_1475
ko:K00963	efd:EFD32_1479
ko:K00057	efd:EFD32_1480
ko:K13292	efd:EFD32_1481
ko:K08972	efd:EFD32_1484
ko:K02039	efd:EFD32_1487
ko:K02036	efd:EFD32_1488
ko:K02036	efd:EFD32_1489
ko:K02038	efd:EFD32_1490
ko:K02037	efd:EFD32_1491
ko:K02040	efd:EFD32_1492
ko:K09811	efd:EFD32_1493
ko:K09812	efd:EFD32_1494
ko:K02836	efd:EFD32_1495
ko:K03070	efd:EFD32_1496
ko:K02760	efd:EFD32_1501
ko:K01945	efd:EFD32_1510
ko:K00602	efd:EFD32_1511
ko:K11175	efd:EFD32_1512
ko:K01933	efd:EFD32_1513
ko:K00764	efd:EFD32_1514
ko:K01952	efd:EFD32_1515
ko:K01952	efd:EFD32_1516
ko:K06890	efd:EFD32_1568
ko:K01924	efd:EFD32_1570
ko:K08998	efd:EFD32_1575
ko:K03978	efd:EFD32_1577
ko:K03544	efd:EFD32_1578
ko:K12700	efd:EFD32_1582
ko:K02440	efd:EFD32_1588
ko:K00864	efd:EFD32_1590
ko:K01129	efd:EFD32_1615
ko:K01689	efd:EFD32_1617
ko:K01803	efd:EFD32_1618
ko:K00927	efd:EFD32_1619
ko:K00134	efd:EFD32_1620
ko:K00868	efd:EFD32_1625
ko:K01876	efd:EFD32_1626
ko:K01892	efd:EFD32_1627
ko:K07560	efd:EFD32_1628
ko:K09761	efd:EFD32_1630
ko:K02687	efd:EFD32_1631
ko:K03652	efd:EFD32_1633
ko:K07478	efd:EFD32_1634
ko:K00925	efd:EFD32_1638
ko:K01772	efd:EFD32_1644
ko:K03704	efd:EFD32_1647
ko:K09946	efd:EFD32_1692
ko:K06941	efd:EFD32_1705
ko:K03466	efd:EFD32_1709
ko:K03885	efd:EFD32_1711
ko:K02548	efd:EFD32_1712
ko:K00426	efd:EFD32_1716
ko:K00425	efd:EFD32_1717
ko:K13653	efd:EFD32_1718
ko:K00566	efd:EFD32_1724
ko:K00948	efd:EFD32_1727
ko:K02073	efd:EFD32_1734
ko:K02072	efd:EFD32_1735
ko:K02071	efd:EFD32_1736
ko:K00820	efd:EFD32_1742
ko:K03431	efd:EFD32_1746
ko:K03737	efd:EFD32_1749
ko:K01915	efd:EFD32_1751
ko:K03665	efd:EFD32_1753
ko:K00791	efd:EFD32_1754
ko:K01126	efd:EFD32_1755
ko:K04487	efd:EFD32_1726
ko:K00991	efd:EFD32_1763
ko:K00067	efd:EFD32_1779
ko:K01790	efd:EFD32_1781
ko:K00973	efd:EFD32_1782
ko:K07058	efd:EFD32_1787
ko:K01265	efd:EFD32_1788
ko:K06973	efd:EFD32_1797
ko:K02818	efd:EFD32_1800
ko:K02819	efd:EFD32_1800
ko:K07718	efd:EFD32_1806
ko:K01867	efd:EFD32_1816
ko:K02529	efd:EFD32_1826
ko:K00012	efd:EFD32_1891
ko:K02003	efd:EFD32_1920
ko:K05311	efd:EFD32_1621
ko:K01442	efd:EFD32_1847
ko:K14205	efd:EFD32_1849
ko:K03596	efd:EFD32_1979
ko:K03695	efd:EFD32_1982
ko:K15977	efd:EFD32_1983
ko:K01756	efd:EFD32_1984
ko:K01589	efd:EFD32_1985
ko:K16169	efd:EFD32_1986
ko:K03816	efd:EFD32_1987
ko:K01893	efd:EFD32_1993
ko:K01881	efd:EFD32_2001
ko:K11749	efd:EFD32_2002
ko:K09014	efd:EFD32_2011
ko:K16509	efd:EFD32_2236
ko:K03699	efd:EFD32_0519
ko:K11717	efd:EFD32_2013
ko:K09015	efd:EFD32_2014
ko:K09013	efd:EFD32_2015
ko:K02838	efd:EFD32_2016
ko:K09903	efd:EFD32_2017
ko:K02357	efd:EFD32_2018
ko:K02967	efd:EFD32_2019
ko:K03826	efd:EFD32_2020
ko:K03437	efd:EFD32_2021
ko:K01512	efd:EFD32_2022
ko:K03217	efd:EFD32_2023
ko:K01879	efd:EFD32_2025
ko:K01878	efd:EFD32_2026
ko:K03584	efd:EFD32_2027
ko:K07042	efd:EFD32_2030
ko:K07037	efd:EFD32_2031
ko:K09117	efd:EFD32_2033
ko:K02970	efd:EFD32_2034
ko:K09773	efd:EFD32_2036
ko:K00872	efd:EFD32_2037
ko:K03763	efd:EFD32_2000
ko:K01733	efd:EFD32_2038
ko:K00003	efd:EFD32_2039
ko:K00286	efd:EFD32_2041
ko:K00364	efd:EFD32_2046
ko:K07106	efd:EFD32_2053
ko:K06153	efd:EFD32_2056
ko:K07220	efd:EFD32_2058
ko:K03306	efd:EFD32_2059
ko:K02968	efd:EFD32_2060
ko:K00077	efd:EFD32_2062
ko:K02340	efd:EFD32_2063
ko:K02237	efd:EFD32_2066
ko:K00954	efd:EFD32_2068
ko:K03588	efd:EFD32_2074
ko:K03654	efd:EFD32_2076
ko:K06207	efd:EFD32_2077
ko:K06950	efd:EFD32_2087
ko:K01887	efd:EFD32_2088
ko:K03789	efd:EFD32_2090
ko:K03789	efd:EFD32_2091
ko:K06872	efd:EFD32_2096
ko:K01091	efd:EFD32_2098
ko:K00981	efd:EFD32_2101
ko:K00806	efd:EFD32_2102
ko:K02072	efd:EFD32_2104
ko:K02071	efd:EFD32_2105
ko:K02437	efd:EFD32_2107
ko:K05837	efd:EFD32_2109
ko:K00761	efd:EFD32_2119
ko:K00600	efd:EFD32_2120
ko:K07566	efd:EFD32_2121
ko:K02493	efd:EFD32_2122
ko:K02835	efd:EFD32_2123
ko:K03737	efd:EFD32_2128
ko:K00266	efd:EFD32_2129
ko:K00528	efd:EFD32_2130
ko:K07402	efd:EFD32_2132
ko:K01008	efd:EFD32_2136
ko:K07141	efd:EFD32_2138
ko:K07402	efd:EFD32_2140
ko:K02073	efd:EFD32_2103
ko:K02019	efd:EFD32_2141
ko:K00926	efd:EFD32_2144
ko:K01751	efd:EFD32_2148
ko:K01464	efd:EFD32_2149
ko:K12527	efd:EFD32_2150
ko:K01928	efd:EFD32_2154
ko:K01809	efd:EFD32_2158
ko:K00942	efd:EFD32_2164
ko:K01223	efd:EFD32_2165
ko:K01118	efd:EFD32_2168
ko:K02781	efd:EFD32_2170
ko:K00790	efd:EFD32_2172
ko:K02114	efd:EFD32_2173
ko:K02112	efd:EFD32_2174
ko:K02115	efd:EFD32_2175
ko:K02111	efd:EFD32_2176
ko:K02113	efd:EFD32_2177
ko:K02109	efd:EFD32_2178
ko:K02110	efd:EFD32_2179
ko:K02108	efd:EFD32_2180
ko:K03664	efd:EFD32_2181
ko:K12573	efd:EFD32_2182
ko:K03928	efd:EFD32_2183
ko:K03075	efd:EFD32_2184
ko:K06975	efd:EFD32_2185
ko:K00763	efd:EFD32_2189
ko:K04077	efd:EFD32_2194
ko:K04078	efd:EFD32_2195
ko:K01926	efd:EFD32_2198
ko:K06158	efd:EFD32_2199
ko:K02000	efd:EFD32_2201
ko:K03547	efd:EFD32_2310
ko:K00655	efd:EFD32_2311
ko:K02647	efd:EFD32_2205
ko:K00865	efd:EFD32_2206
ko:K03581	efd:EFD32_2221
ko:K03216	efd:EFD32_2223
ko:K00563	efd:EFD32_2224
ko:K06213	efd:EFD32_2226
