ko:K19302	hpyg:HPOKI673_04330
ko:K12049	hpyg:HPOKI673_07820
ko:K12050	hpyg:HPOKI673_07825
ko:K12051	hpyg:HPOKI673_07830
ko:K09747	hpyg:HPOKI673_07845
ko:K01579	hpyg:HPOKI673_07850
ko:K03694	hpyg:HPOKI673_07855
ko:K06891	hpyg:HPOKI673_07860
ko:K01935	hpyg:HPOKI673_07875
ko:K03110	hpyg:HPOKI673_03865
ko:K06940	hpyg:HPOKI673_03870
ko:K03639	hpyg:HPOKI673_03890
ko:K03752	hpyg:HPOKI673_03895
ko:K02401	hpyg:HPOKI673_03900
ko:K01448	hpyg:HPOKI673_03910
ko:K00459	hpyg:HPOKI673_03915
ko:K01866	hpyg:HPOKI673_03920
ko:K03060	hpyg:HPOKI673_03930
ko:K09903	hpyg:HPOKI673_03935
ko:K11782	hpyg:HPOKI673_03940
ko:K01682	hpyg:HPOKI673_03945
ko:K03634	hpyg:HPOKI673_03970
ko:K03070	hpyg:HPOKI673_03975
ko:K02004	hpyg:HPOKI673_03980
ko:K01154	hpyg:HPOKI673_04000
ko:K01534	hpyg:HPOKI673_04005
ko:K07391	hpyg:HPOKI673_04010
ko:K01462	hpyg:HPOKI673_04015
ko:K01358	hpyg:HPOKI673_04020
ko:K03545	hpyg:HPOKI673_04025
ko:K15846	hpyg:HPOKI673_04035
ko:K03637	hpyg:HPOKI673_04045
ko:K03831	hpyg:HPOKI673_04050
ko:K03635	hpyg:HPOKI673_04055
ko:K03636	hpyg:HPOKI673_04060
ko:K01497	hpyg:HPOKI673_04065
ko:K14652	hpyg:HPOKI673_04075
ko:K07270	hpyg:HPOKI673_04085
ko:K07043	hpyg:HPOKI673_04090
ko:K00997	hpyg:HPOKI673_04095
ko:K02415	hpyg:HPOKI673_04100
ko:K03625	hpyg:HPOKI673_00005
ko:K02392	hpyg:HPOKI673_00025
ko:K01409	hpyg:HPOKI673_00030
ko:K00097	hpyg:HPOKI673_00040
ko:K03474	hpyg:HPOKI673_00045
ko:K02072	hpyg:HPOKI673_00065
ko:K02071	hpyg:HPOKI673_00070
ko:K04061	hpyg:HPOKI673_00075
ko:K00793	hpyg:HPOKI673_00080
ko:K03424	hpyg:HPOKI673_00085
ko:K08307	hpyg:HPOKI673_00090
ko:K03642	hpyg:HPOKI673_00095
ko:K03270	hpyg:HPOKI673_00100
ko:K09774	hpyg:HPOKI673_00110
ko:K03978	hpyg:HPOKI673_00115
ko:K05515	hpyg:HPOKI673_00125
ko:K02073	hpyg:HPOKI673_00130
ko:K03386	hpyg:HPOKI673_00135
ko:K02016	hpyg:HPOKI673_00140
ko:K03588	hpyg:HPOKI673_00145
ko:K02387	hpyg:HPOKI673_00150
ko:K02388	hpyg:HPOKI673_00155
ko:K02408	hpyg:HPOKI673_00160
ko:K03587	hpyg:HPOKI673_00165
ko:K00413	hpyg:HPOKI673_00185
ko:K00412	hpyg:HPOKI673_00190
ko:K00411	hpyg:HPOKI673_00195
ko:K03723	hpyg:HPOKI673_00200
ko:K11754	hpyg:HPOKI673_00220
ko:K01869	hpyg:HPOKI673_00230
ko:K09792	hpyg:HPOKI673_04370
ko:K03525	hpyg:HPOKI673_04375
ko:K03624	hpyg:HPOKI673_04395
ko:K00748	hpyg:HPOKI673_04400
ko:K04651	hpyg:HPOKI673_04410
ko:K02390	hpyg:HPOKI673_04415
ko:K01521	hpyg:HPOKI673_04420
ko:K03781	hpyg:HPOKI673_04445
ko:K02014	hpyg:HPOKI673_04450
ko:K01159	hpyg:HPOKI673_04455
ko:K03550	hpyg:HPOKI673_04480
ko:K03980	hpyg:HPOKI673_04490
ko:K01883	hpyg:HPOKI673_04495
ko:K02013	hpyg:HPOKI673_04510
ko:K02015	hpyg:HPOKI673_04515
ko:K19157	hpyg:HPOKI673_04530
ko:K15847	hpyg:HPOKI673_04545
ko:K04654	hpyg:HPOKI673_04565
ko:K04653	hpyg:HPOKI673_04570
ko:K04652	hpyg:HPOKI673_04575
ko:K00925	hpyg:HPOKI673_04590
ko:K13788	hpyg:HPOKI673_04595
ko:K02389	hpyg:HPOKI673_04605
ko:K02390	hpyg:HPOKI673_04610
ko:K03657	hpyg:HPOKI673_04625
ko:K15843	hpyg:HPOKI673_04630
ko:K15844	hpyg:HPOKI673_04635
ko:K07226	hpyg:HPOKI673_01700
ko:K01887	hpyg:HPOKI673_01705
ko:K03116	hpyg:HPOKI673_01710
ko:K00942	hpyg:HPOKI673_01715
ko:K02393	hpyg:HPOKI673_01740
ko:K15896	hpyg:HPOKI673_01755
ko:K00912	hpyg:HPOKI673_01760
ko:K01916	hpyg:HPOKI673_01765
ko:K03609	hpyg:HPOKI673_01780
ko:K03608	hpyg:HPOKI673_01785
ko:K04096	hpyg:HPOKI673_01790
ko:K07447	hpyg:HPOKI673_01795
ko:K06180	hpyg:HPOKI673_01820
ko:K07462	hpyg:HPOKI673_01825
ko:K01937	hpyg:HPOKI673_01830
ko:K02409	hpyg:HPOKI673_01840
ko:K02410	hpyg:HPOKI673_01845
ko:K02411	hpyg:HPOKI673_01850
ko:K01662	hpyg:HPOKI673_01855
ko:K03596	hpyg:HPOKI673_01860
ko:K02392	hpyg:HPOKI673_01875
ko:K03761	hpyg:HPOKI673_01880
ko:K03466	hpyg:HPOKI673_01885
ko:K00615	hpyg:HPOKI673_01895
ko:K11753	hpyg:HPOKI673_01900
ko:K06442	hpyg:HPOKI673_01905
ko:K00609	hpyg:HPOKI673_01915
ko:K11085	hpyg:HPOKI673_01925
ko:K02863	hpyg:HPOKI673_06000
ko:K02867	hpyg:HPOKI673_06005
ko:K02601	hpyg:HPOKI673_06010
ko:K03073	hpyg:HPOKI673_06015
ko:K02913	hpyg:HPOKI673_06025
ko:K02358	hpyg:HPOKI673_06030
ko:K07318	hpyg:HPOKI673_06065
ko:K00640	hpyg:HPOKI673_06075
ko:K02110	hpyg:HPOKI673_06090
ko:K00962	hpyg:HPOKI673_06095
ko:K04744	hpyg:HPOKI673_06105
ko:K01945	hpyg:HPOKI673_06115
ko:K01990	hpyg:HPOKI673_06120
ko:K00806	hpyg:HPOKI673_06125
ko:K18930	hpyg:HPOKI673_06130
ko:K01719	hpyg:HPOKI673_06140
ko:K06199	hpyg:HPOKI673_06145
ko:K08311	hpyg:HPOKI673_06160
ko:K00928	hpyg:HPOKI673_06165
ko:K02341	hpyg:HPOKI673_06175
ko:K00796	hpyg:HPOKI673_06180
ko:K09804	hpyg:HPOKI673_06205
ko:K01956	hpyg:HPOKI673_06210
ko:K01455	hpyg:HPOKI673_06215
ko:K01119	hpyg:HPOKI673_06220
ko:K06287	hpyg:HPOKI673_06230
ko:K01872	hpyg:HPOKI673_06235
ko:K09794	hpyg:HPOKI673_06240
ko:K15847	hpyg:HPOKI673_06245
ko:K02963	hpyg:HPOKI673_06260
ko:K03111	hpyg:HPOKI673_06265
ko:K02990	hpyg:HPOKI673_06270
ko:K01733	hpyg:HPOKI673_00570
ko:K03406	hpyg:HPOKI673_00575
ko:K09765	hpyg:HPOKI673_00580
ko:K01119	hpyg:HPOKI673_00600
ko:K07173	hpyg:HPOKI673_00605
ko:K01760	hpyg:HPOKI673_00610
ko:K01738	hpyg:HPOKI673_00615
ko:K04043	hpyg:HPOKI673_00625
ko:K03687	hpyg:HPOKI673_00630
ko:K03705	hpyg:HPOKI673_00635
ko:K01628	hpyg:HPOKI673_00640
ko:K02406	hpyg:HPOKI673_00655
ko:K03168	hpyg:HPOKI673_00660
ko:K01868	hpyg:HPOKI673_00685
ko:K02520	hpyg:HPOKI673_00690
ko:K02916	hpyg:HPOKI673_00695
ko:K02887	hpyg:HPOKI673_00700
ko:K01752	hpyg:HPOKI673_00730
ko:K03837	hpyg:HPOKI673_00735
ko:K01626	hpyg:HPOKI673_00740
ko:K03564	hpyg:HPOKI673_00755
ko:K00782	hpyg:HPOKI673_00760
ko:K18929	hpyg:HPOKI673_00765
ko:K18928	hpyg:HPOKI673_00770
ko:K03303	hpyg:HPOKI673_00775
ko:K03303	hpyg:HPOKI673_00780
ko:K03575	hpyg:HPOKI673_00785
ko:K09477	hpyg:HPOKI673_00790
ko:K00404	hpyg:HPOKI673_00795
ko:K00405	hpyg:HPOKI673_00800
ko:K00407	hpyg:HPOKI673_00805
ko:K00406	hpyg:HPOKI673_00810
ko:K01879	hpyg:HPOKI673_04930
ko:K15633	hpyg:HPOKI673_04940
ko:K02435	hpyg:HPOKI673_04945
ko:K00833	hpyg:HPOKI673_04950
ko:K03770	hpyg:HPOKI673_04955
ko:K03590	hpyg:HPOKI673_04960
ko:K03531	hpyg:HPOKI673_04965
ko:K01585	hpyg:HPOKI673_05095
ko:K15257	hpyg:HPOKI673_05110
ko:K01772	hpyg:HPOKI673_05115
ko:K01874	hpyg:HPOKI673_05120
ko:K00574	hpyg:HPOKI673_05125
ko:K16052	hpyg:HPOKI673_05130
ko:K15846	hpyg:HPOKI673_05165
ko:K01951	hpyg:HPOKI673_05170
ko:K07812	hpyg:HPOKI673_05180
ko:K02503	hpyg:HPOKI673_05195
ko:K03076	hpyg:HPOKI673_06555
ko:K02876	hpyg:HPOKI673_06560
ko:K02988	hpyg:HPOKI673_06565
ko:K02881	hpyg:HPOKI673_06570
ko:K02933	hpyg:HPOKI673_06575
ko:K02994	hpyg:HPOKI673_06580
ko:K02954	hpyg:HPOKI673_06585
ko:K02931	hpyg:HPOKI673_06590
ko:K02895	hpyg:HPOKI673_06595
ko:K02874	hpyg:HPOKI673_06600
ko:K02961	hpyg:HPOKI673_06605
ko:K02904	hpyg:HPOKI673_06610
ko:K02878	hpyg:HPOKI673_06615
ko:K02982	hpyg:HPOKI673_06620
ko:K02890	hpyg:HPOKI673_06625
ko:K02965	hpyg:HPOKI673_06630
ko:K02886	hpyg:HPOKI673_06635
ko:K02892	hpyg:HPOKI673_06640
ko:K02926	hpyg:HPOKI673_06645
ko:K02906	hpyg:HPOKI673_06650
ko:K02946	hpyg:HPOKI673_06655
ko:K07133	hpyg:HPOKI673_06660
ko:K01679	hpyg:HPOKI673_06685
ko:K07787	hpyg:HPOKI673_06705
ko:K03686	hpyg:HPOKI673_06720
ko:K00566	hpyg:HPOKI673_06730
ko:K00969	hpyg:HPOKI673_06740
ko:K07722	hpyg:HPOKI673_06745
ko:K03561	hpyg:HPOKI673_06750
ko:K03559	hpyg:HPOKI673_06755
ko:K03832	hpyg:HPOKI673_06760
ko:K03284	hpyg:HPOKI673_06780
ko:K00927	hpyg:HPOKI673_06785
ko:K00134	hpyg:HPOKI673_06790
ko:K03496	hpyg:HPOKI673_02475
ko:K03168	hpyg:HPOKI673_02495
ko:K03196	hpyg:HPOKI673_02525
ko:K12049	hpyg:HPOKI673_02550
ko:K03781	hpyg:HPOKI673_02610
ko:K10716	hpyg:HPOKI673_02640
ko:K02902	hpyg:HPOKI673_02645
ko:K15846	hpyg:HPOKI673_02655
ko:K01000	hpyg:HPOKI673_02660
ko:K01925	hpyg:HPOKI673_02665
ko:K07107	hpyg:HPOKI673_02675
ko:K03308	hpyg:HPOKI673_02685
ko:K03308	hpyg:HPOKI673_02690
ko:K01058	hpyg:HPOKI673_02695
ko:K02338	hpyg:HPOKI673_02700
ko:K02470	hpyg:HPOKI673_02705
ko:K08077	hpyg:HPOKI673_02725
ko:K00104	hpyg:HPOKI673_02735
ko:K00215	hpyg:HPOKI673_02740
ko:K03648	hpyg:HPOKI673_06805
ko:K00655	hpyg:HPOKI673_06810
ko:K03797	hpyg:HPOKI673_06820
ko:K00767	hpyg:HPOKI673_06845
ko:K03517	hpyg:HPOKI673_06850
ko:K01613	hpyg:HPOKI673_06855
ko:K03179	hpyg:HPOKI673_06870
ko:K02238	hpyg:HPOKI673_06875
ko:K02484	hpyg:HPOKI673_06890
ko:K03570	hpyg:HPOKI673_06905
ko:K03569	hpyg:HPOKI673_06910
ko:K03544	hpyg:HPOKI673_06915
ko:K00677	hpyg:HPOKI673_06920
ko:K02372	hpyg:HPOKI673_06925
ko:K13626	hpyg:HPOKI673_06930
ko:K07241	hpyg:HPOKI673_01950
ko:K17686	hpyg:HPOKI673_01975
ko:K17103	hpyg:HPOKI673_01980
ko:K03798	hpyg:HPOKI673_01990
ko:K02687	hpyg:HPOKI673_01995
ko:K03413	hpyg:HPOKI673_02000
ko:K06950	hpyg:HPOKI673_02020
ko:K03501	hpyg:HPOKI673_02025
ko:K07568	hpyg:HPOKI673_02030
ko:K03118	hpyg:HPOKI673_02035
ko:K03117	hpyg:HPOKI673_02040
ko:K03551	hpyg:HPOKI673_02045
ko:K00606	hpyg:HPOKI673_02050
ko:K03610	hpyg:HPOKI673_02075
ko:K02535	hpyg:HPOKI673_02080
ko:K00872	hpyg:HPOKI673_02090
ko:K02519	hpyg:HPOKI673_02100
ko:K02834	hpyg:HPOKI673_02105
ko:K09748	hpyg:HPOKI673_02110
ko:K07098	hpyg:HPOKI673_02115
ko:K02400	hpyg:HPOKI673_02130
ko:K02956	hpyg:HPOKI673_02135
ko:K02847	hpyg:HPOKI673_02140
ko:K03786	hpyg:HPOKI673_02145
ko:K01262	hpyg:HPOKI673_02150
ko:K00950	hpyg:HPOKI673_02155
ko:K02404	hpyg:HPOKI673_02160
ko:K04562	hpyg:HPOKI673_02165
ko:K02405	hpyg:HPOKI673_02175
ko:K02416	hpyg:HPOKI673_02180
ko:K02417	hpyg:HPOKI673_02185
ko:K02340	hpyg:HPOKI673_06275
ko:K12573	hpyg:HPOKI673_06280
ko:K00014	hpyg:HPOKI673_06285
ko:K13894	hpyg:HPOKI673_06295
ko:K13893	hpyg:HPOKI673_06300
ko:K01867	hpyg:HPOKI673_06305
ko:K02169	hpyg:HPOKI673_06310
ko:K03075	hpyg:HPOKI673_06315
ko:K02838	hpyg:HPOKI673_06320
ko:K00762	hpyg:HPOKI673_06325
ko:K12410	hpyg:HPOKI673_06335
ko:K00330	hpyg:HPOKI673_06340
ko:K00331	hpyg:HPOKI673_06345
ko:K00332	hpyg:HPOKI673_06350
ko:K00333	hpyg:HPOKI673_06355
ko:K00334	hpyg:HPOKI673_06360
ko:K00335	hpyg:HPOKI673_06365
ko:K00336	hpyg:HPOKI673_06370
ko:K00337	hpyg:HPOKI673_06375
ko:K00338	hpyg:HPOKI673_06380
ko:K00339	hpyg:HPOKI673_06385
ko:K00340	hpyg:HPOKI673_06390
ko:K00341	hpyg:HPOKI673_06395
ko:K00342	hpyg:HPOKI673_06400
ko:K00343	hpyg:HPOKI673_06405
ko:K15778	hpyg:HPOKI673_06415
ko:K01695	hpyg:HPOKI673_06425
ko:K01696	hpyg:HPOKI673_06430
ko:K13498	hpyg:HPOKI673_06435
ko:K00766	hpyg:HPOKI673_06440
ko:K01658	hpyg:HPOKI673_06445
ko:K01657	hpyg:HPOKI673_06450
ko:K07491	hpyg:HPOKI673_06475
ko:K03707	hpyg:HPOKI673_06495
ko:K03811	hpyg:HPOKI673_06500
ko:K00949	hpyg:HPOKI673_06505
ko:K02879	hpyg:HPOKI673_06515
ko:K03040	hpyg:HPOKI673_06520
ko:K02986	hpyg:HPOKI673_06525
ko:K05807	hpyg:HPOKI673_06940
ko:K01338	hpyg:HPOKI673_06945
ko:K04517	hpyg:HPOKI673_06950
ko:K01173	hpyg:HPOKI673_06955
ko:K01012	hpyg:HPOKI673_06975
ko:K07058	hpyg:HPOKI673_06980
ko:K09457	hpyg:HPOKI673_07025
ko:K09710	hpyg:HPOKI673_07030
ko:K00791	hpyg:HPOKI673_07035
ko:K03279	hpyg:HPOKI673_07040
ko:K00075	hpyg:HPOKI673_07055
ko:K02420	hpyg:HPOKI673_07060
ko:K02412	hpyg:HPOKI673_07065
ko:K03196	hpyg:HPOKI673_07070
ko:K03611	hpyg:HPOKI673_03030
ko:K05366	hpyg:HPOKI673_03045
ko:K00652	hpyg:HPOKI673_03050
ko:K02406	hpyg:HPOKI673_03065
ko:K07457	hpyg:HPOKI673_03070
ko:K01599	hpyg:HPOKI673_03080
ko:K01992	hpyg:HPOKI673_03110
ko:K01972	hpyg:HPOKI673_03125
ko:K03415	hpyg:HPOKI673_03130
ko:K01876	hpyg:HPOKI673_03135
ko:K00939	hpyg:HPOKI673_03140
ko:K07270	hpyg:HPOKI673_03145
ko:K07270	hpyg:HPOKI673_03150
ko:K01507	hpyg:HPOKI673_03155
ko:K07456	hpyg:HPOKI673_03160
ko:K01924	hpyg:HPOKI673_03170
ko:K03526	hpyg:HPOKI673_03180
ko:K00674	hpyg:HPOKI673_03185
ko:K07126	hpyg:HPOKI673_03190
ko:K03923	hpyg:HPOKI673_03200
ko:K05927	hpyg:HPOKI673_03205
ko:K05922	hpyg:HPOKI673_03210
ko:K03620	hpyg:HPOKI673_03215
ko:K03605	hpyg:HPOKI673_03220
ko:K06920	hpyg:HPOKI673_03245
ko:K00970	hpyg:HPOKI673_03250
ko:K01885	hpyg:HPOKI673_03270
ko:K02221	hpyg:HPOKI673_03275
ko:K08309	hpyg:HPOKI673_03280
ko:K00963	hpyg:HPOKI673_03285
ko:K02242	hpyg:HPOKI673_07360
ko:K00943	hpyg:HPOKI673_07365
